tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikkje, berre, i, denne, klassen, det, lokale, alpintalentet, gjorde, det, godt, i, helga, ., 
, Geilojenta, køyrde, ned, til, ein, 8., plass, i, Super-G, ,, og, ein, 11., plass, i, den, klassiske, disiplinen, utfor, ., 
, Lauritzen, følgde, også, opp, med, gode, plasseringar, ., Han, køyrde, inn, til, ein, 17., plass, i, Super-G, og, 16., plass, i, utfor, ., Skicrosskøyraren, Christian, Rikardsen, Naas, ,, som, også, går, på, NTG, Lillehammer, ,, tok, ein, flott, 14., plass, og, ein, 19., plass, i, ut, forkøyringa, ., Og, klubbkamerat, Stian, Kleivdal, var, ikkje, langt, bak, ., Han, kom, på, ein, 23., og, ein, 21., plass, i, utfor, ., Det, er, tydeleg, at, Hallingdal, er, godt, representert, blant, den, beste, nor, ske, alpinungdommen, ., For, å, hevde, seg, i, juniorklassen, i, Noregstoppen, må, ein, ta, del, i, dei, fleste, renn, som, blir, køyrt, ., Dermed, brukar, ungdom, men, mykje, tid, og, pengar, på, å, satse, ., Og, i, NTG, Lillehammer, ,, som, ligg]",CCONJ PRON VERB X ADV ADP DET NOUN DET ADJ NOUN VERB PRON ADJ ADP NOUN PUNCT SPACE PROPN VERB ADP ADP PROPN ADJ NOUN ADP NOUN PUNCT CCONJ PROPN ADJ NOUN ADP DET ADJ NOUN ADP PUNCT SPACE PROPN VERB ADV ADP ADP ADJ NOUN PUNCT PRON VERB ADP ADP PROPN ADJ NOUN ADP NOUN CCONJ ADJ NOUN ADP ADP PUNCT NOUN PROPN PROPN PROPN PUNCT PRON ADV VERB ADP PROPN PROPN PUNCT VERB X ADJ ADJ NOUN CCONJ PROPN ADJ NOUN ADP ADP NOUN PUNCT CCONJ NOUN PROPN PROPN AUX ADV ADJ ADP PUNCT PRON VERB ADP PROPN PROPN CCONJ PROPN ADJ NOUN ADP ADP PUNCT PRON AUX NOUN SCONJ PROPN AUX ADJ ADJ ADP DET ADJ X PROPN NOUN PUNCT SCONJ PART VERB PRON ADP NOUN ADP NOUN AUX X VERB NOUN ADP DET ADJ NOUN PRON VERB VERB PUNCT ADV PROPN NOUN CCONJ ADJ NOUN CCONJ PROPN SCONJ PART VERB PUNCT CCONJ ADP PROPN PROPN PUNCT PRON VERB,0.0630407911001236,0.411578947368419,162,809,0.5740740740740741,0.2305356715434267
"[Det, var, ein, gong, ein, liten, ,, men, smart, bilprodusent, i, Torino, som, laga, sportsmodellen, 124, med, den, nye, wankelmotoren, og, som, kunne, køyre, på, blyfri, 98-bensin, og, som, hadde, ein, konkurrent, i, Tyskland, ,, ein, svært, liten, bil, i, eit, svært, stort, land, ,, Mercedes-Benz, ., Den, litle, italienske, bilprodusenten, hadde, nettopp, produsert, ein, ny, modell, med, wankelmotoren, ,, og, den, var, så, lik, Mercedes-Benz, sin, smarte, og, snedige, bil, ,, at, den, nesten, var, heilt, lik, ,, bortsett, frå, at, den, italienske, bilen, kalla, seg, Lamborghini, ., Den, andre, bilen, kalla, seg, for, Mercedes-Benz, ., Etter, den, italienske, wankelmotoren, kom, ut, på, marknaden, tok, det, ikkje, lenge, før, den, tyske, bilen, hadde, tatt, han, igjen, ,, men, då, han, skulle, sleppast, ut, på, den, franske, marknaden, ,, gjekk, det, gale, ., Den, tyske, bilen, kunne, nemleg, ikkje, køyre, på, blyfri, 98-bensin, og, franskmennene, hadde, ikkje, noko, særleg, lyst, til, å, køyre, på, dei, tyske, bly]",PRON AUX X X X ADJ PUNCT CCONJ ADJ NOUN ADP PROPN SCONJ ADJ NOUN NUM ADP DET ADJ NOUN CCONJ PRON AUX VERB ADP ADJ NOUN CCONJ PRON VERB ADJ NOUN ADP PROPN PUNCT X ADJ ADJ NOUN ADP NOUN ADJ ADJ NOUN PUNCT PROPN PUNCT DET X ADJ NOUN AUX ADV VERB ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PROPN PRON ADJ CCONJ ADJ NOUN PUNCT SCONJ PRON ADV AUX ADJ NOUN PUNCT ADJ NOUN SCONJ DET ADJ NOUN VERB PRON PROPN PUNCT DET DET NOUN VERB PRON ADP PROPN PUNCT ADP DET ADJ NOUN VERB ADP ADP NOUN VERB PRON ADV ADJ ADP DET ADJ NOUN AUX VERB PRON ADV PUNCT CCONJ X PRON AUX ADJ ADP ADP DET ADJ NOUN PUNCT VERB DET ADJ PUNCT DET ADJ NOUN AUX PROPN X X ADP ADJ NOUN CCONJ NOUN VERB X X PROPN NOUN SCONJ PART VERB ADP DET ADJ PROPN,0.048723897911832945,0.39033210332103246,157,862,0.5987261146496815,0.23819451650017456
"[Det, var, så, tett, tåke, på, toppen, av, Norefjell, at, søndagens, maraton, ble, avlyst, lørdag, kveld, ., 
, Forholdene, var, ikke, bedre, ,, og, avgjørelsen, ble, tatt, i, samråd, med, værvarslingen, som, advarte, mot, enda, dårligere, vær, søndag, ., 
, \-, Det, var, fryktelig, skuffende, å, høre, ,, sa, Inger, Marie, Wien, fra, Lier, til, dt.no, da, hun, ble, fortalt, om, avlysningen, lørdag, ., 
, Det, var, den, andre, i, rekken, for, hennes, maraton, ., Den, første, ble, avlyst, pga, av, streik, i, 2010., 
, Les, mer, :, Inger, Marie, (, 37, ), 
, –, For, første, gang, i, mitt, 52-årige, liv, har, jeg, grått, over, å, få, en, ny, helmaraton, i, mitt, hjerte, ., Dette, var, jo, det, maratonet, i, verden, jeg, hadde, sett, frem, til, ,, skriver, Wien, på, facebboksiden, til, Norefjell, ., 
, Maratonet, skulle, gått, på, en, nyåpnet, bane, på, toppen, av, Norefjell, ,, som, vil, være, helt, åpen, fra, neste, sesong, ., Men, istedet, for, maraton, neste, helg, ,, vil, det, bli, en, treningssamling, fra]",PRON AUX ADV ADJ NOUN ADP NOUN ADP PROPN SCONJ NOUN NOUN AUX VERB NOUN NOUN PUNCT SPACE NOUN AUX PART ADJ PUNCT CCONJ NOUN AUX VERB ADP NOUN ADP NOUN PRON VERB ADP ADV ADJ NOUN NOUN PUNCT SPACE NOUN PRON AUX ADJ ADJ PART VERB PUNCT VERB PROPN PROPN PROPN ADP PROPN ADP PROPN SCONJ PRON AUX VERB ADP NOUN NOUN PUNCT SPACE PRON AUX DET DET ADP NOUN ADP PRON NOUN PUNCT DET ADJ AUX VERB ADP ADP NOUN ADP NUM SPACE VERB ADJ PUNCT PROPN PROPN PUNCT NUM PUNCT SPACE PUNCT ADP ADJ NOUN ADP PRON ADJ NOUN VERB PRON ADJ SCONJ PART VERB DET ADJ NOUN ADP PRON NOUN PUNCT PRON AUX ADV PRON NOUN ADP NOUN PRON AUX VERB ADP ADP PUNCT VERB PROPN ADP NOUN ADP PROPN PUNCT SPACE NOUN AUX VERB ADP DET ADJ NOUN ADP NOUN ADP PROPN PUNCT PRON AUX AUX ADJ ADJ ADP DET NOUN PUNCT CCONJ ADV ADP NOUN DET NOUN PUNCT AUX PRON VERB DET NOUN ADP,0.05825242718446602,0.4111741935483863,170,824,0.5235294117647059,0.25479435947576523
"[Ja, det, var, noen, som, virkelig, likte, den, og, en, som, virkelig, ikke, likte, den, ., Og, noen, som, ble, overasket, ., Så, her, finner, du, noen, bilder, fra, testen, til, de, forskjellige, ., Testen, besto, av, 2, forskjellige, sjokolade, barer, som, skulle, testes, ., Og, med, forskjellige, mener, jeg, med, samme, navn, ,, men, forskjellige, innhold, ., Alle, sjokolade, barene, inneholdt, proteinpulver, ,, så, noe, er, likt, i, de, ,, men, forskjellig, innhold, som, kan, påvirke, smaken, ., Som, du, ser, på, overskriften, inneholder, de, 2, forskjellige, smaker, også, ., 
, Ida-marie, :, Hun, likte, smaken, av, chocolate, chip, ganske, godt, ,, men, hun, synes, at, chocolate, chip, cookie, dough, var, mye, bedre, ., Og, hun, ble, super, overrasket, av, at, chocolate, chip, cookies, ble, kåret, til, best, av, de, 3, testerne, ,, med, chocolate, chip, som, nummer, 2, og, cookie, dough, på, 3., plass, !, 
, Og, som, den, siste, testen, har, jeg, gjort, med, flere, av, bildene, jeg, har, fått, tilsendt, ,, så, har, du, noen, du, ikke, har, sendt, så, kan, du, gjøre, det, til, nin]",INTJ PRON VERB PRON PRON ADJ VERB PRON CCONJ PRON PRON ADJ PART VERB PRON PUNCT CCONJ PRON PRON AUX VERB PUNCT ADV ADV VERB PRON DET NOUN ADP NOUN ADP DET ADJ PUNCT NOUN VERB ADP NUM ADJ NOUN NOUN PRON AUX VERB PUNCT CCONJ ADP ADJ VERB PRON ADP DET NOUN PUNCT CCONJ ADJ NOUN PUNCT DET NOUN NOUN VERB NOUN PUNCT CCONJ PRON AUX ADJ ADP PRON PUNCT CCONJ ADJ NOUN PRON AUX VERB NOUN PUNCT SCONJ PRON VERB ADP NOUN VERB DET NUM ADJ NOUN ADV PUNCT SPACE NOUN PUNCT PRON VERB NOUN ADP PROPN PROPN ADV ADJ PUNCT CCONJ PRON VERB SCONJ PROPN PROPN PROPN X AUX ADJ ADJ PUNCT CCONJ PRON VERB ADJ ADJ SCONJ SCONJ PROPN PROPN PROPN AUX VERB ADP ADJ ADP DET NUM NOUN PUNCT ADP PROPN PROPN SCONJ NOUN NUM CCONJ PROPN X ADP ADJ NOUN PUNCT SPACE CCONJ SCONJ DET ADJ NOUN AUX PRON VERB ADP ADJ ADP NOUN PRON AUX AUX VERB PUNCT ADV VERB PRON PRON PRON PART AUX VERB ADV AUX PRON VERB PRON ADP PROPN,0.04434589800443459,0.3905978898007015,180,902,0.5833333333333334,0.2304143706160297
"[Ja, det, er, et, rigtig, godt, spørgsmål, ., Jeg, har, faktisk, gået, med, det, rigtig, længe, ,, men, jeg, har, egentlig, ikke, kunne, finde, et, sted, hvor, jeg, syntes, jeg, passede, ind, ., Jeg, har, også, været, lidt, i, tvivl, om, hvad, jeg, helt, præcis, vil, med, min, blog, ?, .., Derfor, er, det, mega, fedt, med, den, respons, jeg, får, her, på, bloggen, ,, for, det, gør, det, nemmere, for, mig, at, finde, ud, af, hvad, jeg, vil, ,, for, hvad, I, vil, have, og, hvad, det, er, I, kan, lide, at, læse, om, 🙂, 
, Nogen, af, de, ting, der, er, blevet, efterspurgt, er, fx, ., bolig, inspiration, ,, så, jeg, tænker, at, det, ville, være, fedt, med, lidt, mere, af, dette, ,, både, de, store, ting, vi, har, lavet, herhjemme, og, så, bare, det, at, i, får, nogle, tips, og, inspiration, til, hvordan, man, kan, gøre, noget, smart, ved, det, man, har, 🙂, Noget, af, det, jeg, selv, er, blevet, mega, vild, med, at, se, på, Instagram, er, folk, der, deler, ud, af, deres, DIY, projekter, ,, men, det, er, bare, ikke, rigtig, blevet, til, noget, jeg, har, kastet, og, ud]",INTJ PRON AUX DET ADJ ADJ NOUN PUNCT PRON VERB ADJ VERB ADP DET ADJ NOUN PUNCT CCONJ PRON AUX ADJ PART AUX VERB DET NOUN ADV PRON VERB PRON ADV NOUN PUNCT PRON VERB ADV NOUN ADJ ADP NOUN ADP NOUN PRON ADJ NOUN AUX ADP PRON NOUN PUNCT PUNCT ADV AUX PRON PROPN NOUN ADP DET NOUN PRON VERB ADV ADP NOUN PUNCT ADP DET X PRON ADJ ADP ADV SCONJ X PROPN X PROPN PRON VERB PUNCT ADP PROPN ADP AUX NOUN CCONJ PROPN PRON AUX ADP AUX VERB SCONJ NOUN ADP ADV SPACE PROPN VERB PRON NOUN ADV AUX ADJ NOUN AUX X PUNCT NOUN X PUNCT CCONJ PRON NOUN SCONJ PRON AUX AUX VERB ADP ADJ ADJ X PRON PUNCT CCONJ DET ADJ NOUN PRON AUX VERB PROPN CCONJ ADV ADV PRON SCONJ ADP VERB ADJ NOUN CCONJ NOUN SCONJ ADV PRON AUX VERB PROPN ADJ ADP PRON PRON VERB ADV PROPN X PRON PRON DET AUX ADJ PROPN PROPN SCONJ SCONJ VERB ADP PROPN AUX NOUN SCONJ VERB PROPN X PRON PROPN NOUN PUNCT CCONJ PRON AUX ADV PART ADJ NOUN ADP PROPN PRON AUX VERB CCONJ PROPN,0.04247990815154994,0.37413625304136217,194,871,0.5773195876288659,0.2544287625619719
"[Så, var, det, den, tiden, på, året, igjen, ., Tiden, for, julemarkeder, ., De, er, kommet, til, Haugesund, for, å, bli, ., I, hvert, fall, for, vårsesongen, 2014., 
, Julekula, har, hengt, i, luften, siden, oktober, da, første, julemarked, fant, sted, på, torget, i, Haugesund, i, regi, av, Haugesund, Sentram, og, Haugesunds, Avis, ., 
, De, siste, ukene, har, det, vært, jevnlige, jule, markedsarrangementer, i, byens, tre, kjø, pesentre, ., Her, får, du, kjøpt, alt, man, kan, trenge, av, julepynt, og, julegåver, ,, og, litt, til, ., Det, har, også, vært, arrangert, julebord, på, Oasen, ,, Amanda, og, Amfi, Åkrehamn, ., I, helgen, som, gikk, avsluttet, julemesse, sesongen, på, Haugesund, Folkebibliotek, ., Det, var, et, bredt, spekter, av, lag, og, organisa, sjoner, som, hadde, stands, på, biblioteket, i, helgen, ., Her, ble, det, solgt, lodd, til, inntekt, for, den, gode, sak, ., 
, med, i, trekningen, av, hovedgevinsten, som, var, en, tursekk, fylt, opp, av, en, lokal, butikk, ., 
, På, biblioteket, på, Karmøy, har, det, også, vært, julemesse, i, helg]",ADV AUX PRON DET NOUN ADP NOUN ADV PUNCT NOUN ADP NOUN PUNCT PRON AUX VERB ADP PROPN SCONJ PART VERB PUNCT ADP DET NOUN ADP NOUN NUM SPACE PROPN AUX VERB ADP NOUN ADP NOUN SCONJ ADJ NOUN VERB NOUN ADP NOUN ADP PROPN ADP NOUN ADP PROPN PROPN CCONJ PROPN PROPN PUNCT SPACE DET ADJ NOUN AUX PRON AUX ADJ NOUN NOUN ADP NOUN NUM NOUN NOUN PUNCT ADV AUX PRON VERB PRON PRON AUX VERB ADP NOUN CCONJ NOUN PUNCT CCONJ ADJ ADP PUNCT PRON AUX ADV AUX VERB NOUN ADP PROPN PUNCT PROPN CCONJ PROPN PROPN PUNCT ADP NOUN PRON VERB VERB NOUN NOUN ADP PROPN PROPN PUNCT PRON AUX DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN PRON VERB NOUN ADP NOUN ADP NOUN PUNCT ADV AUX PRON VERB NOUN ADP NOUN ADP DET ADJ NOUN PUNCT SPACE ADP ADP NOUN ADP NOUN PRON AUX DET NOUN VERB ADP ADP DET ADJ NOUN PUNCT SPACE ADP NOUN ADP PROPN VERB PRON ADV AUX NOUN ADP NOUN,0.0502283105022831,0.40476420798065127,171,876,0.5321637426900585,0.302780583548542
"[Det, var, som, vanlig, en, lett, løpsstigning, i, starten, ,, ellers, var, det, flatt, ., Det, gikk, litt, i, sløyfe, ,, vi, endte, opp, i, samme, retning, som, vi, startet, ., Noen, løp, 4, runder, ,, og, andre, 6, runder, ., Det, var, ganske, enkelt, løp, der, det, bare, var, å, løpe, på, jevnt, tempo, med, korte, pauser, ,, det, passet, meg, utmerket, ., Jeg, hadde, løpt, langt, nok, før, og, kunne, bare, kjøre, på, ., 
, Det, som, plaget, meg, veldig, med, løpet, ,, var, det, fuktige, været, ., Det, regnet, faktisk, hele, tiden, !, Vi, ble, våte, i, håret, ,, noe, som, gjorde, det, vanskeligere, å, se, hvor, man, løp, ,, det, la, seg, faktisk, vann, på, brilleglassene, ,, noe, som, gjorde, løpeturen, mer, utfordrende, ., 
, Litt, over, halvveis, i, løpet, ,, var, det, første, drikkestasjon, ,, de, serverte, vann, og, sportsdrikk, ., Vann, var, absolutt, ikke, noe, problem, for, meg, ,, sportsdrikk, fungerte, bedre, enn, vanlig, vann, for, magen, og, fikk, meg, til, å, føle, meg, piggere, etter, jeg, drakk, det, !, Dessverre, hadde, ikke, sportsdrikken, noen, stor, effekt, på]",PRON AUX ADP ADJ DET ADJ NOUN ADP NOUN PUNCT ADV AUX PRON ADJ PUNCT PRON VERB ADJ ADP NOUN PUNCT PRON VERB ADP ADP DET NOUN PRON PRON VERB PUNCT DET VERB NUM NOUN PUNCT CCONJ DET NUM NOUN PUNCT PRON AUX ADV ADJ NOUN SCONJ PRON ADV AUX PART VERB ADP ADJ NOUN ADP ADJ NOUN PUNCT PRON VERB PRON ADJ PUNCT PRON AUX VERB ADJ ADV ADP CCONJ AUX ADV VERB ADP PUNCT SPACE PRON PRON VERB PRON ADJ ADP NOUN PUNCT AUX DET ADJ NOUN PUNCT PRON VERB ADJ ADJ NOUN PUNCT PRON VERB ADJ ADP NOUN PUNCT PRON PRON VERB PRON ADJ PART VERB ADV PRON VERB PUNCT PRON VERB PRON ADJ NOUN ADP NOUN PUNCT PRON PRON VERB NOUN ADJ ADJ PUNCT SPACE ADJ ADP ADV ADP NOUN PUNCT AUX PRON ADJ NOUN PUNCT PRON VERB NOUN CCONJ NOUN PUNCT NOUN AUX ADJ PART DET NOUN ADP PRON PUNCT NOUN VERB ADJ ADP ADJ NOUN ADP NOUN CCONJ VERB PRON SCONJ PART VERB PRON NOUN ADP PRON VERB PRON PUNCT ADV VERB PART NOUN DET ADJ NOUN ADP,0.040586245772266064,0.3830548926014288,184,887,0.5978260869565217,0.2603529909953639
"[Det, er, ikkje, lenger, noko, stort, problem, å, få, tak, i, kvitløk, sør, i, Ecuador, ., 
, Det, var, ei, tid, at, det, var, vanskeleg, å, få, tak, i, kvitløk, i, butikken, til, Iván, Marin, i, Tulcan, ., Men, for, 12-15, år, sidan, tok, det, til, å, skje, meir, på, dette, området, som, er, eit, av, dei, få, stader, i, verda, der, dyrking, av, kvitløk, har, overlevd, som, ei, tilpassing, i, den, fattige, befolkninga, utan, å, bli, påverka, av, handel, på, den, internasjonale, marknaden, ., Det, har, gitt, kvitløken, ei, form, og, ei, lukt, som, er, blitt, ganske, annleis, enn, den, importerte, løken, ,, fortel, han, ., 
, No, er, det, blitt, mogleg, å, dyrke, mange, andre, planteslag, som, var, blitt, gløymde, i, denne, delen, av, verda, ., I, mange, landsbyar, finst, det, eit, stort, utval, i, ulike, slags, grønsaker, som, ikkje, er, å, finne, andre, stader, ., Her, er, til, dømes, kvit, og, gul, yam, ,, kassava, med, og, utan, små, røter, ,, eit, utal, variant]",PRON VERB ADV ADJ VERB ADJ NOUN PART VERB NOUN ADP NOUN ADP ADP PROPN PUNCT SPACE PRON AUX DET NOUN SCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN ADP NOUN ADP PROPN PROPN ADP PROPN PUNCT CCONJ ADP NUM NOUN ADV VERB PRON SCONJ PART VERB ADV ADP DET NOUN PRON AUX X ADP NOUN ADJ NOUN ADP NOUN SCONJ NOUN ADP NOUN AUX VERB ADP DET NOUN ADP DET ADJ NOUN PROPN PART VERB VERB ADP NOUN ADP DET ADJ NOUN PUNCT PRON AUX VERB NOUN DET NOUN CCONJ DET NOUN PRON AUX VERB ADV ADP ADP DET ADJ NOUN PUNCT X PRON PUNCT SPACE PROPN AUX PRON VERB NOUN PART VERB ADJ DET NOUN PRON AUX VERB NOUN ADP DET NOUN ADP NOUN PUNCT ADP ADJ ADJ PROPN X X ADJ NOUN ADP ADJ NOUN NOUN PRON X AUX PART VERB DET NOUN PUNCT ADV VERB ADP PROPN ADJ CCONJ ADJ X PUNCT PROPN ADP CCONJ PROPN ADJ NOUN PUNCT X X NOUN,0.05012531328320802,0.379652870493992,167,798,0.6526946107784432,0.3361777218465662
"[Kor, mange, prosent, av, arealet, til, Norge, er, oppdyrka, jord, ?, A., 5, prosent, B., 10, prosent, C., 20, prosent, D., 
, Romarane, var, med, og, dyrka, fram, tomaten, som, ein, viktig, grønsak, ., Kor, lenge, sidan, er, det, ., A., 2000, år, B., 3000, år, C., 4000, år, D., 
, Forskarar, hevdar, at, ein, kan, dyrke, fram, avokado, på, tre-fire, månadar, ved, å, bruke, restprodukt, frå, til, dømes, eit, slakteri, ., Kva, slags, produkt, er, det, snakk, om, ?, A., Innmaten, til, gris, ., B., Avskjer, av, kylling, ., C., Restprodukt, frå, fjærkre, ., D., 
, Det, er, i, hovudsak, tre, typar, bønner, som, blir, brukt, i, Noreg, ,, nemleg, brune, bønner, ,, soyabønner, og, kvite, bønner, ., Kva, er, dei, to, andre, typane, ?, A., Pintobønner, og, grøne, bønner, B., Adzukibønner, og, mungbønner, C., Adzukibønner, og, grøne, bønner, D., 
, I, snitt, et, nordmenn, tre, brødskiver, per, dag, ., Dette, har, ikkje, end]",ADV ADJ NOUN ADP NOUN ADP PROPN AUX ADJ NOUN PUNCT PROPN NUM NOUN PROPN NUM NOUN PROPN NUM NOUN PROPN SPACE PROPN AUX ADP CCONJ NOUN ADP NOUN SCONJ X ADJ NOUN PUNCT ADV ADJ NOUN AUX PRON PUNCT PROPN NUM NOUN PROPN NUM NOUN PROPN NUM NOUN PROPN SPACE VERB VERB SCONJ PROPN AUX VERB ADP NOUN ADP NUM NOUN SCONJ PART VERB NOUN X ADP X X NOUN PUNCT NOUN NOUN NOUN AUX PRON NOUN ADP PUNCT PROPN PROPN ADP NOUN PUNCT PROPN PROPN ADP NOUN PUNCT PROPN PROPN PROPN ADJ PUNCT PROPN SPACE PRON AUX ADP NOUN NUM NOUN NOUN PRON AUX VERB ADP PROPN PUNCT PROPN ADJ NOUN PUNCT NOUN CCONJ ADJ NOUN PUNCT NOUN AUX DET NUM DET NOUN PUNCT PROPN PROPN CCONJ ADJ NOUN PROPN PROPN CCONJ NOUN PROPN PROPN CCONJ ADJ NOUN PROPN SPACE ADP NOUN DET NOUN NUM NOUN ADP NOUN PUNCT PRON VERB X X,0.06275033377837116,0.405857142857143,155,749,0.41935483870967744,0.16807446896733474
"[Det, er, veldig, mye, å, sette, seg, inn, i, når, man, skal, ha, valp, ., Først, av, alt, må, man, bestemme, seg, for, hvilken, rase, man, ønsker, seg, ., Deretter, begynner, arbeidet, med, å, finne, oppdretter, som, kan, levere, valper, etter, hunder, med, de, kvalitetene, man, synes, er, viktigst, når, man, skal, velge, hund, ., Etter, det, starter, arbeidet, med, å, finne, valp, med, riktig, kjønn, og, utseende, som, passer, familien, og, dens, behov, ., Med, andre, ord, ,, det, er, et, stort, og, krevende, arbeide, å, bli, valpeeier, !, Etter, mange, års, arbeid, med, hunder, har, jeg, lært, meg, noen, ting, som, er, greie, å, vite, når, prosessen, er, i, gang, og, man, søker, hjelp, og, skal, ta, sine, valg, ., Dette, baserer, seg, på, hvilke, kvaliteter, ,, både, fysisk, og, mentalt, ,, jeg, mener, er, viktige, når, man, skal, velge, hund, ., Dette, er, ikke, en, liste, med, fasitsvar, ,, det, finnes, mange, ulike, måter, å, tenke, på, ,, og, de, løsningene, jeg, har, på, listen, er, det, ikke, sikkert, passer, den, enkelte, ., Dette, er, en, oversikt, over, hva, jeg, mener, er, viktig, når, man, skal, velge, og, jobbe, mot, målene, man, har, satt]",PRON AUX ADJ ADJ PART VERB PRON ADP ADP SCONJ PRON AUX VERB NOUN PUNCT ADV ADP PRON AUX PRON VERB PRON SCONJ DET NOUN PRON VERB PRON PUNCT ADV VERB NOUN SCONJ PART VERB NOUN PRON AUX VERB NOUN ADP NOUN ADP DET NOUN PRON VERB AUX ADJ SCONJ PRON AUX VERB NOUN PUNCT ADP PRON VERB NOUN SCONJ PART VERB NOUN ADP ADJ NOUN CCONJ NOUN PRON VERB NOUN CCONJ DET NOUN PUNCT ADP DET NOUN PUNCT PRON AUX DET ADJ CCONJ ADJ VERB PART VERB ADJ PUNCT ADP ADJ NOUN NOUN ADP NOUN AUX PRON VERB PRON DET NOUN PRON AUX NOUN PART VERB SCONJ NOUN AUX ADP NOUN CCONJ PRON VERB NOUN CCONJ AUX VERB PRON NOUN PUNCT PRON VERB PRON SCONJ DET NOUN PUNCT CCONJ ADJ CCONJ ADJ PUNCT PRON VERB AUX ADJ SCONJ PRON AUX VERB NOUN PUNCT PRON AUX PART DET NOUN ADP NOUN PUNCT PRON VERB ADJ ADJ NOUN PART VERB ADP PUNCT CCONJ DET NOUN PRON VERB ADP NOUN AUX PRON PART ADJ VERB DET ADJ PUNCT PRON AUX DET NOUN ADP PRON PRON VERB AUX ADJ SCONJ PRON AUX VERB CCONJ VERB ADP NOUN PRON AUX VERB,0.033264033264033266,0.3653450164293516,197,962,0.6548223350253807,0.3353120003615386
