tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, før, to, mål, fra, den, tidligere, Bodø, /, Glimt-, og, Sandnes, Ulf-spilleren, satte, sinnene, i, kok, ., 
, Vålerenga, ,, som, til, daglig, spiller, i, det, gjeveste, fotballturneringen, i, Norge, -, Eliteserien, ,, fikk, nok, en, drømmestart, og, ledet, 3-0, allerede, etter, 15, minutter, ., Sander, Berge, utliknet, til, 3-3, like, før, pause, ., Og, etter, 58, minutter, gikk, det, fra, vondt, til, verre, for, Molde, ., 
, Molde-spiller, Mathias, Moström, slo, et, innlegg, som, kom, litt, brått, på, Adam, Arnarson, ,, som, falt, ., Det, så, først, ut, til, å, være, straffe, ,, men, TV-bildene, avslørte, at, Arnarson, falt, for, lett, ., Dermed, var, Moström, felt, av, Arnarson, ,, som, fikk, rødt, kort, ., Og, Vålerenga, ledet, fortsatt, 3-1., Straffen, satte, Ghayas, Zahid, ., Og, Vålerenga, fortsatte, å, score, på, slutten, av, kampen, ,, selv, om, både, Eirik, Hestad, og, Kristoffer, Løkberg, fikk, skuddene, sine, blokkert, ., 
, -, Det, var, deilig, å, score, ., Det, var, viktig]",CCONJ PRON AUX SCONJ NUM NOUN ADP DET ADJ PROPN PUNCT PROPN CCONJ PROPN NOUN VERB NOUN ADP NOUN PUNCT SPACE PROPN PUNCT PRON ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN PUNCT PROPN PUNCT VERB ADV DET NOUN CCONJ VERB NUM ADV ADP NUM NOUN PUNCT PROPN PROPN VERB ADP NUM ADV ADP NOUN PUNCT CCONJ ADP NUM NOUN VERB PRON ADP ADJ ADP ADJ ADP PROPN PUNCT SPACE NOUN PROPN PROPN VERB DET NOUN PRON VERB ADJ ADJ ADP PROPN PROPN PUNCT PRON VERB PUNCT PRON VERB ADV ADP SCONJ PART AUX NOUN PUNCT CCONJ NOUN VERB SCONJ PROPN VERB ADV ADJ PUNCT ADV AUX PROPN NOUN ADP PROPN PUNCT PRON VERB ADJ NOUN PUNCT CCONJ PROPN VERB ADV NUM NOUN VERB PROPN PROPN PUNCT CCONJ PROPN VERB PART VERB ADP NOUN ADP NOUN PUNCT ADV SCONJ CCONJ PROPN PROPN CCONJ PROPN PROPN VERB NOUN PRON VERB PUNCT SPACE PUNCT PRON AUX ADJ PART VERB PUNCT PRON AUX ADJ,0.06385542168674699,0.4107810499359787,162,830,0.4506172839506173,0.18450103478439941
"[Det, var, ein, strålande, fornøyd, gjeng, som, forlot, Nordens, nye, storslotte, anlegg, for, skisport, og, vinterlege, aktivitetar, i, Åre, ved, 2330-tider, skjærtorsdag, ., 
, Skitrekket, og, heile, anlegget, var, nypreparert, og, klar, for, storinnrykk, av, alpinistar, og, langrennsløparar, ., 
, Det, har, ikkje, vore, mange, snøfalla, å, snakke, om, i, Trøndelag, i, vinter, ., Men, for, eit, par, veker, sidan, fekk, den, svenske, destinasjonen, nokre, par, snøfall, å, kose, seg, med, ., Og, folk, kom, frå, alle, kantar, av, Sverige, for, å, trene, og, vere, med, på, renn, på, Järpen, ., Dermed, har, det, vore, trøkk, i, bakken, gjennom, store, deler, av, påska, ., 
, Vanlegvis, er, påska, i, alpinbygda, prega, av, mange, svensker, og, danskar, på, besøk, ., Men, også, fleire, og, fleire, nordmenn, har, funne, vegen, til, Järpen, dei, siste, åra, ., 
, Lasse, Fenger, ,, som, driv, restauranten, Skitorget, i, Åre, i, samarbeid, med, Terje, Aasen, på, Järpen, skiresort, ,, meiner, Å]",PRON AUX X X ADJ NOUN PRON VERB PROPN ADJ ADJ NOUN ADP NOUN CCONJ PROPN PROPN ADP PROPN ADP NOUN NOUN PUNCT SPACE NOUN CCONJ ADJ NOUN AUX ADJ CCONJ ADJ ADP NOUN ADP NOUN CCONJ PROPN PUNCT SPACE PRON VERB X X ADJ NOUN PART VERB ADP ADP PROPN ADP NOUN PUNCT CCONJ ADP DET NOUN NOUN X VERB DET ADJ NOUN ADJ NOUN NOUN PART VERB PRON ADP PUNCT CCONJ NOUN VERB NUM DET NOUN ADP PROPN SCONJ PART VERB CCONJ VERB ADP ADP NOUN ADP PROPN PUNCT ADV AUX PRON AUX NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT SPACE ADV AUX NOUN ADP NOUN ADJ ADP ADJ NOUN CCONJ NOUN ADP NOUN PUNCT CCONJ ADV NOUN CCONJ ADJ NOUN AUX VERB NOUN ADP PROPN DET ADJ NOUN PUNCT SPACE PROPN PROPN PUNCT PRON VERB NOUN PROPN ADP PROPN ADP NOUN ADP PROPN PROPN ADP PROPN NOUN PUNCT VERB PART,0.05447941888619855,0.3810038610038615,155,826,0.5483870967741935,0.24257764196032439
"[Det, var, så, gøy, å, se, henne, på, tv, og, få, være, med, henne, i, bryllupet, hennes, ,, sier, han, til, TV, 2., 
, Forrige, uke, ble, Tone, Damli, Aaberge, utnevnt, til, landets, best, kledde, kvinne, ., I, dag, er, sogndalsjenta, på, vei, til, Sverige, for, å, feriere, der, med, familien, ., Da, har, hun, og, forloveden, ikke, noe, annet, valg, enn, å, ha, en, liten, pause, fra, de, travle, bryllupsforberedelsene, ., 
, For, snart, én, uke, siden, sto, hun, brud, under, et, stjernespekket, bryllup, på, Hydros, prestisjeanlegg, på, Lysaker, ., Blant, gjestene, var, blant, annet, kronprins, Haakon, og, prinsesse, Märtha, Louise, ,, og, alle, gjestene, og, brudgommens, foreldre, var, i, kjole, og, hvitt, ., Men, det, var, likevel, ikke, alle, som, var, invitert, i, det, ekstravagante, bryllupet, ,, for, å, være, med, i, den, såkalte, «, shoppen, », ble, bestemt, på, forhånd, av, brudeparet, ., 
, -, Det, var, vanskelig, å, gå, ut, av, butikken, 
, -, Mange, av, de, jeg, kjenner, ble, invitert, ,, men]",PRON AUX ADV ADJ PART VERB PRON ADP NOUN CCONJ AUX AUX ADP PRON ADP NOUN PRON PUNCT VERB PRON ADP PROPN ADJ SPACE DET NOUN AUX PROPN PROPN PROPN VERB ADP NOUN ADJ ADJ NOUN PUNCT ADP NOUN VERB ADP ADP NOUN ADP PROPN SCONJ PART VERB ADV ADP NOUN PUNCT ADV VERB PRON CCONJ NOUN PART DET DET NOUN SCONJ PART VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT SPACE ADP ADJ NUM NOUN ADV VERB PRON NOUN ADP DET ADJ NOUN ADP PROPN NOUN ADP PROPN PUNCT ADP NOUN AUX ADP DET NOUN PROPN CCONJ NOUN PROPN PROPN PUNCT CCONJ DET NOUN CCONJ NOUN NOUN AUX ADP NOUN CCONJ ADJ PUNCT CCONJ PRON AUX ADV PART PRON PRON AUX VERB ADP DET ADJ NOUN PUNCT SCONJ PART AUX ADP ADP DET ADJ PUNCT NOUN PUNCT AUX VERB ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON AUX ADJ PART VERB ADP ADP NOUN SPACE PUNCT ADJ ADP PRON PRON VERB AUX VERB PUNCT CCONJ,0.05415162454873646,0.39232736572890015,167,831,0.5688622754491018,0.29588151080370934
"[Ja, det, var, ju, ett, bra, namn, ,, som, jag, aldrig, hört, förut, ., Får, kolla, närmare, ikväll, -, det, ska, finnas, i, Sala, och, om, man, har, vägarna, förbi, ska, jag, leta, upp, det, ikväll, ., 
, Jag, har, alltid, haft, svårt, för, att, somna, på, kvällen, /, natten, och, sen, när, solen, går, upp, på, morgonen, har, jag, alltid, haft, för, mig, att, jag, inte, kan, somna, om, ,, vilket, resulterar, till, att, jag, blir, väldigt, trött, och, därmed, vaknar, väldigt, tidigt, på, morgonen, ., Sen, jag, flyttade, hit, till, huset, så, har, jag, börjat, lägga, mig, lite, senare, ,, efter, 20.00, -, 21.00., Och, idag, vaknade, jag, klockan, 10.48., Det, är, lite, skillnad, från, att, vakna, 06/-07., Som, sagt, så, har, jag, alltid, så, svårt, att, somna, på, kvällen, ., Försöker, att, ha, något, att, sysselsätta, mig, med, under, kvällen, och, då, lyssnar, jag, oftast, på, P1, på, radion, eller, radion, i, bakgrunden, ., Någon, gång, då, och, då, så, sätter, man, på, tv]",INTJ PRON VERB PRON NUM ADJ NOUN PUNCT ADP X X X PROPN PUNCT VERB VERB PROPN ADJ PUNCT PRON X X X PROPN X SCONJ PRON VERB NOUN PROPN X X X X X ADJ PUNCT SPACE X AUX ADV X X X X X ADP NOUN PUNCT NOUN X X X NOUN VERB X ADP NOUN AUX PRON X X X X X X X AUX ADJ ADP PUNCT X X X X X X ADJ X X X PROPN PROPN PROPN ADP NOUN PUNCT PROPN X X X X NOUN ADV VERB PRON NOUN PROPN ADV X PROPN PUNCT VERB NUM PUNCT NUM X ADV ADJ X PROPN NOUN X X ADJ X X X X NUM ADP ADJ ADV AUX PRON ADV ADV NOUN X X ADP NOUN PUNCT X X X X X X X ADP ADP PROPN X X PROPN X X ADP PROPN ADP NOUN CCONJ NOUN ADP NOUN PUNCT PROPN X X X X X NOUN PRON ADP NOUN,0.05555555555555555,0.4212614980289088,167,810,0.3473053892215569,0.05323290853667059
"[Ja, det, er, jo, en, del, som, har, fått, seg, jobb, etter, noen, år, ., Også, er, det, jo, også, sånn, at, man, som, regel, jobber, færre, timer, i, måneden, med, litt, høyere, ansiennitet, enn, med, lav, ., Men, kan, tenke, meg, at, man, i, en, stilling, som, din, får, bedre, betalt, som, nyutdannet, enn, etter, x, antall, arbeidstimer, ., Mengde, overtid, er, vel, som, regel, den, samme, uansett, stilling, eller, ansiennitet, ., Nå, har, jeg, vært, leder, selv, ., Noe, av, forklaringen, til, at, det, er, så, skjevt, fordeling, på, lønn, må, være, alder, og, ansiennitet, ., De, yngre, har, også, bedre, timelønn, ., Så, man, kan, si, at, det, er, som, regel, alder, som, er, forklaringen, til, ubalansen, ., 
, Det, man, ikke, kan, si, noe, om, er, hvor, mye, de, som, ikke, jobber, har, i, lønn, (, utover, de, som, jobber, ), ., Det, er, derfor, du, tar, det, så, feil, ., 
, Men, det, er, jo, ikke, en, hemmelighet, at, man, får, bedre, lønn, som, nyutdannet, i, visse, yrker, ., Kanskje, lønnen, for, nyutdannede, går, litt, ned, etterhvert, som, man, får]",INTJ PRON AUX ADV DET NOUN PRON AUX VERB PRON NOUN ADP DET NOUN PUNCT ADV AUX PRON ADV ADV ADV SCONJ PRON ADP NOUN VERB ADJ NOUN ADP NOUN ADP ADJ ADJ NOUN ADP ADP ADJ PUNCT CCONJ AUX VERB PRON SCONJ PRON ADP DET NOUN PRON PRON VERB ADJ VERB SCONJ ADJ ADP ADP NOUN NOUN NOUN PUNCT ADJ NOUN AUX ADV ADP NOUN DET DET ADP NOUN CCONJ NOUN PUNCT ADV AUX PRON AUX NOUN ADV PUNCT DET ADP NOUN SCONJ SCONJ PRON AUX ADV ADJ NOUN ADP NOUN AUX AUX NOUN CCONJ NOUN PUNCT DET ADJ VERB ADV ADJ NOUN PUNCT CCONJ PRON AUX VERB SCONJ PRON VERB ADP NOUN NOUN PRON AUX NOUN ADP NOUN PUNCT SPACE PRON PRON PART AUX VERB PRON ADP AUX ADV ADJ PRON PRON PART VERB AUX ADP NOUN PUNCT ADP PRON PRON VERB PUNCT PUNCT PRON AUX ADV PRON VERB PRON ADV ADJ PUNCT SPACE CCONJ PRON AUX ADV PART DET NOUN SCONJ PRON VERB ADJ NOUN SCONJ ADJ ADP ADJ NOUN PUNCT ADV NOUN ADP ADJ VERB ADJ ADP ADV PRON PRON VERB,0.04267589388696655,0.36968215158924134,185,867,0.6648648648648648,0.241069991175893
"[Så, var, det, endelig, tid, for, årets, julesalg, og, jeg, er, så, gira, !, I, år, har, jeg, virkelig, stått, på, og, solgt, flere, juleprodukter, enn, noen, sinne, ., Det, er, så, koselig, å, lage, juleprodukter, synes, jeg, og, i, dag, skal, jeg, kose, meg, med, noen, deilige, sjokolader, ., Hjemmelaget, sjokolade, er, noe, av, det, beste, ,, spesielt, når, du, vet, hva, slags, ingredienser, de, er, laget, av, og, at, ingen, her, i, huset, er, allergiske, !, I, dag, viser, jeg, bare, et, par, detaljer, som, står, til, et, lite, fat, fra, Riviera, Maison, ., Til, jul, selger, jeg, dette, så, de, kommer, alltid, for, å, få, det, !, 
, I, år, har, jeg, laget, tre, små, lykter, som, ligner, på, vanlige, syltetøyglass, ,, men, det, er, det, altså, ikke, ., Jeg, har, sydd, fast, en, lyslenke, i, toppen, og, i, bunnen, henger, det, små, bjeller, ., Det, kommer, så, utrolig, mye, fint, fra, RM, og, disse, små, lyktene, passer, som, pynt, over, alt, på, trefat, til, julekaker, ., Det, er, bare, å, bruke, fantasien, ., Disse, har, fått, plass, på]",ADV AUX PRON ADJ NOUN ADP NOUN NOUN CCONJ PRON AUX ADV ADJ PUNCT ADP NOUN AUX PRON ADJ VERB ADP CCONJ VERB ADJ NOUN ADP DET NOUN PUNCT PRON AUX ADV ADJ PART VERB NOUN VERB PRON CCONJ ADP NOUN AUX PRON VERB PRON ADP DET ADJ NOUN PUNCT NOUN NOUN AUX DET ADP DET ADJ PUNCT ADJ SCONJ PRON VERB PRON NOUN NOUN PRON AUX VERB ADP CCONJ SCONJ PRON ADV ADP NOUN AUX ADJ PUNCT ADP NOUN VERB PRON ADV DET NOUN NOUN PRON VERB ADP DET ADJ NOUN ADP PROPN PROPN PUNCT ADP NOUN VERB PRON PRON SCONJ PRON VERB ADV SCONJ PART VERB PRON PUNCT SPACE ADP NOUN AUX PRON VERB NUM ADJ NOUN PRON VERB ADP ADJ NOUN PUNCT CCONJ PRON AUX PRON ADV PART PUNCT PRON AUX VERB ADJ DET NOUN ADP NOUN CCONJ ADP NOUN VERB DET ADJ NOUN PUNCT PRON VERB ADV ADJ ADJ ADJ ADP PROPN CCONJ DET ADJ NOUN VERB ADP NOUN ADP PRON ADP NOUN ADP NOUN PUNCT PRON AUX ADV PART VERB NOUN PUNCT PRON AUX VERB NOUN ADP,0.04190919674039581,0.36550617283950526,182,859,0.6813186813186813,0.2295715961267753
"[Det, var, som, vanlig, god, aktivitet, blant, elevene, i, valgfaget, design, og, redesign, da, de, var, på, "", skattejakt, "", i, gamle, fabrikker, for, å, få, inspirasjon, til, nye, produkter, ., De, fant, mye, rart, ,, og, i, løpet, av, dagen, er, det, trolig, mange, som, blir, kreative, og, lager, produkter, til, salgs, og, eller, utstilling, når, lokalmønstringen, går, av, stabelen, i, slutten, av, februar, ., 
, Det, har, de, siste, ukene, strømmet, på, med, søknader, fra, både, nye, og, gamle, elever, til, videregående, utdanning, i, Lebesby, kommune, ., 
, Siste, uke, har, det, vært, fokus, på, både, rekruttering, til, landbruket, i, Indre-Finnmark, og, rekruttering, til, oppdrett, /, havbruk, i, Øst-Finnmark, ., Gjennom, felles, innsats, skal, vi, jobbe, for, å, holde, på, ungdommene, i, bygdene, ., Målet, er, mange, nye, fagarbeidere, ., For, å, nå, målene, må, det, jobbes, sammen, ,, hele, bygda, ., 
, Drivkraften, i, det, regionale, og, det, lokale, arbeidet, for, landbrukstilknytta, tilleggsnæringer, ,, er, økt, lønnsomhet, ,, og, at, satsningen, skjer, til, det, beste, for, både, primærnæringen, ,, samfunnet, og]",PRON AUX ADP ADJ ADJ NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN SCONJ PRON AUX ADP PUNCT NOUN PUNCT ADP ADJ NOUN SCONJ PART VERB NOUN ADP ADJ NOUN PUNCT PRON VERB ADJ ADJ PUNCT CCONJ ADP NOUN ADP NOUN AUX PRON ADJ ADJ PRON VERB ADJ CCONJ VERB NOUN ADP NOUN CCONJ CCONJ NOUN SCONJ NOUN VERB ADP NOUN ADP NOUN ADP NOUN PUNCT SPACE PRON AUX DET ADJ NOUN VERB ADP ADP NOUN ADP CCONJ ADJ CCONJ ADJ NOUN ADP ADJ NOUN ADP PROPN NOUN PUNCT SPACE ADJ NOUN AUX PRON AUX NOUN ADP CCONJ NOUN ADP NOUN ADP PROPN CCONJ NOUN ADP NOUN PUNCT NOUN ADP PROPN PUNCT ADP ADJ NOUN AUX PRON VERB SCONJ PART VERB ADP NOUN ADP NOUN PUNCT NOUN AUX ADJ ADJ NOUN PUNCT SCONJ PART VERB NOUN AUX PRON VERB ADV PUNCT ADJ NOUN PUNCT SPACE NOUN ADP DET ADJ CCONJ DET ADJ NOUN ADP NOUN NOUN PUNCT AUX ADJ NOUN PUNCT CCONJ SCONJ NOUN VERB ADP DET ADJ ADP CCONJ NOUN PUNCT NOUN CCONJ,0.0412262156448203,0.3869788182831644,174,946,0.5574712643678161,0.2146184278377824
"[Det, er, ikkje, fyrste, gang, den, same, bilen, har, vore, på, denne, vegen, ., I, mars, vart, det, gitt, ei, skriftleg, åtvaring, til, sjåføren, ., -, Frekkheita, til, vegvesenet, gjer, at, bilistar, ikkje, bør, køyra, på, denne, strekninga, ,, seier, bileigaren, ., 
, Dette, synst, han, er, urimeleg, ., -, Eg, får, aldri, billegare, bilforsikring, om, eg, køyrer, på, denne, vegstrekninga, ,, seier, han, irritert, ., Sjåføren, køyrer, same, bilmerke, som, sist, gong, ,, ein, Ford, Mondeo, ., Han, har, ingen, forståing, for, at, han, ikkje, er, teken, ut, av, trafikken, ., -, No, er, eg, livredd, når, eg, er, ute, og, køyrer, på, denne, strekninga, ,, seier, han, ., 
, -, Det, er, ikkje, berre, meg, som, har, opplevd, det, same, ,, det, er, fleire, som, har, meldt, denne, strekninga, til, vegvesenet, utan, at, dei, vil, eller, kan, gjera, noko, ,, seier, han, fortvila, ., Til, vanleg, køyrer, han, ofte, om, morgonen, og, ettermiddagen, når, trafikken, er, mindre, ., Sjølv, om, han, hadde, med, seg, to]",PRON AUX X ADJ NOUN DET ADJ NOUN AUX X ADP DET NOUN PUNCT ADP NOUN VERB PRON VERB DET DET NOUN ADP NOUN PUNCT PUNCT ADJ ADP PROPN VERB SCONJ VERB ADV AUX ADV ADP DET NOUN PUNCT NOUN NOUN PUNCT SPACE PRON VERB PRON AUX PROPN PUNCT PUNCT PROPN VERB ADV ADJ NOUN ADP X VERB ADP DET NOUN PUNCT NOUN PRON ADJ PUNCT NOUN VERB X NOUN ADP ADV NOUN PUNCT X PROPN PROPN PUNCT PRON VERB DET NOUN SCONJ SCONJ PRON X AUX NOUN ADP ADP NOUN PUNCT PUNCT X X X ADJ SCONJ PRON AUX ADP CCONJ VERB ADP DET NOUN PUNCT NOUN PRON PUNCT SPACE PUNCT PRON AUX X ADV PRON PRON AUX VERB DET ADJ PUNCT PRON AUX ADJ PRON AUX VERB DET NOUN ADP PROPN PROPN SCONJ PROPN VERB CCONJ AUX VERB X PUNCT NOUN PRON NOUN PUNCT ADP PROPN VERB PRON ADJ ADP NOUN CCONJ NOUN SCONJ NOUN AUX ADJ PUNCT PROPN SCONJ PRON VERB ADP PRON NUM,0.04457831325301205,0.3783098591549293,167,830,0.6287425149700598,0.294360167870248
"[Kor, mange, prosent, av, befolkninga, (, sett, bort, frå, dei, som, er, på, ferie, i, Spania, ), er, klar, over, forskjellen, på, å, vere, på, ferie, i, eigen, kommune, i, forhold, til, ein, annan, ?, På, meg, gjerner, det, ikkje, så, mykje, ,, eg, var, der, i, fjor, og, syns, det, var, ein, fin, opplevelse, ,, men, eg, veit, at, andre, ikkje, synest, det, same, -, og, det, er, trist, ., 
, Hadde, det, vore, slik, at, alle, som, ikkje, var, i, utlandet, brukte, mykje, tid, på, å, prate, om, alt, dei, hadde, fått, opplevd, i, denne, tida, hadde, eg, sett, positivt, på, det, ., Men, slik, er, det, ikkje, ,, og, mange, har, difor, eit, stort, behov, for, å, kome, med, desse, meiningane, rundt, om, ., Sjølv, er, eg, av, den, oppfatningen, av, at, når, ein, har, vore, i, utlandet, i, ferien, skal, ein, helst, gje, utrykk, for, kor, fint, det, er, der, med, utrop, som, "", Åååh, ,, så, fint, der, er!!!"", ..., og, sjølvsagt, om, det, er, kaldt, ,, og, det, er, det, jo, ofte, ,, skal, ein, få, det, til, å, høres, ut, som, om, det, aldri]",ADV ADJ NOUN ADP NOUN PUNCT VERB ADP X X PRON AUX ADP NOUN ADP PROPN PUNCT AUX ADJ ADP NOUN SCONJ PART VERB ADP NOUN ADP PROPN NOUN ADP NOUN ADP X PROPN PUNCT ADP PRON VERB PRON X ADV X PUNCT PROPN AUX ADV ADP NOUN CCONJ VERB PRON AUX X ADJ NOUN PUNCT CCONJ X VERB SCONJ DET X VERB DET ADJ PUNCT CCONJ PRON AUX ADJ PUNCT SPACE VERB PRON AUX ADV SCONJ PRON PRON X AUX SCONJ NOUN VERB PROPN NOUN SCONJ PART VERB ADP PRON PRON AUX AUX VERB ADP DET NOUN AUX ADV VERB ADJ ADP PRON PUNCT CCONJ ADV VERB PRON X PUNCT CCONJ ADJ VERB ADV DET ADJ NOUN SCONJ PART VERB ADP PROPN NOUN ADP ADP PUNCT PROPN AUX PRON ADP DET NOUN ADP SCONJ SCONJ PROPN AUX X ADP NOUN ADP NOUN AUX X ADV X NOUN ADP ADV ADJ PRON AUX ADV ADP NOUN ADP PUNCT PROPN PUNCT ADV ADJ SCONJ NOUN PUNCT CCONJ ADV SCONJ PRON AUX ADJ PUNCT CCONJ PRON AUX PRON ADV ADJ PUNCT AUX X VERB PRON SCONJ PART VERB ADP SCONJ SCONJ PRON ADV,0.04665071770334928,0.370292249047014,191,836,0.7539267015706806,0.37387547328394377
"[Det, er, veldig, mye, som, kan, skje, i, løpet, av, en, vanlig, arbeidsdag, når, mange, av, oss, er, på, farten, ,, og, for, de, som, kjører, så, er, det, viktig, å, være, skjerpet, når, man, er, på, veien, ., 
, –, Så, når, mange, av, oss, sitter, mye, i, bil, eller, sitter, på, fly, ,, er, det, kanskje, ikke, så, rart, at, mange, også, tyr, til, internett, på, mobilen, ., Mange, bruker, sikkert, tiden, til, å, oppdatere, sosiale, medier, ,, eller, så, surfer, de, etter, en, spennende, artikkel, ,, forteller, Espen, Schrøder, ,, som, har, vært, biladvokat, i, 15, år, ., 
, –, Ofte, tenker, man, ikke, på, de, reglene, som, gjelder, ,, og, da, er, det, dumt, som, forbruker, å, være, dårlig, forberedt, ,, sier, han, videre, ., 
, Ikke, alt, som, skjer, online, gjelder, juridisk, 
, –, Uansett, hva, du, driver, med, på, nett, ,, enten, det, er, netthandel, ,, eller, surfing, på, diverse, nettressurser, og, lignende, ,, så, er, det, viktig, å, være, klar, over, at, det, man, ser, og, leser, kan, være, gjenstand, for, opphavsrett, og, det, kan, være, andre, regler, som, gjelder, ,, forteller, han, videre, ., 
, –, Mange, tenker, ikke, over, dette, ,, så, man, må, selv, sjekke, at]",PRON AUX ADJ ADJ PRON AUX VERB ADP NOUN ADP DET ADJ NOUN SCONJ ADJ ADP PRON AUX ADP NOUN PUNCT CCONJ ADP PRON PRON VERB ADV AUX PRON ADJ PART AUX VERB SCONJ PRON AUX SCONJ NOUN PUNCT SPACE PUNCT ADV SCONJ ADJ ADP PRON VERB ADJ ADP NOUN CCONJ VERB ADP NOUN PUNCT AUX PRON ADV PART ADV ADJ SCONJ ADJ ADV VERB ADP NOUN ADP NOUN PUNCT ADJ VERB ADJ NOUN SCONJ PART VERB ADJ NOUN PUNCT CCONJ ADV VERB PRON ADP DET ADJ NOUN PUNCT VERB PROPN PROPN PUNCT PRON AUX AUX NOUN ADP NUM NOUN PUNCT SPACE PUNCT ADJ VERB PRON PART ADP DET NOUN PRON VERB PUNCT CCONJ ADV AUX PRON ADJ SCONJ NOUN PART AUX ADJ ADJ PUNCT VERB PRON ADJ PUNCT SPACE PART PRON PRON VERB ADJ VERB ADJ SPACE PUNCT ADP PRON PRON VERB ADP ADP NOUN PUNCT CCONJ PRON AUX NOUN PUNCT CCONJ NOUN ADP ADJ NOUN CCONJ ADJ PUNCT ADV AUX PRON ADJ PART AUX ADJ SCONJ SCONJ PRON PRON VERB CCONJ NOUN AUX AUX NOUN ADP NOUN CCONJ PRON AUX AUX DET NOUN PRON VERB PUNCT VERB PRON ADJ PUNCT SPACE PUNCT ADJ VERB PART ADP PRON PUNCT CCONJ PRON AUX ADV VERB SCONJ,0.04058272632674298,0.3801315789473666,206,961,0.6213592233009708,0.23534625813112267
