tokenized_text,lix_score
"['Men', 'det', 'var', 'ikke', 'bare', 'på', 'banen', 'det', 'var', 'dramatikk', 'i', 'går', '.', 'Også', 'på', 'tribunen', 'var', 'det', 'tilløp', 'til', 'dramatikk', '.', 'I', 'det', '68.', 'minutt', 'ble', 'nemlig', 'en', 'av', 'hjemmelagets', 'supportere', 'angrepet', 'av', 'en', 'annen', 'supporter', '.', 'Mannen', 'ble', 'slått', 'i', 'hodet', 'med', 'en', 'flaske', ',', 'og', 'ble', 'kjørt', 'til', 'sykehus', 'med', 'ambulanse', '.', '.', '-', 'Det', 'var', 'en', 'supporter', 'som', 'ble', 'angrepet', 'av', 'en', 'annen', 'supporter', '.', 'Han', 'ble', 'slått', 'i', 'hodet', 'med', 'en', 'flaske', ',', 'og', 'ble', 'kjørt', 'til', 'sykehus', 'med', 'ambulanse', ',', 'sier', 'operasjonsleder', 'i', 'Østfold', 'politidistrikt', ',', 'Tommy', 'Antonsen', 'til', 'VG', 'Nett', '.', '.', 'Politiet', 'har', 'pågrepet', 'en', 'mann', 'i', '20-årene', 'som', 'er', 'mistenkt', 'for', 'å', 'ha', 'slått', 'til', 'den', 'andre', 'supporteren', '.', '.', '-', 'Vi', 'har', 'pågrepet', 'en', 'mann', 'i', '20-årene', 'som', 'er', 'mistenkt', 'for', 'å', 'ha', 'slått', 'til', 'den', 'andre', 'supporteren', '.', 'Han', 'sitter', 'nå', 'i', 'arresten', ',', 'sier', 'Antonsen', '.', 'Politiet', 'har', 'også', 'avhørt', 'vitner', 'til', 'hendelsen', '.']",36.39411764705882
"['Det', 'var', 'ein', 'gong', 'ein', 'mann', 'som', 'heitte', 'Ola', '.', 'Han', 'var', 'ein', 'klok', 'og', 'snill', 'mann', '.', 'Han', 'hadde', 'ein', 'son', 'som', 'heitte', 'Per', '.', 'Han', 'var', 'ein', 'snill', 'og', 'flink', 'gut', '.', 'Dei', 'budde', 'i', 'eit', 'lite', 'hus', 'i', 'ein', 'liten', 'by', '.', 'Dei', 'hadde', 'ein', 'katt', 'som', 'heitte', 'Pusen', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'katt', '.', 'Dei', 'hadde', 'ein', 'hund', 'som', 'heitte', 'Bamse', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'hund', '.', 'Dei', 'hadde', 'ein', 'hest', 'som', 'heitte', 'Svarten', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'hest', '.', 'Dei', 'hadde', 'ein', 'gris', 'som', 'heitte', 'Grisen', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'gris', '.', 'Dei', 'hadde', 'ein', 'sau', 'som', 'heitte', 'Lammet', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'sau', '.', 'Dei', 'hadde', 'ein', 'hest', 'som', 'heitte', 'Svarten', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'hest', '.', 'Dei', 'hadde', 'ein', 'gris', 'som', 'heitte', 'Grisen', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'gris', '.', 'som', 'heitte', 'Lammet', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'sau', '.', 'Dei', 'hadde', 'ein', 'hest', 'som', 'heitte', 'Svarten', '.', 'Han', 'var', 'ein', 'snill', 'og', 'klok', 'hest', '.', 'Dei']",8.895330112721417
"['Det', 'var', 'så', 'vidt', 'båten', 'bar', 'for', 'FFK', 'i', 'serieåpningen', 'mot', 'Hødd', '.', 'FFK', 'ledet', '1-0', 'til', 'pause', ',', 'men', 'tapte', 'til', 'slutt', '1-2', '.', 'Det', 'var', 'en', 'jevn', 'kamp', ',', 'men', 'vi', 'var', 'ikke', 'gode', 'nok', 'i', 'de', 'avgjørende', 'situasjonene', ',', 'sier', 'FFK-trener', 'Tom', 'Freddy', 'Aune', '.', 'Vi', 'har', 'mye', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi', 'har', 'en', 'del', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi', 'har', 'en', 'del', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi', 'har', 'en', 'del', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi', 'har', 'en', 'del', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi', 'har', 'en', 'del', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi', 'har', 'en', 'del', 'å', 'jobbe', 'med', ',', 'men', 'det', 'er', 'en', 'god', 'start', ',', 'sier', 'Aune', '.', 'Vi']",17.33972602739726
"['Ja', 'det', 'var', 'en', 'gang', 'en', 'liten', 'gutt', 'som', 'het', 'Ole', '.', 'Han', 'var', 'en', 'liten', 'gutt', 'som', 'bodde', 'i', 'en', 'liten', 'by', 'som', 'het', 'Lillehammer', '.', 'Han', 'var', 'en', 'liten', 'gutt', 'som', 'hadde', 'en', 'liten', 'hund', 'som', 'het', 'Bamse', '.', 'En', 'dag', 'så', 'gikk', 'Ole', 'og', 'Bamse', 'en', 'tur', 'i', 'byen', '.', 'Da', 'de', 'gikk', 'forbi', 'en', 'butikk', 'så', 'så', 'Ole', 'en', 'liten', 'gutt', 'som', 'sto', 'og', 'så', 'på', 'en', 'stor', 'plakat', 'som', 'det', 'sto', ':', '«', 'Vi', 'har', 'tilbud', 'på', 'hundemat', '»', '.', 'Ole', 'gikk', 'bort', 'til', 'gutten', 'og', 'spurte', 'om', 'han', 'ville', 'ha', 'hundemat', '.', 'Gutten', 'sa', 'at', 'han', 'ville', 'ha', 'hundemat', '.', 'Ole', 'gikk', 'hjem', 'og', 'hentet', 'Bamse', 'og', 'gikk', 'til', 'butikken', 'og', 'kjøpte', 'hundemat', '.', 'Da', 'Ole', 'kom', 'hjem', 'så', 'spiste', 'han', 'hundematen', '.', 'Etter', 'en', 'stund', 'så', 'gikk', 'Ole', 'og', 'Bamse', 'ut', 'på', 'tur', 'igjen', '.', 'Da', 'de', 'gikk', 'forbi', 'butikken', 'så', 'så', 'Ole', 'en', 'liten', 'gutt', 'som', 'sto', 'og', 'så', 'på', 'en', 'stor', 'plakat', 'som', 'det', 'sto', ':', '«', 'Vi', 'har', 'tilbud', 'på', 'hundemat', '»', '.', 'Ole', 'gikk', 'bort', 'til', 'gutten', 'og', 'spurte', 'om', 'han', 'ville', 'ha', 'hundemat', '.', 'Gutten', 'sa']",20.049019607843135
"['Ja', 'det', 'er', 'vel', 'ikke', 'noe', 'å', 'si', 'på', 'at', 'det', 'er', 'slik', '.', 'Det', 'er', 'jo', 'ikke', 'noe', 'å', 'gjøre', 'med', 'det', '.', 'Men', 'det', 'er', 'jo', 'ikke', 'bare', 'det', 'at', 'det', 'er', 'så', 'mange', 'som', 'ikke', 'har', 'råd', 'til', 'å', 'kjøpe', 'seg', 'en', 'bolig', '.', 'Det', 'er', 'jo', 'også', 'slik', 'at', 'det', 'er', 'så', 'mange', 'som', 'ikke', 'har', 'råd', 'til', 'å', 'bo', 'i', 'den', 'boligen', 'de', 'har', 'kjøpt', '.', 'Det', 'er', 'jo', 'ikke', 'noe', 'å', 'gjøre', 'med', 'det', 'heller', '.', 'Men', 'det', 'er', 'jo', 'ikke', 'bare', 'det', 'at', 'det', 'er', 'så', 'mange', 'som', 'ikke', 'har', 'råd', 'til', 'å', 'kjøpe', 'seg', 'en', 'bolig', '.', 'Det', 'er', 'jo', 'også', 'slik', 'at', 'det', 'er', 'så', 'mange', 'som', 'ikke', 'har', 'råd', 'til', 'å', 'bo', 'i', 'den', 'boligen', 'de', 'har', 'kjøpt', '.', 'Det', 'er', 'jo', 'ikke', 'noe', 'å', 'gjøre', 'med', 'det', 'heller', '.', 'Men', 'det', 'er', 'jo', 'ikke', 'bare', 'det', 'at', 'det', 'er', 'så', 'mange', 'som', 'ikke', 'har', 'råd', 'til', 'å', 'kjøpe', 'seg', 'en', 'bolig', '.', 'Det', 'er', 'jo', 'også', 'slik', 'at', 'det', 'er', 'så', 'mange', 'som', 'ikke', 'har', 'råd', 'til', 'å', 'bo', 'i', 'den', 'boligen', 'de', 'har', 'kjøpt', '.', 'Det', 'er', 'jo', 'ikke', 'noe', 'å', 'gjøre', 'med', 'det', 'heller', '.', 'Men', 'det', 'er', 'jo', 'ikke', 'bare', 'det', 'at', 'det']",18.60427807486631
"['Så', 'var', 'det', 'tid', 'for', 'å', 'gå', 'til', 'bords', '.', 'Det', 'var', 'dekket', 'til', 'fest', 'i', 'storsalen', 'på', 'samfunnshuset', '.', 'Her', 'var', 'det', 'dekket', 'til', '120', 'personer', '.', 'Det', 'var', 'dekket', 'på', 'småbord', ',', 'og', 'det', 'var', 'pyntet', 'med', 'blomster', 'og', 'lys', '.', 'Det', 'var', 'også', 'satt', 'opp', 'et', 'stort', 'langbord', 'med', 'mat', 'og', 'drikke', '.', 'Det', 'var', 'dekket', 'til', 'fest', 'for', 'alle', 'som', 'hadde', 'vært', 'med', 'på', 'å', 'bygge', 'opp', 'igjen', 'samfunnshuset', 'etter', 'brannen', 'i', '1981', '.', 'Det', 'var', 'også', 'dekket', 'til', 'fest', 'for', 'de', 'som', 'hadde', 'vært', 'med', 'på', 'å', 'bygge', 'opp', 'igjen', 'samfunnshuset', 'etter', 'brannen', 'i', '1981', '.', 'Det', 'var', 'også', 'dekket', 'til', 'fest', 'for', 'de', 'som', 'hadde', 'vært', 'med', 'på', 'å', 'bygge', 'opp', 'igjen', 'samfunnshuset', 'etter', 'brannen', 'i', '1981', '.', 'Det', 'var', 'også', 'dekket', 'til', 'fest', 'for', 'de', 'som', 'hadde', 'vært', 'med', 'på', 'å', 'bygge', 'opp', 'igjen', 'samfunnshuset', 'etter', 'brannen', 'i', '1981', '.', 'Det', 'var', 'også', 'dekket', 'til', 'fest', 'for', 'de', 'som', 'hadde', 'vært', 'med', 'på', 'å', 'bygge', 'opp', 'igjen', 'samfunnshuset', 'etter', 'brannen', 'i', '1981', '.', 'Det', 'var', 'også', 'dekket', 'til', 'fest', 'for', 'de', 'som', 'hadde', 'vært', 'med', 'på', 'å', 'bygge', 'opp', 'igjen', 'samfunnshuset']",25.962893081761006
"['Det', 'var', 'som', 'om', 'det', 'var', 'en', 'helt', 'annen', 'verden', 'som', 'møtte', 'oss', 'da', 'vi', 'kom', 'inn', 'i', 'den', 'nye', 'barnehagen', 'på', 'Skjønhaug', '.', 'Det', 'var', 'en', 'helt', 'annen', 'atmosfære', ',', 'og', 'det', 'var', 'en', 'helt', 'annen', 'ro', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'jobbe', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'barna', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'de', 'ansatte', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'foreldrene', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'barna', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'de', 'ansatte', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'foreldrene', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'barna', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'de', 'ansatte', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'foreldrene', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'barna', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'de', 'ansatte', 'på', '.', 'Det', 'var', 'en', 'helt', 'annen', 'måte', 'å', 'være', 'sammen', 'med', 'foreldrene', 'på', '.', 'Det', 'var', 'en', 'helt']",18.56614853195164
"['Det', 'er', 'ikkje', 'berre', 'i', 'Noreg', 'at', 'det', 'er', 'vanskeleg', 'å', 'få', 'tak', 'i', 'nok', 'lærarar', '.', 'I', 'Sverige', 'har', 'dei', 'også', 'problem', 'med', 'å', 'få', 'tak', 'i', 'nok', 'lærarar', '.', 'Ifølgje', 'den', 'svenske', 'avisa', 'Dagens', 'Nyheter', 'har', 'det', 'vore', 'ein', 'kraftig', 'auke', 'i', 'talet', 'på', 'lærarar', 'som', 'har', 'slutta', 'i', 'jobben', 'dei', 'siste', 'åra', '.', 'I', 'fjor', 'slutta', 'over', 'tusen', 'lærarar', 'i', 'den', 'svenske', 'skulen', '.', 'Det', 'er', 'dobbelt', 'så', 'mange', 'som', 'året', 'før', '.', 'Ifølgje', 'avisa', 'er', 'det', 'fleire', 'årsaker', 'til', 'at', 'lærarar', 'sluttar', '.', 'Ein', 'av', 'grunnane', 'er', 'at', 'lærarane', 'har', 'fått', 'fleire', 'oppgåver', 'utan', 'at', 'det', 'har', 'følgt', 'med', 'ressursar', '.', 'Det', 'er', 'også', 'mange', 'lærarar', 'som', 'er', 'misnøgde', 'med', 'løna', 'dei', 'får', '.', 'I', 'tillegg', 'er', 'det', 'mange', 'som', 'sluttar', 'fordi', 'dei', 'vil', 'ha', 'meir', 'tid', 'til', 'familien', '.', 'g', 'i', 'Noreg', 'er', 'det', 'mangel', 'på', 'lærarar', '.', 'Ifølgje', 'Utdanningsforbundet', 'manglar', 'det', 'i', 'dag', 'rundt', '4000', 'lærarar', 'i', 'den', 'norske', 'skulen', '.', 'Det', 'er', 'særleg', 'i', 'distrikta', 'at', 'det', 'er', 'vanskeleg', 'å', 'få']",34.50560398505604
"['Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'svart', 'på', 'undersøkinga', 'som', 'er', 'for', 'å', 'slå', 'seg', 'saman', 'med', 'andre', 'kommunar', '?', 'Kor', 'mange', 'prosent']",35.0
"['Det', 'er', 'veldig', 'mange', 'som', 'har', 'et', 'forhold', 'til', 'denne', 'butikken', ',', 'og', 'det', 'er', 'mange', 'som', 'har', 'et', 'forhold', 'til', 'meg', '.', 'Det', 'er', 'veldig', 'hyggelig', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en', 'veldig', 'fin', 'gjeng', 'som', 'jobber', 'her', '.', 'Det', 'er', 'en', 'veldig', 'fin', 'arbeidsplass', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en', 'veldig', 'fin', 'gjeng', 'som', 'jobber', 'her', '.', 'Det', 'er', 'en', 'veldig', 'fin', 'arbeidsplass', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en', 'veldig', 'fin', 'gjeng', 'som', 'jobber', 'her', '.', 'Det', 'er', 'en', 'veldig', 'fin', 'arbeidsplass', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en', 'veldig', 'fin', 'gjeng', 'som', 'jobber', 'her', '.', 'Det', 'er', 'en', 'veldig', 'fin', 'arbeidsplass', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en', 'veldig', 'fin', 'gjeng', 'som', 'jobber', 'her', '.', 'Det', 'er', 'en', 'veldig', 'fin', 'arbeidsplass', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en', 'veldig', 'fin', 'gjeng', 'som', 'jobber', 'her', '.', 'Det', 'er', 'en', 'veldig', 'fin', 'arbeidsplass', ',', 'sier', 'han', '.', '–', 'Det', 'er', 'en', 'veldig', 'fin', 'butikk', ',', 'og', 'det', 'er', 'en']",18.062238930659984
