tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, likevel, noen, som, gjorde, opp, for, seg, og, fikk, sitt, ønske, oppfylt, ., I, februar, 1943, kunne, NF, fortelle, at, «, Kjøpmann, Th, ., Kringlebotten, ,, Storsjøen, i, Odal, har, kjøpt, eiendommen, Kvernstuen, på, Magnor, av, grosserer, Nils, Pedersen, ., Kjøpet, gikk, raskt, da, den, store, skogen, stod, på, handelen, og, som, ga, en, meget, god, pris, », ., 
, ble, født, i, 1921, og, vokste, opp, på, Magnor, ., Han, var, ansatt, ved, jernbanen, i, Oslo, da, han, i, mai, 1949, flyttet, til, Magnor, og, åpnet, butikk, sammen, med, Reidar, Vestbye, i, lokalene, på, Magnor, i, 1949., De, hadde, ikke, drevet, stort, lenge, før, de, bestemte, seg, for, å, bygge, et, nytt, forretningsbygg, nærmere, Magnor, stasjon, ., I, 1951, flyttet, de, inn, i, nybutikken, ,, og, de, satte, også, opp, et, tilbygg, med, tidsmessige, lokaler, til, kjøtt, og, delikatesse, i, 1986., Hans, Petter, Eriksen, kan, stå, som, et, eksempel, på, at, folk, som, ville, opp, og, fram, ,, satte, krefter, og, kapital, inn, på, å]",CCONJ PRON VERB ADV PRON PRON VERB ADP ADP PRON CCONJ VERB PRON NOUN ADJ PUNCT ADP NOUN NUM AUX PROPN VERB SCONJ PUNCT NOUN PROPN PUNCT PROPN PUNCT PROPN ADP PROPN AUX VERB NOUN PROPN ADP PROPN ADP VERB PROPN PROPN PUNCT NOUN VERB ADJ SCONJ DET ADJ NOUN VERB ADP NOUN CCONJ PRON VERB DET ADV ADJ NOUN PUNCT PUNCT SPACE AUX VERB ADP NUM CCONJ VERB ADP ADP PROPN PUNCT PRON AUX ADJ ADP NOUN ADP PROPN SCONJ PRON ADP NOUN NUM VERB ADP PROPN CCONJ VERB NOUN ADV ADP PROPN PROPN ADP NOUN ADP PROPN ADP NUM PRON AUX PART VERB ADJ ADJ SCONJ PRON VERB PRON SCONJ PART VERB DET ADJ NOUN ADJ PROPN NOUN PUNCT ADP NUM VERB PRON ADP ADP NOUN PUNCT CCONJ PRON VERB ADV ADP DET NOUN ADP ADJ NOUN ADP NOUN CCONJ NOUN ADP NUM PRON PROPN PROPN AUX VERB SCONJ DET NOUN ADP SCONJ NOUN PRON VERB ADP CCONJ ADP PUNCT VERB NOUN CCONJ NOUN ADP SCONJ PART,0.06139315230224321,0.41260651629072453,169,847,0.5798816568047337,0.248211255432798
"[Det, var, ein, haustdag, i, 1966, den, store, meldinga, kom, :, Norsk, Utviklingshjelps, fiskeriprosjekt, for, Sri, Lanka, var, kome, for, å, bli, ., Den, same, meldinga, hadde, vi, vel, håpa, skulle, kome, fleire, år, tidlegare, -, men, ikkje, før, no, var, tida, rettkomen, ., 
, diskusjonane, i, Stortinget, og, andre, organ, i, den, sentrale, administrasjon, ,, så, var, det, ikkje, berre, glede, ., Vi, var, ikkje, budde, på, at, det, heile, skulle, bli, ein, prøvestein, på, norsk, evne, og, vilje, til, solidaritet, med, fattige, land, i, ein, utviklingsfase, ., Her, var, det, tale, om, ei, utviklingshjelpa, første, avbalansering, av, budsjettet, på, to, år, ., Og, då, det, etter, nokre, år, vart, snakk, om, ei, fast, ordning, ,, viste, det, seg, at, hjelpa, som, kom, frå, Norge, ,, var, like, mykje, verd, i, kroner, og, øre, -, som, andre, former, for, utviklingshjelp, kan, vere, på, papiret, -, enn, det, vi, har, kunna, yte, med, store, beløp, tidlegare, ., Etter, kvart, skjøna, vi, og, at, dersom, den, norske, utviklingshjelpa, skulle, ha, ei, verkeleg]",PRON AUX X NOUN ADP NUM DET ADJ NOUN VERB PUNCT PROPN PROPN NOUN ADP PROPN PROPN AUX VERB SCONJ PART VERB PUNCT DET X NOUN VERB PRON ADV X AUX X NUM NOUN PROPN PUNCT CCONJ X ADP X AUX NOUN NOUN PUNCT SPACE NOUN ADP PROPN CCONJ DET NOUN ADP DET ADJ NOUN PUNCT ADV VERB PRON X X NOUN PUNCT PRON AUX X VERB SCONJ SCONJ DET ADJ AUX VERB ADJ NOUN ADP ADJ NOUN CCONJ NOUN ADP NOUN ADP ADJ NOUN ADP ADJ NOUN PUNCT ADV AUX PRON NOUN ADP DET ADJ ADJ NOUN ADP NOUN ADP NUM NOUN PUNCT CCONJ ADV PRON ADP ADJ NOUN VERB NOUN ADP DET ADJ NOUN PUNCT VERB PRON PRON SCONJ NOUN PRON VERB PROPN PROPN PUNCT AUX ADV ADJ ADJ ADP NOUN CCONJ NOUN PUNCT ADP DET NOUN ADP NOUN AUX VERB ADP NOUN PUNCT ADP PRON PRON VERB ADV VERB ADP ADJ NOUN PROPN PUNCT ADP NOUN VERB PRON CCONJ SCONJ SCONJ DET ADJ PROPN AUX VERB DET NOUN,0.046067415730337076,0.388894173602854,171,890,0.6491228070175439,0.2671055010983152
"[Det, var, så, godt, når, mora, grete, og, så, trist, ut, i, ansiktet, når, mora, sa, noko, som, gjorde, vondt, ., 
, at, mora, gret, ,, eller, ho, gret, ikkje, ., Det, var, veldig, mange, farga, barn, i, Noreg, som, gret, ., 
, Kvifor, er, Afrika, fattig, ?, 
, For, dei, som, er, fattige, ,, er, det, vanskeleg, å, få, arbeid, ., Dei, manglar, kanskje, sko, ,, klede, eller, pengartil, mat, ., Dei, har, ikkje, tid, til, å, gå, på, skulen, ., Det, er, dyrt, å, gå, på, skule, i, Noreg, ., Mora, mi, hadde, ikkje, råd, til, det, ., 
, I, gamle, dagar, jobba, barna, mykje, for, at, familien, skulle, få, pengar, til, mat, ., 
, I, Pakistan, og, Tyrkia, er, mange, barn, barbeinte, eller, berrføtt, heile, året, ., I, nokre, delar, av, Afrika, er, det, skikken, at, barna, må, gå, barbeint, heilt, til, dei, er, vaksne, og, kan, få, si, eiga, gåve, og, betale, for, seg, når, dei, giftar, seg, ., 
, å, få, si, eiga, gåve, og, betale, for, seg, når, dei, giftar, seg, ., 
, Det, er, lett, å, få, arbeid, på, ein, sjukeheim, ,, men]",PRON AUX ADV ADJ SCONJ NOUN PROPN CCONJ ADV ADJ ADP ADP NOUN SCONJ NOUN VERB X PRON VERB ADJ PUNCT SPACE SCONJ NOUN ADJ PUNCT CCONJ NOUN VERB X PUNCT PRON AUX ADJ ADJ ADJ NOUN ADP PROPN PRON ADJ PUNCT SPACE ADV AUX PROPN ADJ PUNCT SPACE ADP NOUN PRON AUX ADJ PUNCT AUX PRON ADV PART VERB NOUN PUNCT PROPN X ADV NOUN PUNCT ADJ CCONJ ADP NOUN PUNCT NUM VERB DET NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ PART VERB ADP NOUN ADP PROPN PUNCT NOUN PRON VERB PRON NOUN ADP PRON PUNCT SPACE ADP ADJ PROPN VERB NOUN PROPN SCONJ SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT SPACE ADP PROPN CCONJ PROPN AUX ADJ NOUN ADJ CCONJ DET ADJ NOUN PUNCT ADP ADJ NOUN ADP PROPN AUX PRON NOUN SCONJ NOUN AUX VERB ADJ ADJ ADP PROPN AUX ADJ CCONJ AUX AUX VERB PROPN PROPN CCONJ VERB ADP PRON SCONJ PROPN VERB PRON PUNCT SPACE PART AUX VERB X PROPN CCONJ VERB ADP PRON SCONJ PROPN VERB PRON PUNCT SPACE PRON AUX ADJ PART VERB NOUN ADP X PROPN PUNCT CCONJ,0.04573547589616811,0.37771052631579055,190,809,0.5842105263157895,0.30076208856389647
"[Ja, det, var, det, ., Joletrafikken, har, vore, ei, travel, tid, for, oss, ., Stovå, har, ikkje, fått, det, daglege, stell, ,, mat, og, slikt, som, i, feriane, ., Formannen, er, ikkje, alltid, heime, og, har, arbeidsgjevaransvar, og, mange, ting, skal, passa, saman, ., No, har, me, endeleg, fått, eit, styre, ,, der, eg, har, vore, sekretær, til, no., Formannen, har, det, daglege, arbeid, og, tek, seg, av, alt, dette, ., Det, har, vore, slitsame, timar, her, i, stova, dei, par, siste, åri, ., Det, var, greitt, med, at, eg, visste, og, hadde, noko, greie, på, alt, dette, strevet, og, slitet, ., Det, har, alt, gått, i, lås, ., Med, litt, smedarbeid, og, mykje, god, mat, har, eg, likevel, sove, godt, om, nettene, ., Strengen, er, kutta, i, hovudet, mitt, ., 
, Det, var, i, grunnen, godt, å, sjå, at, du, og, har, hatt, ei, travel, jul., Godt, med, alt, som, er, unnagjort, ., Når, no, det, er, sagt, så, tek, eg, no, til, å, verta, lei, av, alle, desse, gamle, julesongane, ., 
, Kvart]",INTJ PRON AUX PRON PUNCT NOUN AUX VERB DET ADJ NOUN ADP PRON PUNCT ADJ AUX ADV VERB DET ADJ NOUN PUNCT NOUN CCONJ PRON PRON ADP NOUN PUNCT NOUN AUX X ADV X CCONJ VERB NOUN CCONJ ADJ NOUN AUX PROPN PROPN PUNCT X X X PROPN VERB DET NOUN PUNCT SCONJ PRON AUX X NOUN ADP PROPN PROPN VERB DET ADJ NOUN CCONJ VERB PRON ADP DET PRON PUNCT PRON AUX AUX NOUN NOUN ADV ADP NOUN PROPN NOUN ADJ NOUN PUNCT PRON AUX ADJ SCONJ SCONJ PRON VERB CCONJ VERB PRON NOUN ADP DET DET NOUN CCONJ NOUN PUNCT PRON AUX PRON VERB ADP NOUN PUNCT ADP ADJ NOUN CCONJ X ADJ NOUN AUX PRON ADV VERB ADJ ADP NOUN PUNCT NOUN AUX ADJ ADP NOUN PRON PUNCT SPACE PRON AUX ADP NOUN ADJ PART VERB SCONJ PRON CCONJ AUX VERB DET ADJ NOUN ADJ ADP PRON PRON AUX ADJ PUNCT SCONJ X PRON AUX VERB ADV X X X SCONJ PART VERB ADJ ADP DET NOUN ADJ PROPN PUNCT SPACE NOUN,0.04375,0.3592276964047955,175,800,0.6685714285714286,0.26248228045865274
"[Ja, det, er, vel, dette, med, å, bli, gammel, og, tenke, tilbake, på, en, tid, som, var, ., Har, nettopp, lest, et, dikt, i, dag, som, jeg, må, sende, deg, ., 
, Vi, ble, godt, mottatt, den, gang, ., Her, var, mange, eldre, og, vi, fikk, god, mat, av, de, yngre, ., Og, vi, fikk, oppleve, mye, ., Og, så, mange, vakre, blomster, som, sto, i, vinduene, og, i, blomsterbeda, ,, alle, de, forskjellige, slag, av, blomster, ., Det, var, den, gang, det, kom, kuer, og, sauer, springende, langs, veien, om, sommeren, og, om, vinteren, hadde, vi, grisen, på, besøk, ., 
, barna, ble, syke, en, natt, måtte, vi, dra, ,, de, lå, over, hos, oss, til, morgenen, kom, ., Men, tenk, nå, når, jeg, tenker, på, det, måtte, de, dra, avgarde, igjen, om, morgenen, ., Ja, ,, så, var, ikke, skolen, lenger, da, ,, og, alle, måtte, reise, på, arbeid, ., 
, Men, den, gang, vi, var, små, var, det, en, trivelig, tid, ., Jeg, var, jo, bare, 4, år, når, jeg, flyttet, hit, fra, Oslo, ,, og, kan, enda, minnes, den, dag, jeg, hadde, et, sår, på, den, ene, foten, ., Jeg, datt, ned, fra, kjøkkenstolen, ., Når, jeg, ser, den]",INTJ PRON AUX ADV PRON SCONJ PART VERB ADJ CCONJ VERB ADP ADP DET NOUN PRON VERB PUNCT AUX ADV VERB DET NOUN ADP NOUN PRON PRON AUX VERB PRON PUNCT SPACE PRON AUX ADJ VERB DET NOUN PUNCT ADV VERB ADJ ADJ CCONJ PRON VERB ADJ NOUN ADP DET ADJ PUNCT CCONJ PRON AUX VERB ADJ PUNCT CCONJ ADV ADJ ADJ NOUN PRON VERB ADP NOUN CCONJ ADP NOUN PUNCT DET DET ADJ NOUN ADP NOUN PUNCT PRON AUX DET NOUN PRON VERB NOUN CCONJ NOUN ADJ ADP NOUN ADP NOUN CCONJ SCONJ NOUN VERB PRON NOUN ADP NOUN PUNCT SPACE NOUN VERB ADJ DET NOUN AUX PRON VERB PUNCT PRON VERB ADP ADP PRON ADP NOUN VERB PUNCT CCONJ VERB ADV SCONJ PRON VERB ADP PRON AUX PRON VERB NOUN ADV ADP NOUN PUNCT INTJ PUNCT ADV AUX PART NOUN ADJ ADV PUNCT CCONJ PRON AUX VERB ADP NOUN PUNCT SPACE CCONJ DET NOUN PRON AUX ADJ AUX PRON DET ADJ NOUN PUNCT PRON AUX ADV ADV NUM NOUN SCONJ PRON VERB ADV ADP PROPN PUNCT CCONJ AUX ADV VERB DET NOUN PRON VERB DET NOUN ADP DET NUM NOUN PUNCT PRON VERB ADP ADP NOUN PUNCT SCONJ PRON VERB PRON,0.04009163802978236,0.3667233009708752,203,873,0.6650246305418719,0.3368939656900693
"[Så, var, det, i, gang, igjen, ., En, gammel, tradisjon, ble, gjenopprettet, tidlig, på, åttitallet, ,, med, skiflyging, i, Kulm, ., Med, den, entusiastiske, og, positive, holdningen, til, skiflyging, som, eksisterte, blant, norske, hoppere, ,, var, det, ikke, vanskelig, å, reise, gjennom, Mellom-Europa, med, et, brennende, ønske, om, å, gjenoppta, denne, skikken, ., Det, var, i, seg, seiv, å, se, fram, til, ., 
, For, første, gang, gikk, jeg, til, anskaffelse, av, spesialkonstruerte, hoppski, ., Som, amatørhopper, på, landslaget, i, tolv, sesonger, og, med, deltakelse, på, det, norske, hopplandslaget, i, to, år, ,, hadde, jeg, fått, såpass, innsikt, i, teknikk, og, utstyr, at, det, ga, mening, å, bygge, om, hoppskiene, mine, for, denne, sesongen, ,, med, spesiallagede, støvler, med, stålplater, bak, for, å, fordele, trykket, fra, hoppbakken, best, mulig, ., Alt, fungerte, bedre, med, spesialski, ., Derfor, var, jeg, veldig, ivrig, på, å, komme, ut, å, prøve, de, spesialkonstruerte, skiene, og, støvlene, i, Oberstdorf, ,, hoppbakken, som, huser, skiflygings]",ADV AUX PRON ADP NOUN ADV PUNCT DET ADJ NOUN AUX VERB ADJ ADP NOUN PUNCT ADP NOUN ADP PROPN PUNCT ADP DET ADJ CCONJ ADJ NOUN ADP NOUN PRON VERB ADP ADJ NOUN PUNCT AUX PRON PART ADJ PART VERB ADP PROPN ADP DET ADJ NOUN SCONJ PART VERB DET NOUN PUNCT PRON AUX ADP PRON VERB PART VERB ADP ADP PUNCT SPACE ADP ADJ NOUN VERB PRON ADP NOUN ADP ADJ PRON PUNCT SCONJ VERB ADP NOUN ADP NUM NOUN CCONJ ADP NOUN ADP DET ADJ NOUN ADP NUM NOUN PUNCT AUX PRON VERB ADJ NOUN ADP NOUN CCONJ NOUN SCONJ PRON VERB NOUN PART VERB ADP NOUN PRON ADP DET NOUN PUNCT ADP ADJ NOUN ADP NOUN ADP SCONJ PART VERB NOUN ADP NOUN ADJ ADJ PUNCT PRON VERB ADJ ADP NOUN PUNCT ADV AUX PRON ADJ ADJ SCONJ PART VERB ADP PART VERB DET ADJ NOUN CCONJ NOUN ADP PROPN PUNCT NOUN PRON VERB NOUN,0.04,0.3815511163337257,159,900,0.559748427672956,0.2823528884588418
"[Det, var, som, om, jeg, våknet, av, en, ond, drøm, ., Det, er, slik, det, kjennes, innvendig, ., Når, jeg, ikke, føler, meg, helt, fornøyd, ., 
, Jeg, våknet, på, sykehuset, ., På, en, måte, var, det, deilig, ., Legene, ville, hjelpe, meg, å, bli, frisk, og, få, fjernet, svulsten, de, hadde, oppdaget, på, skjoldbruskkjertelen, ., Men, da, jeg, hadde, vært, der, i, et, par, dager, ,, begynte, jeg, å, fundere, ., 
, Mamma, ville, at, jeg, skulle, lære, meg, å, kjøre, igjen, ., Men, det, var, noe, som, ikke, stemte, ., Hvorfbr, kunne, den, derre, sykdommen, dukke, opp, på, de, mest, ubeleilige, tidspunktene, ?, 
, Jeg, ringte, til, Johan, ,, og, vi, snakket, om, det, ., 
, -, Man, ser, seg, om, i, verden, og, lærer, seg, ikke, å, ta, livet, for, gitt, ., Jeg, har, mistet, så, mange, på, grunn, av, sykdom, ., Det, er, ikke, alle, mennesker, som, tenker, seg, om, før, de, snakker, ., Og, så, blir, man, skuffet, ,, seiv, om, det, kanskje, ikke, var, meningen, ., Det, var, sånn, jeg, og, pappa, ble, uvenner, ,, så, ble, jeg, syk, og, han, forlot, meg, ., Det, går, ikke, alltid, som, man, planlegger]",PRON AUX ADP SCONJ PRON VERB ADP DET ADJ NOUN PUNCT PRON AUX ADV PRON VERB ADJ PUNCT SCONJ PRON PART VERB PRON ADJ ADJ PUNCT SPACE PRON VERB ADP NOUN PUNCT ADP DET NOUN AUX PRON ADJ PUNCT NOUN AUX VERB PRON PART VERB ADJ CCONJ AUX VERB NOUN PRON AUX VERB ADP NOUN PUNCT CCONJ SCONJ PRON AUX AUX ADV ADP DET NOUN NOUN PUNCT VERB PRON PART VERB PUNCT SPACE NOUN VERB SCONJ PRON AUX VERB PRON PART VERB ADV PUNCT CCONJ PRON VERB PRON PRON PART VERB PUNCT PROPN AUX DET ADJ NOUN VERB ADP ADP DET ADJ ADJ NOUN PUNCT SPACE PRON VERB ADP PROPN PUNCT CCONJ PRON VERB ADP PRON PUNCT SPACE PUNCT PRON VERB PRON ADP ADP NOUN CCONJ VERB PRON PART PART VERB NOUN SCONJ VERB PUNCT PRON AUX VERB ADV ADJ ADP NOUN ADP NOUN PUNCT PRON AUX PART DET NOUN PRON VERB PRON ADP SCONJ PRON VERB PUNCT CCONJ ADV AUX PRON VERB PUNCT VERB ADP PRON ADV PART AUX NOUN PUNCT PRON AUX ADV PRON CCONJ NOUN VERB NOUN PUNCT ADV VERB PRON ADJ CCONJ PRON VERB PRON PUNCT PRON VERB PART ADV PRON PRON VERB,0.042986425339366516,0.40143712574850127,197,884,0.6243654822335025,0.40170334937750324
"[Det, er, ikkje, så, rart, at, den, eldste, delen, av, stavkyrkja, er, bygd, kring, år, 1200., Allereie, på, 1100, -, og, 1200, -, taIet, var, den, såkalla, tre-riks-, grensa, i, ferd, med, å, etablera, seg, ,, med, tydelegare, grenser, mellom, Noreg, ,, Danmark, og, Sverige, ., Samstundes, tok, Noreg, også, steget, frå, å, vera, eit, tynt, folkesett, land, til, å, vera, den, største, utkanten, i, Europa, ,, med, over, 50, 000, nordmenn, som, levde, på, andre, sida, av, Nordsjøen, ., Dette, medførte, større, behov, for, å, markera, eigne, grenser, ,, og, Noreg, er, også, den, nasjonen, som, gjennom, åra, har, teke, ut, størst, toll, på, dei, som, kryssa, landegrensene, ., 
, Frå, det, gamle, kyrkjebrevet, som, er, tidfest, til, kring, år, 1125, og, syner, at, ei, viktig, årsak, til, at, stavkyrkja, vart, bygd, så, pass, tidleg, som, den, blei, ,, er, den, nye, makta, til, kyrkjehovdingen, Erling, Skakke, ., Som, konge, over, både, Noreg, og, England, frå, 1163, og, fram, til]",PRON AUX X ADV ADJ SCONJ DET ADJ NOUN ADP NOUN AUX VERB NOUN NOUN NUM NOUN ADP NUM PUNCT CCONJ NUM PUNCT PROPN AUX DET NOUN PROPN NOUN ADP NOUN SCONJ PART VERB PRON PUNCT ADP NOUN NOUN ADP PROPN PUNCT PROPN CCONJ PROPN PUNCT PROPN VERB PROPN ADV VERB NUM PART X DET ADJ ADJ NOUN SCONJ PART VERB DET ADJ NOUN ADP PROPN PUNCT ADP ADP NUM NUM NOUN PRON VERB ADP DET NOUN ADP PROPN PUNCT PRON VERB ADJ NOUN SCONJ PART VERB PROPN NOUN PUNCT CCONJ PROPN AUX ADV DET NOUN PRON ADP NOUN AUX VERB ADP ADJ NOUN ADP NOUN PRON VERB NOUN PUNCT SPACE ADP DET ADJ NOUN PRON AUX ADJ ADP NOUN NOUN NUM CCONJ VERB SCONJ DET ADJ NOUN SCONJ SCONJ PROPN AUX VERB ADV NOUN NOUN PRON PRON VERB PUNCT AUX DET ADJ NOUN ADP NOUN PROPN PROPN PUNCT SCONJ NOUN ADP CCONJ PROPN CCONJ PROPN ADP NUM CCONJ ADP ADP,0.05018359853121175,0.379348958333333,161,817,0.5652173913043478,0.24041623733985193
"[Kor, mange, prosent, er, det, av, figuren, ?, Kor, mange, prosent, er, 3, av, 12, ?, 
, 13, Kor, mange, prosent, er, det, av, figuren, ?, Kor, mange, prosent, er, 3, av, 12, ?, 
, Tal, på, ggru, :, ne, :, |, |, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, |, |, 100, 40, 30, 20, 10, 0, nal, oo, oo, "", 
, Ein, del, av, figurane, er, fargelagde, ,, sjå, nedst, på, side, 37., Kor, mange, prosent, er, fargelagde, ?, Kor, mange, prosent, er, ikkje, fargelagde, ?, 
, 36, Ein, bileigar, måtte, betale, 38, 500, kr, i, skatt, ., Kor, mange, prosent, av, det, han, tente, ,, betalte, han, i, skatt, ?, 
, Kor, mange, prosent, er, det, av, figuren, ?, Kor, mange, prosent, er, 3av, 12, ?, 
, 39, —, På, ein, skule, er, det, i, alt, 240, elevar, ., Kor, mange, prosent, er, fråverande, ein, av, dei, tre, første, dagane, etter, kvart, bursdagen, sin, til, den, siste, ,, når, talet, på, fråverande, elevar, ein, dag, tel, 24, ?, 
, Kor, mange, prosent, er]",ADV ADJ NOUN AUX PRON ADP NOUN PUNCT ADV ADJ NOUN AUX NUM ADP NUM PUNCT SPACE NUM NOUN ADJ NOUN AUX PRON ADP NOUN PUNCT ADV ADJ NOUN AUX NUM ADP NUM PUNCT SPACE PROPN ADP PROPN PUNCT NOUN PUNCT PUNCT PUNCT NUM NUM NUM NUM NUM NUM NUM NUM NUM NUM PUNCT PUNCT NUM NUM NUM NUM NUM NUM PROPN PROPN PROPN PUNCT SPACE ADJ NOUN ADP NOUN AUX NOUN PUNCT ADV PROPN ADP NOUN PROPN ADV ADJ NOUN AUX NOUN PUNCT ADV ADJ NOUN AUX ADV NOUN PUNCT SPACE NUM PROPN X AUX VERB NUM NUM NOUN ADP NOUN PUNCT ADV ADJ NOUN ADP PRON PRON VERB PUNCT VERB PRON ADP NOUN PUNCT SPACE NOUN ADJ NOUN AUX PRON ADP NOUN PUNCT ADV ADJ NOUN AUX PROPN NUM PUNCT SPACE NUM PUNCT ADP X PROPN AUX PRON ADP PRON NUM NOUN PUNCT ADV ADJ NOUN AUX ADJ NOUN ADP PROPN NUM ADJ NOUN ADP NOUN NOUN PRON ADP DET ADJ PUNCT SCONJ NOUN ADP ADJ PROPN X X X NUM PUNCT SPACE NOUN ADJ NOUN AUX,0.061224489795918366,0.4027696793002912,179,735,0.4301675977653631,0.07615132612050132
"[Det, er, veldig, kjekt, å, få, lage, denne, kokeboken, ., Jeg, husker, at, jeg, som, liten, likte, veldig, godt, da, mor, lagde, gryteretter, av, kjøttdeig, ,, tomatpuré, ,, poteter, og, kål, ., Disse, rettene, var, ikke, så, mye, å, se, på, ,, men, de, var, skikkelig, gode, med, masse, smak, ., Og, ikke, minst, ,, det, å, få, spise, det, sammen, med, resten, av, familien, ., 
, En, annen, smak, som, jeg, husker, at, jeg, ble, utrolig, glad, for, som, barn, ,, var, mammas, sjokoladeblanding, -, sjokolademugge, !, De, få, gangene, de, hadde, sjokolade, i, kjøleskapet, ,, så, ble, hun, alltid, sittende, og, drikke, den, av, glassmuggen, ., 
, Mamma, elsker, å, lage, sauser, og, røre, i, grytene, -, og, så, er, hun, så, glad, i, gode, grønnsaker, ., I, alle, slags, gryter, hun, lager, ,, skal, det, være, minst, en, gulrot, ,, en, del, søtpotet, ,, en, del, løk, ,, en, del, ingefær, og, en, del, chili, ., 
, Jeg, har, også, en, mamma, som, elsker, å, dra, ut, på, tur, i, marka, og, nyte, frisk, luft, ., Hun, blir, også]",PRON AUX ADJ ADJ PART AUX VERB DET NOUN PUNCT PRON VERB SCONJ PRON SCONJ ADJ VERB ADJ ADJ SCONJ NOUN VERB NOUN ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT DET NOUN AUX PART ADV ADJ PART VERB ADP PUNCT CCONJ PRON AUX ADJ ADJ ADP ADJ NOUN PUNCT CCONJ PART ADJ PUNCT PRON PART AUX VERB PRON ADV ADP NOUN ADP NOUN PUNCT SPACE DET DET NOUN PRON PRON VERB SCONJ PRON VERB ADJ ADJ ADP SCONJ NOUN PUNCT AUX ADJ NOUN PUNCT ADJ PUNCT DET ADJ NOUN PRON VERB NOUN SCONJ NOUN PUNCT ADV VERB PRON ADV ADJ CCONJ VERB PRON ADP NOUN PUNCT SPACE NOUN VERB PART VERB NOUN CCONJ VERB ADP NOUN PUNCT CCONJ ADV AUX PRON ADV ADJ ADP ADJ NOUN PUNCT ADP DET NOUN NOUN PRON VERB PUNCT AUX PRON AUX ADJ DET NOUN PUNCT DET NOUN NOUN PUNCT DET NOUN NOUN PUNCT DET NOUN NOUN CCONJ DET NOUN NOUN PUNCT SPACE PRON VERB ADV DET NOUN PRON VERB PART VERB ADP ADP NOUN ADP NOUN CCONJ VERB ADJ NOUN PUNCT PRON VERB ADV,0.04733009708737864,0.37873548387096817,182,824,0.554945054945055,0.2862669306364536
