tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, lett, å, få, øye, på, andre, enn, vinneren, i, den, trange, ,, glatte, løypa, med, krappelé, i, terrengpartier, og, mange, bratte, utforkjøringer, ., 
, Alsgaard, sa, at, det, ikke, var, godt, nok, å, være, en, bra, terrengsyklist, som, er, god, teknisk, ., 
, –, Det, var, en, løype, vi, ikke, var, godt, nok, forberedt, på, ,, sa, han, etter, å, ha, blitt, knust, av, unge, syklister, som, hevdet, seg, i, de, fleste, ritt, ., 
, Men, han, var, glad, for, å, ha, fått, oppleve, stemningen, med, det, enorme, publikumsinnrykket, langs, traseen, –, og, han, så, hvor, glade, barna, var, fordi, han, gjorde, det, så, bra, ., Det, er, viktig, og, motiverende, ., (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, ), (, ©NTB, )]",CCONJ PRON AUX PART ADJ PART VERB NOUN ADP DET ADP NOUN ADP DET ADJ PUNCT ADJ NOUN ADP NOUN ADP NOUN CCONJ ADJ ADJ NOUN PUNCT SPACE PROPN VERB SCONJ PRON PART AUX ADJ ADV PART AUX DET ADJ NOUN PRON AUX ADJ ADJ PUNCT SPACE PUNCT PRON AUX DET NOUN PRON PART AUX ADJ ADV ADJ ADP PUNCT VERB PRON SCONJ PART AUX AUX VERB ADP ADJ NOUN PRON VERB PRON ADP DET ADJ NOUN PUNCT SPACE CCONJ PRON AUX ADJ SCONJ PART AUX AUX VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV ADJ NOUN AUX SCONJ PRON VERB PRON ADV ADJ PUNCT PRON AUX ADJ CCONJ ADJ PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PUNCT,0.06200317965023847,0.37003448275862116,149,629,0.5033557046979866,0.26995914825943657
"[Det, var, ein, av, dei, fremste, mennene, i, Noreg, under, den, engelske, borgarkrigen, ;, farbroren, til, Jakob, 1, og, onkelen, og, svogeren, til, Georg, I, av, Storbritannia, ., 
, Swift, skreiv, meir, enn, eitt, hundre, humoristiske, og, satiriske, ,, men, også, filosofiske, og, verdshistoriske, essay, ., Desse, kan, delast, inn, i, tre, grupper, ., To, essay, handlar, om, reiser, og, om, ulike, land, ., Ei, gruppe, dreier, seg, om, ulike, slag, vitsar, ,, anten, dei, er, morosame, eller, ikkje, ., Hovudsaka, i, mange, av, essaya, er, å, syna, kor, merkeleg, det, engelske, samfunnet, var, ., Dei, fleste, av, desse, tek, for, seg, engelske, forhold, som, maktmisbruk, ,, fattigdom, ,, korrupsjon, ,, lovløyse, og, anna, ., Den, siste, gruppa, inneheld, nokre, få, moralfilosofiske, essay, ., Desse, tek, opp, emne, som, synd, og, dygd, og, spørsmål, som, korleis, ein, skal, leva, godt, som, eit, enkelt, menneske, ., Om, verda, er, ein, stad, det, er, vanskeleg, å, nå, fram, til, ,, eller, om, ein, tvert, imot, kan, nå]",PRON AUX X ADP DET ADJ NOUN ADP PROPN ADP DET ADJ NOUN PUNCT NOUN ADP PROPN NUM CCONJ NOUN CCONJ NOUN ADP PROPN ADP ADP PROPN PUNCT SPACE PROPN VERB PROPN ADP NOUN NUM ADJ CCONJ ADJ PUNCT CCONJ ADV ADJ CCONJ ADJ NOUN PUNCT NOUN AUX NOUN ADP ADP NUM NOUN PUNCT NUM NOUN NOUN ADP NOUN CCONJ ADP ADJ NOUN PUNCT DET NOUN VERB PRON ADP ADJ NOUN ADJ PUNCT NOUN X AUX NOUN CCONJ X PUNCT PROPN ADP ADJ ADP PROPN AUX PART PRON ADV NOUN DET ADJ NOUN VERB PUNCT DET ADJ ADP PROPN NOUN ADP PRON ADJ NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ PROPN PUNCT DET ADJ NOUN ADP ADJ ADJ ADJ NOUN PUNCT X X ADP NOUN ADP NOUN CCONJ NOUN CCONJ NOUN PRON X X X X ADJ ADP DET ADJ NOUN PUNCT ADP PROPN X X X PRON AUX ADV PART VERB ADP ADP PUNCT CCONJ ADP PROPN ADV ADP AUX VERB,0.047058823529411764,0.3675405742821469,165,850,0.5515151515151515,0.21095641037089713
"[Det, var, så, som, så, med, det, da, den, nyvalgte, presidenten, ,, Barack, Obama, ,, holdt, sin, første, pressekonferanse, som, president, ., Men, han, fikk, svar, på, tiltale, fra, en, av, dem, som, har, sett, presidenten, i, aksjon, som, president, ,, senator, Edward, Kennedy, ., 
, Obama, hadde, nemlig, ingen, problemer, med, å, svare, på, pressens, spørsmål, da, han, ble, møtt, av, et, samlet, pressekorps, i, plenumssalen, i, det, hvite, hus, i, ettermiddag, norsk, tid, ., 
, J.F., Kennedy, gikk, til, felts, mot, amerikansk, våpenlovgivning, da, han, i, fjor, ga, sin, støtte, til, McCain, og, demokratene, med, følgende, kraftsats, :, «, Ingen, som, eier, gevær, har, rett, til, å, bære, et, gevær, ., », 
, På, pressekonferansen, stilte, også, Barack, Obama, spørsmål, om, senator, Kennedys, kritikk, av, USAs, militære, engasjement, i, Irak, ., 
, -, Svaret, på, Senat-medlemmet, Kennedys, kritikk, er, veldig, enkelt, ,, sa, Barack, Obama, ., 
, -, Senator, Kennedy, ønsker, at, USA, igjen, skal, engasjere, seg, militært, i, Irak, ., Det, er, ingenting, å, tenke, på, for, presidenten, ., 
, O]",PRON AUX ADV SCONJ ADV ADP PRON SCONJ DET ADJ NOUN PUNCT PROPN PROPN PUNCT VERB PRON ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB NOUN ADP NOUN ADP DET ADP PRON PRON AUX VERB NOUN ADP NOUN ADP NOUN PUNCT NOUN PROPN PROPN PUNCT SPACE PROPN VERB ADV DET NOUN SCONJ PART VERB ADP NOUN NOUN SCONJ PRON AUX VERB ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP NOUN ADJ NOUN PUNCT SPACE PROPN PROPN VERB ADP NOUN ADP ADJ NOUN SCONJ PRON ADP NOUN VERB PRON NOUN ADP PROPN CCONJ NOUN ADP ADJ NOUN PUNCT PUNCT PRON PRON VERB NOUN VERB NOUN SCONJ PART VERB DET NOUN PUNCT PUNCT SPACE ADP NOUN VERB ADV PROPN PROPN NOUN ADP NOUN PROPN NOUN ADP PROPN ADJ NOUN ADP PROPN PUNCT SPACE PUNCT NOUN ADP NOUN PROPN NOUN AUX ADJ ADJ PUNCT VERB PROPN PROPN PUNCT SPACE PUNCT NOUN PROPN VERB SCONJ PROPN ADV AUX VERB PRON ADJ ADP PROPN PUNCT PRON VERB PRON PART VERB ADP ADP NOUN PUNCT SPACE NOUN,0.052805280528052806,0.40179069767441655,174,909,0.47126436781609193,0.1747748958774217
"[Ja, det, var, en, god, idé, ., Jeg, har, selv, en, gang, haft, et, lignende, projekt, ,, og, har, overvejet, det, igen, -, også, med, at, finde, mine, egne, billeder, ,, men, med, mindre, "", støj, "", på, billedet, ,, det, er, en, stor, fordel, ., Det, er, altid, en, god, oplevelse, at, blive, forundret, /, beundret, ,, og, jo, da, også, når, man, bliver, direkte, irriteret, .., og, det, bliver, man, indimellem, ., Men, jeg, må, indrømme, at, jeg, er, mere, til, de, flotte, billeder, end, dem, med, "", almindelige, "", mennesker, ., Gør, man, det, rigtigt, ,, bliver, det, også, en, fryd, for, øjet, at, se, på, ., 
, Det, går, desværre, ikke, super, med, at, følge, op, på, alle, de, hilsner, jeg, gerne, ville, tage, imod, ., Men, jeg, kan, fortælle, at, det, med, at, fotografere, er, jeg, jo, gået, all, in, på, ,, også, selvom, jeg, kun, ligger, på, langs, i, længere, perioder, ., Jeg, har, i, forvejen, et, par, gamle, billeder, jeg, har, tænkt, mig, at, lave, om, til, en, plakat, ,, men, jeg, er, usikker, på, hvordan, jeg, gør, det]",INTJ PRON AUX DET ADJ NOUN PUNCT PRON VERB ADV DET NOUN NOUN DET ADJ NOUN PUNCT CCONJ AUX VERB PRON NOUN PUNCT ADV SCONJ SCONJ PROPN PRON DET NOUN PUNCT CCONJ ADP ADJ PUNCT NOUN PUNCT ADP NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT PRON AUX NOUN DET ADJ NOUN SCONJ PROPN ADJ SYM ADJ PUNCT CCONJ ADV ADV ADV SCONJ PRON VERB ADJ NOUN PUNCT CCONJ PRON VERB PRON NOUN PUNCT CCONJ PRON AUX VERB SCONJ PRON AUX ADJ ADP DET ADJ NOUN ADJ PRON ADP PUNCT ADJ PUNCT NOUN PUNCT PROPN PRON DET NOUN PUNCT VERB PRON ADV DET NOUN ADP ADJ SCONJ VERB ADP PUNCT SPACE PRON VERB ADJ PART ADJ SCONJ SCONJ VERB PROPN ADP DET DET NOUN PRON NOUN AUX VERB NOUN PUNCT CCONJ PRON AUX VERB SCONJ PRON SCONJ SCONJ ADJ AUX PRON ADV ADJ DET X ADP PUNCT ADV ADV PRON ADV VERB ADP ADP ADP NOUN NOUN PUNCT PRON AUX ADP NOUN DET NOUN ADJ NOUN PRON VERB VERB PROPN SCONJ ADJ ADP ADP DET NOUN PUNCT CCONJ PRON AUX ADJ SCONJ ADV PRON X PRON,0.0430622009569378,0.37458703939008875,186,836,0.5860215053763441,0.23189365672905926
"[Ja, det, er, et, år, siden, ,, det, var, dengang, ,, og, nu, har, jeg, fundet, på, noget, andet, ., Jeg, har, fundet, mig, en, praktikantplads, ,, og, det, er, ikke, helt, som, det, var, før, i, tiden, ,, hvor, vi, i, den, grad, var, en, stor, familie, ,, og, vi, arbejdede, alle, sammen, ., Det, er, jo, nok, den, mest, naturlige, afdeling, ,, jeg, nogensinde, kommer, ned, på, ,, men, jeg, synes, nu, stadig, det, er, ret, mærkeligt, ., 
, Jeg, har, nu, været, der, en, uge, og, det, går, godt, ., For, det, første, er, det, ikke, så, hårdt, at, skulle, tidligt, op, ,, og, for, det, andet, er, det, ret, sjovt, ., Alle, sammen, er, søde, ,, og, jeg, kender, dem, jo, alle, sammen, ., Det, hjælper, en, del, ,, men, det, er, nu, lidt, svært, at, være, i, praktik, i, dag, ,, og, det, har, betydet, ,, at, jeg, har, tilbragt, min, dag, med, at, lave, absolut, ingenting, ., For, det, er, jo, sådan, jeg, har, nemmest, ved, at, lære, noget, ,, men, sådan, er, det, jo, bare, ikke, ., Nu, er, jeg, dog, stået, op, og, skal, ud, og, besøge, nogle, kunder, og, gøre, rent, ., Ligger, lige, nu, i, min, seng]",INTJ PRON AUX DET NOUN ADV PUNCT PRON AUX NOUN PUNCT CCONJ ADV AUX PRON VERB ADP PROPN NOUN PUNCT PRON AUX VERB X DET NOUN PUNCT CCONJ PRON AUX PART ADJ PRON PRON AUX ADP ADP NOUN PUNCT ADV PRON ADP DET NOUN AUX DET ADJ NOUN PUNCT CCONJ PRON VERB PRON ADV PUNCT PRON AUX ADV ADV DET ADJ ADJ NOUN PUNCT PRON ADJ VERB ADP ADP PUNCT CCONJ PRON VERB ADV ADJ PRON AUX PROPN PROPN PUNCT SPACE PRON VERB ADV NOUN SCONJ DET NOUN CCONJ PRON VERB ADJ PUNCT ADP DET ADJ AUX PRON PART ADV ADJ SCONJ AUX X X PUNCT CCONJ ADP DET NOUN AUX PRON X PROPN PUNCT PRON ADV AUX ADJ PUNCT CCONJ PRON VERB PRON ADV PRON ADV PUNCT PRON VERB DET NOUN PUNCT CCONJ PRON VERB ADV ADJ ADJ SCONJ AUX ADP NOUN ADP NOUN PUNCT CCONJ PRON AUX NOUN PUNCT SCONJ PRON AUX VERB PRON NOUN SCONJ SCONJ ADJ ADV PRON PUNCT CCONJ PRON AUX ADV NOUN PRON VERB NOUN SCONJ SCONJ VERB PROPN PUNCT CCONJ NOUN AUX PRON ADV ADV PART PUNCT ADV AUX PRON ADV NOUN PROPN CCONJ AUX PROPN CCONJ PROPN ADJ NOUN CCONJ ADJ ADJ PUNCT VERB ADJ ADV ADP PRON NOUN,0.038946162657502864,0.3659951456310686,207,873,0.6280193236714976,0.32432822804320277
"[Så, var, det, min, tur, ,, å, få, et, innblikk, i, historien, om, et, av, klostrene, på, Athos, ., Det, var, ingen, påmeldingsliste, når, vi, kom, ,, så, vi, fikk, gå, fritt, rundt, å, se, på, alt, en, ønsker, ., Og, her, skulle, vi, bruke, minst, to, timer, !, Det, gikk, jo, ikke, !, Klosterets, historie, er, fantastisk, ,, og, klosteret, med, klostergangene, var, utrolig, spesielt, ., Det, måtte, oppleves, !, Så, jeg, er, glad, ingen, på, forhånd, hadde, nevnt, det, for, meg, !, 
, Jeg, måtte, jo, stille, meg, i, køen, for, å, komme, inn, i, klosteret, ., 
, Jeg, er, ikke, sikker, på, hvor, de, tok, bildet, med, oss, ,, for, jeg, trodde, at, det, var, meg, de, tok, bilde, av, -, men, det, var, det, altså, ikke, ., Jaja, ,, det, var, kanskje, litt, dårlig, av, meg, å, ikke, vite, hva, vi, skal, ta, bilde, av, ,, da, ..., ;), 
, Etter, å, ha, sett, på, klostergangene, gikk, vi, inn, i, den, lille, kirken, der, ,, for, vi, ble, invitert, inn, i, den, etter, vi, hadde, sett, på, den, utenfra, ., 
, Så, måtte, vi, forlate, klosteret, ,, for, vi, skulle, møtes]",ADV AUX PRON PRON NOUN PUNCT PART VERB DET NOUN ADP NOUN ADP DET ADP NOUN ADP PROPN PUNCT PRON VERB DET NOUN SCONJ PRON VERB PUNCT CCONJ PRON AUX VERB ADJ SCONJ PART VERB ADP PRON PRON VERB PUNCT CCONJ ADV AUX PRON VERB ADJ NUM NOUN PUNCT PRON VERB ADV PART PUNCT NOUN NOUN AUX ADJ PUNCT CCONJ NOUN ADP NOUN AUX ADJ ADJ PUNCT PRON AUX VERB PUNCT CCONJ PRON AUX ADJ PRON ADP NOUN AUX VERB PRON ADP PRON PUNCT SPACE PRON AUX ADV VERB PRON ADP NOUN SCONJ PART VERB ADP ADP NOUN PUNCT SPACE PRON AUX PART ADJ SCONJ ADV PRON VERB NOUN ADP PRON PUNCT CCONJ PRON VERB SCONJ PRON AUX PRON PRON VERB NOUN ADP PUNCT CCONJ PRON AUX PRON ADV PART PUNCT NOUN PUNCT PRON AUX ADV ADJ ADJ ADP PRON PART PART VERB PRON PRON AUX VERB NOUN ADP PUNCT ADV PUNCT PUNCT SPACE SCONJ PART AUX VERB ADP NOUN VERB PRON ADP ADP DET ADJ NOUN ADV PUNCT CCONJ PRON AUX VERB ADP ADP PRON SCONJ PRON AUX VERB ADP PRON ADP PUNCT SPACE ADV AUX PRON VERB NOUN PUNCT CCONJ PRON AUX VERB,0.043478260869565216,0.37179551122194465,195,851,0.676923076923077,0.26000570126250105
"[Det, var, som, om, jeg, kjente, en, sterk, duft, –, en, slags, aroma, som, jeg, aldri, har, kjent, maken, ., Det, var, et, eller, annet, magisk, med, den, ., En, slags, søtlig, eukalyptus-aroma, som, nesten, tvang, på, meg, en, slurk, vann, ., Jeg, drakk, mye, vann, ,, men, hadde, fortsatt, vanskelig, for, å, tro, at, dette, var, sant, ., Da, jeg, kom, hjem, og, satte, fra, meg, koppen, ,, kjente, jeg, at, teen, ikke, smakte, noe, ., 
, –, Å, ,, nei,  , Du, har, drukket, noe, som, ikke, smaker, noe, som, helst, 
, –, Du,  , ehm, ,, jeg, kjente, en, rar, lukt, fra, vannkranen, ..., 
, Helene, dro, genseren, tett, over, hodet, ., Varmen, fra, genseren, mot, kinnet, føltes, vidunderlig, ,, som, å, være, midt, i, en, varm, dusj, ,, og, hun, kjente, på, det, hun, hadde, gjort, da, hun, sto, opp, ., 
, –, Har, jeg, noe, mat, til, deg, ?, spurte, jeg, mens, jeg, pakket, klærne, hennes, inn, i, skapet, ., Da, innså, Helene, at, klærne, hennes, lå, sammenkrøllet, i, en, ball, på]",PRON AUX ADP SCONJ PRON VERB DET ADJ NOUN PUNCT DET NOUN NOUN PRON PRON ADV AUX VERB NOUN PUNCT PRON AUX DET CCONJ DET ADJ ADP PRON PUNCT DET NOUN ADJ NOUN PRON ADV VERB ADP PRON DET NOUN NOUN PUNCT PRON VERB ADJ NOUN PUNCT CCONJ VERB ADV ADJ SCONJ PART VERB SCONJ PRON AUX ADJ PUNCT SCONJ PRON VERB ADP CCONJ VERB ADP PRON NOUN PUNCT VERB PRON SCONJ PROPN PART VERB PRON PUNCT SPACE PUNCT PART PUNCT INTJ SPACE PRON AUX VERB PRON PRON PART VERB PRON ADP ADV SPACE PUNCT PRON SPACE DET PUNCT PRON VERB DET ADJ NOUN ADP NOUN PUNCT SPACE PROPN VERB NOUN ADJ ADP NOUN PUNCT NOUN ADP NOUN SCONJ NOUN VERB ADJ PUNCT SCONJ PART AUX ADV ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADP PRON PRON AUX VERB SCONJ PRON VERB ADP PUNCT SPACE PUNCT VERB PRON DET NOUN ADP PRON PUNCT VERB PRON SCONJ PRON VERB NOUN PRON ADP ADP NOUN PUNCT ADV VERB PROPN SCONJ NOUN PRON VERB NOUN ADP DET NOUN ADP,0.047193877551020405,0.3736054421768705,177,784,0.5988700564971752,0.17626322258375243
"[Det, er, ikkje, så, lenge, sidan, den, russiske, revolusjonen, ,, men, det, er, svært, mykje, som, har, endra, seg, dei, siste, 70, åra, ., Etter, den, sosialistiske, Oktoberrevolusjonen, i, 1917, har, Moskva, styrt, Noreg, og, andre, sosialistiske, land, i, ein, særeigen, retning, ., Det, er, ikkje, mange, i, Noreg, i, dag, som, veit, kven, vi, kallar, dei, russiske, leiarane, ,, vi, les, om, dei, og, høyrer, om, dei, til, tider, med, vel, mykje, patos, ,, mens, vi, har, gløymt, Russlands, eigne, innbyggjarar, ., Kven, var, dei, ?, Kven, var, leiarane, ?, Kven, grunnla, dei, sosialistiske, statane, dei, styrte, ?, 
, I, dagens, Russland, blir, desse, leiarane, i, stor, grad, rekna, som, store, personlegdomar, ., Dei, er, respekterte, for, innsatsen, deira, ,, ikkje, for, det, dei, seier, og, gjer, i, praksis, ., Det, er, det, viktig, å, hugse, ., Det, er, dette, vi, skal, sjå, på, i, denne, essaysamlinga, ,, der, fokuset, er, på, dei, to, store, leiarane, frå, revolusjonen, i, 1917, ,, Stalin, og, Len]",PRON AUX X ADV ADJ NOUN DET ADJ NOUN PUNCT CCONJ PRON AUX ADJ NOUN PRON AUX VERB PRON DET ADJ NUM NOUN PUNCT ADP DET ADJ PROPN ADP NUM AUX PROPN VERB PROPN CCONJ DET ADJ NOUN ADP PROPN NOUN NOUN PUNCT PRON VERB ADV ADJ ADP PROPN ADP NOUN PRON VERB NOUN PRON VERB PROPN ADJ NOUN PUNCT PRON VERB ADP PROPN CCONJ VERB ADP NOUN ADP NOUN ADP ADV ADJ NOUN PUNCT SCONJ PRON VERB NOUN PROPN PROPN PROPN PUNCT NOUN AUX X PUNCT NOUN AUX NOUN PUNCT NOUN VERB PROPN ADJ NOUN PROPN VERB PUNCT SPACE ADP NOUN PROPN AUX X PROPN ADP ADJ NOUN X ADP ADJ NOUN PUNCT NOUN AUX ADJ ADP NOUN PROPN PUNCT X ADP PRON DET NOUN CCONJ VERB ADP NOUN PUNCT PRON AUX PRON ADJ PART PROPN PUNCT PRON AUX PRON PRON AUX VERB ADP ADP DET NOUN PUNCT SCONJ NOUN AUX ADP X NUM ADJ PROPN PROPN NOUN ADP NUM PUNCT PROPN CCONJ PROPN,0.05143540669856459,0.3650317662007632,165,836,0.6242424242424243,0.21493509294140595
"[Kor, mange, prosent, av, oss, som, får, kreft, ,, får, ikkje, behandling, ,, fordi, systemet, er, så, treigt, ?, 
, Det, går, ikkje, fort, nok, ,, fordi, politikarar, og, byråkratar, blir, for, opptekne, av, alle, moglegheitene, som, finst, ,, til, at, kreftlegane, har, tid, til, å, behandle, deg, ., 
, Ifølgje, Kreftforeningen, døyr, rundt, 3400, menneske, av, kreft, kvart, år, ., 
, Det, er, litt, meir, enn, i, trafikken, ., 
, Det, finst, i, dag, kreftleger, ,, onkologar, ,, som, kan, behandle, over, 40, ulike, former, for, kreft, ., I, tillegg, finst, det, ulike, behandlingar, for, fleire, av, dei, ulike, kreftformene, ., Men, systemet, er, ikkje, godt, nok, ., 
, Det, viser, kor, viktig, det, er, at, politikarar, og, byråkratar, prioriterer, i, helse­­­­­­­norge, ., Så, langt, har, ingen, kreftlege, fått, ei, årleg, lønn, på, meir, enn, ein, million, ., Då, hjelper, det, ikkje, å, ha, 40, ulike, behandlingsformer, ., 
, Det, må, finnast, ei, løysing, på, kor, mange, prosent, som, får, kreft, som, ikkje, får, behandling, ., For, kreftlegen, er, opptatt, av, korleis, det, går, med, kreftpas]",ADV ADJ NOUN ADP PRON PRON VERB NOUN PUNCT VERB X NOUN PUNCT SCONJ NOUN AUX ADV ADJ PUNCT SPACE PRON VERB ADV ADJ ADV PUNCT SCONJ PROPN CCONJ NOUN VERB ADV ADJ ADP DET NOUN ADP NOUN PUNCT SCONJ SCONJ NOUN VERB NOUN SCONJ PART VERB PRON PUNCT SPACE NOUN PROPN X ADP NUM NOUN ADP NOUN NOUN NOUN PUNCT SPACE PRON AUX ADJ ADJ ADP ADP NOUN PUNCT SPACE DET ADJ ADP NOUN NOUN PUNCT PROPN PUNCT PRON AUX VERB ADP NUM ADJ NOUN ADP NOUN PUNCT ADP NOUN VERB DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN PUNCT CCONJ NOUN AUX ADV ADJ ADV PUNCT SPACE PRON VERB ADV ADJ PRON AUX SCONJ PROPN CCONJ NOUN VERB ADP PROPN PUNCT ADV ADJ AUX DET NOUN VERB DET PROPN NOUN ADP PROPN ADP X NOUN PUNCT X VERB PRON ADV PART VERB NUM ADJ NOUN PUNCT SPACE PRON AUX VERB DET NOUN ADP ADV ADJ NOUN PRON VERB NOUN PRON X VERB NOUN PUNCT ADP NOUN AUX ADJ SCONJ ADV PRON VERB ADP NOUN,0.041988950276243095,0.3842990654205623,177,905,0.6045197740112994,0.21510189578472866
"[Det, er, veldig, mange, som, sliter, med, å, få, dette, til, å, gå, opp, ,, og, for, veldig, mange, går, det, ikke, opp, i, det, hele, tatt, -, for, ikke, å, snakke, om, å, gjøre, det, riktig, ., Her, har, jeg, og, mannen, min, en, liten, utfordring, -, for, han, vil, at, vi, skal, spise, middag, sammen, ,, mens, jeg, vil, gjøre, det, ., Jeg, vil, ha, all, maten, i, fred, ,, mens, han, vil, helst, ha, selskap, mens, han, spiser, ., Jeg, kan, jo, ikke, servere, han, kald, middag, ,, ikke, engang, en, yoghurt, med, havregryn, kan, jeg, gi, ., Jeg, kan, ikke, bli, sint, ,, for, jeg, vet, ikke, om, han, da, vil, sitte, der, uten, mat, resten, av, dagen, -, til, og, med, om, han, får, i, seg, noe, er, det, jo, ikke, bra, -, og, dessuten, er, det, også, viktig, med, nok, hvile, ., Det, er, ikke, akkurat, mye, tid, vi, har, til, rådighet, nå, etter, at, vi, har, blitt, foreldre, ,, så, vi, kan, jo, ikke, gjøre, som, alle, andre, -, det, er, viktigere, å, være, trøtte, og, slitne, enn, å, få, seg, mat, etter, en, lang, dag, ., Det, hender, jeg, er, flink, og, serverer, ham]",PRON AUX ADJ ADJ PRON VERB SCONJ PART VERB PRON SCONJ PART VERB ADP PUNCT CCONJ ADP ADJ ADJ VERB PRON PART ADP ADP DET ADJ VERB PUNCT SCONJ PART PART VERB SCONJ PART VERB PRON ADJ PUNCT ADV VERB PRON CCONJ NOUN PRON DET ADJ NOUN PUNCT CCONJ PRON VERB SCONJ PRON AUX VERB NOUN ADV PUNCT SCONJ PRON AUX VERB PRON PUNCT PRON AUX VERB DET NOUN ADP NOUN PUNCT SCONJ PRON AUX ADV VERB NOUN SCONJ PRON VERB PUNCT PRON AUX ADV PART VERB PRON ADJ NOUN PUNCT PART ADV DET NOUN ADP NOUN AUX PRON VERB PUNCT PRON AUX PART VERB ADJ PUNCT CCONJ PRON VERB PART SCONJ PRON ADV AUX VERB ADV ADP NOUN NOUN ADP NOUN PUNCT ADP CCONJ ADP SCONJ PRON VERB ADP PRON PRON AUX PRON ADV PART ADJ PUNCT CCONJ ADV AUX PRON ADV ADJ ADP ADV VERB PUNCT PRON AUX PART ADV ADJ NOUN PRON VERB ADP NOUN ADV SCONJ SCONJ PRON AUX VERB NOUN PUNCT CCONJ PRON AUX ADV PART VERB ADP DET DET PUNCT PRON AUX ADJ PART AUX ADJ CCONJ ADJ SCONJ PART VERB PRON NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON AUX ADJ CCONJ VERB PRON,0.03571428571428571,0.36539682539682466,202,868,0.7623762376237624,0.30309193471864265
