tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, flere, som, reagerte, på, dette, bildet, ., De, som, tok, kontakt, med, VG, Netts, redaksjon, ,, fortalte, at, mannen, ikke, så, spesielt, ung, ut, ., Og, det, viste, det, seg, at, han, heller, ikke, var, ., 
, Litt, research, viser, at, det, er, et, bilde, av, skuespilleren, Richard, Gnines, (, 47, ), som, egentlig, prydet, forsiden, av, Playboy, i, 1958., Dette, ble, brukt, som, bakgrunn, for, forsiden, på, Playboy, nummer, 2, i, samme, år, ,, da, med, et, annet, bilde, av, den, amerikanske, skuespillerinnen, ., 
, Blant, de, andre, menneskene, på, bildet, som, var, i, det, bladet, som, faktisk, kom, ut, ,, var, prinsesse, Grace, av, Monaco, og, den, svenske, prinsesse, Christina, ., Flere, mener, dette, er, en, fabrikert, forside, som, er, satt, i, stand, for, å, lure, leserne, til, å, tro, at, han, er, en, ung, ,, sensasjonell, playboyprins, som, har, fått, et, eksklusivt, intervju, med, Grace, Kelly, .]",CCONJ PRON AUX ADJ PRON VERB ADP DET NOUN PUNCT PRON PRON VERB NOUN ADP PROPN PROPN NOUN PUNCT VERB SCONJ NOUN PART ADV ADJ ADJ ADP PUNCT CCONJ PRON VERB PRON PRON SCONJ PRON ADV PART VERB PUNCT SPACE ADJ NOUN VERB SCONJ PRON VERB DET NOUN ADP NOUN PROPN PROPN PUNCT NUM PUNCT PRON ADJ VERB NOUN ADP PROPN ADP NUM PRON AUX VERB SCONJ NOUN ADP NOUN ADP PROPN NOUN NUM ADP DET NOUN PUNCT ADV ADP DET DET NOUN ADP DET ADJ NOUN PUNCT SPACE ADP DET DET NOUN ADP NOUN PRON AUX ADP DET NOUN PRON ADJ VERB ADP PUNCT AUX NOUN PROPN ADP PROPN CCONJ DET ADJ NOUN PROPN PUNCT ADJ VERB PRON AUX DET ADJ NOUN PRON AUX VERB ADP NOUN SCONJ PART VERB NOUN SCONJ PART VERB SCONJ PRON AUX DET ADJ PUNCT ADJ NOUN PRON AUX VERB DET ADJ NOUN ADP PROPN PROPN PUNCT,0.06388526727509779,0.38253481894150565,153,767,0.5816993464052288,0.32079069524817533
"[Det, var, ein, av, dei, som, har, vore, med, tidlegare, som, starta, dette, ,, og, vi, har, fått, gode, tilbakemeldingar, frå, kursdeltkarane, ,, seier, Anne, Marit, Bae, Strand, ., Det, er, stor, variasjon, i, dei, som, er, med, ,, alt, frå, nybyrja, rar, som, vil, lære, seg, å, tove, før, jul, og, til, folk, som, vil, ha, meir, grunnleggande, kurs, ., -, Ein, del, av, dei, som, stiller, og, er, meir, erfame, lær, ,, vekk, an, dre, korleis, dei, kan, utvikle, seg, ,, dei, stiller, og, spørsmål, og, for, midlar, eigne, erfaringar, og, kunnskapar, til, dei, som, er, på, kurs, ,, seier, Strand, ., Ein, av, dei, som, har, tatt, på, seg, kurs, etter, kurs, er, Anne, Marie, Sunde, Ho, er, veldig, positiv, til, måten, kurset, blir, utført, på, ,, ho, har, vore, med, alle, åra, og, synest, det, er, inspirerande, og, lærerikt, ., -, Det, er, ein, positiv, tone, under, kurset, og, folk, kan, stille, spørsmål, om, alt, dei, måtte, ha, lyst, til, ., Eg, stiller, og, på, kurs, fordi, eg, er, lei, av, å, sitte, heime, åleine, og, tove, ,, då, er, det]",PRON AUX X ADP NOUN PRON AUX X ADP PROPN PRON VERB PRON PUNCT CCONJ PRON AUX VERB ADJ PROPN PROPN X PUNCT NOUN PROPN PROPN PROPN PROPN PUNCT PRON VERB ADJ NOUN ADP NOUN PRON AUX ADP PUNCT DET X ADV X PRON AUX VERB PRON PART VERB ADP NOUN CCONJ ADP NOUN PRON AUX VERB PROPN PROPN NOUN PUNCT PUNCT X NOUN ADP NOUN PRON VERB CCONJ AUX ADJ NOUN NOUN PUNCT ADP ADV X X X AUX VERB PRON PUNCT PROPN VERB CCONJ NOUN CCONJ ADP PROPN PROPN PROPN CCONJ NOUN ADP NOUN PRON AUX ADP NOUN PUNCT NOUN PROPN PUNCT ADJ ADP NOUN PRON AUX VERB ADP PRON NOUN ADP NOUN AUX PROPN PROPN PROPN PROPN AUX ADJ ADJ ADP NOUN NOUN AUX VERB ADP PUNCT NOUN AUX X ADP DET NOUN CCONJ VERB PRON AUX ADJ CCONJ ADJ PUNCT PUNCT PRON AUX X ADJ NOUN ADP NOUN CCONJ NOUN AUX VERB NOUN ADP PRON NOUN AUX VERB NOUN ADP PUNCT PROPN VERB CCONJ ADP NOUN SCONJ PRON AUX ADJ SCONJ PART VERB PROPN PROPN CCONJ NOUN PUNCT X AUX PRON,0.04088785046728972,0.37883519206939165,185,856,0.6270270270270271,0.3582494602039721
"[Det, var, så, vakkert, og, fint, det, hele, ,, jeg, ble, glad, av, å, delta, ., 
, Men, det, jeg, lurer, mest, på, ,, er, hvorfor, det, måtte, arrangeres, i, et, nedstengt, Oslo, ?, Hadde, det, virkelig, vært, så, bra, med, så, mange, mennesker, på, et, såpass, lite, område, ?, 
, Greit, nok, at, det, var, så, strenge, smitterelger, ,, men, hvorfor, måtte, det, gjelde, alle, ,, til, og, med, barn, ,, i, det, gedigne, Tøyenbadanlegget, ?, 
, Jeg, ser, ikke, logikken, ., Man, kan, jo, ta, med, seg, ungene, for, å, bade, på, Bogstad, og, i, Hvervenbukta, og, andre, steder, ., 
, Men, man, går, jo, ikke, på, Tøyenbadet, ., Det, er, for, dyrt, og, for, mange, folk, ., 
, Så, det, er, tydelig, å, se, at, noe, må, gjøres, ,, og, at, noe, må, forandres, for, å, gjøre, disse, tingene, mulig, ., Tenk, om, de, hadde, gjort, det, som, var, nødvendig, for, noen, år, siden, ,, ikke, som, nå, ,, med, å, stenge, alt\, !, 
, Slik, som, det, er, nå, i, disse, tider, får, man, en, veldig, dårlig, følelse, av, å, være, i, byen, ,, uansett, hvor, man, drar, så, er, det, jo, korona, ,, munnbind, og]",PRON AUX ADV ADJ CCONJ ADJ DET ADJ PUNCT PRON VERB ADJ SCONJ PART VERB PUNCT SPACE CCONJ PRON PRON VERB ADJ ADP PUNCT AUX ADV PRON AUX VERB ADP DET ADJ PROPN PUNCT AUX PRON ADJ AUX ADV ADJ ADP ADV ADJ NOUN ADP DET ADV ADJ NOUN PUNCT SPACE ADJ ADV SCONJ PRON AUX ADV ADJ NOUN PUNCT CCONJ ADV AUX PRON VERB PRON PUNCT ADP CCONJ ADP NOUN PUNCT ADP DET ADJ NOUN PUNCT SPACE PRON VERB PART NOUN PUNCT PRON AUX ADV VERB ADP PRON NOUN SCONJ PART VERB ADP PROPN CCONJ ADP PROPN CCONJ DET NOUN PUNCT SPACE CCONJ PRON VERB ADV PART ADP PROPN PUNCT PRON AUX ADV ADJ CCONJ ADP ADJ NOUN PUNCT SPACE SCONJ PRON AUX ADJ PART VERB SCONJ PRON AUX VERB PUNCT CCONJ SCONJ PRON AUX VERB SCONJ PART VERB DET NOUN ADJ PUNCT VERB SCONJ PRON AUX VERB PRON PRON AUX ADJ ADP DET NOUN ADV PUNCT PART ADP ADV PUNCT SCONJ PART VERB NOUN PUNCT SPACE ADV PRON PRON AUX ADV ADP DET NOUN VERB PRON DET ADJ ADJ NOUN SCONJ PART AUX SCONJ NOUN PUNCT ADP ADV PRON VERB ADV AUX PRON ADV ADJ PUNCT NOUN CCONJ,0.04640371229698376,0.3880196801967993,200,862,0.675,0.38144993276482814
"[Ja, det, var, nesten, så, eg, ikkje, kunne, tru, det, da, eg, såg, ein, artikkel, i, Møre, frå, det, møtet, som, var, på, Frivilighetssen, tralen, i, Molde, ., Det, vart, hevda, at, Molde, hadde, det, dårligaste, utvalet, av, butik, kar, og, restaurantar, i, heile, fylket, ., Det, var, for, så, vidt, greitt, ,, da, var, det, berre, å, vente, til, det, vart, betre, tider, att, ,, slik, at, vi, kunne, bygge, opp, att, det, som, brann, og, øydela, ., Det, var, jo, ikkje, måte, på, kva, godt, alle, dei, nye, byg, ningane, hadde, å, by, på, og, så, vart, det, vel, helst, slik, at, dei, fleste, gledde, seg, til, vi, skulle, reise, opp, igjen, og, ha, det, bra, ., Men, så, var, det, den, andre, sida, som, no, i, etter, tid, kanskje, ikkje, alle, har, fått, med, seg, ., Ikkje, berre, skulle, vi, ha, alt, som, var, av, den, nye, tida, ,, men, ein, kunne, jo, aldri, vere, trygg, på, det, motsette, ,, om, han, Tykje, hadde, gått, rundt, til, den, minste, plassen, ,, han, hadde, i, alle, fall, ikkje, gått, forbi, den, nyaste, og, flottaste, bydelen]",INTJ PRON AUX ADV ADV X X X VERB PRON SCONJ X VERB PROPN NOUN ADP PROPN X DET NOUN PRON AUX ADP PROPN NOUN ADP PROPN PUNCT PRON AUX NOUN SCONJ PROPN VERB DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADP ADV ADJ ADJ PUNCT ADV AUX PRON ADV PART VERB SCONJ PRON VERB X X X PUNCT ADV SCONJ PRON AUX VERB ADP X PRON ADP NOUN CCONJ NOUN PUNCT PRON VERB ADV X NOUN ADP NOUN ADJ DET DET ADJ NOUN PROPN VERB PART VERB ADP CCONJ ADV VERB PRON ADV ADV ADV SCONJ DET ADJ VERB PRON SCONJ PRON AUX VERB ADP ADV CCONJ VERB PRON ADJ PUNCT CCONJ ADV VERB PRON DET ADJ NOUN ADP X ADP ADP NOUN ADV X PRON AUX VERB ADP PRON PUNCT X X AUX PRON VERB PRON PRON AUX ADP DET ADJ NOUN PUNCT CCONJ PROPN AUX ADV ADV AUX ADJ ADP DET NOUN PUNCT SCONJ PRON PROPN AUX VERB ADP ADP DET ADJ NOUN PUNCT PRON VERB ADP DET NOUN ADV VERB ADP DET ADJ CCONJ ADJ NOUN,0.037383177570093455,0.36488228004956674,187,856,0.7433155080213903,0.3305799242028408
"[Ja, det, er, så, sant, og, så, sant, ,, jeg, var, i, kirken, og, satt, sammen, med, min, søster, og, svoger, ., Den, andre, søndagen, vi, satt, der, i, kirken, så, opplevde, vi, at, det, ble, lyst, i, kirken, med, det, samme, presten, stemte, gitaren, til, noen, gode, sanger, ., Jeg, syntes, dette, var, veldig, rart, ., 
, Sist, søndag, var, vi, igjen, i, kirken, ., Vi, kom, inn, i, kirken, ,, og, skulle, sette, oss, på, de, faste, plassene, våre, ., Jeg, så, ingen, andre, steder, enn, til, midtgangen, ,, og, plutselig, hadde, jeg, reist, meg, og, gikk, oppover, midtgangen, ,, med, øynene, nesten, lukket, til, med, det, samme, ., Dette, var, veldig, rart, synes, jeg, ., Så, da, sa, jeg, :, Nei, ,, det, er, ikke, meg, ., Nei, jeg, sitter, jo, her, ,, sa, min, søster, og, svoger, ., Han, er, ikke, her, i, dag, ,, sier, jeg, ,, og, går, bort, i, døra, ., Da, ser, jeg, han, kommer, gående, og, stopper, ved, døren, ,, og, ser, rett, fram, ,, med, den, ene, hånden, i, lommen, ,, og, ser, veldig, rar, ut, ., Så, sier, han, :, Er, det, ikke, min, bror, da, ?, !, Jeg, sier, igjen, :, Nei, det, er, min]",INTJ PRON AUX ADV ADJ CCONJ ADV ADJ PUNCT PRON AUX ADP NOUN CCONJ VERB ADV ADP PRON NOUN CCONJ NOUN PUNCT DET DET NOUN PRON VERB ADV ADP NOUN ADV VERB PRON SCONJ PRON VERB NOUN ADP NOUN ADP DET DET NOUN VERB NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON AUX ADJ ADJ PUNCT SPACE ADJ NOUN AUX PRON ADV ADP NOUN PUNCT PRON VERB ADP ADP NOUN PUNCT CCONJ AUX VERB PRON ADP DET ADJ NOUN PRON PUNCT PRON VERB DET DET NOUN ADP ADP NOUN PUNCT CCONJ ADJ AUX PRON VERB PRON CCONJ VERB ADP NOUN PUNCT ADP NOUN ADV VERB ADP ADP DET DET PUNCT PRON AUX ADJ ADJ VERB PRON PUNCT CCONJ ADV VERB PRON PUNCT INTJ PUNCT PRON AUX PART PRON PUNCT SCONJ PRON VERB ADV ADV PUNCT VERB PRON NOUN CCONJ NOUN PUNCT PRON AUX PART ADV ADP NOUN PUNCT VERB PRON PUNCT CCONJ VERB ADP ADP NOUN PUNCT ADV VERB PRON PRON VERB ADJ CCONJ VERB ADP NOUN PUNCT CCONJ VERB ADJ ADP PUNCT ADP DET NUM NOUN ADP NOUN PUNCT CCONJ VERB ADJ ADJ ADP PUNCT ADV VERB PRON PUNCT AUX PRON PART PRON NOUN ADV PUNCT PUNCT PRON VERB ADV PUNCT INTJ PRON AUX PRON,0.04233409610983982,0.357963636363637,207,874,0.6666666666666666,0.32765097074200067
"[Så, var, det, en, gang, en, stor, og, fin, eik, et, sted, i, Vestfold, ., Den, hadde, vokst, seg, så, stor, ,, så, stor, ,, syntes, den, selv, ., 
, En, dag, bestemte, den, seg, for, det, skulle, bli, storm, ., Stor, storm, ., Det, var, en, skikkelig, stor, storm, ., Så, mange, trær, hadde, aldri, noen, gang, falt, ned, fra, en, eik, noen, gang, ., Det, ville, bli, et, slikt, vær, ,, tenkte, eika, ,, alle, som, ble, redde, ,, stakkars, ,, skulle, bare, våge, seg, å, gå, inn, i, eikeskogen, når, det, var, så, stygt, et, vær, ., 
, En, flokk, stokkmaur, gikk, på, vei, hjem, og, gikk, over, en, vei, som, lå, under, vann, ., Mauren, syntes, det, var, deilig, når, det, kom, vann, ., Det, var, som, om, de, kunne, tørke, seg, litt, på, en, måte, ,, tenkte, stokkmaurene, ., Ja, ,, så, fikk, de, gå, på, veien, da, ., Veien, var, ikke, så, glatt, nå, ,, for, det, kom, vann, over, der, ., 
, snodde, seg, frem, litt, annerledes, ., Men, den, likte, seg, godt, på, det, våte, dekket, ., Da, kunne, den, smette, seg, frem, gjennom, kronglete, greiner, og]",ADV AUX PRON DET NOUN DET ADJ CCONJ ADJ NOUN DET NOUN ADP PROPN PUNCT PRON AUX VERB PRON ADV ADJ PUNCT ADV ADJ PUNCT VERB PRON ADV PUNCT SPACE DET NOUN VERB PRON PRON SCONJ PRON AUX VERB NOUN PUNCT ADJ NOUN PUNCT PRON AUX DET ADJ ADJ NOUN PUNCT ADV ADJ NOUN VERB ADV DET NOUN VERB ADP ADP DET NOUN DET NOUN PUNCT PRON AUX VERB DET DET NOUN PUNCT VERB PROPN PUNCT PRON PRON VERB ADJ PUNCT ADJ PUNCT AUX ADV VERB PRON PART VERB ADP ADP NOUN SCONJ PRON VERB ADV ADJ DET NOUN PUNCT SPACE DET NOUN ADJ VERB ADP NOUN ADP CCONJ VERB ADP DET NOUN PRON VERB ADP NOUN PUNCT NOUN VERB PRON AUX ADJ SCONJ PRON VERB NOUN PUNCT PRON AUX ADP SCONJ PRON AUX VERB PRON ADJ ADP DET NOUN PUNCT VERB NOUN PUNCT INTJ PUNCT ADV AUX PRON VERB ADP NOUN ADV PUNCT NOUN AUX PART ADV ADJ ADV PUNCT CCONJ PRON VERB NOUN ADP ADV PUNCT SPACE VERB PRON ADP ADJ ADJ PUNCT CCONJ PRON VERB PRON ADJ ADP DET ADJ NOUN PUNCT ADV AUX PRON VERB PRON ADP ADP ADJ NOUN CCONJ,0.04091456077015644,0.3706393861892593,195,831,0.6410256410256411,0.3488011575577951
"[Det, var, som, om, alt, var, snudd, på, hodet, ,, da, en, stor, og, uventet, mulighet, presenterte, seg, og, for, pliktet, til, å, bli, tatt, imot, ., 
, med, seg, alle, de, tunge, årene, til, den, lange, reisen, du, skulle, legge, ut, på, ,, ble, ikke, lenger, en, hindring, ., Et, nytt, og, enda, bedre, liv, lå, like, rundt, hjørnet, ., 
, og, ingen, av, deltakerne, visste, om, den, før, de, skulle, starte, på, et, nytt, og, avgjørende, år, ., Alle, ble, ønsket, velkommen, med, varme, og, omsorg, av, Gordon, Go, dall, ,, eier, og, hovedpastor, for, den, store, Saddletree-kirken, ., 
, Heldigvis, var, vi, ganske, for, synt, da, dette, året, med, enga, sjement, som, nyfødte, unger, skulle, ende, ., 
, forpliktelser, ,, ble, det, bare, å, henge, med, ., Et, nytt, år, lå, åpent, og, forlokkende, foran, oss, ., 
, deg, ,, og, som, du, hadde, så, mange, forventninger, til, skulle, gå, i, oppfyllelse, ., 
, Men, i, året, som, fulgte, var, det, ikke, så, lett, ., 
, som, vi, fikk, innblikk, i., 
, var, vanskelig, med, noen, av, si, ne, nye, bekjentskaper, ,, at, vi, for, andre, gang, måtte, ta, imot]",PRON AUX ADP SCONJ PRON AUX VERB ADP NOUN PUNCT SCONJ DET ADJ CCONJ ADJ NOUN VERB PRON CCONJ ADP NOUN SCONJ PART AUX VERB ADP PUNCT SPACE ADP PRON DET DET ADJ NOUN ADP DET ADJ NOUN PRON AUX VERB ADP ADP PUNCT VERB PART ADJ DET NOUN PUNCT DET ADJ CCONJ ADV ADJ NOUN VERB ADV ADP NOUN PUNCT SPACE CCONJ DET ADP NOUN VERB ADP PRON SCONJ PRON AUX VERB ADP DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX VERB ADJ ADP NOUN CCONJ NOUN ADP PROPN PROPN PROPN PUNCT VERB CCONJ NOUN ADP DET ADJ NOUN PUNCT SPACE ADV AUX PRON ADV ADV ADJ SCONJ DET NOUN ADP NOUN ADJ PRON ADJ NOUN AUX VERB PUNCT SPACE NOUN PUNCT VERB PRON ADV PART VERB ADP PUNCT DET ADJ NOUN VERB ADJ CCONJ ADJ ADP PRON PUNCT SPACE PRON PUNCT CCONJ PRON PRON VERB ADV ADJ NOUN ADP AUX VERB ADP NOUN PUNCT SPACE CCONJ ADP NOUN PRON VERB VERB PRON PART ADV ADJ PUNCT SPACE PRON PRON VERB NOUN ADV SPACE AUX ADJ ADP DET ADP VERB NOUN ADJ NOUN PUNCT SCONJ PRON ADP ADJ NOUN AUX VERB ADP,0.03954802259887006,0.38181818181818195,193,885,0.6424870466321243,0.3196849203575281
"[Det, er, ikkje, sikkert, at, du, har, høyrt, om, han, Olav, ., Eg, trudde, eg, hadde, litt, greie, på, han, Olav, eg, ,, for, vi, bur, på, same, staden, og, har, båe, to, vore, med, i, same, skulemusikken, ., Men, då, skulemusikken, hadde, jubileums, konser, t, ,, så, var, ikkje, dette, noko, som, eg, kunne, hugsa, i, det, heile, ., Det, var, først, fram, mot, neste, konsert, som, eg, fekk, veta, meir, om, han, ., Når, vi, i, tillegg, har, vore, så, heldige, at, vi, båe, to, er, glade, i, å, skriva, artiklar, i, lag, så, er, det, jo, ikkje, rart, at, Olav, blei, kjend, med, Olav, ,, der, den, eine, hadde, interesse, for, det, og, den, andre, for, det, ., No, snakkar, vi, rett, nok, om, journalistikk, og, ikkje, om, musikk, ., For, eg, er, ingen, musikar, ., Men, eg, skreiv, to, artiklar, om, musikk, og, musikklivet, i, Kvinnherad, og, kom, i, tillegg, på, å, ringja, dei, som, eg, visste, hadde, hatt, litt, med, musikklivet, i, Kvinnherad, å, gjera, for, å, høyra, om, dei, hadde, noko, å, fortelja, ., Det, er]",PRON AUX ADV ADJ SCONJ PRON VERB VERB ADP PRON PROPN PUNCT X X X VERB ADJ NOUN ADP PRON PROPN X PUNCT CCONJ PRON NOUN ADP X NOUN CCONJ VERB ADJ NUM X ADP ADP NOUN NOUN PUNCT CCONJ ADV NOUN VERB NOUN NOUN NOUN PUNCT ADV AUX X X X PRON X X VERB ADP DET ADJ PUNCT PRON AUX ADV ADP ADP DET NOUN PRON X X PROPN PROPN ADP PRON PUNCT SCONJ PRON ADP NOUN AUX VERB ADV ADJ SCONJ PRON ADV NUM AUX ADJ SCONJ PART VERB X ADP NOUN ADV AUX PRON ADV ADV ADJ SCONJ PROPN VERB X ADP PROPN PUNCT SCONJ DET X VERB NOUN ADP PRON CCONJ DET ADJ ADP PRON PUNCT X X PRON ADJ ADV ADP NOUN CCONJ X ADP NOUN PUNCT CCONJ NOUN AUX DET NOUN PUNCT CCONJ X VERB NUM PROPN ADP NOUN CCONJ NOUN ADP PROPN CCONJ VERB ADP NOUN SCONJ PART PROPN NOUN PRON PRON VERB AUX VERB ADJ ADP NOUN ADP PROPN PART VERB SCONJ PART VERB SCONJ NOUN VERB VERB X X PUNCT PRON AUX,0.039711191335740074,0.3601023017902826,182,831,0.7197802197802198,0.3220429563407321
"[Kor, mange, prosent, av, røystene, Ap, mista, frå, 1977, til, 1981, er, det, ikkje, lett, å, rekna, seg, fram, til, ., Men, partiet, har, mista, nesten, ein, tredjedel, av, dei, som, røysta, partiet, i, 1981, ,, og, det, står, til, bake, med, mellom, 20, og, 25, prosent, ., Ved, valet, sist, erobra, SV, og, Sp, nesten, heile, det, tapet, ., Det, er, denne, ta, pande, alliansen, vi, no, kjenner, att, som, eit, samarbeid, mellom, Sp, og, Høgre, i, Stortinget, ., Slik, sett, har, Ap-leiinga, i, Arbeidarpartiet, påført, seg, sjølv, nederlaget, ,, og, dei, kan, vona, at, dei, har, med, seg, alle, fagorganiserte, i, denne, vona, ., Elles, ville, resultatet, av, det, første, forsøket, på, å, bryta, ut, av, re, gjeringssamarbidlet, verta, ein, ny, ne, derlag, for, Ap., 
, gjeringspartia, eit, nederlag, for, Ap-leiinga, ,, men, ingen, ting, tyder, på, at, Ap-leiinga, vil, gje, slepp, på, regje, ringssamarbeidet, i, denne, omgangen, ., Det, er, det, ikkje, grunnlag, for, ., Det, gjer, heller, ikkje]",ADV ADJ NOUN ADP NOUN PROPN VERB PROPN NUM ADP NUM AUX PRON ADV ADJ PART VERB PRON ADP ADP PUNCT CCONJ NOUN AUX VERB ADV X NOUN ADP NOUN SCONJ NOUN NOUN ADP NUM PUNCT CCONJ PRON VERB ADP ADP ADP ADP NUM CCONJ NUM NOUN PUNCT ADP PROPN ADV VERB PROPN CCONJ PROPN ADV VERB DET NOUN PUNCT PRON AUX PRON VERB ADJ NOUN PRON X VERB X X X NOUN ADP PROPN CCONJ PROPN ADP PROPN PUNCT ADV VERB VERB NOUN ADP PROPN VERB PRON NOUN NOUN PUNCT CCONJ NOUN AUX VERB SCONJ PROPN VERB ADP PRON DET ADJ ADP DET NOUN PUNCT VERB VERB NOUN ADP DET ADJ NOUN SCONJ PART VERB ADP ADP PROPN PROPN X X ADJ NOUN NOUN ADP PROPN SPACE X DET NOUN ADP NOUN PUNCT CCONJ DET NOUN VERB SCONJ SCONJ NOUN AUX VERB X ADP NOUN NOUN ADP DET NOUN PUNCT PRON AUX PRON ADV NOUN ADP PUNCT PRON VERB ADV X,0.051807228915662654,0.37603072983354724,162,830,0.5987654320987654,0.26437498779979146
"[Det, er, veldig, sjelden, brannvesenet, i, Vestfold, må, rykke, ut, til, branner, som, skyldes, elektrisk, feil, ., 
, –, Elektrisk, feil, er, egentlig, den, mest, vanlige, årsaken, ., I, Vestfold, i, år, har, det, vært, tre, tilfeller, ,, som, skyldes, at, det, har, tatt, fyr, i, en, kontakt, inne, i, huset, eller, på, et, loft, ., Vi, har, blant, annet, hatt, to, branner, på, Nøtterøy, ,, forteller, brannsjef, i, Vestfold, Interkommunale, Brannvesen, (, VIB, ), ,, Per, Olav, Pettersen, ., 
, Sist, brannvesenet, i, Vestfold, måtte, rykke, ut, til, et, branntilfelle, som, følge, av, elektrisitet, ,, var, i, februar, 2009., Da, måtte, brannvesenet, rykke, ut, til, en, adresse, på, Tjøme, hvor, brannen, skyldtes, en, kaffetrakter, ., 
, –, I, noen, få, tilfeller, er, det, feil, på, det, elektriske, anlegg, som, fører, til, brann, ., I, de, tilfeller, det, er, mye, feil, på, elektriske, anlegg, ,, må, det, utføres, kontroller, ,, eventuelt, oppgraderes, for, å, unngå, branntilløp, ., For, et, års, tid, siden, hadde, vi, en, brann, på, grunn, av, teknisk, feil, på, et, sikringsskap, i, en, leilighet, i, Fey]",PRON AUX ADJ ADV NOUN ADP PROPN AUX VERB ADP ADP NOUN PRON VERB ADJ NOUN PUNCT SPACE PUNCT ADJ NOUN AUX ADJ DET ADJ ADJ NOUN PUNCT ADP PROPN ADP NOUN AUX PRON VERB NUM NOUN PUNCT PRON VERB SCONJ PRON AUX VERB NOUN ADP DET NOUN ADP ADP NOUN CCONJ ADP DET NOUN PUNCT PRON AUX ADP DET VERB NUM NOUN ADP PROPN PUNCT VERB NOUN ADP PROPN PROPN PROPN PUNCT PROPN PUNCT PUNCT PROPN PROPN PROPN PUNCT SPACE ADV NOUN ADP PROPN AUX VERB ADP ADP DET NOUN ADP NOUN ADP NOUN PUNCT AUX ADP NOUN NUM ADV AUX NOUN VERB ADP ADP DET NOUN ADP PROPN ADV NOUN VERB DET NOUN PUNCT SPACE PUNCT ADP DET ADJ NOUN AUX PRON ADJ ADP DET ADJ NOUN PRON VERB ADP NOUN PUNCT ADP DET NOUN PRON VERB ADJ ADJ ADP ADJ NOUN PUNCT AUX PRON VERB NOUN PUNCT ADJ VERB SCONJ PART VERB NOUN PUNCT ADP DET NOUN NOUN ADV VERB PRON DET NOUN ADP NOUN ADP ADJ NOUN ADP DET NOUN ADP DET NOUN ADP PROPN,0.048859934853420196,0.389174311926604,179,921,0.5251396648044693,0.2638946433123313
