tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, han, som, var, god, ., I, andre, omgang, spilte, hele, laget, bra, ., Treneren, sier, at, en, av, årsa, kene, til, framgangen, er, at, guttene, er, ivrige, fotballspillere, ., 
, -, De, har, mye, ballfølelse, og, er, flin, ke, teknisk, ,, sier, han, ., Seiv, om, lagene, spilte, til, sam, me, tid, var, det, ikke, vanskelig, å, skille, de, to, ,, fordi, Sokna, hadde, en, mye, tøffere, farge, på, shortsen, ., I, til, legg, hadde, de, mange, supportere, på, sidelinja, som, heiet, laget, sitt, fram, ., Og, det, var, ingen, tvil, om, at, dette, hjalp, ., Når, man, heier, laget, sitt, fram, får, man, mer, fart, i, føttene, ,, så, da, kommer, ballen, raskere, fram, til, spissene, ., Guttene, fra, Sokna, hadde, også, tatt, med, seg, flere, foreldre, som, satt, på, sidelinjen, og, heiet, dem, fram, ,, det, hjalp, og, ., 
, HANDBALL, :, Søndag, ble, det, spilt, kamper, for, aldersbestem, te, lag, i, Størenhallen, ., 
, Gutter, 10, spilte, mot, Lun, damo, ,, jenter, 15, år, spilte, mot, Melhus, /, Gimse, og, jenter]",CCONJ PRON AUX PART ADV PRON PRON AUX ADJ PUNCT ADP ADJ NOUN VERB ADJ NOUN ADJ PUNCT NOUN VERB SCONJ DET ADP NOUN NOUN ADP NOUN AUX SCONJ NOUN AUX ADJ NOUN PUNCT SPACE PUNCT PRON VERB ADJ NOUN CCONJ AUX PROPN PROPN ADJ PUNCT VERB PRON PUNCT PROPN SCONJ NOUN VERB ADP PROPN X NOUN AUX PRON PART ADJ PART VERB DET NUM PUNCT SCONJ PROPN VERB DET ADJ ADJ NOUN ADP NOUN PUNCT ADP ADP NOUN VERB DET ADJ NOUN ADP NOUN PRON ADJ NOUN PRON ADP PUNCT CCONJ PRON VERB DET NOUN SCONJ SCONJ PRON VERB PUNCT SCONJ PRON VERB NOUN PRON ADP VERB PRON ADJ NOUN ADP NOUN PUNCT CCONJ ADV VERB NOUN ADJ ADP SCONJ NOUN PUNCT NOUN ADP PROPN AUX ADV VERB ADP PRON ADJ NOUN PRON VERB ADP NOUN CCONJ VERB PRON ADP PUNCT PRON VERB CCONJ PUNCT SPACE PROPN PUNCT NOUN AUX PRON VERB NOUN ADP NOUN NOUN NOUN ADP PROPN PUNCT SPACE NOUN NUM VERB ADP PROPN NOUN PUNCT NOUN NUM NOUN VERB ADP PROPN PUNCT PROPN CCONJ NOUN,0.05338078291814947,0.39415617128463626,179,843,0.5586592178770949,0.2642902099562372
"[Det, var, ein, tung, dag, for, dei, som, har, vore, engasjert, i, pro, sjektering, ,, sal, og, oppføring, av, bygg, i, og, rundt, Eidsbotn, ., Etter, at, det, er, varsla, oppbod, i, Eidsbotn, Eiendomsselskap, AS, ,, må, vi, sjå, i, auga, at, Eidsbotn, som, vi, har, hatt, forhåpningar, til, i, flei, re, år, er, kome, over, på, andre, hender, ., 
, Dei, fleste, ,, både, blant, utbyggarar, og, blant, kjøparar, i, Eidsbotn, ,, vil, nok, sjå, det, som, ein, stor, bakdel, for, området, og, for, dei, prosjekt, som, ikkje, er, realisert, at, det, no, kjem, inn, nye, aktørar, utanfrå, kommunen, ., For, Eidsbotn, sin, del, var, det, eit, godt, prosjekt, frå, vår, side, og, vi, meiner, at, prospektet, ,, det, gode, liv, i, Eidsbotn, ,, var, noko, som, fleire, ville, ha, glede, av, å, få, vera, ein, del, av, ., Men, med, ein, oppkjøpar, som, ser, kortsiktig, vinning, av, prosjekt, blir, vi, vitne, til, at, ei, gruppe, blir, sitjande, som, den, store, taparen, ., Det, er, ei, gruppe, som, vi]",PRON AUX X ADJ NOUN ADP NOUN PRON AUX AUX VERB ADP X NOUN PUNCT NOUN CCONJ NOUN ADP NOUN ADP CCONJ ADP PROPN PUNCT SCONJ SCONJ PRON AUX VERB PROPN ADP PROPN PROPN PROPN PUNCT AUX PRON VERB ADP NOUN SCONJ PROPN PRON PRON AUX VERB PROPN ADP ADP ADJ PROPN NOUN AUX VERB ADP ADP DET NOUN PUNCT SPACE NOUN ADJ PUNCT CCONJ ADP NOUN CCONJ ADP PROPN ADP PROPN PUNCT AUX ADV VERB PRON ADP X ADJ NOUN ADP NOUN CCONJ ADP PRON NOUN PRON X AUX VERB SCONJ PRON X X ADP ADJ PROPN PROPN NOUN PUNCT ADP PROPN PRON NOUN VERB PRON DET ADJ NOUN ADP PRON NOUN CCONJ PRON VERB SCONJ NOUN PUNCT DET ADJ NOUN ADP PROPN PUNCT AUX X ADP PROPN AUX VERB NOUN SCONJ PART VERB X X NOUN ADP PUNCT CCONJ ADP X PROPN PRON VERB ADJ NOUN ADP NOUN VERB PRON NOUN SCONJ SCONJ DET NOUN VERB ADJ SCONJ DET ADJ NOUN PUNCT PRON AUX DET NOUN PRON PRON,0.040690505548705305,0.37952755905511787,170,811,0.6705882352941176,0.3462583854315246
"[Det, var, så, som, så, med, for, men, etter, en, tøff, juleperiode, ,, men, vi, fikk, allikevel, med, oss, 8, seire, på, 12, kamper, ,, vi, tapte, mot, Trosvik, og, Ørn, ,, så, fikk, vi, en, uavgjort, mot, Eik, borte, og, en, mot, Sandefjord, borte, ,, siste, treningskampen, vant, vi, 3-1, mot, Drøbak, Frogn, ., Så, vi, kan, vel, si, at, formen, er, bra, før, vi, reiser, over, til, Danmark, hvor, årets, turnering, skal, finne, sted, ., Hele, 42, lag, kommer, til, årets, cup, ,, så, det, blir, nok, av, motstandere, i, cupen, som, er, Danmarks, nest, største, ., Vi, har, vært, i, Dana, Cup, før, også, ,, men, det, har, da, vært, for, G16, og, G19., Vi, stiller, med, ett, J15/16, lag, i, år, ,, og, det, skal, bli, spennende, å, se, hvordan, jentene, vil, gjøre, det, ., Av, de, 42, lagene, som, er, påmeldt, ,, så, er, 9, av, dem, norske, ,, så, det, blir, litt, morro, å, se, hvor, langt, vi, kan, komme, i, årets, cup, ., Det, er, mange, gode, lag, i, år, også, så, det, blir, hardt, ,, en, må, stå, på, om]",PRON AUX ADV SCONJ ADV ADP ADP CCONJ ADP DET ADJ NOUN PUNCT CCONJ PRON VERB ADV ADP PRON NUM NOUN ADP NUM NOUN PUNCT PRON VERB ADP PROPN CCONJ PROPN PUNCT ADV VERB PRON DET ADJ ADP PROPN ADP CCONJ DET ADP PROPN ADP PUNCT ADJ NOUN VERB PRON PROPN ADP PROPN PROPN PUNCT CCONJ PRON AUX ADV VERB SCONJ NOUN AUX ADJ SCONJ PRON VERB ADP ADP PROPN ADV NOUN NOUN AUX VERB NOUN PUNCT ADJ NUM NOUN VERB ADP NOUN NOUN PUNCT CCONJ PRON VERB ADV ADP NOUN ADP NOUN PRON AUX PROPN ADV ADJ PUNCT PRON AUX VERB ADP PROPN PROPN ADP ADV PUNCT CCONJ PRON AUX ADV AUX ADP PROPN CCONJ PUNCT PRON VERB ADP NUM NUM NOUN ADP NOUN PUNCT CCONJ PRON AUX VERB ADJ PART VERB ADV NOUN AUX VERB PRON PUNCT ADP DET NUM NOUN PRON AUX NOUN PUNCT ADV AUX NUM ADP PRON ADJ PUNCT CCONJ PRON VERB ADJ NOUN PART VERB ADV ADJ PRON AUX VERB ADP NOUN NOUN PUNCT PRON VERB ADJ ADJ NOUN ADP NOUN ADV ADV PRON VERB ADJ PUNCT PRON AUX VERB ADP SCONJ,0.06027060270602706,0.41041884816753904,188,813,0.6542553191489362,0.33534391210275916
"[Ja, det, var, det, som, var, en, del, av, den, berøm, melige, «, lapskausen, », ja, ., Så, langt, var, den, god, ,, og, alle, såtte, pris, på, den, ., Men, jeg, skal, si, deg, en, ting, ;, De, «, fleste, », har, ikke, peiling, på, hva, de, har, spist, !, Jeg, skal, forklare, deg, hva, som, har, skjedd, :, Etter, hvert, som, lapskausen, har, kokt, i, fle, re, timer, ,, så, begynner, poteter, og, grønnsaker, å, bli, bløte, og, «, mose, », seg, ,, og, da, blir, dette, en, «, lapskaus, », ., Når, du, så, har, hatt, i, kjøttbiter, ,, så, har, også, dette, «, most, », seg, i, denne, suppa, ., Så, det, du, har, fått, servert, i, dag, har, intet, med, lapskaus, å, gjøre, ,, men, derimot, ei, suppe, ., 
, som, lapskaus, og, sier, de, skal, ha, dette, ,, så, er, det, ingen, som, blir, forbauset, over, at, det, er, smakløst, og, i, bestefall, smaker, det, bare, «, buljong, », ., Som, nevnt, har, jeg, seiv, jobbet, på, kjøkken, og, laget, mye, lapskaus, ,]",INTJ PRON AUX PRON PRON AUX DET NOUN ADP DET ADP PROPN PUNCT NOUN PUNCT INTJ PUNCT ADV ADJ AUX PRON ADJ PUNCT CCONJ DET ADJ NOUN ADP PRON PUNCT CCONJ PRON AUX VERB PRON DET NOUN PUNCT DET PUNCT ADJ PUNCT VERB PART NOUN ADP PRON PRON AUX VERB PUNCT PRON AUX VERB PRON PRON PRON AUX VERB PUNCT ADP DET PRON NOUN AUX VERB ADP PROPN PROPN NOUN PUNCT ADV VERB NOUN CCONJ NOUN PART VERB ADJ CCONJ PUNCT NOUN PUNCT PRON PUNCT CCONJ ADV VERB PRON DET PUNCT NOUN PUNCT PUNCT SCONJ PRON ADV AUX VERB ADP NOUN PUNCT ADV VERB ADV DET PUNCT ADJ PUNCT PRON ADP DET NOUN PUNCT CCONJ PRON PRON AUX AUX VERB ADP NOUN VERB PRON ADP NOUN PART VERB PUNCT CCONJ ADV DET NOUN PUNCT SPACE SCONJ NOUN CCONJ VERB PRON AUX VERB PRON PUNCT ADV VERB PRON PRON PRON VERB ADJ SCONJ SCONJ PRON AUX ADJ CCONJ ADP NOUN VERB PRON ADV PUNCT NOUN PUNCT PUNCT ADP VERB AUX PRON NOUN VERB ADP NOUN CCONJ VERB ADJ NOUN PUNCT,0.050734312416555405,0.40374285714285757,179,749,0.6256983240223464,0.37866385217861964
"[Ja, det, er, ingen, tvil, !, I, går, fikk, vi, en, liten, forsmak, på, det, som, skal, bli, sommeren, !, Så, deilig, med, sol, på, kroppen, ,, og, ikke, minst, det, å, kunne, gå, i, lette, lette, sommerklær, !, Jeg, har, vært, så, heldig, å, få, tak, i, hvite, tøysko, !, I, tillegg, fant, jeg, en, nydelig, blomsterkrans, !, Gleder, meg, til, å, bruke, denne, sammen, med, en, sommerkjole, på, varmere, dager, ., I, dag, skal, vi, en, tur, til, Oslo, ., Det, blir, kos, og, ikke, minst, gøy, !, Vi, har, ikke, vært, på, ordentlig, kjærestetur, på, lenge, ,, og, det, kan, jeg, ikke, få, sagt, nok, hvor, deilig, det, skal, bli, !, Nyt, dagen, alle, sammen, ,, xx, Andrea, 
, Solen, titter, inn, gjennom, vinduet, med, jevne, mellomrom, ,, og, det, gir, meg, et, smil, om, munnen, !, Nå, kjenner, jeg, energien, bobler, ,, og, jeg, er, super, glad, ., Ikke, minst, er, jeg, veldig, klar, for, fredag, allerede, !, Jeg, gleder, meg, til, å, komme, meg, ut, for, å, møte, venner, og, ha, det, hyggelig, sammen, med, dem, ,, etter, et, lite, besøk, hos, øyelegen, ., Etterpå, blir, det, en]",INTJ PRON VERB DET NOUN PUNCT ADP NOUN VERB PRON DET ADJ NOUN ADP PRON PRON AUX VERB NOUN PUNCT ADV ADJ ADP NOUN ADP NOUN PUNCT CCONJ PART ADJ PRON PART AUX VERB ADP ADJ ADJ NOUN PUNCT PRON AUX AUX ADV ADJ PART VERB NOUN ADP ADJ NOUN PUNCT ADP NOUN VERB PRON DET ADJ NOUN PUNCT VERB PRON SCONJ PART VERB PRON ADV ADP DET NOUN ADP ADJ NOUN PUNCT ADP NOUN AUX PRON DET NOUN ADP PROPN PUNCT PRON VERB NOUN CCONJ PART ADJ ADJ PUNCT PRON AUX PART AUX ADP ADJ NOUN ADP ADJ PUNCT CCONJ PRON AUX PRON PART AUX VERB ADV ADV ADJ PRON AUX VERB PUNCT VERB NOUN DET ADV PUNCT VERB PROPN SPACE NOUN VERB ADP ADP NOUN ADP ADJ NOUN PUNCT CCONJ PRON VERB PRON DET NOUN ADP NOUN PUNCT ADV VERB PRON NOUN VERB PUNCT CCONJ PRON AUX ADJ ADJ PUNCT PART ADJ AUX PRON ADJ ADJ ADP NOUN ADV PUNCT PRON VERB PRON SCONJ PART VERB PRON ADP SCONJ PART VERB NOUN CCONJ VERB PRON ADJ ADV ADP PRON PUNCT ADP DET ADJ NOUN ADP NOUN PUNCT ADV VERB PRON DET,0.045819014891179836,0.3824514563106786,193,873,0.6321243523316062,0.39099833478826324
"[Så, var, det, klart, for, å, nyte, årets, første, varme, middag, ute, ., Jeg, må, innrømme, at, jeg, har, gruet, meg, litt, til, å, spise, ute, fordi, jeg, er, så, glad, i, å, sitte, varmt, og, godt, ., Det, ble, imidlertid, en, flott, og, ikke, minst, veldig, varm, ettermiddag, ute, og, jeg, kommer, nok, ikke, til, å, vente, så, lenge, neste, gang, ., 
, grillspyd, med, to, kyllingfileter, delt, i, småbiter, og, fire, biter, strimlet, svinekjøtt, -, alt, vendt, i, hjemmelaget, marinade, med, chili, ,, ingefær, ,, hvitløk, og, olje, 
, salat, med, spinat, ,, hjertesalat, ,, tomat, ,, mais, og, sukkererter, ,, mangosalsa, med, ananas, og, mango, i, terninger, ,, sweet, chili-saus, til, tilbehør, 
, ananas-, og, mangosalsa, ;, 1/4, ananas, og, 1/2, mango, i, små, terninger, ,, 4, hakkede, cherrytomater, og, 2, ss, sweet, chili-saus, ., Rør, sammen, og, la, det, stå, kaldt, frem, til, servering, ., 
, middag, ·, tilbehør, 
, Det, er, sommerferie, og, når, været, tilllater, det, -]",ADV AUX PRON ADJ SCONJ PART VERB NOUN ADJ ADJ NOUN ADP PUNCT PRON AUX VERB SCONJ PRON AUX VERB PRON ADJ SCONJ PART VERB ADP SCONJ PRON AUX ADV ADJ SCONJ PART VERB ADJ CCONJ ADJ PUNCT PRON VERB ADV DET ADJ CCONJ PART ADJ ADJ ADJ NOUN ADP CCONJ PRON VERB ADV PART ADP PART VERB ADV ADJ DET NOUN PUNCT SPACE NOUN ADP NUM NOUN VERB ADP NOUN CCONJ NUM NOUN VERB ADJ PUNCT PRON ADJ ADP NOUN NOUN ADP NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN SPACE NOUN ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN PUNCT NOUN ADP NOUN CCONJ NOUN ADP NOUN PUNCT PROPN PROPN ADP NOUN SPACE NOUN CCONJ NOUN PUNCT PROPN NOUN CCONJ NUM NOUN ADP ADJ NOUN PUNCT NUM ADJ NOUN CCONJ NUM NOUN PROPN PROPN PUNCT VERB ADV CCONJ VERB PRON VERB ADJ ADP ADP NOUN PUNCT SPACE NOUN PROPN NOUN SPACE PRON AUX NOUN CCONJ SCONJ NOUN VERB PRON PUNCT,0.05093167701863354,0.3793121693121694,163,805,0.4601226993865031,0.20811260216464367
"[Det, var, som, kjent, en, fin, vårdag, og, det, var, tydelig, at, korpset, hadde, latt, seg, inspirere, av, det, fine, været, ,, for, det, låt, friskt, og, fint, og, det, så, ut, til, at, de, rundt, 40, musikantene, koste, seg, ., Så, er, da, også, korpset, et, av, de, største, i, landet, ., Korpset, er, kjent, for, å, marsjere, med, flott, presisjon, og, å, spille, taktfast, og, fint, ., 
, På, formiddagen, var, det, også, parade, med, Forsvarets, stabsmusikkorps, som, spilte, og, marsjerte, fra, Bastion-plassen, til, Akershus, festning, ., Sjefen, for, Forsvarets, museer, er, oberst, Rina, Brunsell, Harsvik, ., Hun, ble, intervjuet, og, fikk, spørsmål, om, hvorfor, dette, arrangementet, var, så, viktig, ., -, Det, er, fordi, det, er, 70, år, siden, Tyskland, kapitulerte, i, Norge, ., Dette, var, den, siste, krigshandlingen, i, Europa, ., Det, er, viktig, å, huske, historien, og, lære, av, feilene, som, ble, begått, ., Vi, må, ikke, være, likegyldige, mot, hverandre, ., Dette, skal, markeres, ,, sier, Harsvik, ., Det, er, også, en, del, av, Grunnlovens, 200, års]",PRON AUX ADP ADJ DET ADJ NOUN CCONJ PRON AUX ADJ SCONJ NOUN AUX VERB PRON VERB ADP DET ADJ NOUN PUNCT CCONJ PRON NOUN ADJ CCONJ ADJ CCONJ PRON VERB ADP SCONJ SCONJ PRON ADP NUM NOUN VERB PRON PUNCT ADV AUX ADV ADV NOUN DET ADP DET ADJ ADP NOUN PUNCT NOUN AUX ADJ SCONJ PART VERB ADP ADJ NOUN CCONJ PART VERB ADJ CCONJ ADJ PUNCT SPACE ADP NOUN AUX PRON ADV NOUN ADP PROPN NOUN PRON VERB CCONJ VERB ADP NOUN ADP PROPN NOUN PUNCT NOUN ADP PROPN NOUN AUX NOUN PROPN PROPN PROPN PUNCT PRON AUX VERB CCONJ VERB NOUN ADP ADV DET NOUN AUX ADV ADJ PUNCT PUNCT PRON AUX SCONJ PRON AUX NUM NOUN SCONJ PROPN VERB ADP PROPN PUNCT PRON AUX DET ADJ NOUN ADP PROPN PUNCT PRON AUX ADJ PART VERB NOUN CCONJ VERB ADP NOUN PRON AUX VERB PUNCT PRON AUX PART AUX ADJ ADP PRON PUNCT PRON AUX VERB PUNCT VERB PROPN PUNCT PRON VERB ADV DET NOUN ADP PROPN NUM NOUN,0.052690582959641255,0.3907947805456694,173,892,0.5953757225433526,0.3513872909665102
"[Det, er, ikkje, berre, ei, ny, kyrkje, det, er, snakk, om, å, reisa, på, Vik, ,, men, eit, nytt, hus, som, også, andre, institusjonar, på, Vangen, får, bruka, ., 
, Det, handlar, om, kyrkje, ., det, handlar, om, hus, ., det, handlar, om, samfunn, ., Og, det, handlar, om, fellesskap, ., 
, Tomta, til, Vangskyrkja, vart, gjeva, allereie, i, 1153, av, Olav, den, Heilage, ., Denne, kyrkja, er, no, ei, av, dei, eldste, som, er, i, bruk, i, dag, i, Noreg, etter, Kristkyrkja, i, Nidaros, ,, Gamle, Aker, kirke, i, Oslo, og, Olavskirken, på, Avaldsnes, ., Sidan, den, tida, har, Vangskyrkja, vore, gjennom, fleire, utvidingar, ., I, 1896, fekk, Vossevangen, ny, kyrkje, og, den, gamle, kyrkja, fekk, status, som, kapell, ., Det, vart, då, og, bygd, ny, prestebustad, og, Vangen, fekk, ein, nytt, og, moderne, skulebygg, ., 
, Men, så, seint, som, på, 30-talet, var, det, framleis, ikkje, elektrisk, straum, på, Vangen, og, det, vart, berre, brukt, levande, lys, ., Både, under, då]",PRON VERB X ADV DET ADJ NOUN PRON AUX NOUN SCONJ PART VERB ADP PROPN PUNCT CCONJ PART ADJ NOUN PRON ADV DET PROPN ADP PROPN VERB NOUN PUNCT SPACE PRON X ADP NOUN PUNCT PRON VERB ADP NOUN PUNCT PRON NOUN ADP NOUN PUNCT CCONJ PRON NOUN ADP NOUN PUNCT SPACE NOUN ADP PROPN VERB PROPN NOUN ADP NUM ADP PROPN DET PROPN PUNCT DET PROPN X X DET ADP DET ADJ PRON AUX ADP NOUN ADP NOUN ADP PROPN ADP PROPN ADP PROPN PUNCT PROPN PROPN NOUN ADP PROPN CCONJ PROPN ADP PROPN PUNCT VERB DET NOUN AUX PROPN PROPN ADP PROPN ADV PUNCT ADP NUM VERB PROPN ADJ NOUN CCONJ DET ADJ NOUN VERB NOUN ADP NOUN PUNCT PRON X X CCONJ VERB ADJ PROPN CCONJ PROPN VERB PROPN ADJ CCONJ ADJ NOUN PUNCT SPACE CCONJ ADV ADJ ADP ADP NOUN AUX PRON ADJ X ADJ NOUN ADP PROPN CCONJ PRON VERB X VERB ADJ NOUN PUNCT CCONJ ADP X,0.059045226130653265,0.4069344042838007,163,796,0.5705521472392638,0.2332376519932895
"[Kor, mange, prosent, går, ned, i, vekt, når, en, går, ein, tur, ?, -, Matematikk, -, Skolediskusjon.no, 
, Registrer, deg, 
, Logg, inn, 
, Oprett, spørsmål, 
, Lekseforum, 
, Kompendier, 
, Akkurat, nå, er, 99, pålogget, ., 
, Privatlivspolitikk, 
, Skolediskusjon.no, anbefaler, :, 
, Renters, rente, |, Regelbok, Matte, 
, Prosentregning, |, Regelbok, Matte, 
, Reklameanalyse, 
, Diversifisering, 
, Formlike, trekanter, |, Regelbok, Matte, 
, Beregning, trekant, |, Regelbok, Matte, 
, Diagram, |, Regelbok, Matte, 
, Potensregning, |, Regelbok, Matte, 
, Typetall, |, Regelbok, Matte, 
, Nyeste, innlegg, i, Matematikk, 
, V, :, sannsynlighet, (, 0, ), 
, V, :, brøk, (, 1, ), 
, V, :, Romkoordinater, (, 2, ), 
, V, :, regnerekkefølge, (, 1, ), 
, V, :, finn, grafisk, /, geogebra, (, 4, ), 
, V, :, S1, ,, Funkjoner, /, geogebra, (, 1, ), 
, V, :, funksjoner, /, geogebra, (, 1, ), 
, V, :, funksjoner, (, 1, ), 
, V, :, En, del, av, Delvis, integrasjon, (, 1, ), 
, V, :, Integral, (, 4, ), 
, V]",ADV ADJ NOUN VERB ADP ADP NOUN SCONJ PRON VERB ADJ NOUN PUNCT PUNCT NOUN PUNCT PROPN SPACE VERB PRON SPACE VERB ADP SPACE NOUN NOUN SPACE PROPN SPACE NOUN SPACE ADV ADV AUX NUM NOUN PUNCT SPACE NOUN SPACE PROPN VERB PUNCT SPACE PROPN NOUN PUNCT PROPN PROPN SPACE NOUN PUNCT PROPN PROPN SPACE NOUN SPACE NOUN SPACE ADJ NOUN PUNCT PROPN NOUN SPACE NOUN NOUN PUNCT PROPN NOUN SPACE NOUN PUNCT PROPN PROPN SPACE NOUN PUNCT PROPN PROPN SPACE NOUN PUNCT PROPN NOUN SPACE ADJ NOUN ADP PROPN SPACE PROPN PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT PROPN PUNCT NUM PUNCT SPACE PROPN PUNCT VERB ADJ PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT NOUN PUNCT PROPN PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT NOUN PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT DET NOUN ADP ADV NOUN PUNCT NUM PUNCT SPACE PROPN PUNCT PROPN PUNCT NUM PUNCT SPACE PROPN,0.07513661202185792,0.4298096632503646,175,732,0.17714285714285713,0.07242014941021922
"[Det, er, veldig, bra, at, Høyre, i, sitt, innlegg, bekrefter, at, den, rødgrønne, politikken, har, vir, ket, ., Det, er, fint, å, ha, et, parti, i, regjering, som, kan, bekrefte, våre, påstanden, Den, rødgrøn, ne, regjeringens, politikk, har, økt, bistanden, til, de, fattigste, landene, fra, ca., én, prosent, av, BNI, i, 2006, til, 1,02, prosent, i, 2013., 
, Det, har, vi, gjort, samtidig, som, vi, har, handtert, den, største, finanskrisen, i, Europa, og, USA, siden, 1930-tallet, ., Og, samtidig, som, vi, har, økt, bistanden, vår, har, Høyre, med, sitt, store, parti, i, regjering, gjort, det, motsatte, ., 
, Høyre, har, kuttet, på, bistand, ,, både, i, sine, budsjettforslag, og, i, regjering, ., I, tillegg, har, Høyre, gjennom, å, være, med, på, klimaforliket, sørget, for, kutt, i, regnskogsatsingen, og, for, å, gi, nesten, en, milliard, kroner, i, skattelette, til, de, rikeste, i, Norge, ., 
, I, perioden, 2008-2013, har, Høyre, brukt, rundt, 80, millioner, kroner, mindre, enn, Arbeiderpartiet, på, bistand, ,, og, det, har, økt, forskjellen, på, bistand, fra, de, to, største, partiene, i, Norge, ., Det, er, flott, at, Høyre, går, ut, nå, og]",PRON AUX ADJ ADJ SCONJ PROPN ADP PRON NOUN VERB SCONJ DET ADJ NOUN VERB NOUN NOUN PUNCT PRON AUX ADJ PART VERB DET NOUN ADP NOUN PRON AUX VERB PRON NOUN PROPN NOUN NOUN PROPN NOUN AUX VERB NOUN ADP DET ADJ NOUN ADP ADV NUM NOUN ADP PROPN ADP NUM ADP NUM NOUN ADP NUM SPACE PRON AUX PRON VERB ADJ PRON PRON AUX VERB DET ADJ NOUN ADP PROPN CCONJ PROPN ADP NOUN PUNCT CCONJ ADJ PRON PRON AUX VERB NOUN PRON VERB PROPN ADP PRON ADJ NOUN ADP NOUN VERB DET ADJ PUNCT SPACE PROPN AUX VERB ADP NOUN PUNCT CCONJ ADP PRON NOUN CCONJ ADP NOUN PUNCT ADP NOUN AUX PROPN SCONJ PART AUX ADP ADP NOUN VERB ADP NOUN ADP NOUN CCONJ ADP PART VERB ADV DET NOUN NOUN ADP NOUN ADP DET ADJ ADP PROPN PUNCT SPACE ADP NOUN NUM AUX PROPN VERB ADP NUM NOUN NOUN ADJ ADP PROPN ADP NOUN PUNCT CCONJ PRON AUX VERB NOUN ADP NOUN ADP DET NUM ADJ NOUN ADP PROPN PUNCT PRON AUX ADJ SCONJ PROPN VERB ADP ADV CCONJ,0.0498960498960499,0.397918948521358,184,962,0.5869565217391305,0.2841041368310357
