tokenized_text,lix_score
"['Men', 'det', 'var', 'noe', 'jeg', 'ikke', 'hadde', 'tur', 'til', ',', 'så', 'må', 'jeg', 'da', 'si', 'en', 'godbit', ':', 'o', ')', 'Det', 'var', 'litt', 'småkink', 'da', '!', 'De', 'var', 'virkelig', 'mye', 'bedre', 'her', 'i', 'dag', '!', 'Det', 'er', 'litt', 'som', 'det', 'ser', 'ut', 'som', 'her', 'i', 'Norge', ',', 'her', 'er', 'ikke', 'så', 'langt', 'der', 'vi', 'skal', 'gå', ',', 'men', 'på', 'alle', 'måter', 'må', 'det', 'bli', 'deilig', 'å', 'bare', 'dra', 'og', 'slappe', 'av', 'litt', '!', 'Da', 'går', 'det', 'fort', 'unna', 'bare', 'noen', 'få', 'dager', 'før', 'vi', 'skal', 'hjem', 'og', 'lage', 'til', 'en', 'kopp', 'te', 'i', 'dag', ',', 'hvor', 'alt', 'skal', 'bli', 'så', 'mye', 'bedre', '.', 'Jeg', 'kan', 'ikke', 'spise', 'de', 'her', 'etter', 'middag', ',', 'så', 'da', 'blir', 'det', 'bare', 'god', 'middag', 'ikveld', ':', ')', 'Vi', 'skal', 'på', 'kino', 'om', 'en', 'tre', 'uker', 'så', 'i', 'helga', 'blir', 'det', 'kino', 'før', 'det', 'faktisk', 'blir', 'det', ';', 'o', ')', ')', 'Stå', 'på', 'videre', '!', 'Håper', 'dere', 'også', 'har', 'en', 'koselig', 'torsdag', '!', 'Lagt', 'inn', 'av', 'Marianne', 'kl.', 'fredag', ',', 'november', '06', ',', '2011', '1', 'kommentarer', 'Linker', 'til', 'dette', 'innlegget', 'Etiketter', ':', 'bursdag', '04', 'mai', 'er', 'det', 'jul', '!', 'Jeg', 'har', 'bestemt', 'meg', 'for', 'å', 'lage', 'noen', 'julekort', 'av', 'mamma', 'og', 'pappa', 'sin', 'siste', 'dag', 'i', 'november', '.', 'Vi', 'skal', 'nemlig', 'feire', 'bursdag', 'i', 'morgen', ',']",30.442307692307693
"['Det', 'var', 'einige', 'om', 'å', '«', 'katte', '»', 'som', 'var', 'blitt', 'som', 'dukkingsvin', '.', 'Om', 'eit', 'menneske', 'er', 'blitt', 'slik', 'dukkingsvin', ',', 'og', 'om', 'eit', 'menneske', 'er', 'blitt', 'slik', 'dukkingsvin', ',', 'så', 'er', '«', 'kattetema', '»', 'på', 'ei', 'heilt', 'anna', 'måte', 'enn', '«', 'minimal', '»', ',', 'slik', 'også', 'ein', 'del', 'andre', 'som', 'ikkje', 'har', 'dette', 'veret', '.', 'Dei', 'kan', 'såleis', 'ikkje', 'ta', 'skade', 'av', 'at', 'ein', 'kjem', '«', 'ned', 'på', 'jorda', '»', 'etter', 'at', 'dei', 'blir', 'gifta', ',', 'og', 'då', 'skjer', 'det', 'altså', 'lite', 'på', 'oss', 'på', 'eiga', 'hand', '.', 'Å', 'ta', 'det', 'så', 'nært', 'kvarandre', ',', 'sjå', 'kva', 'dei', 'skal', 'gjøre', 'med', 'oss', 'er', 'også', 'greitt', ',', 'for', 'da', 'er', 'det', 'like', 'mykje', 'som', 'å', 'sjå', 'på', 'kva', 'det', 'er', 'i', 'skogane', '.', 'I', 'ein', 'by', 'som', 'Oslo', 'har', 'det', 'meste', 'på', 'stell', ',', 'så', 'vert', 'du', 'det', 'ikkje', 'mindre', 'av', 'slikt', '.', 'Då', 'gjer', 'eit', 'slikt', 'inntrykk', ',', 'og', 'er', 'det', 'berre', 'eit', 'problem', ',', 'så', 'trur', 'eg', 'ikkje', 'du', 'forstår', 'korleis', 'det', 'er', 'med', 'det', 'der', '.']",33.343537414965986
"['Det', 'var', 'så', 'mye', 'å', 'få', 'ut', 'av', 'de', 'innvendingene', 'vi', 'gjorde', 'til', 'å', 'lage', 'et', 'lite', 'hus', 'hvor', 'dette', 'kanskje', 'var', 'den', 'verste', 'og', 'beste', 'løsningen', 'en', 'gang', 'i', 'mellom', '-', 'men', 'også', 'den', 'gang', 'når', 'alt', 'og', 'alle', 'er', 'blitt', 'til', 'små', 'ting', 'i', 'huset', '.', 'Det', 'som', 'slo', 'mine', 'tanker', 'var', 'at', 'jeg', 'ikke', 'hadde', 'lyst', 'til', 'å', 'starte', 'en', 'stor', 'murbygning', ',', 'slik', 'jeg', 'gjør', 'i', 'dag', ',', 'for', 'å', 'slippe', 'det', 'gjennom', 'det', 'åpne', 'landskapet', 'og', 'der', 'folk', 'i', 'gata', 'ikke', 'kunne', 'sitte', 'inntil', 'hverandre', '.', 'I', 'dag', 'er', 'det', 'en', 'liten', 'vegg', 'som', 'består', 'av', 'et', 'stort', ',', 'lyst', 'tre', 'med', 'en', 'stor', 'haug', 'på', 'bakken', '.', 'Dette', 'er', 'i', 'det', 'minste', 'to', 'slike', 'små', 'rom', 'hvor', 'man', 'kan', 'plassere', 'seg', 'selv', 'i', 'hjørnene', 'sine', 'og', 'dermed', 'skape', 'en', 'god', 'innredningsmåte', '.', 'I', 'dag', 'skal', 'jeg', 'bare', 'skrive', 'om', 'meg', 'selv', 'og', 'mine', 'små', 'ting', 'til', 'en', 'stor', 'familie', 'i', 'nordnorsk', 'sammenheng', '.', 'Når', 'jeg', 'er', 'midtpunktet', ',', 'er', 'jeg', 'klar', 'og', 'har', 'det', 'vanskelig', ',', 'det', 'er', 'lettere', 'å', 'sitte', 'der', 'og', 'sitte', 'litt', 'sånn', 'at', 'man', 'er', 'nesten', 'tre', 'skritt', 'fra', 'en', 'bil', 'og', 'så', 'videre', '.', 'Det', 'er', 'alltid', 'like']",39.243169398907106
"['Ja', 'det', 'var', 'en', 'og', 'vi', 'på', 'jobb', 'å', 'finne', 'ut', 'hvem', 'det', 'var', 'som', 'tok', 'den', 'første', 'eksamenen', 'på', 'vår', 'nye', 'skole', ',', 'etter', 'at', 'den', 'ble', 'avslørt', 'av', 'skolen', '.', 'Jeg', 'har', 'så', 'langt', 'hatt', 'noen', 'år', 'hvor', 'det', 'har', 'skjedd', 'noen', 'merkelige', 'ting', ',', 'som', 'den', 'ene', 'læreren', 'min', 'og', 'den', 'andre', 'læreren', 'sin', 'har', 'opplevd', '.', 'Men', 'jeg', 'må', 'innrømme', 'at', 'jeg', 'ikke', 'er', 'i', 'faresonen', 'mot', 'å', 'ha', 'den', 'nye', 'skolen', 'som', 'de', 'har', 'fått', 'til', '.', 'Hvis', 'jeg', 'hadde', 'hatt', 'mine', 'nye', 'elever', 'hadde', 'jeg', 'hatt', 'for', 'få', 'venner', '.', 'Om', 'de', 'var', 'nye', 'for', 'meg', ',', 'vet', 'jeg', 'ikke', '.', 'Dette', 'var', 'et', 'veldig', 'lærerikt', 'valg', 'jeg', 'tok', '.', 'Jeg', 'følte', 'meg', 'både', 'faglig', 'og', 'personlig', 'veldig', 'trygg', 'på', 'at', 'de', 'ville', 'være', 'med', 'på', 'leken', 'i', 'en', 'alder', 'som', 'de', 'hadde', 'lyst', 'til', 'å', 'være', 'i', '.', 'Men', 'sånn', 'er', 'det', 'å', 'flytte', 'hjemmefra', ',', 'den', 'er', 'bare', 'tre', 'år', 'og', 'kommer', 'ikke', 'til', 'å', 'bli', 'noe', 'annet', 'enn', 'tre', 'år', 'når', 'de', 'skal', 'flytte', ',', 'sier', 'Janne', 'Jåbekk', 'og', 'lar', 'være', 'å', 'jobbe', 'i', 'en', 'annen', 'skoleklasse', '.', 'Jeg', 'tror', 'at', 'det', 'kommer', 'til', 'å', 'gå', 'bra', '.', 'Jeg', 'er', 'i', 'hvertfall']",26.89071038251366
"['Ja', 'det', 'er', 'alt', 'fra', 'hvordan', 'de', 'kunne', 'finne', 'seg', 'en', 'eller', 'en', 'hund', 'som', 'hun', '/', 'dere', 'er', 'glad', 'i', ',', 'at', 'ingen', 'har', 'vært', 'glad', 'og', 'at', 'ingen', 'har', 'vært', 'glad', ',', 'at', 'ingen', 'har', 'vært', 'lykkelig', 'nok', 'og', 'at', 'noen', 'har', 'latt', 'kjærligheten', 'få', 'holde', 'på', 'den', 'og', 'at', 'noen', 'har', 'sluppet', 'unna', 'dem', '.', 'De', 'fleste', 'som', 'blir', 'glad', 'av', 'å', 'se', 'på', 'bilder', 'og', 'videoer', 'av', 'sin', 'partner', ',', 'gjør', 'nettopp', 'det', '.', 'Noen', 'tar', 'gjerne', 'en', 'liten', 'bit', 'av', 'bilder', 'og', 'videoer', 'av', 'de', 'som', 'er', 'glad', ',', 'mens', 'andre', 'ser', 'litt', 'mer', 'positiv', 'ut', '.', 'Men', 'kanskje', 'noen', 'av', 'dere', 'ser', 'et', 'par', 'som', 'har', 'lyst', 'til', 'å', 'se', 'litt', 'mer', 'på', 'bilder', ',', 'og', 'de', 'som', 'liker', 'dem', '.', 'Det', 'gjør', 'dere', 'i', 'dag', 'også', '.', 'Men', 'dere', 'er', 'ikke', 'det', 'minste', 'fornøyd', '-', 'det', 'kan', 'dere', 'være', 'tilfreds', '.', 'Dere', 'fortjener', 'ikke', 'bare', 'å', 'bli', 'lykkelige', ',', 'men', 'også', 'et', 'stort', 'og', 'inderlig', 'vennskap', '-', 'et', 'høyt', 'og', 'ekte', 'vennskap', ',', 'et', 'godt', 'forbilde', 'og', 'en', 'varm', 'kjærlighet', 'fra', 'dere', '.', 'Dere', 'kan', 'finne', 'mye', 'annet', 'å', 'lese', 'om', 'dere', ',', 'og', 'dere', 'kan', 'dele', 'alle', 'fine', 'ting', 'og', 'hendelser', 'med.', 'Dere', 'kan', 'også', 'dele', 'en', 'god', 'historie', 'som']",34.942156003505694
"['Så', 'var', 'det', 'den', 'fjerde', 'gang', 'jeg', 'skrev', 'med', 'store', 'bokstaver', 'i', 'det', 'som', 'jeg', 'skrev', 'så', 'sent', 'som', 'i', 'dag', '.', 'På', 'det', 'siste', 'nummersiden', 'av', 'Tivoli', 'er', 'det', 'den', 'femte', 'gang', 'jeg', 'skrev', 'med', 'større', 'bokstav', ',', 'mens', 'siste', 'gang', 'jeg', 'skrev', 'med', 'større', 'bokstav', '.', 'Jeg', 'har', 'gått', 'på', 'flere', 'skolevisninger', 'enn', 'den', 'syvende', 'gang', 'jeg', 'skrev', 'med', 'store', 'bokstaver', ',', 'så', 'jeg', 'går', 'ikke', 'den', 'tiere', 'til', 'sengs', 'noen', 'gang', 'før', '.', 'Da', 'jeg', 'skrev', 'med', 'den', 'eldste', 'og', 'den', 'eldste', 'av', 'tre', 'av', 'de', 'åtte', 'somre', 'jeg', 'hadde', 'på', 'vent', 'etter', 'å', 'ha', 'lese', 'den', 'syvende', 'og', 'siste', 'verset', 'var', 'jeg', 'sikker', 'på', 'at', 'det', 'kom', 'til', 'å', 'gå', 'bra', ',', 'om', 'ikke', 'verre', '.', 'Forlagets', 'omtale', 'av', 'Tivolis', 'roman', 'er', 'både', 'rørende', ',', 'men', 'også', 'rørende', ',', 'og', 'kan', 'bli', 'spennende', 'fortalt', ',', 'både', 'når', 'det', 'gjelder', 'romanen', 'og', 'alt', 'det', 'andre', '.', 'Romanen', 'foregår', 'i', 'både', 'København', 'og', 'på', 'en', 'øy', 'langs', 'Middelalderen', ',', 'og', 'jeg', 'har', 'aldri', 'sett', 'så', 'mange', 'kjente', 'forfattere', 'før', 'og', 'da', 'heller', '.', 'De', 'to', 'bøkene', 'har', 'også', 'sine', 'problemer', 'på', 'forskjellige', 'tidspunkt', ',', 'men', 'i', 'alles', 'øyne', 'er']",39.96296296296296
"['Det', 'var', 'som', 'å', 'hjelpe', 'andre', 'til', 'å', 'være', 'ærlige', 'overfor', 'arbeidsgiver', 'og', 'for', 'å', 'vise', 'ansvarlighet', 'og', 'kontroll', 'på', 'arbeidsplassen', ',', 'og', 'å', 'bli', 'hørt', '.', '-', 'Vi', 'ønsker', 'at', 'arbeidsgiver', 'skal', 'være', 'tydelige', 'både', 'overfor', 'arbeidstakerne', 'og', 'for', 'at', 'arbeidsgiver', 'skal', 'være', 'ærlige', 'overfor', 'arbeidsgiver', 'og', 'dennes', 'samarbeidspartnere', ',', 'slik', 'at', 'de', 'føler', 'at', 'arbeidsmiljøet', 'faller', 'i', 'denne', 'kategorien', '.', 'Vi', 'mener', 'det', 'er', 'det', 'rette', 'å', 'søke', 'arbeidsgiver', 'etter', 'i', 'denne', 'saken', ',', 'sier', 'han', 'og', 'fortsetter', ':', '-', 'Jeg', 'håper', 'bare', 'at', 'arbeidsgivere', 'ser', 'hva', 'vi', 'kan', 'gjøre', 'for', 'å', 'hjelpe', 'dem', 'til', 'å', 'bli', 'en', 'bedre', 'rollemodell', 'og', 'å', 'få', 'folk', 'til', 'å', 'melde', 'seg', 'opp', '.', '-', 'Dersom', 'dere', 'har', 'lyst', 'på', 'et', 'ekstra', 'godt', 'tilbud', 'av', 'nye', 'arbeidsbetingelser', ',', 'kan', 'NAV', 'kontakte', 'oss', 'direkte', 'på', 'e-post', 'og', 'tlf.', 'til', 'daglig', 'leder', '.', 'Dette', 'tilbudet', 'vil', 'gi', 'jobbene', 'dine', 'mer', 'fleksibilitet', ',', 'ikke', 'bare', 'dem', 'som', 'har', 'vært', 'der', 'på', 'ferie', 'så', 'langt', ',', 'sier', 'han', 'og', 'fortsetter', ':', '-', 'Det', 'er', 'jo', 'tross', 'alt', 'litt', 'lettere', 'å', 'bruke', 'tiden', 'på', 'jobb', 'innimellom', 'og', 'har', 'de', 'ansatte', 'det', 'ikke', 'er', 'noen', 'annen', 'måte', 'å', 'gjøre']",49.1875
"['Det', 'er', 'ikkje', 'et', 'forent', 'begrep', 'av', 'det', 'hele', 'sett', 'som', 'det', 'vil', 'ha', 'noko', 'til', 'hensikt', 'å', 'gjere', 'ved', 'en', 'større', 'grad', 'av', 'likestilling', 'av', 'den', 'enkelte', 'arbeidstakers', 'personalidelse', 'i', 'offentlig', 'orden', '.', 'Det', 'dreier', 'seg', 'om', 'alle', 'som', 'utfører', 'den', 'typen', 'arbeidsoppdrag', 'som', 'arbeidstakerne', 'har', 'eller', 'skal', 'utføre', 'etter', 'loven', '.', 'Herunder', 'også', 'i', 'hvilken', 'rett', 'arbeidstakeren', 'har', 'lov', 'å', 'utføre', 'de', 'samme', 'arbeidsoppgavene', 'som', 'vedkommende', 'til', 'enhver', 'tid', 'har', '.', 'Det', 'dreier', 'seg', 'her', 'om', 'lovtekster', 'som', 'har', 'et', 'vidt', 'spekter', 'av', 'arbeidsoppgaver', 'som', 'hver', 'enkelt', 'har', 'ansvaret', 'for', '.', 'For', 'det', 'første', 'skal', 'arbeidstakeren', 'som', 'den', 'enkelte', 'omfattes', 'av', 'loven', ',', 'etter', 'arbeidsrettens', 'skjønn', 'definere', 'den', 'enkelte', 'arbeidstakers', 'forhold', 'til', 'hverandre', 'på', 'en', 'tilstrekkelig', 'måte', '.', 'For', 'det', 'andre', 'kan', 'arbeidstakerens', 'plikter', 'overfor', 'arbeidstakeren', 'som', 'et', 'ledd', 'i', 'bedriftens', 'daglig', 'drift', 'og', 'for', 'øvrig', 'også', 'inngå', 'i', 'dette', 'reglementet', '.', 'En', 'virksomhets', 'virksomhet', 'skal', 'ikke', 'hindre', 'at', 'en', 'arbeidstaker', 'får', 'en', 'arbeidsnedleggelse', 'i', 'forbindelse', 'med', 'sin', 'arbeidssituasjon', ',', 'det', 'skal', 'ikke', 'gjøre', 'seg', 'gjeldende', ',', 'det', 'skal', 'ikke', 'komme', 'urimelige', 'oppsigelsessaker', 'til', 'utløp']",47.65085158150852
"['Kor', 'mange', 'prosent', 'poeng', '.', 'Det', 'er', 'imidlertid', 'ikke', 'noe', 'galt', 'å', 'bruke', 'hele', 'sin', 'tid', 'til', 'oppkjøp', 'av', 'aksjer', 'og', 'obligasjoner', '.', 'Det', 'kan', 'hende', 'at', 'du', 'blir', 'sittende', 'i', 'banken', 'og', 'tenker', 'på', 'dine', 'egne', 'feil', '.', 'Du', 'vil', 'ofte', 'være', 'glad', 'på', 'din', 'vegne', ',', 'og', 'vil', 'helst', 'aldri', 'ta', 'noen', 'beslutninger', 'om', 'din', 'nye', 'startkapital', '.', 'I', 'tilfelle', 'du', 'ikke', 'klarer', 'å', 'sette', 'deg', 'inn', 'i', 'dette', 'så', 'vil', 'du', 'kunne', 'sette', 'deg', 'inn', 'i', 'noe', 'som', 'har', 'med', 'tid', 'og', 'penger', 'å', 'gjøre', '.', 'Her', 'er', 'noen', 'grunner', ':', 'Hvilken', 'rente', 'er', 'det', 'mest', 'lønnsomt', 'å', 'investere', 'til', 'å', 'kjøpe', 'aksjer', 'og', 'obligasjoner', '?', 'Skulle', 'en', 'aksje', 'være', 'å', 'bruke', 'på', 'investeringer', 'i', 'et', 'marked', 'vil', 'en', 'slik', 'rente', 'være', 'den', 'eneste', 'måten', 'å', 'skaffe', 'seg', 'kapital', 'til', 'å', 'kjøpe', 'aksjer', '.', 'Det', 'første', 'som', 'skjer', 'om', 'en', 'slik', 'rente', 'er', 'å', 'kjøpe', 'aksjer', 'og', 'obligasjonsfond', ',', 'så', 'er', 'å', 'ha', 'et', 'fond', 'der', 'det', 'er', 'muligheter', 'til', 'å', 'investere', 'til', 'virkelig', 'å', 'kjøpe', 'aksjer', 'fra', 'en', 'aksje', 'eller', 'en', 'aksjer', 'med', 'lav', 'aksjekurs', ',', 'samt', 'en', 'del', 'andre', 'typer', 'aksjer', '.', 'Dette', 'betyr', 'at', 'det', 'er', 'mer', 'lønnsomt', 'å', 'eie', 'en', 'aksje']",33.36363636363636
"['Det', 'er', 'veldig', 'lenge', 'å', 'finne', 'den', 'rette', 'veien', 'til', 'de', 'aller', ',', 'aller', 'viktigste', 'oppgavene', 'til', 'en', 'spesialist', 'i', 'faget', '.', 'Å', 'få', 'opplæring', 'innen', 'fagområdet', 'i', 'et', 'fag', 'krever', 'litt', 'mer', 'enn', 'bare', 'å', 'få', 'den', 'praktiske', 'erfaringen', 'som', 'en', 'faglærer', 'kan', '.', 'Og', 'å', 'jobbe', 'med', 'et', 'felles', 'pensum', 'vil', 'være', 'til', 'godeforelesere', 'og', 'lærere', 'som', 'er', 'relevante', 'for', 'akkurat', 'dette', '.', 'Det', 'blir', 'et', 'mye', 'større', 'og', 'komplekst', 'tema', 'for', 'hele', 'skolen', ',', 'som', 'vil', 'engasjere', 'så', 'mye', 'som', 'mulig', 'i', 'fagene', '.', 'Jeg', 'skal', 'også', 'nevne', 'noen', 'av', 'de', 'oppgavene', 'som', 'jeg', 'tar', 'med', 'meg', 'videre', '.', 'Share', 'this', ':', 'Click', 'to', 'share', 'on', 'Twitter', '(', 'Opens', 'in', 'new', 'window', ')', 'Click', 'to', 'share', 'on', 'Facebook', '(', 'Opens', 'in', 'new', 'window', ')', 'Related', 'Post', 'navigation', 'Previous', 'Previous', 'post', ':', 'Strategi', 'og', 'arbeidsmåter', 'Next', 'Post', ':', 'PPT-tinget', 'om', 'mobbing', 'Strategiplan', '–', 'med', 'og', 'uten', 'tvang', ',', 'eller', 'Search', 'For', 'Teachers', 'Recent', 'Posts', 'Hønefoss', ',', 'Akershus', 'Gymnas', 'Hønefoss', ',', 'Akershus', 'Gymnas', 'Notodden', 'og', 'Løten', 'October', '12', ',', '2022']",33.73684210526316
