tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, var, en, stor, dag, for, de, norske, håndballjentene, ., I, Sverige, var, det, også, stor, interesse, for, kampen, ,, og, det, var, mange, svensker, som, hadde, tatt, turen, til, Norge, for, å, se, kampen, live, ., Det, var, også, mange, svensker, som, fulgte, kampen, på, TV, ., I, Sverige, var, det, nemlig, også, stor, interesse, for, kampen, ,, og, det, var, mange, svensker, som, hadde, tatt, turen, til, Norge, for, å, se, kampen, live, ., Det, var, også, mange, svensker, som, fulgte, kampen, på, TV, ., I, Sverige, var, det, nemlig, også, stor, interesse, for, kampen, ,, og, det, var, mange, svensker, som, hadde, tatt, turen, til, Norge, for, å, se, kampen, live, ., Det, var, også, mange, svensker, som, fulgte, kampen, på, TV, ., I, Sverige, var, det, nemlig, også, stor, interesse, for, kampen, ,, og, det, var, mange, svensker, som, hadde, tatt, turen, til, Norge, for, å, se, kampen, live, ., Det, var, også, mange, svensker, som, fulgte, kampen, på, TV, ., I, Sverige, var, det, nemlig, også, stor, interesse, for, kampen, ,, og, det]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT ADP PROPN AUX PRON ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ NOUN PRON AUX VERB NOUN ADP PROPN SCONJ PART VERB NOUN ADJ PUNCT PRON VERB ADV ADJ NOUN PRON VERB NOUN ADP NOUN PUNCT ADP PROPN AUX PRON ADV ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ NOUN PRON AUX VERB NOUN ADP PROPN SCONJ PART VERB NOUN ADJ PUNCT PRON VERB ADV ADJ NOUN PRON VERB NOUN ADP NOUN PUNCT ADP PROPN AUX PRON ADV ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ NOUN PRON AUX VERB NOUN ADP PROPN SCONJ PART VERB NOUN ADJ PUNCT PRON VERB ADV ADJ NOUN PRON VERB NOUN ADP NOUN PUNCT ADP PROPN AUX PRON ADV ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADJ NOUN PRON AUX VERB NOUN ADP PROPN SCONJ PART VERB NOUN ADJ PUNCT PRON VERB ADV ADJ NOUN PRON VERB NOUN ADP NOUN PUNCT ADP PROPN AUX PRON ADV ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON,0.03459821428571429,0.3927272727272718,186,896,0.6612903225806451,1.0
"[Det, var, ein, gong, ein, mann, som, heitte, Ola, ., Han, var, ein, av, dei, som, hadde, fått, seg, ein, liten, gard, ., Han, hadde, fått, seg, ei, kjerring, og, nokre, ungar, ., Han, hadde, fått, seg, ein, hest, og, nokre, kyr, ., Han, hadde, fått, seg, ein, traktor, og, ein, plog, ., Han, hadde, fått, seg, ein, fjøs, og, ein, silo, ., Han, hadde, fått, seg, ein, traktor, til, og, ein, plog, til, ., Han, hadde, fått, seg, ein, silo, til, ., Han, hadde, fått, seg, ein, traktor, til, og, ein, plog, til, ., Han, hadde, fått, seg, ein, silo, til, ., Han, hadde, fått, seg, ein, traktor, til, og, ein, plog, til, ., Han, hadde, fått, seg, ein, silo, til, ., Han, hadde, fått, seg, ein, traktor, til, og, ein, plog, til, ., Han, hadde, fått, seg, ein, silo, til, ., Han, hadde, fått, seg, ein, traktor, til, og, ein, plog, til, ., Han, hadde, fått, seg, ein, silo, til, ., Han, hadde, fått, seg, ein, traktor, til, og, ein, plog, til, ., Han, hadde, fått, seg, ein, silo, til, ., Han, hadde, fått, seg, ein, traktor, til, og]",PRON AUX X X X NOUN PRON ADJ PROPN PUNCT PRON AUX X ADP NOUN PRON AUX VERB PRON X ADJ NOUN PUNCT PRON AUX VERB PRON DET NOUN CCONJ PROPN PROPN PUNCT PRON AUX VERB PRON X NOUN CCONJ ADJ NOUN PUNCT PRON AUX VERB PRON X NOUN CCONJ X NOUN PUNCT PRON AUX VERB PRON X X CCONJ X NOUN PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP PUNCT PRON AUX VERB PRON X NOUN ADP CCONJ,0.033047735618115054,0.3594270833333341,191,817,0.743455497382199,0.33388790013516534
"[Det, var, så, mye, som, skjedde, i, livet, mitt, ,, og, jeg, hadde, ikke, tid, til, å, tenke, på, meg, selv, ., Jeg, var, så, opptatt, med, å, ta, vare, på, alle, andre, at, jeg, glemte, å, ta, vare, på, meg, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, glade, at, jeg, glemte, å, være, glad, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, fornøyde, at, jeg, glemte, å, være, fornøyd, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, lykkelige, at, jeg, glemte, å, være, lykkelig, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, perfekte, at, jeg, glemte, å, være, perfekt, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, lykkelige, at, jeg, glemte, å, være, lykkelig, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, perfekte, at, jeg, glemte, å, være, perfekt, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, lykkelige, at, jeg, glemte, å, være, lykkelig, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, perfekte, at, jeg, glemte, å, være, perfekt, selv, ., Jeg, var, så, opptatt, med, å, gjøre, alle, andre, lykkelige, at, jeg, glemte, å, være, lykkelig, selv, ., Jeg, var, så, opptatt, med]",PRON VERB ADV ADJ PRON VERB ADP NOUN PRON PUNCT CCONJ PRON VERB PART NOUN SCONJ PART VERB ADP PRON DET PUNCT PRON AUX ADV ADJ SCONJ PART VERB NOUN ADP DET DET SCONJ PRON VERB PART VERB NOUN ADP PRON DET PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ SCONJ PART VERB DET DET ADJ SCONJ PRON VERB PART AUX ADJ ADV PUNCT PRON AUX ADV ADJ ADP,0.027835051546391754,0.3677524429967434,210,970,0.7380952380952381,0.30396375225858274
"[Ja, det, var, en, fin, dag, i, går, ., Jeg, var, på, jobb, og, hadde, en, fin, dag, der, ., Jeg, var, også, på, besøk, hos, min, mor, og, vi, hadde, en, fin, dag, sammen, ., Vi, var, ute, og, gikk, en, tur, og, det, var, deilig, å, få, litt, frisk, luft, ., Det, var, også, deilig, å, få, litt, sol, på, kroppen, ., Det, er, ikke, så, ofte, man, får, det, her, i, Norge, så, det, er, viktig, å, nyte, det, når, man, har, muligheten, ., Jeg, har, også, vært, på, trening, i, dag, og, det, var, deilig, å, få, brukt, kroppen, litt, ., Det, er, viktig, å, holde, seg, i, form, og, det, er, viktig, å, ta, vare, på, kroppen, sin, ., Jeg, har, også, vært, på, besøk, hos, en, venninne, i, dag, og, det, var, veldig, hyggelig, ., Det, er, alltid, hyggelig, å, være, sammen, med, venner, og, det, er, viktig, å, ta, vare, på, vennskapene, sine, ., Det, er, viktig, å, ta, vare, på, de, man, er, glad, i, og, det, er, viktig, å, ta, vare, på, seg, selv, ., Det, er, viktig, å, ta, vare, på, seg, selv, og, det, er, viktig, å, ta, vare, på, de, man, er, glad, i., Det, er, viktig, å]",INTJ PRON AUX DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP NOUN CCONJ VERB DET ADJ NOUN ADV PUNCT PRON AUX ADV ADP NOUN ADP PRON NOUN CCONJ PRON VERB DET ADJ NOUN ADV PUNCT PRON VERB ADP CCONJ VERB DET NOUN CCONJ PRON AUX ADJ PART VERB ADJ ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB ADJ NOUN ADP NOUN PUNCT PRON AUX PART ADV ADJ PRON VERB PRON ADV ADP PROPN ADV PRON AUX ADJ PART VERB PRON SCONJ PRON VERB NOUN PUNCT PRON AUX ADV AUX ADP NOUN ADP NOUN CCONJ PRON AUX ADJ PART AUX VERB NOUN ADJ PUNCT PRON AUX ADJ PART VERB PRON ADP NOUN CCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN PRON PUNCT PRON AUX ADV AUX ADP NOUN ADP DET NOUN ADP NOUN CCONJ PRON AUX ADJ ADJ PUNCT PRON AUX ADV ADJ PART AUX ADV ADP NOUN CCONJ PRON AUX ADJ PART VERB NOUN ADP NOUN PRON PUNCT PRON AUX ADJ PART VERB NOUN ADP PRON PRON AUX ADJ ADP CCONJ PRON AUX ADJ PART VERB NOUN ADP PRON DET PUNCT PRON AUX ADJ PART VERB NOUN ADP PRON DET CCONJ PRON AUX ADJ PART VERB NOUN ADP PRON PRON AUX ADJ PUNCT PRON AUX ADJ PART,0.035169988276670575,0.3560199004975131,210,853,0.7904761904761904,0.6171827201994954
"[Ja, det, er, ikke, så, lett, å, få, til, en, tur, når, man, har, en, liten, en, som, ikke, er, så, glad, i, å, sitte, i, bil, og, som, ikke, liker, å, sove, i, vogn, ., Men, det, er, jo, så, koselig, å, komme, seg, ut, på, tur, med, de, små, ., Vi, har, vært, på, mange, fine, turer, i, det, siste, ,, men, det, er, ikke, alltid, det, blir, så, lange, turer, ., Men, det, er, jo, bedre, enn, å, sitte, inne, hele, dagen, :), I, dag, har, vi, vært, på, tur, i, skogen, og, grillet, pølser, på, bål, ., Det, var, veldig, koselig, ,, men, det, var, litt, kaldt, så, vi, måtte, gå, hjem, igjen, etter, en, liten, stund, ., Men, det, var, godt, å, komme, seg, ut, i, frisk, luft, ., Det, er, så, deilig, å, komme, seg, ut, i, skogen, og, bare, nyte, stillheten, og, den, friske, luften, ., Det, er, så, godt, å, komme, seg, ut, og, få, litt, frisk, luft, og, få, beveget, seg, litt, ., Det, er, så, lett, å, bli, sittende, inne, og, bare, se, på, tv, eller, sitte, på, pc'en, ., Men, det, er, jo, så, mye, bedre, å, komme, seg]",INTJ PRON AUX PART ADV ADJ PART VERB ADP DET NOUN SCONJ PRON VERB DET ADJ DET PRON PART AUX ADV ADJ SCONJ PART VERB ADP NOUN CCONJ PRON PART VERB PART VERB ADP NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ PART VERB PRON ADP ADP NOUN ADP DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP DET ADJ PUNCT CCONJ PRON AUX PART ADV PRON VERB ADV ADJ NOUN PUNCT CCONJ PRON AUX ADV ADJ SCONJ PART VERB ADP ADJ NOUN PUNCT ADP NOUN AUX PRON AUX ADP NOUN ADP NOUN CCONJ VERB NOUN ADP NOUN PUNCT PRON AUX ADJ ADJ PUNCT CCONJ PRON AUX ADJ ADJ SCONJ PRON AUX VERB ADP ADV ADP DET ADJ NOUN PUNCT CCONJ PRON AUX ADJ PART VERB PRON ADP ADP ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB PRON ADP ADP NOUN CCONJ ADV VERB NOUN CCONJ DET ADJ NOUN PUNCT PRON AUX ADV ADJ PART VERB PRON ADP CCONJ VERB ADJ ADJ NOUN CCONJ ADJ VERB PRON ADJ PUNCT PRON AUX ADV ADJ PART VERB ADJ ADP CCONJ ADV VERB ADP NOUN CCONJ VERB ADP NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ ADJ PART VERB PRON,0.04438964241676942,0.3594225721784787,200,811,0.72,1.0
"[Så, var, det, dags, för, en, ny, vecka, och, nya, möjligheter, ., Jag, har, haft, en, riktigt, bra, helg, med, mycket, träning, och, god, mat, ., Igår, var, jag, på, gymmet, och, körde, ett, riktigt, bra, pass, ., Jag, körde, mycket, ben, och, det, känns, idag, kan, jag, säga, ., Jag, har, även, hunnit, med, att, träna, lite, kondition, och, kört, lite, intervaller, ., Jag, har, även, hunnit, med, att, vara, ute, och, springa, en, runda, och, det, var, riktigt, skönt, att, komma, ut, och, springa, lite, ., Det, är, så, skönt, att, komma, ut, och, springa, när, det, är, fint, väder, och, man, känner, att, man, har, lite, energi, i, kroppen, ., Jag, har, även, hunnit, med, att, vara, ute, och, gå, en, runda, med, min, hund, och, det, var, riktigt, skönt, att, komma, ut, och, gå, en, runda, med, honom, också, ., Det, är, så, skönt, att, komma, ut, och, gå, en, runda, när, det, är, fint, väder, och, man, känner, att, man, har, lite, energi, i, kroppen, ., Jag, har, även, hunnit, med, att, vara]",ADV AUX PRON NOUN X DET ADJ NOUN X X NOUN PUNCT X X NOUN DET ADJ ADJ NOUN ADP ADJ NOUN X ADJ NOUN PUNCT ADJ AUX X ADP NOUN X PROPN NUM ADJ ADJ NOUN PUNCT X X X X X X X NOUN AUX VERB PROPN PUNCT X X NOUN NOUN ADP X NOUN ADJ X X PROPN ADJ NOUN PUNCT X X NOUN NOUN ADP X NOUN ADP X X X X X PRON AUX ADJ PROPN X X ADP X NOUN ADJ PUNCT PRON X X PROPN X X ADP X X X X X ADJ PROPN X X VERB X PRON VERB ADJ NOUN ADP NOUN PUNCT X X NOUN NOUN ADP X X X X VERB DET NOUN ADP PRON NOUN X PRON AUX ADJ PROPN X X ADP X X DET NOUN ADP NOUN NOUN PUNCT PRON X X PROPN X X ADP X X DET NOUN X X X ADJ PROPN X X VERB X PRON VERB ADJ NOUN ADP NOUN PUNCT X X NOUN NOUN ADP X X,0.037897310513447434,0.3828608582574765,178,818,0.4157303370786517,1.0
"[Det, var, som, om, det, var, en, annen, verden, som, møtte, oss, da, vi, kom, til, den, lille, landsbyen, i, fjellene, i, Nepal, ., Vi, ble, møtt, av, en, smilende, og, gjestfri, familie, som, tok, oss, med, inn, i, sitt, hjem, ., Det, var, en, helt, annen, verden, enn, den, vi, var, vant, til, ., Det, var, ikke, innlagt, vann, ,, og, det, var, utedo, ., Det, var, ikke, strøm, ,, og, det, var, ikke, internett, ., Det, var, ikke, noe, vi, savnet, ,, for, vi, hadde, det, så, fint, der, ., Vi, ble, tatt, godt, imot, ,, og, vi, fikk, være, med, på, å, lage, mat, og, å, vaske, opp, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage, mat, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage, mat, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage, mat, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage, mat, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage, mat, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage, mat, ., Vi, fikk, også, være, med, på, å, lage, klær, og, å, lage]",PRON AUX ADP SCONJ PRON VERB DET DET NOUN PRON VERB PRON SCONJ PRON VERB ADP DET ADJ NOUN ADP NOUN ADP PROPN PUNCT PRON AUX VERB ADP DET ADJ CCONJ ADJ NOUN PRON VERB PRON ADP ADP ADP PRON NOUN PUNCT PRON AUX DET ADJ DET NOUN ADP PRON PRON AUX ADJ ADP PUNCT PRON AUX PART VERB NOUN PUNCT CCONJ PRON VERB NOUN PUNCT PRON VERB PART NOUN PUNCT CCONJ PRON VERB PART NOUN PUNCT PRON VERB PART PRON PRON VERB PUNCT CCONJ PRON VERB PRON ADV ADJ ADV PUNCT PRON AUX VERB ADJ ADP PUNCT CCONJ PRON AUX AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB ADP PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB NOUN PUNCT PRON AUX ADV AUX ADP SCONJ PART VERB NOUN CCONJ PART VERB,0.0364963503649635,0.36786545924967584,208,822,0.6923076923076923,0.4240661336451224
"[Det, er, ikkje, berre, i, Noreg, det, er, stor, interesse, for, å, sjå, den, nye, James, Bond-filmen, «, Quantum, of, Solace, », ., I, Storbritannia, har, filmen, hatt, premiere, i, dag, ,, og, ifølgje, BBC, har, filmen, selt, billettar, for, over, 20, millionar, pund, -, eller, rundt, 200, millionar, kroner, -, i, løpet, av, dei, første, 24, timane, etter, premieren, ., Det, er, ny, rekord, for, ein, film, i, Storbritannia, ., Den, førre, rekorden, hadde, «, Harry, Potter, og, Føniksordenen, », frå, 2007, ,, som, selde, billettar, for, 18,5, millionar, pund, i, løpet, av, dei, første, 24, timane, etter, premieren, ., «, Quantum, of, Solace, », er, den, 21., filmen, om, James, Bond, ,, og, den, fjerde, med, Daniel, Craig, i, hovudrolla, ., I, Noreg, har, filmen, premiere, på, fredag, -, og, det, er, venta, at, mange, vil, sjå, filmen, i, løpet, av, helga, .]",PRON VERB X X ADP PROPN PRON VERB ADJ NOUN SCONJ PART VERB DET ADJ PROPN NOUN PUNCT PROPN X PROPN PUNCT PUNCT ADP PROPN AUX NOUN VERB NOUN ADP NOUN PUNCT CCONJ ADJ PROPN VERB NOUN ADJ NOUN ADP ADP NUM ADJ NOUN PUNCT CCONJ ADP NUM ADJ NOUN PUNCT ADP NOUN ADP DET ADJ NUM NOUN ADP NOUN PUNCT PRON AUX ADJ NOUN ADP X NOUN ADP PROPN PUNCT DET ADJ NOUN VERB PUNCT PROPN PROPN CCONJ PROPN PUNCT PROPN NUM PUNCT PRON VERB PROPN ADP NUM ADJ NOUN ADP NOUN ADP DET ADJ NUM NOUN ADP NOUN PUNCT PUNCT PROPN X PROPN PUNCT AUX DET ADJ NOUN ADP PROPN PROPN PUNCT CCONJ DET ADJ ADP PROPN PROPN ADP NOUN PUNCT ADP PROPN AUX NOUN NOUN ADP NOUN PUNCT CCONJ PRON AUX ADJ SCONJ ADJ AUX VERB NOUN ADP NOUN ADP NOUN PUNCT,0.0676056338028169,0.40239031770045314,145,710,0.46206896551724136,0.301758907032937
"[Kor, mange, prosent, av, befolkninga, i, Noreg, er, medlem, av, eit, trus-, eller, livssynssamfunn, ?, Kor, mange, av, desse, er, medlem, av, Den, norske, kyrkja, ?, Kor, mange, er, medlem, av, eit, muslimsk, trussamfunn, ?, Kor, mange, er, medlem, av, Human-Etisk, Forbund, ?, Kor, mange, er, medlem, av, eit, buddhistisk, trussamfunn, ?, Kor, mange, er, medlem, av, eit, hinduistisk, trussamfunn, ?, Kor, mange, er, medlem, av, eit, livssynssamfunn, ?, Kor, mange, er, medlem, av, eit, samisk, trussamfunn, ?, Kor, mange, er, medlem, av, eit, anna, trus-, eller, livssynssamfunn, ?, Kor, mange, er, ikkje, medlem, av, noko, trus-, eller, livssynssamfunn, ?, Kor, mange, er, medlem, av, Den, norske, kyrkja, i, prosent, av, befolkninga, ?, Kor, mange, er, medlem, av, eit, muslimsk, trussamfunn, i, prosent, av, befolkninga, ?, Kor, mange, er, medlem, av, Human-Etisk, Forbund, i, prosent, av, befolkninga, ?, Kor, mange, er, medlem, av, eit, buddhistisk, trussamfunn, i, prosent, av, befolkninga, ?, Kor, mange, er, medlem, av, eit, hinduistisk, trussamfunn, i]",ADV ADJ NOUN ADP NOUN ADP PROPN AUX NOUN ADP X NOUN CCONJ NOUN PUNCT VERB ADJ ADP NOUN AUX NOUN ADP PROPN ADJ PROPN PUNCT ADV ADJ AUX NOUN ADP DET ADJ NOUN PUNCT ADV ADJ AUX NOUN ADP PROPN PROPN PUNCT ADV ADJ AUX NOUN ADP PROPN ADJ NOUN PUNCT ADV ADJ AUX NOUN ADP DET ADJ NOUN PUNCT ADV ADJ AUX NOUN ADP PROPN NOUN PUNCT ADV ADJ AUX NOUN ADP DET ADJ NOUN PUNCT ADV ADJ AUX NOUN ADP X X NOUN CCONJ NOUN PUNCT ADV ADJ AUX X NOUN ADP X NOUN CCONJ NOUN PUNCT ADV ADJ AUX NOUN ADP PROPN ADJ PROPN ADP NOUN ADP NOUN PUNCT ADV ADJ AUX NOUN ADP DET ADJ NOUN ADP NOUN ADP NOUN PUNCT ADV ADJ AUX NOUN ADP PROPN PROPN ADP NOUN ADP NOUN PUNCT ADV ADJ AUX NOUN ADP PROPN ADJ NOUN ADP NOUN ADP NOUN PUNCT ADV ADJ AUX NOUN ADP NOUN ADJ NOUN ADP,0.03374578177727784,0.39816666666666506,160,889,0.58125,0.1358611999571064
"[Det, er, veldig, viktig, å, ha, en, god, og, trygg, sykkelhjelm, når, man, skal, ut, å, sykle, ., Det, er, også, viktig, å, ha, en, sykkelhjelm, som, passer, til, ditt, hode, og, din, stil, ., Det, er, mange, forskjellige, sykkelhjelmer, å, velge, mellom, ,, og, det, er, viktig, å, finne, en, som, passer, til, ditt, hode, og, din, stil, ., Det, er, også, viktig, å, finne, en, sykkelhjelm, som, er, trygg, og, sikker, ., Det, er, mange, forskjellige, sykkelhjelmer, å, velge, mellom, ,, og, det, er, viktig, å, finne, en, som, passer, til, ditt, hode, og, din, stil, ., Det, er, også, viktig, å, finne, en, sykkelhjelm, som, er, trygg, og, sikker, ., Det, er, mange, forskjellige, sykkelhjelmer, å, velge, mellom, ,, og, det, er, viktig, å, finne, en, som, passer, til, ditt, hode, og, din, stil, ., Det, er, også, viktig, å, finne, en, sykkelhjelm, som, er, trygg, og, sikker, ., Det, er, mange, forskjellige, sykkelhjelmer, å, velge, mellom, ,, og, det, er, viktig, å, finne, en, som, passer, til, ditt, hode, og, din, stil, ., Det, er, også, viktig, å, finne, en, sykkel]",PRON AUX ADJ ADJ PART VERB DET ADJ CCONJ ADJ NOUN SCONJ PRON VERB ADP PART VERB PUNCT PRON AUX ADV ADJ PART VERB DET NOUN PRON VERB ADP PRON NOUN CCONJ PRON NOUN PUNCT PRON VERB ADJ ADJ NOUN PART VERB ADP PUNCT CCONJ PRON AUX ADJ PART VERB PRON PRON VERB ADP PRON NOUN CCONJ PRON NOUN PUNCT PRON AUX ADV ADJ PART VERB DET NOUN PRON AUX ADJ CCONJ ADJ PUNCT PRON VERB ADJ ADJ NOUN PART VERB ADP PUNCT CCONJ PRON AUX ADJ PART VERB PRON PRON VERB ADP PRON NOUN CCONJ PRON NOUN PUNCT PRON AUX ADV ADJ PART VERB DET NOUN PRON AUX ADJ CCONJ ADJ PUNCT PRON VERB ADJ ADJ NOUN PART VERB ADP PUNCT CCONJ PRON AUX ADJ PART VERB PRON PRON VERB ADP PRON NOUN CCONJ PRON NOUN PUNCT PRON AUX ADV ADJ PART VERB DET NOUN PRON AUX ADJ CCONJ ADJ PUNCT PRON VERB ADJ ADJ NOUN PART VERB ADP PUNCT CCONJ PRON AUX ADJ PART VERB PRON PRON VERB ADP PRON NOUN CCONJ PRON NOUN PUNCT PRON AUX ADV ADJ PART VERB DET NOUN,0.02847380410022779,0.37148371531966434,185,878,0.7297297297297297,1.0
