tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, så, mange, mennesker, der, som, hun, hadde, tenkt, ., Hun, kunne, skimte, en, svartkledd, gutt, som, stod, borte, ved, porten, til, en, stor, eiendom, ,, ved, siden, av, den, var, det, et, stort, ,, gammelt, lindetre, med, noen, forvridde, rester, av, en, brukket, grein, ., Nedenfor, det, hele, lå, sjøen, ., Hun, fikk, øye, på, en, liten, ,, hvit, bygning, med, en, veranda, på, forsiden, der, hvor, verbenablomstene, stod, ., Et, vindu, var, opplyst, og, hun, fikk, øye, på, en, skikkelse, som, hun, syntes, var, nokså, merkelig, ., Hun, tenkte, at, det, kanskje, var, en, mann, ,, men, det, var, en, dame, som, sto, bøyd, utover, rekkverket, ,, uten, at, hun, kunne, se, ansiktet, under, hatten, ., Hun, kunne, tydelig, se, hvordan, munnen, og, øynene, formet, ord, for, liksom, å, fortelle, henne, at, nå, skulle, hun, komme, bort, til, henne, ., 
, stund, ,, hun, så, ikke, hva, hun, hadde, på, bena, ;, først, etter, en, stund, så, hun, de, utgåtte, tøflene, som, hadde, en, farge, som, gammelt, blekk, ., De, var, gamle, og, utgå]",CCONJ PRON VERB PART ADV ADJ NOUN ADV PRON PRON AUX VERB PUNCT PRON AUX VERB DET ADJ NOUN PRON VERB ADP ADP NOUN ADP DET ADJ NOUN PUNCT ADP NOUN ADP PRON AUX PRON DET ADJ PUNCT ADJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT ADP DET ADJ VERB NOUN PUNCT PRON VERB NOUN ADP DET ADJ PUNCT ADJ NOUN ADP DET NOUN ADP NOUN SCONJ ADV NOUN VERB PUNCT DET NOUN AUX ADJ CCONJ PRON VERB NOUN ADP DET NOUN PRON PRON VERB AUX ADV ADJ PUNCT PRON VERB SCONJ PRON ADV AUX DET NOUN PUNCT CCONJ PRON AUX DET NOUN PRON VERB ADJ ADP NOUN PUNCT SCONJ SCONJ PRON AUX VERB NOUN ADP NOUN PUNCT PRON AUX ADJ VERB ADV NOUN CCONJ NOUN VERB NOUN SCONJ ADV PART VERB PRON SCONJ ADV AUX PRON VERB ADP ADP PRON PUNCT SPACE NOUN PUNCT PRON VERB PART PRON PRON VERB ADP NOUN PUNCT ADV ADP DET NOUN VERB PRON DET ADJ NOUN PRON VERB DET NOUN SCONJ ADJ NOUN PUNCT PRON AUX ADJ CCONJ VERB,0.038238702201622246,0.36373464373464254,179,863,0.6312849162011173,0.30993382756662297
"[Det, var, ein, gong, eit, par, folk, som, hadde, gifta, seg, ., No, hadde, dei, ikkje, heim, ,, og, kona, skulle, gjæte, buskapen, for, folk, ., Kvar, gong, ho, kom, til, ein, gard, ,, så, spurde, ho, om, å, få, vere, der, ;, men, når, ho, hadde, gått, heimatt, til, slutt, ,, så, var, husbonden, og, kona, snille, med, henne, ,, men, det, vart, ikkje, noko, buskap, som, dei, kunne, ha, til, å, leve, for, ., 
, «, Nei, ,, eg, ser, ikkje, noko, mjølk, til, deg, ,, », sa, mannen, ,, «, og, du, må, gå, heimatt, ., », Då, kom, ho, til, ein, kongsgard, ., Der, møtte, ho, ein, smågut, ., «, Eg, skal, gjæta, ,, og, vil, du, seie, meg, kvar, du, tener, om, dagen, ,, eg, ,, så, skal, du, få, to, skilling, ;, elles, vil, eg, ikkje, lyfte, på, foten, om, dagen, ,, », sa, ho, ., «, Kva, heiter, du, ?, », sa, gjenta, ., «, Du, heiter, vel, Kristbjørg, ?, », sa, ho, ,, «, men, vil, du, seie, meg, det, ,, så, skal, du, ,, få, to, skilling, ;, elles]",PRON AUX X X X NOUN NOUN PRON AUX VERB PRON PUNCT NUM VERB X X X PUNCT CCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT X X X VERB ADP X PROPN PUNCT ADV VERB NOUN SCONJ PART AUX VERB ADV PUNCT CCONJ SCONJ NOUN AUX VERB ADJ ADP NOUN PUNCT ADV AUX NOUN CCONJ NOUN ADJ ADP PRON PUNCT CCONJ PRON VERB X X NOUN PRON PROPN AUX VERB SCONJ PART VERB ADP PUNCT SPACE PUNCT INTJ PUNCT X VERB X X ADV ADP PRON PUNCT PUNCT VERB NOUN PUNCT PUNCT CCONJ PRON AUX VERB ADJ PUNCT PUNCT X VERB NOUN ADP X PROPN PUNCT ADV VERB PROPN X X PUNCT PUNCT PROPN AUX NOUN PUNCT CCONJ AUX PRON VERB PRON DET PRON VERB ADP NOUN PUNCT X PUNCT ADV AUX PRON VERB NUM NOUN PUNCT NOUN AUX X X X ADP NOUN ADP NOUN PUNCT PUNCT VERB NOUN PUNCT PUNCT PROPN VERB PRON PUNCT PUNCT VERB X PUNCT PUNCT PRON VERB ADV PROPN PUNCT PUNCT VERB PROPN PUNCT PUNCT CCONJ AUX PRON VERB PRON PRON PUNCT ADV AUX PRON PUNCT VERB NUM NOUN PUNCT ADJ,0.05013927576601671,0.41781763826606916,188,718,0.6117021276595744,0.4045947372562775
"[Det, var, så, mye, han, ikke, hadde, fortalt, henne, ,, men, nå, syntes, han, det, var, viktig, å, få, sagt, det, han, hadde, på, hjertet, ., Han, hadde, skrevet, det, ned, på, forhand, ., Noen, av, forslagene, var, helt, sprø, ,, men, de, måtte, prøves, ,, syntes, han, ., 
, Hun, tok, imot, papirene, og, leste, langsomt, mens, hun, lot, tankene, vandre, ., Om, hun, bare, kom, i, gang, ., Men, tankene, kretset, om, det, han, hadde, skrevet, ned, ., Hun, så, for, seg, gutten, som, så, plutselig, hadde, falt, i, elva, ., Hadde, han, ropt, om, hjelp, ?, Og, så, ?, Hadde, han, likevel, berget, seg, opp, på, en, stein, og, blitt, med, nedover, ?, 
, Det, stakk, i, henne, da, hun, begynte, å, tvile, på, at, han, virkelig, hadde, hoppet, i, elva, ., Kunne, han, rett, og, slett, ha, svømt, over, og, tatt, feil, av, veien, og, kommet, inn, til, land, ,, der, han, ville, være, trygg, ?, Det, ville, ha, vært, noe, annet, å, falle, i, elva, ,, men, hvor, mange, ganger, i, livet, sitt, skulle, han, måtte, oppleve, dette, ?, Men, hvorfor, hadde, han, ikke, bare, ropt, om, hjelp, ?, 
, -, Nei, ,, du, får, komme, igang, ,, var, det, første]",PRON VERB ADV ADJ PRON PART AUX VERB PRON PUNCT CCONJ ADV VERB PRON PRON AUX ADJ PART AUX VERB PRON PRON VERB ADP NOUN PUNCT PRON AUX VERB PRON ADP ADP NOUN PUNCT DET ADP NOUN AUX ADJ ADJ PUNCT CCONJ PRON AUX VERB PUNCT VERB PRON PUNCT SPACE PRON VERB ADP NOUN CCONJ VERB ADJ SCONJ PRON VERB NOUN VERB PUNCT SCONJ PRON ADV VERB ADP NOUN PUNCT CCONJ NOUN VERB ADP PRON PRON AUX VERB ADP PUNCT PRON VERB ADP PRON NOUN PRON ADV ADJ AUX VERB ADP NOUN PUNCT AUX PRON VERB ADP NOUN PUNCT CCONJ ADV PUNCT AUX PRON ADV VERB PRON ADP ADP DET NOUN CCONJ VERB ADP ADP PUNCT SPACE PRON VERB ADP PRON SCONJ PRON VERB PART VERB SCONJ SCONJ PRON ADJ AUX VERB ADP NOUN PUNCT AUX PRON ADJ CCONJ ADJ AUX VERB ADP CCONJ VERB NOUN ADP NOUN CCONJ VERB ADP ADP NOUN PUNCT SCONJ PRON AUX AUX ADJ PUNCT PRON AUX AUX AUX DET DET PART VERB ADP NOUN PUNCT CCONJ ADV ADJ NOUN ADP NOUN PRON AUX PRON AUX VERB PRON PUNCT CCONJ ADV AUX PRON PART ADV VERB ADP NOUN PUNCT SPACE PUNCT INTJ PUNCT PRON AUX VERB ADV PUNCT AUX DET ADJ,0.039603960396039604,0.38013953488371993,206,909,0.6504854368932039,0.37581051932010073
"[Ja, det, var, en, gang, ., Og, det, var, meg, ., Og, det, var, deg, ., Og, du, ville, bli, dikter, ., Du, ville, være, dikter, ., Og, du, visste, det, ., Du, ville, skrive, ., Og, du, gjorde, det, ., Og, det, gikk, noen, år, ., Og, så, fikk, du, stipend, ., Da, hadde, det, gått, noen, år, ., Det, fikk, deg, ., Og, så, begynte, du, å, skrive, ., Og, du, skrev, og, skrev, og, skrev, ., Til, du, så, vidt, kunne, lese, det, du, hadde, skrevet, ., Men, det, er, ikke, min, sak, ., Det, er, ikke, min, sak, ., Det, kan, ikke, være, min, sak, ., 
, Men, nå, sitter, du, hjemme, og, forsøker, å, lese, ,, for, første, gang, på, lenge, ., Til, du, blir, helt, blank, ., Og, du, leser, brev, i, stedet, ., Fra, en, venn, ., Eller, en, gammel, beundrer, ., Eller, fra, en, kvinne, som, vil, ha, kontakt, ., For, hun, er, en, kvinne, ., Og, hun, trenger, noen, som, kan, forstå, ., For, det, var, ikke, noe, du, skrev, ,, det, var, noe, du, følte, ., Og, du, skriver, i, vei, ., Om, det, som, er, i, hjertet, ditt, ., Og, du, sender, brev, i, posten, ., For, du, vet, han, vil, like, at, du, spør]",INTJ PRON AUX DET NOUN PUNCT CCONJ PRON AUX PRON PUNCT CCONJ PRON AUX PRON PUNCT CCONJ PRON AUX VERB NOUN PUNCT PRON AUX AUX NOUN PUNCT CCONJ PRON VERB PRON PUNCT PRON AUX VERB PUNCT CCONJ PRON VERB PRON PUNCT CCONJ PRON VERB DET NOUN PUNCT CCONJ ADV VERB PRON NOUN PUNCT ADV AUX PRON VERB DET NOUN PUNCT PRON VERB PRON PUNCT CCONJ ADV VERB PRON PART VERB PUNCT CCONJ PRON VERB CCONJ VERB CCONJ VERB PUNCT ADP PRON ADV ADJ AUX VERB PRON PRON AUX VERB PUNCT CCONJ PRON AUX PART PRON NOUN PUNCT PRON AUX PART PRON NOUN PUNCT PRON AUX PART AUX PRON NOUN PUNCT SPACE CCONJ ADV VERB PRON ADP CCONJ VERB PART VERB PUNCT ADP ADJ NOUN ADP ADJ PUNCT SCONJ PRON VERB ADJ ADJ PUNCT CCONJ PRON VERB NOUN ADP NOUN PUNCT ADP DET NOUN PUNCT CCONJ DET ADJ NOUN PUNCT CCONJ ADP DET NOUN PRON AUX VERB NOUN PUNCT CCONJ PRON AUX DET NOUN PUNCT CCONJ PRON VERB PRON PRON AUX VERB PUNCT CCONJ PRON VERB PART PRON PRON VERB PUNCT PRON VERB PRON PRON VERB PUNCT CCONJ PRON VERB ADP NOUN PUNCT ADP PRON PRON AUX ADP NOUN PRON PUNCT CCONJ PRON VERB NOUN ADP NOUN PUNCT CCONJ PRON VERB PRON AUX VERB SCONJ PRON VERB,0.041716328963051254,0.3614936708860758,216,839,0.6620370370370371,0.3941022534164813
"[Ja, det, er, vel, en, god, vits, som, jeg, ikke, fant, på, selv, ,, men, jeg, ville, komme, med, en, opplysning, når, det, gjelder, den, derre, spriten, vi, tar, inn, —, ja, dere, får, unnskylde, meg, ,, for, dere, drikker, kanskje, ikke, slikt, brennevin, ., Når, dere, skal, ha, tak, i, den, spriten, ,, så, er, det, ikke, så, lett, ., Da, må, dere, kjøre, og, hente, den, med, lastebil, ., En, dag, fikk, de, låne, en, lastebil, som, kjørte, på, fyllinga, her, ., På, veien, kom, en, kar, og, spurte, hva, de, skulle, med, bilen, ., Jeg, svarte, at, jeg, hadde, kjøpt, med, litt, sprit, ,, og, så, skulle, han, få, låne, bilen, noen, dager, ., Da, så'n, litt, skeptisk, ut, og, sa, :, Men, kan, dere, kjøre, bil, ?, Ja, ,, vi, kan, vel, prøve, det, ., Vi, ble, enige, om, at, jeg, skulle, kjøre, og, han, ville, være, med, ., Det, viste, seg, jo, at, han, var, veldig, flink, ,, men, noen, ganger, ble, det, litt, for, bratt, ,, da, måtte, jeg, stoppe, og, be'n, rette, på, det, sånn, at, vi, kom, opp, den, bakken, ., 
, Det, var, ingen, kontroll, med, noe, som, heter, løyve, hos]",INTJ PRON AUX ADV DET ADJ NOUN PRON PRON PART VERB ADP ADV PUNCT CCONJ PRON AUX VERB ADP DET NOUN SCONJ PRON VERB DET ADJ NOUN PRON VERB ADP PUNCT AUX PRON AUX VERB PRON PUNCT CCONJ PRON VERB ADV PART DET NOUN PUNCT SCONJ PRON AUX VERB NOUN ADP DET NOUN PUNCT ADV AUX PRON PART ADV ADJ PUNCT ADV AUX PRON VERB CCONJ VERB PRON ADP NOUN PUNCT DET NOUN AUX PRON VERB DET NOUN PRON VERB ADP NOUN ADV PUNCT ADP NOUN VERB DET NOUN CCONJ VERB PRON PRON VERB ADP NOUN PUNCT PRON VERB SCONJ PRON AUX VERB ADP ADJ NOUN PUNCT CCONJ ADV AUX PRON AUX VERB NOUN DET NOUN PUNCT SCONJ PROPN ADJ ADJ ADP CCONJ VERB PUNCT CCONJ AUX PRON VERB NOUN PUNCT INTJ PUNCT PRON AUX ADV VERB PRON PUNCT PRON VERB ADJ SCONJ SCONJ PRON AUX VERB CCONJ PRON AUX AUX ADP PUNCT PRON VERB PRON ADV SCONJ PRON AUX ADJ ADJ PUNCT CCONJ DET NOUN VERB PRON ADJ ADV ADJ PUNCT ADV AUX PRON VERB CCONJ ADJ ADJ ADP PRON ADV SCONJ PRON VERB ADP DET NOUN PUNCT SPACE PRON VERB DET NOUN ADP PRON PRON VERB NOUN ADP,0.04508670520231214,0.3949999999999974,200,865,0.675,0.36336906058346463
"[Så, var, det, enda, noe, som, måtte, sies, til, slutt, ., Da, sa, han, :, «, Som, sagt, ,, jeg, tror, ikke, at, det, vil, gå, slik, ., At, krigen, vil, følge, det, mønsteret, som, har, vært, så, ofte, i, historien, ., Men, hvis, det, er, slik, at, det, utvikler, seg, mot, en, storkrig, ,, og, også, går, mot, en, enda, større, krig, ,, så, vil, det, også, få, uhyggelige, konsekvenser, for, vårt, område, ., Og, man, kan, bare, ane, konturene, av, det, som, det, vil, resultere, i., Så, derfor, bør, ikke, dette, bare, bli, en, personlig, oppfatning, ,, jeg, tror, det, er, mye, i, den, måten, man, kan, beskrive, hendelsene, på, ., For, det, er, veldig, viktig, å, være, klar, her, i, området, at, det, er, vårt, område, og, vår, historie, som, blir, endret, ,, og, konsekvensene, av, det, blir, også, vårt, ansvar, ., Og, jeg, tror, at, vi, alle, vil, stå, bedre, rustet, til, å, møte, det, som, kommer, ,, etter, at, vi, har, fått, kjennskap, til, hva, som, vil, kunne, skje, ., Derfor, tror, jeg, at, dette, er, viktig, å, gjennomføre, .]",ADV VERB PRON ADV PRON PRON AUX VERB ADP NOUN PUNCT ADV VERB PRON PUNCT PUNCT ADP ADJ PUNCT PRON VERB PART SCONJ PRON AUX VERB ADV PUNCT SCONJ NOUN AUX VERB DET NOUN PRON AUX AUX ADV ADJ ADP NOUN PUNCT CCONJ SCONJ PRON AUX ADV SCONJ PRON VERB PRON ADP DET NOUN PUNCT CCONJ ADV VERB ADP DET ADV ADJ NOUN PUNCT ADV AUX PRON ADV VERB ADJ NOUN ADP PRON NOUN PUNCT CCONJ PRON AUX ADV VERB NOUN ADP PRON PRON PRON AUX VERB PUNCT CCONJ ADV AUX PART PRON ADV VERB DET ADJ NOUN PUNCT PRON VERB PRON AUX ADJ ADP DET NOUN PRON AUX VERB NOUN ADP PUNCT CCONJ PRON AUX ADJ ADJ PART AUX ADJ ADV ADP NOUN SCONJ PRON AUX PRON NOUN CCONJ PRON NOUN PRON AUX VERB PUNCT CCONJ NOUN ADP PRON VERB ADV PRON NOUN PUNCT CCONJ PRON VERB SCONJ PRON DET AUX VERB ADJ ADJ SCONJ PART VERB PRON PRON VERB PUNCT SCONJ SCONJ PRON AUX VERB NOUN ADP PRON PRON AUX AUX VERB PUNCT ADV VERB PRON SCONJ PRON AUX ADJ PART VERB PUNCT,0.04151838671411625,0.36889168765743185,185,843,0.7027027027027027,0.4144155188092439
"[Det, var, som, om, kroppen, min, hadde, kommet, hjem, til, seg, seiv, ., 
, Den, siste, gangen, vi, var, sammen, ,, den, natten, i, Berlin, ,, ble, det, klart, for, meg, at, vi, hadde, tatt, inn, alt, for, mye, av, hverandre, ., At, hele, mitt, indre, trengte, å, tømmes, ., Jeg, trengte, å, se, på, meg, seiv, som, et, jeg, og, et, vi, ., Jeg, trengte, å, finne, tilbake, til, noe, som, ikke, kunne, beskrives, som, annet, enn, meg, seiv, ., 
, Det, jeg, skulle, gi, slipp, på, denne, gangen, var, ikke, noe, annet, enn, å, overgi, meg, til, et, jeg, som, jeg, hadde, gitt, så, mye, av, meg, seiv, til, ., Jeg, skulle, gi, slipp, på, det, som, hindret, meg, i, å, være, den, jeg, er, ., 
, Men, hvordan, skulle, jeg, gi, det, hele, fra, meg, ?, Hvordan, skulle, jeg, overgi, meg, ,, om, ikke, ved, å, gi, det, fra, meg, med, en, gave, i, en, gest, ,, i, en, handling, ., Jeg, måtte, ta, kontakt, ., Vi, holdt, fortsatt, forbindelsen, ,, vi, hadde, sendt, tekstmeldinger, til, hverandre, ,, jeg, hadde, invitert, til, en, kaffekopp, i, New, York, ,, men, den, eneste, gangen, vi, hadde, møttes, og, delt, ,, var, den, natten, i, Berlin, ,]",PRON AUX ADP ADP NOUN PRON AUX VERB ADP ADP PRON NOUN PUNCT SPACE DET ADJ NOUN PRON AUX ADV PUNCT DET NOUN ADP PROPN PUNCT VERB PRON ADJ ADP PRON SCONJ PRON AUX VERB ADP PRON ADV ADJ ADP PRON PUNCT SCONJ ADJ PRON ADJ VERB PART VERB PUNCT PRON VERB PART VERB ADP PRON VERB SCONJ DET NOUN CCONJ DET NOUN PUNCT PRON VERB PART VERB ADP ADP PRON PRON PART AUX VERB SCONJ DET ADP PRON NOUN PUNCT SPACE PRON PRON AUX VERB NOUN ADP DET NOUN AUX PART DET DET SCONJ PART VERB PRON SCONJ DET NOUN PRON PRON AUX VERB ADV ADJ ADP PRON ADJ ADP PUNCT PRON AUX VERB NOUN ADP PRON PRON VERB PRON SCONJ PART AUX PRON PRON VERB PUNCT SPACE CCONJ ADV AUX PRON VERB DET ADJ ADP PRON PUNCT ADV AUX PRON VERB PRON PUNCT SCONJ PART SCONJ PART VERB PRON ADP PRON ADP DET NOUN ADP DET NOUN PUNCT ADP DET NOUN PUNCT PRON AUX VERB NOUN PUNCT PRON VERB ADV NOUN PUNCT PRON AUX VERB NOUN ADP PRON PUNCT PRON AUX VERB ADP DET NOUN ADP PROPN PROPN PUNCT CCONJ DET NUM NOUN PRON AUX VERB CCONJ VERB PUNCT AUX PRON NOUN ADP PROPN PUNCT,0.04299889746416759,0.36107226107225937,207,907,0.7294685990338164,0.34743788757641264
"[Det, er, ikkje, alltid, så, godt, å, veta, kva, som, er, rektig, ,, kva, som, skal, skrivast, eller, seiast, ., Men, eg, er, heller, ikkje, så, viss, på, at, alle, rettar, seg, etter, dei, reglane, som, gjeld, ., Difor, kan, det, hende, at, nokon, ser, ei, sak, på, ein, annan, måte, enn, det, som, er, vanleg, ., 
, Tekstane, kan, vera, litt, ulike, alt, etter, kjønn, og, alder, ,, etter, kva, slags, arbeid, ein, har, eller, ikkje, har, ,, eller, korleis, ein, bur, ., 
, Det, er, ein, stor, fordel, for, alle, om, folk, som, kjem, på, vitjing, ,, skjøner, korleis, dei, skal, oppføre, seg, ., Vi, vil, gjerne, at, dei, skal, ha, det, rimeleg, triveleg, ,, og, så, skal, dei, sjølvsagt, få, vita, kva, som, gjeld, ., 
, Dei, orda, som, er, merkte, med, stjerne, ,, er, slike, som, ofte, vert, nytta, i, teksten, ,, anten, det, er, noko, du, skal, seia, eller, noko, som, skal, skrivast, ., 
, ikkje, det, som, er, regelen, i, andre, skular, ., 
, Festlege, tilstellingar, (, juletrefest, ,, skulefest, 0.a, ., ), 
, (, julet]",PRON AUX ADV ADV ADV ADJ PART X X PRON AUX ADJ PUNCT X PRON AUX ADJ CCONJ ADP PUNCT CCONJ PRON AUX ADV X ADV ADJ SCONJ SCONJ DET VERB PRON ADP DET NOUN ADP NOUN PUNCT NOUN AUX PRON VERB SCONJ PROPN VERB DET NOUN ADP X PROPN NOUN ADP PRON PRON AUX ADJ PUNCT SPACE PROPN AUX VERB ADJ ADJ PRON ADP NOUN CCONJ NOUN PUNCT ADP DET NOUN NOUN X X CCONJ X VERB PUNCT CCONJ X X NOUN PUNCT SPACE PRON AUX ADJ ADJ NOUN ADP PRON ADP NOUN PRON VERB ADP NOUN PUNCT NOUN ADV PROPN AUX VERB PRON PUNCT PRON VERB ADV SCONJ PRON AUX VERB DET PROPN NOUN PUNCT CCONJ ADV AUX PRON ADV VERB PROPN PROPN ADP NOUN PUNCT SPACE NOUN NOUN PRON AUX ADJ ADP NOUN PUNCT AUX DET PRON ADJ VERB NOUN ADP NOUN PUNCT NOUN PRON AUX X PRON AUX VERB CCONJ NOUN PRON AUX ADJ PUNCT SPACE X PRON PRON AUX NOUN ADP DET X PUNCT SPACE VERB PRON PUNCT NOUN PUNCT ADJ NUM PUNCT PUNCT SPACE PUNCT NOUN,0.042997542997543,0.35628758169934693,182,814,0.6428571428571429,0.34840621345393624
"[Kor, mange, prosent, av, dei, som, står, i, telefonkatalogen, ,, har, namnet, Arne, ?, Enn, namnet, Bjørg, ?, 
, Kor, mange, prosent, av, dei, som, står, i, telefonkatalogen, ,, har, namnet, Bjørn, ?, 
, Kor, mange, prosent, av, dei, som, står, i, telefonkatalogen, ,, har, namnet, Carl, ?, 
, Kor, mange, prosent, av, dei, som, står, i, telefonkatalogen, ,, har, namnet, Svein, ?, 
, 203, Lag, to, oppgåver, som, liknar, oppgåve, 204., Du, kan, godt, bruke, andre, namn, enn, Arne, og, Bjørn, ., Lag, oppgåver, til, ein, medelev, ., 
, Tabellen, viser, at, to, tredeler, av, alle, i, Noreg, har, telefon, ., 
, Ein, tredel, av, alle, i, Noreg, høyrer, på, musikk, kvar, dag, ., 
, å, ha, bil, ., 
, Kor, mange, prosent, av, alle, i, Noreg, har, telefon, ?, 
, Kor, mange, prosent, av, alle, i, Noreg, høyrer, på, musikk, kvar, dag, ?, 
, Kor, mange, prosent, av, alle, i, Noreg, har, bil, ?, 
, Kor, mange, prosent, av, alle, i, Noreg, høyrer, på, musikk, kvar, dag, ,, og, kor, mange, prosent, er, det, som, har, bil, ?, 
, Skriv, om, tala, i, stigande, rekkjefølgje, ., Kor, mange, prosent]",ADV ADJ NOUN ADP NOUN PRON VERB ADP NOUN PUNCT AUX VERB PROPN PUNCT ADP NOUN PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB ADP NOUN PUNCT AUX VERB PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB ADP NOUN PUNCT AUX NOUN PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB ADP NOUN PUNCT AUX NOUN PROPN PUNCT SPACE NUM ADV NUM NOUN ADP PROPN PROPN NUM PRON AUX ADJ VERB DET NOUN ADP PROPN CCONJ PROPN PUNCT VERB NOUN ADP X X PUNCT SPACE NOUN VERB SCONJ NUM NOUN ADP PRON ADP PROPN VERB NOUN PUNCT SPACE ADJ NOUN ADP PRON ADP PROPN X ADP NOUN X NOUN PUNCT SPACE PART VERB NOUN PUNCT SPACE NOUN ADJ NOUN ADP PRON ADP PROPN VERB NOUN PUNCT SPACE NOUN ADJ NOUN ADP PRON ADP PROPN X ADP NOUN X NOUN PUNCT SPACE NOUN ADJ NOUN ADP PRON ADP PROPN VERB NOUN PUNCT SPACE NOUN ADJ NOUN ADP PRON ADP PROPN X ADP NOUN X NOUN PUNCT CCONJ ADV ADJ NOUN AUX PRON PRON VERB NOUN PUNCT SPACE VERB ADP PROPN ADP ADJ NOUN PUNCT ADV ADJ NOUN,0.04895104895104895,0.42271940667490704,191,858,0.5549738219895288,0.13802314987814054
"[Det, er, veldig, viktig, at, alle, elevene, har, satt, seg, inn, i, kapittel, 2, i, lærerveiledningen, før, arbeidet, med, dette, temaet, starter, ., Lærerveiledningen, har, fyldige, veiledninger, til, begge, delkapitlene, i, dette, temaet, ., En, del, av, spørsmålene, i, delkapittelet, som, følger, har, også, svar, som, er, hentet, fra, dette, kapittelet, ., 
, Temaet, er, delt, inn, i, to, hovedelementer, :, 
, I, dette, temaet, jobber, elevene, i, grupper, ,, og, mange, spørsmål, forutsetter, et, samarbeid, ., Mange, av, spørsmålene, kan, løses, på, forskjellige, måter, av, elevene, ,, og, elevene, må, da, velge, måte, seiv, ., 
, enkelte, elev, på, en, slik, måte, at, de, viser, ulike, måter, å, tenke, på, ., 
, Dette, temaet, er, lagt, opp, for, alle, elever, ., Fokuset, er, på, de, som, har, en, forsinket, lese-, og, /, eller, skriveutvikling, ., Elevene, i, klassen, /, gruppen, er, i, forskjellig, alder, ., Det, vil, være, stor, variasjon, i, hvilke, ferdigheter, som, kan, vises, når, vi, bruker, denne, metoden, ., Det, er, viktig, at, lærer, og, eleven, blir, kjent, med, hver, elevs, sterke, og, svake, sider, ., Det, er, stor, forskjell, på, de, sterke, og, de, svak]",PRON AUX ADJ ADJ SCONJ DET NOUN AUX VERB PRON ADP ADP NOUN NUM ADP NOUN ADP NOUN ADP DET NOUN VERB PUNCT NOUN VERB ADJ NOUN ADP DET NOUN ADP DET NOUN PUNCT DET NOUN ADP NOUN ADP NOUN PRON VERB VERB ADV NOUN PRON AUX VERB ADP DET NOUN PUNCT SPACE NOUN AUX VERB ADP ADP NUM NOUN PUNCT SPACE ADP DET NOUN VERB NOUN ADP NOUN PUNCT CCONJ ADJ NOUN VERB DET NOUN PUNCT ADJ ADP NOUN AUX VERB ADP ADJ NOUN ADP NOUN PUNCT CCONJ NOUN AUX ADV VERB NOUN VERB PUNCT SPACE ADJ NOUN ADP DET DET NOUN SCONJ PRON VERB ADJ NOUN PART VERB ADP PUNCT SPACE DET NOUN AUX VERB ADP ADP DET NOUN PUNCT NOUN AUX ADP PRON PRON VERB DET ADJ NOUN CCONJ PUNCT CCONJ NOUN PUNCT NOUN ADP NOUN PUNCT NOUN AUX ADP ADJ NOUN PUNCT PRON AUX AUX ADJ NOUN ADP DET NOUN PRON AUX VERB SCONJ PRON VERB DET NOUN PUNCT PRON AUX ADJ SCONJ NOUN CCONJ NOUN AUX VERB ADP DET NOUN ADJ CCONJ ADJ NOUN PUNCT PRON VERB ADJ NOUN ADP DET ADJ CCONJ PRON ADJ,0.039755351681957186,0.3690128755364807,190,981,0.5631578947368421,0.35101967800380746
