tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, det, at, han, hadde, mistet, både, sin, hustru, og, sin, sønn, ., Han, var, også, så, nedfor, og, nedfor, ., at, han, mest, ikke, vai, ved, bevissthet, lengere, ., og, var, glad, for, at, han, snart, skulle, vandre, heden, ,, og, slippe, å, hore, mer, om, dette, forferdelige, ., 
, han, hadde, sett, før, ., 
, og, det, var, der, hun, lå, ., —, Det, hadde, ikke, vært, noen, lett, stund, for, ham, mens, han, hadde, sett, på, det, døde, barnet, ., Han, hadde, kjent, det, so, rart, i, hjertet, og, hadde, vært, glad, for, hun, var, borte, ,, og, at, han, skulle, slippe, å, få, se, henne, mer, ., 
, Men, her, sto, han, og, ble, med, ett, så, underlig, tung, om, hjertet, ., Han, orket, ikke, si, hvor, han, hadde, sett, henne, ,, men, han, syntes, at, han, måtte, se, ., —, Det, var, der, borte, ved, kirkegården, ., 
, —, Nei, ,, sa, han, og, rakte, Tostens, hand, ., 
, en, annen, jente, ,, og, det, gikk, som, et, stort, varmt, lys, opp, for, ham, ,, at, det, var, Eli, Sør, hakken, ., 
, Tosten, hadde, nok, sett, hennes, slanke, skikkelse, fra, kirkes]",CCONJ PRON AUX PART ADV PRON SCONJ PRON AUX VERB CCONJ PRON NOUN CCONJ PRON NOUN PUNCT PRON AUX ADV ADV ADJ CCONJ ADJ PUNCT SCONJ PRON ADJ PART ADP ADP NOUN ADJ PUNCT CCONJ AUX ADJ SCONJ SCONJ PRON ADJ AUX VERB NOUN PUNCT CCONJ VERB PART VERB ADJ ADP DET ADJ PUNCT SPACE PRON AUX VERB ADP PUNCT SPACE CCONJ PRON AUX ADV PRON VERB PUNCT PUNCT PRON AUX PART AUX DET ADJ NOUN ADP PRON SCONJ PRON AUX VERB ADP DET ADJ NOUN PUNCT PRON AUX VERB PRON X ADJ ADP NOUN CCONJ AUX AUX ADJ SCONJ PRON AUX ADP PUNCT CCONJ SCONJ PRON AUX VERB PART AUX VERB PRON ADJ PUNCT SPACE CCONJ ADV VERB PRON CCONJ VERB ADP NUM ADV ADJ ADJ ADP NOUN PUNCT PRON VERB PART VERB ADV PRON AUX VERB PRON PUNCT CCONJ PRON VERB SCONJ PRON AUX VERB PUNCT PUNCT PRON AUX ADV ADP ADP NOUN PUNCT SPACE PUNCT INTJ PUNCT VERB PRON CCONJ VERB PROPN X PUNCT SPACE DET DET NOUN PUNCT CCONJ PRON VERB SCONJ DET ADJ ADJ NOUN ADP ADP PRON PUNCT SCONJ PRON AUX PROPN PROPN NOUN PUNCT SPACE NOUN AUX ADV VERB PRON ADJ NOUN ADP NOUN,0.04215456674473068,0.3716770186335406,201,854,0.6467661691542289,0.3639221912828098
"[Det, var, ein, del, uklarheitar, omkring, den, såkal, la, «, kvikk-musikk-mixen, », på, Bryne, i, helga, ,, opplyser, lensmannsbetjent, Roald, Omund, sen, til, Jærbladet, ., Musikkan, tennen, som, vart, utsett, for, skadeverk, vart, sett, opp, i, fjor, sommar, ,, og, det, var, mei, ninginga, at, det, skulle, kome, eit, arrangement, no, i, som, mar., 
, ein, del, støy, ,, for, å, seinke, musikken, ., Men, det, såg, ikkje, ut, til, å, vera, noko, hjelp, i., Det, har, nemleg, fleire, gonger, ko, me, melding, frå, folk, som, har, fått, uønska, lyd, frå, plassen, utan, at, noko, er, gjort, ,, og, dette, er, grunnen, til, at, lens, mannsetaten, har, tatt, opp, saka, ., Saka, er, nå, sendt, vidare, ,, men, lens, mannen, ber, dei, som, har, hatt, übodne, gjester, i, om, rådet, i, helga, om, å, ta, kon, takt, med, politiet, for, å, få, ei, avklaring, .]",PRON AUX ADJ NOUN NOUN ADP DET NOUN PROPN PUNCT PROPN PUNCT ADP PROPN ADP NOUN PUNCT VERB NOUN PROPN PROPN ADJ ADP PROPN PUNCT ADJ NOUN PRON ADJ VERB ADP NOUN AUX VERB ADP ADP NOUN NOUN PUNCT CCONJ PRON VERB DET NOUN SCONJ PRON AUX VERB DET NOUN X X ADP PART SPACE X NOUN NOUN PUNCT SCONJ PART VERB NOUN PUNCT CCONJ PRON VERB X ADP SCONJ PART X PRON NOUN PUNCT PRON VERB PROPN PROPN X X X NOUN X NOUN PRON AUX VERB ADJ NOUN NUM NOUN PROPN X X AUX VERB PUNCT CCONJ PRON AUX NOUN SCONJ SCONJ NOUN NOUN AUX VERB ADP NOUN PUNCT NOUN AUX ADV VERB NOUN PUNCT CCONJ NOUN NOUN VERB PRON PRON AUX VERB PROPN NOUN SCONJ ADP NOUN ADP NOUN SCONJ PART VERB NOUN NOUN ADP NOUN SCONJ PART VERB DET NOUN PUNCT,0.05730659025787966,0.3731895223420653,145,698,0.5655172413793104,0.304427542702021
"[Det, var, så, mye, som, skulle, gjøres, –, men, med, en, effektiv, arbeidsuke, kan, du, få, alt, unnagjort, ., De, som, ønsker, å, gå, opp, i, standard, ,, men, har, begrenset, budsjett, bør, velge, en, høykvalitets, modell, ., Men, etter, to, uker, skjønte, jeg, at, dette, var, stedet, jeg, vil, være, ., Med, en, så, liten, mengde, kjøttdeig, som, dette, ,, vil, man, helst, at, kjøttstrukturen, beholdes, i, pølsa, ., Det, som, før, var, et, stort, anlegg, med, flere, ansatte, er, nå, blitt, splittet, opp, i, flere, mindre, bedrifter, i, samme, lokaler, og, det, er, dette, vi, vil, vise, frem, denne, dagen, ., For, å, få, til, dette, er, det, viktig, at, alle, i, menigheten, forstår, at, når, det, er, gudstjeneste, blir, det, en, litt, annen, form, enn, ellers, ,, sier, les, videre, →, I, mange, menigheter, får, ungdomsledere, mye, av, ansvaret, for, trosopplæringen, ,, og, lederne, skal, ikke, bare, lede, og, snakke, ,, de, bruker, i, tillegg, store, deler, av, sin, fritid, på, kirkens, ungdomsarbeid, ., For, øvrig, er, det, ingen, som, er, pågrepet, ,, og, foreløpig, har, politiet, ingen, mist]",PRON VERB ADV ADJ PRON AUX VERB PUNCT CCONJ ADP DET ADJ NOUN AUX PRON VERB PRON ADJ PUNCT PRON PRON VERB PART VERB ADP ADP NOUN PUNCT CCONJ AUX ADJ NOUN AUX VERB DET NOUN NOUN PUNCT CCONJ ADP NUM NOUN VERB PRON SCONJ PRON AUX NOUN PRON AUX VERB PUNCT ADP DET ADV ADJ NOUN NOUN ADP PRON PUNCT VERB PRON ADV SCONJ NOUN VERB ADP NOUN PUNCT PRON PRON ADP AUX DET ADJ NOUN ADP ADJ ADJ AUX ADV AUX VERB ADP ADP ADJ ADJ NOUN ADP DET NOUN CCONJ PRON AUX PRON PRON AUX VERB ADP DET NOUN PUNCT SCONJ PART VERB ADP PRON AUX PRON ADJ SCONJ PRON ADP NOUN VERB SCONJ SCONJ PRON AUX NOUN VERB PRON DET ADJ DET NOUN ADP ADV PUNCT VERB VERB ADJ PUNCT ADP ADJ NOUN VERB NOUN ADJ ADP NOUN ADP NOUN PUNCT CCONJ NOUN AUX PART ADV VERB CCONJ VERB PUNCT PRON VERB ADP NOUN ADJ NOUN ADP PRON NOUN ADP NOUN NOUN PUNCT ADP ADJ VERB PRON PRON PRON AUX VERB PUNCT CCONJ ADJ VERB NOUN DET ADJ,0.035908596300326445,0.3706896551724148,182,919,0.6703296703296703,0.32698122611220604
"[Ja, det, var, en, nydelig, kake, og, en, nydelig, jente, :)), Tenker, det, var, kakefest, ja, :)), 
, Ønsker, deg, en, fortsatt, fin, romjulsklem, fra, meg, :)), 
, Glemte, å, si, at, siden, du, skal, bli, konditor, så, har, du, sikkert, lyst, til, å, bli, baker, også???????Snakker, av, erfaring, :)), 
, Ja, denne, kaken, var, skikkelig, lekker, både, på, smak, og, utseende, !, !, Gratulerer, så, masse, ., Må, være, fantastisk, å, få, lov, til, å, gå, ut, av, skolen, på, denne, måten, :)), 
, Jeg, har, vært, innom, bloggen, din, mange, ganger, ,, men, aldri, lagt, igjen, noen, spor, ., Men, nå, ble, jeg, så, skuffet, ,, i, bloggen, din, sto, det, bare, om, bursdagene, til, ungene, dine, ., Det, var, ingen, innlegg, som, var, interessante, ., Jeg, får, ikke, til, å, legge, meg, til, som, følger, for, jeg, kommer, bare, inn, på, den, private, bloggen, din, ., Håper, du, fortsetter, med, innleggene, dine, ,, og, at, innleggene, i, framtiden, blir, litt, mer, interessante, enn, de, har, vært, fram, til, nå, i, allefall, :), Klem, fra, meg, :), 
, Krekar, er]",INTJ PRON VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT VERB PRON AUX NOUN INTJ PUNCT SPACE VERB PRON DET ADV ADJ NOUN ADP PRON PUNCT SPACE ADV PART VERB SCONJ SCONJ PRON AUX VERB NOUN ADV VERB PRON ADJ NOUN SCONJ PART VERB VERB NOUN ADP NOUN PUNCT SPACE INTJ DET NOUN AUX ADJ VERB CCONJ ADP NOUN CCONJ NOUN PUNCT PUNCT VERB ADV ADJ PUNCT AUX AUX ADJ PART VERB NOUN SCONJ PART VERB ADP ADP NOUN ADP DET NOUN PUNCT SPACE PRON AUX AUX ADP NOUN PRON ADJ NOUN PUNCT CCONJ ADV VERB ADV DET NOUN PUNCT CCONJ ADV AUX PRON ADV ADJ PUNCT ADP NOUN PRON VERB PRON ADV ADP NOUN ADP NOUN PRON PUNCT PRON AUX DET NOUN PRON AUX ADJ PUNCT PRON VERB PART SCONJ PART VERB PRON SCONJ PRON VERB SCONJ PRON VERB ADV ADP ADP DET ADJ NOUN PRON PUNCT VERB PRON VERB ADP NOUN PRON PUNCT CCONJ SCONJ NOUN ADP NOUN VERB ADJ ADJ ADJ SCONJ PRON AUX VERB ADP ADP ADV ADP NOUN PUNCT VERB ADP PRON PUNCT SPACE PROPN AUX,0.04734411085450346,0.37035495716034345,182,866,0.6208791208791209,0.3109247844015906
"[Ja, det, er, mye, som, er, forandret, siden, den, gang, ., Nå, om, dagene, er, det, fotball, som, gjelder, ., Og, fotball, er, som, alt, annet, veldig, moro, og, sosialt, ., Har, fått, med, meg, alle, målene, og, taklingene, ,, har, vært, på, fotballstadion, og, det, har, vært, en, del, av, livet, siden, barnsben, ., Det, er, noe, som, kommer, til, å, være, så, lenge, jeg, lever, ., Det, er, godt, med, en, avkobling, ,, med, det, mener, jeg, at, det, er, godt, å, komme, seg, unna, fra, hverdagen, en, gang, iblant, og, så, er, det, deilig, å, se, at, andre, også, kan, ha, det, moro, med, fotball, ., 
, Nå, får, det, holde, med, fotballprat, fra, meg, ., Så, takk, for, at, du, tok, deg, tid, til, å, lese, det, jeg, hadde, å, si, i, kveld, ., Nå, skal, jeg, gå, og, se, på, litt, fotball, på, tv, !, 
, Posted, In, Blogg, 
, Post, navigation, 
, Hvordan, skape, inntekt, på, nett, ?, 
, Tjene, penger, på, nett, –, Tips, og, triks, for, å, tjene, penger, online, 
, 5, Toppen, blogger, om, blogging, 
, Klikk, her, for, å, avbryte, svar, ., 
, Legg, igjen, en, kommentar, Avbryt, svar, 
, Din, e-postadresse, vil, ikke]",INTJ PRON VERB ADJ PRON AUX VERB ADP DET NOUN PUNCT ADV ADP NOUN AUX PRON NOUN PRON VERB PUNCT CCONJ NOUN AUX ADP DET DET ADJ ADJ CCONJ ADJ PUNCT AUX VERB ADP PRON DET NOUN CCONJ NOUN PUNCT AUX VERB ADP NOUN CCONJ PRON AUX AUX DET NOUN ADP NOUN ADP NOUN PUNCT PRON AUX PRON PRON VERB SCONJ PART AUX ADV ADJ PRON VERB PUNCT PRON AUX ADJ ADP DET NOUN PUNCT ADP PRON VERB PRON SCONJ PRON AUX ADJ PART VERB PRON ADP ADP NOUN DET NOUN ADP CCONJ ADV AUX PRON ADJ PART VERB SCONJ DET ADV AUX VERB PRON ADJ ADP NOUN PUNCT SPACE ADV AUX PRON VERB ADP NOUN ADP PRON PUNCT CCONJ NOUN SCONJ SCONJ PRON VERB PRON NOUN SCONJ PART VERB PRON PRON VERB PART VERB ADP NOUN PUNCT ADV AUX PRON VERB CCONJ VERB ADP ADJ NOUN ADP NOUN PUNCT SPACE PROPN PROPN PROPN SPACE PROPN PROPN SPACE ADV VERB NOUN ADP NOUN PUNCT SPACE ADJ NOUN ADP NOUN PUNCT NOUN CCONJ NOUN SCONJ PART VERB NOUN ADJ SPACE NUM NOUN VERB ADP NOUN SPACE VERB ADV SCONJ PART VERB NOUN PUNCT SPACE VERB ADV DET NOUN PROPN NOUN SPACE PRON NOUN AUX PART,0.050505050505050504,0.36959619952494066,204,891,0.6323529411764706,0.42684209809312174
"[Så, var, det, dags, !, #blogg100, dag, 43, -, Thomas, Almqvist's, Portfolio, 
, Så, var, det, dags, !, #blogg100, dag, 43, 
, by, Thomas, Almqvist, ·, April, 28, ,, 2015, ·, 1, comments, 
, För, ett, par, år, sedan, fick, jag, höra, av, en, god, vän, att, det, var, dags, för, mig, att, skapa, en, egen, hemsida, ., Sagt, och, gjort, ,, jag, började, söka, efter, information, ., Och, hamnade, på, denna, sidan, ., Tack, för, det, ,, en, hemsida, som, är, enkel, och, förklarar, mycket, och, dessutom, är, kostnadsfri, att, använda, ., Fördelen, med, denna, bloggen, är, att, jag, lärt, mig, att, lägga, in, bilder, och, detta, gör, det, nu, mycket, lätt, att, skapa, fina, bilder, till, denna, bloggen, ., Om, det, är, något, du, inte, vill, ha, så, ta, bort, det, enkelt, från, din, blogg, med, ett, knapptryck, så, tar, du, bort, detta, ., 
, Första, steget, till, att, skapa, någonting, på, internet, är, ju, att, sätta, upp, en, server, ,, en, egen, server, som, någon, annan, tillhandahåller, för, dig, att, skriva, dina, webbsidor, ,, men, är, det, värt, det, ?, När, jag]",ADV AUX PRON X PUNCT PROPN NOUN NUM PUNCT PROPN PROPN PROPN SPACE ADV AUX PRON X PUNCT PROPN NOUN NUM SPACE NOUN PROPN PROPN PUNCT PROPN NUM PUNCT NUM PROPN NUM PROPN SPACE VERB NUM NOUN NOUN X PROPN X PROPN ADP DET ADJ NOUN X PRON AUX X X X X X DET DET NOUN PUNCT ADJ X X PUNCT X NOUN X X NOUN PUNCT X PROPN ADP DET X PUNCT PROPN X PRON PUNCT DET NOUN X X X X X X X X X X X X PUNCT NOUN ADP DET NOUN X X X X X X X X NOUN X X X X X X NOUN X X X NOUN X X NOUN PUNCT ADP DET X X PRON X ADJ AUX ADV VERB ADP DET ADJ X PRON NOUN ADP NUM NOUN ADV VERB PRON ADP NOUN PUNCT SPACE X X X X X NOUN ADP PROPN X X X X X DET NOUN PUNCT DET DET NOUN PRON PROPN PROPN PROPN X X X X X NOUN PUNCT CCONJ X PRON ADJ PRON PUNCT INTJ X,0.058486238532110095,0.4125880923450778,185,872,0.33513513513513515,0.08145479889789832
"[Det, var, som, vanlig, mange, som, deltok, på, den, populære, turmarsjen, som, ble, arrangert, av, UL, Forsamlingshuset, ., Men, det, var, dessverre, mye, færre, enn, vanlig, ., For, de, som, møtte, opp, ble, det, en, fin, tur, innover, mot, Vartjøtn, ,, og, også, på, tilbaketuren, var, det, fint, vær, ., Vi, kjørte, innover, grusveg, etter, skogsbil, veg, frem, til, Vartjøtn, ., Underveis, var, det, kaffepause, med, med, brakt, kaffe, og, noe, å, spise, ., Her, var, det, flott, utsikt, ned, til, Storvatnet, ,, Storvatnet, og, Skålvika, på, den, ene, siden, ,, og, mot, Nord-Herøy, og, Alsta, til, den, andre, siden, ., Ved, Vartjøten, gjorde, vi, en, liten, stopp, ,, men, gikk, så, tilbake, til, samme, sted, ved, hovedporten, ., Hele, turen, var, på, 12,5, km, ., Alle, som, deltok, fikk, stemplet, startkortet, i, innkomstku, pongen, ., Fra, hovedporten, ved, Forsamlingshuset, opp, til, Vartjøten, tok, det, ca., 1, 1, /, 2, time, i, vanlig, fart, ,, så, det, var, ikke, noe, problem]",PRON AUX ADP ADJ ADJ PRON VERB ADP DET ADJ NOUN PRON AUX VERB ADP PROPN PROPN PUNCT CCONJ PRON VERB ADV ADJ ADJ ADP ADJ PUNCT ADP PRON PRON VERB ADP VERB PRON DET ADJ NOUN ADP ADP PROPN PUNCT CCONJ ADV ADP NOUN AUX PRON ADJ NOUN PUNCT PRON VERB ADP ADJ ADP NOUN NOUN ADP ADP PROPN PUNCT ADP AUX PRON NOUN ADP ADP VERB NOUN CCONJ PRON PART VERB PUNCT ADV AUX PRON ADJ NOUN ADP ADP PROPN PUNCT PROPN CCONJ PROPN ADP DET NUM NOUN PUNCT CCONJ ADP PROPN CCONJ PROPN ADP DET DET ADV PUNCT ADP NOUN VERB PRON DET ADJ NOUN PUNCT CCONJ VERB ADV ADP ADP DET NOUN ADP NOUN PUNCT ADJ NOUN AUX ADP NUM NOUN PUNCT PRON PRON VERB AUX VERB NOUN ADP NOUN NOUN PUNCT ADP NOUN ADP PROPN ADP ADP PROPN VERB PRON ADV NUM NUM PUNCT NUM NOUN ADP ADJ NOUN PUNCT CCONJ PRON VERB PART DET NOUN,0.0524390243902439,0.40811932555123176,161,820,0.577639751552795,0.25348243623260414
"[Det, er, ikkje, lenger, bare, dei, mest, kjende, og, populære, songar, som, står, programmet, ., Også, meir, ukjende, songar, vert, presenterte, for, publikum, ., På, programmet, fredag, er, m.a, ., «, Skigardsvise, », ,, «, Sussebassen, min, », ,, «, Livet, på, Finnskogane, », og, «, Danse, mot, vår, », frå, filmen, «, Tørres, Snørtevold, », ., På, laurdag, spelar, vi, litt, etterkrigsmusikk, ,, og, søndag, vert, det, ein, jazzavdeling, med, både, moderne, jazz, og, dixieland-musikk, ., 
, «, Viking, », til, Florø, før, vi, legg, turen, sørover, til, Askvoll, ,, Førde, og, Nordfjordeid, ., Så, går, ferda, attende, til, Florø, søndag, kveld, ., 
, Det, bør, vel, nemnast, at, dei, som, steller, med, ungdomstiltaka, i, kommunen, i, samarbeid, med, Folkeakademiet, i, Flora, har, sytt, for, å, få, eit, rikhaldig, program, for, både, born, og, ungdom, under, denne, turneen, i, Sogn, og, Fjordane, ., 
, Festspela, i, Nord-Noreg, ,, seier, kultursjef, Håkon, Kristoffersen, ., Til]",PRON VERB ADV ADJ ADV DET ADJ ADJ CCONJ ADJ NOUN PRON VERB NOUN PUNCT ADV PROPN ADJ PROPN X VERB ADP NOUN PUNCT ADP NOUN NOUN AUX X PUNCT PUNCT PROPN PUNCT PUNCT PUNCT PROPN PRON PUNCT PUNCT PUNCT NOUN ADP PROPN PUNCT CCONJ PUNCT NOUN ADP PRON PUNCT PROPN NOUN PUNCT PROPN PROPN PUNCT PUNCT ADP NOUN VERB PRON ADJ NOUN PUNCT CCONJ NOUN VERB DET ADJ NOUN ADP CCONJ ADJ NOUN CCONJ NOUN PUNCT SPACE PUNCT PROPN PUNCT ADP PROPN SCONJ PRON VERB NOUN ADP ADP PROPN PUNCT PROPN CCONJ PROPN PUNCT ADV VERB NOUN ADJ ADP PROPN NOUN NOUN PUNCT SPACE PRON AUX ADV PROPN SCONJ PRON PRON VERB ADP NOUN ADP NOUN ADP NOUN ADP PROPN ADP PROPN AUX NOUN SCONJ PART VERB DET ADJ NOUN ADP CCONJ PROPN CCONJ NOUN ADP DET NOUN ADP PROPN CCONJ PROPN PUNCT SPACE NOUN ADP PROPN PUNCT NOUN NOUN PROPN PROPN PUNCT ADP,0.056179775280898875,0.4041223404255315,155,801,0.4645161290322581,0.24565915696795942
"[Kor, mange, prosent, av, dei, som, står, i, jobb, om, 10, år, ,, er, fagarbeidarar, ?, Det, vil, Fagforbundet, jobbe, for, !, 
, For, å, få, det, til, må, me, begynne, å, snakke, om, at, fagbrev, er, ein, viktig, del, av, framtidas, kompetanse, ., Med, eit, yrkesfagleg, utdanningsløp, der, teorimengda, er, redusert, ,, der, ein, lærling, får, tett, oppfølging, av, dyktige, fagarbeidarar, heile, vegen, har, me, meir, enn, halvert, fråfallet, i, vidaregåande, skule, ., Det, har, me, oppnådd, i, tett, samarbeid, med, fylkeskommunen, som, arbeidsgjevar, ,, næringslivet, i, den, vidaregåande, skulen, og, ikkje, minst, foreldra, ., 
, På, den, måten, vil, me, sikre, oss, flinke, fagarbeidarar, i, framtida, ., 
, Konsekvensane, av, fråfallet, er, skremmande, ., I, ei, tid, der, det, er, mangel, på, fagfolk, som, ikkje, har, fagbrev, ,, og, alle, i, Norge, har, tilgang, på, utdanning, gjennom, den, vidaregåande, skulen, ,, vil, det, bli, ein, kamp, om, dei, fagutdanna, ., Med, eit, stadig, større, fokus, på, studiepoeng, og, høgare, utdanning, vil, ein, slik, trend, fort, kunne, bli, sn]",ADV ADJ NOUN ADP NOUN PRON VERB ADP NOUN ADP NUM NOUN PUNCT AUX NOUN PUNCT PRON AUX NOUN VERB ADP PUNCT SPACE SCONJ PART VERB PRON ADP AUX X VERB PART VERB SCONJ SCONJ NOUN AUX ADJ ADJ NOUN ADP NOUN NOUN PUNCT ADP PROPN PROPN NOUN SCONJ NOUN AUX VERB PUNCT SCONJ X NOUN VERB ADJ NOUN ADP ADJ NOUN ADJ NOUN VERB X PROPN ADP VERB NOUN ADP ADJ NOUN PUNCT PRON AUX X VERB ADP ADJ NOUN ADP NOUN ADP NOUN PUNCT NOUN ADP DET ADJ NOUN CCONJ ADV ADJ NOUN PUNCT SPACE ADP DET NOUN AUX PRON VERB PRON ADJ NOUN ADP NOUN PUNCT SPACE PROPN ADP NOUN AUX ADJ PUNCT ADP DET NOUN SCONJ PRON AUX NOUN ADP NOUN PRON X VERB NOUN PUNCT CCONJ PRON ADP PROPN VERB NOUN ADP NOUN ADP DET ADJ NOUN PUNCT AUX PRON VERB ADJ NOUN ADP NOUN ADJ PUNCT ADP DET ADJ ADJ NOUN ADP NOUN CCONJ PROPN NOUN AUX X DET NOUN ADJ AUX VERB VERB,0.04299889746416759,0.38780885780885616,170,907,0.5647058823529412,0.2835797767704118
"[Det, er, veldig, hyggelig, at, så, mange, har, ønsket, seg, blogginnlegg, om, det, å, reise, alene, fra, før, ., Dere, kan, i, kveld, som, de, første, lese, et, knippe, gode, tips, skrevet, om, på, denne, bloggen, i, året, som, gikk, :, 
, Jeg, har, i, samarbeid, med, Oslo, City, og, Spies, Rejser, laget, et, innlegg, om, reising, alene, som, dere, kan, lese, her, :, http://www.icaravan.no/blogg/sjekk-ut-blogginnlegget-bli-en-effektiv-reisende-alene-pa-reise, 
, Jeg, ser, at, noen, av, dere, ønsker, å, sette, igang, med, egne, tiltak, for, å, spare, penger, på, reising, alene, –, der, har, jeg, samlet, alle, mine, tips, her, :, http://ingridrichsen.com/2014/nye-bloggposter/, 
, Ønsker, hver, og, en, av, dere, en, riktig, god, kveld, !, 
, Det, er, virkelig, ikke, noe, problem, å, reise, alene, ,, men, det, er, selvfølgelig, godt, å, kunne, slappe, av, som, man, vil, når, man, velger, å, være, borte, en, så, viktig, del, av, livet, !, God, tur, og, nyt, !, :), 
, Tusen, takk, for, at, du, deler, disse, tipsene, med, oss, Ingrid, :)]",PRON AUX ADJ ADJ SCONJ ADV ADJ AUX VERB PRON NOUN ADP PRON PART VERB ADV ADP ADP PUNCT PRON VERB ADP NOUN PRON DET ADJ VERB DET NOUN ADJ NOUN VERB ADP ADP DET NOUN ADP NOUN PRON VERB PUNCT SPACE PRON VERB ADP NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB DET NOUN ADP NOUN ADV PRON PRON AUX VERB ADV PUNCT NOUN SPACE PRON VERB SCONJ DET ADP PRON VERB PART VERB ADV ADP DET NOUN SCONJ PART VERB NOUN ADP NOUN ADV PUNCT ADV AUX PRON VERB DET PRON NOUN ADV PUNCT NOUN SPACE VERB DET CCONJ DET ADP PRON DET ADJ ADJ NOUN PUNCT SPACE PRON VERB ADJ PART DET NOUN PART VERB ADV PUNCT CCONJ PRON AUX ADJ ADJ PART AUX VERB ADP PRON PRON VERB SCONJ PRON VERB PART AUX ADP DET ADV ADJ NOUN ADP NOUN PUNCT ADJ NOUN CCONJ VERB PUNCT PUNCT SPACE NUM NOUN SCONJ SCONJ PRON VERB DET NOUN ADP PRON PROPN PUNCT,0.057803468208092484,0.38487745098039194,164,865,0.5975609756097561,0.3263439651949807
