tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, de, to, som, var, fornøyde, etter, den, flotte, og, meget, spennende, finalen, ., 
, TRENER, FOR, PUBLIKUM, :, Trener, Per, Eirik, Heimdal, fulgte, finalen, fra, tribunen, i, Stangehal, len, lørdag, da, UPs, jentelag, gikk, helt, til, finale, ., Begge, foto, :, 
, KJEMPET, :, UP-jentene, kjempet, godt, og, var, nær, ved, å, ta, gullet, ., Bak, fra, venstre, :, Silje, Nordhøy, ,, Tonje, Lund, ,, Ingrid, Solberg, ,, Trine, Vågan, ,, Kristine, Almås, ,, Line, Danielsen, ,, Stine, Mari, Johansen, ,, Cecilie, Bendiksen, ,, Lise, Mari, Aagesen, ,, Stine, Mari, Karlsen, ,, Kristin, Aagesen, og, trener, Per, Eirik, Heimdal, ., Foran, fra, venstre, :, Hanne, Skogvoll, ,, Linn-Merethe, Lundskog, og, Marit, Langås, ., Foto, :, Ingvild, T., Eilertsen, ., ;, ', ;, ', -;i, .., ,, ., ', .., ', :, ;, ;]",CCONJ PRON AUX PART ADV DET NUM PRON AUX ADJ ADP DET ADJ CCONJ ADV ADJ NOUN PUNCT SPACE NOUN NOUN PROPN PUNCT NOUN PROPN PROPN PROPN VERB NOUN ADP NOUN ADP PROPN DET NOUN SCONJ PROPN NOUN VERB ADJ ADP NOUN PUNCT DET NOUN PUNCT SPACE NOUN PUNCT NOUN VERB ADJ CCONJ AUX ADJ SCONJ PART VERB NOUN PUNCT ADP ADP NOUN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN CCONJ NOUN PROPN PROPN PROPN PUNCT ADP ADP NOUN PUNCT PROPN PROPN PUNCT PROPN PROPN CCONJ PROPN PROPN PUNCT NOUN PUNCT PROPN PROPN PROPN PUNCT PUNCT PUNCT PUNCT PUNCT X PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT PUNCT,0.08166409861325115,0.4361333333333326,138,649,0.2753623188405797,0.06294826359437924
"[Det, var, ein, gong, ein, konge, som, hadde, høyrt, tale, om, eit, skip, som, gjekk, like, godt, til, lands, som, til, vanns, ,, og, med, det, same, var, han, ikkje, sein, om, å, sende, bod, både, i, aust, og, vest, og, nord, og, sør, og, be, dei, om, å, byggja, eit, slikt, skip, til, han, ., Men, det, var, ikkje, nokon, i, heile, landet, som, kunne, eller, ville, byggja, det, ,, for, det, var, så, vanskeleg, eit, spørsmål, ., Då, no, kongen, ville, vita, om, det, var, råd, å, få, eit, slikt, skip, ,, sa, dei, det, alle, i, hop, ,, meisterskreddaren, ,, smeden, ,, møllaren, ,, og, alle, som, ein, ,, at, dette, var, umogleg, ., 
, Ja, ,, det, ville, han, meir, enn, gjerne, ,, sa, han, ,, og, med, di, han, alltid, hadde, hatt, slik, ein, hug, til, å, fara, så, vidt, omkring, i, verda, og, sjå, seg, om, ,, så, tok, han, kongsdottera, med, glede, og, takk, ., 
, Og, så, for, dei, no, med, skipet, så, lenge, dei, ville, ., Og, kvar, dei, enn, kom, ,, så, spurde, monsieur, Smeds, og, dei, andre, kva, dei, he]",PRON AUX X X X NOUN PRON VERB ADJ NOUN ADP DET NOUN PRON VERB ADV ADJ ADP NOUN PRON ADP NOUN PUNCT CCONJ ADP DET X AUX PRON X X SCONJ PART VERB NOUN CCONJ ADP PROPN CCONJ ADP CCONJ ADP CCONJ ADP CCONJ VERB PROPN SCONJ PART X X DET NOUN ADP PRON PUNCT CCONJ PRON VERB X X ADP ADJ NOUN PRON VERB CCONJ AUX PROPN PRON PUNCT CCONJ PRON AUX ADV PROPN X NOUN PUNCT X X PROPN X PROPN SCONJ PRON VERB NOUN PART VERB DET DET NOUN PUNCT VERB NOUN DET PRON ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN PUNCT CCONJ PRON ADP X PUNCT SCONJ PRON AUX NOUN PUNCT SPACE INTJ PUNCT PRON VERB PRON ADJ ADP ADV PUNCT VERB PRON PUNCT CCONJ ADP PRON PRON ADV AUX VERB ADV X X SCONJ PART PROPN ADV ADJ ADP ADP PROPN CCONJ VERB PRON ADP PUNCT ADV VERB PRON NOUN ADP NOUN CCONJ NOUN PUNCT SPACE CCONJ VERB ADP X X ADP NOUN ADV ADJ PRON VERB PUNCT CCONJ X X ADP VERB PUNCT ADV VERB NOUN PROPN CCONJ NOUN ADJ X X X,0.03975155279503106,0.36542328042328087,191,805,0.6858638743455497,0.2611941710759897
"[Det, var, så, vidt, jeg, klarte, å, holde, maska, ,, men, jeg, tenkte, at, nå, må, jeg, ikke, virke, altfor, interessert, i, den, mannen, ., 
, I, en, fersk, undersøkelse, gjennomført, av, Ipsos, på, vegne, av, DNB, svarer, 1, av, 2, at, de, ønsker, seg, mer, informasjon, om, sparing, i, gave, av, venner, og, familie, ., 
, De, mest, populære, gavene, å, gi, og, få, ,, er, opplevelser, og, reiser, med, familie, eller, en, god, venn, ., 
, Vi, hadde, vært, på, mange, morsomme, turer, sammen, opp, gjennom, årene, ,, og, jeg, hadde, i, lang, tid, ønsket, meg, mer, fritid, med, min, venn, ., 
, –, Her, kommer, jeg, innom, med, en, gave, ., 
, –, Nei, det, her, er, en, tur, jeg, tenkte, at, du, og, jeg, må, ta, i, august, ., 
, –, Nei, ., Jeg, kan, ikke, nå, i, august, ., Da, har, jeg, planlagt, et, grimmt, langt, motbakkeløp, ,, og, jeg, skal, ikke, gjøre, noe, som, kan, redusere, kapasiteten, min, i, det, løpet, ., 
, –, Jeg, tenkte, vi, skulle, til, Sør-Europa, for, å, finne, et, sted, hvor, alle, de, vi, har, blitt, kjent, med, på, Instagram, vil, elske, ., Alt, er, booket, bortsett, fra, flyet, ., 
, –, Hvordan, tror, du, det, her]",PRON AUX ADV ADJ PRON VERB PART VERB NOUN PUNCT CCONJ PRON VERB SCONJ ADV AUX PRON PART VERB ADV ADJ ADP DET NOUN PUNCT SPACE ADP DET ADJ NOUN VERB ADP PROPN ADP NOUN ADP PROPN VERB NUM ADP NUM SCONJ PRON VERB PRON ADJ NOUN ADP NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SPACE DET ADJ ADJ NOUN PART VERB CCONJ ADJ PUNCT AUX NOUN CCONJ VERB ADP NOUN CCONJ DET ADJ NOUN PUNCT SPACE PRON AUX AUX ADP ADJ ADJ NOUN ADV ADP ADP NOUN PUNCT CCONJ PRON VERB ADP ADJ NOUN VERB PRON ADJ NOUN ADP PRON NOUN PUNCT SPACE PUNCT ADV VERB PRON ADP ADP DET NOUN PUNCT SPACE PUNCT INTJ PRON ADV AUX DET NOUN PRON VERB SCONJ PRON CCONJ PRON AUX VERB ADP NOUN PUNCT SPACE PUNCT INTJ PUNCT PRON AUX PART ADV ADP NOUN PUNCT ADV AUX PRON VERB DET NOUN ADJ NOUN PUNCT CCONJ PRON AUX PART VERB PRON PRON AUX VERB NOUN PRON ADP DET NOUN PUNCT SPACE PUNCT PRON VERB PRON VERB ADP PROPN SCONJ PART VERB DET NOUN ADV DET PRON PRON AUX AUX VERB ADP ADP PROPN AUX VERB PUNCT PRON AUX VERB ADJ ADP NOUN PUNCT SPACE PUNCT ADV VERB PRON PRON ADV,0.046153846153846156,0.3819279907084794,208,910,0.6346153846153846,0.18464369622513122
"[Ja, det, var, et, stort, øyeblikk, da, vi, fikk, innta, det, aller, helligste, ., På, bildet, kan, vi, se, «, katedralen, », i, bakgrunnen, ., Vi, fikk, være, der, i, fire, år, ., Vi, brukte, det, til, undervisning, av, konfirmanter, ,, til, skolegudstjenester, og, til, julekonsert, ,, men, også, til, vielse, ., Det, er, ikke, like, praktisk, for, vielse, over, alteret, ., Etter, hvert, kom, det, jo, andre, regler, ., Vi, fikk, ikke, lenger, lov, til, å, ha, gudstjenester, der, inne, ., Vi, fortsatte, da, med, julekonserten, til, vi, fikk, til, et, samarbeid, med, Lanke, musikkforening, med, nyttårskonsert, i, kapellet, ., 
, Johan, Skulbørstad, var, jo, primus, motor, i, musikken, der, i, mange, år, og, som, vi, hadde, et, utrolig, godt, samarbeid, med, ., I, dag, har, vi, også, gode, musikalske, krefter, som, støtter, opp, om, kirken, vår, ., Med, gode, musikalske, støttespillere, er, det, inspirerende, å, planlegge, og, gjennomføre, våre, egne, gudstjenester, ,, der, vi, kan, bruke, både, orgel, og, andre, instrumenter, på, en, verdig, måte, ., Vi, har, også, veldig, god, hjelp, av, våre, tekstlesere, og, di]",INTJ PRON AUX DET ADJ NOUN SCONJ PRON AUX VERB DET ADV ADJ PUNCT ADP NOUN AUX PRON VERB PUNCT NOUN PUNCT ADP NOUN PUNCT PRON AUX AUX ADV ADP NUM NOUN PUNCT PRON VERB PRON ADP NOUN ADP NOUN PUNCT ADP NOUN CCONJ ADP NOUN PUNCT CCONJ ADV ADP NOUN PUNCT PRON AUX PART ADV ADJ ADP NOUN ADP NOUN PUNCT ADP DET VERB PRON ADV DET NOUN PUNCT PRON VERB PART ADJ NOUN SCONJ PART VERB NOUN ADV ADP PUNCT PRON VERB ADV ADP NOUN SCONJ PRON VERB ADP DET NOUN ADP PROPN NOUN ADP NOUN ADP NOUN PUNCT SPACE PROPN PROPN AUX ADV ADJ NOUN ADP NOUN ADV ADP ADJ NOUN CCONJ PRON PRON VERB DET ADJ ADJ NOUN ADP PUNCT ADP NOUN VERB PRON ADV ADJ ADJ NOUN PRON VERB ADP ADP NOUN PRON PUNCT ADP ADJ ADJ NOUN AUX PRON ADJ PART VERB CCONJ VERB PRON DET NOUN PUNCT SCONJ PRON AUX VERB CCONJ NOUN CCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB ADV ADJ ADJ NOUN ADP PRON NOUN CCONJ PRON,0.04184549356223176,0.37802944507361314,179,932,0.6256983240223464,0.18469349672980548
"[Ja, det, er, et, spørgsmål, ,, der, har, optaget, de, fleste, her, i, vinter, ., Med, en, stor, stigning, af, hunde, i, Danmark, ,, er, det, vigtigt, at, forstå, hundenes, adfærd, ., 
, Din, hunds, adfærd, kan, være, med, til, at, fortælle, dig, ,, om, den, er, glad, ,, om, den, er, træt, ,, om, den, har, smerter, ,, har, stress, ,, er, deprimeret, eller, bare, er, køresyg, ., Du, kan, selv, gøre, noget, for, din, hunds, adfærd, og, hjælpe, den, ,, hvis, den, har, det, skidt, ,, eller, du, kan, spørge, din, dyrlæge, om, hjælp, ., Du, kan, forebygge, visse, problemer, ved, at, ændre, din, hunds, vaner, og, opdragelse, ,, men, du, kan, også, selv, forsøge, med, nogle, enkle, tiltag, for, at, forbedre, din, hunds, helbred, og, velbefindende, ., 
, En, hunds, adfærd, er, påvirket, af, mange, faktorer, ., Det, vigtigste, at, huske, på, ,, når, din, hund, skal, have, det, godt, ,, er, at, forstå, deres, individuelle, adfærdsbehov, og, tilpasse, dem, til, netop, den, hund, ., Den, hundeerfaring, ,, du, allerede, har, ,, er, meget, værdifuld, ., 
, Vejret, er]",INTJ PRON AUX DET NOUN PUNCT ADV AUX NOUN DET ADJ ADV ADP NOUN PUNCT ADP DET ADJ NOUN ADJ NOUN ADP PROPN PUNCT AUX PRON ADJ SCONJ VERB NOUN NOUN PUNCT SPACE PRON NOUN NOUN AUX AUX ADP SCONJ SCONJ CCONJ ADV PUNCT SCONJ PRON AUX ADJ PUNCT SCONJ PRON AUX ADV PUNCT SCONJ PRON VERB NOUN PUNCT VERB NOUN PUNCT AUX NOUN CCONJ ADV AUX NOUN PUNCT PRON AUX ADV VERB PROPN ADP PRON NOUN NOUN CCONJ NOUN PRON PUNCT SCONJ PRON VERB PRON ADJ PUNCT CCONJ PRON AUX VERB PRON NOUN ADP NOUN PUNCT PRON AUX VERB ADJ NOUN SCONJ SCONJ PROPN PRON NOUN NOUN CCONJ NOUN PUNCT CCONJ PRON AUX ADV ADV NOUN ADP PROPN ADJ NOUN SCONJ SCONJ VERB PRON NOUN NOUN CCONJ ADJ PUNCT SPACE DET NOUN NOUN AUX ADJ ADV ADJ NOUN PUNCT DET ADJ SCONJ VERB ADP PUNCT SCONJ PRON NOUN AUX ADV PRON ADJ PUNCT AUX SCONJ VERB PRON ADJ NOUN CCONJ VERB PRON ADP PROPN DET NOUN PUNCT DET NOUN PUNCT PRON ADV VERB PUNCT AUX ADV ADJ PUNCT SPACE PROPN AUX,0.038461538461538464,0.3869221260815813,182,858,0.5164835164835165,0.13590694308923554
"[Så, var, det, dags, att, sätta, ner, foten, ..., -, Jennie, Forsén, 
, Så, var, det, dags, att, sätta, ner, foten, ..., 
, Precis, sådär, som, du, såg, ut, ., Precis, sådär, som, jag, ville, att, du, skulle, vara, ., I, mitt, huvud, ,, alltså, ., Precis, samma, färg, ,, precis, samma, ansiktsdrag, ,, precis, samma, nyfikenhet, på, världen, och, precis, samma, personlighet, och, karisma, ., Du, är, min, stora, förebild, ,, du, är, den, som, alltid, gett, mig, så, mycket, stryk, att, jag, ibland, inte, känner, mig, helt, 100, under, din, uppsikt, ., All, respekt, i, världen, ,, älskade, ,, älskade, mamma, ., 
, Du, har, en, sån, enorm, kämparglöd, ., Att, du, orkar, ., Om, du, bara, visste, hur, mycket, det, inspirerar, mig, ., Att, kämpa, mot, cancern, i, nästan, hela, mitt, liv, ,, att, kämpa, för, att, finnas, i, mitt, liv, och, finnas, där, under, min, barndom, ., Att, du, orkar, ., Tänk, ,, att, du, orkade, ., Du, har, aldrig, gnällt, ,, aldrig, sagt, ett, ord, att, det, varit, jobbigt, ,, jobbigt, ,, jobb]",ADV AUX PRON X X X PROPN NOUN PUNCT PUNCT PROPN PROPN SPACE ADV AUX PRON X X X PROPN NOUN PUNCT SPACE PROPN PROPN PRON PRON VERB ADP PUNCT PROPN PROPN ADP X X X PRON AUX NOUN PUNCT ADP PRON NOUN PUNCT ADV PUNCT X NOUN NOUN PUNCT X X NOUN PUNCT X X NOUN ADP NOUN X X X X X X PUNCT PRON X PRON NOUN PROPN PUNCT PRON X PRON PRON ADV X X ADV ADJ X X X X X NOUN X ADJ NUM ADP PRON NOUN PUNCT DET NOUN ADP NOUN PUNCT NOUN PUNCT VERB NOUN PUNCT SPACE PRON VERB DET ADJ ADJ NOUN PUNCT VERB PRON ADV PUNCT SCONJ PRON X VERB X X X X X PUNCT X X X PROPN ADP X PROPN PRON NOUN PUNCT X X X X X ADP PRON NOUN X X X ADP PRON NOUN PUNCT X PRON ADV PUNCT NOUN PUNCT X PRON NOUN PUNCT PRON VERB NOUN ADJ PUNCT ADJ VERB NUM NOUN X X PROPN NOUN PUNCT NOUN PUNCT NOUN,0.051470588235294115,0.4006258148631024,178,816,0.33707865168539325,0.08115832654446777
"[Det, var, som, sagt, en, meget, god, kamp, i, 2., divisjon, ,, der, hjemmelaget, ledet, 13-10, ved, pause, ., Det, var, også, fullt, fortjent, at, gjestene, fra, Sandefjord, fikk, med, seg, seier, nummer, ti, ,, og, den, sjette, på, rad, ., 
, –, Vi, spiller, en, veldig, god, match, ,, i, en, kamp, det, er, veldig, deilig, at, også, vi, presterer, ., Vi, var, litt, misfornøyd, med, oss, selv, etter, tapet, mot, Charlottenlund, ,, men, leverte, en, sterk, forestilling, ,, smiler, SHs, toppscorer, Anders, Jansrud, ., 
, –, Hvordan, føles, formen, etter, en, tung, start, på, sesongen, ?, 
, –, Selv, føler, jeg, den, har, vært, bra, ., Jeg, synes, jeg, er, i, den, formen, som, jeg, ønsker, å, være, ., Og, laget, er, der, vi, vil, ., Vi, er, i, angrepsposisjon, ,, føler, vi, ,, sier, en, fornøyd, 22-åring, ., 
, Som, også, er, fornøyd, med, sin, egen, sesongstart, ., 
, LES, OGSÅ, :, Da, de, kom, på, jobb, mandag, fikk, de, beskjeden, de, fryktet, :, 
, –, Vi, startet, i, motvind, ,, og, har, måttet, slåss, hele, veien, ,, sier, Jansrud, ., 
, –, Men, nå, har, dere, kommet, skikkelig, inn, i, kampen, om, opprykk, ?, 
, –, Jod]",PRON AUX SCONJ VERB DET ADV ADJ NOUN ADP ADJ NOUN PUNCT SCONJ NOUN VERB NUM ADP NOUN PUNCT PRON AUX ADV ADJ ADJ SCONJ NOUN ADP PROPN VERB ADP PRON NOUN NOUN NUM PUNCT CCONJ DET ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB DET ADJ ADJ NOUN PUNCT ADP DET NOUN PRON AUX ADJ ADJ SCONJ ADV PRON VERB PUNCT PRON AUX ADJ ADJ ADP PRON DET ADP NOUN ADP PROPN PUNCT CCONJ VERB DET ADJ NOUN PUNCT VERB PROPN NOUN PROPN PROPN PUNCT SPACE PUNCT ADV VERB NOUN ADP DET ADJ NOUN ADP NOUN PUNCT SPACE PUNCT ADV VERB PRON PRON AUX AUX ADJ PUNCT PRON VERB PRON AUX ADP DET NOUN PRON PRON VERB PART VERB PUNCT CCONJ NOUN AUX ADV PRON VERB PUNCT PRON VERB ADP NOUN PUNCT VERB PRON PUNCT VERB DET ADJ NOUN PUNCT SPACE ADP ADV AUX ADJ ADP PRON DET NOUN PUNCT SPACE VERB PROPN PUNCT SCONJ PRON VERB ADP NOUN NOUN VERB PRON NOUN PRON VERB PUNCT SPACE PUNCT PRON VERB ADP NOUN PUNCT CCONJ AUX AUX VERB ADJ NOUN PUNCT VERB PROPN PUNCT SPACE PUNCT CCONJ ADV AUX PRON VERB ADJ ADP ADP NOUN ADP NOUN PUNCT SPACE PUNCT NOUN,0.05561735261401557,0.41176470588235164,201,899,0.5223880597014925,0.19851862922490288
"[Det, er, ikkje, tvil, om, at, det, blir, mykje, arbeid, framover, for, å, få, alt, på, plass, ,, men, no, jobbar, gruppa, iherdig, for, å, samle, trådane, og, komme, i, gang, ., Første, mål, no, blir, å, samle, inn, og, behandle, materiale, gruppa, får, frå, alle, dei, som, vil, vere, med, på, prosjektet, ., 
, -, Korleis, kjem, de, i, kontakt, med, folk, ?, 
, -, Vi, kjem, til, å, henge, opp, ein, del, plakatar, rundt, om, kring, ., Her, kjem, vi, til, å, invitere, folk, til, å, sende, inn, bilete, ,, brev, og, andre, historiske, kjelder, der, dei, kan, finne, historikk, og, informasjon, om, gardane, sine, ., For, oss, er, det, svært, viktig, at, det, vi, tek, med, ikkje, berre, er, historie, ,, men, at, kvar, enkelt, gard, også, må, kome, med, sine, meiningar, ,, og, sine, historier, ., Dette, fører, ofte, med, seg, ei, heil, rekkje, historier, ,, og, kvar, og, ein, har, gjerne, sine, eigne, ., Vi, håper, å, få, så, mykje, lokalt, stoff, som, mogleg, ,, og, helst, litt, bilete, også, ., Til, dømes, kan, brev, frå, både, fortid, og, notid, fortelje, litt, om, historia, ein, gong, var, ,, og, ikkje, minst, om, kor]",PRON VERB X NOUN SCONJ SCONJ PRON VERB ADJ NOUN ADP SCONJ PART VERB PRON ADP NOUN PUNCT CCONJ X PROPN NOUN ADJ SCONJ PART VERB NOUN CCONJ VERB ADP NOUN PUNCT ADJ NOUN X X PART VERB ADP CCONJ VERB NOUN NOUN VERB ADP DET NOUN PRON AUX VERB ADP ADP NOUN PUNCT SPACE PUNCT ADV VERB PRON ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB SCONJ PART VERB ADP ADJ NOUN NOUN ADP ADP NOUN PUNCT ADV VERB PRON SCONJ PART VERB NOUN SCONJ PART VERB ADP PROPN PUNCT NOUN CCONJ DET ADJ VERB SCONJ NOUN AUX VERB NOUN CCONJ NOUN ADP NOUN PRON PUNCT ADP PRON AUX PRON ADJ ADJ SCONJ PRON PRON X ADP X X AUX NOUN PUNCT CCONJ SCONJ NOUN ADJ NOUN ADV AUX VERB ADP PRON NOUN PUNCT CCONJ PRON NOUN PUNCT PRON VERB ADJ ADP PRON DET PRON NOUN NOUN PUNCT CCONJ X CCONJ X VERB ADV PRON PROPN PUNCT PRON VERB PART VERB ADV ADJ ADJ NOUN ADP PROPN PUNCT CCONJ ADV ADJ NOUN ADV PUNCT ADP NOUN AUX NOUN PROPN CCONJ NOUN CCONJ NOUN ADV ADJ ADP PROPN X X AUX PUNCT CCONJ ADV ADJ ADP ADV,0.03934426229508197,0.36581986143187256,198,915,0.6818181818181818,0.2811531461248138
"[Kor, mange, prosent, gjekk, prisen, på, poteter, og, grønsaker, opp, med, frå, 15., september, i, år, ,, dersom, indeksen, på, forbruksvarer, går, opp, til, 176, %, av, forbruket, i, 1959, ?, (, Begge, tala, pr., 15., februar, 1962., ), Grunngi, svaret, ., (, At, levekostnaden, vart, 100, poeng, ved, indeksen, 113,3, ,, vil, seie, at, dersom, indeksen, står, på, eit, visst, tal, ,, så, må, ein, betale, 100, kroner, meir, enn, året, før, ., ), Svar, :, Stiginga, var, 10,6, poeng, ., Prisen, gjekk, såleis, opp, med, 10,6, poeng, ., Heile, auken, vart, 10,6, %, ., Oppgåve, 3., 
, Ein, mann, kjøper, ein, eigedom, for, 12, 000, kroner, ., Av, lånet, må, han, betale, 5,5, %, i, renter, ., Resten, av, kjøpesummen, betaler, han, inn, på, ein, sparekonto, ., Han, får, 4, %, p., a., i, rente, av, desse, pengane, ., Kor, lenge, vil, det, gå, før, eigedomen, er, betalt, heilt, ut, med, renter, og, renters, rente, ?, Grunngi, svaret, ., (, Sjå, bort, frå, skatt, ., ), 
, Heimen, hans, hadde, assurert, for]",ADV ADJ NOUN VERB NOUN ADP NOUN CCONJ NOUN ADP ADP PROPN ADJ NOUN ADP NOUN PUNCT SCONJ NOUN ADP NOUN VERB ADP ADP NUM NOUN ADP NOUN ADP NUM PUNCT PUNCT X PROPN ADP ADJ NOUN NOUN PUNCT PROPN NOUN PUNCT PUNCT SCONJ NOUN VERB NUM NOUN ADP NOUN NUM PUNCT AUX VERB SCONJ SCONJ NOUN VERB ADP DET ADJ X PUNCT ADV AUX X VERB NUM NOUN ADJ ADP NOUN ADP PUNCT PUNCT NOUN PUNCT NOUN VERB NUM NOUN PUNCT NOUN VERB NOUN ADP ADP NUM NOUN PUNCT ADJ NOUN VERB NUM NOUN PUNCT PROPN NUM SPACE ADJ NOUN VERB X X ADP NUM NUM NOUN PUNCT ADP NOUN AUX PRON VERB NUM NOUN ADP NOUN PUNCT NOUN ADP NOUN VERB PRON ADP ADP X NOUN PUNCT PRON VERB NUM NOUN PUNCT PUNCT ADP NOUN ADP X PROPN PUNCT ADV ADJ AUX PRON VERB SCONJ NOUN AUX VERB ADJ ADP ADP NOUN CCONJ NOUN NOUN PUNCT PROPN NOUN PUNCT PUNCT VERB ADP PROPN NOUN PUNCT PUNCT SPACE PROPN PRON AUX VERB ADP,0.061957868649318466,0.4277308707123995,174,807,0.4540229885057471,0.08586591708181789
"[Det, er, veldig, populært, og, enkelt, å, bruke, ethernet, kalendere, ,, som, er, laget, av, metall, eller, papp, ., De, kommer, i, forskjellige, størrelser, og, er, veldig, dekorative, ., Du, legger, et, fargebånd, gjennom, det, og, du, kan, skrive, informasjon, og, datoer, ,, og, det, er, et, veldig, fint, alternativ, til, en, klassisk, kalender, ., Men, hva, er, forskjellen, mellom, en, klassisk, kalender, og, en, bordskalender, ?, 
, Først, og, fremst, kan, du, finne, mye, mer, av, bordskalenderen, på, grunn, av, sin, praktiske, ,, lave, kostnader, og, holdbarhet, ., 
, For, det, andre, har, bordsbordskalendere, i, mange, størrelser, ,, og, det, kan, være, lurt, å, få, en, i, ditt, eget, hjem, og, ikke, bare, i, bedriften, ., 
, En, annen, fordel, er, bordskalenderens, design, ., Det, kan, være, laget, av, forskjellige, materialer, og, har, ulike, farger, og, mønstre, ., Den, kan, også, brukes, til, å, lage, ditt, eget, kalenderpapir, ,, som, kan, gjøres, med, en, datamaskin, eller, med, hånden, .]",PRON AUX ADJ ADJ CCONJ ADJ PART VERB NOUN NOUN PUNCT PRON AUX VERB ADP NOUN CCONJ NOUN PUNCT PRON VERB ADP ADJ NOUN CCONJ AUX ADJ ADJ PUNCT PRON VERB DET NOUN ADP PRON CCONJ PRON AUX VERB NOUN CCONJ NOUN PUNCT CCONJ PRON AUX DET ADJ ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON AUX NOUN ADP DET ADJ NOUN CCONJ DET NOUN PUNCT SPACE ADV CCONJ ADJ AUX PRON VERB ADJ ADJ ADP NOUN ADP NOUN ADP PRON ADJ PUNCT ADJ NOUN CCONJ NOUN PUNCT SPACE ADP DET DET AUX NOUN ADP ADJ NOUN PUNCT CCONJ PRON AUX AUX VERB PART VERB PRON ADP PRON DET NOUN CCONJ PART ADV ADP NOUN PUNCT SPACE DET DET NOUN AUX NOUN NOUN PUNCT PRON AUX AUX VERB ADP ADJ NOUN CCONJ VERB ADJ NOUN CCONJ NOUN PUNCT PRON AUX ADV VERB SCONJ PART VERB PRON DET NOUN PUNCT PRON AUX VERB ADP DET NOUN CCONJ ADP NOUN PUNCT,0.03937947494033413,0.3682382762991133,160,838,0.64375,0.24548429704769584
