tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, var, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 1870, -årene, var, det, en, stor, interesse, for, å, seige, norske, varer, i, utlandet, ., I, 18]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON VERB DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM NOUN AUX PRON DET ADJ NOUN SCONJ PART VERB ADJ NOUN ADP NOUN PUNCT ADP NUM,0.03103448275862069,0.3896467722289888,183,870,0.5792349726775956,0.1919816375282073
"[Det, var, ein, gong, ein, mann, som, hadde, tre, søner, ., Han, var, svært, glad, i, dei, og, stelte, godt, med, dei, ., Ein, dag, sa, han, til, dei, :, «, No, skal, de, ut, i, verda, og, freiste, lykka, ., De, får, ta, med, dykk, så, mykje, pengar, de, kan, få, tak, i, ,, og, gå, til, ein, gullsmed, og, få, han, til, å, lage, ei, krone, til, kvar, av, dykk, ., Når, de, kjem, heim, att, ,, skal, de, be, mor, om, å, få, låne, ein, hest, og, ei, ku, ,, så, de, kan, få, kjøpt, dykk, noko, å, ete, og, drikke, ., Når, de, har, ete, og, drukke, ,, skal, de, be, om, å, få, låne, ein, gris, og, ei, geit, ,, så, de, kan, få, kjøpt, dykk, noko, å, ete, og, drikke, ., Når, de, har, ete, og, drukke, ,, skal, de, be, om, å, få, låne, ein, sau, og, ei, ku, ,, så, de, kan, få, kjøpt, dykk, noko, å, ete, og, drikke, ., Når, de, har, ete, og, drukke, ,, skal, de, be, om, å, få, låne, ein, hane, og, ei, hø]",PRON AUX X X X NOUN PRON VERB NUM NOUN PUNCT PRON AUX ADJ ADJ ADP PROPN CCONJ VERB ADJ ADP NOUN PUNCT X NOUN VERB PRON ADP NOUN PUNCT PUNCT PROPN AUX PRON ADP ADP PROPN CCONJ ADJ NOUN PUNCT PRON AUX VERB ADP NOUN ADV X PROPN PRON AUX VERB NOUN ADP PUNCT CCONJ VERB ADP PROPN NOUN CCONJ VERB PRON SCONJ PART VERB DET NOUN ADP NOUN ADP NOUN PUNCT SCONJ PRON VERB X X PUNCT AUX PRON VERB NOUN SCONJ PART AUX VERB X NOUN CCONJ DET NOUN PUNCT CCONJ PRON AUX AUX VERB NOUN X PART VERB CCONJ VERB PUNCT SCONJ PRON AUX VERB CCONJ VERB PUNCT AUX PRON VERB SCONJ PART AUX VERB PROPN NOUN CCONJ DET NOUN PUNCT CCONJ PRON AUX AUX VERB NOUN X PART VERB CCONJ VERB PUNCT SCONJ PRON AUX VERB CCONJ VERB PUNCT AUX PRON VERB SCONJ PART AUX VERB X X CCONJ DET NOUN PUNCT CCONJ PRON AUX AUX VERB NOUN X PART VERB CCONJ VERB PUNCT SCONJ PRON AUX VERB CCONJ VERB PUNCT AUX PRON VERB SCONJ PART AUX VERB X NOUN CCONJ X X,0.047345767575322814,0.3809567901234584,188,697,0.6702127659574468,0.24829838368065393
"[Det, var, så, vidt, båten, bar, for, de, norske, håndballjentene, i, VM-åpningen, mot, Paraguay, ., Etter, en, jevn, førsteomgang, var, det, bare, ett, mål, som, skilte, lagene, ved, pause, ., Etter, hvilen, var, det, klasseforskjell, på, lagene, ., Norge, vant, til, slutt, med, hele, ni, mål, ., 
, –, Det, var, en, veldig, bra, kamp, av, oss, ., Vi, var, gode, i, forsvar, og, hadde, bra, flyt, i, angrepsspillet, ., Vi, fikk, til, det, vi, har, trent, på, i, det, siste, ,, sa, landslagssjef, Thorir, Hergeirsson, til, TV, 2, etter, kampen, ., 
, –, Vi, var, litt, nervøse, i, starten, ,, men, det, gikk, bedre, og, bedre, utover, i, kampen, ., Vi, fikk, til, det, vi, har, trent, på, i, det, siste, ,, og, det, var, veldig, bra, ,, sa, Camilla, Herrem, til, TV, 2, etter, kampen, ., 
, Norge, ledet, med, to, mål, til, pause, ,, men, etter, hvilen, var, det, klasseforskjell, på, lagene, ., Norge, vant, til, slutt, med, ni, mål, ., 
, –, Det, var, en, veldig, bra, kamp, av, oss, ., Vi, var, gode, i, forsvar, og, hadde, bra, flyt, i, angrepsspillet, ., Vi]",PRON AUX ADV ADJ NOUN VERB ADP DET ADJ NOUN ADP NOUN ADP PROPN PUNCT ADP DET ADJ NOUN VERB PRON ADV NUM NOUN PRON VERB NOUN ADP NOUN PUNCT ADP NOUN AUX PRON NOUN ADP NOUN PUNCT PROPN VERB ADP NOUN ADP ADJ NUM NOUN PUNCT SPACE PUNCT PRON AUX DET ADJ ADJ NOUN ADP PRON PUNCT PRON AUX ADJ ADP NOUN CCONJ VERB ADJ NOUN ADP NOUN PUNCT PRON VERB ADP PRON PRON AUX VERB ADP ADP DET ADJ PUNCT VERB NOUN PROPN PROPN ADP PROPN NUM ADP NOUN PUNCT SPACE PUNCT PRON AUX ADJ ADJ ADP NOUN PUNCT CCONJ PRON VERB ADJ CCONJ ADJ ADP ADP NOUN PUNCT PRON VERB ADP PRON PRON AUX VERB ADP ADP DET ADJ PUNCT CCONJ PRON AUX ADJ ADJ PUNCT VERB PROPN PROPN ADP PROPN NUM ADP NOUN PUNCT SPACE PROPN VERB ADP NUM NOUN ADP NOUN PUNCT CCONJ ADP NOUN AUX PRON NOUN ADP NOUN PUNCT PROPN VERB ADP NOUN ADP NUM NOUN PUNCT SPACE PUNCT PRON AUX DET ADJ ADJ NOUN ADP PRON PUNCT PRON AUX ADJ ADP NOUN CCONJ VERB ADJ NOUN ADP NOUN PUNCT PRON,0.045936395759717315,0.40312499999999984,188,849,0.5691489361702128,0.21586096278535583
"[Ja, det, var, en, gang, en, mann, som, hadde, en, sønn, som, var, så, lat, og, doven, at, han, ikke, ville, gjøre, noe, arbeid, ., Han, ville, bare, sitte, i, ro, og, ete, og, drikke, og, aldri, gjøre, noe, som, var, nyttig, for, seg, eller, andre, ., Men, da, han, hadde, spist, og, drukket, og, var, blitt, god, og, mett, ,, ville, han, ut, og, friste, lykken, og, se, om, han, kunne, finne, noe, å, leve, av, ., 
, Da, han, hadde, gått, langt, og, lenger, enn, langt, ,, kom, han, til, en, kongsgård, ;, der, fikk, han, tjeneste, hos, kongen, ,, og, kongsdatteren, var, så, snill, og, god, mot, ham, som, en, mor, ., Da, de, var, voksne, såtte, de, seg, til, bords, ,, og, da, de, hadde, spist, ,, sa, kongsdatteren, til, ham, at, han, fikk, ta, henne, og, halve, riket, ;, for, hun, var, redd, han, skulle, gjøre, henne, noe, vondt, siden, han, hadde, slått, i, hjel, de, to, brødrene, hennes, ., Ja, ,, det, ville, han, gjerne, ,, og, så, tok, han, henne, med, seg, hjem, og, hadde, henne, til, dronning, ,, og, var, glad, og, lystig, støtt, ., 
, Men, så]",INTJ PRON AUX DET NOUN DET NOUN PRON VERB DET NOUN PRON AUX ADV ADJ CCONJ NOUN SCONJ PRON PART AUX VERB DET NOUN PUNCT PRON AUX ADV VERB ADP NOUN CCONJ VERB CCONJ VERB CCONJ ADV VERB PRON PRON AUX ADJ ADP PRON CCONJ DET PUNCT CCONJ SCONJ PRON AUX VERB CCONJ VERB CCONJ AUX VERB ADJ CCONJ ADJ PUNCT VERB PRON ADP CCONJ VERB NOUN CCONJ VERB SCONJ PRON AUX VERB PRON PART VERB ADP PUNCT SPACE SCONJ PRON AUX VERB ADJ CCONJ ADJ ADP ADJ PUNCT VERB PRON ADP DET NOUN PUNCT ADV VERB PRON NOUN ADP PROPN PUNCT CCONJ NOUN AUX ADV ADJ CCONJ ADJ ADP PRON SCONJ DET NOUN PUNCT SCONJ PRON AUX ADJ ADJ PRON PRON ADP NOUN PUNCT CCONJ SCONJ PRON AUX VERB PUNCT VERB NOUN ADP PRON SCONJ PRON AUX VERB PRON CCONJ ADJ NOUN PUNCT CCONJ PRON AUX ADJ PRON AUX VERB PRON DET ADJ SCONJ PRON AUX VERB ADP NOUN DET NUM NOUN PRON PUNCT INTJ PUNCT PRON AUX PRON ADV PUNCT CCONJ ADV VERB PRON PRON ADP PRON ADP CCONJ VERB PRON ADP NOUN PUNCT CCONJ AUX ADJ CCONJ ADJ ADJ PUNCT SPACE CCONJ ADV,0.0378698224852071,0.3561306532663324,196,845,0.7091836734693877,0.22950201499605638
"[Ja, det, er, vel, ikke, så, rart, at, det, er, slik, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å, kjøpe, seg, en, ny, bil, i, dag, ., Det, er, jo, ikke, så, mange, som, har, råd, til, å]",INTJ PRON AUX ADV PART ADV ADJ SCONJ PRON AUX ADV PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART VERB PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADV PART ADV ADJ PRON VERB NOUN SCONJ PART,0.03229974160206718,0.41437241379310175,213,774,0.7981220657276995,0.6336276905252548
"[Så, var, det, tid, for, å, gå, til, bords, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket, på, til, alle, i, storstua, ., Det, var, dekket]",ADV VERB PRON NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ ADP ADP PRON ADP NOUN PUNCT PRON AUX ADJ,0.026582278481012658,0.3412415654520947,184,790,0.6739130434782609,1.0
"[Det, var, som, om, han, hadde, fått, et, slag, i, ansiktet, ., Han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, så, snart, ., Han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, i, det, hele, tatt, ,, og, han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, med, en, slik, nyhet, som, at, hun, hadde, fått, en, sønn, ., Han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, i, det, hele, tatt, ,, og, han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, med, en, slik, nyhet, som, at, hun, hadde, fått, en, sønn, ., Han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, i, det, hele, tatt, ,, og, han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, med, en, slik, nyhet, som, at, hun, hadde, fått, en, sønn, ., Han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, i, det, hele, tatt, ,, og, han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, med, en, slik, nyhet, som, at, hun, hadde, fått, en, sønn, ., Han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, i, det, hele, tatt, ,, og, han, hadde, ikke, ventet, at, hun, skulle, komme, tilbake, med, en, slik, nyhet, som, at, hun, hadde, fått, en, sønn]",PRON AUX ADP SCONJ PRON AUX VERB DET NOUN ADP NOUN PUNCT PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADV ADJ PUNCT PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET ADJ VERB PUNCT CCONJ PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET DET NOUN SCONJ SCONJ PRON AUX VERB DET NOUN PUNCT PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET ADJ VERB PUNCT CCONJ PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET DET NOUN SCONJ SCONJ PRON AUX VERB DET NOUN PUNCT PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET ADJ VERB PUNCT CCONJ PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET DET NOUN SCONJ SCONJ PRON AUX VERB DET NOUN PUNCT PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET ADJ VERB PUNCT CCONJ PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET DET NOUN SCONJ SCONJ PRON AUX VERB DET NOUN PUNCT PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET ADJ VERB PUNCT CCONJ PRON AUX PART VERB SCONJ PRON AUX VERB ADP ADP DET DET NOUN SCONJ SCONJ PRON AUX VERB DET NOUN,0.02728226652675761,0.3387168141592909,203,953,0.8325123152709359,0.22599110412412735
"[Det, er, ikkje, berre, i, Noreg, at, det, er, vanskeleg, å, få, tak, i, nok, lærarar, ., I, Sverige, er, det, også, mangel, på, lærarar, ., Ifølgje, Dagens, Nyheter, har, det, vore, ein, kraftig, auke, i, talet, på, lærarar, som, har, slutta, i, Sverige, dei, siste, åra, ., I, fjor, slutta, over, 1000, lærarar, ,, og, det, er, dobbelt, så, mange, som, i, 2005., g, i, Noreg, er, det, mangel, på, lærarar, ., Ifølgje, Utdanningsforbundet, er, det, i, dag, om, lag, 6000, lærarar, som, ikkje, jobbar, i, skulen, ., Det, er, ein, auke, på, over, 1000, lærarar, på, berre, to, år, ., g, i, Danmark, er, det, mangel, på, lærarar, ., Ifølgje, Berlingske, Tidende, har, det, vore, ein, auke, i, talet, på, lærarar, som, har, slutta, i, Danmark, dei, siste, åra, ., I, fjor, slutta, over, 1000, lærarar, ,, og, det, er, dobbelt, så, mange, som, i, 2005., g, i, Noreg, er, det, mangel, på, lærarar, ., Ifølgje, Utdanningsforbundet, er, det, i, dag, om, lag]",PRON VERB X X ADP PROPN SCONJ PRON AUX ADJ PART VERB NOUN ADP ADV PROPN PUNCT ADP PROPN AUX PRON ADV NOUN ADP PROPN PUNCT NOUN PROPN PROPN VERB X X X ADJ VERB ADP NOUN ADP PROPN PRON VERB NOUN ADP PROPN DET ADJ NOUN PUNCT ADP NOUN NOUN ADP NUM PROPN PUNCT CCONJ PRON AUX ADJ ADV ADJ PRON ADP NUM NOUN ADP PROPN VERB PRON NOUN ADP PROPN PUNCT NOUN PROPN AUX PRON ADP NOUN ADP NOUN NUM PROPN SCONJ X VERB ADP NOUN PUNCT PRON AUX X X ADP ADP NUM PROPN ADP ADV NUM NOUN PUNCT NOUN ADP PROPN VERB PRON NOUN ADP PROPN PUNCT NOUN PROPN ADJ VERB PRON X X X ADP NOUN ADP PROPN PRON VERB NOUN ADP PROPN DET ADJ NOUN PUNCT ADP NOUN NOUN ADP NUM PROPN PUNCT CCONJ PRON AUX ADJ ADV ADJ PRON ADP NUM NOUN ADP PROPN VERB PRON NOUN ADP PROPN PUNCT NOUN PROPN AUX PRON ADP NOUN ADP NOUN,0.050387596899224806,0.41423448275861996,165,774,0.6181818181818182,0.3087808749897481
"[Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Høgre, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Arbeidarpartiet, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Framstegspartiet, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Kristeleg, Folkeparti, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Senterpartiet, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Venstre, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Sosialistisk, Venstreparti, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Raud, Valallianse, ?,  , Kor, mange, prosent, av, dei, som, har, røysterett, i, Noreg, ,, vil, røyste, på, Det, Liber]",ADV ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PROPN PROPN PUNCT SPACE NOUN ADJ NOUN ADP NOUN PRON VERB NOUN ADP PROPN PUNCT AUX VERB ADP PRON PROPN,0.0451527224435591,0.4063068181818169,155,753,0.5290322580645161,0.2545030887347396
"[Det, er, veldig, mange, som, har, et, forhold, til, denne, butikken, ,, og, det, er, mange, som, har, et, forhold, til, meg, også, ,, sier, han, og, smiler, ., 
, Han, har, vært, i, butikken, i, over, 30, år, ,, og, har, vært, med, på, mange, opp-, og, nedturer, ., 
, –, Det, har, vært, mange, oppturer, ,, men, også, noen, nedturer, ., Det, er, ikke, alltid, like, lett, å, drive, butikk, ,, men, jeg, har, vært, heldig, og, hatt, mange, gode, medarbeidere, som, har, vært, med, meg, i, mange, år, ,, sier, han, ., 
, Han, forteller, at, det, er, mange, som, har, et, forhold, til, butikken, ., 
, –, Det, er, mange, som, har, et, forhold, til, butikken, og, mange, som, har, et, forhold, til, meg, ., Det, er, mange, som, har, vært, innom, og, handlet, her, i, alle, år, ,, og, det, er, mange, som, har, vært, innom, og, handlet, her, i, alle, år, ,, sier, han, ., 
, Han, forteller, at, det, er, mange, som, har, et, forhold, til, butikken, ., 
, –, Det, er, mange, som, har, et, forhold, til, butikken, og, mange, som, har, et, forhold, til, meg, ., Det, er, mange, som, har, vært, innom, og, handlet, her, i, alle, år, ,, og, det, er, mange, som, har, vært, innom, og]",PRON AUX ADJ ADJ PRON VERB DET NOUN ADP DET NOUN PUNCT CCONJ PRON VERB ADJ PRON VERB DET NOUN ADP PRON ADV PUNCT VERB PRON CCONJ VERB PUNCT SPACE PRON AUX AUX ADP NOUN ADP ADP NUM NOUN PUNCT CCONJ AUX AUX ADP ADP ADJ NOUN CCONJ NOUN PUNCT SPACE PUNCT PRON AUX VERB ADJ NOUN PUNCT CCONJ ADV DET NOUN PUNCT PRON AUX PART ADV ADV ADJ PART VERB NOUN PUNCT CCONJ PRON AUX AUX ADJ CCONJ VERB ADJ ADJ NOUN PRON AUX AUX ADP PRON ADP ADJ NOUN PUNCT VERB PRON PUNCT SPACE PRON VERB SCONJ PRON VERB ADJ PRON VERB DET NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB ADJ PRON VERB DET NOUN ADP NOUN CCONJ ADJ PRON VERB DET NOUN ADP PRON PUNCT PRON VERB ADJ PRON AUX AUX ADP CCONJ VERB ADV ADP DET NOUN PUNCT CCONJ PRON VERB ADJ PRON AUX AUX ADP CCONJ VERB ADV ADP DET NOUN PUNCT VERB PRON PUNCT SPACE PRON VERB SCONJ PRON VERB ADJ PRON VERB DET NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB ADJ PRON VERB DET NOUN ADP NOUN CCONJ ADJ PRON VERB DET NOUN ADP PRON PUNCT PRON VERB ADJ PRON AUX AUX ADP CCONJ VERB ADV ADP DET NOUN PUNCT CCONJ PRON VERB ADJ PRON AUX AUX ADP CCONJ,0.03455723542116631,0.379657924743445,218,926,0.7339449541284404,0.5259226675860917
