tokenized_text,lix_score
"['Men', 'det', 'var', 'ikke', 'bare', 'det', 'at', 'han', 'hadde', 'mistet', 'både', 'sin', 'hustru', 'og', 'sin', 'sønn', '.', 'Han', 'var', 'også', 'pla', 'get', 'av', 'sykdom', '.', 'Men', 'ved', 'at', 'han', 'daglig', 'gjorde', 'Guds', 'gode', 'ting', 'ved', 'å', 'være', 'den', 'første', 'til', 'å', 'tjene', 'og', 'hjelpe', 'andre', 'mennesker', ',', 'så', 'styrket', 'han', 'sitt', 'hjerte', 'og', 'sin', 'tro', '.', 'Til', 'Tyrus', 'sendte', 'Herren', 'Jesus', '.', 'Da', 'han', 'nærmet', 'seg', ',', 'sa', 'han', 'til', 'Filip', ':', 'Hvor', 'skal', 'vi', 'kjøpe', 'brød', ',', 'så', 'disse', '1', 'kan', 'få', 'noe', 'å', 'ete', '?', 'Han', 'visste', 'at', 'det', 'var', 'mange', 'fariséere', 'i', 'Tyrus', 'og', 'at', 'disse', 'ikke', 'trodde', 'på', 'Jesus', '.', 'På', 'samme', 'måte', 'som', 'Jesus', 'gjorde', 'noe', 'med', 'Filips', 'hjerte', 'da', 'han', 'fortalte', 'ham', 'om', 'mannens', 'nød', 'som', 'hadde', 'et', 'barn', 'som', 'var', 'sykt', '(', 'J', 'oh', '.', '4', ',', '42', ')', '-', 'så', 'måtte', 'Filip', 'for', 'telje', 'om', 'Jesus', 'og', 'vise', 'ham', 'bort', 'om', 'han', 'ville', 'hindre', 'hans', 'godhet', '.', 'Derfor', 'svarte', 'han', 'og', 'sa', ':', 'Brød', 'for', '200', 'denarer', 'er', 'ikke', 'nok', 'til', 'at', 'hver', 'av', 'dem', 'kan', 'få', 'et', 'lite', 'stykke', '.', 'minst', 'mulig', 'for', 'at', 'så', 'mange', 'som', 'mulig', 'kan', 'få', 'hjelp', '.', 'b']",20.848275862068963
"['Det', 'var', 'ein', 'del', 'uklarheitar', '/', 'usikkerheit', 'om', 'kva', 'som', 'skulle', 'skje', 'på', 'Giskemo', '.', 'Såleis', 'vart', 'mø', 'tet', 'korta', 'ned', '.', 'Det', 'var', 'eit', 'positivt', 'møte', ',', 'og', 'eg', 'er', 'stolt', 'over', 'å', 'vere', 'politikar', 'i', 'denne', 'kommune', 'når', 'vi', 'greier', 'å', 'kome', 'fram', 'til', 'positive', 'vedtak', '.', 'No', 'er', 'det', 'viktig', 'at', 'innbyggjarane', 'og', 'politikarane', 'saman', 'jobbar', 'for', 'framtida', '.', 'Eg', 'vil', 'takke', 'alle', 'som', 'delte', 'tankane', 'sine', 'med', 'meg', ',', 'eg', 'tek', 'med', 'meg', 'alle', 'gode', 'innspel', 'vidare', '.', 'Eg', 'vil', 'oppmode', 'dykk', 'om', 'å', 'ha', 'ei', 'god', 'stemning', 'og', 'vise', 'lojalitet', 'og', 'stå', 'på', 'vilje', 'vidare', 'i', 'prosessen', '.', 'at', 'politikarar', 'og', 'administrasjon', 'skal', 'gjere', 'kva', 'dei', 'kan', 'for', 'å', 'bidra', 'til', 'ei', 'løysing', '.', 'Eg', 'håper', 'at', 'vi', 'skal', 'finne', 'eit', 'grunnlag', 'i', 'komande', 'veke', 'der', 'vi', 'kan', 'få', 'til', 'eit', 'budsjett', 'med', 'eit', 'positivt', 'resultat', '.', 'Eg', 'føler', 'at', 'eg', 'ikkje', 'kan', 'love', 'noko', 'før', 'eg', 'veit', 'meir', 'om', 'kva', 'situasjonen', 'er', '.', 'Når', 'det', 'gjeld', 'skulestrukturen', ',', 'vil', 'eg', 'oppmode', 'oss', 'til', 'å', 'jobbe', 'i', 'lag', 'for', 'å', 'finne', 'ei', 'løysing', 'som', 'kan']",33.34013605442176
"['Det', 'var', 'så', 'mye', 'som', 'skulle', 'vært', 'gjort', 'før', 'den', 'store', 'dagen', 'vår', '.', 'Og', 'som', 'så', 'ofte', 'før', 'utsatte', 'vi', 'ting', 'til', 'siste', 'liten', ',', 'og', 'plutselig', 'har', 'du', 'det', 'travelt', '.', 'Med', 'stor', 'møye', 'og', 'besvær', ',', 'etter', 'en', 'natt', 'på', 'sofaen', ',', 'etter', 'litt', 'søvn', ',', 'litt', 'kaffe', 'og', 'noen', 'paracet', ',', 'kommer', 'du', 'inn', 'og', 'er', 'helt', 'utslitt', '.', 'Men', 'i', 'godt', 'humør', 'og', 'veldig', 'klar', 'for', 'at', 'nå', 'skulle', 'alt', 'være', 'klart', '.', 'Det', 'som', 'gjensto', 'var', 'å', 'lage', 'litt', 'blomsterdekorasjoner', 'rundt', 'omkring', 'og', 'pynte', 'i', 'stua', '.', 'Det', 'tar', 'jo', 'sin', 'tid', ',', 'og', 'du', 'var', 'så', 'lei', 'deg', 'for', 'at', 'du', 'ikke', 'rakk', 'det', 'du', 'ville', ',', 'og', 'kanskje', 'enda', 'mer', 'i', 'tvil', 'om', 'hva', 'du', 'skulle', 'gjøre', '.', 'Du', 'likte', 'jo', 'ikke', 'så', 'godt', 'å', 'være', 'i', 'siste', 'liten', ',', 'så', 'egentlig', 'hadde', 'vi', 'ikke', 'bedt', 'deg', 'om', 'det', '.', 'Jeg', 'ble', 'spurt', 'om', 'å', 'være', 'med', 'å', 'pynte', ',', 'men', 'takket', 'nei', 'fordi', 'det', 'ikke', 'var', 'aktuelt', 'for', 'meg', '.', 'Selvsagt', 'måtte', 'jeg', 'da', 'også', 'pynte', ',', 'men', 'da', 'hadde', 'du', 'det', 'bra', 'igjen', '.', 'Blomster', 'kan', 'du', 'jo', 'veldig', 'mye', ',', 'og', 'er', 'glad', 'du', 'kunne', 'være', 'med', 'på', 'det', 'du', 'også', '.']",25.34285714285714
"['Ja', 'det', 'var', 'en', 'rigtig', 'god', 'og', 'en', 'rigtig', 'træls', 'nyhed', ':', ')', ',', 'jeg', 'er', 'sååååå', 'utroligt', 'glad', 'for', 'at', 'du', 'fortsætter', 'med', 'det', 'som', 'du', 'er', 'så', 'god', 'til', 'og', 'som', 'du', 'går', 'sådan', 'vildt', 'meget', 'op', 'i', '!', ',', 'jeg', 'er', 'også', 'glad', 'for', 'at', 'det', 'kommer', 'til', 'at', 'foregå', 'i', 'Svendborg', 'og', 'det', 'føles', 'også', 'som', 'lidt', 'af', 'et', 'hjem', ':', ')', '.', 'Det', 'er', 'bare', 'ærgeligt', 'at', 'man', 'ikke', 'kan', 'give', 'et', 'lille', 'nap', 'med', 'på', 'sidelinjen', ',', 'jeg', 'er', 'også', 'lige', 'igang', 'med', 'at', 'lære', 'det', 'på', 'computer', '–', 'men', 'det', 'driller', 'altså', ',', 'jeg', 'kan', 'godt', 'finde', 'ud', 'af', 'at', 'bruge', 'det', 'på', 'iPad', ""'"", 'en', 'men', 'det', 'kan', 'ikke', 'bare', 'lige', 'overføres', ':', '(', ',', 'det', 'må', 'jeg', 'have', 'tjekket', 'på', 'biblioteket', ',', 'men', 'du', 'er', 'så', 'skide', 'sej', 'til', 'det', '!', '!', '!', '!', '!', '!', '!', '.', 'En', 'hilsen', 'fra', 'Ditte', 'Svar', 'Christina', ',', '14.', 'december', '2015', 'kl.', '17', ':', '10', 'skriver', ':', 'Ja', ',', 'jeg', 'havde', 'svært', 'ved', 'at', 'slippe', 'den', 'tanke', ',', 'så', 'når', 'vi', 'flyttede', 'tilbage', 'var', 'det', 'lige', 'lidt', 'i', 'sidste', 'øjeblik', ':', ')', '.', 'Jeg', 'går', 'også', 'lige', 'lidt', 'til', 'og']",50.5659509202454
"['Ja', 'det', 'er', 'mye', 'som', 'er', 'forandret', 'siden', 'den', 'gang', '.', 'Mange', 'venner', 'har', 'falt', 'fra', 'og', 'vi', 'har', 'ikke', 'vært', 'på', 'treff', 'på', 'mange', 'år', '.', 'Har', 'liksom', 'aldri', 'kommet', 'i', 'gang', 'med', 'dette', '.', 'Men', 'vi', 'fikk', 'høre', 'at', 'vi', 'ikke', 'har', 'vært', 'helt', 'forsvunnet', 'for', 'nå', 'er', 'mange', 'av', 'oss', 'i', 'gang', 'med', 'noe', 'nytt', '.', 'Men', 'vi', 'skal', 'nok', 'bli', 'med', 'når', 'det', 'er', 'noe', 'så', 'har', 'vi', 'hvert', 'der', 'og', 'erfart', 'med', 'dette', 'også', '.', 'En', 'dag', 'med', 'mye', 'prat', 'og', 'god', 'mat', 'er', 'det', 'alltid', 'hyggelig', 'å', 'være', 'ute', 'på', 'tur', '.', 'En', 'ting', 'er', 'sikkert', 'og', 'det', 'er', 'at', 'alle', 'koser', 'seg', 'hver', 'eneste', 'gang', '.', 'Dette', 'er', 'noe', 'vi', 'har', 'tenkt', 'å', 'fortsette', 'med', 'så', 'lenge', 'vi', 'kan', 'og', 'er', 'så', 'heldige', 'at', 'vi', 'er', 'med.', 'God', 'Helg', 'og', 'kos', 'dere', 'alle', 'sammen', '.', 'Hilsen', 'fra', 'Liv', 'og', 'Jan', 'Arve', '.', 'Det', 'er', 'snart', 'påske', 'og', 'da', 'blir', 'det', 'en', 'liten', 'uke', 'på', 'fjellet', '.', 'Kos', 'dere', 'alle', 'sammen', '.', 'Hilsen', 'Turkomiteen', '.', 'Skrevet', 'av', ':', 'Lise.Linstad', 'og', 'Jan', 'Erik', 'Linstad', '.']",19.432980193459237
"['Så', 'var', 'det', 'dags', '!', 'Äntligen', 'kan', 'du', 'köpa', 'dig', 'ett', 'eget', 'exemplar', 'av', 'boken', 'Tunnare', 'än', 'blod', '(', 'som', 'kommer', 'ut', 'den', '8', 'november', ')', 'och', 'vinna', 'den', 'direkt', 'här', 'på', 'bloggen', '!', 'Välj', 'själv', 'vad', 'du', 'vill', 'läsa', 'om', ',', 'vilken', 'genre', 'du', 'helst', 'vill', 'läsa', 'om', ',', 'vad', 'du', 'helst', 'vill', 'tävla', 'om', ',', 'hur', 'många', 'lotter', 'som', 'ska', 'med', 'i', 'din', 'lottburlett', ',', 'hur', 'många', 'som', 'får', 'vara', 'med', 'i', 'dragningen', 'osv.', 'Vem', 'som', 'helst', 'kan', 'vara', 'med', 'och', 'tävla', 'och', 'du', 'deltar', 'på', 'valfria', 'villkor', '!', 'Vill', 'du', 'inte', 'vara', 'med', 'i', 'den', 'stora', 'utlottningen', 'så', 'går', 'det', 'lika', 'bra', 'att', 'vara', 'med', 'i', 'småtävlingarna', 'som', 'kommer', 'i', 'ett', 'separat', 'inlägg', '!', 'Du', 'kan', 'själv', 'bestämma', 'om', 'du', 'vill', 'skänka', 'vinsten', 'till', 'en', 'välgörenhetsorganisation', ',', 'till', 'en', 'bokcirkel', 'och', '/', 'eller', 'böcker', 'eller', 'inte', 'ha', 'med', 'det', 'alls', 'i', 'din', 'lottburlett', '.', 'Tveka', 'inte', ',', 'anmäl', 'dig', 'till', 'utlottningen', 'redan', 'nu', '!', 'Världens', 'vackraste', 'bok', '!', 'När', 'jag']",34.50738916256158
"['Det', 'var', 'som', 'vanlig', 'mange', 'som', 'deltok', 'på', 'skikarusel', 'len', 'denne', 'gangen', 'og', 'noen', 'medaljer', 'kom', 'i', 'hus', 'til', 'alle', 'deltakerne', '.', 'Skikarusellen', '2013', '/', '14', 'var', 'sesongens', 'siste', 'på', 'Rjukan', 'Stadion', 'i', 'dag', ',', 'tirsdåg', '.', 'var', ',', 'forteller', 'leder', 'i', 'Tinn', 'IL', 'ski', 'og', 'barneidrett', ',', 'Jan', 'Andreassen', '.', 'I', 'år', 'var', 'det', '38', 'løpere', ',', 'og', 'de', 'yngste', 'løperne', 'går', 'ikke', 'så', 'langt', 'som', 'de', 'eldste', '.', '-', 'Vi', 'har', 'skikarusell', 'for', 'de', 'yngste', 'også', ',', 'vi', 'har', 'barne', 'idretten', 'vår', 'fra', '4', 'år', 'og', 'opp', 'i', 'år', '.', 'Det', 'er', 'for', 'løpere', 'som', 'ikke', 'går', 'så', 'langt', '.', 'Det', 'er', 'rundt', 'fire', 'og', 'en', 'halv', 'kilome', 'ter', '.', 'Vi', 'har', 'hatt', 'løpere', 'der', 'som', 'bare', 'har', 'gått', 'rundt', '800', 'meter', 'også', 'har', 'de', 'minste', 'gått', 'én', 'kilometer', '.', 'I', 'dag', ',', 'tirsdag', ',', 'er', 'det', 'siste', 'gangen', 'på', 'stadion', 'for', 'sesongen', '.', 'Da', 'blir', 'det', 'en', 'avslutning', 'med', 'alle', 'sammen', ',', 'sier', 'han', '.', 'Han', 'forteller', 'også', 'at', 'han', 'håper', 'det', 'blir', 'flere', 'neste', 'sesong', '.', '-', 'Vi', 'håper', 'at', 'det', 'kommer', 'flere', 'neste', 'sesong', '.', 'Vi', 'skal', 'prøve', 'å', 'kjøre', 'det', 'hvert', 'fall', 'en', 'gang']",25.18524416135881
"['Det', 'er', 'ikkje', 'vanskeleg', 'å', 'forstå', 'kvifor', 'dei', 'unge', 'finn', 'seg', 'godt', 'til', 'rette', 'på', 'den', 'vesle', 'øya', '.', 'Vonar', 'difor', 'at', 'alle', 'som', 'har', 'ei', 'ledig', 'tomt', 'eller', 'ein', 'gamal', 'bustad', 'kan', 'ta', 'kontakt', 'med', 'oss', 'her', 'i', 'kommunen', '.', 'gleda', 'både', 'nye', 'og', 'gamle', 'tilflytta', 'rar', '.', 'Vonar', 'at', 'også', 'dei', 'som', 'har', 'selt', 'tomter', 'vil', 'kome', 'etter', '.', 'Ein', 'liten', 'takk', 'til', 'kommunen', 'for', 'dei', 'to', 'siste', 'kommunale', 'tomtene', 'som', 'er', 'selde', '.', 'Håper', 'at', 'dei', 'kjem', 'att', 'om', 'ikkje', 'alt', 'for', 'lenge', '.', 'Vi', 'kan', 'berre', 'konstatere', 'at', 'unge', 'på', 'Rota', 'blir', 'godt', 'mottekne', '.', 'Måtte', 'det', 'vare', 'livet', 'ut', '.', 'Vi', 'i', 'kommunen', 'skal', 'hjelpe', 'til', 'med', 'alt', 'som', 'måtte', 'kunne', 'vere', 'av', 'interesse', 'for', 'dei', 'som', 'vil', 'nytte', 'seg', 'av', 'dei', 'to', 'tomtene', 'kommunen', 'allereie', 'har', 'seld', 'på', 'Rotset', '.', 'Vi', 'skal', 'nok', 'finne', 'på', 'noko', '.', 'Kanskje', 'kan', 'vi', 'til', 'og', 'med', 'bidra', 'med', 'noko', 'økonomisk', '.', 'Håpar', 'mange', 'i', 'kommunen', 'er', 'seg', 'sitt', 'samfunnsansvar', 'bevisst', 'når', 'det', 'gjeld', 'nye', 'tomter', '.', 'Vonar', 'at', 'alle', 'som', 'på', 'eit']",25.18524416135881
"['Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'står', 'i', 'manntallet', 'hadde', 'avgitt', 'stemme', 'etter', 'eit', 'døgns', 'forløp', '?', 'A.', 'Alle', 'B.', 'Hald', 'fram', 'med', 'oppgåvene', '.', 'A.', 'B.', 'Eitt', 'av', 'svaralternativane', 'ovanfor', 'er', 'rett', '.', 'Kva', 'for', 'eitt', '?', 'Kva', 'for', 'spørsmål', 'kunne', 'det', 'vere', '?', 'Skriv', 'svara', '.', 'Seljaren', 'skal', 'ha', 'tilbake', 'vareprøven', 'og', 'betale', 'tilbake', 'dei', '550', 'kronene', '.', 'Kor', 'mykje', 'skal', 'seljaren', 'ha', 'tilbakebetalt', '?', 'Seljaren', 'får', 'i', 'tillegg', '20', '%', 'i', 'renter', 'p.a.', 'Kor', 'mange', 'kroner', 'blir', 'dette', 'i', 'renter', '?', 'Oppgåve', '2', 'i', 'A-kolonnen', 'og', 'oppgåve', '4', 'i', 'B-kolonnen', 'er', 'merkte', 'med', 'A.', 'Kva', 'tyder', 'dette', '?', 'Skriv', 'følgjande', 'på', 'enklaste', 'måten', ':', 'Ved', 'ei', 'feilrekning', 'har', 'vi', 'fått', 'varer', 'som', 'ikkje', 'skal', 'vere', 'med', 'i', 'rabattoppgjeret', '.', 'Kalkulasjonen', 'tyder', 'på', 'at', 'vi', 'vil', 'få', 'ein', 'rabatt', 'på', '500', 'kroner', '.', 'Kalkuler', 'rabattoppgjeret', 'med', 'rabattoppgjer', 'som', 'ved', 'ei', 'feilrekning', 'har', 'gitt', 'ein', 'rabatt', 'på', '720', 'kroner', '.', 'Skriv']",30.9764177428411
"['Det', 'er', 'veldig', 'hyggelig', 'at', 'så', 'mange', 'har', 'ønsket', 'å', 'feire', 'sammen', 'med', 'oss', ',', 'og', 'dere', 'er', 'velkommen', 'til', 'å', 'feire', 'i', 'kveld', 'som', 'kommer', '.', 'Hvis', 'dere', 'ønsker', 'å', 'feire', 'hos', 'oss', 'på', 'nyttårsaften', ',', 'som', 'mange', 'har', 'gjort', ',', 'er', 'dere', 'hjertelig', 'velkommen', '.', 'Det', 'er', 'veldig', 'hyggelig', 'hvis', 'dere', 'vil', 'feire', 'sammen', 'med', 'oss', 'for', 'en', 'liten', 'stund', 'siden', 'dette', 'er', 'året', 'vi', 'feirer', '30', 'år', ',', 'og', 'vi', 'vil', 'gjerne', 'gjøre', 'litt', 'stas', 'på', 'dere', '.', 'Det', 'er', 'godt', 'at', 'mange', 'kan', 'feire', 'sammen', 'med', 'familien', 'sin', 'selv', 'om', 'dere', 'er', 'på', 'forskjellige', 'steder', '.', 'Da', 'er', 'det', 'veldig', 'hyggelig', 'at', 'dere', 'er', 'velkommen', 'til', 'å', 'feire', 'sammen', 'med', 'oss', 'på', 'nyttårsaften', ',', 'der', 'vi', 'vil', 'ønske', 'det', 'nye', 'året', 'velkommen', ',', 'og', 'skåle', 'inn', 'det', 'nye', 'året', '.', 'Hvis', 'dere', 'vil', 'komme', 'på', 'ettermiddagen', 'for', 'en', 'stund', ',', 'vil', 'vi', 'ikke', 'ha', 'en', 'så', 'overdådig', 'meny', 'som', 'ellers', ',', 'men', 'en', 'liten', 'aperitiff', 'og', 'noen', 'kanapeer', '.', 'Etter', 'at', 'klokken', 'er', 'blitt', 'tolv', ',', 'er', 'det', 'veldig', 'hyggelig', 'å', 'gå', 'ut', 'og', 'møte', 'det', 'nye', 'året', 'sammen', 'ute', 'på', 'byen', '.', 'Her', 'i', 'Norge', 'har', 'det', 'i', 'veldig', 'lang', 'tid', 'vært', 'tradisjon', 'å', 'spise']",34.954887218045116
