tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ei, som, ikkje, ville, gå, inn, i, dette, huset, som, Gud, hadde, reist, og, gjeve, sin, Heilage, Ande, ., Det, var, Maria, Magdalena, ., Ho, var, komen, til, grava, ,, men, Jesus, var, der, ikkje, ., Då, ho, gret, så, sårt, ,, var, det, at, ho, kom, på, kva, Jesus, hadde, sagt, ved, ei, tidlegare, anledning, ,, då, han, hadde, tala, om, at, han, skulle, stå, opp, tredje, dagen, i, grava, ;, «, Eg, er, oppstoda, og, livet, ., », -, Denne, oppstoda, måtte, verkeleg, gå, føre, seg, ,, for, no, hadde, han, stått, opp, ,, og, han, stod, i, ferd, med, å, henta, denne, kvinna, til, seg, for, å, dela, eit, endå, lukkelegare, samvær, enn, det, dei, hadde, hatt, ., I, staden, måtte, ho, gå, heimatt, åleine, ,, for, Jesus, kunne, ikkje, vera, der, han, skulle, vera, ., -, Men, når, ein, har, mist, alt, ein, skulle, ha, her, på, jord, ,, og, det, viktigaste, i, denne, verda, har, ein, mist, ,, då, kan, ein, i, tru, og, lengt, og, hjartefred, få, leva, i, han, som, er]",CCONJ PRON VERB DET PRON X AUX VERB ADP ADP DET NOUN PRON PROPN AUX VERB CCONJ ADJ PRON PROPN PROPN PUNCT PRON AUX PROPN PROPN PUNCT PROPN AUX ADV ADP PROPN PUNCT CCONJ PROPN VERB ADV X PUNCT X X VERB ADV ADJ PUNCT VERB PRON SCONJ NOUN VERB SCONJ PRON PROPN AUX VERB ADP DET PROPN NOUN PUNCT X PRON VERB PROPN SCONJ SCONJ PRON AUX VERB ADP ADJ NOUN ADP PROPN PUNCT PUNCT PROPN AUX NOUN CCONJ NOUN PUNCT PUNCT PUNCT DET NOUN AUX NOUN VERB VERB PRON PUNCT ADP PROPN AUX PRON VERB ADP PUNCT CCONJ PRON VERB ADP NOUN SCONJ PART VERB DET NOUN ADP PRON SCONJ PART VERB X PROPN ADJ NOUN ADP PRON PRON AUX VERB PUNCT ADP NOUN AUX NOUN VERB ADJ PROPN PUNCT CCONJ PROPN AUX X X SCONJ PRON AUX VERB PUNCT PUNCT CCONJ SCONJ PROPN AUX VERB PRON X X VERB ADV ADP NOUN PUNCT CCONJ DET ADJ ADP DET NOUN VERB X NOUN PUNCT X X X X NOUN CCONJ ADJ CCONJ NOUN VERB NOUN ADP PRON PRON AUX,0.046954314720812185,0.37786197564276114,181,788,0.6574585635359116,0.3863183827819523
"[Det, var, ein, gong, —, ja, det, er, vel, helst, hundre, år, —, at, to, store, fjell, hadde, vorte, til, eit, ., Først, stod, Langfjellet, på, skrå, opp, mot, himmelen, ,, og, så, rauk, det, ned, så, heile, fjellsida, vart, hengande, nedover, med, Langfjellet, dinglande, utanpå, ., 
, Geitene, vart, ville, av, lått, ., Ein, kar, som, stod, bakom, for, å, sjå, til, på, Langfjell, og, Langfjella, ,, ville, skrika, ,, men, han, fekk, ikkje, mål, for, seg, ,, og, så, rann, låtten, i, han, som, han, var, smurt, ., Geitene, laut, skotta, så, vidt, innpå, han, ,, men, det, var, så, mykje, så, dei, skjøna, kven, han, var, ,, og, då, fekk, dei, så, mangt, å, tenkja, ,, at, dei, kunne, ikkje, anna, tru, enn, at, han, var, komen, oppi, verda, fordi, dei, var, så, svære, til, å, le, ., 
, Og, når, han, ikkje, fekk, lov, til, å, vera, med, dei, hine, ,, laut, han, no, finna, på, ei, råd, sjøl, ., Slikt, som, det, han, skulle, få, lov, til, å, le, av, ,, det, kunne, det, alltid]",PRON AUX X X PUNCT INTJ PRON AUX ADV ADV NUM NOUN PUNCT SCONJ NUM ADJ NOUN VERB PROPN ADP PROPN PUNCT ADV VERB NOUN ADP NOUN ADP ADP NOUN PUNCT CCONJ ADV VERB PRON ADP ADV ADJ NOUN VERB ADJ ADP ADP NOUN ADJ NOUN PUNCT SPACE PROPN VERB AUX ADP NOUN PUNCT ADJ NOUN PRON VERB ADV SCONJ PART VERB ADP ADP PROPN CCONJ PROPN PUNCT AUX VERB PUNCT CCONJ PRON VERB PART NOUN ADP PRON PUNCT CCONJ VERB NOUN NOUN ADP PRON PRON PRON AUX VERB PUNCT NOUN VERB NOUN ADV ADJ SCONJ PRON PUNCT CCONJ PRON AUX ADV ADJ SCONJ X VERB NOUN PRON AUX PUNCT CCONJ X VERB PROPN ADV NUM PART VERB PUNCT SCONJ PROPN VERB X X X SCONJ SCONJ PRON AUX X ADP PROPN SCONJ PROPN AUX ADV ADJ SCONJ PART VERB PUNCT SPACE CCONJ SCONJ PRON X VERB NOUN SCONJ PART VERB ADP PROPN DET PUNCT VERB PRON X X ADP DET NOUN ADV PUNCT PRON ADP PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PUNCT PRON VERB PRON ADV,0.046153846153846156,0.3824623803009584,180,780,0.6611111111111111,0.35615507099176197
"[Det, var, så, mørkt, at, jeg, måtte, tenne, billykta, for, å, finne, stripa, ,, men, jeg, hadde, ikke, sett, et, menneske, ., Først, rett, foran, meg, kunne, jeg, skimte, de, grå, husene, på, andre, siden, ., Jeg, stoppet, i, innkjøringen, og, så, opp, mot, huset, ., Det, var, så, gammelt, at, jeg, kunne, se, tømmeret, helt, til, topps, ., Over, den, røde, låven, hang, en, linerle, og, vippet, i, vinden, ., 
, Med, bilen, i, gir, kjørte, jeg, sakte, forbi, huset, ,, parkerte, på, den, smale, grusveien, og, åpnet, bakluka, ., Det, knirket, i, bakakselen, da, jeg, rygget, ut, ., 
, Jeg, kjente, på, døra, igjen, ,, men, kunne, ikke, høre, noe, ., Fra, lommekikkerten, så, jeg, innover, mot, sentrum, ., Det, var, tomt, og, øde, i, den, stille, gata, ., Bare, de, to, bilene, og, noen, som, passerte, i, motsatt, kjøreretning, ., 
, Jeg, gikk, litt, lenger, innover, til, jeg, kom, rundt, hjørnet, til, venstre, ., Der, stoppet, jeg, opp, for, å, se, på, den, store, bjørka, foran, den, gamle, murbygningen, til, kommunehuset, ., Den, hadde, sikkert, stått, der, i, årevis]",PRON AUX ADV ADJ SCONJ PRON AUX VERB NOUN SCONJ PART VERB NOUN PUNCT CCONJ PRON AUX PART VERB DET NOUN PUNCT ADV ADJ ADP PRON AUX PRON VERB DET ADJ NOUN ADP DET ADV PUNCT PRON VERB ADP NOUN CCONJ VERB ADP ADP NOUN PUNCT PRON AUX ADV ADJ SCONJ PRON AUX VERB NOUN ADJ ADP NOUN PUNCT ADP DET ADJ NOUN VERB DET NOUN CCONJ VERB ADP NOUN PUNCT SPACE ADP NOUN ADP PROPN VERB PRON ADJ ADP NOUN PUNCT VERB ADP DET ADJ NOUN CCONJ VERB NOUN PUNCT PRON VERB ADP NOUN SCONJ PRON VERB ADP PUNCT SPACE PRON VERB ADP NOUN ADV PUNCT CCONJ AUX PART VERB PRON PUNCT ADP NOUN VERB PRON ADP ADP NOUN PUNCT PRON AUX ADJ CCONJ ADJ ADP DET ADJ NOUN PUNCT ADV DET NUM NOUN CCONJ PRON PRON VERB ADP ADJ NOUN PUNCT SPACE PRON VERB ADJ ADJ ADP SCONJ PRON VERB ADP NOUN ADP NOUN PUNCT ADV VERB PRON ADP SCONJ PART VERB ADP DET ADJ NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADJ VERB ADV ADP ADV,0.037800687285223365,0.3848786407766979,182,873,0.5824175824175825,0.29786456932083755
"[Ja, det, var, ei, gild, tid, !, 
, -, og, me, skal, ikkje, gløyma, at, dei, fleste, av, dei, gamle, er, borte, ., Me, var, då, så, heldige, at, me, fekk, sjå, dei, att, ,, og, i, deira, gode, tid, var, det, ei, oppgangstid, for, ungdomen, ., Dei, fleste, i, deira, tid, hadde, sin, arbeidsplass, på, sjøen, ,, og, når, det, lei, til, kveldstid, ,, rodde, dei, gjerne, inn, til, ungdomshuset, og, fekk, seg, kaffi, og, ein, matbeta, ., Det, var, svært, gilde, kveldar, ., 
, Framhaldskulen, hadde, me, ein, vinter, og, gjekk, på, omgang, ., I, vinterhalvåret, vart, det, halde, eit, kurs, på, vår, side, av, fjorden, ,, og, eit, kurs, på, haustsida, ., Dei, fleste, kursa, som, vart, haldne, rundt, i, bygda, ,, vart, haldne, her, på, Strand, ., 
, me, hadde, også, eit, slikt, skulerom, i, Høllandsmyrå, ,, på, ein, plass, som, kalla, seg, Vonheim, ,, eller, Gamlahuset, som, me, kalla, det, den, gongen, ., 
, Det, var, stor, søknad, av, folk, som, ikkje, hadde, råd, til, å, gå, på, vanleg, jordbruks]",INTJ PRON VERB DET ADJ NOUN PUNCT SPACE PUNCT CCONJ X X X NOUN SCONJ NOUN ADJ ADP DET ADJ AUX ADP PUNCT X AUX X ADV ADJ SCONJ X X X X X PUNCT CCONJ ADP NOUN ADJ NOUN VERB PRON DET NOUN ADP NOUN PUNCT PROPN ADJ ADP ADJ NOUN VERB PRON NOUN ADP NOUN PUNCT CCONJ SCONJ PRON ADJ ADP NOUN PUNCT VERB NOUN ADV ADP ADP NOUN CCONJ VERB PRON NOUN CCONJ X NOUN PUNCT PRON AUX ADJ NOUN NOUN PUNCT SPACE NOUN VERB X X NOUN CCONJ VERB ADP NOUN PUNCT ADP NOUN VERB DET X X NOUN ADP PRON NOUN ADP NOUN PUNCT CCONJ X NOUN ADP NOUN PUNCT DET ADJ NOUN PRON VERB PROPN ADP ADP NOUN PUNCT VERB PROPN ADV ADP PROPN PUNCT SPACE X VERB ADV DET DET NOUN ADP PROPN PUNCT ADP ADJ NOUN PRON VERB PRON PROPN PUNCT CCONJ PROPN X X X X DET NOUN PUNCT SPACE PRON AUX ADJ NOUN ADP NOUN PRON ADV VERB NOUN SCONJ PART VERB ADP ADJ NOUN,0.0484472049689441,0.3869312169312159,175,805,0.6457142857142857,0.3011592027923536
"[Ja, det, er, ein, god, og, nyttig, ting, :, Det, set, i, frå, seg, på, land, eller, sjø, ., Dei, legg, det, då, ned, i, ein, kjellar, eller, i, eit, skap, ., Men, det, går, ikkje, lang, stunda, før, det, kjem, noko, innafor, og, grip, det, i, seg, ., Og, det, er, mykje, som, kjem, innafor, hos, den, som, har, fått, ei, bok, eller, eit, blad, i, hendene, ., Det, tek, det, med, seg, på, mange, vis, ,, det, ber, det, med, til, ein, kjellar, ,, det, legg, det, i, ein, skuffe, ,, det, ligg, det, på, ein, stol, med, det, same, ein, går, frå, bordet, ,, legg, det, under, hovudputa, ,, det, grev, det, ned, i, ei, kiste, ,, lagrar, det, i, ei, øskje, og, gjev, det, til, ein, ven, for, å, låne, på, det, ,, gje, det, til, ein, slektning, i, heimbygda, som, lesnad, for, born, og, unge, folk, ., Jau, ,, det, hender, rett, som, det, er, at, det, kjem, innafor, boka, ., Men, ikkje, alltid, vert, det, verande, der, for, det, ,, og, ikkje, alle, stader, er, det, like, velkom]",INTJ PRON AUX X ADJ CCONJ ADJ NOUN PUNCT PRON VERB ADP X PRON ADP NOUN CCONJ NOUN PUNCT NUM VERB PRON ADV ADP ADP PROPN ADJ CCONJ ADP DET NOUN PUNCT CCONJ PRON VERB ADV ADJ NOUN SCONJ DET VERB X X CCONJ VERB PRON ADP PRON PUNCT CCONJ PRON AUX ADJ ADP VERB ADP ADP PRON PRON AUX VERB DET NOUN CCONJ DET NOUN ADP NOUN PUNCT PRON VERB PRON ADP PRON ADP ADJ NOUN PUNCT PRON VERB PRON ADP ADP PROPN PROPN PUNCT PRON VERB PRON ADP X X PUNCT PRON VERB PRON ADP X NOUN ADP DET X X X X NOUN PUNCT VERB PRON ADP NOUN PUNCT PRON VERB PRON ADP ADP DET NOUN PUNCT VERB PRON ADP DET NOUN CCONJ X X ADP X NOUN SCONJ PART VERB ADP PRON PUNCT VERB PRON ADP X NOUN ADP NOUN ADP NOUN ADP PROPN CCONJ ADJ NOUN PUNCT NOUN PUNCT PRON VERB ADJ PRON PRON AUX SCONJ PRON VERB ADP NOUN PUNCT CCONJ X ADV AUX DET ADJ ADV ADP PRON PUNCT CCONJ ADV DET NOUN AUX PRON ADV ADJ,0.040103492884864166,0.35621546961326134,184,773,0.7010869565217391,0.3422590589552062
"[Så, var, det, en, gang, en, stor, og, fet, gris, som, ikke, hadde, lært, å, svømme, ., Men, da, det, led, om, en, stund, ,, syntes, den, det, var, altfor, besværlig, å, gå, over, det, store, ,, grumsete, fjellvannet, ,, når, den, ikke, skulle, holde, seg, fast, med, trynet, i, gjørma, på, bunnen, ., 
, «, Det, kommer, til, å, vokse, gras, på, denne, siden, ,, », tenkte, grisen, ., Og, med, det, samme, stakk, den, trynet, ned, i, gjørmebunnen, og, sugde, seg, lenge, og, grundig, utørst, ., 
, Så, gikk, den, videre, over, stokk, og, stein, over, ås, og, bakke, og, kom, ned, på, et, ganske, lite, tjern, som, lå, der, og, skinte, med, krusninger, og, småbølger, på, vannflaten, ., «, Det, ser, så, pent, og, hyggelig, ut, her, ,, », tenkte, grisen, ,, og, syntes, det, ville, være, godt, og, fint, å, ha, til, oppholdssted, ., Den, stakk, trynet, ned, i, gjørma, på, bunnen, og, sugde, seg, utørst, igjen, ,, og, da, ble, ikke, vannet, svart, lenger, ., 
, Det, kunne, nok, ikke, være, så, dårlig, til, grisemat, .]",ADV AUX PRON DET NOUN DET ADJ CCONJ ADJ NOUN PRON PART AUX VERB PART VERB PUNCT CCONJ SCONJ PRON VERB ADP DET NOUN PUNCT VERB PRON PRON AUX ADV ADJ PART VERB ADP DET ADJ PUNCT ADJ NOUN PUNCT SCONJ PRON PART AUX VERB PRON ADJ ADP NOUN ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB SCONJ PART VERB NOUN ADP DET NOUN PUNCT PUNCT VERB NOUN PUNCT CCONJ ADP DET DET VERB DET NOUN ADP ADP NOUN CCONJ VERB PRON ADJ CCONJ ADJ ADJ PUNCT SPACE ADV VERB PRON ADJ ADP NOUN CCONJ NOUN ADP NOUN CCONJ NOUN CCONJ VERB ADP ADP DET ADV ADJ NOUN PRON VERB ADV CCONJ VERB ADP NOUN CCONJ NOUN ADP NOUN PUNCT PUNCT PRON VERB ADV ADJ CCONJ ADJ ADP ADV PUNCT PUNCT VERB NOUN PUNCT CCONJ VERB PRON AUX AUX ADJ CCONJ ADJ PART VERB ADP NOUN PUNCT PRON VERB NOUN ADP ADP NOUN ADP NOUN CCONJ VERB PRON ADJ ADV PUNCT CCONJ ADV VERB PART NOUN ADJ ADJ PUNCT SPACE PRON AUX ADV PART AUX ADV ADJ ADP NOUN PUNCT,0.041820418204182044,0.385,181,813,0.6077348066298343,0.28909772826475894
"[Det, var, som, om, alt, var, snudd, på, hodet, ,, som, om, alt, hadde, skiftet, retning, i, et, slags, forrykende, ubalansert, tempo, ., 
, Sylvia, hadde, begynt, å, mumle, for, seg, seiv, ., Ordene, virket, meningsløse, ,, uten, sammenheng, med, noe, av, det, som, skjedde, rundt, henne, ., De, var, som, meningsløse, lydbolger, som, ble, kastet, frem, og, tilbake, mellom, et, fjernt, og, et, nært, øre, ,, som, rop, fra, en, fremmed, og, fra, en, som, var, fremmed, for, henne, ., 
, Hun, var, sikker, på, at, moren, og, faren, ikke, hadde, sett, henne, gå, ut, ;, der, var, ingen, som, hadde, sett, henne, ., Ikke, noen, ., 
, Sylvia, var, glad, for, at, hun, var, alene, ., Hun, hadde, bare, én, eneste, tanke, i, hodet, ;, å, være, alene, med, ensomheten, ., 
, Hun, satte, seg, på, trappen, foran, inngangen, og, ventet, ., Det, virket, som, en, evighet, ,, men, hun, forsto, snart, at, det, bare, gikk, noen, få, minutter, før, moren, kom, ut, av, huset, ., Hun, hadde, tydeligvis, hørt, henne, ., Hun, kom, raskt, inn, i, huset, ,, skrådde, over, gulvet, med, en, sigarett, i, hånden, ,]",PRON AUX ADP SCONJ PRON AUX VERB ADP NOUN PUNCT SCONJ SCONJ PRON AUX VERB NOUN ADP DET NOUN ADJ ADJ NOUN PUNCT SPACE PROPN AUX VERB PART VERB ADP PRON NOUN PUNCT NOUN VERB ADJ PUNCT ADP NOUN ADP DET ADP PRON PRON VERB ADP PRON PUNCT PRON AUX ADP ADJ NOUN PRON AUX VERB ADP CCONJ ADP ADP DET ADJ CCONJ DET ADJ NOUN PUNCT SCONJ NOUN ADP DET ADJ CCONJ ADP PRON PRON AUX ADJ ADP PRON PUNCT SPACE PRON AUX ADJ SCONJ SCONJ NOUN CCONJ NOUN PART AUX VERB PRON VERB ADP PUNCT ADV VERB PRON PRON AUX VERB PRON PUNCT PART PRON PUNCT SPACE PROPN AUX ADJ SCONJ SCONJ PRON AUX ADV PUNCT PRON VERB ADV NUM NUM NOUN ADP NOUN PUNCT PART AUX ADV ADP NOUN PUNCT SPACE PRON VERB PRON ADP NOUN ADP NOUN CCONJ VERB PUNCT PRON VERB SCONJ DET NOUN PUNCT CCONJ PRON VERB ADJ SCONJ PRON ADV VERB DET ADJ NOUN SCONJ NOUN VERB ADP ADP NOUN PUNCT PRON AUX ADV VERB PRON PUNCT PRON VERB ADJ ADP ADP NOUN PUNCT VERB ADP NOUN ADP DET NOUN SCONJ NOUN PUNCT,0.03981797497155859,0.38349397590361434,190,879,0.6210526315789474,0.3651083549902649
"[Det, er, ikkje, mange, som, får, så, mykje, hjelp, som, dei, treng, ., Det, er, mange, som, får, så, mykje, hjelp, som, dei, treng, ., Det, er, fleire, som, får, så, mykje, hjelp, som, dei, treng, ., Det, er, ikkje, mange, som, får, så, mykje, hjelp, som, dei, treng, ., Det, er, mange, som, får, så, mykje, hjelp, som, dei, treng, ., Det, er, fleire, som, får, så, mykje, hjelp, som, dei, treng, ., 
, Å, ,, eg, er, så, sliten, !, For, kvar, einaste, natt, søv, eg, i, ni, timar, ., Søvn, er, den, beste, søvnen, ., Søvn, er, den, beste, søvnen, ., Søvn, er, den, beste, søvnen, ., 
, Han, blei, så, lei, seg, at, han, begynte, å, grina, ., For, kvar, einaste, dag, grin, han, så, høgt, at, alle, høyrer, han, ., For, kvar, einaste, dag, grin, han, så, høgt, at, alle, høyrer, han, ., For, kvar, einaste, dag, grin, han, så, høgt, at, alle, høyrer, han, ., 
, For, dei, som, må, arbeida, nesten, heile, døgnet, og, sover, berre, i, elleve, minutt, ,, er, det, ikkje, lett, å, halda, ut, med, å, måtta, arbeida, nesten, halve]",PRON VERB ADV ADJ PRON VERB ADV ADJ NOUN PRON X X PUNCT PRON VERB ADJ PRON VERB ADV ADJ NOUN PRON X X PUNCT PRON AUX ADJ PRON VERB ADV ADJ NOUN PRON X X PUNCT PRON VERB ADV ADJ PRON VERB ADV ADJ NOUN PRON X X PUNCT PRON VERB ADJ PRON VERB ADV ADJ NOUN PRON X X PUNCT PRON AUX ADJ PRON VERB ADV ADJ NOUN PRON X X PUNCT SPACE PART PUNCT PROPN AUX ADV ADJ PUNCT ADP X ADJ NOUN X X ADP NUM NOUN PUNCT NOUN AUX DET ADJ NOUN PUNCT NOUN AUX DET ADJ NOUN PUNCT NOUN AUX DET ADJ NOUN PUNCT SPACE PRON VERB ADV ADJ PRON SCONJ PRON VERB PART NOUN PUNCT ADP X PROPN NOUN VERB PRON ADV ADJ SCONJ DET VERB PRON PUNCT ADP X PROPN NOUN VERB PRON ADV ADJ SCONJ DET VERB PRON PUNCT ADP X PROPN NOUN VERB PRON ADV ADJ SCONJ DET VERB PRON PUNCT SPACE ADP NOUN PRON AUX NOUN ADV ADJ NOUN CCONJ VERB ADV ADP NUM NOUN PUNCT AUX PRON ADV ADJ PART VERB ADP SCONJ PART NOUN PRON ADV ADJ,0.04059040590405904,0.38502617801047073,190,813,0.6631578947368421,0.23718553612006094
"[Kor, mange, prosent, av, røystene, fekk, Arbeidarpartiet, ved, stortingsvalet, i, 1936, ?, 
, Når, vi, skal, finne, ut, kor, mange, prosent, noko, er, av, noko, anna, ,, er, det, ofte, greitt, å, ha, ein, formel, til, å, finne, prosenten, ., 
, Vi, set, då, først, opp, dette, uttrykket, :, 
, Legg, merke, til, at, når, vi, multipliserer, inn, i, parentesen, ,, må, vi, hugse, på, å, få, null, der, det, står, null, i, uttrykket, ., 
, Vi, kan, multiplisere, inn, i, parentesane, utan, å, flytte, dei, rundt, :, 
, Oppgåve, 3.51, Utfør, multiplikasjonen, 3, a, •, 4, a, -, ,, a, :, 
, b, ), 5, a, •, 4, b-2b, c, ), 
, b, ), 12, x, •, 5, y, -, 2, x, •, 3, y, c, ), 
, 12, a, 2, +, 12, a, -, 4, +, 2, a., 
, 12, a, 2, -, 4, a, 2, -, 0, 1, 3, ', 
, Når, du, multipliserer, inn, tala, i, parentesar, som, inneheld, x-uttrykk, ,, må, du, hugse, på, å, byte, ut, bokstavane, med, tal, ., 
, Oppgåve, 3.55, Multip]",ADV ADJ NOUN ADP NOUN VERB PROPN ADP NOUN ADP NUM PUNCT SPACE SCONJ PRON AUX VERB ADP ADV ADJ NOUN PROPN AUX ADP X X PUNCT VERB PRON ADJ ADJ PART VERB ADJ NOUN SCONJ PART VERB NOUN PUNCT SPACE PRON X X ADV ADP DET NOUN PUNCT SPACE VERB NOUN ADP SCONJ SCONJ PRON VERB ADP ADP NOUN PUNCT VERB PRON PROPN SCONJ PART VERB NUM SCONJ PRON VERB NUM ADP NOUN PUNCT SPACE PRON AUX VERB ADP ADP PROPN PROPN PART VERB NOUN ADP PUNCT SPACE PROPN NOUN VERB NOUN NUM ADJ PROPN NUM INTJ PUNCT PUNCT INTJ PUNCT SPACE NOUN PUNCT NUM ADJ PROPN NUM VERB PROPN PUNCT SPACE NOUN PUNCT NUM NOUN PROPN NUM NOUN PUNCT NUM NOUN PROPN NUM NOUN NOUN PUNCT SPACE NUM ADJ NUM PUNCT NUM ADJ PUNCT NUM PUNCT NUM PUNCT SPACE NUM ADJ NUM PUNCT NUM ADJ NUM PUNCT NUM NUM NUM PUNCT SPACE SCONJ PRON VERB ADP PROPN ADP PROPN PRON X NOUN PUNCT AUX PRON PROPN SCONJ PART VERB ADP NOUN ADP PROPN PUNCT SPACE PROPN NOUN PROPN,0.07525325615050651,0.3979750778816205,180,691,0.46111111111111114,0.18933591165294797
"[Det, er, veldig, sjelden, du, får, bruk, for, de, innfløkte, og, nesten, ubegrensede, mulighetene, som, ligger, i, programmets, grensesnitt, ., Det, kan, for, eksempel, tenkes, at, det, bare, er, behov, for, å, markere, en, tekstblokk, og, kopiere, den, til, en, annen, tekstblokk, ., Da, bruker, du, kommandoen, Copy, Special, ,, som, finnes, på, samme, menylinje, som, Edit-kommandoen, ., Når, du, har, markert, tekstblokken, du, vil, kopiere, ,, trykker, du, bare, Return, eller, velger, Copy, i, menyen, ., 
, Microsoft, Word, har, en, kommando, som, kan, være, til, stor, hjelp, for, mange, som, har, behov, for, å, bruke, en, tekstbehandler, uten, å, kjenne, til, de, mest, finurlige, funksjonene, ved, programmet, ., Ved, å, kombinere, verktøyene, fra, de, forskjellige, kommandoene, til, én, kommando, ,, får, du, det, hele, mye, mer, oversiktlig, ., Vi, sier, derfor, at, Microsoft, Word, er, et, «, dokumentbehandlingssystem, », ., 
, Den, aktuelle, kommandoen, heter, Document, Preferences, og, har, kommandostatusmenyen, som, eksempel, :, 
, Du, finner, også, Document, Preferences, under, Filer]",PRON AUX ADJ ADV PRON VERB NOUN ADP DET ADJ CCONJ ADV ADJ NOUN PRON VERB ADP NOUN NOUN PUNCT PRON AUX ADP NOUN VERB SCONJ PRON ADV AUX NOUN SCONJ PART VERB DET NOUN CCONJ VERB PRON ADP DET DET NOUN PUNCT ADV VERB PRON NOUN PROPN PROPN PUNCT PRON VERB ADP DET NOUN ADP NOUN PUNCT SCONJ PRON AUX VERB NOUN PRON AUX VERB PUNCT VERB PRON ADV PROPN CCONJ VERB PROPN ADP NOUN PUNCT SPACE PROPN PROPN VERB DET NOUN PRON AUX AUX SCONJ ADJ NOUN ADP ADJ PRON VERB NOUN SCONJ PART VERB DET NOUN SCONJ PART VERB ADP DET ADJ ADJ NOUN ADP NOUN PUNCT SCONJ PART VERB NOUN ADP DET ADJ NOUN ADP NUM NOUN PUNCT VERB PRON DET ADJ ADJ ADJ ADJ PUNCT PRON VERB ADV SCONJ PROPN PROPN AUX DET PUNCT ADJ PUNCT PUNCT SPACE DET ADJ NOUN VERB PROPN PROPN CCONJ VERB NOUN ADP NOUN PUNCT SPACE PRON VERB ADV PROPN PROPN ADP NOUN,0.04859611231101512,0.3946864310148233,163,926,0.5766871165644172,0.29951358162514374
