tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, av, ondskap, de, var, blitt, enige, om, å, dra, dit, ., De, ville, lete, etter, sin, tidligere, konge, og, overherre, ;, de, ville, finne, dem, og, kreve, retten, på, vegne, av, dem, alle, ., Den, tanken, fikk, dem, til, å, glemme, alt, annet, ., Det, ble, gjort, i, stand, til, ferden, ,, og, da, den, gamle, bonden, dro, med, sitt, følge, oppetter, de, endeløse, skråningene, igjen, ,, kom, det, en, ung, gjeter, ut, fra, de, dystre, skyggene, av, steinrøysene, med, en, lutrygget, hund, ved, siden, av, seg, ., 
, —, Sefiores, ,, sa, han, ., —, Sefior, Aristido, ,, vil, De, ha, følge, med, fire, sterke, gjetere, ,, så, var, snill, å, komme, til, min, hytte, når, denne, store, dagen, er, borte, ., 
, Han, som, var, eldst, ,, og, som, ble, kalt, Aristido, ,, sa, at, han, var, lei, for, ikke, å, få, med, seg, fader, Vieira, ,, men, da, sa, den, unge, bonden, at, han, ikke, var, prest, ,, men, hadde, tenkt, å, slå, lag, med, dem, likevel, så, snart, denne, store, dagen, var, vunn]",CCONJ PRON AUX PART ADV ADP NOUN PRON AUX VERB ADJ SCONJ PART VERB ADV PUNCT PRON AUX VERB ADP PRON ADJ NOUN CCONJ NOUN PUNCT PRON AUX VERB PRON CCONJ VERB NOUN ADP NOUN ADP PRON DET PUNCT DET NOUN VERB PRON SCONJ PART VERB DET DET PUNCT PRON AUX VERB SCONJ NOUN ADP NOUN PUNCT CCONJ SCONJ DET ADJ NOUN VERB ADP PRON NOUN PROPN DET ADJ NOUN ADV PUNCT VERB PRON DET ADJ NOUN ADP ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP NOUN ADP PRON PUNCT SPACE PUNCT NOUN PUNCT VERB PRON PUNCT PUNCT PROPN PROPN PUNCT AUX PRON VERB VERB ADP NUM ADJ NOUN PUNCT ADV AUX ADJ PART VERB ADP PRON NOUN SCONJ DET ADJ NOUN AUX ADP PUNCT SPACE PRON PRON AUX ADJ PUNCT CCONJ PRON AUX VERB PROPN PUNCT VERB SCONJ PRON AUX ADJ SCONJ PART PART VERB ADP PRON NOUN PROPN PUNCT CCONJ ADV VERB DET ADJ NOUN SCONJ PRON PART AUX NOUN PUNCT CCONJ AUX VERB PART VERB NOUN ADP PRON ADV ADV ADJ DET ADJ NOUN AUX NOUN,0.04305043050430504,0.36123036649214685,182,813,0.6318681318681318,0.4189938064685325
"[Det, var, ein, grå, ,, sur, novembermorgon, ., Det, var, kaldt, ., Eg, gjekk, og, hutra, langs, torget, til, meieriet, og, høyrde, korleis, folk, snakka, om, den, store, uversbya, som, nå, skulle, koma, ., Dei, hadde, høyrt, på, vermeldinga, at, uveret, skulle, koma, ved, middagstider, ., Eg, gjekk, og, glytta, på, gardinene, ,, og, kika, på, skyer, som, drog, bortover, himmelen, ., Eg, tenkte, på, alt, som, kunne, koma, til, å, henda, i, dag, og, om, me, kunne, nå, heim, til, middag, ., Eg, gjekk, der, og, tenkte, og, hugsa, ein, gong, me, var, ute, og, reiste, med, buss, og, ein, mann, hadde, køyrt, frå, oss, inn, i, ein, tunnel, og, ingen, hadde, reist, for, å, finna, att, mannen, ., Og, nå, trudde, eg, at, det, kanskje, skulle, henda, ein, gong, til, og, at, eg, skulle, verta, aleine, ute, i, ein, lang, tunnel, ., Men, kanskje, kunne, det, ikkje, henda, når, me, skulle, heim, til, middag, heller, ?, Det, kunne, ein, ikkje, vita, ., Ingen, kunne, seia, om, det]",PRON AUX X ADJ PUNCT ADJ NOUN PUNCT PRON AUX ADJ PUNCT PROPN PROPN CCONJ NOUN ADP NOUN ADP NOUN CCONJ X ADV NOUN VERB ADP DET ADJ NOUN PRON ADV AUX ADJ PUNCT NOUN VERB VERB ADP NOUN SCONJ NOUN AUX ADJ ADP NOUN PUNCT PROPN X CCONJ NOUN ADP NOUN PUNCT CCONJ NOUN ADP NOUN PRON VERB ADP NOUN PUNCT PROPN VERB ADP PRON PRON VERB ADJ SCONJ PART VERB ADP NOUN CCONJ ADP X X ADV ADP ADP NOUN PUNCT PROPN X ADV CCONJ VERB CCONJ X X X X AUX ADP CCONJ VERB ADP NOUN CCONJ X NOUN VERB VERB NUM PRON ADP ADP ADJ NOUN CCONJ PRON AUX VERB SCONJ PART VERB X NOUN PUNCT CCONJ ADV VERB PRON SCONJ PRON ADV AUX X X X ADP CCONJ SCONJ PRON X VERB ADV ADP ADP X ADJ NOUN PUNCT CCONJ ADV AUX PRON X X X X X X ADP NOUN ADV PUNCT PRON AUX X X X PUNCT PRON AUX VERB ADP PRON,0.04015056461731493,0.3666844919786108,169,797,0.650887573964497,0.3133342845054998
"[Det, var, så, vidt, begynt, å, lysne, av, dag, da, de, to, vennene, omsider, nådde, utkanten, av, den, store, byen, ., De, red, vestover, et, stykke, inntil, de, mente, at, de, var, så, nær, Battle, Mountains, skogkledde, skråninger, at, de, kunne, bli, kvitt, hestene, ,, så, snek, de, seg, fram, til, et, kratt, med, busker, som, lå, innenfor, hørevidde, fra, byen, ., Et, stykke, inne, i, krattet, grov, de, seg, ned, ., De, hadde, ikke, tent, varme, under, den, svarte, jorda, ,, for, de, regnet, med, at, røyken, ville, bli, sett, ., 
, Etter, en, stund, hørte, de, en, eller, annen, som, red, et., stykke, borte, ,, og, i, den, kjølige, ,, friske, demringstimen, ,, var, de, ikke, sene, med, å, komme, seg, i, dekning, i, krattet, for, de, to, mennene, ., De, begynte, å, snakke, sammen, ,, lavt, men, meget, tydelig, og, klart, ., —, Husker, du, den, gangen, vi, fikk, to, karer, til, å, bli, med, oss, vestover, fra, Paoli, og, begynte, med, kvegtyveriene, ?, begynte, den, ene, ., —, Jeg, glemmer, aldri, den, kvelden, jeg, sendte, bud]",PRON AUX ADV ADJ VERB PART VERB ADP NOUN SCONJ DET NUM NOUN ADV VERB NOUN ADP DET ADJ NOUN PUNCT PRON VERB ADP DET NOUN SCONJ PRON VERB SCONJ PRON AUX ADV ADJ PROPN PROPN ADJ NOUN SCONJ PRON AUX VERB VERB NOUN PUNCT ADV VERB PRON PRON ADP ADP DET NOUN ADP NOUN PRON VERB ADP NOUN ADP NOUN PUNCT DET NOUN ADP ADP NOUN ADJ PRON PRON ADP PUNCT PRON AUX PART VERB NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON VERB SCONJ SCONJ NOUN AUX AUX VERB PUNCT SPACE ADP DET NOUN VERB PRON DET CCONJ DET PRON VERB NOUN NOUN ADP PUNCT CCONJ ADP DET ADJ PUNCT ADJ NOUN PUNCT AUX PRON PART NOUN SCONJ PART VERB PRON ADP NOUN ADP NOUN ADP DET NUM NOUN PUNCT PRON VERB PART VERB ADV PUNCT ADJ CCONJ ADV ADJ CCONJ ADJ PUNCT PUNCT VERB PRON DET NOUN PRON VERB NUM NOUN SCONJ PART VERB ADP PRON ADP ADP PROPN CCONJ VERB ADP NOUN PUNCT VERB DET NUM PUNCT PUNCT PRON VERB ADV DET NOUN PRON VERB NOUN,0.04240282685512368,0.3634750000000008,180,849,0.5888888888888889,0.351297575835715
"[Ja, det, var, den, gangen, det, !, 
, Plutselig, begynner, han, å, le, så, han, holder, på, å, få, maten, i, vrangstrupen, ., Han, er, helt, tom, i, blikket, og, munnen, blir, stående, apen, ., 
, Lattertårene, renner, nedover, de, gamle, bleke, kinnene, hans, ., 
, Og, han, babler, i, vei, på, en, blanding, av, finsk, og, norsk, ., 
, Og, du, og, du, for, en, type, !, 
, Det, hadde, jeg, aldri, trodd, !, Jeg, har, aldri, sett, noen, med, så, lange, og, store, ører, !, 
, Det, må, være, det, eneste, ekstra, på, hele, fyren, !, 
, Han, er, en, ekte, langnese, !, 
, Og, så, er, det, den, brede, nesa, og, den, store, munnen, ., 
, Og, så, den, digre, haken, med, masse, skjeggstubb, ., 
, Nei, du, og, du, for, en, type, !, 
, Han, har, til, og, med, en, skikkelig, stor, munn, ., 
, Og, han, har, en, lang, hals, og, så, lange, hender, !, 
, Ser, du, der, nede, ,, i, halsen, hans, ?, Der, har, jeg, en, knappenål, !, 
, Moren, kommer, inn, og, legger, seg, opp, på, siden, av, han, på, divanen, og, følger, med, i, hva, han, holder, på, med, ., 
, Og]",INTJ PRON AUX DET NOUN PRON PUNCT SPACE ADJ VERB PRON PART VERB SCONJ PRON VERB SCONJ PART VERB NOUN ADP NOUN PUNCT PRON AUX ADJ ADJ ADP NOUN CCONJ NOUN VERB ADJ NOUN PUNCT SPACE NOUN VERB ADP DET ADJ ADJ NOUN PRON PUNCT SPACE CCONJ PRON VERB ADP NOUN ADP DET NOUN ADP NOUN CCONJ NOUN PUNCT SPACE CCONJ PRON CCONJ PRON ADP DET NOUN PUNCT SPACE PRON AUX PRON ADV VERB PUNCT PRON AUX ADV VERB PRON ADP ADV ADJ CCONJ ADJ NOUN PUNCT SPACE PRON AUX AUX DET NUM ADJ ADP ADJ NOUN PUNCT SPACE PRON AUX DET ADJ NOUN PUNCT SPACE CCONJ ADV AUX PRON DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT SPACE CCONJ VERB DET ADJ NOUN ADP ADJ NOUN PUNCT SPACE INTJ PRON CCONJ PRON ADP DET NOUN PUNCT SPACE PRON VERB ADP CCONJ ADP DET ADJ ADJ NOUN PUNCT SPACE CCONJ PRON VERB DET ADJ NOUN CCONJ ADV ADJ NOUN PUNCT SPACE VERB PRON ADV ADP PUNCT ADP NOUN PRON PUNCT ADV VERB PRON DET NOUN PUNCT SPACE NOUN VERB ADP CCONJ VERB PRON ADP ADP NOUN ADP PRON ADP NOUN CCONJ VERB ADP SCONJ PRON PRON VERB ADP ADP PUNCT SPACE CCONJ,0.048327137546468404,0.3855936675461738,202,807,0.6089108910891089,0.37600213524251375
"[Ja, det, er, sandt, De, blir, da, ikke, fornærmet, for, så, lidet, ,, sagde, hun, leende, ., 
, Jeg, blev, naturligvis, himmelglad, ., 
, De, satte, sig, på, en, bænk, ., Hun, holdt, hans, hånd, leende, i, sin, ,, og, jeg, så, på, hendes, fingre, ., Ingen, ring, ., Men, hvor, var, den, lille, guldsmed, lynsnart, fremme, og, nappe, rubinringen, fra, mig, ., 
, Men, den, var, ikke, til, Dem, ,, sagde, hun, ,, nej, ,, det, er, en, til, mig, ,, til, min, moder, ,, som, jeg, må, skjule, ,, ellers, dør, hun, ., De, holder, den, smukt, ?, 
, Jeg, takker, Dem, ,, men, behold, den, ,, jeg, har, så, mange, ., Jeg, skal, aldrig, bede, Dem, om, nogen, igen, ., 
, til, mig, ., Herregud, og, så, være, så, gammel, og, ikke, have, det, fjælge, og, hyggeligt, på, al, vis, !, Jeg, kom, ikke, til, at, svare, noget, på, dette, fordi, det, gik, op, for, mig, tilsidst, at, hun, havde, vist, mig, til, den, unge, maler, ., 
, Ja, ., Jeg, husker, ingenting, mere, ., Jeg, spiser, aldrig, mere, ., 
, Jeg, vidste, det, !, sagde, hun, taknemmelig, ., Og, jeg, glemte, det, !, Jeg, har, ingen, sm]",INTJ PRON AUX PROPN PRON VERB ADV PART ADJ ADP ADV NOUN PUNCT VERB PRON ADJ PUNCT SPACE PRON VERB ADV NOUN PUNCT SPACE PRON VERB ADV ADP DET NOUN PUNCT PRON VERB PRON NOUN ADJ ADP PRON PUNCT CCONJ PRON VERB ADP NOUN NOUN PUNCT DET NOUN PUNCT CCONJ ADV AUX DET ADJ NOUN NOUN ADJ CCONJ VERB NOUN ADP X PUNCT SPACE CCONJ PRON AUX PART ADP PROPN PUNCT VERB PRON PUNCT NOUN PUNCT PRON AUX DET ADP NOUN PUNCT ADP PRON NOUN PUNCT PRON PRON AUX VERB PUNCT ADV VERB PRON PUNCT PRON VERB PRON ADJ PUNCT SPACE PRON VERB NOUN PUNCT CCONJ VERB PRON PUNCT PRON VERB ADV ADJ PUNCT PRON AUX ADJ VERB PRON ADP PROPN PROPN PUNCT SPACE ADP PROPN PUNCT INTJ CCONJ ADV AUX ADV ADJ CCONJ PART VERB DET NOUN CCONJ NOUN ADP ADJ NOUN PUNCT PRON VERB PART SCONJ SCONJ VERB PROPN ADP PRON SCONJ PRON VERB X ADP ADV VERB SCONJ PRON AUX VERB X ADP DET ADJ NOUN PUNCT SPACE INTJ PUNCT PRON VERB PRON ADJ PUNCT PRON VERB ADV ADJ PUNCT SPACE PRON VERB PRON PUNCT VERB PRON ADJ PUNCT CCONJ PRON VERB PRON PUNCT PRON VERB DET NOUN,0.04290822407628129,0.38921518987341724,201,839,0.5024875621890548,0.26090808395571974
"[Så, var, det, atter, ein, gong, ,, sa, eg, ,, og, det, var, denne, same, sure, vinden, :, Ein, ting, er, i, alle, fall, sikkert, ,, og, det, er, at, det, blir, ikkje, lettare, å, vera, menneske, før, det, blir, lettare, å, døy, ., 
, Eg, kika, utover, borda, ,, dei, var, tomme, ,, og, vi, sat, att, med, ein, ny, kaffikopp, ,, men, eg, ville, ikkje, ha, noko, kaffi, ., Eg, sat, med, hendene, klemde, rundt, kaffikruset, ,, som, om, det, var, ei, slags, livbøye, ,, men, denne, kaffien, som, eg, liksom, skulle, svelgje, ned, ,, den, kom, opp, att, av, seg, sjølv, ., 
, Difor, bestemte, eg, meg, ., Eg, ville, reise, til, fjells, ., Eg, tenkte, meg, til, fjells, ,, om, det, så, var, så, langt, at, det, tok, heile, natta, ,, sa, eg., Men, først, måtte, eg, ta, turen, til, legen, ,, for, legen, skulle, undersøke, pila, i, kneet, mitt, ,, og, pila, kom, av, at, ein, stor, stein, hadde, treft, meg, i, kneet, så, det, var, blitt, eit, sår, ,, men, denne, steinen, kunne, eg, ikkje, hugse, ,, og, eg]",ADV VERB PRON ADV X X PUNCT VERB X PUNCT CCONJ PRON AUX DET ADJ ADJ NOUN PUNCT ADJ NOUN AUX ADP DET NOUN ADJ PUNCT CCONJ PRON AUX SCONJ PRON VERB X X PART VERB NOUN SCONJ PRON VERB ADJ PART VERB PUNCT SPACE PROPN PROPN ADP NOUN PUNCT PROPN AUX ADJ PUNCT CCONJ PRON X X ADP X ADJ NOUN PUNCT CCONJ PRON X X VERB X NOUN PUNCT PROPN PROPN ADP NOUN PROPN ADP NOUN PUNCT ADP SCONJ PRON VERB DET NOUN NOUN PUNCT CCONJ DET NOUN PRON X ADV AUX NOUN ADP PUNCT PRON VERB ADP NOUN ADP PRON DET PUNCT SPACE ADV VERB PRON PRON PUNCT PROPN AUX VERB ADP NOUN PUNCT PROPN VERB PRON ADP NOUN PUNCT SCONJ PRON ADV AUX ADV ADJ SCONJ PRON VERB ADJ NOUN PUNCT VERB ADV CCONJ ADV AUX PRON VERB NOUN ADP NOUN PUNCT CCONJ NOUN AUX VERB NOUN ADP NOUN PRON PUNCT CCONJ NOUN VERB SCONJ SCONJ ADJ ADJ NOUN VERB NOUN PRON ADP NOUN SCONJ PRON AUX VERB DET NOUN PUNCT CCONJ DET NOUN X X X X PUNCT CCONJ X,0.04040404040404041,0.36796769851951583,185,792,0.654054054054054,0.41014593073364863
"[Det, var, som, sagt, vinter, ,, og, de, hadde, hatt, en, temmelig, hard, tid, ., De, hadde, mistet, det, meste, av, sin, buskap, ., Folk, hadde, vært, redde, for, buskapen, deres, ,, det, hadde, blitt, snakket, mye, om, det, ., Det, var, derfor, med, sorg, og, engstelse, at, de, i, en, av, bygdene, hørte, at, det, også, var, blitt, borte, noen, i, denne, bygden, ., 
, Folk, var, nå, engang, slik, at, når, det, hendte, ett, eller, annet, ,, så, måtte, det, straks, meldes, til, lensmannen, ., Og, så, ble, da, Per, anmeldt, og, anklaget, for, at, det, var, han, som, hadde, stjålet, den, store, buskapen, som, var, blitt, borte, ., Lensmannen, reiste, straks, av, sted, til, Stornes, ., 
, Den, dagen, kom, Per, tidligere, heim, fra, skogen, enn, han, pleide, ,, men, det, gikk, en, times, tid, ,, så, kom, også, Ola, heim, og, Per, gikk, og, hørte, og, fulgte, med, de, to, som, kom, ., Lensmannen, hadde, fortalt, dem, så, nøye, hvor, de, i, detalj, skulle, se, etter, ., 
, «, Hva, tror, du, ?, », sa, Ola, ., «, Jeg, er, ikke, så, sikker, på, at, det, er, han, Per, Stornes, ., 
, «, Men, jeg, synes]",PRON AUX SCONJ VERB NOUN PUNCT CCONJ PRON AUX VERB DET ADV ADJ NOUN PUNCT PRON AUX VERB DET ADJ ADP PRON NOUN PUNCT NOUN AUX AUX ADJ ADP NOUN PRON PUNCT PRON AUX AUX VERB ADJ ADP PRON PUNCT PRON AUX ADV ADP NOUN CCONJ NOUN SCONJ PRON ADP DET ADP NOUN VERB SCONJ PRON ADV AUX VERB ADP PRON ADP DET NOUN PUNCT SPACE NOUN AUX ADV ADV ADV SCONJ SCONJ PRON VERB NUM CCONJ DET PUNCT ADV AUX PRON ADV VERB ADP NOUN PUNCT CCONJ ADV AUX ADV PROPN VERB CCONJ VERB SCONJ SCONJ PRON AUX PRON PRON AUX VERB DET ADJ NOUN PRON AUX VERB ADP PUNCT NOUN VERB ADV ADP NOUN ADP PROPN PUNCT SPACE DET NOUN VERB PROPN ADJ ADP ADP NOUN SCONJ PRON VERB PUNCT CCONJ PRON VERB DET NOUN NOUN PUNCT ADV VERB ADV PROPN ADP CCONJ PROPN VERB CCONJ VERB CCONJ VERB ADP DET NUM PRON VERB PUNCT NOUN AUX VERB PRON ADV ADJ ADV PRON ADP NOUN AUX VERB ADP PUNCT SPACE PUNCT PRON VERB PRON PUNCT PUNCT VERB PROPN PUNCT PUNCT PRON AUX PART ADV ADJ SCONJ SCONJ PRON AUX PRON PROPN PROPN PUNCT SPACE PUNCT CCONJ PRON VERB,0.04555808656036447,0.3705669481302785,200,878,0.65,0.4641019103788275
"[Det, er, ikkje, langt, frå, Kaprifolgata, 10, til, huset, på, Katten, ,, men, den, store, kvite, tomannsbustaden, står, der, som, ein, mur, mellom, oss, ., Det, gjer, ikkje, noko, når, mor, mi, og, mor, til, Rita, ligg, oppe, i, loftsetasjen, og, søv, ., Då, er, det, lett, å, snika, seg, fram, og, tilbake, på, den, smale, stigen, til, kjellardøra, ., Det, er, verre, når, Lul, og, Gullet, ligg, og, er, lys, vakne, ., Då, seier, mor, mi, at, eg, må, vera, stille, ., -, Det, nyttar, ikkje, om, både, du, og, Rita, står, og, kiker, på, meg, akkurat, frå, same, staden, ,, seier, ho, ., 
, Eg, har, ikkje, det, minste, lyst, tl, å, sjå, Rita, heller, ., Eg, skal, aldri, prøva, å, komma, på, besøk, der, ., Det, er, heilt, sikkert, ., Men, eg, har, vore, der, !, I, kjellaren, i, Kaprifolgata, 10., 
, Det, var, ein, heilt, vanleg, ettermiddag, ., Det, var, begynt, å, bli, mørkt, ute, ., Men, me, kunne, sjå, lysa, frå, alle, husa, rundt, omkring, ,, og, himmelen, var, heilt]",PRON AUX ADV ADJ SYM PROPN NUM ADP NOUN ADP NOUN PUNCT CCONJ DET ADJ ADJ NOUN VERB ADV ADP X NOUN ADP PRON PUNCT PRON X X X SCONJ NOUN PRON CCONJ NOUN ADP PROPN NOUN ADP ADP NOUN CCONJ ADP PUNCT NOUN AUX PRON ADJ PART VERB PRON ADP CCONJ ADP ADP DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADJ SCONJ PROPN CCONJ PROPN VERB CCONJ VERB NOUN PROPN PUNCT ADJ NOUN NOUN PRON SCONJ X AUX X NOUN PUNCT PUNCT PRON X X ADP CCONJ PRON CCONJ PROPN VERB CCONJ NOUN ADP PRON ADV X X NOUN PUNCT NOUN NOUN PUNCT SPACE PROPN VERB X DET ADJ NOUN NOUN PART VERB PROPN ADV PUNCT PROPN AUX ADV VERB PART VERB ADP NOUN ADV PUNCT PRON AUX ADJ ADJ PUNCT CCONJ PRON AUX X ADV PUNCT ADP NOUN ADP PROPN ADJ SPACE PRON AUX X X X NOUN PUNCT PRON AUX VERB PART VERB ADJ ADP PUNCT CCONJ X X VERB PROPN PROPN DET NOUN ADP ADP PUNCT CCONJ NOUN AUX ADJ,0.04980842911877394,0.39825613079019173,175,783,0.6514285714285715,0.341701130351658
"[Kor, mange, prosent, er, det, i, vegen, ?, 
, Nei, ,, ho, skulle, ikkje, tru, noko, på, det, ., Kor, mange, prosent, er, ho, på, veg, ?, 
, Grete, :, Femti, prosent, ., 
, ELINE, :, Eg, er, femti, prosent, på, veg, !, Femti, prosent, ., Det, er, sant, !, 
, Eline, :, No, skal, vi, sjå, ,, ja, ., I, dag, er, eg, femti, prosent, på, veg, ., Føler, meg, ikkje, så, veldig, sprek, ,, altså, ., 
, GRETE, :, Har, du, følt, deg, så, skral, før, ?, Ho, Eline, har, vore, med, om, det, før, ., 
, Eline, :, Skral, og, skral, ..., 
, ELINE, :, Ja, ,, det, var, ei, anna, som, skulle, ha, deg, i, dag, ., Ho, er, i, grunnen, litt, misunneleg, på, meg, no, når, mor, har, gått, i, vranglås, ., 
, GRETE, :, Ja, ,, det, var, nok, ei, som, ikkje, likte, at, Eline, fekk, jobben, ., 
, Eline, :, Du, er, litt, av, ei, greie, ,, du, Grete, !, 
, GRETE, :, Ja, ,, eg, er, litt, av, ei, greie, til, å, jobbe, ., 
, noko, eg, alltid, har, hatt, lyst, til, ..., 
, det, berre, skulle, kome, ein, slik, ein, som]",ADV ADJ NOUN AUX PRON ADP NOUN PUNCT SPACE INTJ PUNCT NOUN X X X X ADP PRON PUNCT ADV ADJ NOUN AUX NOUN ADP NOUN PUNCT SPACE PROPN PUNCT ADJ NOUN PUNCT SPACE NOUN PUNCT PROPN AUX NUM NOUN ADP NOUN PUNCT ADJ NOUN PUNCT PRON AUX ADJ PUNCT SPACE PROPN PUNCT PROPN AUX PRON VERB PUNCT INTJ PUNCT ADP NOUN AUX PRON NUM NOUN ADP NOUN PUNCT VERB PRON X ADV ADJ ADJ PUNCT ADV PUNCT SPACE NOUN PUNCT AUX PRON VERB PRON ADV ADJ ADP PUNCT INTJ PROPN AUX VERB ADP SCONJ PRON ADP PUNCT SPACE PROPN PUNCT PROPN CCONJ ADJ PUNCT SPACE NOUN PUNCT INTJ PUNCT PRON VERB DET PROPN PRON AUX VERB PRON ADP NOUN PUNCT PROPN AUX ADP NOUN ADJ NOUN ADP PRON X SCONJ NOUN AUX VERB ADP PROPN PUNCT SPACE PROPN PUNCT INTJ PUNCT PRON VERB ADV DET PRON X VERB SCONJ PROPN VERB NOUN PUNCT SPACE PROPN PUNCT PRON AUX ADJ ADP DET NOUN PUNCT PRON PROPN PUNCT SPACE PROPN PUNCT INTJ PUNCT X AUX ADJ ADP DET NOUN SCONJ PART VERB PUNCT SPACE X X ADV AUX VERB NOUN ADP PUNCT SPACE DET ADV AUX X X X X PRON,0.058503401360544216,0.4388629737609327,200,735,0.545,0.3330923992518858
"[Det, er, veldig, populært, med, bier, nå, for, tiden, ., Men, jeg, syns, det, er, litt, juks, å, ha, så, mange, bikuber, uten, at, biene, er, noe, spesielt, aktive, ,, så, jeg, valgte, et, prosjekt, som, går, helt, motsatt, vei, ., Jeg, vil, ha, så, lite, hjelp, fra, bikubene, som, mulig, og, har, til, og, med, laget, noen, egne, kuben, Jeg, tenkte, som, så, at, hvis, man, går, sammen, og, arbeider, mot, et, bestemt, mål, ,, hva, kan, da, være, bedre, å, benytte, seg, av, den, fantastiske, honningen, som, biene, lager, ,, enn, å, lage, sin, egen, ?, 
, De, aller, fleste, kjøper, honningen, sin, på, butikken, ,, som, man, tar, rett, fra, en, kube, ., Men, for, min, egen, selvrespekts, skyld, ,, valgte, jeg, å, lage, min, egen, honning, ., Man, tar, honningen, fra, en, kube, ,, tar, av, det, som, er, av, honning, på, toppen, av, kuba, og, heller, den, opp, i, et, glass, ., Så, fyller, man, på, så, mye, sukker, som, man, vil, ha, og, rister, godt, til, det, blir, en, klump, av, det, ., Så, er, det, bare, å, vente, noen, dager, og, se]",PRON AUX ADJ ADJ ADP NOUN ADV ADP NOUN PUNCT CCONJ PRON VERB PRON AUX ADJ NOUN PART VERB ADV ADJ NOUN SCONJ SCONJ NOUN AUX DET ADJ ADJ PUNCT CCONJ PRON VERB DET NOUN PRON VERB ADJ ADJ NOUN PUNCT PRON AUX VERB ADV ADJ NOUN ADP NOUN ADP ADJ CCONJ VERB ADP CCONJ ADP NOUN DET DET NOUN PRON VERB PRON VERB SCONJ SCONJ PRON VERB ADV CCONJ VERB ADP DET ADJ NOUN PUNCT PRON AUX ADV AUX ADJ PART VERB PRON ADP DET ADJ NOUN PRON NOUN VERB PUNCT ADP PART VERB PRON DET PUNCT SPACE DET ADV ADJ VERB NOUN PRON ADP NOUN PUNCT PRON PRON VERB NOUN ADP DET NOUN PUNCT CCONJ ADP PRON DET ADJ NOUN PUNCT VERB PRON PART VERB PRON DET NOUN PUNCT PRON VERB NOUN ADP DET NOUN PUNCT VERB ADP PRON PRON VERB ADP NOUN ADP NOUN ADP NOUN CCONJ ADV PRON ADP ADP DET NOUN PUNCT ADV VERB PRON ADP ADV ADJ VERB PRON PRON AUX VERB CCONJ VERB ADJ ADP PRON VERB DET NOUN ADP PRON PUNCT ADV AUX PRON ADV PART VERB DET NOUN CCONJ VERB,0.03914590747330961,0.38171284634760666,189,843,0.6772486772486772,0.31455824745492544
