tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, varte, ikke, lenger, enn, i, et, drøyt, minutt, ., Med, 1-8, på, tavla, sto, det, klart, og, tydelig, at, vi, hadde, tapt, ,, men, i, stedet, for, å, fortvile, ,, tok, gutta, ansvar, for, å, snu, kampen, ., Først, fikk, Mats, en, gylden, mulighet, fra, 20, meter, ., Skuddet, gikk, via, målvakten, slik, at, en, FBK-spiller, kunne, sette, returen, i, nettmaskene, ., Deretter, reduserte, Anders, etter, et, herlig, gjennomspill, fra, Markus, ., Vi, hadde, flere, gode, muligheter, til, å, utligne, ., Etter, hvert, som, tiden, gikk, ble, presset, fra, FBK, større, ,, og, med, kun, to, ordinære, minutters, omganger, var, det, naturlig, å, gå, til, pause, med, 1-12, til, de, røde, ,, vakre, på, tribunen, ., 
, I, andre, omgang, var, gutta, fast, bestemt, på, å, komme, sterkt, tilbake, ., Fra, første, spark, på, ballen, jobbet, de, sammen, om, å, få, kontroll, på, kampen, ., Anders, var, frempå, igjen, og, sendte, et, nytt, langskudd, som, gikk, i, mål, ., Med, 2-12, til, oss, på, tavla, og, en, enorm, støtte, på, tribunen, var, det, vanskelig, å, ikke, la, seg, rive, med, ., Men]",CCONJ PRON VERB PART ADJ ADP ADP DET ADJ NOUN PUNCT ADP PROPN ADP NOUN VERB PRON ADJ CCONJ ADJ SCONJ PRON AUX VERB PUNCT CCONJ ADP NOUN SCONJ PART VERB PUNCT VERB NOUN NOUN SCONJ PART VERB NOUN PUNCT ADV VERB PROPN DET ADJ NOUN ADP NUM NOUN PUNCT NOUN VERB ADP NOUN ADV SCONJ DET NOUN AUX VERB NOUN ADP NOUN PUNCT ADV VERB PROPN ADP DET ADJ NOUN ADP PROPN PUNCT PRON VERB ADJ ADJ NOUN SCONJ PART VERB PUNCT ADP DET PRON NOUN VERB AUX VERB ADP PROPN ADJ PUNCT CCONJ ADP ADV NUM ADJ NOUN NOUN AUX PRON ADJ PART VERB ADP NOUN ADP PROPN ADP DET ADJ PUNCT ADJ ADP NOUN PUNCT SPACE ADP ADJ NOUN AUX NOUN ADJ ADJ SCONJ PART VERB ADJ ADP PUNCT ADP ADJ NOUN ADP NOUN VERB PRON ADV SCONJ PART VERB NOUN ADP NOUN PUNCT PROPN AUX ADP ADV CCONJ VERB DET ADJ NOUN PRON VERB ADP NOUN PUNCT ADP PROPN ADP PRON ADP NOUN CCONJ DET ADJ NOUN ADP NOUN AUX PRON ADJ PART PART VERB PRON VERB ADP PUNCT CCONJ,0.04793756967670011,0.40021226415094324,184,897,0.5760869565217391,0.30249118569349526
"[Det, var, ein, gong, ein, kar, som, hadde, ein, hest, ., Hesten, heitte, Trampe, ,, og, trampa, framleis, rundt, på, tunet, ., Men, ein, dag, vart, Trampe, borte, ,, og, ingen, visste, kvar, han, hadde, teke, vegen, ., Medan, han, var, borte, hadde, andre, hestar, fått, overta, jobben, med, å, trampe, rundt, ,, og, Trampe, hadde, ingen, jobb, lenger, ., 
, Det, enda, med, at, eit, av, dei, andre, dyra, prøvde, å, ta, over, arbeidet, ,, med, det, resultat, at, begge, dyra, byrja, trampe, rundt, samstundes, ., 
, Det, byrja, å, bli, vanskeleg, for, både, hestar, og, menneske, å, samarbeide, om, trampinga, ., Ingen, skjønte, korleis, dei, skulle, drive, arbeidet, framover, ,, og, til, slutt, sådde, dei, eit, heilt, ny, hest, ,, som, vart, heitande, Trampoline, ., 
, Om, denne, nye, hesten, er, det, sagt, at, han, vart, så, god, til, å, trampe, at, han, hoppa, heilt, opp, til, månen, ., Det, er, kanskje, ikkje, det, raraste, ved, han, ,, men, det, er, uansett, Trampoline, som, er, den, eigentlege, helten, i, denne, leg]",PRON AUX X X X NOUN PRON VERB ADJ NOUN PUNCT NOUN VERB PROPN PUNCT CCONJ VERB ADJ ADP ADP NOUN PUNCT CCONJ ADJ NOUN VERB PROPN ADP PUNCT CCONJ PRON VERB X PRON VERB VERB NOUN PUNCT ADV PRON AUX ADP AUX DET NOUN AUX VERB NOUN SCONJ PART VERB ADP PUNCT CCONJ PROPN VERB DET NOUN ADJ PUNCT SPACE PRON ADV SCONJ SCONJ NOUN ADP DET DET NOUN VERB PART VERB ADP NOUN PUNCT ADP DET NOUN SCONJ DET NOUN PROPN VERB ADP NOUN PUNCT SPACE DET PROPN PART VERB ADJ ADP CCONJ PROPN CCONJ NOUN PART VERB ADP NOUN PUNCT PRON VERB PROPN PROPN AUX VERB NOUN ADP PUNCT CCONJ ADP NOUN VERB X X X ADJ NOUN PUNCT PRON VERB ADJ PROPN PUNCT SPACE ADP DET ADJ NOUN AUX PRON VERB SCONJ PRON VERB ADV ADJ SCONJ PART VERB SCONJ PRON VERB NOUN ADP ADP NOUN PUNCT PRON AUX ADV X DET ADJ ADP PRON PUNCT CCONJ PRON AUX ADP PROPN PRON AUX DET PROPN NOUN ADP DET NOUN,0.03942652329749104,0.3673604060913708,173,837,0.630057803468208,0.2813723704359281
"[Det, var, så, langt, tilbake, som, i, 2015, at, den, nå, dømte, mannen, ble, tatt, i, billettkontroll, ., Selv, hevdet, han, at, han, ikke, visste, at, man, ble, avkrevd, kontrollavgiften, om, man, ikke, kjøpte, billett, i, den, automaten, man, sto, ved, ,, og, nektet, derfor, å, sende, inn, kontrollseddel, ., Da, fikk, han, først, et, forelegg, for, å, ha, nektet, å, betale, kontrollgebyret, ., Dette, mente, han, var, for, strengt, ,, og, nektet, derfor, å, betale, dette, også, ., Dermed, ble, det, tatt, ut, tiltale, ., I, 2018, kom, politiet, igjen, tilbake, ,, og, han, måtte, betale, gebyret, ., Mannen, nektet, for, å, ha, kjennskap, til, reglementet, ,, og, for, ikke, å, ha, opplyst, at, han, ikke, hadde, gyldig, billett, i, billettautomaten, under, kontrollen, ., Han, erkjente, ikke, straffskyld, for, noen, av, punktene, ,, og, viste, til, at, han, for, kort, tid, siden, hadde, lest, en, artikkel, fra, en, nettavis, der, det, sto, at, man, ikke, skal, betale, kontrollgebyr, ved, billettkontroller, ,, og, at, artikkelen, refererte, til, en, endring, som, hadde, trådt, i, kraft, dagen, før, denne, kontrollen, ., Han, hevdet, også, at, han, ikke]",PRON AUX ADV ADJ ADP PRON ADP NUM SCONJ PRON ADV VERB NOUN AUX VERB ADP NOUN PUNCT ADV VERB PRON SCONJ PRON PART VERB SCONJ PRON AUX VERB NOUN SCONJ PRON PART VERB NOUN ADP DET NOUN PRON VERB ADP PUNCT CCONJ VERB ADV PART VERB ADP NOUN PUNCT ADV VERB PRON ADV DET NOUN SCONJ PART AUX VERB PART VERB NOUN PUNCT PRON VERB PRON AUX ADV ADJ PUNCT CCONJ VERB ADV PART VERB PRON ADV PUNCT ADV AUX PRON VERB ADP NOUN PUNCT ADP NUM VERB NOUN ADV ADP PUNCT CCONJ PRON AUX VERB NOUN PUNCT NOUN VERB SCONJ PART VERB NOUN ADP NOUN PUNCT CCONJ ADP PART PART AUX VERB SCONJ PRON PART VERB ADJ NOUN ADP NOUN ADP NOUN PUNCT PRON VERB PART NOUN ADP DET ADP NOUN PUNCT CCONJ VERB SCONJ SCONJ PRON ADP ADJ NOUN ADV AUX VERB DET NOUN ADP DET NOUN SCONJ PRON VERB SCONJ PRON PART AUX VERB NOUN ADP NOUN PUNCT CCONJ SCONJ NOUN VERB ADP DET NOUN PRON AUX VERB ADP NOUN NOUN ADP DET NOUN PUNCT PRON VERB ADV SCONJ PRON PART,0.03722854188210962,0.35342047930282977,185,967,0.6378378378378379,0.268273044481922
"[Ja, det, var, verkligen, synd, ,, har, jag, hört, !, 
, Jag, hade, velat, ha, en, bild, av, en, flikad, halsduk, från, början, men, det, har, jag, inte, ,, det, står, nämligen, i, de, gamla, lapidarierna, att, den, första, varianten, sågs, som, "", fullbordad, "", ,, men, det, är, ju, svårt, att, vara, säker, på, det, ,, det, kan, ju, ha, funnits, variationer, också, ., Jag, kan, bara, jämföra, med, moderna, varianten, jag, har, på, bilden, ovan, ., Jag, vet, inte, riktigt, men, jag, tror, den, är, mer, som, den, ser, ut, nu, med, lite, av, det, gamla, som, jag, har, klippt, bort, ., 
, 24, januari, 2011, 13:44:00, CET, 
, Synd, att, det, inte, går, att, spara, filerna, större, än, 800x800, pixlar, så, att, man, kan, ladda, upp, dem, till, bloggen, ., Fast, man, kanske, skulle, börja, göra, egna, mönster, om, man, inte, har, mer, tid, och, ork, att, göra, dem, i, datorn, ., 
, 24, januari, 2011, 16:37:00, CET, 
, Tack, !, Det, var, verkligen, synd, ., Jag, är, medveten, om]",INTJ PRON AUX NOUN NOUN PUNCT AUX X X PUNCT SPACE X X NOUN VERB DET NOUN ADP DET NOUN X X PROPN CCONJ PRON AUX X NOUN PUNCT PRON VERB NOUN ADP DET PROPN X X X X NOUN PROPN ADP PUNCT NOUN PUNCT PUNCT CCONJ X X X X X X NOUN ADP PRON PUNCT PRON AUX NOUN VERB PROPN NOUN NOUN PUNCT X X X PROPN ADP ADJ NOUN X AUX ADP NOUN PROPN PUNCT X X X ADJ CCONJ X VERB X X ADJ PRON PRON VERB ADP ADV ADP ADJ ADP DET X X X AUX VERB ADP PUNCT SPACE NUM NOUN NUM PROPN PROPN SPACE NOUN X X X X X PROPN PROPN X ADP DET NOUN ADV X PRON AUX X X X X NOUN PUNCT ADJ PRON ADJ AUX NOUN PROPN X NOUN ADP PRON VERB VERB ADJ NOUN X X X X PRON ADP PROPN PUNCT SPACE NUM NOUN NUM NOUN PROPN SPACE PROPN PUNCT PRON AUX NOUN NOUN PUNCT X X NOUN ADP,0.060836501901140684,0.4047297297297304,173,789,0.3872832369942196,0.09775038397110061
"[Ja, det, er, jeg, bestemt, !, Og, det, vil, jeg, virkelig, arbejde, for, i, fremtiden, ,, ved, ikke, at, tage, tingene, så, tungt, ., Det, bedste, er, jo, som, bekendt, at, lade, være, med, at, bekymre, sig, for, meget, om, ting, man, ikke, kan, lave, om, på, ., Og, så, leve, livet, som, det, kommer, 🙂, 
, Tak, for, en, god, blog, som, jeg, nyder, at, følge, med, i, 🙂, 
, Jeg, er, helt, enig, med, dig, i, ,, at, en, depression, ikke, betyder, at, man, er, “, kold, ”, ,, “, svag, ”, og, “, faldet, i, et, sort, hul, ”, ,, som, man, tit, hører, det, blive, beskrevet, ., Jeg, bliver, i, hvert, fald, helt, ked, af, det, ,, når, læger, osv., siger, ,, at, depressionen, “, bare, ”, er, en, naturlig, del, af, at, blive, ældre, f.eks., Og, jeg, selv, er, bare, så, glad, for, at, være, nået, et, sted, i, livet, ,, hvor, jeg, er, begyndt, at, have, det, meget, bedre, end, for, fire, år, siden, ., Det, er, jeg, virkelig, glad, for, ,, og, det, tror, jeg, alle, mennesker, kan, genkende, ., Som, du, også, selv, skriver, ,, så, kan, mange, depressioner, komme, igen, ,, men, det]",INTJ PRON AUX PRON ADJ PUNCT CCONJ PRON AUX PRON ADJ VERB ADP ADP NOUN PUNCT SCONJ PART SCONJ VERB NOUN ADV ADJ PUNCT DET ADJ AUX ADV SCONJ ADJ SCONJ VERB VERB SCONJ SCONJ VERB ADV ADP ADV ADP NOUN PRON PART AUX VERB ADP ADP PUNCT CCONJ ADV VERB NOUN PRON PRON VERB ADV SPACE NOUN ADP DET ADJ NOUN PRON PRON VERB SCONJ NOUN ADP ADP ADV SPACE PRON AUX ADJ ADJ ADP ADV ADP PUNCT SCONJ DET NOUN PART VERB SCONJ PRON AUX PUNCT ADJ PUNCT PUNCT PUNCT X PUNCT CCONJ PUNCT NOUN ADP DET ADJ NOUN PUNCT PUNCT PRON PRON NOUN VERB PRON ADJ VERB PUNCT PRON VERB ADP DET NOUN ADJ NOUN X PRON PUNCT SCONJ NOUN ADV NOUN PUNCT SCONJ NOUN PUNCT ADV PUNCT AUX DET ADJ NOUN ADV SCONJ PROPN NOUN ADV CCONJ PRON DET AUX ADV ADV ADJ SCONJ SCONJ AUX NOUN DET NOUN ADP NOUN PUNCT ADV PRON AUX ADJ SCONJ X PRON ADV ADJ ADJ ADP NUM NOUN ADV PUNCT PRON AUX PRON ADJ ADJ ADP PUNCT CCONJ PRON VERB PRON DET NOUN AUX ADJ PUNCT SCONJ PRON ADV ADV VERB PUNCT ADV AUX ADJ NOUN VERB NOUN PUNCT CCONJ PRON,0.04352941176470588,0.3773782771535571,202,850,0.5742574257425742,0.298841235444396
"[Så, var, det, fredag, igjen, ., Helgen, står, for, døren, ,, og, på, mange, mater, virker, den, nå, veldig, mye, nærmere, ., Etter, nok, en, uke, med, «, full, spiker, fra, morgen, til, kveld, », ., Og, for, mange, kanskje, med, en, noe, redusert, form, ., Har, en, i, så, måte, kanskje, fått, en, følelse, av, å, ligge, litt, bak, ., Men, trøsten, ligger, nær, ., Det, er, nemlig, ikke, lenger, så, lenge, før, en, er, i, gang, med, noe, mer, ., Noe, mer, ,, for, en, vil, ikke, være, den, som, ligger, bakpå, ., Snarere, tvert, imot, ., Med, en, følelse, av, å, ha, fått, med, seg, en, del, ,, vil, en, i, alle, fall, ha, noe, igjen, som, en, kan, glede, seg, over, ., I, ukene, fremover, ., Kanskje, til, og, med, også, om, en, føler, seg, noe, redusert, ., Med, en, følelse, av, at, det, har, dukket, opp, en, slags, «, buffer, », som, en, kan, strekke, sin, slitne, kropp, mot, etter, en, hard, og, hektiske, uke, ., Den, som, kommer, om, litt, blir, kanskje, heller, ikke, av, det, verste, slaget, ., Noen, dager, er, det, bare, så, deilig, å, komme, seg, frem, til, neste, helg, uten, de, helt]",ADV AUX PRON NOUN ADV PUNCT NOUN VERB ADP NOUN PUNCT CCONJ ADP ADJ NOUN VERB PRON ADV ADJ ADJ ADJ PUNCT ADP ADV DET NOUN ADP PUNCT ADJ NOUN ADP NOUN ADP NOUN PUNCT PUNCT CCONJ ADP ADJ ADV ADP DET PRON ADJ NOUN PUNCT AUX PRON ADP ADV NOUN ADV VERB DET NOUN SCONJ PART VERB ADJ ADP PUNCT CCONJ NOUN VERB ADJ PUNCT PRON AUX ADV PART ADJ ADV ADJ SCONJ PRON AUX ADP NOUN ADP DET ADJ PUNCT DET ADJ PUNCT CCONJ PRON AUX PART AUX PRON PRON VERB ADP PUNCT ADJ ADV ADP PUNCT ADP DET NOUN SCONJ PART AUX VERB ADP PRON DET NOUN PUNCT AUX PRON ADP DET NOUN VERB PRON ADV SCONJ PRON AUX VERB PRON ADP PUNCT ADP NOUN ADP PUNCT ADV ADP CCONJ ADP ADV SCONJ PRON VERB PRON DET ADJ PUNCT ADP DET NOUN ADP SCONJ PRON AUX VERB ADP DET NOUN PUNCT NOUN PUNCT SCONJ PRON AUX VERB PRON ADJ NOUN ADP ADP DET ADJ CCONJ ADJ NOUN PUNCT PRON PRON VERB ADP ADJ VERB ADV ADV PART ADP DET ADJ NOUN PUNCT DET NOUN AUX PRON ADV ADV ADJ PART VERB PRON ADP ADP DET NOUN ADP DET ADJ,0.04328018223234624,0.3714595898673086,202,878,0.7128712871287128,0.34312785207927643
"[Det, var, som, for, mange, andre, idrettsutøvere, under, denne, vanskelige, tiden, at, hun, fikk, en, ide, :, 
, –, Jeg, var, usikker, på, hvordan, det, skulle, gå, ., Men, så, ble, jeg, inspirert, av, at, det, fortsatt, er, noen, som, holder, på, ., Jeg, tenkte, "", herregud, ,, det, er, sikkert, mange, som, ikke, er, så, fornøyde, eller, har, så, mye, tid, til, å, trene, ., Hva, om, jeg, gjør, det, for, dem, ?, "", ,, sa, hun, i, et, intervju, med, VG, ., Så, hun, kastet, seg, rundt, og, kjørte, på, med, to, treninger, hver, dag, ,, én, før, jobb, og, én, etter, ., Så, har, det, vært, lettere, å, stå, opp, tidligere, om, morgenen, ,, og, det, har, passet, bedre, ., Det, var, fint, å, gjøre, noe, for, andre, som, jeg, brenner, for, ., Så, jeg, har, gått, fra, å, tenke, at, jeg, aldri, skulle, gjøre, det, ,, til, å, gi, gass, ., Jeg, har, gått, fra, å, tenke, at, det, sikkert, er, mange, som, ikke, orker, å, trene, ,, til, å, faktisk, gjøre, det, for, dem, ., Nå, har, jeg, jo, gjort, det, én, gang, i, uka, ,, så, da, var, det, jo, kanskje, greit, å, ta, det, litt, videre, også, .]",PRON AUX ADP ADP ADJ DET NOUN ADP DET ADJ NOUN SCONJ PRON VERB DET NOUN PUNCT SPACE PUNCT PRON AUX ADJ SCONJ ADV PRON AUX VERB PUNCT CCONJ ADV AUX PRON VERB SCONJ SCONJ PRON ADV AUX PRON PRON VERB ADP PUNCT PRON VERB PUNCT INTJ PUNCT PRON AUX ADJ ADJ PRON PART AUX ADV ADJ CCONJ VERB ADV ADJ NOUN SCONJ PART VERB PUNCT PRON SCONJ PRON VERB PRON ADP PRON PUNCT PUNCT PUNCT VERB PRON ADP DET NOUN ADP PROPN PUNCT CCONJ PRON VERB PRON ADP CCONJ VERB ADP ADP NUM NOUN DET NOUN PUNCT NUM SCONJ NOUN CCONJ NUM ADP PUNCT ADV AUX PRON AUX ADJ PART VERB ADP ADJ ADP NOUN PUNCT CCONJ PRON AUX VERB ADJ PUNCT PRON AUX ADJ PART VERB PRON ADP DET PRON PRON VERB ADP PUNCT CCONJ PRON AUX VERB SCONJ PART VERB SCONJ PRON ADV AUX VERB PRON PUNCT SCONJ PART VERB NOUN PUNCT PRON AUX VERB SCONJ PART VERB SCONJ PRON ADJ AUX ADJ PRON PART VERB PART VERB PUNCT SCONJ PART ADJ VERB PRON ADP PRON PUNCT ADV AUX PRON ADV VERB PRON NUM NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON ADV ADV ADJ PART VERB PRON ADJ ADJ ADV PUNCT,0.04728950403690888,0.38684596577017144,205,867,0.7463414634146341,0.4311426329986856
"[Det, er, ikkje, vanskeleg, å, oppdage, stor, forskjell, på, ver, Øog, vind, gjennom, denne, tida, av, året, ., Det, er, på, grunn, av, det, er, så, ulikt, korleis, det, har, vore, tid, legare, i, år, ., Dette, seier, statsmeteorolog, Jan, Næs, tr, ., Han, driv, med, v, ærrappor, tering, for, dei, store, havom, råda, Øog, som, det, meste, av, væ, ret, i, Noreg, ,, er, det, det, storstilte, Atlanterhavet, som, er, med, å, påverke, ., Næs, tr, fortel, at, det, ikkje, er, uvanleg, med, stor, variasjon, mellom, årstala, i, ver, Øog, vind, ,, men, dette, er, det, einaste, året, han, har, hatt, med, seg, der, det, har, vore, så, stor, forskjell, som, i, år, ., -Normalt, ligg, veret, mykje, meir, stabilt, utover, året, ,, seier, han, ., Det, er, ikkje, berre, hav-, Øog, vindforholda, som, har, variert, frå, årstid, til, årstid, ., Jan, Næs, tr, fortel, at, det, varierer, mykje, frå, landsdel, til, landsdel, ., For, skjellar, frå, år, til, år, kan, ein, finne, så, tidleg, som, ein, har, starta, å, føre]",PRON AUX X X PART VERB ADJ NOUN ADP NOUN PROPN NOUN ADP DET NOUN ADP NOUN PUNCT PRON AUX ADP NOUN ADP PRON AUX ADV ADJ DET PRON AUX ADJ NOUN ADJ ADP NOUN PUNCT DET NOUN NOUN PROPN PROPN PROPN PUNCT PRON VERB ADP NOUN ADJ NOUN ADP NOUN ADJ PROPN PROPN PROPN ADP DET ADJ ADP NOUN PROPN ADP PROPN PUNCT AUX PRON DET ADJ NOUN PRON AUX ADP PART VERB PUNCT PROPN PROPN X SCONJ PRON X AUX ADJ ADP ADJ NOUN ADP PROPN ADP PROPN PROPN NOUN PUNCT CCONJ PRON AUX DET ADJ NOUN PRON AUX VERB ADP PRON SCONJ PRON AUX VERB ADV ADJ NOUN PRON ADP NOUN PUNCT ADJ VERB NOUN PROPN ADV ADJ ADP NOUN PUNCT NOUN PRON PUNCT PRON AUX X X NOUN PROPN NOUN PRON AUX VERB ADJ NOUN ADP NOUN PUNCT PROPN PROPN PROPN X SCONJ PRON VERB X X NOUN ADP NOUN PUNCT ADP NOUN X NOUN ADP NOUN AUX PROPN VERB ADV NOUN SCONJ X AUX VERB PART VERB,0.0423728813559322,0.3669755469755461,172,826,0.6337209302325582,0.32090801872192715
"[Kor, mange, prosent, er, den, nye, regjeringa, på, vippen, ?, 
, Vinnarar, av, kryssord-veke, 42, 
, Vinnarar, av, Botnarkroken, 5, sin, julekalender, 
, Vinnarar, av, Sogndal-koppar, sin, julekalender, 
, Vinnarar, av, Hafslo-koppen, sin, julekalender, 
, Vinnarar, Luster-koppen, sin, julekalender, 
, Vinnarar, Lærdal-koppen, sin, julekalender, 
, Vinnarar, Kryssord-koppen, sin, julekalender, 
, Vinnarar, av, Fjørevegen, sin, julekalender, 
, Vinnarar, av, Kryssord-krinsen, sin, julekalender, 
, Vinnarar, av, Kryssord-krinsen, sin, julekalender, 
, Vinnarar, av, Fjordbua, sin, julekalender, 
, Vinnarar, av, Fjordbua, sin, julekalender, 
, Vinnarar, av, Fjordbua, sin, julekalender, 
, Rett, svar, på, kryssord-rebus, veke, 41, 
, Vinnarar, av, Fjordbua, sin, julekalender]",ADV ADJ NOUN AUX DET ADJ NOUN ADP NOUN PUNCT SPACE NOUN ADP NOUN NUM SPACE NOUN ADP PROPN NUM PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE NOUN NOUN PRON NOUN SPACE NOUN NOUN PRON NOUN SPACE NOUN NOUN PRON NOUN SPACE NOUN ADP PROPN PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE NOUN ADP NOUN PRON NOUN SPACE ADJ NOUN ADP NOUN PROPN NUM SPACE NOUN ADP NOUN PRON NOUN,0.0598159509202454,0.3942951907131023,98,652,0.32653061224489793,0.017452221326659398
"[Det, er, veldig, fint, når, jeg, tar, pauser, i, løpet, av, dagen, og, kan, lese, noe, annet, enn, pensumlitteratur, ., Derfor, ble, jeg, henrykt, over, å, oppdage, en, rekke, nye, utgivelser, innenfor, nordiskfaget, da, Universitetsforlagets, vårliste, kom, for, en, tid, tilbake, ., Av, de, tre, nyeste, er, det, særlig, én, som, har, fanget, oppmerksomheten, min., Ikke, fordi, den, nødvendigvis, gir, ny, informasjon, som, er, direkte, relevant, for, mitt, fordypningsprosjekt, i, norsk, litteratur, etter, 1870, ,, men, fordi, den, har, så, mye, mer, ved, seg, enn, andre, nordiske, akademiske, utgivelser, ., Den, er, i, tillegg, både, lettlest, og, tilgjengelig, ,, så, jeg, føler, meg, faktisk, fristet, til, å, prøve, meg, på, den, ., 
, Den, heter, Nordiske, oppdagelser, :, Tekster, i, utvalg, ,, og, er, et, utvalg, bestående, av, 14, skjønnlitterære, verk, ,, fra, Karen, Blixen, via, Knut, Hamsun, til, Merethe, Lindstrøm, og, Per, Petterson, (, som, begge, er, representert, med, et, verk, hver, ), ,, samt, åtte, sakprosabøker, ., De, fleste, verkene, er, hentet, fra, årene, mellom, 1850, og, 1960, ,, men, jeg]",PRON AUX ADJ ADJ SCONJ PRON VERB NOUN ADP NOUN ADP NOUN CCONJ AUX VERB DET DET ADP NOUN PUNCT ADV VERB PRON ADJ SCONJ PART VERB DET NOUN ADJ NOUN ADP NOUN SCONJ PROPN NOUN VERB ADP DET NOUN ADP PUNCT ADP DET NUM ADJ AUX PRON ADJ NUM PRON AUX VERB NOUN VERB PART SCONJ PRON ADV VERB ADJ NOUN PRON AUX ADJ ADJ ADP PRON NOUN ADP ADJ NOUN ADP NUM PUNCT CCONJ SCONJ PRON VERB ADV ADJ ADJ ADP PRON ADP DET ADJ ADJ NOUN PUNCT PRON AUX ADP NOUN CCONJ ADJ CCONJ ADJ PUNCT CCONJ PRON VERB PRON ADJ VERB SCONJ PART VERB PRON ADP PRON PUNCT SPACE PRON VERB ADJ NOUN PUNCT NOUN ADP NOUN PUNCT CCONJ AUX DET NOUN ADJ ADP NUM ADJ NOUN PUNCT ADP PROPN PROPN ADP PROPN PROPN ADP PROPN PROPN CCONJ PROPN PROPN PUNCT PRON PRON AUX VERB ADP DET NOUN DET PUNCT PUNCT CCONJ NUM NOUN PUNCT DET ADJ NOUN AUX VERB ADP NOUN ADP NUM CCONJ NUM PUNCT CCONJ PRON,0.05644302449414271,0.38613483146067384,173,939,0.5780346820809249,0.25056023046710446
