tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, i, Norge, at, det, ble, gjort, forsøk, på, å, få, til, en, fredsavtale, ., I, 1948, ble, det, holdt, en, konferanse, i, Paris, der, representanter, for, de, allierte, og, de, kommunistiske, landene, møttes, ., Her, ble, det, vedtatt, en, erklæring, om, at, det, skulle, opprettes, en, fredsbevarende, styrke, på, 50.000, mann, som, skulle, stå, under, FN, ., Men, det, var, ikke, enighet, om, hvordan, styrken, skulle, organiseres, ., Sovjetunionen, ønsket, en, styrke, på, 100.000, mann, ,, mens, USA, og, Frankrike, ønsket, en, styrke, på, 50.000, mann, hver, ., Det, ble, også, vedtatt, at, styrken, skulle, ha, en, nøytral, leder, ., Det, ble, også, vedtatt, at, styrken, skulle, ha, en, nøytral, sjef, som, skulle, være, en, nøytral, stat, ., Det, ble, også, vedtatt, at, styrken, skulle, ha, en, nøytral, sjef, som, skulle, være, en, nøytral, stat, ., Det, ble, også, vedtatt, at, styrken, skulle, ha, en, nøytral, sjef, som, skulle, være, en, nøytral, stat, ., Det, ble, også, vedtatt, at, styrken, skulle, ha, en, nøytral, sjef, som, skulle, være, en, nøytral]",CCONJ PRON AUX PART ADV ADP PROPN SCONJ PRON AUX VERB NOUN SCONJ PART VERB ADP DET NOUN PUNCT ADP NUM AUX PRON VERB DET NOUN ADP PROPN SCONJ NOUN ADP DET ADJ CCONJ DET ADJ NOUN VERB PUNCT ADV AUX PRON VERB DET NOUN SCONJ SCONJ PRON AUX VERB DET ADJ NOUN ADP NUM NOUN PRON AUX VERB ADP PROPN PUNCT CCONJ PRON VERB PART NOUN ADP ADV NOUN AUX VERB PUNCT PROPN VERB DET NOUN ADP NUM NOUN PUNCT SCONJ PROPN CCONJ PROPN VERB DET NOUN ADP NUM NOUN DET PUNCT PRON AUX ADV VERB SCONJ NOUN AUX VERB DET ADJ NOUN PUNCT PRON AUX ADV VERB SCONJ NOUN AUX VERB DET ADJ NOUN PRON AUX AUX DET ADJ NOUN PUNCT PRON AUX ADV VERB SCONJ NOUN AUX VERB DET ADJ NOUN PRON AUX AUX DET ADJ NOUN PUNCT PRON AUX ADV VERB SCONJ NOUN AUX VERB DET ADJ NOUN PRON AUX AUX DET ADJ NOUN PUNCT PRON AUX ADV VERB SCONJ NOUN AUX VERB DET ADJ NOUN PRON AUX AUX DET ADJ,0.04725274725274725,0.3983275261324023,175,910,0.5942857142857143,0.20736194289211596
"[Det, var, ein, gong, ein, mann, som, hadde, ein, son, som, var, så, fæl, til, å, eta, graut, ., Ein, dag, sa, faren, til, sonen, :, «, No, må, du, eta, grauten, din, og, leggja, deg, til, å, sova, ., I, morgon, skal, du, få, graut, til, middag, ., », Sonen, åt, grauten, og, la, seg, til, å, sova, ., Men, då, han, hadde, sove, ei, stund, ,, vakna, han, og, sa, :, «, No, må, du, eta, grauten, din, og, leggja, deg, til, å, sova, ., I, morgon, skal, du, få, graut, til, middag, ., », Faren, svara, ikkje, noko, på, det, ,, men, han, gjekk, stad, og, henta, grauten, ., Då, han, hadde, ete, grauten, sin, ,, la, han, seg, til, å, sova, att, ., Men, då, han, hadde, sove, ei, stund, ,, vakna, han, og, sa, :, «, No, må, du, eta, grauten, din, og, leggja, deg, til, å, sova, ., I, morgon, skal, du, få, graut, til, middag, ., », Faren, svara, ikkje, noko, på, det, ,, men, han, gjekk, stad, og, henta, grauten, ., Då, han, hadde, ete, grauten, sin, ,, la, han, seg]",PRON AUX X X X NOUN PRON VERB X X PRON AUX ADV ADJ SCONJ PART PROPN X PUNCT X NOUN VERB NOUN ADP NOUN PUNCT PUNCT PROPN AUX PRON PROPN NOUN PRON CCONJ X PRON SCONJ PART VERB PUNCT ADP NOUN AUX PRON VERB NOUN ADP NOUN PUNCT PUNCT NOUN VERB NOUN CCONJ VERB PRON SCONJ PART VERB PUNCT CCONJ ADV PRON AUX VERB DET NOUN PUNCT X PRON CCONJ VERB PUNCT PUNCT PROPN AUX PRON PROPN NOUN PRON CCONJ X PRON SCONJ PART VERB PUNCT ADP NOUN AUX PRON VERB NOUN ADP NOUN PUNCT PUNCT NOUN X X X ADP PRON PUNCT CCONJ PRON VERB NOUN CCONJ VERB NOUN PUNCT VERB PRON AUX VERB NOUN PRON PUNCT VERB PRON PRON SCONJ PART X X PUNCT CCONJ ADV PRON AUX VERB DET NOUN PUNCT X PRON CCONJ VERB PUNCT PUNCT PROPN AUX PRON PROPN NOUN PRON CCONJ X PRON SCONJ PART VERB PUNCT ADP NOUN AUX PRON VERB NOUN ADP NOUN PUNCT PUNCT NOUN X X X ADP PRON PUNCT CCONJ PRON VERB NOUN CCONJ VERB NOUN PUNCT VERB PRON AUX VERB NOUN PRON PUNCT VERB PRON PRON,0.04551539491298527,0.3879369627507157,189,747,0.582010582010582,0.1664232914320073
"[Det, var, så, mye, som, skjedde, i, løpet, av, en, dag, at, det, var, vanskelig, å, få, med, seg, alt, ., Men, jeg, fikk, med, meg, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til, å, bli, ferdig, med, å, bygge, på, huset, sitt, ,, og, at, det, var, en, del, som, var, på, vei, til]",PRON VERB ADV ADJ PRON VERB ADP NOUN ADP DET NOUN SCONJ PRON AUX ADJ PART VERB ADP PRON PRON PUNCT CCONJ PRON VERB ADP PRON SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN SCONJ PART VERB ADJ SCONJ PART VERB ADP NOUN PRON PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON AUX ADP NOUN ADP,0.03585147247119078,0.3826775956284161,204,781,0.7843137254901961,0.354920710687132
"[Ja, det, var, en, fin, tur, !, Jeg, har, vært, på, mange, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,, men, denne, var, nok, den, fineste, !, Jeg, har, vært, på, mange, fine, turer, i, fjellet, ,]",INTJ PRON AUX DET ADJ NOUN PUNCT PRON AUX AUX ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV DET ADJ PUNCT PRON AUX AUX ADP ADJ ADJ NOUN ADP NOUN PUNCT,0.028216704288939052,0.4090322580645158,203,886,0.6502463054187192,0.10502426443326747
"[Ja, det, er, en, god, ide, at, få, en, professionel, til, at, lave, en, ny, hjemmeside, ., Det, er, ikke, altid, at, man, selv, har, tid, til, at, lave, en, ny, hjemmeside, ., Det, kan, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også, være, at, man, har, en, hjemmeside, som, er, blevet, forældet, og, ikke, længere, er, så, interessant, for, ens, kunder, ., Det, kan, også]",INTJ PRON AUX DET ADJ NOUN SCONJ VERB DET NOUN SCONJ SCONJ ADJ DET ADJ NOUN PUNCT PRON AUX PART NOUN SCONJ PRON DET VERB NOUN SCONJ SCONJ ADJ DET ADJ NOUN PUNCT PRON AUX VERB SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV AUX SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV AUX SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV AUX SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV AUX SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV AUX SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV AUX SCONJ PRON VERB DET NOUN PRON AUX ADJ NOUN CCONJ PART NOUN AUX ADV ADJ ADP PRON NOUN PUNCT PRON AUX ADV,0.028125,0.3697914379802407,196,960,0.6683673469387755,0.1133558090469473
"[Så, var, det, dags, för, en, ny, omgång, av, den, populära, serien, om, de, tre, systrarna, som, bor, i, en, liten, by, i, norra, Sverige, ., I, den, här, omgången, får, vi, följa, med, till, en, gård, där, det, bor, en, gammal, dam, som, heter, Greta, och, hennes, dotter, Anna, ., Greta, är, en, gammal, dam, som, har, bott, på, gården, i, många, år, och, hon, har, en, hel, del, att, berätta, om, sitt, liv, ., Det, är, inte, bara, gamla, minnen, som, hon, har, att, berätta, utan, hon, har, även, en, hel, del, att, berätta, om, hur, det, var, förr, i, tiden, ., Det, är, en, intressant, och, spännande, berättelse, som, vi, får, ta, del, av, i, den, här, serien, som, heter, Greta, och, hennes, döttrar, ., Det, är, en, serie, som, är, väldigt, lätt, att, följa, med, i, och, som, man, lätt, kan, följa, med, i, även, om, man, inte, har, läst, böckerna, tidigare, ., Det, är, en, serie, som, är, väldigt, lätt, att, följa, med, i, och, som, man, lätt, kan, följa, med, i, även, om, man, inte, har, läst, böckerna, tidigare, ., Det, är]",ADV AUX PRON NOUN X DET ADJ NOUN ADP DET ADJ NOUN ADP DET NUM NOUN PRON VERB ADP DET ADJ NOUN ADP PROPN PROPN PUNCT ADP DET X NOUN VERB PRON NOUN ADP X DET NOUN X PRON VERB DET ADJ NOUN PRON VERB PROPN X X NOUN PROPN PUNCT PROPN X DET ADJ NOUN PRON VERB VERB ADP NOUN ADP NOUN X X X VERB DET ADJ NOUN X NOUN ADP PRON NOUN PUNCT X X X X PROPN NOUN PRON X X X NOUN PROPN X X NOUN DET ADJ NOUN X NOUN ADP X PRON AUX NOUN ADP NOUN PUNCT DET X DET ADJ X X NOUN PRON PRON AUX VERB NOUN ADP ADP DET X NOUN PRON VERB PROPN X X X PUNCT DET X DET NOUN X X X X X X ADP ADP X PRON PRON NOUN AUX NOUN ADP ADP NOUN SCONJ PRON NOUN AUX VERB PROPN PROPN PUNCT DET X DET NOUN X X X X X X ADP ADP X PRON PRON NOUN AUX NOUN ADP ADP NOUN SCONJ PRON NOUN AUX VERB PROPN PROPN PUNCT X X,0.0378698224852071,0.3668844221105538,188,845,0.48936170212765956,1.0
"[Det, var, som, om, det, var, en, annen, verden, som, åpnet, seg, for, meg, da, jeg, kom, til, Norge, for, første, gang, ., Jeg, hadde, aldri, vært, i, et, land, med, så, mange, mennesker, som, i, Norge, ., Det, var, som, om, jeg, var, i, en, helt, annen, verden, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del, av, en, stor, familie, ., Jeg, følte, meg, som, en, del]",PRON AUX ADP SCONJ PRON VERB DET DET NOUN PRON VERB PRON ADP PRON SCONJ PRON VERB ADP PROPN ADP ADJ NOUN PUNCT PRON AUX ADV AUX ADP DET NOUN ADP ADV ADJ NOUN ADP ADP PROPN PUNCT PRON AUX ADP SCONJ PRON AUX ADP DET ADJ DET NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN ADP DET ADJ NOUN PUNCT PRON VERB PRON SCONJ DET NOUN,0.02850877192982456,0.36171494785632324,221,912,0.746606334841629,0.17429237841625378
"[Det, er, ikkje, berre, i, Noreg, det, er, vanskeleg, å, få, tak, i, nok, mat, ., I, mange, land, er, det, mangel, på, mat, ,, og, det, er, ikkje, berre, i, Afrika, det, er, vanskeleg, å, få, tak, i, nok, mat, ., Det, er, også, vanskeleg, å, få, tak, i, nok, mat, i, Noreg, ., Det, er, ikkje, berre, i, Noreg, det, er, vanskeleg, å, få, tak, i, nok, mat, ., Det, er, også, vanskeleg, å, få, tak, i, nok, mat, i, Noreg, ., Det, er, ikkje, berre, i, Noreg, det, er, vanskeleg, å, få, tak, i, nok, mat, ., Det, er, også, vanskeleg, å, få, tak, i, nok, mat, i, Noreg, ., Det, er, ikkje, berre, i, Noreg, det, er, vanskeleg, å, få, tak, i, nok, mat, ., Det, er, også, vanskeleg, å, få, tak, i, nok, mat, i, Noreg, ., Det, er, ikkje, berre, i, Noreg, det, er, vanskeleg, å, få, tak, i, nok, mat, ., Det, er, også, vanskeleg, å, få, tak, i, nok, mat, i, Noreg, ., Det, er, ikkje, berre, i, Noreg, det, er, vanskeleg, å, få, tak, i, nok, mat, ., Det, er, også, vanskeleg, å, få, tak, i, nok, mat, i]",PRON VERB X X ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT ADP ADJ NOUN AUX PRON NOUN ADP NOUN PUNCT CCONJ PRON VERB X ADV ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT PRON AUX ADV PROPN PART VERB NOUN ADP ADV NOUN ADP PROPN PUNCT PRON VERB X X ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT PRON AUX ADV PROPN PART VERB NOUN ADP ADV NOUN ADP PROPN PUNCT PRON VERB X X ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT PRON AUX ADV PROPN PART VERB NOUN ADP ADV NOUN ADP PROPN PUNCT PRON VERB X X ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT PRON AUX ADV PROPN PART VERB NOUN ADP ADV NOUN ADP PROPN PUNCT PRON VERB X X ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT PRON AUX ADV PROPN PART VERB NOUN ADP ADV NOUN ADP PROPN PUNCT PRON VERB X X ADP PROPN PRON AUX ADJ PART VERB NOUN ADP ADV NOUN PUNCT PRON AUX ADV PROPN PART VERB NOUN ADP ADV NOUN ADP,0.03337612323491656,0.3721095890410978,198,779,0.6616161616161617,0.4652738015967349
"[Kor, mange, prosent, av, dei, som, har, vore, på, kino, i, Noreg, i, løpet, av, dei, siste, 12, månadene, har, sett, ein, film, med, ein, kvinneleg, hovudrolle, ?,                                                                                      ]",ADV ADJ NOUN ADP NOUN PRON AUX X ADP NOUN ADP PROPN ADP NOUN ADP DET ADJ NUM NOUN AUX VERB ADJ NOUN ADP PROPN PROPN NOUN PUNCT SPACE,0.11818181818181818,0.2726315789473691,29,220,0.6206896551724138,0.4064679082764106
"[Det, er, veldig, viktig, at, vi, får, en, god, og, riktig, behandling, av, de, som, er, syke, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de, får, den, hjelpen, de, trenger, ., Det, er, også, viktig, at, vi, har, et, godt, tilbud, til, de, som, er, friske, ,, og, at, de]",PRON AUX ADJ ADJ SCONJ PRON VERB DET ADJ CCONJ ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON VERB DET NOUN PRON VERB PUNCT PRON AUX ADV ADJ SCONJ PRON VERB DET ADJ NOUN ADP PRON PRON AUX ADJ PUNCT CCONJ SCONJ PRON,0.0322180916976456,0.38635883905013246,196,807,0.7653061224489796,0.42384636357369704
