tokenized_text,lix_score
"['Men', 'det', 'var', 'ikke', 'bare', 'under', 'vannsanlegget', 'som', 'hadde', 'problemer', 'i', 'går', '.', 'Gass', 'og', 'kloakk', 'ledninger', 'i', 'bakken', 'hadde', 'ikke', 'tålt', 'all', 'nedbøren', 'over', 'det', 'siste', 'døgnet', '.', 'Ifølge', 'Jan', 'Egil', 'Borge', 'ved', 'tek', 'nisk', 'etat', 'var', 'flere', 'kloakkled', 'ninger', 'spylt', 'opp', '.', '-', 'Men', 'vanntilførselen', 'er', 'ok', '.', 'De', 'jobber', 'nå', 'med', 'å', 'sette', 'istand', 'vanntilførselen', 'i', 'området', ',', 'sa', 'han', 'i', 'går', 'ettermiddag', '.', 'Han', 'fortalte', 'at', 'de', 'ikke', 'var', 'klar', 'over', 'at', 'det', 'var', 'kommet', 'så', 'store', 'meng', 'der', 'nedbør', 'i', 'Borge', '.', '-', 'Men', 'det', 'blir', 'en', 'sak', 'for', 'brannvesenet', 'når', 'dette', 'kommer', ',', 'sa', 'han', 'til', 'de', 'som', 'måtte', 'våkne', 'av', 'vann', 'som', 'fosset', 'inn', 'soveromsvinduene', 'i', 'går', 'formiddag', '.', 'knut.elling.johanserii@moss-avis', '.', 'Nedbøren', 'har', 'skapt', 'problemer', 'flere', 'steder', 'i', 'Moss', 'i', 'går', ',', 'som', 'her', 'ved', 'Mossesundet', 'videregående', 'skole', '.']",28.309653916211293
"['Det', 'var', 'ein', 'av', 'dei', 'som', 'har', 'vore', 'med', 'tidlegare', 'som', 'fortalde', 'dette', ',', 'og', 'han', 'fekk', 'støtte', 'frå', 'fleire', 'av', 'dei', 'andre', 'som', 'stod', 'fram', 'under', 'folkemøtet', 'i', 'Ørskog', 'Samfunnshus', '.', 'Thorbjørn', 'Fylling', 'var', 'den', 'første', 'til', 'å', 'ta', 'ordet', '.', 'Først', 'ville', 'han', 'ha', 'bekrefta', 'at', 'vi', 'har', 'same', 'type', 'kommune', 'som', 'i', 'dag', '.', 'Det', 'meiner', 'han', 'er', 'uvisst', '.', '-', 'Same', 'kor', 'grensa', 'går', 'og', 'kor', 'mange', 'kommunar', 'det', 'kan', 'bli', ',', 'vi', 'treng', 'også', 'eit', 'storting', 'til', 'å', 'styre', 'dette', 'landet', '.', '-', 'Ein', 'må', 'først', 'sjå', 'på', 'oppgåvene', 'som', 'skal', 'løysast', ',', 'deretter', 'gå', 'inn', 'og', 'sjå', 'på', 'einingane', 'som', 'skal', 'løyse', 'dei', ',', 'sa', 'Fylling', '.', 'Paul', 'Birger', 'Tysnes', 'meinte', 'det', 'bør', 'vere', 'ein', 'kommune', 'med', 'Ålesund', 'og', 'omegn', 'som', 'er', 'naturleg', 'ut', 'frå', 'innbyggartal', '.', '-', 'Det', 'er', 'ikkje', 'Ålesund', 'som', 'gjer', 'det', 'vanskeleg', 'for', 'Ørskog', '.', 'Men', 'kommunane', 'rundt', 'oss', ',', 'som', 'Haram', 'og', 'Sandøy', ',', 'kan', 'bli', 'eit', 'tungt', 'lass', 'å', 'drage', 'i', 'lag', '.', 'Det', 'kan', 'lett', 'skape', 'misstillit', '.', 'Men', 'det', 'verste', 'er', 'å']",30.33157894736842
"['Det', 'var', 'så', 'stille', 'på', 'kirkebenken', 'at', 'jeg', 'flere', 'ganger', 'måtte', 'tenke', ':', 'Hva', 'tenker', 'jeg', 'på', '?', 'Da', 'jeg', 'kom', 'ut', 'fra', 'kirka', 'tenkte', 'jeg', ':', 'Er', 'det', 'noen', 'som', 'har', 'tenkt', 'på', 'å', 'ta', 'vare', 'på', 'de', 'gamle', 'bedehusa', '?', 'Etterpå', 'har', 'jeg', 'tenkt', 'over', 'det', '.', 'Det', 'var', 'så', 'stille', 'på', 'kirkebenken', 'at', 'jeg', 'måtte', 'stille', 'meg', 'spørsmålet', 'til', 'meg', 'sjøl', ':', 'Har', 'det', 'noen', 'betydning', 'for', 'meg', 'og', 'for', 'livet', 'mitt', '?', 'Det', 'er', 'noe', 'med', 'den', 'gamle', 'kirka', 'som', 'er', 'så', 'innmari', 'godt', '.', 'Ikke', 'noe', 'er', 'som', 'gode', 'gamle', 'bedehusa', 'der', 'ordet', 'var', 'så', 'godt', 'at', 'det', 'berørte', 'hjertene', 'og', 'skapte', 'tro', ',', 'og', 'der', 'presten', 'virkelig', 'ga', 'av', 'seg', 'sjøl', '.', 'Jeg', 'vokste', 'opp', 'i', 'et', 'veldig', 'godt', 'hjem', 'med', 'mye', 'sang', 'og', 'musikk', ',', 'og', 'der', 'mor', 'og', 'far', 'og', 'søskena', 'mine', 'levde', 'for', 'å', 'bevare', 'misjonshuset', '.', 'Det', 'var', 'ikke', 'noe', 'som', 'ikke', 'berørte', 'dem', 'med', 'sang', 'og', 'misjon', '.', 'Det', 'var', 'aldri', 'noe', 'som', 'var', 'viktigere', 'enn', 'misjonshuset', 'og', 'misjonen', '.', 'Så', 'gikk', 'det', 'som', 'det', 'gikk', '.', 'Så', 'ble', 'det', 'som', 'det', 'ble', '.', 'Det', 'er', 'kanskje', 'noe', 'eget', 'på', 'misjon']",26.101479915433405
"['Ja', 'det', 'var', 'en', 'underbar', 'dag', '!', 'Vi', 'kämpade', 'och', 'kämpade', 'för', 'att', 'det', 'skulle', 'gå', 'vår', 'väg', 'men', 'så', 'var', 'det', 'någon', 'som', 'inte', 'bjöd', 'upp', ',', 'någon', 'gång', '!', 'Det', 'här', 'spelade', 'inte', 'någon', 'roll', 'för', 'oss', ',', 'han', 'var', 'en', 'fantastisk', 'hund', 'och', 'vår', 'vän', 'för', 'alltid', '.', 'Han', 'har', 'varit', 'här', 'med', 'oss', 'i', '18', 'år', 'och', 'han', 'var', 'en', 'av', 'våra', 'bästa', 'vänner', 'i', '17', 'år', '.', 'Bra', 'gjort', 'till', 'hans', 'tidigare', 'ägare', 'och', 'till', 'oss', 'och', 'ett', 'STORT', 'tack', 'till', 'vår', 'nuvarande', 'ägare', 'som', 'tar', 'väl', 'hand', 'om', 'honom', '.', 'Det', 'är', 'så', 'underbart', 'att', 'se', 'hur', 'fort', 'tiden', 'har', 'gått', 'och', 'hur', 'mycket', 'vi', 'har', 'förändrats', 'men', 'han', 'kommer', 'alltid', 'att', 'vara', 'vår', 'hund', 'och', 'för', 'alltid', 'en', 'del', 'av', 'våra', 'liv', '.', 'Men', 'det', 'känns', 'i', 'dag', ',', 'idag', 'när', 'ett', 'hundliv', 'börjar', 'ta', 'slut', ',', 'som', 'om', 'vi', 'har', 'begravt', 'vårt', 'älskade', 'husdjur', 'och', 'sörjer', 'över', 'ett', 'barnbarn', '.', 'Nu', 'är', 'han', 'i', 'hundhimlen', 'och', 'han', 'möter', 'sin', 'storebror', 'som', 'han', 'var', 'väldigt', 'lik', '!', 'En', 'mycket', 'vacker', 'sten', 'med']",30.74382716049383
"['Ja', 'det', 'er', 'så', 'sant', 'og', 'så', 'sant', ',', 'jeg', 'var', 'i', 'ferd', 'med', 'å', 'skrive', 'det', 'samme', 'men', 'en', 'gang', 'jeg', 'fant', 'noe', 'jeg', 'ønsket', 'å', 'kjøpe', ',', 'så', 'hadde', 'jeg', 'fått', 'flere', 'mail', 'om', 'at', 'varen', 'var', 'utsolgt', 'og', 'skulle', 'ikke', 'tas', 'inn', 'igjen', '️', ',', 'så', 'det', 'gjorde', 'meg', 'usikker', 'og', 'enda', 'mer', 'forsiktig', '🙂', 'Ja', ',', 'akkurat', 'slik', 'kan', 'det', 'også', 'føles', 'når', 'det', 'er', 'salgstunge', 'måneder', '.', 'Når', 'vi', 'er', 'mer', 'opptatt', 'av', 'å', 'få', 'tak', 'i', 'noe', 'til', 'en', 'rabattert', 'pris', 'enn', 'av', 'å', 'vurdere', 'om', 'det', 'er', 'noe', 'vi', 'har', 'behov', 'for', '–', 'eller', 'så', 'til', 'de', 'grader', 'at', 'vi', 'blir', 'handlingslammet', '.', 'Men', 'hva', 'er', 'det', 'vi', 'har', 'behov', 'for', 'å', 'få', 'kjøpt', 'til', 'en', 'nedsatt', 'pris', '–', 'som', 'vi', 'ikke', 'har', 'råd', 'til', 'på', 'fast', 'pris', '?', 'Det', 'er', 'bare', 'å', 'se', 'seg', 'rundt', '.', 'Det', 'er', 'mye', 'rart', 'som', 'selges', 'på', 'tilbud', '.', 'Men', 'har', 'du', 'virkelig', 'noe', 'særlig', 'bruk', 'for', 'det', ',', 'som', 'vi', 'ikke', 'også', 'får', 'kjøpt', 'på', 'fast', 'pris', ',', 'er', 'jeg', 'sikker', 'på', 'at', 'du', 'velger', 'å', 'bruke', 'de', 'pengene', 'for', 'å', 'få', 'akkurat', 'det', 'du', 'vil', 'ha', '.', 'En', 'venninne', 'av', 'min']",37.409604519774014
"['Så', 'var', 'det', 'en', 'gang', 'en', 'stor', 'og', 'fin', 'eik', 'et', 'sted', 'i', 'Vestfold', '–', 'som', 'hadde', 'vokst', 'mange', 'og', 'lange', 'år', '.', 'Den', 'var', 'frisk', 'og', 'fin', 'og', 'fin', 'og', 'flott', ',', 'det', 'syntes', 'både', 'folk', 'og', 'kråker', 'og', 'andre', 'fugler', '.', 'I', 'årenes', 'løp', 'hadde', 'mange', 'tatt', 'turen', 'for', 'å', 'se', 'på', 'det', 'vakre', 'treet', 'der', 'det', 'sto', 'og', 'speilet', 'seg', 'i', 'vannet', '.', 'Mange', 'såtte', 'nok', 'pris', 'på', 'å', 'få', 'litt', 'skygge', 'når', 'sola', 'steiket', 'som', 'hardest', '.', 'Men', 'så', 'gjorde', 'noen', 'noe', 'som', 'ingen', 'skulle', 'gjøre', 'mot', 'en', 'eik', ':', 'De', 'hogde', 'den', 'ned', '.', '-', 'Dette', 'er', 'forferdelig', '.', '-', 'Den', 'var', 'jo', 'så', 'fin', 'og', 'gammel', '!', 'Nå', 'ble', 'det', 'bare', 'liggende', 'og', 'råtne', 'bort', 'slik', 'at', 'andre', 'sager', 'kunne', 'gå', 'løs', 'på', 'det', '.', 'Men', 'det', 'kan', 'da', 'vel', 'ikke', 'være', 'rett', 'at', 'noen', 'få', 'skal', 'få', 'ødelegge', 'det', 'fine', 'treet', 'for', 'at', 'andre', 'skal', 'ha', '«', 'kondo', 'ment', '»', 'til', 'ved', '...', 'Treet', 'hadde', 'jo', 'ikke', 'gjort', 'noen', 'fortred', '.', 'Det', 'har', 'stått', 'der', 'i', 'all', 'sin', 'tid', 'og', 'tatt', 'godt', 'vare', 'på', 'det', 'naturen', 'hadde', 'tilført', 'det', 'av']",22.22875816993464
"['Det', 'var', 'som', 'om', 'alt', 'gikk', 'veldig', 'sakte', 'da', '.', 'Men', 'det', 'var', 'på', 'nippet', 'til', 'å', 'bli', 'mye', 'for', 'tidlig', '.', 'Det', 'var', 'som', 'om', 'alt', 'hadde', 'gått', 'så', 'bra', 'hele', 'vinteren', ',', 'at', 'nå', 'hastet', 'det', 'jo', 'litt', 'med', 'en', 'ny', 'runde', 'i', 'stedet', 'for', 'en', 'fødsel', 'kanskje', '.', 'Vi', 'pratet', 'frem', 'og', 'tilbake', 'om', 'hvordan', 'neste', 'forsøk', 'kom', 'til', 'å', 'gå', ',', 'og', 'det', 'skulle', 'ikke', 'tas', 'et', 'nytt', 'ivf-forsøk', 'uten', 'at', 'vi', 'var', '100', '%', 'sikre', 'på', 'at', 'det', 'her', 'SKULLE', 'gå', 'på', 'første', 'forsøk', 'liksom', ',', 'og', 'jeg', 'hadde', 'ikke', 'mange', 'tanker', 'om', 'flere', 'forsøk', 'i', 'det', 'hele', 'tatt', '.', 'Men', 'plutselig', 'var', 'det', 'helt', 'klart', 'at', 'vi', 'virkelig', 'ville', 'prøve', 'denne', 'tredje', 'gangen', ',', 'men', 'med', 'samme', 'termin', ',', 'og', 'da', 'ble', 'det', 'mye', 'for', 'meg', 'altså', '.', 'Jeg', 'visste', 'ikke', 'helt', 'hvordan', 'jeg', 'skulle', 'føle', 'sånn', 'på', 'det', ',', 'for', 'dette', 'hadde', 'ikke', 'vært', 'noe', 'tema', 'engang', '.', 'Det', 'har', 'det', 'definitivt', 'vært', 'for', 'de', 'aller', 'nærmeste', 'i', 'familien', 'vår', 'helt', 'tydelig', '.', 'Jeg', 'skjønner', 'faktisk', 'ikke', 'helt', 'hvordan', 'de', 'hadde', 'akseptert', 'at', 'vi', 'valgte', 'å', 'starte', 'enda', 'et', 'forsøk', 'nå', ',', 'når', 'jeg', 'var', 'innstilt', 'på', 'å', 'vente', '.', 'Og', 'her', 'sitter']",32.017265193370164
"['Det', 'er', 'ikkje', 'mange', 'som', 'får', 'så', 'mykje', 'skryt', 'som', 'lærarar', '.', 'Men', 'det', 'kan', 'fort', 'slå', 'andre', 'vegen', '.', '-', 'Eg', 'veit', 'det', 'har', 'skjedd', 'opp', 'gjennom', 'åra', 'at', 'lærarar', 'har', 'fått', 'dårleg', 'skussmål', 'i', 'avisa', ',', 'seier', 'Jan', 'Inge', 'Næss', '.', 'Han', 'har', 'fått', 'god', 'hjelp', 'av', 'kollegaene', 'Geir', 'Magne', 'Aarstad', 'og', 'Lars', 'Vassbø', '.', 'Dei', 'har', 'brukt', 'to', 'månader', 'på', 'boka', '.', 'Dei', 'meiner', 'Geir', 'Magne', 'Aarstad', 'har', 'ein', 'svært', 'velskriven', 'penn', '.', '(', 'Foto', ':', 'Steinar', 'Sandvik', ')', '*', 'Optikaren', 'som', 'har', 'skrive', 'bok', 'om', 'læraryrket', 'har', 'hatt', 'ei', 'travel', 'tid', '.', 'Ikkje', 'bare', 'med', 'sjølve', 'boka', ',', 'men', 'også', 'med', 'å', 'laga', 'til', 'ei', 'utstilling', 'for', 'å', 'få', 'fram', 'lærarkategorien', '.', '-', 'Det', 'har', 'aldri', 'vore', 'eit', 'problem', 'å', 'finna', 'lærarar', ',', 'men', 'å', 'få', 'dei', 'til', 'å', 'stilla', 'ut', 'bøker', '.', 'Eg', 'har', 'hatt', 'kontakt', 'med', '10-12', 'lærarar', 'for', 'å', 'få', 'dei', 'til', 'å', 'stilla', 'ut', 'bøkene', 'sine', ',', 'seier', 'Aarstad', '.', 'Det', 'har', 'blitt', 'ein', 'god', 'del', 'tid', 'i', 'bilen', ',', 'men', 'han', 'har', 'prøvd', 'å', 'ta', 'det', 'med', 'ro', '.']",27.011580775911987
"['Kor', 'mange', 'prosent', 'av', 'røykjarar', 'blant', 'dei', 'over', '65', 'år', 'får', 'lungekreft', ',', 'korleis', 'er', 'den', 'sosiale', 'fordelinga', 'og', 'i', 'kva', 'grad', 'er', 'underliggjande', 'sjukdomar', 'medverkande', 'faktorar', '?', 'Det', 'er', 'noko', 'av', 'det', 'stipendiat', 'Kristine', 'Husøy', 'Onarheim', 'undersøker', 'i', 'sitt', 'doktorgradsarbeid', '.', 'Onarheim', 'har', 'sett', 'på', 'nye', 'data', 'om', 'røykjarar', 'og', 'røykjevanane', 'deira', 'blant', 'dei', 'over', '65', 'år', 'i', 'Nord', 'Trøndelag', '.', 'Data', 'er', 'henta', 'frå', 'HUNT-undersøkingar', 'i', 'alle', 'tre', 'periodar', '.', 'Studien', 'omfattar', 'totalt', '16 316', 'deltakarar', 'mellom', '19', 'og', '84', 'år', '.', 'Husøy', 'Onarheim', 'si', 'hovudforklaring', 'til', 'at', 'risikoen', 'for', 'lungekreft', 'er', 'såpass', 'låg', 'hos', 'denne', 'gruppa', '(', '<', '15', '%', ')', 'er', 'at', 'dei', 'som', 'får', 'lungekreft', 'har', 'ein', 'eller', 'fleire', 'tidlegare', 'sjukdomar', 'i', 'tillegg', 'til', 'røykinga', ',', 't.d.', 'KOLS', '.', 'I', 'doktoravhandlinga', 'si', 'viser', 'ho', 'at', 'blant', 'dei', 'under', '65', 'er', 'røykjevanar', 'og', 'underliggjande', 'sjukdomar', 'blant', 'dei', 'mest', 'signifikante', 'risikofaktorane', 'for', 'å', 'utvikle']",48.229729729729726
"['Det', 'er', 'veldig', 'sjelden', 'du', 'får', 'kjøpt', 'brukte', 'biler', 'i', 'Bodø', ',', 'kanskje', 'fordi', 'det', 'ikke', 'finns', 'så', 'mange', 'av', 'dem', 'på', 'markedet', 'ennå', '.', 'De', 'siste', 'årene', 'har', 'det', 'dukket', 'opp', 'mange', 'bruktbutikker', 'i', 'Bodø', ',', 'og', 'mye', 'som', 'gis', 'til', 'bruktbutikker', 'er', 'både', 'billig', ',', 'bra', 'og', 'pent', 'brukt', '-', 'kanskje', 'noen', 'bare', 'deler', 'av', 'bilen', '.', 'Du', 'kan', 'få', 'kjøpt', 'brukte', 'bobiler', ',', 'men', 'ellers', 'må', 'du', 'kjøpe', 'hele', 'bilen', '.', 'Noen', 'forhandlere', 'selger', 'bare', 'deler', 'du', 'kan', 'kjøpe', ',', 'men', 'de', 'fleste', 'selger', 'hele', 'bilen', '.', 'Bruktbiler', 'er', 'dyre', 'fordi', 'de', 'ikke', 'slites', 'ut', 'like', 'fort', 'som', 'nye', 'biler', ',', 'og', 'derfor', 'kan', 'være', 'dyrere', 'i', 'innkjøp', 'for', 'forhandleren', '.', 'Mange', 'av', 'forhandlerne', 'sier', 'at', 'de', 'ikke', 'har', 'fått', 'inn', 'mange', 'biler', 'til', 'salg', ',', 'men', 'vi', 'vet', 'at', 'noen', 'butikker', 'fortsatt', 'får', 'inn', 'brukte', 'biler', '.', 'Det', 'kan', 'hende', 'at', 'de', 'ikke', 'har', 'kommet', 'til', 'butikken', 'ennå', '.', 'Derfor', 'kan', 'du', 'fortsatt', 'finne', 'noen', 'brukte', 'biler', 'på', 'nettet', ',', 'men', 'de', 'fleste', 'har', 'kanskje', 'ikke', 'kommet', 'til', 'salgs', 'ennå', '.']",30.509493670886076
