tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, et, annet, brev, han, likte, å, se, :, Hans, eget, brev, ., Brevet, om, hvor, høyt, han, elsket, henne, ., Det, første, brevet, som, var, blitt, skrevet, til, henne, ., Det, han, fikk, sent, hjem, til, seg, ,, som, en, overraskelse, ., 
, Det, skrev, hun, om, hvordan, hun, hadde, det, på, gården, ;, at, hun, trivdes, med, husmannsjobben, og, med, kyrne, på, båsen, ., Hun, var, fortsatt, mye, alene, om, kveldene, ,, og, trivdes, ,, men, likte, best, å, være, sammen, med, ungene, når, de, kom, fra, skolen, ., Han, satt, ofte, ved, kjøkkenvinduet, og, så, etter, dem, ,, særlig, når, kvelden, var, klar, og, kald, ,, og, han, så, dem, dukke, opp, i, skogen, over, gården, ., Han, gledet, seg, til, de, ,, som, han, ,, ville, oppdage, det, gamle, ,, hvite, huset, ., Han, ønsket, at, de, kunne, komme, løpende, rett, ned, bakken, mot, ham, ,, leende, og, glade, ,, og, spørre, ham, :, "", Er, mor, kommet, ?, "", Men, de, ble, ikke, så, lenge, hver, gang, ., Noen, ganger, tok, de, med, seg, småsaker, som, mor, skulle, lage, noe, av, ,, eller, et, trestykke, som, de, skulle, forme, ., De, hadde, også, med, seg, gaver, som]",CCONJ PRON AUX DET DET NOUN PRON VERB PART VERB PUNCT PRON DET NOUN PUNCT NOUN ADP ADV ADJ PRON VERB PRON PUNCT DET ADJ NOUN PRON AUX AUX VERB ADP PRON PUNCT PRON PRON VERB ADJ ADP ADP PRON PUNCT SCONJ DET NOUN PUNCT SPACE PRON VERB PRON SCONJ ADV PRON VERB PRON ADP NOUN PUNCT SCONJ PRON VERB ADP NOUN CCONJ ADP NOUN ADP NOUN PUNCT PRON AUX ADV ADJ ADV ADP NOUN PUNCT CCONJ VERB PUNCT CCONJ VERB ADJ PART AUX ADV ADP NOUN SCONJ PRON VERB ADP NOUN PUNCT PRON VERB ADJ ADP NOUN CCONJ ADV ADP PRON PUNCT ADJ SCONJ NOUN AUX ADJ CCONJ ADJ PUNCT CCONJ PRON VERB PRON VERB ADP ADP NOUN ADP NOUN PUNCT PRON VERB PRON ADP PRON PUNCT PRON PRON PUNCT AUX VERB DET ADJ PUNCT ADJ NOUN PUNCT PRON VERB SCONJ PRON AUX VERB ADJ ADJ ADP NOUN ADP PRON PUNCT ADJ CCONJ ADJ PUNCT CCONJ VERB PRON PUNCT PUNCT AUX NOUN VERB PUNCT PUNCT CCONJ PRON VERB PART ADV ADJ DET NOUN PUNCT DET NOUN VERB PRON ADP PRON NOUN PRON NOUN AUX VERB PRON ADP PUNCT CCONJ DET NOUN PRON PRON AUX VERB PUNCT PRON VERB ADV ADP PRON NOUN PRON,0.04189636163175303,0.38044289044289026,204,907,0.6225490196078431,0.3015492094029612
"[Det, var, ein, solskinsdag, midtvinters, ., Det, høyrdest, song, frå, stovene, ,, og, det, ringde, med, kyrkjeklokkene, i, vintervinden, ., 
, Lenger, nede, i, bygda, gjekk, eit, einsamt, ,, forfrose, menneske, ut, ei, natt, ., No, trong, han, hjelp, frå, den, gode, Gud, ., Denne, gode, Gud, var, ein, som, kunne, openberra, noko, av, sin, herlegdom, ., 
, I, vinterkulden, og, stormhavet, klamra, det, seg, tett, og, varmt, saman, på, dekk, ., Det, var, berre, eitt, å, gjera, :, å, halda, lag, —, berre, å, gjera, den, gode, viljen, ., 
, Vinden, hadde, sopt, snøen, og, vinden, hadde, frose, ., Det, einaste, ljoset, om, bord, var, den, vesle, stjerna, framme, i, riggen, ,, og, den, vesle, lanternen, bak, i, riggen, ., Skipsfløyta, ula, einstonig, i, dei, kalde, timane, ., Og, det, var, som, ein, song, om, den, gode, vona, som, skal, berga, sitt, barn, gjennom, natt, og, gjennom, storm, ., 
, Hans, hadde, eit, lite, hus, på, landet, .]",PRON AUX X NOUN ADV PUNCT DET ADJ NOUN X NOUN PUNCT CCONJ PRON NOUN ADP NOUN ADP NOUN PUNCT SPACE ADJ ADP ADP NOUN X X X PUNCT NOUN NOUN ADP DET NOUN PUNCT X X PRON NOUN PROPN DET ADJ PROPN PUNCT DET ADJ PROPN AUX X PRON AUX VERB NOUN ADP PRON NOUN PUNCT SPACE ADP NOUN CCONJ NOUN VERB PRON PRON ADJ CCONJ ADJ NOUN ADP NOUN PUNCT PRON AUX ADV X PART VERB PUNCT PART VERB NOUN PUNCT ADV PART VERB DET ADJ NOUN PUNCT SPACE NOUN AUX VERB NOUN CCONJ NOUN VERB NOUN PUNCT DET ADJ NOUN ADP NOUN AUX DET ADJ NOUN ADP ADP NOUN PUNCT CCONJ DET ADJ NOUN ADP ADP NOUN PUNCT NOUN PROPN ADJ ADP NOUN ADJ NOUN PUNCT CCONJ PRON AUX ADP X X ADP DET ADJ NOUN PRON AUX VERB PRON NOUN ADP NOUN CCONJ ADP NOUN PUNCT SPACE PRON VERB DET ADJ NOUN ADP NOUN PUNCT,0.049868766404199474,0.37307152875175437,159,762,0.5031446540880503,0.2287784884304166
"[Det, var, så, mange, ting, jeg, savnet, mens, jeg, bodde, i, Afrika, ., Mange, av, klærne, var, laget, av, et, spesielt, stoff, som, fikk, meg, til, å, klø, uutholdelig, over, hele, kroppen, ,, uansett, hvor, jeg, gikk, eller, sto, ., Så, var, det, det, forferdelige, bittet, fra, iglene, ,, som, var, på, størrelse, med, et, barberblad, ,, som, de, små, og, litt, større, fiskene, bet, dem, i, føttene, med, ., Dessuten, syntes, alle, at, de, var, noen, ondskapsfulle, skapningen, Ikke, bare, sugde, de, blod, fra, føttene, våre, ,, men, de, bet, også, ., Det, samme, gjorde, lopper, ,, og, mygg, og, en, hærskare, av, andre, ekle, ., Jeg, er, vant, til, å, ha, store, klær, for, å, unngå, disse, ubehagelige, dyrene, ,, og, jeg, er, ikke, sikker, på, om, jeg, noensinne, vil, venne, meg, til, det, afrikanske, klimaet, uten, sko, som, kan, beskytte, føttene, mot, å, bli, overkjørt, av, oksekjerrer, ,, lastebiler, og, mopeden, I, tillegg, var, det, alle, disse, slangene, som, vi, ble, fortalt, at, bare, eksisterte, på, film, og, i, bøker, ., Til, og, med]",PRON VERB ADV ADJ NOUN PRON VERB SCONJ PRON VERB ADP PROPN PUNCT ADJ ADP NOUN AUX VERB ADP DET ADJ NOUN PRON VERB PRON SCONJ PART VERB ADJ ADP ADJ NOUN PUNCT SCONJ ADV PRON VERB CCONJ VERB PUNCT ADV AUX PRON DET ADJ NOUN ADP NOUN PUNCT PRON AUX ADP NOUN ADP DET NOUN PUNCT PRON DET ADJ CCONJ ADJ ADJ NOUN VERB PRON ADP NOUN ADP PUNCT ADV VERB PRON SCONJ PRON AUX DET ADJ NOUN PART ADV VERB DET NOUN ADP NOUN PRON PUNCT CCONJ PRON VERB ADV PUNCT DET DET VERB NOUN PUNCT CCONJ NOUN CCONJ DET NOUN ADP DET ADJ PUNCT PRON AUX ADJ SCONJ PART VERB ADJ NOUN SCONJ PART VERB DET ADJ NOUN PUNCT CCONJ PRON AUX PART ADJ SCONJ SCONJ PRON ADV AUX VERB PRON ADP DET ADJ NOUN ADP NOUN PRON AUX VERB NOUN SCONJ PART AUX VERB ADP NOUN PUNCT NOUN CCONJ NOUN ADP NOUN AUX PRON DET DET NOUN PRON PRON AUX VERB SCONJ ADV VERB ADP NOUN CCONJ ADP NOUN PUNCT ADP CCONJ ADP,0.03908045977011494,0.36957369062119244,177,870,0.6497175141242938,0.3276987207763374
"[Ja, det, var, vel, ikke, så, rart, at, det, ble, dårlig, ,, etter, så, mange, år, under, vann, ., Men, han, var, blitt, for, svak, til, å, kjempe, mot, sin, skjebne, og, seile, videre, som, før, ., Da, han, lå, der, kunne, han, ikke, annet, enn, å, innrømme, at, en, så, stor, glede, som, han, nå, hadde, opplevd, ,, kunne, han, ikke, huske, han, noe, sinne, hadde, kjent, ., 
, så, på, hverandre, med, nyvakt, glede, ., Den, følelsen, er, så, rar, ,, at, en, er, glad, og, redd, på, samme, tid, ., Det, var, vel, slik, han, følte, det, ,, da, han, lå, med, den, døde, moren, i, armene, ,, da, han, sto, på, dekket, med, rorpinnen, i, den, ene, hånden, og, holdt, rundt, lampen, med, den, andre, og, så, moren, forsvinne, i, bølgenes, død, ., 
, Jeg, skal, aldri, glemme, da, jeg, gikk, i, land, i, Nepal, ., Det, var, i, 1972, ,, såvidt, jeg, vet, var, det, i, februar, ., Vi, var, tre, karer, som, hadde, ligget, der, en, stund, og, flikket, på, skuta, ., Det, var, vel, egentlig, bare, et, spørsmål, om, tid, før, vi, måtte, si, takk, for, oss, og, gjøre, oss]",INTJ PRON AUX ADV PART ADV ADJ SCONJ PRON VERB ADJ PUNCT ADP ADV ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX VERB ADV ADJ SCONJ PART VERB ADP PRON NOUN CCONJ VERB ADJ ADP ADP PUNCT SCONJ PRON VERB ADV AUX PRON PART DET SCONJ PART VERB SCONJ DET ADV ADJ NOUN PRON PRON ADV AUX VERB PUNCT AUX PRON PART VERB PRON DET NOUN AUX ADJ PUNCT SPACE ADV ADP PRON ADP CCONJ NOUN PUNCT DET NOUN AUX ADV ADJ PUNCT SCONJ PRON AUX ADJ CCONJ ADJ ADP DET NOUN PUNCT PRON AUX ADV ADV PRON VERB PRON PUNCT SCONJ PRON VERB ADP DET ADJ NOUN ADP NOUN PUNCT SCONJ PRON VERB ADP NOUN ADP NOUN ADP DET NUM NOUN CCONJ VERB ADP NOUN ADP DET ADJ CCONJ VERB NOUN VERB ADP NOUN NOUN PUNCT SPACE PRON AUX ADV VERB SCONJ PRON VERB ADP NOUN ADP PROPN PUNCT PRON AUX ADP NUM PUNCT ADV PRON VERB AUX PRON ADP NOUN PUNCT PRON AUX NUM NOUN PRON AUX VERB SCONJ DET NOUN CCONJ VERB ADP NOUN PUNCT PRON AUX ADV ADJ ADV DET NOUN ADP NOUN SCONJ PRON AUX VERB NOUN ADP PRON CCONJ VERB PRON,0.04250295159386069,0.37421052631578927,197,847,0.6903553299492385,0.3772641838422371
"[Ja, det, er, det, vel, ikke, noe, å, snakke, om, ., 
, Jeg, kan, ikke, fatte, hvorfor, han, gjør, dette, i, det, hele, tatt, ., Å, herregud, !, 
, Hun, fikk, ikke, frem, et, ord, til, ,, bare, nikket, stumt, ., Hun, så, at, han, trakk, på, skuldrene, ., Det, var, et, skuldertrekk, av, den, typen, man, bruker, på, en, hest, som, har, slått, seg, vrang, ., Han, trakk, pusten, lenge, og, dypt, flere, ganger, og, så, rakte, han, ut, hånden, og, tok, hennes, ., Det, er, ikke, så, ille, ., Vi, er, nødt, til, å, ta, noen, pauser, for, å, passe, på, hestene, ., Jeg, er, blitt, veldig, glad, i, hesten, min, og, jeg, stoler, på, henne, ., Vi, er, på, vei, vestover, ,, mot, et, nytt, liv, for, henne, ., Har, du, lyst, til, å, ri, sammen, med, oss, en, stund, ?, 
, Hun, nølte, et, sekund, ,, så, ristet, hun, på, hodet, ., Han, hadde, ikke, sagt, noe, om, hun, skulle, ri, eller, gå, ., Men, det, er, vel, ikke, så, farlig, med, deg, ., Det, var, den, eneste, trøsten, hun, hadde, nå, og, den, var, skral, ,, som, vanlig, ., 
, Akkurat, nå, erjeg, ikke]",INTJ PRON AUX PRON ADV PART PRON PART VERB ADP PUNCT SPACE PRON AUX PART VERB ADV PRON VERB PRON ADP DET ADJ VERB PUNCT PART INTJ PUNCT SPACE PRON VERB PART ADP DET NOUN ADP PUNCT ADV VERB ADJ PUNCT PRON VERB SCONJ PRON VERB ADP NOUN PUNCT PRON AUX DET NOUN ADP DET NOUN PRON VERB ADP DET NOUN PRON AUX VERB PRON ADJ PUNCT PRON VERB NOUN ADJ CCONJ ADJ ADJ NOUN CCONJ ADV VERB PRON ADP NOUN CCONJ VERB PRON PUNCT PRON AUX PART ADV ADJ PUNCT PRON AUX ADJ SCONJ PART VERB DET NOUN SCONJ PART VERB ADP NOUN PUNCT PRON AUX VERB ADJ ADJ ADP NOUN PRON CCONJ PRON VERB ADP PRON PUNCT PRON VERB ADP NOUN ADP PUNCT ADP DET ADJ NOUN ADP PRON PUNCT VERB PRON NOUN SCONJ PART VERB ADV ADP PRON DET NOUN PUNCT SPACE PRON VERB DET NOUN PUNCT ADV VERB PRON ADP NOUN PUNCT PRON AUX PART VERB PRON SCONJ PRON AUX VERB CCONJ VERB PUNCT CCONJ PRON AUX ADV PART ADV ADJ ADP PRON PUNCT PRON AUX DET NUM NOUN PRON VERB ADV CCONJ PRON AUX ADJ PUNCT ADP ADJ PUNCT SPACE ADV ADV NOUN PART,0.04363636363636364,0.37677835051546477,199,825,0.6582914572864321,0.46222093760620664
"[Så, var, det, noen, som, sa, :, —, Hvorfor, kan, ikke, du, gå, til, henne, og, spørre, om, hun, har, lyst, på, noe, å, spise, ,, —, litt, varm, mat, kanskje, ,, en, flaske, vin, ., Hun, kunne, trenge, litt, oppmuntring, !, Du, ser, trett, ut, ,, sa, fru, Doyle, ., Så, tok, hun, de, varme, ullstrømpene, ,, —, ja, ,, til, og, med, de, røde, ullsokkene, er, varme, nå, om, dagen, —, —, hun, tok, dem, på, seg, ., Du, kunne, trenge, en, god, og, varm, suppe, med, noen, grønnsaker, og, litt, kjøtt, eller, fisk, —, det, er, ikke, mye, igjen, av, dem, ute, på, gårdsplassen, ., Og, du, trenger, litt, i, maven, ., —, Og, så, er, vi, sikker, på, å, få, noe, igjen, for, pengene, ., Hun, lo, litt, ,, tok, den, tomme, flasken, og, gikk, til, kjøkkenet, og, sa, til, Mrs., Doyle, at, hun, kunne, ta, seg, fri, med, god, samvittighet, ,, fordi, det, var, en, liten, tjeneste, som, måtte, gjøres, før, aftensmåltidet, ., 
, Det, ble, servert, i, stuen, ., De, fleste, av, familiens, medlemmer, var, til, stede, ., Det, var, vanskelig, å, bli, kvitt, den, følelsen, av]",ADV VERB PRON PRON PRON VERB PUNCT PUNCT ADV AUX PART PRON VERB ADP PRON CCONJ VERB SCONJ PRON VERB NOUN ADP PRON PART VERB PUNCT PUNCT ADJ ADJ NOUN ADV PUNCT DET NOUN NOUN PUNCT PRON AUX VERB ADJ NOUN PUNCT PRON VERB ADJ ADP PUNCT VERB PROPN PROPN PUNCT ADV VERB PRON DET ADJ NOUN PUNCT PUNCT INTJ PUNCT ADP CCONJ ADP DET ADJ NOUN AUX ADJ ADV ADP NOUN PUNCT PUNCT PRON VERB PRON ADP PRON PUNCT PRON AUX VERB DET ADJ CCONJ ADJ NOUN ADP DET NOUN CCONJ ADJ NOUN CCONJ NOUN PUNCT PRON VERB PART ADJ ADV ADP PRON ADP ADP NOUN PUNCT CCONJ PRON VERB ADJ ADP NOUN PUNCT PUNCT CCONJ ADV AUX PRON ADJ SCONJ PART VERB PRON ADV ADP NOUN PUNCT PRON VERB ADJ PUNCT VERB DET ADJ NOUN CCONJ VERB ADP NOUN CCONJ VERB ADP NOUN PROPN SCONJ PRON AUX VERB PRON ADJ ADP ADJ NOUN PUNCT SCONJ PRON VERB DET ADJ NOUN PRON AUX VERB ADP NOUN PUNCT SPACE PRON AUX VERB ADP NOUN PUNCT DET ADJ ADP NOUN NOUN AUX ADP NOUN PUNCT PRON AUX ADJ PART VERB VERB DET NOUN ADP,0.04132231404958678,0.3829824561403513,193,847,0.6113989637305699,0.3796463256733076
"[Det, var, som, om, to, skott, som, smalt, i, det, samme, og, slo, ham, ut, —, ja, ,, så, brått, som, når, man, slår, av, strømmen, i, en, dynamo, ., Han, så, at, det, gikk, to, mann, med, lykter, og, lyste, som, besatte, foran, ham, ., Han, kunne, kjenne, på, seg, at, de, kom, etter, ., 
, Han, måtte, springe, for, å, komme, ut, til, den, vesle, skogs, veien, —, ja, ,, om, det, var, aldri, så, mye, liv, i, ham, ., 
, Men, så, var, det, også, slutt, på, alt, som, het, krefter, og, vilje, hos, ham, ,, de, var, som, blåst, bort, ., Han, kunne, knapt, nok, stamme, fram, at, han, hadde, sett, dem, ,, disse, karene, som, kom, etter, ham, ., 
, Men, det, hadde, han, ikke, gjort, heller, ., 
, Han, hadde, sovnet, !, Slik, som, det, ble, gjort, med, alle, han, kjente, ,, hadde, de, vel, fått, ham, i, seng, ., 
, Så, var, de, ute, av, syne, ., 
, Da, han, våknet, ,, satt, han, på, sengekanten, inne, hos, dem, ., 
, Jaså, —, sovnet, igjen, !, 
, Det, kunne, forresten, være, interessant, å, se, litt, på, den, sengen, han, hadde, sovnet, i., Han, satte, seg, ytterst, på, senge]",PRON AUX ADP SCONJ NUM NOUN PRON VERB ADP DET DET CCONJ VERB PRON ADP PUNCT INTJ PUNCT ADV ADJ PRON SCONJ PRON VERB ADP NOUN ADP DET NOUN PUNCT PRON VERB SCONJ PRON VERB NUM NOUN ADP NOUN CCONJ VERB SCONJ VERB ADP PRON PUNCT PRON AUX VERB ADP PRON SCONJ PRON VERB ADP PUNCT SPACE PRON AUX VERB SCONJ PART VERB ADP ADP DET ADJ NOUN NOUN PUNCT INTJ PUNCT SCONJ PRON AUX ADV ADV ADJ NOUN ADP PRON PUNCT SPACE CCONJ ADV AUX PRON ADV ADJ ADP PRON PRON VERB NOUN CCONJ NOUN ADP PRON PUNCT PRON AUX SCONJ VERB ADP PUNCT PRON AUX ADJ ADV VERB ADP SCONJ PRON AUX VERB PRON PUNCT DET NOUN PRON VERB ADP PRON PUNCT SPACE CCONJ PRON AUX PRON PART VERB ADV PUNCT SPACE PRON AUX VERB PUNCT ADV PRON PRON AUX VERB ADP DET PRON VERB PUNCT AUX PRON ADV VERB PRON ADP NOUN PUNCT SPACE ADV AUX PRON ADP ADP PROPN PUNCT SPACE SCONJ PRON VERB PUNCT VERB PRON ADP NOUN ADP ADP PRON PUNCT SPACE PROPN PUNCT VERB ADV PUNCT SPACE PRON AUX ADV AUX ADJ PART VERB ADJ ADP DET NOUN PRON AUX VERB PUNCT PRON VERB PRON ADJ ADP NOUN,0.04156769596199525,0.38332912988650647,205,842,0.6634146341463415,0.38208864126754044
"[Det, er, ikkje, lenge, til, jul, ,, derfor, har, vi, valt, denne, oppgåva, i, norsk, ., Kvar, einaste, dag, fram, gjennom, advent, går, elevane, rundt, og, ventar, på, noko, ., 
, Vi, tek, ein, runde, i, klasserommet, og, spør, :, -, Kva, ventar, vi, mest, på, ?, 
, Dei, er, like, spente, kvar, dag, ., 
, Eva, :, -, Eg, ventar, på, julepakka, med, ei, nissejente, i, og, ein, masse, pakkar, omkring, ., 
, Lene, :, -, Eg, ventar, mest, på, julesongen, i, kyrkja, ., 
, Det, er, ikkje, sikkert, eg, får, sjå, dei, !, Men, dei, kan, godt, kome, ,, og, ho, kan, godt, snakke, til, meg, !, Eg, veit, det, er, jul, !, Eg, kan, ikkje, la, vere, å, tenkje, på, det, ., Kanskje, du, kan, sjå, dei, ?, 
, Doktoren, :, -, Eg, ventar, på, juleutstillingane, i, butikkane, ., Dei, er, noko, heilt, spesielt, ., 
, Då, dei, for, fram, over, hovudstaden, ,, fekk, dei, auge, på, ein, liten, gut, som, leika, for, seg, sjølv, ved, eit, gjerde, og, såg, ut, som, han, venta, på, julenissen, ., Doktoren, stans]",PRON VERB ADV ADJ ADP NOUN PUNCT ADV AUX PRON VERB DET NOUN ADP NOUN PUNCT X ADJ NOUN ADP ADP NOUN VERB NOUN ADP CCONJ NOUN ADP X PUNCT SPACE PRON X X NOUN ADP NOUN CCONJ VERB PUNCT PUNCT X VERB PRON ADJ ADP PUNCT SPACE PRON AUX ADV ADJ DET NOUN PUNCT SPACE PROPN PUNCT PUNCT PROPN PROPN ADP NOUN ADP DET PROPN ADP CCONJ X X NOUN ADP PUNCT SPACE PROPN PUNCT PUNCT PROPN PROPN ADJ ADP NOUN ADP PROPN PUNCT SPACE PRON AUX ADV ADJ X VERB ADV X PUNCT CCONJ NOUN AUX ADJ VERB PUNCT CCONJ NOUN AUX ADJ VERB ADP PRON PUNCT PROPN X PRON AUX NOUN PUNCT PROPN AUX X VERB VERB PART VERB ADP PRON PUNCT ADV PRON AUX VERB X PUNCT SPACE PROPN PUNCT PUNCT PROPN PROPN ADP PROPN ADP PROPN PUNCT NOUN X X ADJ ADJ PUNCT SPACE X X ADP ADP ADP NOUN PUNCT VERB X X ADP X X X X NOUN ADP PRON DET ADP X NOUN CCONJ VERB ADP PRON PRON VERB ADP NOUN PUNCT NOUN VERB,0.04749679075738126,0.4043013698630133,182,779,0.6098901098901099,0.26838711596848375
"[Kor, mange, prosent, av, kroppen, skal, månen, få, ?, 
, 7, Kva, må, vi, multiplisere, med, for, å, få, 100, ?, 8, Kor, mange, prosent, av, kroppen, skal, månen, få, ?, 
, 9, Finn, ut, ved, å, dele, på, 100, ,, slik, som, ovanfor, ., 
, Vi, skal, blande, ein, bolle, jordbærsaft, med, eplesaft, ., Til, saman, blir, det, 4, %, alkohol, ., Kor, mange, prosent, av, kvar, av, dei, to, saftsortane, er, alkohol, ?, 
, Kor, mange, prosent, av, appelsinane, er, grøne, ?, Vi, får, 50, g, sukker, av, 200, g, sukkerrasjon, ., 
, g, sukker, til, ein, appelsin, ?, ., 
, Ei, flaske, brus, inneheld, 3, liter, brus, ., Dei, har, delt, flaska, på, tre, barn, ,, kor, mange, liter, brus, får, kvart, barn, ?, 
, a, ), Kor, mange, prosent, brus, er, det, ?, 
, b, ), Kor, mange, prosent, vatn, i, brusen, er, det, ?, 
, c, ), Kor, stort, er, volumet, av, resten, av, brusen, ?, 
, I, ei, oppskrift, på, pannekaker, som, veg, 750, g, til, fire, personar, ,, skal, det, vere, :, 3, dl, væske, ,, 1, hg, margarin, ,, 1, hg, kveitem]",ADV ADJ NOUN ADP NOUN AUX NOUN VERB PUNCT SPACE NUM PROPN AUX PRON VERB ADP SCONJ PART VERB NUM PUNCT NUM NOUN ADJ NOUN ADP NOUN AUX NOUN VERB PUNCT SPACE NUM PROPN ADP SCONJ PART VERB ADP NUM PUNCT ADV ADP ADP PUNCT SPACE PRON AUX VERB X X NOUN ADP NOUN PUNCT ADP NOUN VERB PRON NUM NOUN NOUN PUNCT ADV ADJ NOUN ADP NOUN ADP PROPN NUM NOUN AUX NOUN PUNCT SPACE NOUN ADJ NOUN ADP NOUN AUX ADJ PUNCT PRON VERB NUM NOUN VERB ADP NUM NOUN NOUN PUNCT SPACE NOUN VERB ADP X NOUN PUNCT PUNCT SPACE DET NOUN NOUN PROPN NUM NOUN NOUN PUNCT NOUN AUX VERB NOUN ADP NUM NOUN PUNCT ADV ADJ NOUN NOUN VERB NOUN NOUN PUNCT SPACE NOUN PUNCT ADV ADJ NOUN NOUN AUX PRON PUNCT SPACE NOUN PUNCT ADV ADJ NOUN NOUN ADP NOUN AUX PRON PUNCT SPACE NOUN PUNCT ADV ADJ AUX NOUN ADP NOUN ADP NOUN PUNCT SPACE ADP DET NOUN ADP NOUN SCONJ NOUN NUM NOUN ADP NUM NOUN PUNCT AUX PRON VERB PUNCT NUM NOUN NOUN PUNCT NUM NOUN NOUN PUNCT NUM NOUN NOUN,0.061381074168797956,0.41759890859481474,190,782,0.47368421052631576,0.17439655047838648
"[Det, er, veldig, viktig, med, hygiene, i, barnehage, og, skole, ., Det, er, derfor, viktig, med, vask, og, puss, av, tennene, ., 
, at, noen, andre, kan, hjelpe, til, ,, eller, at, den, voksne, har, vasket, dem, ., Barna, bør, ha, sin, egen, tannbørste, og, tannkrem, ., 
, Når, du, har, funnet, tannbørsten, ,, børster, du, i, sirkelbevegelser, bortover, tennene, ., 
, og, la, den, virke, litt, til, ., 
, børster, du, tennene, med, vann, ., 
, gjerne, tanntråd, ., 
, fra, den, ene, tannen, i, underkjeven, ., 
, Du, går, til, tannlegen, for, å, få, undersøkt, tennene, dine, ., 
, på, tannbørsten, ., 
, at, han, /, hun, pusser, tennene, ,, og, at, du, pusser, tennene, etterpå, ., Tannlegen, forteller, at, vi, bør, pusse, tennene, for, eksempel, en, og, en, halv, time, etter, frokost, ,, én, gang, i, løpet, av, arbeidsdagen, og, én, gang, i, løpet, av, kvelden, ., Vi, pusser, naturligvis, tannen, etter, hvert, måltid, ., 
, Tannkjøttet, skal, du, sjekke, en, gang, i, uken, hvis, du, synes, du, har, litt, dårlig, ånde, ., Ånden, kan, være, veldig, god, hvis]",PRON AUX ADJ ADJ ADP NOUN ADP NOUN CCONJ NOUN PUNCT PRON AUX ADV ADJ ADP NOUN CCONJ NOUN ADP NOUN PUNCT SPACE SCONJ DET DET AUX VERB ADP PUNCT CCONJ SCONJ DET ADJ AUX VERB PRON PUNCT NOUN AUX VERB PRON DET NOUN CCONJ NOUN PUNCT SPACE SCONJ PRON AUX VERB NOUN PUNCT VERB PRON ADP NOUN ADP NOUN PUNCT SPACE CCONJ VERB PRON VERB ADJ ADP PUNCT SPACE VERB PRON NOUN ADP NOUN PUNCT SPACE ADV NOUN PUNCT SPACE ADP DET NUM NOUN ADP NOUN PUNCT SPACE PRON VERB ADP NOUN SCONJ PART AUX VERB NOUN PRON PUNCT SPACE ADP NOUN PUNCT SPACE SCONJ PRON PUNCT PRON VERB NOUN PUNCT CCONJ SCONJ PRON VERB NOUN ADV PUNCT NOUN VERB SCONJ PRON AUX VERB NOUN ADP NOUN DET CCONJ DET ADJ NOUN ADP NOUN PUNCT NUM NOUN ADP NOUN ADP NOUN CCONJ NUM NOUN ADP NOUN ADP NOUN PUNCT PRON VERB ADV NOUN ADP DET NOUN PUNCT SPACE NOUN AUX PRON VERB DET NOUN ADP NOUN SCONJ PRON VERB PRON VERB ADJ ADJ NOUN PUNCT NOUN AUX AUX ADJ ADJ SCONJ,0.04245283018867924,0.37632040050062665,182,848,0.5384615384615384,0.26416207397023606
