tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, en, gång, 

, #, The, man, who, was, 

, #, #, The, man, who, was, 

, The, man, who, was, is, a, story, about, a, man, who, has, lost, his, memory, ., He, is, trying, to, find, out, who, he, is, and, where, he, comes, from, ., He, is, searching, for, his, identity, ., 

, The, man, who, was, is, a, story, about, a, man, who, has, lost, his, memory, ., He, is, trying, to, find, out, who, he, is, and, where, he, comes, from, ., He, is, searching, for, his, identity, ., 

, The, man, who, was, is, a, story, about, a, man, who, has, lost, his, memory, ., He, is, trying, to, find, out, who, he, is, and, where, he, comes, from, ., He, is, searching, for, his, identity, ., 

, The, man, who, was, is, a, story, about, a, man, who, has, lost, his, memory, ., He, is, trying, to, find, out, who, he, is, and, where, he, comes, from, ., He, is, searching, for, his, identity, ., 

, The, man, who, was, is, a, story, about, a, man, who, has, lost, his, memory, ., He, is, trying, to, find]",CCONJ PRON AUX DET NOUN SPACE NOUN PROPN X X X SPACE NOUN NOUN PROPN X X X SPACE PROPN X X X X X X X X X X X X ADJ X PUNCT X X X X X X X X X X X X X X PUNCT X X X X X X PUNCT SPACE PROPN X X X X X X X X X X X X ADJ X PUNCT X X X X X X X X X X X X X X PUNCT X X X X X X PUNCT SPACE PROPN X X X X X X X X X X X X ADJ X PUNCT X X X X X X X X X X X X X X PUNCT X X X X X X PUNCT SPACE PROPN X X X X X X X X X X X X ADJ X PUNCT X X X X X X X X X X X X X X PUNCT X X X X X X PUNCT SPACE PROPN X X X X X X X X X X X X ADJ X PUNCT X X X X ADJ,0.035897435897435895,0.36147742818057715,196,780,0.30612244897959184,0.1432008146489072
"[Det, var, einst, ein, König, ,, der, einst, ein, König, war, ,, 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ., 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ,, 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ., 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ,, 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ., 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ,, 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ., 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ,, 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ., 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ,, 

, Der, einst, ein, König, war, ,, der, einst, ein, König, war, ., 

, Der, einst, ein, König, war, ,, der, einst, ein]",PRON AUX NOUN PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN X PROPN X PUNCT SPACE PRON NOUN X PROPN PROPN PUNCT SCONJ NOUN PROPN,0.027692307692307693,0.3288519134775364,165,650,0.3212121212121212,0.028870097303913884
"[Det, var, så, länge, sedan, jag, skrev, på, bloggen, ., Det, är, inte, att, jag, inte, har, något, att, skriva, om, ,, det, är, bara, att, jag, inte, har, tid, ., Men, nu, har, jag, en, hel, helg, hemma, och, jag, ska, skriva, om, vad, som, hänt, sedan, jag, skrev, senast, ., 

, The, last, time, I, wrote, on, the, blog, was, in, the, beginning, of, May, ., It, ’, s, been, a, while, since, then, ., It, ’, s, not, that, I, haven, ’, t, had, anything, to, write, about, ,, it, ’, s, just, that, I, haven, ’, t, had, time, ., But, now, I, have, a, whole, weekend, at, home, and, I, ’, m, going, to, write, about, what, ’, s, happened, since, I, last, wrote, ., 

, The, last, time, I, wrote, on, the, blog, was, in, the, beginning, of, May, ., It, ’, s, been, a, while, since, then, ., It, ’, s, not, that, I, haven, ’, t, had, anything, to, write, about, ,, it, ’, s, just, that, I, haven, ’, t, had, time, ., But, now]",PRON AUX ADV ADJ X X VERB ADP NOUN PUNCT PRON X X X X X VERB X X X ADP PUNCT X X X X X X VERB NOUN PUNCT CCONJ ADV VERB VERB DET ADJ NOUN X X X X X ADP X ADP X X X VERB NOUN PUNCT SPACE PROPN X NOUN ADP PROPN X X X X X X X X PROPN PUNCT X X X X X X X X PUNCT X X X X X ADP NOUN X NOUN X X X X X PUNCT PROPN X X X X ADP NOUN X NOUN ADP NOUN PUNCT X X ADP X X PROPN PROPN SCONJ X X PROPN X NOUN X X X X X X PROPN PROPN PROPN ADP PROPN PROPN PUNCT SPACE PROPN X NOUN ADP PROPN X X X X X X X X PROPN PUNCT X X X X X X X X PUNCT X X X X X ADP NOUN X NOUN X X X X X PUNCT PROPN X X X X ADP NOUN X NOUN ADP NOUN PUNCT X X,0.05028735632183908,0.3816692426584239,184,696,0.2826086956521739,0.23916731318618953
"[Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

, Ja, det, var, en, gång, en, kung, 

]",INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE INTJ PRON AUX DET NOUN DET NOUN SPACE,0.029411764705882353,0.2800000000000009,136,476,0.625,0.12179132502401657
"[Ja, det, er, en, liten, løsning, til, at, få, en, lille, kalender, på, din, hjemmeside, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og, MySQL, ., 

, Kalenderen, er, lavet, med, PHP, og]",INTJ PRON AUX DET ADJ NOUN SCONJ SCONJ VERB DET ADJ NOUN ADP PRON NOUN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ PROPN PUNCT SPACE NOUN AUX ADJ ADP NOUN CCONJ,0.0599250936329588,0.4329484536082456,122,534,0.38524590163934425,0.08656562105257315
"[Så, var, det, en, liten, kirke, ,, 

, som, stod, på, en, lille, bakke, ,, 

, og, der, var, en, lille, kirkegård, ,, 

, som, var, omgivet, af, en, lille, græsset, ., 

, Der, var, en, lille, kirkeklokke, ,, 

, som, var, lille, og, lydte, lille, ,, 

, og, der, var, en, lille, kirkeklokker, ,, 

, som, var, lille, og, lydte, lille, ., 

, Der, var, en, lille, kirkeklokke, ,, 

, som, var, lille, og, lydte, lille, ,, 

, og, der, var, en, lille, kirkeklokke, ,, 

, som, var, lille, og, lydte, lille, ., 

, Der, var, en, lille, kirkeklokke, ,, 

, som, var, lille, og, lydte, lille, ,, 

, og, der, var, en, lille, kirke]",ADV VERB PRON DET ADJ NOUN PUNCT SPACE PRON VERB ADP DET ADJ NOUN PUNCT SPACE CCONJ ADV AUX DET ADJ NOUN PUNCT SPACE PRON AUX PROPN PROPN DET ADJ NOUN PUNCT SPACE ADV AUX DET ADJ NOUN PUNCT SPACE PRON AUX ADJ CCONJ ADJ ADJ PUNCT SPACE CCONJ ADV AUX DET ADJ NOUN PUNCT SPACE PRON AUX ADJ CCONJ ADJ ADJ PUNCT SPACE ADV AUX DET ADJ NOUN PUNCT SPACE PRON AUX ADJ CCONJ ADJ ADJ PUNCT SPACE CCONJ ADV AUX DET ADJ NOUN PUNCT SPACE PRON AUX ADJ CCONJ ADJ ADJ PUNCT SPACE ADV AUX DET ADJ NOUN PUNCT SPACE PRON AUX ADJ CCONJ ADJ ADJ PUNCT SPACE CCONJ ADV AUX DET ADJ NOUN,0.05543710021321962,0.35466666666666663,116,469,0.4482758620689655,1.0
"[Det, var, som, om, de, var, i, en, film, ., 

, The, first, time, I, saw, the, movie, ,, I, was, in, awe, ., I, was, in, awe, of, the, way, the, movie, was, made, ,, the, way, the, actors, were, portrayed, ,, and, the, way, the, story, was, told, ., I, was, in, awe, of, the, way, the, movie, was, made, ,, the, way, the, actors, were, portrayed, ,, and, the, way, the, story, was, told, ., 

, The, movie, is, a, great, example, of, how, a, movie, can, be, made, in, a, way, that, is, both, entertaining, and, educational, ., The, movie, is, a, great, example, of, how, a, movie, can, be, made, in, a, way, that, is, both, entertaining, and, educational, ., 

, The, movie, is, a, great, example, of, how, a, movie, can, be, made, in, a, way, that, is, both, entertaining, and, educational, ., The, movie, is, a, great, example, of, how, a, movie, can, be, made, in, a, way, that, is, both, entertaining, and, educational, ., 

, The, movie, is, a, great, example, of, how, a, movie, can, be, made, in, a, way, that, is, both, entertaining, and]",PRON AUX ADP SCONJ PRON AUX ADP DET NOUN PUNCT SPACE X X NOUN ADP X X X PUNCT ADP X X X PUNCT ADP X X X X X X X X X X PUNCT X X X PROPN PROPN PROPN PUNCT X X X X X X X PUNCT ADP X X X X X X X X X X PUNCT X X X PROPN PROPN PROPN PUNCT X X X X X X X PUNCT SPACE PROPN X X X X X X X X PROPN X X X X X X X X X X X X PUNCT PROPN X X X X X X X X PROPN X X X X X X X X X X X X PUNCT SPACE PROPN X X X X X X X X PROPN X X X X X X X X X X X X PUNCT PROPN X X X X X X X X PROPN X X X X X X X X X X X X PUNCT SPACE PROPN X X X X X X X X PROPN X X X X X X X X X X X,0.03489771359807461,0.37442455242966666,194,831,0.28865979381443296,0.18962497216820823
"[Det, er, ikkje, ennå, klart, hva, som, skjer, med, dette, projektet, ., 

, #, The, project, 

, The, project, is, a, collaboration, between, the, University, of, Bergen, ,, the, University, of, Oslo, ,, the, University, of, Tromsø, ,, the, University, of, Stavanger, ,, the, University, of, Agder, ,, the, University, of, Nordland, ,, the, University, of, South-Eastern, Norway, ,, the, University, of, Lillehammer, ,, the, University, of, Nordland, ,, the, University, of, Oslo, ,, the, University, of, Tromsø, ,, the, University, of, Stavanger, ,, the, University, of, Agder, ,, the, University, of, Nordland, ,, the, University, of, South-Eastern, Norway, ,, the, University, of, Lillehammer, ,, the, University, of, Nordland, ,, the, University, of, Oslo, ,, the, University, of, Tromsø, ,, the, University, of, Stavanger, ,, the, University, of, Agder, ,, the, University, of, Nordland, ,, the, University, of, South-Eastern, Norway, ,, the, University, of, Lillehammer, ,, the, University]",PRON AUX ADV ADV ADJ PRON PRON VERB ADP DET NOUN PUNCT SPACE NOUN PROPN X SPACE PROPN X X X X X X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PUNCT X PROPN X PROPN PROPN PUNCT X PROPN X PROPN PUNCT X PROPN,0.050061050061050064,0.39371428571428485,148,819,0.2635135135135135,0.12068124624761449
"[Kor, mange, prosent, av, norske, barn, og, ungdom, har, en, god, håndskapskompetanse, ?, 

, #, The, Norwegian, Handwriting, Competition, 

, The, Norwegian, Handwriting, Competition, is, a, national, competition, for, children, and, young, people, in, Norway, ., The, competition, is, held, every, year, in, the, spring, ., 

, The, competition, is, open, to, all, children, and, young, people, in, Norway, ., The, competition, is, divided, into, three, age, groups, :, 

, -, 1st, to, 3rd, grade, 
, -, 4th, to, 6th, grade, 
, -, 7th, to, 9th, grade, 

, The, competition, is, held, in, two, rounds, ., In, the, first, round, ,, the, participants, write, a, text, of, their, own, choice, ., In, the, second, round, ,, the, participants, write, a, text, that, is, given, to, them, ., 

, The, competition, is, organized, by, the, Norwegian, Handwriting, Association, ., The, association, is, a, non-profit, organization, that, works, to, promote, good, handwriting, in, Norway, ., 

, The, competition, is, a, great, way, for]",NOUN ADJ NOUN ADP ADJ NOUN CCONJ NOUN VERB DET ADJ NOUN PUNCT SPACE NOUN PROPN PROPN PROPN PROPN SPACE PROPN PROPN PROPN PROPN X X X PROPN ADP NOUN X X PROPN X PROPN PUNCT PROPN X X X X X X X NOUN PUNCT SPACE PROPN X X X X DET X X X PROPN X PROPN PUNCT PROPN X X X X X PROPN PROPN PUNCT SPACE PUNCT NUM NUM PROPN NOUN SPACE PUNCT NUM X X NOUN SPACE PUNCT NUM NUM ADJ X SPACE PROPN X X X X X NOUN PUNCT X X X PROPN PUNCT X PROPN PROPN X X X X X X PUNCT X X X X PUNCT X PROPN PROPN X X X X X X X PUNCT SPACE PROPN X X X X X PROPN PROPN PROPN PUNCT PROPN X X X X X X X X X X PROPN X PROPN PUNCT SPACE PROPN X X X X X ADP,0.05502392344497608,0.3872935196950452,161,836,0.2857142857142857,0.27431272322583167
"[Det, er, veldig, viktig, å, ha, en, god, forståelse, av, hva, som, skjer, når, du, kjører, en, forretningsmodell, ., 

, I, denne, oppgaven, skal, du, lage, en, forretningsmodell, for, en, kjøkkenmodul, ., 

, #, #, Oppgave, 

, Lag, en, forretningsmodell, for, en, kjøkkenmodul, ., 

, #, #, Krav, 

, -, Du, må, bruke, en, av, de, tre, modelleringsteknikkerne, som, vi, har, gjennomført, i, klassen, ., 
, -, Du, må, bruke, en, av, de, tre, modelleringsteknikkerne, som, vi, har, gjennomført, i, klassen, ., 
, -, Du, må, bruke, en, av, de, tre, modelleringsteknikkerne, som, vi, har, gjennomført, i, klassen, ., 
, -, Du, må, bruke, en, av, de, tre, modell]",PRON AUX ADJ ADJ PART VERB DET ADJ NOUN ADP PRON PRON VERB SCONJ PRON VERB DET NOUN PUNCT SPACE ADP DET NOUN AUX PRON VERB DET NOUN ADP DET NOUN PUNCT SPACE NOUN NOUN X SPACE VERB DET NOUN ADP DET NOUN PUNCT SPACE NOUN NOUN NOUN SPACE PUNCT PRON AUX VERB DET ADP DET NUM NOUN PRON PRON AUX VERB ADP NOUN PUNCT SPACE PUNCT PRON AUX VERB DET ADP DET NUM NOUN PRON PRON AUX VERB ADP NOUN PUNCT SPACE PUNCT PRON AUX VERB DET ADP DET NUM NOUN PRON PRON AUX VERB ADP NOUN PUNCT SPACE PUNCT PRON AUX VERB DET ADP DET NUM NOUN,0.06072106261859583,0.4241841004184099,109,527,0.6055045871559633,0.3107853890333179
