tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, mange, grunner, med, det, ., Det, hadde, jo, ikke, noen, sammenheng, med, andre, kulturminner, for, eksempel, ,, mener, hun, ., 
, Litt, sent, i, januar, sendte, de, videre, en, bekymringsmelding, :, De, hevdet, at, den, var, blitt, utprøvd, på, to, forskjellige, måter, gjennom, skoleundervisning, ,, men, har, likevel, fått, støtte, fra, foreldrene, ., 
, –, Jeg, er, ikke, overrasket, ., Det, er, nok, at, læreren, mente, noe, med, dette, som, ble, utprøvd, på, skolen, gjennom, skoleåret, ,, det, er, jo, snakk, om, en, skoleelev, og, skolepsykolog, i, en, barnehage, med, et, godt, og, trygt, miljø, og, godt, miljø, ., Jeg, tror, man, etter, beste, evne, kan, se, tilbake, på, en, slik, praksis, med, utgangspunkt, i, dette, ., Jeg, så, nok, et, eksempel, på, dette, som, hadde, blitt, utprøvd, ., Men, jeg, synes, vi, har, mye, mindre, kunnskap, ,, sier, hun, og, fortsetter, :, 
, –, Nå, ser, vi, jo, at, vi, er, litt, mer, nøye, med, å, sette, inn, tiltak, og, gi, hjelp, hvis, vi, skal, gjøre, noe, spesielt, i, forbindelse, med, elevenes, skolehverdag, ., 
, Synn, det, er, noe, som, ble, utprøvd, av, foreldrene, i, forkant, av, skolestart, .]",CCONJ PRON VERB ADJ NOUN ADP PRON PUNCT PRON VERB ADV PART DET NOUN ADP DET NOUN ADP NOUN PUNCT VERB PRON PUNCT SPACE ADJ ADJ ADP NOUN VERB PRON ADJ DET NOUN PUNCT PRON VERB SCONJ PRON AUX AUX VERB ADP NUM ADJ NOUN ADP NOUN PUNCT CCONJ AUX ADV VERB NOUN ADP NOUN PUNCT SPACE PUNCT PRON AUX PART ADJ PUNCT PRON AUX ADV SCONJ NOUN VERB PRON ADP PRON PRON AUX VERB ADP NOUN ADP NOUN PUNCT PRON AUX ADV NOUN ADP DET NOUN CCONJ NOUN ADP DET NOUN ADP DET ADJ CCONJ ADJ NOUN CCONJ ADJ NOUN PUNCT PRON VERB PRON ADP ADJ NOUN AUX VERB ADP ADP DET DET NOUN ADP NOUN ADP PRON PUNCT PRON VERB ADV DET NOUN ADP PRON PRON AUX AUX VERB PUNCT CCONJ PRON VERB PRON VERB ADJ ADJ NOUN PUNCT VERB PRON CCONJ VERB PUNCT SPACE PUNCT ADV VERB PRON ADV SCONJ PRON AUX ADJ ADJ ADJ SCONJ PART VERB ADP NOUN CCONJ VERB NOUN SCONJ PRON AUX VERB DET ADJ ADP NOUN ADP NOUN NOUN PUNCT SPACE PROPN PRON AUX PRON PRON AUX VERB ADP NOUN ADP NOUN ADP NOUN PUNCT,0.03773584905660377,0.3848839779005522,193,954,0.6683937823834197,0.37439373132491816
"[Det, var, ein, del, av, desse, som, deltok, ., Eitt, av, desse, hadde, ein, slik, i, dag, som, kom, ved, ei, nyoppgradering, ., I, dag, som, i, går, ,, var, det, berre, å, vente, på, at, Evelyn, Dørberg, frå, Sykkylven, skulle, få, komme, heim, frå, jobben, sin, ., Her, er, vi, ein, stor, familie, på, fire, ,, med, to, born, saman, ., Evelyn, er, oppvaksen, i, bygda, og, oppmodar, om, å, koma, heim, før, det, kjem, ein, liten, tur, ., -, Vi, treng, ikkje, ha, plass, på, grunn, av, at, ein, ikkje, kan, reise, til, Bergen, ,, informerer, ho, og, viser, til, brevet, frå, foreldra, til, mannen, hennar, ., Det, er, berre, kjekt, og, vil, vare, lengre, ., Evelyn, Dørberg, får, heller, ikkje, koma, heim, heim, etter, to, dagar, saman, med, dei, fleste, andre, på, grunn, av, den, store, reisevegen, ., Foto, :, ., 
, Parliamentar, som, vil, bli, verande, i, heimen, sin, på, denne, nye, ferjesambandet, vil, i, utgangspunktet, vera, glade, i, å, reisa, til, Bergen, ., Men, om, vi, får, eit, par, dagar, til]",PRON AUX ADJ NOUN ADP NOUN PRON VERB PUNCT PROPN X NOUN VERB NOUN ADV ADP NOUN PRON VERB ADP DET NOUN PUNCT ADP NOUN PRON ADP NOUN PUNCT AUX PRON ADV PART VERB SCONJ SCONJ PROPN PROPN PROPN PROPN AUX AUX VERB ADP PROPN NOUN PRON PUNCT ADV AUX PRON ADJ ADJ NOUN ADP NUM PUNCT ADP NUM PROPN PROPN PUNCT PROPN AUX NOUN ADP NOUN CCONJ VERB SCONJ X ADJ ADP SCONJ PRON X X ADJ NOUN PUNCT PUNCT PRON VERB X VERB NOUN ADP NOUN ADP SCONJ X X AUX VERB ADP PROPN PUNCT VERB PROPN CCONJ VERB ADP NOUN PROPN PROPN ADP NOUN PROPN PUNCT PRON AUX ADV ADJ CCONJ AUX VERB ADJ PUNCT PROPN PROPN VERB ADV X X X X ADP NUM PROPN PROPN ADP DET ADJ DET ADP NOUN ADP DET ADJ NOUN PUNCT NOUN PUNCT PUNCT SPACE NOUN PRON AUX VERB ADJ ADP NOUN PRON ADP DET ADJ NOUN AUX ADP NOUN PROPN ADJ SCONJ PART VERB ADP PROPN PUNCT CCONJ SCONJ PRON VERB DET NOUN PROPN ADP,0.0475609756097561,0.37937743190661566,176,820,0.6818181818181818,0.2780085931003088
"[Det, var, så, viktig, for, oss, at, vi, hadde, med, oss, hele, familien, ,, og, som, vi, alltid, har, hatt, ., For, første, gang, hadde, vi, med, oss, lillebroren, min, ,, Hanna, på, 13, år, ., Hun, het, Isabell, og, vi, ønsket, å, hjelpe, henne, litt, sånn, uten, alt, som, skjer, ., Hun, ville, at, vi, skulle, få, vite, hvordan, det, var, å, få, en, stor, og, god, jobb, i, barnehagen, ., Mamma, og, pappa, hadde, alt, som, måtte, til, for, at, vi, var, så, heldige, vi, kunne, få, være, mamma, ., 
, I, november, og, november, skal, dere, feire, bursdag, hos, oss, i, Tigerhuset, ,, og, så, blir, festen, i, huset, overstått, ., 
, Det, har, vært, fantastisk, å, være, mamma, og, pappa, i, dag, ,, men, tiden, er, blitt, svært, begrenset, .,  , Når, pappa, snart, kommer, skal, jeg, ta, han, med, på, tur, hjem, til, mamma, og, pappa, ., Mamma, ble, spurt, om, å, være, først, til, møllen, av, mamma, ,, men, fikk, ikke, svar, ., Mamma, har, nemlig, bursdag, ,, og, mamma, er, hos, pappa, og, skal, feire, dagen, med, dem, ., Mamma, vil, bare, gjøre, litt, for, å, hjelpe, alle, barna, ., Mamma, skal, på, et, ekstra, oppdrag]",PRON AUX ADV ADJ ADP PRON SCONJ PRON VERB ADP PRON ADJ NOUN PUNCT CCONJ PRON PRON ADV AUX VERB PUNCT ADP ADJ NOUN VERB PRON ADP PRON NOUN PRON PUNCT PROPN ADP NUM NOUN PUNCT PRON VERB PROPN CCONJ PRON VERB PART VERB PRON ADJ ADV ADP PRON PRON VERB PUNCT PRON VERB SCONJ PRON AUX AUX VERB ADV PRON AUX PART VERB DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT NOUN CCONJ NOUN VERB PRON PRON VERB ADP SCONJ SCONJ PRON AUX ADV ADJ PRON AUX AUX AUX NOUN PUNCT SPACE ADP NOUN CCONJ NOUN AUX PRON VERB NOUN ADP PRON ADP PROPN PUNCT CCONJ ADV VERB NOUN ADP NOUN VERB PUNCT SPACE PRON AUX AUX ADJ PART AUX NOUN CCONJ NOUN ADP NOUN PUNCT CCONJ NOUN AUX VERB ADJ ADJ PUNCT SPACE SCONJ NOUN ADJ VERB AUX PRON VERB PRON ADP ADP NOUN ADP ADP NOUN CCONJ NOUN PUNCT NOUN AUX VERB SCONJ PART AUX ADV ADP NOUN ADP NOUN PUNCT CCONJ VERB PART NOUN PUNCT NOUN VERB ADV NOUN PUNCT CCONJ NOUN AUX SCONJ NOUN CCONJ AUX VERB NOUN ADP PRON PUNCT NOUN AUX ADV VERB ADJ SCONJ PART VERB DET NOUN PUNCT NOUN VERB ADP DET ADJ NOUN,0.039779005524861875,0.3870560747663548,203,905,0.6650246305418719,0.25870588256415583
"[Ja, det, var, en, ny, formulering, at, de, burde, følge, reglene, som, ble, fulgt, ,, nemlig, :, I, henhold, til, forskrift, nr., 158, av, 19.12.13, som, omhandler, "", arbeidstakerens, rettigheter, etter, første, ledd, "", :, "", Av, arbeidstakers, rett, til, å, drive, et, arbeidssted, innen, den, tid, som, er, gitt, "", av, 12.02.16, nr., 113, ,, fremgår, det, at, "", [, ..., ], arbeidsgiverens, rett, til, å, bli, tilført, egen, lønn, som, arbeidstaker, for, at, arbeidstakeren, skal, være, bosatt, i, den, virksomhet, som, han, er, knyttet, til, "", ., Hvis, arbeidstakeren, i, denne, situasjonen, innfører, arbeidsrett, som, arbeidsgivers, styringsrett, ,, og, arbeidsgiveren, ikke, kan, endre, forholdet, ,, mener, forskriften, i, medhold, av, første, ledd, :, 
, "", Dersom, arbeidstakeren, på, grunn, av, arbeidsgivers, arbeid, er, forhindret, fra, å, motta, tjenesteforhold, som, er, unntatt, fra, de, ordinære, regler, om, arbeidssted, uten, diskriminering, på, grunn, av, arbeidsstandard, ,, vil, arbeidstakeren, bli, omfattet, av, arbeidsgivers, styringsrett, ., I, henhold, til, denne, bestemmelsen, kreves, det, i, forskrift, 2, i, kapittel, 9, ikke, noe, krav, fra, arbeidstakers, side, til, å]",INTJ PRON AUX DET ADJ NOUN SCONJ PRON AUX VERB NOUN PRON AUX VERB PUNCT ADV PUNCT ADP NOUN ADP NOUN NOUN NUM ADP NUM PRON VERB PUNCT NOUN NOUN ADP ADJ NOUN PUNCT PUNCT PUNCT ADP NOUN NOUN SCONJ PART VERB DET NOUN ADP DET NOUN PRON AUX VERB PUNCT ADP NOUN NOUN NUM PUNCT VERB PRON SCONJ PUNCT PUNCT PUNCT PUNCT NOUN NOUN SCONJ PART AUX VERB DET NOUN ADP NOUN SCONJ SCONJ NOUN AUX AUX ADJ ADP DET NOUN PRON PRON AUX ADJ ADP PUNCT PUNCT SCONJ NOUN ADP DET NOUN VERB NOUN ADP NOUN NOUN PUNCT CCONJ NOUN PART AUX VERB NOUN PUNCT VERB NOUN ADP NOUN ADP ADJ NOUN PUNCT SPACE PUNCT SCONJ NOUN ADP NOUN ADP NOUN NOUN AUX VERB SCONJ PART VERB NOUN PRON AUX ADP ADP DET ADJ NOUN ADP NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT AUX NOUN AUX VERB ADP NOUN NOUN PUNCT ADP NOUN ADP DET NOUN VERB PRON ADP NOUN NUM ADP NOUN NUM PART DET NOUN ADP NOUN NOUN SCONJ PART,0.044598612487611496,0.3707291666666647,175,1009,0.52,0.15421681383521063
"[Ja, det, er, viktig, å, merke, før, en, innvielse, ?, Jeg, tror, at, jeg, ville, komme, til, å, trenge, det, som, en, del, av, meg, ,, og, at, det, kanskje, er, så, stor, hjelp, i, å, skape, noe, i, de, siste, 6-8, måneders, årene, jeg, er, i, livet, ., 
, Jeg, går, nå, i, 6, eller, 7, måneder, før, jeg, kommer, til, det, punktet, at, jeg, ville, gitt, litt, hjelp, av, og, til, ., Det, er, ikke, så, vanskelig, om, jeg, skal, stå, opp, om, 10-11, på, morgenen, og, si, at, jeg, er, redd, for, å, snakke, med, noen, så, jeg, ikke, gidder, å, bli, med, på, noen, ting, ., Jeg, kan, begynne, å, lage, middag, med, noen, mat, så, da, har, jeg, to, alternativer, ., Jeg, er, ikke, noe, vanlig, jeg, kan, bli, for, tung, ., Det, finnes, en, rekke, gode, tilbud, som, passer, perfekt, der, jeg, kommer, til, å, komme, ned, etter, 4-8, måneders, behandling, ., Jeg, har, tenkt, litt, på, å, skrive, en, omtale, til, om, meg, og, andre, hva, jeg, kan, gjøre, i, forhold, til, det, ,, og, jeg, er, ikke, helt, sånn, jeg, burde, ha, blitt, for, noen, få, dager, siden, ., Men, dere, er, så, flinke, med, å, få]",INTJ PRON AUX ADJ PART VERB ADP DET NOUN PUNCT PRON VERB SCONJ PRON AUX VERB SCONJ PART VERB PRON SCONJ DET NOUN ADP PRON PUNCT CCONJ SCONJ PRON ADV AUX ADV ADJ NOUN SCONJ PART VERB PRON ADP DET ADJ NUM NOUN NOUN PRON AUX ADP NOUN PUNCT SPACE PRON VERB ADV ADP NUM CCONJ NUM NOUN SCONJ PRON VERB ADP DET NOUN SCONJ PRON AUX VERB ADJ NOUN ADP CCONJ ADP PUNCT PRON AUX PART ADV ADJ SCONJ PRON AUX VERB ADP ADP NUM ADP NOUN CCONJ VERB SCONJ PRON AUX ADJ SCONJ PART VERB ADP DET SCONJ PRON PART VERB PART VERB ADP ADP DET NOUN PUNCT PRON AUX VERB PART VERB NOUN ADP DET NOUN SCONJ ADV VERB PRON NUM NOUN PUNCT PRON VERB PART DET ADJ PRON AUX VERB ADV ADJ PUNCT PRON VERB DET NOUN ADJ NOUN PRON VERB ADJ SCONJ PRON VERB SCONJ PART VERB ADP ADP NUM NOUN NOUN PUNCT PRON AUX VERB ADJ SCONJ PART VERB DET NOUN SCONJ ADP PRON CCONJ DET PRON PRON AUX VERB ADP NOUN ADP PRON PUNCT CCONJ PRON AUX PART ADJ ADV PRON AUX AUX VERB ADP DET ADJ NOUN ADV PUNCT CCONJ PRON AUX ADV ADJ SCONJ PART VERB,0.04293785310734463,0.36834928229665076,205,885,0.751219512195122,0.42819773166418723
"[Så, var, det, et, helligt, menneske, som, var, med, til, at, skabe, engagement, hos, et, menneske, som, gerne, vil, bruge, vores, daglige, energi, og, kreativitet, ., Da, vi, opdagede, den, fine, bog, ', Mine, bøger, ', af, Jan, Rylander, ,, vidste, flere, at, udgive, den, ., Og, siden, jeg, læste, den, ,, blev, jeg, ved, med, at, male, ,, som, var, det, jeg, fik, skrevet, af, Jan, Rylander, ., Det, er, meget, flot, !, Det, er, en, fantastisk, bog, ,, det, er, virkelig, dejligt, ,, og, så, giver, jeg, dig, lige, lige, en, smagsprøve, på, ,, hvad, der, rør, sig, i, den, !, 
, Jan, Rylander, er, en, rigtig, god, bog, –, han, skrev, rigtig, gerne, ,, de, bøger, er, fantastisk, flotte, og, han, skrev, også, rigtig, godt, !, 
, Jan, Rylander, –, The, Man, with, His, Arms, 
, Original, titel, :, En, af, de, smukkeste, og, mest, fantastiske, romaner, i, mit, liv, ., Forfatter, :, PellePalle, –, TAK, for, din, og, min, kærlighed, til, dig, og, din, mand, ., 
, Jan, Rylander, er, en, fantastisk, bog, ,, der, kun]",ADV AUX PRON DET ADJ NOUN PRON AUX ADP SCONJ SCONJ NOUN PROPN ADP DET NOUN PRON NOUN AUX VERB VERB ADJ NOUN CCONJ NOUN PUNCT SCONJ PRON VERB DET ADJ NOUN PUNCT PROPN NOUN PUNCT X PROPN PROPN PUNCT ADJ ADJ SCONJ VERB PRON PUNCT CCONJ SCONJ PRON VERB PRON PUNCT VERB PRON ADP SCONJ SCONJ VERB PUNCT PRON AUX PRON PRON VERB VERB ADJ PROPN PROPN PUNCT PRON AUX ADV ADJ PUNCT PRON AUX DET ADJ NOUN PUNCT PRON AUX ADJ ADJ PUNCT CCONJ ADV NOUN PRON PROPN ADJ ADJ DET NOUN ADP PUNCT VERB ADV NOUN ADV ADP PRON PUNCT SPACE PROPN PROPN AUX DET NOUN ADJ NOUN PUNCT PRON VERB ADJ NOUN PUNCT DET NOUN AUX ADJ ADJ CCONJ PRON VERB ADV ADJ ADJ PUNCT SPACE PROPN PROPN PUNCT PROPN PROPN X X PROPN SPACE ADJ NOUN PUNCT DET X DET ADJ CCONJ ADJ ADJ NOUN ADP ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN ADP PRON CCONJ PRON NOUN ADP X CCONJ PRON NOUN PUNCT SPACE PROPN PROPN AUX DET ADJ NOUN PUNCT SCONJ ADV,0.05672009864364982,0.3854068241469821,180,811,0.42777777777777776,0.187008069140306
"[Det, var, som, alle, tidligere, parre, hadde, det, travelt, ., Det, er, nemlig, for, lett, å, ha, det, trav, i, dag, hvis, man, har, tid, til, det, også, ., Derfor, hadde, jeg, og, kjæresten, min, på, besøk, i, dag, også, ,, og, i, dag, ,, er, vi, klare, for, å, tilbringe, kvelden, sammen, på, Mademoise, Boulevard, ,, en, av, mine, favoritter, blant, norske, kinoer, og, kinoer, ., 
, Jeg, er, sikker, på, at, et, slikt, besøk, ville, være, mye, moro, ., Men, vi, er, ikke, i, mot, noen, av, de, tilbudene, vi, får, ., Derfor, er, vi, glade, for, at, vi, i, hvert, fall, skal, arrangere, noe, sosialt, samtidig, som, det, blir, en, del, sosialt, og, moro, ., 
, Vi, er, veldig, glad, i, å, gi, ut, bøker, og, spille, pianoprogrammer, ., Hvis, det, er, noe, du, lurer, på, ,, er, det, i, hvertfall, med, en, gave, i, en, av, byene, i, nærheten, ., 
, er, jo, like, mye, som, i, Oslo, ,, i, dag, har, jeg, lyst, til, å, finne, en, passende, leilighet, å, reise, til, på, en, øy, i, nærheten, av, New, Zealand, ., Hvis, det, derimot, er, noe, for, den, lille, bygda, vår, :, å, komme, å, bo, noen]",PRON AUX ADP DET ADJ NOUN VERB PRON ADJ PUNCT PRON AUX ADV ADV ADJ PART VERB PRON ADV ADP NOUN SCONJ PRON VERB NOUN ADP PRON ADV PUNCT ADV VERB PRON CCONJ NOUN PRON ADP NOUN ADP NOUN ADV PUNCT CCONJ ADP NOUN PUNCT AUX PRON ADJ SCONJ PART VERB NOUN ADV ADP PROPN PROPN PUNCT DET ADP PRON NOUN ADP ADJ NOUN CCONJ NOUN PUNCT SPACE PRON AUX ADJ SCONJ SCONJ DET DET NOUN AUX AUX ADJ NOUN PUNCT CCONJ PRON AUX PART ADP ADP DET ADP DET NOUN PRON VERB PUNCT ADV AUX PRON ADJ SCONJ SCONJ PRON ADP DET NOUN AUX VERB DET ADJ ADJ PRON PRON VERB DET NOUN ADJ CCONJ NOUN PUNCT SPACE PRON AUX ADJ ADJ SCONJ PART VERB ADP NOUN CCONJ VERB NOUN PUNCT SCONJ PRON VERB PRON PRON VERB ADP PUNCT AUX PRON ADP ADV ADP DET NOUN ADP DET ADP NOUN ADP NOUN PUNCT SPACE AUX ADV ADV ADJ ADP ADP PROPN PUNCT ADP NOUN VERB PRON NOUN SCONJ PART VERB DET ADJ NOUN PART VERB ADP ADP DET NOUN ADP NOUN ADP PROPN PROPN PUNCT SCONJ PRON ADV AUX PRON ADP DET ADJ NOUN PRON PUNCT PART VERB PART VERB DET,0.044673539518900345,0.37524271844660095,202,873,0.6881188118811881,0.3719724400565959
"[Det, er, ikkje, eit, av, dei, mest, aktuelle, tema, i, Noreg, i, dag, ., Eit, program, som, skriv, om, miljø-, og, klimaspørsmål, er, noko, dei, mest, populære, stoffa, innanfor, norsk, oljevern, går, føre, seg, ., I, alle, år, sidan, førre, verdskrigen, sat, ei, rad, medlemar, og, tok, imot, tilbod, om, foredrag, ., 
, med, utgangspunkt, i, oljevernberedskapen, ,, men, vart, etter, litt, etterkrigstilla, i, oljeindustrien, ., I, dag, heiter, det, at, Noreg, er, eit, «, land, som, har, ei, sterk, makt, på, oljevernområ, det, ., 
, fusjonar, og, krig, på, grunn, av, olje, og, oljeforureining, ., Når, oljevernsamarbeidet, vart, nedlagt, i, 1940, ,, vart, det, ikkje, høve, til, eit, slikt, samarbeid, ., 
, Sjølv, om, Norge, stort, sett, har, vore, samla, i, eit, år, i, den, norske, oljevernrørsla, ,, har, det, ikkje, lenge, vore, eit, særleg, stort, problem, for, Noreg, å, kunne, halde, denne, statusen, vedlike, i, fredelege, former, ., 
, Framleis, kan, ein, ikkje, vente, at, Noreg, skal, stå, samla, om, ein, sam, ling, på, dette]",PRON VERB X X ADP DET ADJ ADJ NOUN ADP PROPN ADP NOUN PUNCT PROPN NOUN PRON NOUN ADP NOUN CCONJ NOUN AUX X PRON ADJ ADJ NOUN ADP ADJ NOUN VERB VERB PRON PUNCT ADP DET NOUN X X PROPN X DET X PROPN CCONJ VERB ADP NOUN ADP NOUN PUNCT SPACE ADP NOUN ADP NOUN PUNCT CCONJ VERB ADP ADJ NOUN ADP NOUN PUNCT ADP NOUN VERB PRON SCONJ PROPN AUX DET PUNCT NOUN PRON VERB DET ADJ NOUN ADP NOUN PRON PUNCT SPACE PROPN CCONJ NOUN ADP NOUN ADP NOUN CCONJ NOUN PUNCT SCONJ NOUN AUX VERB ADP NUM PUNCT VERB PRON X X ADP DET DET NOUN PUNCT SPACE PROPN ADP PROPN ADJ VERB AUX X X ADP X NOUN ADP DET ADJ PROPN PUNCT VERB PRON ADV ADJ X X PROPN ADJ NOUN ADP PROPN PART AUX VERB DET NOUN ADJ ADP NOUN NOUN PUNCT SPACE ADJ AUX X X VERB SCONJ PROPN AUX VERB ADV ADP X PROPN NOUN ADP PRON,0.045507584597432905,0.3835396039603938,167,857,0.592814371257485,0.26311500534840015
"[Kor, mange, prosent, av, dei, som, står, i, gjeldande, krav, er, gjeldande, etter, tvangsinnfordringar, ,, sjå, punkt, 11.2., 
, Når, fristen, for, å, gjelda, gjeldande, frå, ,, vert, avkorta, frå, forfallsgrunnlag, ,, skal, eigar, ikkje, betale, med, renterisiko, ., For, å, få, fastsetting, av, tvangsinnfordringar, gjeld, gjeldande, frå, med, dei, resterande, tala, ,, se, punkt, 14.5.3., 
, 118.2.4, Er, namna, ikkje, avsette, ., Blir, namna, i, samsvar, med, gjeldande, reglar, ikkje, betalt, ?, Kan, namna, i, slike, tilfelle, avsettast, av, namna, som, ikkje, har, heimel, til, å, betale, ?, I, dette, tilfellet, må, namna, også, ha, heimel, til, å, ta, inn, meir, enn, 1/12, av, dei, nye, krava, i, §, 2-3., Dei, som, skal, betale, skal, gi, namna, dei, gamle, i, samsvar, med, gjeldande, krav, etter, tvangsfullt, grunnleggjande, ., Dersom, namna, er, av, ein, større, eller, mindre, del, er, det, stor, forseinking, ,, og, namna, har, ein, meir, eller, mindre, fastsett, grenseland, .]",ADV ADJ NOUN ADP NOUN PRON VERB ADP ADJ NOUN AUX ADJ ADP NOUN PUNCT VERB NOUN NOUN SPACE SCONJ NOUN SCONJ PART X X X PUNCT AUX PROPN PROPN NOUN PUNCT AUX X X VERB ADP NOUN PUNCT SCONJ PART VERB NOUN ADP NOUN NOUN X X ADP X X PROPN PUNCT VERB NOUN NUM SPACE NUM AUX PROPN X VERB PUNCT VERB VERB ADP NOUN ADP X X X ADJ PUNCT AUX PROPN ADP DET NOUN ADJ ADP PROPN SCONJ X VERB NOUN SCONJ PART VERB PUNCT ADP DET NOUN AUX VERB ADV VERB NOUN SCONJ PART VERB ADP ADJ ADP NOUN ADP NOUN ADJ NOUN ADP NOUN PROPN NOUN PRON AUX VERB AUX VERB VERB PRON ADJ ADP NOUN ADP ADJ NOUN ADP PROPN NOUN PUNCT SCONJ PROPN AUX ADP NOUN ADJ CCONJ ADJ NOUN VERB PRON ADJ NOUN PUNCT CCONJ PROPN VERB PROPN PROPN CCONJ ADJ ADJ NOUN PUNCT,0.053204353083434096,0.3622879177377888,153,827,0.5424836601307189,0.15539886519929896
"[Det, er, veldig, viktig, for, å, forstå, denne, prosessen, før, vi, prøver, å, ha, en, god, dialog, fra, dag, én, på, dette, området, ., Når, hun, er, veldig, trygg, på, dette, ,, blir, dette, spesielt, tydelig, på, hvor, hun, oppfører, seg, ., Hun, får, god, hjelp, fra, meg, og, forteller, at, hun, skal, ta, seg, av, meg, ., Vi, kommer, til, å, fortelle, litt, om, henne, og, hennes, situasjon, ,, noe, jeg, også, vil, fortelle, mer, om, når, vi, har, snakket, med, henne, ., Det, gjelder, spesielt, på, et, hotell, ,, det, skal, være, to, restauranter, ,, og, på, to, av, bordene, ., Vi, skal, snakke, med, henne, og, hun, skal, fortelle, litt, mer, om, oss, på, en, litt, lengre, tur, i, morgen, ,, og, det, håper, jeg, du, også, kommer, over, til, frokost, ., Hun, fikk, for, meg, at, hun, var, en, slik, som, kom, hit, om, morgenen, tidlig, onsdag, ,, så, vi, har, vært, i, bryllupsplanleggingen, en, hel, uke, med, mye, festligheter, ,, og, derfor, ser, vi, at, hun, er, veldig, trygg, på, at, vi, skal, hjelpe, så, hun, kan, dele, livet, sitt, med, oss, og, det, er, viktig, at, hun, hjelper, oss, å, følge, opp, ., Det, gir, henne, mye, mer, enn, noen]",PRON AUX ADJ ADJ SCONJ PART VERB DET NOUN SCONJ PRON VERB PART VERB DET ADJ NOUN ADP NOUN NUM ADP DET NOUN PUNCT SCONJ PRON AUX ADJ ADJ ADP PRON PUNCT VERB PRON ADJ ADJ SCONJ ADV PRON VERB PRON PUNCT PRON VERB ADJ NOUN ADP PRON CCONJ VERB SCONJ PRON AUX VERB PRON ADP PRON PUNCT PRON VERB SCONJ PART VERB ADJ ADP PRON CCONJ PRON NOUN PUNCT PRON PRON ADV AUX VERB ADJ ADP SCONJ PRON AUX VERB ADP PRON PUNCT PRON VERB ADJ ADP DET NOUN PUNCT PRON AUX AUX NUM NOUN PUNCT CCONJ ADP NUM ADP NOUN PUNCT PRON AUX VERB ADP PRON CCONJ PRON AUX VERB ADJ ADJ ADP PRON ADP DET ADJ ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB PRON PRON ADV VERB ADP ADP NOUN PUNCT PRON VERB ADP PRON SCONJ PRON AUX DET ADV PRON VERB ADV ADP NOUN ADJ NOUN PUNCT CCONJ PRON AUX AUX ADP NOUN DET ADJ NOUN ADP ADJ NOUN PUNCT CCONJ ADV VERB PRON SCONJ PRON AUX ADJ ADJ SCONJ SCONJ PRON AUX VERB SCONJ PRON AUX VERB NOUN PRON ADP PRON CCONJ PRON AUX ADJ SCONJ PRON VERB PRON PART VERB ADP PUNCT PRON VERB PRON ADJ ADJ ADP DET,0.03397027600849257,0.377446808510637,206,942,0.7621359223300971,0.34793965460088305
