tokenized_text,lix_score
"['Men', 'det', 'var', 'først', 'etter', 'den', 'fransk-tyske', 'krigen', 'i', '1870', '-', '1871', 'at', 'tanken', 'på', 'en', 'norsk', 'jernbane', 'virkelig', 'begynte', 'å', 'ta', 'form', '.', 'En', 'kongelig', 'kommisjon', 'ble', 'straks', 'nedsatt', 'i', '1871', ',', 'for', 'å', 'utrede', 'spørsmålet', ',', 'og', 'den', 'besto', 'av', 'fire', 'menn', 'fra', 'overklassen', 'og', 'to', 'fagmenn', '.', 'Det', 'var', 'ingeniørløytnant', 'Johan', 'Georg', 'Ræder', '(', 'senere', 'general', 'i', 'hæren', ')', 'og', 'den', 'kjente', 'oberst', 'Jacob', 'Munthe-', 'Morgenstjerne', '(', 'skipsreder', 'm.m.', ')', 'fra', 'Bergen', 'og', 'de', 'to', 'geologene', 'Theodor', 'Kjerulf', 'fra', 'Oslo', 'og', 'Baltazar', 'Mathias', 'Keilhau', 'fra', 'Kristiania', '.', 'De', 'to', 'siste', 'bidro', 'i', 'høy', 'grad', 'til', 'å', 'sette', 'fart', 'i', 'utviklingen', '.', 'Maleri', 'av', 'Adolf', 'Tidemand', ',', '1865.', '(', 'Billedsamlingen', ',', 'Nasjonalmuseet', ')', 'En', 'viktig', 'grunn', 'til', 'at', 'saken', 'fikk', 'fart', 'på', 'seg', ',', 'var', 'at', 'en', 'ny', 'og', 'lovende', 'teknologi', 'gjorde', 'det', 'lettere', 'å', 'gå', 'i', 'detalj', 'i', 'undersøkelsene', 'av', 'terrenget', '.', 'Nå', 'ble', 'for', 'første', 'gang', 'nivellering', 'tatt', 'i', 'bruk', 'i', 'Norge', ',']",49.81875
"['Det', 'var', 'ein', 'tidleg', 'morgon', '.', 'Tussmørkret', 'la', 'sin', 'grøssartunge', 'hand', 'over', 'dalen', 'som', 'låg.der', 'og', 'pusta', 'ut', 'etter', 'natta', ',', 'som', 'ein', 'døyande', 'mann', 'etter', 'ein', 'lang', 'og', 'strevsam', 'dag', '.', 'Dei', 'få', 'som', 'enno', 'var', 'vakne', ',', 'låg', 'i', 'sengene', 'sine', 'og', 'kjende', 'seg', 'som', 'dauden', 'i', 'sin', 'nærleik', '.', 'Det', 'var', 'som', 'om', 'mørket', 'rådde', 'grunnen', 'åleine', '.', 'Ikkje', 'var', 'dagen', 'langt', 'unna', ',', 'berre', 'eit', 'blått', 'skimmer', 'i', 'horisonten', '.', 'Og', 'i', 'neste', 'augneblink', '.', 'ein', 'strålande', 'soloppgang', 'med', 'ljos', 'og', 'varme', 'i', 'det', 'dimme', '.', 'Dei', 'var', 'i', 'ferd', 'med', 'å', 'sovna', 'inn', 'att', ',', 'både', 'den', 'eine', 'og', 'den', 'andre', ',', 'da', 'ein', 'mann', 'steig', 'fram', 'frå', 'skogen', 'på', 'hi', 'sida', 'av', 'elva', ',', 'og', 'stemnde', 'fram', 'mot', 'staden', 'der', 'eg', 'stod', '.', 'Han', 'var', 'ikkje', 'åleine', '.', 'I', 'eit', 'knirkande', 'par', 'ski', ',', 'med', 'stav', 'i', 'handa', ',', 'kom', 'ein', 'annan', 'mann', 'seg', 'tungt', 'på', 'føtene', '.', 'Og', 'på', 'akslene', 'hadde', 'han', 'ein', 'hund', ',', 'ein', 'svartb']",24.629411764705882
"['Det', 'var', 'så', 'mørkt', 'av', 'elde', 'i', 'salen', ',', 'i', 'det', 'dystre', ',', 'gamle', 'herresetet', 'fra', 'middelalderen', '.', 'Elen', 'og', 'sønnen', 'sto', 'i', 'borggården', ',', 'ute', 'blant', 'de', 'gamle', 'bygningene', 'som', 'sto', 'på', 'de', 'bratte', ',', 'morkne', 'murveggene', ',', 'noen', 'sto', 'der', 'som', 'store', 'trær', 'i', 'skygge', ',', 'andre', 'som', 'lave', 'busker', 'som', 'strakte', 'seg', 'mot', 'den', 'mørke', 'kvelden', '.', 'Elen', 'hadde', 'hutret', ',', 'og', 'hun', 'syntes', 'det', 'var', 'godt', 'å', 'komme', 'under', 'paraplyen', 'av', 'en', 'kåpe', 'og', 'et', 'sjal', ',', 'mens', 'solen', 'glitret', 'i', 'de', 'gamle', 'takåsene', '.', 'Nå', 'skinte', 'lyset', 'så', 'sterkt', 'igjen', 'at', 'det', 'svidde', 'i', 'øynene', ',', 'så', 'hun', 'tok', 'av', 'seg', 'hatten', 'og', 'la', 'den', 'varsomt', 'på', 'en', 'sten', 'for', 'å', 'kunne', 'se', 'over', 'den', ',', 'så', 'hun', 'ikke', 'skulle', 'venne', 'seg', 'til', 'det', 'sterke', 'skinnet', '.', 'Det', 'var', 'en', 'stund', 'siden', 'hun', 'hadde', 'vært', 'her', ',', 'hun', 'trodde', 'nok', 'at', 'hun', 'hadde', 'vært', 'her', 'på', 'denne', 'årstiden', ',', 'men', 'så', 'feil', 'kunne', 'hun', 'ta', ',', 'og', 'hun', 'skuttet', 'seg', ',', 'for', 'i', 'den', 'svake', 'brisen', 'fra', 'fjorden']",39.66949152542373
"['Ja', 'det', 'var', 'vel', 'og', 'bra', 'det', 'å', 'ta', 'med', 'seg', 'ei', 'slik', 'liste', 'og', 'gå', 'til', 'handelsmannen', 'med', 'den', ',', 'og', 'så', 'få', 'eit', 'par', 'pakker', 'kaffe', '?', 'Men', 'kva', 'slags', 'kaffe', 'var', 'så', 'dette', 'då', '?', 'Kven', 'hadde', 'dyrka', 'han', '?', 'Kan', 'hende', 'ein', 'annan', 'bonde', '?', 'Det', 'var', 'den', 'verste', 'kaffen', 'ein', 'kunne', 'tenkje', 'seg', '.', 'Ikkje', 'anna', 'enn', 'at', 'dei', 'ikkje', 'hadde', 'noko', 'anna', 'der', 'på', 'handelsposten', 'å', 'få', '.', 'Dei', 'hadde', 'berre', 'eit', 'utval', 'av', 'den', 'verste', 'kaffen', 'handelsmannen', 'kunne', 'ha', ',', 'og', 'alle', 'syntest', 'at', 'den', 'var', 'god', '.', 'Kanskje', 'var', 'det', 'slik', 'kaffe', ',', 'og', 'kanskje', 'ein', 'slik', 'ein', ',', 'sjølv', 'på', 'desse', 'kantane', 'av', 'verda', '?', 'Nei', ',', 'der', 'trudde', 'ikkje', 'handelsmannen', 'han', 'var', 'komen', '.', 'Nei', ',', 'det', 'var', 'denne', 'tsjekkaren', 'som', 'hadde', 'kaffen', '.', 'Og', 'tsjekkaren', 'var', 'det', 'same', 'over', 'alt', 'der', 'han', 'kom', '.', 'Ein', 'som', 'kom', 'med', 'slik', 'ein', 'utvalskoffert', '.', 'Og', 'som', 'gav', 'seg', 'til', 'å', 'prate', 'med', 'folk', 'og', 'fortelje', 'kva', 'for', 'eit', 'fint', 'land', 'dei', 'budde', 'i', ',', 'og', 'kva', 'for', 'eit', 'fint', 'land', 'dei', 'skulle', 'få', ',']",19.39814814814815
"['Ja', 'det', 'er', 'i', 'grunnen', 'den', 'beste', 'beskrivelsen', 'på', 'at', 'det', 'er', 'stor', 'forskjell', 'på', 'å', 'være', 'en', 'tenåring', 'og', 'å', 'være', 'tenåringsforeldre', '.', 'Da', 'vår', 'nest', 'eldste', 'sønn', 'var', '11', 'år', 'fikk', 'han', 'diabetes', 'mellitus', '.', 'En', 'av', 'hans', 'eldre', 'søstre', ',', 'var', 'hos', 'oss', 'da', 'han', 'fikk', 'diagnosen', '.', 'Hun', 'var', 'helt', 'fantastisk', 'flink', 'med', 'både', 'blodsukkermålinger', 'og', 'med', 'å', 'ta', 'insulin', '.', 'Hun', 'hadde', 'selvfølgelig', 'snakket', 'med', 'pappaen', 'sin', 'om', 'det', ',', 'så', 'hun', 'var', 'helt', 'forberedt', 'da', 'hun', 'seiv', 'fikk', 'diagnosen', '.', 'Det', 'var', 'bare', 'så', 'viktig', 'for', 'oss', 'foreldre', 'å', 'få', 'sagt', 'at', 'også', 'vi', 'var', 'flinke', 'til', 'å', 'måle', 'blodsukker', 'og', 'ta', 'insulin', ',', 'og', 'at', 'vi', 'også', 'visste', 'at', 'det', 'var', 'masse', 'jobb', 'med', 'å', 'måle', 'mengder', 'og', 'ta', 'insulin', '.', 'Vi', 'brukte', 'mye', 'tid', 'på', 'å', 'forklare', 'at', 'det', 'kom', 'til', 'å', 'gå', 'fint', 'med', 'denne', 'sykdommen', 'også', '.', 'Når', 'det', 'er', 'sagt', 'er', 'mange', 'ungdommer', 'veldig', 'flinke', 'med', 'diabetes', 'og', 'har', 'hatt', 'den', 'hele', 'livet', ',', 'så', 'de', 'vet', 'jo', 'masse', 'om', 'sykdom', 'fra', 'før', 'av', '.', 'Den', 'eldste', 'kom', 'inn', 'som', 'en', 'engel', 'den', 'gangen', 'han', 'fikk', 'diagnosen', ',', 'men', 'etter', 'en', 'stund', 'ble', 'hun', 'ganske']",35.74390243902439
"['Så', 'var', 'det', 'den', 'siste', 'natta', '.', '-', 'Han', 'må', 'ha', 'vore', 'i', 'bakrus', 'der', 'han', 'sto', 'og', 'sveiva', 'på', 'den', 'store', 'sveivegrammofonen', 'med', 'plater', '.', '-', '-', 'Det', 'song', '.', '—', 'Og', 'då', 'ho', 'kom', 'nærare', 'såg', 'ho', 'at', 'han', 'hadde', 'plukka', 'den', 'vesle', 'blåveisen', '.', '-', '—', 'Ho', 'hadde', 'aldri', 'sett', 'så', 'langt', 'eit', 'auga', 'før', '.', 'Den', 'natta', 'var', 'det', 'godt', 'å', 'gå', 'inn', 'i', 'ein', 'ny', 'dag', '.', 'Og', 'dagen', 'etter', '.', 'Og', 'dagen', '.', 'Og', 'enda', 'ein', 'dag', '.', 'I', 'grålysinga', ',', 'når', 'dei', 'andre', 'var', 'borte', ',', 'rusla', 'ho', 'framom', 'skålen', 'og', 'var', 'ut', 'av', 'syne', '.', '—', 'Det', 'var', 'ikkje', 'slik', 'før', '.', '-', '—', 'Den', 'første', 'natta', 'ho', 'låg', 'borte', 'på', 'denne', 'måten', 'var', 'det', 'slik', '.', 'Etter', 'ho', 'kom', 'heim', 'att', 'var', 'det', 'annleis', '.', '—', 'Var', 'det', 'noko', 'å', 'hige', 'etter', '?', 'Ne', '-', '-', 'Ho', 'visste', 'ikkje', '.', 'Men', 'å', 'tore', 'ta', 'det', 'siste', 'steget', 'og', 'vere', 'åleine', ',', 'det', 'gjorde', 'ho', 'ikkje', '.', '—', 'I', 'dag', 'er', 'det', 'den', 'sjuande', 'april', '.', '—', 'Det', 'er', 'ein', 'underskrivne', 'kontrakt', 'om', 'kjøp', 'av', 'ei']",11.840216937838965
"['Det', 'var', 'som', 'om', 'noen', 'hadde', 'revet', 'sløret', 'av', 'verden', 'og', 'vist', 'ham', 'et', 'landskap', 'så', 'fremmed', 'at', 'det', 'føltes', 'som', 'et', 'overgrep', 'å', 'få', 'innsyn', 'i', 'dets', 'hemmeligheter', '.', 'I', 'ensomhet', 'var', 'det', 'ingen', 'som', 'kunne', 'fortelle', 'ham', 'om', 'det', ',', 'derfor', 'måtte', 'han', 'søke', 'sin', 'egen', 'vei', '.', 'En', 'vei', 'som', 'alltid', 'skulle', 'føre', 'ham', 'bort', 'fra', 'mennesker', ',', 'i', 'håp', 'om', 'at', 'han', 'seiv', 'en', 'dag', 'kunne', 'hjelpe', 'dem', 'tilbake', '.', '«', 'Det', 'er', 'en', 'grunn', 'til', 'at', 'noen', 'mennesker', 'er', 'som', 'de', 'er', ',', '»', 'hadde', 'han', 'sagt', 'til', 'seg', 'seiv', '.', 'Noen', 'ble', 'født', 'onde', 'og', 'endte', 'som', 'onde', '.', 'De', 'andre', 'blir', 'det', 'hvis', 'de', 'lever', 'i', 'et', 'ondt', ',', 'fordervet', 'miljø', '.', 'En', 'ondskapsfull', 'familie', 'var', 'en', 'slik', 'grunn', ',', 'men', 'det', 'kunne', 'være', 'en', 'god', 'grunn', 'også', ',', 'men', 'det', 'krevde', 'større', 'mot', 'å', 'erkjenne', 'enn', 'det', 'krevde', 'ondskap', 'å', 'skjule', '.', 'Han', 'visste', 'at', 'det', 'var', 'mulig', 'å', 'være', 'ond', 'seiv', 'om', 'grunnlaget', 'for', 'ondskapen', 'var', 'noe', 'som', 'skjedde', 'inne', 'i', 'hvert', 'enkelt', 'menneske', '.', 'Og', 'det', 'mennesket', 'kunne', 'være', 'like', 'mye', 'av', 'et', 'menneske', 'som', 'en', 'hvilken', 'som', 'helst', 'annen', '.', 'Han', 'var', 'bare', 'kommet', 'til', 'et', 'punkt', 'midt']",31.40229885057471
"['Det', 'er', 'ikkje', 'noko', 'særsyn', 'at', 'folk', 'flyttar', 'her', 'ifrå', ',', 'dei', 'fleste', 'greier', 'å', 'skaffe', 'seg', 'rimeleg', 'bra', 'levekår', 'andre', 'stader', 'og', 'då', 'helst', 'innanlands', 'eller', 'til', 'ein', 'av', 'dei', 'mange', 'utflyttingsstadene', 'i', 'den', 'europeiske', 'delen', 'av', 'verda', '.', 'Mange', ',', 'dei', 'fleste', ',', 'blir', ',', 'som', 'vi', 'vel', 'vil', 'seie', 'i', 'dag', ',', 'bufaste', '.', 'Men', 'så', 'kjem', 'det', 'stunder', 'då', 'ein', 'ikkje', 'kan', 'gå', 'og', 'trone', 'i', 'ro', 'og', 'mak', ',', 'men', 'blir', 'nøydd', 'til', 'å', 'setje', 'seg', 'mot', 'å', 'bli', 'riven', 'med', 'av', 'straumen', '.', 'ikkje', 'det', 'er', 'så', 'vanskeleg', 'i', 'dag', ',', 'med', 'eit', 'samfunn', 'som', 'har', 'så', 'mange', 'gode', 'attåt', 'det', 'å', 'gjere', 'seg', 'rikare', 'år', 'for', 'år', '.', 'Men', 'så', 'er', 'det', 'mange', 'grunnar', 'til', 'at', 'folk', 'tek', 'til', 'å', 'sjå', 'seg', 'om', 'etter', 'ein', 'annan', 'og', 'billegare', 'bustad', '.', 'Då', 'kan', 'det', 'vere', 'like', 'godt', 'å', 'spørja', 'kvar', 'vi', 'finn', 'slike', 'som', 'kan', 'byggje', 'og', 'skaffe', 'husvære', 'til', 'alle', 'som', 'spør', 'etter', 'eit', 'slikt', 'tilbod', '.', 'Det', 'finst', 'alltid', 'råd', 'til', 'å', 'finne', 'fram', 'til']",34.43818984547461
"['Kor', 'mange', 'prosent', 'er', 'a', '?', 'Fast', 'løysing', ':', 'Vi', 'set', 'a', '=', '2', 'inn', 'i', 'formelen', '.', '=', 'Vi', 'doblar', 'begge', 'ledda', 'og', 'finn', 'kvotienten', '(', 'a', ':', 'b', ')', 'Fast', 'løysing', ':', 'Vi', 'set', 'a', '=', '—', '2', 'og', 'b', '=', '3', 'inn', 'i', 'formelen', '.', 'Fast', 'løysing', ':', 'Vi', 'set', 'a', '=', '4', 'og', 'b', '=', '6', 'inn', 'i', 'formelen', '.', 'Fast', 'løysing', ':', 'Vi', 'set', 'a', '=', '—', '3', 'og', 'b', '=', '5', 'inn', 'i', 'formelen', '.', 'Fast', 'løysing', ':', 'Vi', 'set', 'a', '=', '4', 'og', 'b', '=', '6', 'inn', 'i', 'formelen', '.', 'Fast', 'løysing', ':', 'Vi', 'set', 'x', '=', '4', 'og', 'y', '=', '12', 'inn', 'i', 'formelen', '.', 'Fast', 'løysing', ':', 'Vi', 'set', 'x', '=', '2', 'og', 'y', '=', '3', 'inn', 'i', 'formelen', '.', 'a', ')', 'Finn', 'ut', 'kor', 'mange', 'prosent', 'eit', 'beløp', 'minkar', 'når', 'du', 'vekslar', '500', 'kr', 'om', 'til', 'ein', 'valuta', '.', 'Løysing', ':', 'Vi', 'set', 'opp', 'ein', 'formel', 'som', 'viser', 'pengesummen', 'du', 'vekslar', 'ut', '.', 'som', 'vi', 'kallar', 'vekstfaktoren', '.', 'Vk', 'er', 'det', 'opphavlege', 'beløpet', ',']",28.48748353096179
"['Det', 'er', 'veldig', 'lett', 'å', 'gå', 'seg', 'bort', 'i', 'de', 'store', 'fjellmassene', 'i', 'Himalaya', '.', 'Fjellene', 'her', 'er', 'ikke', 'som', 'det', 'vi', 'er', 'vant', 'til', 'hjemme', '.', 'De', 'er', 'høye', ',', 'bratte', 'og', 'svært', 'ugjestmilde', '.', 'Mange', 'mennesker', 'har', 'omkommet', 'her', 'de', 'siste', 'årene', ',', 'og', 'mange', 'har', 'måttet', 'flykte', 'fra', 'Himalaya', '.', 'kan', 'bli', 'et', 'fristed', ',', 'finner', 'de', 'hjelp', 'og', 'trygghet', 'her', '.', 'Her', 'kan', 'de', 'gå', 'i', 'fred', '.', 'hjelp', 'fra', 'de', 'mange', 'hjelpemannskapene', 'som', 'arbeider', 'her', '.', 'De', 'kalles', 'guider', '.', 'I', 'Himalaya', 'finner', 'vi', 'de', 'høyeste', 'fjellene', 'i', 'verden', ',', 'med', 'topper', 'som', 'rager', 'opptil', '8 840', 'meter', 'over', 'havet', '.', 'Den', 'høyeste', 'toppen', 'heter', 'Mount', 'Everest', 'og', 'er', 'som', 'navnet', 'betyr', ',', 'verdens', 'høyeste', 'fjell', '!', 'Dette', 'er', 'fjellet', 'som', 'alle', 'mennesker', 'drømmer', 'om', 'å', 'bestige', '.', 'det', 'å', 'klatre', 'til', 'topps', 'på', 'Everest', '.', 'Det', 'er', 'faktisk', 'en', 'farlig', 'prosess', ',', 'og', 'de', 'fleste', 'menneskene', 'omkommer', 'her', 'i', 'Himalaya', '.', 'Å', 'komme', 'til', 'topps', 'på', 'Everest', 'krever', 'mye', 'trening', 'fra', 'mange', 'år', 'tilbake', '.', 'For', 'å', 'finne', 'riktig', 'vei', 'opp', 'til', 'toppen', ',']",31.38095238095238
