tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikkje, berre, i, denne, saka, Ap-ordføraren, gjorde, seg, upopulær, ., Etter, ein, intens, debatt, på, årsmøtet, ,, gjekk, han, på, ein, smell, fordi, han, gjorde, sitt, syn, gjeldande, i, den, konkrete, saka, ., 
, Oddvar, Brakestad, ,, Høgre, ,, sa, med, eit, humoristisk, glimt, i, augo, til, årsmøtet, at, dette, var, ei, ny, sak, å, kjempa, mot, ., Til, det, repliserte, ordføraren, :, –, Eg, har, sjølv, kjempa, :, Eg, har, kjempa, for, å, få, til, noko, i, Eidfjord, ., Motparten, er, storindustri-aktørar, på, eit, heilt, anna, felt, ,, sa, han, til, latter, ,, og, hausta, applaus, ., 
, I, debatten, var, det, òg, fleire, som, ville, halda, på, samansetninga, av, styret, på, fem, ,, som, sist, ., Det, enda, med, at, dei, fem, fekk, med, seg, det, eine, av, fire, varafolk, ,, som, dermed, vart, eit, fleirtal, ., g, dei, som, vart, vraka, ville, halda, på, fem, i, styret, ., Her, var, det, ei, kvinne, og, fire, menn, ., 
, Til, HF, seier, Sveinung, Dukstad, (, V]",CCONJ PRON VERB X ADV ADP DET NOUN NOUN VERB PRON ADJ PUNCT ADP NOUN ADJ NOUN ADP NOUN PUNCT VERB PRON ADP X NOUN SCONJ PRON VERB PRON NOUN X ADP DET ADJ NOUN PUNCT SPACE PROPN PROPN PUNCT PROPN PUNCT VERB ADP DET ADJ NOUN ADP NOUN ADP NOUN SCONJ PRON AUX DET ADJ NOUN PART VERB NOUN PUNCT ADP DET ADJ NOUN PUNCT PUNCT PROPN AUX PROPN VERB PUNCT PROPN AUX VERB SCONJ PART VERB ADP NOUN ADP PROPN PUNCT NOUN AUX NOUN ADP X X X NOUN PUNCT VERB PRON ADP NOUN PUNCT CCONJ VERB NOUN PUNCT SPACE ADP NOUN AUX PRON ADV NOUN PRON AUX VERB ADP NOUN ADP NOUN ADP NUM PUNCT ADP ADV PUNCT PRON ADV SCONJ SCONJ NOUN NUM NOUN ADP PRON DET X ADP NUM NOUN PUNCT PRON ADV VERB X X PUNCT VERB NOUN PRON VERB NOUN X VERB ADP NUM ADP NOUN PUNCT ADV VERB PRON DET NOUN CCONJ NUM NOUN PUNCT SPACE ADP PROPN NOUN PROPN PROPN PUNCT PROPN,0.056532663316582916,0.39242302543507285,171,796,0.6023391812865497,0.24422155910716714
"[Det, var, ein, gong, ein, bonde, som, var, så, fattig, ,, at, han, ikkje, kunne, føda, seg, sjølv, ., Han, budde, på, ein, plass, som, heiter, Svidalsheio, i, Jølster, ., Og, plassen, ligg, høgt, opp, under, fjellet, ., Då, kona, hans, vart, gamal, ,, ville, ho, til, ein, gard, og, læra, folkevisdom, ., For, ho, var, lærelysten, ,, og, hadde, godt, minne, ., 
, Så, skulle, det, skje, at, ein, mann, kom, til, bygdar, ,, som, heitte, Bolle, ., Han, kom, att, frå, sjøen, og, tok, inn, i, Svidalen, ., Då, han, spurde, etter, ei, kone, frå, Jølster, ,, som, kunne, læra, han, folkevisdom, ,, sa, mannen, i, Svidalen, :, 
, «, Det, står, ille, til, med, folk, her, i, bygdi, ,, for, me, har, ikkje, nokon, bonde, som, kan, gjeva, seg, av, med, folkevisdom, ,, etter, som, folk, kan, fortelja, ., Kan, du, hjelpa, ein, fattig, mann, ,, så, kjem, du, visst, i, gjestebod, hjå, oss, ., 
, Det, lovde, han, og, heldt, ord, ., Og, så, ein, dag, han, gjekk, frå, Svidalen, ,, tok, han, vegen, opp]",PRON AUX X X X NOUN PRON AUX ADV ADJ PUNCT SCONJ PRON X AUX VERB PRON DET PUNCT PRON VERB ADP X NOUN PRON VERB PROPN ADP PROPN PUNCT CCONJ NOUN VERB INTJ ADP ADP NOUN PUNCT X NOUN PRON X X PUNCT AUX NOUN ADP X PROPN CCONJ NOUN ADV PUNCT CCONJ NOUN AUX NOUN PUNCT CCONJ VERB ADJ NOUN PUNCT SPACE ADV AUX PRON VERB SCONJ X NOUN VERB ADP NOUN PUNCT PRON ADJ PROPN PUNCT PRON VERB X X NOUN CCONJ VERB ADP ADP PROPN PUNCT VERB PRON VERB ADP DET NOUN PROPN PROPN PUNCT PRON AUX NOUN PRON NOUN PUNCT VERB NOUN ADP PROPN PUNCT SPACE PUNCT PRON VERB ADJ ADP ADP NOUN ADV ADP PROPN PUNCT ADP X X X X PROPN PRON AUX VERB PRON ADP ADP NOUN PUNCT ADP SCONJ NOUN AUX ADV PUNCT AUX PRON VERB X ADJ NOUN PUNCT ADV VERB PRON ADJ ADP PROPN PROPN PRON PUNCT SPACE PRON VERB PRON CCONJ ADJ NOUN PUNCT CCONJ VERB ADJ NOUN PRON VERB PROPN PROPN PUNCT VERB PRON NOUN ADP,0.04846938775510204,0.41921088435374004,179,784,0.6033519553072626,0.26889215799254584
"[Det, var, så, tettpakket, på, Stortorvet, lørdag, ettermiddag, ,, at, det, var, vanskelig, å, bevege, seg, i, folkemengden, ., Ikke, overraskende, trakk, tivoliet, til, folk, flest, ., 
, Køen, til, karusellen, Jungelstien, var, ikke, til, å, overse, med, nærmere, 800, elever, fra, Sentrum, skole, i, Moss, som, hadde, samlet, seg, for, tivoli, ., 
, Moss, Avis, ble, også, vitne, til, at, en, av, karusellene, ,, Den, store, berg-og-dalbanen, ,, måtte, stoppe, for, en, kontrollør, ,, men, ikke, uventet, var, det, mye, folk, som, ville, være, med, helt, til, slutt, ., 
, –, Jeg, tar, en, karusell, til, ,, sier, han, kort, ., 
, Folkefesten, ble, avsluttet, med, et, skikkelig, fyrverkeri, i, regi, av, det, lokale, firmaet, Pyro, &, Pyroteknikk, ., g, det, er, grunn, til, å, tro, at, det, ble, satt, pris, på, ., et, var, nemlig, svært, mye, folk, ute, i, gatene, i, hele, Moss, ,, som, hadde, møtt, opp, til, festivalen, .]",PRON AUX ADV ADJ ADP PROPN NOUN NOUN PUNCT SCONJ PRON AUX ADJ PART VERB PRON ADP NOUN PUNCT PART ADJ VERB NOUN ADP NOUN ADJ PUNCT SPACE NOUN ADP NOUN NOUN AUX PART ADP PART VERB ADP ADJ NUM NOUN ADP PROPN NOUN ADP PROPN PRON AUX VERB PRON ADP NOUN PUNCT SPACE PROPN PROPN VERB ADV NOUN SCONJ SCONJ DET ADP NOUN PUNCT DET ADJ NOUN PUNCT AUX VERB ADP DET NOUN PUNCT CCONJ PART ADJ VERB PRON ADJ NOUN PRON AUX AUX ADP ADJ ADP NOUN PUNCT SPACE PUNCT PRON VERB DET NOUN ADP PUNCT VERB PRON ADJ PUNCT SPACE NOUN AUX VERB ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN PROPN CCONJ PROPN PUNCT VERB PRON VERB NOUN SCONJ PART VERB SCONJ PRON AUX VERB NOUN ADP PUNCT DET AUX ADV ADJ ADJ NOUN ADP ADP NOUN ADP ADJ PROPN PUNCT PRON AUX VERB ADP ADP NOUN PUNCT,0.054304635761589407,0.38121813031161506,154,755,0.5584415584415584,0.20717074993488724
"[Ja, det, var, noen, som, ikke, likte, den, og, sa, den, var, et, plagiat, ., Men, det, ble, ikke, rett, ,, for, vi, har, mange, andre, forfattere, også, og, den, var, så, god, ,, sa, en, dame, ., Jeg, er, glad, jeg, fikk, oppleve, denne, fine, konser, ten, på, Skaslien, ., 
, Julestjerne, ., Gaven, til, nissen, med, stjerner, i, øynene, ., 
, Nissekonfe, ransier, Knut, Lille, åsen, leser, juleevangeliet, og, nissens, julepresang, ., 
, opp, på, scena, med, sine, julesanger, mens, korpset, spilte, til, ., Det, er, lenge, siden, det, har, vært, så, fullt, i, storsalen, på, Skaslien, som, på, denne, konserten, ., 
, veldig, mange, blide, ansikt, og, en, kunne, ikke, se, et, eneste, trøtt, ansikt, under, hele, konserten, ., 
, Her, var, det, barn, og, unge, med, både, i, korpset, og, sanggrup, pe, og, de, var, flinke, til, å, være, med, og, synge, ., For, den, som, ikke, fikk, med, seg, den, ne, konserten, ,, får, den, også, an, ledning, til, å, se, den, på, Skas, lien, den, 11., desember, .]",INTJ PRON VERB PRON PRON PART VERB PRON CCONJ VERB PRON AUX DET NOUN PUNCT CCONJ PRON VERB PART NOUN PUNCT CCONJ PRON VERB ADJ DET NOUN ADV CCONJ PRON AUX ADV ADJ PUNCT VERB DET NOUN PUNCT PRON AUX ADJ PRON AUX VERB DET ADJ NOUN PROPN ADP PROPN PUNCT SPACE PROPN PUNCT NOUN ADP NOUN ADP NOUN ADP NOUN PUNCT SPACE ADJ NOUN PROPN PROPN PROPN VERB NOUN CCONJ NOUN NOUN PUNCT SPACE ADP ADP NOUN ADP PRON NOUN SCONJ NOUN VERB ADP PUNCT PRON AUX ADJ SCONJ PRON AUX AUX ADV ADJ ADP NOUN ADP PROPN PRON ADP DET NOUN PUNCT SPACE ADJ ADJ ADJ NOUN CCONJ PRON AUX PART VERB DET NUM ADJ NOUN ADP ADJ NOUN PUNCT SPACE ADV AUX PRON NOUN CCONJ ADJ ADP CCONJ ADP NOUN CCONJ PROPN PROPN CCONJ PRON AUX ADJ SCONJ PART AUX ADP CCONJ VERB PUNCT ADP PRON PRON PART VERB ADP PRON DET NOUN NOUN PUNCT VERB PRON ADV ADV NOUN SCONJ PART VERB PRON ADP PROPN NOUN DET ADJ NOUN PUNCT,0.04962779156327544,0.3699867899603705,174,806,0.603448275862069,0.23185171361653553
"[Ja, det, er, nå, du, må, gjøre, den, store, innsatsen, ., Den, for, det, er, ingen, andre, som, gjør, den, for, deg, ,, så, hvorfor, ikke, være, litt, mer, oppfinnsom, ?, Det, er, mye, du, kan, gjøre, som, folk, ikke, tenker, på, ., Gå, på, bingo, ,, les, avisa, ,, se, på, tv, og, høre, på, musikk, ., Gjør, deg, opp, en, mening, om, hva, som, er, det, aller, verste, for, å, bli, uføretrygdet, ., Det, som, er, det, aller, verste, er, å, måtte, ha, en, så, lav, inntekt, at, en, ikke, kan, kjøpe, det, som, er, aller, mest, nødvendig, ., Og, de, aller, fleste, er, avhengig, av, bilen, i, dette, landet, ., Men, når, man, får, så, lave, trygdeutbetalinger, at, en, ikke, har, råd, til, å, ha, bil, ,, så, blir, man, en, dårligere, sjåfør, ,, og, får, derfor, større, sjanser, til, å, bli, skadet, eller, drept, i, trafikken, ., De, som, har, det, aller, mest, vanskelig, med, å, få, jobb, ,, slik, som, ungdom, ,, innvandrere, eller, lavt, kvalifiserte, ,, har, også, den, lengste, veien, å, gå, for, å, få, uføretrygd, ., 
, blir, uføre-, eller, får, sosialstønad, ., Kanskje, det, er]",INTJ PRON AUX ADV PRON AUX VERB DET ADJ NOUN PUNCT PRON CCONJ PRON VERB DET DET PRON VERB PRON ADP PRON PUNCT CCONJ ADV PART AUX ADJ ADJ ADJ PUNCT PRON VERB ADJ PRON AUX VERB SCONJ NOUN PART VERB ADP PUNCT VERB ADP NOUN PUNCT VERB NOUN PUNCT VERB ADP NOUN CCONJ VERB ADP NOUN PUNCT VERB PRON ADP DET NOUN ADP PRON PRON AUX DET ADV ADJ SCONJ PART VERB NOUN PUNCT PRON PRON AUX DET ADV ADJ AUX PART AUX VERB DET ADV ADJ NOUN SCONJ PRON PART AUX VERB PRON PRON AUX ADV ADJ ADJ PUNCT CCONJ DET ADV ADJ AUX ADJ ADP NOUN ADP DET NOUN PUNCT CCONJ SCONJ PRON VERB ADV ADJ NOUN SCONJ PRON PART VERB NOUN SCONJ PART VERB NOUN PUNCT ADV VERB PRON DET ADJ NOUN PUNCT CCONJ VERB ADV ADJ NOUN SCONJ PART AUX VERB CCONJ VERB ADP NOUN PUNCT PRON PRON VERB PRON ADV ADJ ADJ SCONJ PART VERB NOUN PUNCT ADV ADP NOUN PUNCT NOUN CCONJ ADJ ADJ PUNCT VERB ADV DET ADJ NOUN PART VERB SCONJ PART VERB NOUN PUNCT SPACE VERB NOUN CCONJ VERB NOUN PUNCT ADV PRON AUX,0.041189931350114416,0.3800000000000012,194,874,0.6907216494845361,0.29054613487334924
"[Så, var, det, den, gang, en, ,, da, ;, en, gilde, julekveld, med, ribbe, og, multekrem, ., Men, så, skulle, jula, ut, igjen, også, ., Og, der, i, staken, sto, det, noe, som, jeg, mente, var, en, svibel, ., 
, Men, det, var, det, ikke, ,, for, dette, som, jeg, hadde, plukket, ut, var, en, uanselig, julepresang, ., En, stor, og, pen, julestjerne, som, jeg, tror, har, fått, hedersplassen, i, et, nytt, vindu, inn, til, vintersolverv, ., For, det, var, i, går, ,, det, er, jeg, helt, sik, ker, på, ., ., 
, Solsnudagen, hadde, jeg, nok, en, mistanke, om, ,, men, at, det, var, allerede, 6., desember, var, det, ingen, tvil, om, ., ., 
, Så, skulle, altså, årets, julegåver, inn, i, et, nytt, vindu, og, til, ny, årstid, i, nytt, år, ., 
, men, hva, nå, ?, Det, fine, er, jo, at, vi, alltid, har, julen, til, gode, ., 
, får, vi, feire, med, en, god, mid, dag, på, nyttårsaften, .]",ADV AUX PRON DET NOUN PRON PUNCT ADV PUNCT DET NOUN NOUN ADP NOUN CCONJ NOUN PUNCT CCONJ ADV AUX NOUN ADP ADV ADV PUNCT CCONJ ADV ADP NOUN VERB PRON PRON PRON PRON VERB AUX DET ADJ PUNCT SPACE CCONJ PRON VERB PRON PART PUNCT ADP PRON PRON PRON AUX VERB ADP AUX DET ADJ NOUN PUNCT DET ADJ CCONJ ADJ NOUN PRON PRON VERB AUX VERB NOUN ADP DET ADJ NOUN ADP ADP NOUN PUNCT CCONJ PRON AUX ADP NOUN PUNCT PRON AUX PRON ADJ X PROPN ADP PUNCT PUNCT SPACE NOUN VERB PRON ADV DET NOUN ADP PUNCT CCONJ SCONJ PRON AUX ADV ADJ NOUN VERB PRON DET NOUN ADP PUNCT PUNCT SPACE ADV AUX ADV NOUN NOUN ADP ADP DET ADJ NOUN CCONJ ADP ADJ NOUN ADP ADJ NOUN PUNCT SPACE CCONJ PRON ADV PUNCT DET ADJ AUX ADV SCONJ PRON ADV VERB NOUN ADP NOUN PUNCT SPACE VERB PRON VERB ADP DET ADJ NOUN NOUN ADP NOUN PUNCT,0.05065123010130246,0.38034267912772546,163,691,0.656441717791411,0.30858783817919916
"[Det, var, som, vanlig, en, lett, triumferende, MIL-trener, som, møtte, oss, i, klubbhuset, på, Tau, tirsdag, kveld, ., Med, en, god, fotballkamp, mot, det, laget, som, topper, tabellen, i, 5., divisjon, ,, var, det, ikke, rart, at, han, gliste, fra, øre, til, øre, ., 
, –, Vi, har, veldig, god, moral, i, dette, laget, ., Vi, holder, det, gående, helt, til, fløyta, går, ., Vi, er, ikke, slitne, og, det, er, en, god, indikator, som, gjør, oss, gode, ., Vi, har, heller, ingen, direkte, svake, perioder, i, kampen, ,, legger, han, raskt, til, ., 
, Det, var, Tau, som, var, i, føringen, hele, veien, ,, men, MIL, hadde, sin, beste, periode, da, laget, gikk, til, pause, med, en, ledelse, på, to, mål, ., Etter, hvilen, satte, MIL, inn, et, ekstra, gir, og, scoret, like, godt, to, ganger, og, satte, i, tillegg, ballen, i, eget, nett, ., Den, samme, skjebnen, led, også, Tau, og, dermed, slapp, spillerne, jubelen, løs, ., 
, –, Vi, har, aldri, vært, så, gode, i, en, 5., divisjonskamp, ,, men, vi, har, også, hatt, en, veldig, stigende, formkurve, i, hele, år, ., Det, er, tydelig, at, hele, laget, har, hev]",PRON AUX ADP ADJ DET ADJ ADJ NOUN PRON VERB PRON ADP NOUN ADP PROPN NOUN NOUN PUNCT ADP DET ADJ NOUN ADP DET NOUN PRON VERB NOUN ADP ADJ NOUN PUNCT AUX PRON PART ADJ SCONJ PRON VERB ADP NOUN ADP NOUN PUNCT SPACE PUNCT PRON VERB ADJ ADJ NOUN ADP DET NOUN PUNCT PRON VERB PRON ADJ ADJ ADP NOUN VERB PUNCT PRON AUX PART ADJ CCONJ PRON AUX DET ADJ NOUN PRON VERB PRON ADJ PUNCT PRON VERB ADV DET ADJ ADJ NOUN ADP NOUN PUNCT VERB PRON ADJ ADP PUNCT SPACE PRON AUX PROPN PRON AUX ADP NOUN ADJ NOUN PUNCT CCONJ PROPN VERB PRON ADJ NOUN SCONJ NOUN VERB ADP NOUN ADP DET NOUN ADP NUM NOUN PUNCT ADP NOUN VERB PROPN ADP DET ADJ NOUN CCONJ VERB ADV ADJ NUM NOUN CCONJ VERB ADP NOUN NOUN ADP DET NOUN PUNCT DET DET NOUN VERB ADV PROPN CCONJ ADV VERB NOUN NOUN ADJ PUNCT SPACE PUNCT PRON AUX ADV AUX ADV ADJ ADP DET ADJ NOUN PUNCT CCONJ PRON AUX ADV VERB DET ADJ ADJ NOUN ADP ADJ NOUN PUNCT PRON AUX ADJ SCONJ ADJ NOUN AUX VERB,0.043478260869565216,0.38702830188679205,193,897,0.6113989637305699,0.2795965430029792
"[Det, er, ikkje, lenger, noko, stort, tabu, å, snakka, om, seksualitet, blant, ungdom, ,, meiner, helsesøster, på, Nordhordland, helsestasjon, ,, Elisabeth, Tufta, Olsen, ., -, Ein, kan, jo, ikkje, gjenta, kor, viktig, det, er, med, grensesetjing, og, prevensjon, heile, tida, ,, det, er, sjølvsagt, ein, fordel, å, kunne, snakke, med, ungdommane, om, dette, temaet, ut, frå, kva, dei, har, behov, for, å, snakka, om, ., :, 
, -, Alle, har, hatt, ein, seksuell, debut, ,, og, det, er, eit, sårt, og, viktig, tema, som, mange, unge, er, usikre, på, ., Dette, er, eit, tema, vi, må, lære, å, snakke, høgt, om, ,, meiner, Tufta, Olsen, ., Ho, trur, det, framleis, er, slik, at, mange, foreldre, «, lærde, », sine, barn, kva, det, vil, seia, å, visa, seksuell, åtferd, og, seksuelt, haldningar, frå, heimen, ., 
, -, Men, veldig, mange, unge, har, ikkje, nokon, i, ung, alder, å, snakke, med, om, desse, tinga, ,, seier, Tufta, Olsen, ., 
, LIVSVIKTIG, :, Helsesøster, Elisabeth, Tufta, Olsen, ved, Nordhordland, helse]",PRON VERB ADV ADJ VERB ADJ NOUN PART VERB ADP NOUN ADP NOUN PUNCT VERB NOUN ADP PROPN NOUN PUNCT PROPN PROPN PROPN PUNCT PUNCT X AUX ADV ADV VERB ADV ADJ PRON AUX ADP NOUN CCONJ NOUN X NOUN PUNCT PRON AUX ADV X NOUN PART AUX VERB ADP NOUN ADP DET NOUN ADP PROPN X X VERB NOUN SCONJ PART VERB ADP PUNCT PUNCT SPACE PUNCT PRON AUX VERB ADJ ADJ NOUN PUNCT CCONJ PRON AUX DET ADJ CCONJ ADJ NOUN ADP ADJ ADJ AUX ADJ ADP PUNCT PRON AUX PART NOUN PRON AUX VERB PART VERB NOUN ADP PUNCT VERB PROPN PROPN PUNCT X X PRON ADJ AUX ADV SCONJ ADJ NOUN PUNCT ADJ PUNCT PRON NOUN ADV PRON AUX VERB PART PROPN ADJ NOUN CCONJ ADJ PROPN X NOUN PUNCT SPACE PUNCT CCONJ ADJ ADJ ADJ VERB X X ADP ADJ NOUN PART VERB ADP ADP X NOUN PUNCT NOUN PROPN PROPN PUNCT SPACE NOUN PUNCT NOUN PROPN PROPN PROPN ADP PROPN NOUN,0.05447941888619855,0.3928700128700135,167,826,0.5209580838323353,0.2418327688085202
"[Kor, mange, prosent, av, arealet, til, Hordaland, fylke, er, fjell, ?, 
, Kor, mange, prosent, av, arealet, i, heile, Noreg, er, fjell, ?, 
, 2, Kor, mange, prosent, av, arealet, i, din, kommune, er, fjell, ?, 
, Kor, mange, prosent, av, landarealet, i, din, kommune, er, fjell, ?, 
, (, Dette, spørsmålet, kan, vere, vanskeleg, ., Kanskje, du, må, sjå, i, fasiten, ), ., 
, 7, Kor, mange, m, 2, er, arealet, til, ein, fotballbane, ?, 
, Eit, idrettslag, i, din, kommune, kjøpte, ei, hytte, for, 400, 000, kroner, ,, som, dei, deretter, pussa, opp, for, 600, 000, kroner, ., 
, Torill, kjøpte, hytta, ,, og, dei, rekna, med, at, ho, kunne, ha, ho, i, ti, år, før, ho, måtte, betale, avdrag, på, lånet, ., Ho, hadde, ein, bankkonto, som, gav, 3, %, i, rente, ., Rekn, med, at, renta, heldt, seg, på, 4, %, i, åra, fram, til, hytta, vart, seld, om, ti, år, ., 
, Mellom, anna, måtte, ho, betale, 3, %, av, kjøpesummen, for, å, få, lånet, ,, så, ho, måtte, då, sette, pengar, inn, på, ein, konto, i, tillegg, for, å, betale, avdraga, ., Bankkontoen]",ADV ADJ NOUN ADP NOUN ADP PROPN NOUN AUX NOUN PUNCT SPACE NOUN ADJ NOUN ADP NOUN ADP NOUN PROPN AUX NOUN PUNCT SPACE NUM NOUN ADJ NOUN ADP NOUN ADP PRON NOUN AUX NOUN PUNCT SPACE NOUN ADJ NOUN ADP NOUN ADP PRON NOUN AUX NOUN PUNCT SPACE PUNCT DET NOUN AUX VERB PROPN PUNCT ADV PRON AUX VERB ADP NOUN PUNCT PUNCT SPACE NUM NOUN ADJ NOUN NUM AUX NOUN ADP X NOUN PUNCT SPACE PROPN NOUN ADP PRON NOUN VERB DET NOUN ADP NUM NUM NOUN PUNCT PRON PRON ADV ADJ ADP ADP NUM NUM NOUN PUNCT SPACE PROPN VERB NOUN PUNCT CCONJ X X SCONJ SCONJ NOUN AUX VERB NOUN ADP NUM NOUN SCONJ NOUN AUX VERB NOUN ADP NOUN PUNCT PROPN VERB ADJ NOUN PRON VERB NUM NOUN ADP NOUN PUNCT NOUN SCONJ SCONJ NOUN VERB PRON ADP NUM NOUN ADP NOUN ADP ADP NOUN VERB NOUN ADP NUM NOUN PUNCT SPACE ADP PROPN AUX NOUN VERB NUM NOUN ADP NOUN SCONJ PART AUX NOUN PUNCT CCONJ NOUN AUX X VERB NOUN ADP ADP ADJ NOUN ADP NOUN SCONJ PART VERB NOUN PUNCT NOUN,0.05602923264311815,0.41165803108808197,189,821,0.5238095238095238,0.12919512880277945
"[Det, er, veldig, mye, å, sette, seg, inn, i, når, man, skal, ha, valp, ., Men, en, god, start, er, faktisk, å, starte, allerede, når, en, er, gravid, .,  , Det, finnes, mange, bøker, for, den, som, er, usikker, på, hva, en, skal, gjøre, ., Her, kommer, uansett, noen, tips, og, råd, for, en, god, start, for, et, godt, samliv, ., 
, trenger, ,, og, hva, som, er, kjekt, å, ha, og, når, hunden, er, stor, nok, til, å, være, alene, hjemme, ., 
, En, stor, og, viktig, del, av, hverdagen, til, en, valp, er, sovingen, ., Vi, kan, aldri, forutse, når, en, valp, skal, vakne, eller, når, den, kommer, til, å, sovne, -, og, det, er, også, uvesentlig, ., Om, valpen, ikke, sovner, når, den, er, forventet, å, sove, ,, så, er, det, bare, å, vente, ., La, den, sove, ,, du, legger, deg, kanskje, ikke, først, på, dagen, ., Og, når, du, skal, legge, deg, for, natten, ,, trenger, valpen, ro, ,, så, det, blir, ingen, brå, avskjed, ., 
, Vi, mennesker, har, det, med, å, gi, valper, vår, fulle, oppmerksomhet, ., 
, med, en, gang, valpen, begynner, å, tasse, rundt, og, b]",PRON AUX ADJ ADJ PART VERB PRON ADP ADP SCONJ PRON AUX VERB NOUN PUNCT CCONJ DET ADJ NOUN AUX ADJ PART VERB ADV SCONJ PRON AUX ADJ PUNCT SPACE PRON VERB ADJ NOUN ADP PRON PRON AUX ADJ SCONJ PRON PRON AUX VERB PUNCT ADV VERB ADP DET NOUN CCONJ NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT SPACE VERB PUNCT CCONJ PRON PRON AUX ADJ PART VERB CCONJ SCONJ NOUN AUX ADJ ADV SCONJ PART AUX ADV ADP PUNCT SPACE DET ADJ CCONJ ADJ NOUN ADP NOUN ADP DET NOUN AUX NOUN PUNCT PRON AUX ADV VERB SCONJ DET NOUN VERB ADJ CCONJ SCONJ PRON VERB SCONJ PART VERB PUNCT CCONJ PRON AUX ADV ADJ PUNCT SCONJ NOUN PART VERB SCONJ PRON AUX VERB PART VERB PUNCT ADV AUX PRON ADV PART VERB PUNCT VERB PRON VERB PUNCT PRON VERB PRON ADV PART ADV ADP NOUN PUNCT CCONJ SCONJ PRON AUX VERB PRON ADP NOUN PUNCT VERB NOUN NOUN PUNCT CCONJ PRON VERB DET ADJ NOUN PUNCT SPACE PRON NOUN VERB PRON SCONJ PART VERB NOUN PRON ADJ NOUN PUNCT SPACE ADP DET NOUN NOUN VERB PART VERB ADP CCONJ PROPN,0.04280618311533888,0.3843686868686873,195,841,0.6615384615384615,0.2679983468721247
