tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor, det, var, slik, ., Det, var, heller, ikke, lett, å, finne, en, god, forklaring, på, hvorfor]",CCONJ PRON AUX PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV PRON AUX ADV PUNCT PRON AUX ADV PART ADJ PART VERB DET ADJ NOUN ADP ADV,0.021806853582554516,0.36564551422319386,203,963,0.812807881773399,1.0
"[Det, var, ein, veldig, god, stemning, på, den, siste, av, dei, to, som, var, i, aksjon, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og, fått, med, seg, alle, dei, flotte, bilane, som, var, på, plass, ., Det, var, ein, flott, gjeng, som, hadde, møtt, opp, og]",PRON AUX ADJ ADJ ADJ NOUN ADP DET ADJ ADP PROPN NUM PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ VERB ADP PRON DET DET ADJ NOUN PRON AUX ADP NOUN PUNCT PRON AUX ADJ ADJ NOUN PRON AUX VERB ADP CCONJ,0.026143790849673203,0.37634062140391183,203,918,0.7339901477832512,0.42856715962502484
"[Det, var, så, en, helt, ny, og, spennende, og, lærerik, å, jobbe, med, i, en, hektisk, hverdag, ., Vi, har, hatt, en, fantastisk, utvikling, og, vi, har, fått, mange, nye, venner, og, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, og, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, ., Vi, har, også, fått, nye, venner, som, vi, har, hatt, lyst, til, å, dele, med, dere, .]",PRON AUX ADV DET ADJ ADJ CCONJ ADJ CCONJ ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN CCONJ PRON AUX VERB ADJ ADJ NOUN CCONJ ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN CCONJ ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT PRON AUX ADV VERB ADJ NOUN PRON PRON AUX VERB NOUN SCONJ PART VERB ADP PRON PUNCT,0.031877213695395513,0.3645112781954896,201,847,0.7512437810945274,0.5541550374302145
"[Ja, det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var, med, på, å, få, det, til, ., Det, var, en, av, de, som, var]",INTJ PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX ADP SCONJ PART VERB PRON ADP PUNCT PRON AUX DET ADP PRON PRON AUX,0.026499302649930265,0.3600299401197666,218,717,0.9311926605504587,0.8597959427887824
"[Ja, det, er, ikke, så, lenge, siden, jeg, har, vært, så, heldig, å, få, være, med, på, en, slik, tur, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke, så, mange, som, har, vært, med, på, turene, i, år, ., Jeg, har, vært, med, på, mange, turer, i, år, ,, og, det, er, ikke]",INTJ PRON AUX PART ADV ADJ SCONJ PRON AUX AUX ADV ADJ PART AUX AUX ADP ADP DET DET NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PRON AUX AUX ADP ADP NOUN ADP NOUN PUNCT PRON AUX AUX ADP ADP ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART,0.031055900621118012,0.38148148148148275,212,805,0.8443396226415094,1.0
"[Så, var, det, en, stor, og, fin, dag, i, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, i, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er, så, deilig, å, komme, hjem, til, en, fin, dag, ., Vi, har, hatt, en, fin, dag, i, dag, ,, og, det, er]",ADV AUX PRON DET ADJ CCONJ ADJ NOUN ADP NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN ADP NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADJ PART VERB ADP ADP DET ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX,0.029003783102143757,0.3563172043010758,223,793,0.8295964125560538,1.0
"[Det, var, som, sagt, :, -, Det, er, ikke, noe, jeg, kan, gjøre, for, å, få, til, en, god, løsning, på, det, som, er, viktig, for, meg, å, få, til, ., Jeg, har, ikke, noe, annet, valg, enn, å, ta, det, opp, med, meg, seiv, ,, sier, han, til, VG, Nett, .,  , Han, er, ikke, i, tvil, om, at, han, har, fått, en, god, løsning, på, det, som, har, vært, hans, største, utfordring, ., -, Jeg, har, fått, en, god, løsning, på, det, som, har, vært, mitt, største, problem, i, hele, mitt, liv, ., Jeg, har, fått, en, god, løsning, på, det, som, har, vært, mitt, største, problem, i, hele, mitt, liv, ,, sier, han, .,  , Han, har, fått, en, god, løsning, på, det, som, har, vært, mitt, største, problem, i, hele, mitt, liv, .,  , Han, har, fått, en, god, løsning, på, det, som, har, vært, mitt, største, problem, i, hele, mitt, liv, .,  , Han, har, fått, en, god, løsning, på, det, som, har, vært, mitt, største, problem, i, hele, mitt, liv, .,  , Han, har, fått, en, god, løsning, på, det, som, har, vært, mitt, største, problem, i, hele, mitt, liv, .,  , Han, har, fått, en, god, løsning, på]",PRON AUX SCONJ VERB PUNCT PUNCT PRON VERB PART PRON PRON AUX VERB SCONJ PART VERB ADP DET ADJ NOUN ADP PRON PRON AUX ADJ ADP PRON PART VERB ADP PUNCT PRON VERB PART DET DET NOUN SCONJ PART VERB PRON ADP ADP PRON NUM PUNCT VERB PRON ADP PROPN PROPN PUNCT SPACE PRON AUX PART ADP NOUN SCONJ SCONJ PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN PUNCT PUNCT PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN ADP ADJ PRON NOUN PUNCT PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN ADP ADJ PRON NOUN PUNCT VERB PRON PUNCT SPACE PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN ADP ADJ PRON NOUN PUNCT SPACE PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN ADP ADJ PRON NOUN PUNCT SPACE PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN ADP ADJ PRON NOUN PUNCT SPACE PRON AUX VERB DET ADJ NOUN ADP PRON PRON AUX AUX PRON ADJ NOUN ADP ADJ PRON NOUN PUNCT SPACE PRON AUX VERB DET ADJ NOUN ADP,0.03953488372093023,0.39159062885326584,205,860,0.7658536585365854,0.5817868700052587
"[Det, er, ikkje, at, det, er, ein, del, av, den, norske, kulturarven, ,, men, det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig, som, at, det, er, ein, del, av, den, norske, kulturarven, ., Det, er, ikkje, noko, som, er, så, viktig]",PRON AUX ADV SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ PRON VERB X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ SCONJ SCONJ PRON AUX ADJ NOUN ADP DET ADJ NOUN PUNCT PRON AUX X X PRON AUX ADV ADJ,0.02464788732394366,0.33950186799501875,193,852,0.8963730569948186,0.9218750235007989
"[Kor, mange, prosent, av, dei, som, er, i, Noreg, ,, er, i, dag, i, ferd, med, å, bli, utsett, for, ei, slik, utsetting, ., Det, er, ikkje, berre, i, Noreg, at, det, er, ein, stor, auke, i, talet, på, utsettingar, i, Noreg, ,, men, også, i, Noreg, er, det, ein, stor, auke, i, talet, på, utsettingar, i, Noreg, ., Det, er, også, ein, auke, i, talet, på, utsettingar, i, Noreg, ,, men, det, er, ikkje, berre, i, Noreg, at, talet, på, utsettingar, i, Noreg, er, høgare, enn, i, Noreg, ., Det, er, også, ein, auke, i, talet, på, utsettingar, i, Noreg, ,, men, det, er, også, ein, auke, i, talet, på, utsettingar, i, Noreg, ., Det, er, også, ein, auke, i, talet, på, utsettingar, i, Noreg, ,, men, det, er, også, ein, auke, i, talet, på, utsettingar, i, Noreg, ., Det, er, også, ein, auke, i, talet, på, utsettingar, i, Noreg, ,, men, det, er, også, ein, auke, i, talet, på, utsett]",ADV ADJ NOUN ADP NOUN PRON VERB ADP PROPN PUNCT AUX ADP NOUN ADP NOUN SCONJ PART AUX VERB ADP DET DET NOUN PUNCT PRON VERB X X ADP PROPN SCONJ PRON AUX X ADJ VERB ADP NOUN ADP NOUN ADP PROPN PUNCT CCONJ ADV ADP PROPN AUX PRON X ADJ NOUN ADP NOUN ADP NOUN ADP PROPN PUNCT PRON AUX ADV X X ADP NOUN ADP NOUN ADP PROPN PUNCT CCONJ PRON VERB X X ADP PROPN SCONJ NOUN ADP NOUN ADP PROPN AUX ADJ ADP ADP PROPN PUNCT PRON AUX ADV X X ADP NOUN ADP NOUN ADP PROPN PUNCT CCONJ PRON AUX ADV X X ADP NOUN ADP NOUN ADP PROPN PUNCT PRON AUX ADV X X ADP NOUN ADP NOUN ADP PROPN PUNCT CCONJ PRON AUX ADV X X ADP NOUN ADP NOUN ADP PROPN PUNCT PRON AUX ADV X X ADP NOUN ADP NOUN ADP PROPN PUNCT CCONJ PRON AUX ADV X X ADP NOUN ADP NOUN,0.03977272727272727,0.35563358778626275,162,704,0.6358024691358025,0.5087494366466514
"[Det, er, veldig, viktig, å, få, med, seg, alle, de, som, har, vært, med, på, å, lage, en, god, og, god, bok, ., Det, er, en, bok, som, er, veldig, bra, for, både, barn, og, voksne, ., Det, er, en, bok, som, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den, er, veldig, bra, for, både, barn, og, voksne, ., Den]",PRON AUX ADJ ADJ PART VERB ADP PRON DET PRON PRON AUX AUX ADP SCONJ PART VERB DET ADJ CCONJ ADJ NOUN PUNCT PRON AUX DET NOUN PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX DET NOUN PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON AUX ADJ ADJ ADP CCONJ NOUN CCONJ ADJ PUNCT PRON,0.024572649572649572,0.3625028184892979,222,936,0.7207207207207207,1.0
