tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, det, at, han, hadde, mistet, både, sin, hustru, og, sin, sønn, ., Han, var, også, så, nedfor, og, nedfor, ., at, han, mest, ikke, vai, ved, bevissthet, lengere, ., og, var, glad, for, at, han, snart, skulle, vandre, heden, ,, og, slippe, fra, det, hele, en, gang, for, alle, ., Da, ville, nok, det, hele, være, over, også, for, ham, ,, tenkte, han, ., Da, var, han, over, det, verste, ., Da, kunne, han, med, godt, sam\>;er, begynne, å, tenke, på, den, vldere, vandring, i, livet, .-om, enkemann, og, enke, mot, alle, odds, ., Han, lukket, øynene, for, ikke, å, bli, overfalt, av, nifse, fantasier, igjen, ,, og, så, sovnet, han, omsider, som, en, stein, ., Men, nå, kunne, han, ikke, lenger, huske, at, han, hadde, malt, ., for, han, hadde, sovnet, og, drømt, i, to, timer, om, det, samme, ., Trett, og, utkjaset, etter, den, anstrengende, turen, gikk, han, ned, i, stua, til, de, andre, igjen, ,, og, da, han, hadde, kvilt, en, stund, ., gikk, han, inn, til, bordet, og, fant, fram, skrivesakene]",CCONJ PRON AUX PART ADV PRON SCONJ PRON AUX VERB CCONJ PRON NOUN CCONJ PRON NOUN PUNCT PRON AUX ADV ADV ADJ CCONJ ADJ PUNCT SCONJ PRON ADJ PART ADP ADP NOUN ADJ PUNCT CCONJ AUX ADJ SCONJ SCONJ PRON ADJ AUX VERB NOUN PUNCT CCONJ VERB ADP DET ADJ DET NOUN ADP PRON PUNCT ADV AUX ADV DET ADJ AUX ADP ADV ADP PRON PUNCT VERB PRON PUNCT ADV AUX PRON ADP DET ADJ PUNCT ADV AUX PRON ADP ADJ PROPN VERB PART VERB ADP DET ADJ NOUN ADP NOUN VERB NOUN CCONJ NOUN ADP DET NOUN PUNCT PRON VERB NOUN SCONJ PART PART AUX VERB ADP ADJ NOUN ADV PUNCT CCONJ ADV VERB PRON ADV ADP DET NOUN PUNCT CCONJ ADV AUX PRON PART ADJ VERB SCONJ PRON AUX VERB PUNCT CCONJ PRON AUX VERB CCONJ VERB ADP NUM NOUN ADP DET DET PUNCT NOUN CCONJ NOUN ADP DET ADJ NOUN VERB PRON ADP ADP NOUN ADP DET DET ADV PUNCT CCONJ SCONJ PRON VERB NOUN DET NOUN PUNCT VERB PRON ADP ADP NOUN CCONJ VERB ADP NOUN,0.04216867469879518,0.35825864276568664,180,830,0.6666666666666666,0.36451829795161095
"[Det, var, ein, del, uklarheitar, rundt, den, nye, skulen, ,, og, då, spesielt, i, høve, til, valmoglegheita, innbyggjarane, på, Osterøy, hadde, ., Ei, av, hovudsakene, var, at, det, var, lagt, opp, til, ein, kristen, barneskule, der, ein, ikkje, hadde, søkt, å, ta, inn, elevar, med, eit, anna, livssyn, ,, med, grunnlag, i, det, som, vart, bestemt, av, fleirtalet, i, kommunestyret, ., Til, tross, for, dette, vart, det, likevel, fleire, debattar, rundt, kva, valmoglegheitar, ein, hadde, ., 
, Det, var, spesielt, på, Knarvik, Ungdomsskule, det, vart, heitt, rundt, temaet, då, det, vart, stilt, fleire, kritiske, spørsmål, ved, kva, valmoglegheitar, ein, har, om, ein, vel, å, sende, ungane, sine, til, den, nye, barneskulen, ., Debattar, om, kva, valmoglegheitar, ein, har, har, ikkje, berre, oppstått, på, Osterøy, ,, men, også, andre, stadar, ,, som, på, Lindås, Ungdomsskule, tidlegare, i, veka, ., Kritikken, gjekk, hovudsakleg, på, at, ein, har, lagt, opp, til, ein, kristen, skule]",PRON AUX ADJ NOUN NOUN ADP DET ADJ NOUN PUNCT CCONJ ADV ADJ ADP NOUN ADP PROPN PROPN ADP PROPN VERB PUNCT DET ADP NOUN AUX SCONJ PRON AUX VERB ADP ADP X ADJ NOUN SCONJ X X AUX VERB PART VERB ADP PROPN ADP X X NOUN PUNCT ADP NOUN ADP PRON PRON AUX VERB ADP NOUN ADP NOUN PUNCT ADP ADP ADP PRON VERB PRON ADV NOUN VERB ADP PROPN PROPN PROPN X PUNCT SPACE PRON AUX ADJ ADP PROPN PROPN PRON VERB ADJ ADP NOUN X PRON VERB VERB ADJ ADJ NOUN ADP PROPN PROPN PROPN X ADP PROPN ADV PART VERB PROPN PRON ADP DET ADJ NOUN PUNCT VERB ADP NOUN PROPN PROPN AUX AUX X ADV VERB ADP PROPN PUNCT CCONJ ADV DET NOUN PUNCT ADP ADP PROPN PROPN PROPN ADP NOUN PUNCT NOUN VERB NOUN SCONJ SCONJ PROPN AUX VERB ADP ADP X ADJ PROPN,0.04101326899879373,0.3763846153846151,151,829,0.6688741721854304,0.2931940255942016
"[Det, var, så, mye, som, skulle, gjøres, –, men, ble, ikke, gjort, ,, har, mange, sagt, ., Det, handler, om, å, være, godt, nok, forberedt, til, enhver, tid, ., –, Det, er, så, lett, å, si, «, i, morgen, ,, da, skal, jeg, », ,, men, hva, med, «, i, dag, ,, da, skal, jeg, », ?, Så, går, dagene, og, ukene, ., Og, så, er, det, fort, gjort, å, utsette, til, i, morgen, Og, så, er, det, plutselig, en, dag, som, er, over, for, lenge, siden, !, Det, skjer, litt, for, ofte, !, sier, hun, ., For, det, var, så, mange, ting, som, «, kom, i, veien, », ., Som, hun, selv, formulerer, det, ., –, Det, er, ikke, lett, å, være, perfekt, ,, heller, ,, legger, hun, til, og, smiler, ., Det, er, viktig, å, være, tålmodig, og, forståelsesfull, overfor, seg, selv, ., 
, I, sommer, var, vi, flere, dager, på, tur, med, bilen, til, og, fra, Kragerø, ., Bilen, hadde, vi, lånt, bort, til, hennes, mor, ,, og, det, passet, fint, at, de, kunne, bruke, den, på, den, lange, turen, ., Rita, ville, ikke, ha, med, mer, enn, en, overnattingsbag, på, denne, turen, og, hadde, fått, tips, fra, et, medlem, i]",PRON VERB ADV ADJ PRON AUX VERB PUNCT CCONJ AUX PART VERB PUNCT AUX ADJ VERB PUNCT PRON VERB SCONJ PART AUX ADJ ADV ADJ ADP DET NOUN PUNCT PUNCT PRON AUX ADV ADJ PART VERB PUNCT ADP NOUN PUNCT ADV VERB PRON PUNCT PUNCT CCONJ PRON ADP PUNCT ADP NOUN PUNCT ADV VERB PRON PUNCT PUNCT ADV VERB NOUN CCONJ NOUN PUNCT CCONJ ADV AUX PRON ADJ VERB PART VERB ADP ADP NOUN CCONJ ADV AUX PRON ADJ DET NOUN PRON AUX ADP ADP ADJ ADV PUNCT PRON VERB ADJ ADV ADJ PUNCT VERB PRON PUNCT CCONJ PRON VERB ADV ADJ NOUN PRON PUNCT VERB ADP NOUN PUNCT PUNCT SCONJ PRON DET VERB PRON PUNCT PUNCT PRON AUX PART ADJ PART AUX ADJ PUNCT ADV PUNCT VERB PRON ADP CCONJ VERB PUNCT PRON AUX ADJ PART AUX ADJ CCONJ ADJ ADP PRON DET PUNCT SPACE ADP NOUN AUX PRON ADJ NOUN ADP NOUN ADP NOUN ADP CCONJ ADP PROPN PUNCT NOUN AUX PRON VERB ADP ADP PRON NOUN PUNCT CCONJ PRON VERB ADJ SCONJ PRON AUX VERB PRON ADP DET ADJ NOUN PUNCT PROPN AUX PART VERB ADP ADJ ADP DET NOUN ADP DET NOUN CCONJ AUX VERB NOUN ADP DET NOUN ADP,0.04823529411764706,0.38661672908863887,204,850,0.6764705882352942,0.42491084715329624
"[Ja, det, var, en, nydelig, kake, og, en, nydelig, pynt, :o), Så, flott, å, høre, at, kake, kan, være, fest, også, for, de, som, ikke, er, så, flinke, til, å, bake, ,, for, det, gjør, de, færreste, vel, ,, noen, bare, har, denne, egenskapen, :o), Da, er, det, godt, at, man, kan, be, gjester, som, kanskje, er, nye, i, gjengen, ,, men, likevel, liker, og, koser, seg, med, kake, :o), Kjempekoselig, det, da, :o), Ha, en, fin, kveld, og, kos, deg, masse, :o), Goooood, klem, fra, Jannicke, 
, Det, var, en, flott, kake, og, flott, dekorert, !, Og, en, flott, og, herlig, dame, som, bakte, og, pyntet, den, ,, gratulerer, :), 
, Gratulerer, med, bursdagsgutten, !, Denne, kaka, var, stilig, -, både, flott, å, se, på, og, veldig, smakfull, :-), 
, Hei, !, Jeg, har, nå, prøvd, meg, på, å, lage, kakebunnen, ., Deigen, blir, bare, tull, ;, noe, som, har, stått, i, kjøleskap, over, natten, ble, veldig, klissete, og, var, helt, umulig, å, trille, ut, ;, tror, kanskje, jeg, har, fulgt, oppskriften, til, punkt]",INTJ PRON VERB DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADV ADJ PART VERB SCONJ NOUN AUX AUX NOUN ADV ADP PRON PRON PART AUX ADV ADJ SCONJ PART VERB PUNCT CCONJ PRON VERB DET ADJ ADV PUNCT PRON ADV VERB DET NOUN PUNCT ADV AUX PRON ADJ SCONJ PRON AUX VERB NOUN PRON ADV AUX ADJ ADP NOUN PUNCT CCONJ ADV VERB CCONJ VERB PRON ADP NOUN PUNCT ADJ PRON ADV PUNCT VERB DET ADJ NOUN CCONJ VERB PRON ADJ PUNCT PROPN NOUN ADP PROPN SPACE PRON AUX DET ADJ NOUN CCONJ ADJ ADJ PUNCT CCONJ DET ADJ CCONJ ADJ NOUN PRON VERB CCONJ VERB PRON PUNCT VERB PUNCT SPACE VERB ADP NOUN PUNCT DET NOUN AUX ADJ PUNCT CCONJ ADJ PART VERB ADP CCONJ ADJ ADJ PUNCT SPACE INTJ PUNCT PRON AUX ADV VERB PRON SCONJ PART VERB NOUN PUNCT NOUN VERB ADV NOUN PUNCT PRON PRON AUX VERB ADP NOUN ADP NOUN VERB ADJ ADJ CCONJ AUX ADJ ADJ PART VERB ADP PUNCT VERB ADV PRON AUX VERB NOUN ADP NOUN,0.05030674846625767,0.3898694516971277,175,815,0.5542857142857143,0.2582992625453477
"[Ja, det, er, mye, som, er, forandret, siden, den, gang, ., Nå, om, dagen, er, det, også, mye, snakk, om, hvordan, man, skal, gjøre, Norge, attraktivt, for, utlendinger, ., Så, det, er, ikke, så, lett, å, komme, inn, på, arbeidsmarkedet, lenger, ,, for, mange, stillinger, er, besatt, av, innvandrere, eller, folk, med, fremmedkulturell, eller, i, andre, ord, fremmedkulturell, bakgrunn, ., 
, Når, det, gjelder, hva, du, kan, gjøre, for, å, bli, godtatt, så, kan, jeg, bare, komme, med, et, råd, som, er, en, selvfølge, ,, det, er, å, lære, seg, språket, og, de, kulturelle, kodene, i, det, landet, du, skal, bo, i., Vær, med, på, ting, ,, møt, nye, mennesker, ,, bli, kjent, med, lokale, mat-tradisjoner, ,, vær, positiv, ,, ha, positiv, holdning, og, ikke, vær, for, kritisk, selv, for, det, som, virker, urimelig, for, deg, ., Jeg, tror, ofte, at, de, som, kommer, hit, fra, utenfor, Europa, ,, de, har, ikke, fått, med, seg, mange, av, de, tingene, som, jeg, fortalte, da, jeg, flytta, hit, og, det, kan, bli, vanskelig, å, ta, de, igjen, fordi, mye, av, de, ligger, i, underbevisheten, deres, og, ikke, i, hodet, deres, ,, så, det, er, noe, som, må, læres]",INTJ PRON VERB ADJ PRON AUX VERB ADP DET NOUN PUNCT ADV ADP NOUN VERB PRON ADV ADJ NOUN ADP ADV PRON AUX VERB PROPN ADJ ADP NOUN PUNCT CCONJ PRON AUX PART ADV ADJ PART VERB ADP ADP NOUN ADJ PUNCT ADP ADJ NOUN AUX VERB ADP NOUN CCONJ NOUN ADP NOUN CCONJ ADP DET NOUN ADJ NOUN PUNCT SPACE SCONJ PRON VERB PRON PRON AUX VERB SCONJ PART AUX VERB ADV AUX PRON ADV VERB ADP DET NOUN PRON AUX DET NOUN PUNCT PRON AUX PART VERB PRON NOUN CCONJ DET ADJ NOUN ADP DET NOUN PRON AUX VERB PUNCT VERB ADP ADP NOUN PUNCT PROPN ADJ NOUN PUNCT AUX VERB ADP ADJ NOUN PUNCT AUX ADJ PUNCT VERB ADJ NOUN CCONJ PART AUX ADV ADJ ADV ADP PRON PRON VERB ADJ ADP PRON PUNCT PRON VERB ADJ SCONJ PRON PRON VERB ADV ADP ADP PROPN PUNCT PRON AUX PART VERB ADP PRON ADJ ADP DET NOUN PRON PRON VERB SCONJ PRON VERB ADV CCONJ PRON AUX VERB ADJ PART VERB PRON ADV SCONJ ADJ ADP PRON VERB ADP NOUN PRON CCONJ PART ADP NOUN PRON PUNCT CCONJ PRON VERB PRON PRON AUX VERB,0.035751840168243953,0.36503325942350273,196,951,0.6836734693877551,0.42456850281815
"[Så, var, det, den, jävla, bloggen, ., |, Fredrik, Backman, 
, Så, var, det, den, jävla, bloggen, ., 
, Ni, trodde, väl, inte, att, den, jävla, bloggen, skulle, försvinna, ,, va, ?, 
, Nämen, va, ?, 
, Någon, mer, som, inte, trodde, på, det, ?, 
, Nämen, va, ?, 
, Nämen, va, ?, 
, Om, du, inte, visste, det, så, har, jag, sagt, många, dumma, saker, på, den, under, årens, lopp, ., Den, är, full, av, patetiska, skämt, ,, plumpa, insinuationer, och, ogenomtänkta, påståenden, ., Den, har, inte, sällan, hamnat, i, någon, slags, permanent, form, av, kris, ,, men, den, har, alltid, återhämtat, sig, och, kommit, igen, ,, och, det, är, nu, dags, att, den, gör, så, igen, ., 
, Tack, vare, det, faktum, att, jag, har, en, del, bra, vänner, har, jag, börjat, märka, att, den, ibland, glöms, bort, av, vissa, lite, konstiga, anledningar, där, den, kanske, ligger, och, samlar, damm, någonstans, ,, under, sängen, eller, i, någon, låda, någon, annanstans, ,, och, det, är, det, alltså, dags, att]",ADV AUX PRON DET ADJ NOUN PUNCT PUNCT PROPN PROPN SPACE ADV AUX PRON DET ADJ NOUN PUNCT SPACE NUM VERB X X X DET ADJ NOUN AUX VERB PUNCT X PUNCT SPACE NOUN VERB PUNCT SPACE PROPN ADJ PRON VERB VERB ADP PRON PUNCT SPACE NOUN VERB PUNCT SPACE NOUN VERB PUNCT SPACE SCONJ PRON NOUN VERB PRON ADV AUX X VERB NOUN ADJ NOUN ADP PRON ADP NOUN NOUN PUNCT X X ADJ ADP ADJ NOUN PUNCT ADJ X X X NOUN PUNCT PRON AUX X PROPN PROPN ADP PROPN NOUN ADJ NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV NOUN X X X X PUNCT X X X X X X X X X ADJ PUNCT SPACE PROPN NOUN DET X X X VERB DET NOUN ADJ NOUN AUX PRON NOUN VERB X X X X ADP ADP NOUN ADJ ADJ PROPN X DET ADJ VERB X PROPN PROPN NOUN PUNCT ADP NOUN CCONJ ADP PROPN PROPN PROPN PROPN PUNCT X X X PRON ADV X X,0.04701397712833545,0.38636856368563577,170,787,0.34705882352941175,0.11848805723143412
"[Det, var, som, vanlig, mange, som, deltok, på, den, populære, turmarsjen, som, ble, arrangert, av, UL, Heim, i, samarbeid, med, helselaget, i, Rydningen, i, Kattfjorden, ., De, er, nå, inne, i, sitt, 19., år, ., 
, med, flere, enn, vanlig, ., -, Da, vi, skulle, sende, inn, resultatlister, sa, vi, at, vi, ville, ha, et, lite, jubileum, ,, og, vi, fikk, inn, mange, innsendte, resultat, ,, til, og, med, fra, Svalbard, ,, sier, en, fornøyd, Inger, Larsen, i, UL, Heim, ., Hun, forteller, at, flere, av, deltakeme, hadde, deltatt, opp, igjennom, tidene, og, at, flere, var, litt, overrasket, over, å, se, dem, igjen, ., -, Det, var, gøy, ,, og, det, ble, mye, liv, rundt, marsjen, ., Det, var, en, utrolig, fin, tur, med, nydelig, vær, og, godt, humør, fra, alle, ,, sier, hun, ., For, den, som, ønsket, en, litt, roligere, marsj, hadde, de, også, en, kortere, løype, som, passet, godt, for, barn, ., På, kvelden, hadde, de, også, fest, og, fikk, inn, en, god, slump, i, inntekt, til, lagene, .]",PRON AUX ADP ADJ ADJ PRON VERB ADP DET ADJ NOUN PRON AUX VERB ADP PROPN PROPN ADP NOUN ADP NOUN ADP PROPN ADP NOUN PUNCT PRON AUX ADV ADP ADP PRON ADJ NOUN PUNCT SPACE ADP ADJ ADP ADJ PUNCT PUNCT SCONJ PRON AUX VERB ADP NOUN VERB PRON SCONJ PRON AUX VERB DET ADJ NOUN PUNCT CCONJ PRON VERB ADP ADJ ADJ NOUN PUNCT ADP CCONJ ADP ADP PROPN PUNCT VERB DET ADJ PROPN PROPN ADP PROPN PROPN PUNCT PRON VERB SCONJ ADJ ADP PROPN AUX VERB ADP ADP NOUN CCONJ SCONJ ADJ AUX ADJ ADJ SCONJ PART VERB PRON ADV PUNCT PUNCT PRON AUX ADJ PUNCT CCONJ PRON VERB ADJ NOUN ADP NOUN PUNCT PRON AUX DET ADJ ADJ NOUN ADP ADJ NOUN CCONJ ADJ NOUN ADP PRON PUNCT VERB PRON PUNCT ADP PRON PRON VERB DET ADJ ADJ NOUN VERB PRON ADV DET ADJ NOUN PRON VERB ADJ ADP NOUN PUNCT ADP NOUN VERB PRON ADV NOUN CCONJ VERB ADP DET ADJ NOUN ADP NOUN ADP NOUN PUNCT,0.05086848635235732,0.38504623513870545,172,806,0.622093023255814,0.35873226360940985
"[Det, er, ikkje, alltid, like, godt, å, veta, kva, ein, skal, kalla, seg, ,, slik, som, med, dømene, ovanfor, frå, den, seinare, historia, til, Kina, ., Utover, 1900-talet, vart, Kina, meir, opna, for, omverda, ., Mange, kinesarar, flytta, utanlands, ,, særleg, til, storbyar, som, Hongkong, ., Dei, som, ikkje, ville, eller, kunne, gjera, det, ,, var, gjerne, nøydde, til, å, kalla, seg, noko, anna, enn, "", han, "", på, kinesisk, ., Dei, to, døma, ovanfor, er, døme, på, dette, ., Utover, 1900-talet, vart, Kina, meir, opna, for, omverda, ., Mange, kinesarar, flytta, utanlands, ,, særleg, til, storbyar, som, Hongkong, ., Dei, som, ikkje, ville, eller, kunne, gjera, det, ,, var, gjerne, nøydde, til, å, kalla, seg, noko, anna, enn, "", han, "", på, kinesisk, ., Dei, to, døma, ovanfor, er, døme, på, dette, ., 
, den, kinesiske, draken, (, kjempedreperen, ), ,, fordi, det, var, ein, drake, som, dreiv, folk, i, Kina, vekk, frå, jordene, sine, og, piska, dei, om, bord, på, galeiene, ,, eller, sendte, kinesiske, sj]",PRON AUX ADV ADV ADV ADJ PART X X X X VERB PRON PUNCT ADV PRON ADP NOUN ADP PROPN X PROPN PROPN ADP PROPN PUNCT ADP NOUN VERB PROPN X X ADP NOUN PUNCT ADJ NOUN VERB NOUN PUNCT VERB ADP PROPN ADP PROPN PUNCT NOUN PRON X VERB CCONJ AUX VERB PRON PUNCT AUX ADV ADJ SCONJ PART VERB PRON X X ADP PUNCT PRON PUNCT ADP NOUN PUNCT DET NUM NOUN ADP AUX NOUN ADP PRON PUNCT ADP NOUN VERB PROPN X X ADP NOUN PUNCT ADJ NOUN VERB NOUN PUNCT VERB ADP PROPN ADP PROPN PUNCT NOUN PRON X VERB CCONJ AUX VERB PRON PUNCT AUX ADV ADJ SCONJ PART VERB PRON X X ADP PUNCT PRON PUNCT ADP NOUN PUNCT DET NUM NOUN ADP AUX NOUN ADP PRON PUNCT SPACE DET ADJ NOUN PUNCT NOUN PUNCT PUNCT SCONJ PRON AUX X PROPN PRON VERB NOUN ADP PROPN ADP ADP NOUN PRON CCONJ VERB X ADP NOUN ADP NOUN PUNCT CCONJ VERB ADJ NOUN,0.04854368932038835,0.3834322580645155,168,824,0.5833333333333334,0.15487405353421363
"[Kor, mange, prosent, av, dei, som, står, i, jobb, om, 10, år, ,, er, fagarbeidarar, ?, Det, vil, seie, ,, er, det, 2,8, prosent, ,, 3,8, prosent, ,, eller, meir, ., Og, dersom, det, er, fagarbeidarar, som, er, avgjerande, ,, kva, er, det, vi, snakkar, om, når, vi, snakkar, om, fagutdanningar, ?, Er, det, sjukepleiarar, ,, medisinstudentar, m.m., eller, er, det, ingeniørar, ,, med, master-, og, doktorgradar, som, er, avgjerande, ,, dersom, vi, i, det, heile, tatt, skal, prate, om, noko, som, helst, ?, For, å, sette, det, i, perspektiv, :, Når, sjukepleiarane, går, ut, døra, ,, da, stiller, kommunane, med, ein, lege, som, allereie, er, spesialist, i, allmennmedisin, ., Denne, legen, veit, alt, som, er, verdt, å, vite, om, den, aktuelle, diagnosen, ., I, tillegg, til, ein, kirurg, som, er, spesialist, i, generell, kirurgi, i, løpet, av, eit, par, veker, ., Ein, fasttannlege, etter, eitt, år, ., Eitt, år, på, anatomi, ., Så, har, du, legane, ,, forresten, ., Fastlegane, ,, det, har, ikkje, noko, å, seie, ., Dei, er, ikkje]",ADV ADJ NOUN ADP NOUN PRON VERB ADP NOUN ADP NUM NOUN PUNCT AUX NOUN PUNCT PRON AUX VERB PUNCT AUX PRON NUM NOUN PUNCT NUM NOUN PUNCT CCONJ PROPN PUNCT CCONJ SCONJ PRON AUX NOUN PRON AUX ADJ PUNCT NOUN AUX PRON PRON VERB SCONJ SCONJ PRON VERB ADP ADV PUNCT AUX PRON NOUN PUNCT NOUN ADV CCONJ AUX PRON NOUN PUNCT ADP NOUN CCONJ NOUN PRON AUX ADJ PUNCT SCONJ PRON ADP DET ADJ VERB AUX VERB ADP NOUN ADP ADV PUNCT SCONJ PART VERB PRON ADP NOUN PUNCT SCONJ PROPN VERB ADP NOUN PUNCT ADV VERB PROPN ADP X NOUN ADP NOUN AUX NOUN ADP NOUN PUNCT DET NOUN VERB PRON PRON AUX ADJ PART VERB ADP DET ADJ NOUN PUNCT ADP NOUN ADP X NOUN PRON AUX NOUN ADP ADJ NOUN ADP NOUN ADP DET NOUN NOUN PUNCT X PROPN ADP X NOUN PUNCT PROPN NOUN ADP NOUN PUNCT ADV VERB PRON ADJ PUNCT ADV PUNCT PROPN PUNCT PRON VERB X X PART VERB PUNCT NOUN AUX X,0.04886769964243146,0.35941772151898793,172,839,0.5813953488372093,0.2973078689331867
"[Det, er, veldig, viktig, at, alle, forstår, at, det, er, ulovlig, å, være, medlem, av, en, nazistisk, organisasjon, og, dette, får, store, konsekvenser, for, de, som, er, medlem, ., Mange, av, de, som, er, med, i, en, slik, organisasjon, har, ofte, ikke, noen, gang, i, sitt, liv, hørt, om, demokrati, og, at, vi, har, et, rettssystem, i, Norge, ., Mange, av, de, som, er, medlem, av, en, slik, organisasjon, følger, ikke, loven, og, det, er, mange, beviser, i, dagens, samfunn, på, at, man, kan, bli, utestengt, fra, arbeidslivet, hvis, man, har, vært, del, av, en, nazistisk, organisasjon, ., En, slik, utestengelse, kan, vare, i, opptil, flere, år, ., Derfor, er, det, svært, viktig, å, forhindre, at, folk, begynner, å, verve, seg, inn, i, en, nazistisk, organisasjon, ., Det, er, ikke, dermed, sagt, at, det, ikke, skal, være, rom, for, organisasjoner, som, representerer, synspunkter, som, man, selv, er, motstander, av, ,, men, det, er, viktig, at, folk, ser, at, det, kan, få, store, konsekvenser, å, bli, medlem, .]",PRON AUX ADJ ADJ SCONJ PRON VERB SCONJ PRON AUX ADJ PART AUX NOUN ADP DET ADJ NOUN CCONJ PRON VERB ADJ NOUN ADP PRON PRON AUX NOUN PUNCT ADJ ADP PRON PRON AUX ADP ADP DET DET NOUN VERB ADJ PART DET NOUN ADP PRON NOUN VERB ADP NOUN CCONJ SCONJ PRON VERB DET NOUN ADP PROPN PUNCT ADJ ADP PRON PRON AUX NOUN ADP DET DET NOUN VERB PART NOUN CCONJ PRON VERB ADJ NOUN ADP NOUN NOUN SCONJ SCONJ PRON AUX AUX VERB ADP NOUN SCONJ PRON AUX AUX NOUN ADP DET ADJ NOUN PUNCT DET DET NOUN AUX VERB ADP ADP ADJ NOUN PUNCT ADV AUX PRON ADJ ADJ PART VERB SCONJ NOUN VERB PART VERB PRON ADP ADP DET ADJ NOUN PUNCT PRON AUX PART ADV VERB SCONJ PRON PART AUX VERB NOUN ADP NOUN PRON VERB NOUN PRON PRON DET AUX NOUN ADP PUNCT CCONJ PRON AUX ADJ SCONJ NOUN VERB SCONJ PRON AUX VERB ADJ NOUN PART VERB NOUN PUNCT,0.03764705882352941,0.34923845193508146,167,850,0.718562874251497,0.46393451563567045
