tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, det, storskifte, i, norske, musikhistorie, ,, som, gjorde, at, det, var, tilfelle, å, høre, noe, det, som, det, var, virkelig, bra, i, en, norsk, musikk, som, ikke, skulle, kopiere, fra, utlandet, ., Det, var, dette, bandet, og, disse, lyddemoene, fra, 1966/1967, ,, derfor, kåres, det, til, å, være, verdens, første, rockband, fra, Norge, ., 

, “, Voss, ”, is, the, first, Norwegian, rock, band, ., The, band, was, formed, in, Voss, in, 1965, ,, where, they, mainly, played, for, school, dances, and, events, ., In, 1967, the, band, travelled, to, London, where, they, made, demo, recordings, ., In, London, ,, they, were, contacted, by, Tony, King, and, The, Action, ,, however, ,, nothing, more, came, of, it, ., 

, In, 1970, all, members, of, the, band, except, Mog]",CCONJ PRON VERB PRON NOUN ADP ADJ NOUN PUNCT PRON VERB SCONJ PRON AUX NOUN PART VERB DET PRON PRON PRON VERB ADJ ADJ ADP DET ADJ NOUN PRON PART AUX VERB ADP NOUN PUNCT PRON AUX DET NOUN CCONJ DET NOUN ADP NOUN PUNCT ADV VERB PRON SCONJ PART AUX NOUN ADJ NOUN ADP PROPN PUNCT SPACE PUNCT PROPN PUNCT X X X PROPN NOUN NOUN PUNCT PROPN X X X X PROPN X NUM PUNCT X X X X ADP ADJ X X X PUNCT ADP PROPN DET NOUN ADP X PROPN X X X X X PUNCT ADP PROPN PUNCT X X X NOUN PROPN PROPN X PROPN PROPN PUNCT NOUN PUNCT PROPN X X X X PUNCT SPACE ADP NUM DET X X X X NOUN PROPN,0.0768025078369906,0.4101867572156192,131,638,0.35877862595419846,0.1908613718303842
"[Det, var, ein, draum, ,, ich, liebte, dich, ., 

, The, title, means, ,, “, It, was, a, dream, I, loved, you, ., ”, This, is, the, English, trans­lation, of, the, last, line, of, Heidseele, 10.133, ,, as, it, appeared, in, the, poet, ’, s, collection, Eroica, Lieder, (, 1897, ), ., I, also, found, a, similar, poem, in, English, ,, written, by, William, Wordsworth, ., 

, #, #, William, Wordsworth, 

, I, had, a, dream, ,, which, was, not, all, a, dream, ,, 
, The, bright, sun, was, extinguished, ,, and, the, stars, 
, Did, wander, darkling, in, the, eternal, space, ,, 
, Rayless, ,, and, pathless, ,, and, the, icy, earth, 
, Swung, blind, and, blackening, in, the, moonless, air, ;, 
, Morn, came, and, went-, and, came, ,, and, brought, no, day, ,, 

, And, men, forgot, their, passions, in, the, desert, 
, And, died, of, ennui, ,, which, they, held, for, peace, ,, 
, And, mad, purs]",PRON AUX X X PUNCT PROPN X PROPN PUNCT SPACE PROPN X X PUNCT PUNCT X X X X X X X PUNCT PUNCT ADJ X X X X X X X X X PROPN NUM PUNCT X X X X X X X PROPN PROPN PROPN PROPN PUNCT NUM PUNCT PUNCT ADP X X X X X X X PUNCT PROPN NOUN PROPN PROPN PUNCT SPACE NOUN NOUN PROPN PROPN SPACE ADP X X X PUNCT X X X X X X PUNCT SPACE PROPN PROPN PROPN PROPN X PUNCT X X X SPACE NOUN VERB NOUN X X X PROPN PUNCT SPACE PROPN PUNCT X X PUNCT X X X PROPN SPACE PROPN ADJ X X X X X X PUNCT SPACE X X X X X X PUNCT X X X X PUNCT SPACE PROPN CCONJ NOUN X X X X X SPACE X X X NOUN PUNCT X X X X PROPN PUNCT SPACE X X X,0.07737226277372262,0.4071698113207541,161,685,0.16149068322981366,0.16681604535626907
"[Det, var, så, enkel, att, rinna, nedför, snö, och, slipa, mitt, sällskap, med, mina, egna, fotspår, nedanför, vattendraget, ., 

, Happy, New, Year, everybody, !, As, promised, ,, here, is, Part, VIII, of, my, report, about, my, 2012, Swedish, visit, ., It, ’, s, already, almost, March, ., I, can, tell, you, that, I, miss, Sweden, like, crazy, right, now, ., Hope, to, find, a, job, there, and, go, back, during, summertime, ., It, ’, s, supposed, to, be, just, about, 20, degrees, tomorrow, in, Stockholm, !, 

, On, December, 20, ,, I, went, downhill, sliding, ,, which, was, really, fun, –, and, not, painful, at, all, ., I, was, a, little, baffled, ,, actually, ,, because, I, thought, it, would, be, painful, ,, but, I, wasn, ’, t., I, was, prepared, ,, but, I, didn, ’, t, need, the, preparation, ., 

, It, was, very, cold, and, the, snow, was, really, compact, ,, so, we, didn, ’, t, have, that, much, speed, on, us]",PRON AUX ADV ADJ X PROPN X X X X PRON NOUN ADP PROPN X ADJ DET NOUN PUNCT SPACE PROPN PROPN PROPN X PUNCT PROPN X PUNCT X NOUN PROPN X X X X X X NUM PROPN X PUNCT X X X X X PROPN PUNCT ADP X X X X X PROPN PROPN ADV ADJ X X PUNCT PROPN X X X X X X X X NOUN NOUN PUNCT PROPN X PROPN ADJ X X X X NUM PROPN X X PROPN PUNCT SPACE ADP PROPN NUM PUNCT ADP X PROPN NOUN PUNCT X X X X PUNCT X X X SCONJ X PUNCT ADP X X X X PUNCT PROPN PUNCT NOUN X X X X X X PUNCT X X PROPN X NOUN ADP X X PUNCT X ADP X ADJ X X X X PUNCT SPACE X X X X X X X X X X PUNCT X X X ADJ X X X X X X X,0.06593406593406594,0.4243888070692179,165,728,0.17575757575757575,0.2830313188686014
"[Ja, det, var, kul, igen, att, göra, olika, mjölk-, och, gräddsåser, i, stordrickorna, ., Ängsligt, med, sånt, och, så, med, ., Tack, för, att, vara, med, !, 

, It, was, great, fun, to, make, different, milk-, and, cream, sauces, in, the, big, saucepans, yesterday, ., And, with, all, you, who, are, interested, in, cooking, ,, we, made, it, even, more, fun, ., Thanks, for, being, there, !, 

, All, the, dishes, we, made, were, easy, to, make, ., They, do, not, need, to, be, time-consuming, or, difficult, to, work, with, ., Quite, the, opposite, !, The, most, enjoyable, part, in, my, cooking, life, is, to, make, food, we, can, eat, straight, out, on, the, table, ., 

, But, the, same, dishes, in, some, ways, are, quite, easy, and, at, the, same, time, it, requires, a, proper, method, ,, to, be, used, to, the, method, ,, to, have, a, keen, sense, for, the, feeling, of, the, dish, ,, and, a, certain, amount, of, experience, ., 

, H]",INTJ PRON AUX ADJ X X X X X X NOUN ADP NOUN PUNCT ADJ ADP DET X ADV ADP PUNCT PROPN X X X ADP PUNCT SPACE X X X X X NOUN X X X X X X X X NOUN PROPN PUNCT X X X X X X X X X PUNCT X X X X X ADV PUNCT ADJ ADP X NOUN PUNCT SPACE X X X X X X X X NOUN PUNCT X X X X X VERB NOUN X X X X X PUNCT X X X PUNCT PROPN X X X X X X X X X X X X X X X X X X X PUNCT SPACE X X X X X X X X X X X X X X X X X X PROPN PROPN PUNCT NUM VERB ADJ X X X PUNCT NUM X X X X X X X X X X PUNCT X X X X X X PUNCT SPACE PROPN,0.05570291777188329,0.3897304964538996,166,754,0.25301204819277107,0.2070549738018074
"[Ja, det, er, kul, at, være, voksen, i, et, bedre, land, ., Med, løn, ,, tilbagesikring, og, en, uundgåelig, karriere, som, blinde, tandlæge, for, dødsdømte, dyr, ., 
, Omslaget, ,, så, også, den, nye, logo, ,, men, ikke, så, meget, med, min, første, navn, på, bagerste, ., Denne, boken, er, så, meget, bedre, end, den, første, ...., men, kan, heller, ikke, lige, huske, hvor, der, var, ganske, borg, af, ., Og, hvilke, tomtedyr, som, fødes, ud, af, skægge, ,, nogle, får, i, øvrigt, ikke, ., 

, Ligesom, jeg, ikke, længere, er, i, vild, sværm, af, ting, at, huske, ., Kan, de, sidste, ti, år, af, min, barndom, omtalt, som, en, klinisk, depressiv, per]",INTJ PRON AUX ADJ SCONJ AUX ADJ ADP DET ADJ NOUN PUNCT ADP PROPN PUNCT NOUN CCONJ DET ADJ NOUN PRON PROPN NOUN ADP ADJ NOUN PUNCT SPACE NOUN PUNCT ADV ADV DET ADJ NOUN PUNCT CCONJ PART ADV ADV ADP PRON ADJ NOUN ADP NOUN PUNCT DET NOUN AUX ADV ADV ADJ ADJ DET ADJ PUNCT CCONJ AUX ADV PART ADJ VERB ADV ADV AUX ADV NOUN X PUNCT CCONJ DET NOUN PRON VERB PROPN X X PUNCT PROPN VERB ADP PROPN PART PUNCT SPACE PROPN PRON PART NOUN AUX ADP NOUN NOUN ADJ NOUN SCONJ VERB PUNCT AUX DET ADJ NUM NOUN X PRON NOUN VERB SCONJ DET ADJ ADJ PROPN,0.06463878326996197,0.39077568134171875,113,526,0.504424778761062,0.10620493128404057
"[Så, var, det, en, gång, (, 1938, ), 

, Directed, by, Per, Lindberg, 

, Starring, John, Elias, ,, Carl, Reinholdz, ,, Gerda, Lundequist, 

, A, Swedish, film, and, it, appears, to, be, a, “, Farmer, film, ”, ., If, you, ’, d, like, more, information, on, these, films, check, out, our, Farmer, Film, article, 

, Once, Upon, a, Time, is, the, third, “, Farmer, ”, movie, ., This, time, the, story, begins, with, Sven, and, Karin, are, married, and, expecting, their, first, child, and, are, living, with, Karin, ’, s, brother, ., An, event, that, seems, to, be, more, commonplace, in, those, type, of, films, ., 

, We, start, with, a, scene, that, could, be, found, in, any, Swedish, film, of, the, time, ., That, of, a, man, out, in, the, forest, being, attacked, by, a, large, predator, ., As, is, commonplace, in, the, movies, the, man, is, rescued, by, his, son, ., 

, The, setting, for, this, film, is, an, old, manor, house, that, has, fallen, into, ruin, where, S]",ADV AUX PRON DET NOUN PUNCT NUM PUNCT SPACE X NOUN PROPN PROPN SPACE NOUN PROPN PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN SPACE NOUN PROPN NOUN X X X NUM X PROPN PUNCT PROPN NOUN PUNCT PUNCT X X X X ADV X X X X X X X X PROPN X X SPACE PROPN PROPN X PROPN X X X PUNCT PROPN PUNCT X PUNCT ADJ X X X X X PROPN X PROPN X X X X X X X X X PROPN X PROPN X X X PUNCT X X X X X VERB ADJ PROPN X X NOUN X X PUNCT SPACE X X X X X X X X X X X PROPN NOUN X X X PUNCT PROPN X X X X X X X X X X X X NOUN PUNCT PROPN PROPN PROPN X X X X X X X X X X PUNCT SPACE PROPN NOUN ADP ADJ NOUN X ADV ADJ PROPN PROPN X X NOUN X X X NOUN,0.07253886010362694,0.3998616874135554,171,772,0.19883040935672514,0.18742480677655904
"[Det, var, som, når, vi, kom, til, Paris, på, ferie, ,, min, fru, og, jeg, står, der, og, ser, videnskabernes, største, triumf, og, værre, ting, end, jeg, ikke, kan, tænke, mig, ., Tanken, om, at, nogen, har, tænkt, sig, at, skubbe, at, målet, for, så, mange, mennesker, var, bort, fra, dem, igt, kastede, mig, i, et, rastløst, tilsyneladende, selvdestruktivistisk, udløb, ., Jeg, gik, igjen, tilbage, i, tiden, tilbage, til, første, gang, jeg, så, denne, mål, for, menneskeheden, ., At, det, skiftede, livet, skulle, gøres, bedre, på, en, måde, som, ingen, måtte, mærke, var, uforståeligt, ., At, de, gjorde, det, på, en, måde, der, gjorde, det, så, mange, blev, til, alt, det, der]",PRON AUX ADP SCONJ PRON VERB ADP PROPN ADP NOUN PUNCT PRON PROPN CCONJ PRON VERB ADV CCONJ VERB NOUN ADJ NOUN CCONJ ADJ NOUN ADJ PRON PART AUX VERB X PUNCT NOUN SCONJ SCONJ PROPN AUX VERB ADV SCONJ VERB SCONJ NOUN ADP ADV ADJ NOUN AUX ADP ADP PRON ADJ ADJ ADV ADP DET ADJ ADJ ADJ PROPN PUNCT PRON VERB ADV PROPN ADP NOUN PROPN ADP ADJ NOUN PRON VERB DET NOUN ADP NOUN PUNCT SCONJ DET ADJ NOUN AUX VERB ADJ ADP DET NOUN PRON PRON AUX NOUN AUX ADJ PUNCT SCONJ PRON VERB PRON ADP DET NOUN ADV VERB PRON ADV ADJ NOUN ADP DET PRON SCONJ,0.05663716814159292,0.36639534883720914,112,565,0.6160714285714286,0.09613485238316459
"[Det, er, ikkje, en, god, dagen, for, at, være, nordmann, 

, "", It, is, not, a, good, day, to, be, Norwegian, "", ,, said, the, first, Norwegian, I, spoke, with, this, morning, ., I'm, not, sure, about, that, ., I, find, the, mood, here, surprisingly, upbeat, ., Many, people, are, not, aware, of, the, full, implications, of, what, has, just, happened, ., Most, people, had, not, voted, for, the, Conservatives, ., But, there, was, a, widespread, feeling, that, the, vote, would, result, in, a, "", grand, coalition, "", of, the, Labour, Party, and, of, the, Conservatives, (, and, that, the, Prime, Minister, would, remain, someone, from, the, Labour, side, ., ), The, fact, that, the, Conservatives, have, come, out, so, strongly, ,, and, may, be, about, to, end, their, 46, years, away, from, power, is, a, source, of, pleasure, ., 

, Not, for, the, media, ,, however, ., They, are, feeling, the, sting, of, the, Conservatives, taking, the, initiative, after, a, long, time, in, the, wilderness, ., And, if, that, was, not, enough, ,, a, Norwegian, newspaper, that, I, picked, up, this, morning, carries, a]",PRON AUX ADV DET ADJ NOUN SCONJ SCONJ AUX NOUN SPACE PUNCT PROPN X X X X X X VERB PROPN PUNCT PUNCT X X X PROPN ADP NOUN X X NOUN PUNCT X X X X X PUNCT ADP X X X X ADJ NOUN PUNCT PROPN PROPN X X X X X X X X X X X X PUNCT PROPN PROPN X X X ADP X PROPN PUNCT X X X X X X X X X X X X X PUNCT X X PUNCT X X PROPN PROPN X X X PROPN PUNCT X X X PROPN PROPN X X X X X PROPN NOUN PUNCT PUNCT PROPN X X X PROPN X X X X X PUNCT X X X X X ADJ ADJ NUM X X X X X X X X X PUNCT SPACE PROPN X PROPN NOUN PUNCT NOUN PUNCT PROPN X X X X X X PROPN NOUN X ADJ X X X X X X X PUNCT X X X X X X PUNCT X PROPN X X X X X X X X X,0.048834628190899,0.38347417840375553,185,901,0.22162162162162163,0.2280807311803832
"[Kor, mange, prosent, blir, nå, det, første, land, næringsdrivende, virksomheter, ,, som, oppnår, CSR, for, å, vise, samfunnets, økonomiske, verdier, ., For, eksempel, har, den, amerikanske, spiseløsningen, “, Yum, Brands, ”, ,, som, også, drive, KFC, og, Pizza, Hut, ,, koblet, sin, egen, lønsperspektiv, med, sociale, mål, for, å, oppnå, de, bedste, resultatene, i, sine, vertskap, ., 

, Og, den, amerikanske, banken, CIT, Group, har, satt, opp, en, lignende, strategi, ., Liksom, Yum, Brands, må, de, også, vise, en, tydlig, tilkobling, mellom, lønn, og, økonomiske, resultater, ,, mener, forretningsleder, i, CIT, Group, ,, Bill, Farrell, ., 

, En, l]",ADV ADJ NOUN VERB ADV DET ADJ NOUN ADJ NOUN PUNCT PRON VERB PROPN SCONJ PART VERB NOUN ADJ NOUN PUNCT ADP NOUN AUX DET ADJ NOUN PUNCT PROPN PROPN PUNCT PUNCT PRON ADV VERB PROPN CCONJ PROPN PROPN PUNCT VERB PRON DET NOUN ADP ADJ NOUN SCONJ PART VERB DET ADJ NOUN ADP PRON NOUN PUNCT SPACE CCONJ DET ADJ NOUN PROPN PROPN AUX VERB ADP DET ADJ NOUN PUNCT PROPN PROPN PROPN AUX PRON ADV VERB DET ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT VERB NOUN ADP PROPN PROPN PUNCT PROPN PROPN PUNCT SPACE DET NOUN,0.08487084870848709,0.4142393509127785,99,542,0.43434343434343436,0.04064495285382766
"[Det, er, veldig, viktig, a, trangrende, ,, for, å, sjekke, at, vi, er, i, lag, med, andre, ., 

, If, you, are, planning, to, go, on, a, skiing, trip, ,, you, need, to, have, the, right, gears, and, equipment, with, you, ., For, this, ,, you, need, to, ensure, that, you, have, the, right, skiing, bag, to, carry, all, these, items, ., 

, So, ,, what, should, you, consider, the, perfect, skiing, bag, with, your, next, trip, ?, Here, are, some, of, the, things, you, need, to, keep, in, mind, ., 

, #, #, #, #, Durability, 

, An, extremely, important, aspect, that, you, need, to, consider, is, the, durability, of, your, bag, ., You, will, be, carrying, all, your, skiing, equipment, ,, so, you, need, to, ensure, that, it, is, durable, enough, to, handle, the, weight, of, the, gears, ., 

, Your, bag, will, have, to, endure, different, weather, conditions, and, terrain, ., You, need, to, ensure, that, it, can, withstand, the, pressure, and, last, long, enough, to, be, used, for, many, skiing, trips, ., To, be, on, the, safer, side]",PRON AUX ADJ ADJ NOUN NOUN PUNCT SCONJ PART VERB SCONJ PRON AUX ADP NOUN ADP DET PUNCT SPACE X X X X X X X X X NOUN PUNCT X X X X X X X X X X X PUNCT CCONJ NOUN PUNCT X X X X X X X X X X X X X X X X PUNCT SPACE X PUNCT X X X X X X NOUN X X X X NOUN PUNCT PROPN X X X X X X X X X X X PUNCT SPACE NOUN NOUN NOUN PROPN PROPN SPACE X X X X X X X X X X X X X X X PUNCT X X X PROPN X X X X PUNCT X X X X X X X X X X X X X X X X X PUNCT SPACE X X X X X PROPN X X X X X PUNCT X X X X X X X PROPN X X X X X X X VERB ADJ ADP X NOUN NOUN PUNCT NUM X ADP X PROPN NOUN,0.047961630695443645,0.3832611464968149,182,834,0.24725274725274726,0.29502773652135034
