tokenized_text,lix_score
"['Men', 'det', 'var', 'ikke', 'bare', 'de', 'to', 'som', 'var', 'fornøyde', 'etter', 'den', 'flotte', 'og', 'meget', 'spennende', 'finalen', '.', 'TROMSØ', ':', 'Finnsnesjentene', 'Elise', 'Pedersen', 'og', 'Karina', 'Fos', 'sum', 'fulgte', 'finalen', 'fra', 'tribu', 'neplass', ',', 'og', 'fikk', 'se', 'det', 'de', 'kom', 'for', 'å', 'se', '.', 'For', 'jentene', 'fra', 'Finnsnes', 'hadde', 'tatt', 'turen', 'til', 'den', 'gamle', 'tromsdalshallen', '.', 'En', 'hall', 'som', 'de', 'begge', 'to', 'har', 'et', 'tett', 'for', 'hold', 'til', '.', '-', 'Vi', 'gikk', 'nemlig', 'på', 'skole', 'her', 'fra', '4.', 'til', '6.', 'klasse', '.', 'Den', 'tiden', 'spilte', 'jeg', 'fotball', 'for', 'TUIL', 'og', 'Karina', 'spilte', 'for', 'Fløya', ',', 'sier', 'Karina', 'Fossum', '-', 'Jeg', 'gikk', 'også', 'på', 'skole', 'her', 'i', 'Tromsdalen', ',', 'og', 'jeg', 'spilte', 'for', 'Skarp', 'til', 'jeg', 'var', '12-13', 'år', '.', 'Dermed', 'har', 'begge', 'jentene', 'veldig', 'sterke', 'følelser', 'for', 'den', 'gamle', 'tromsdalshallen', '.', 'FINALE', ':', 'Finnsnes', 'sitt', 'jenter', '16', 'årslag', 'kunne', 'slippe', 'jubelen', 'løs', 'etter', 'at', 'de', 'slo', 'Fløya', '1-0', 'i', 'finalen', '.', 'Her', 'klemmer', 'Eline', 'Johan', 'sen', '(', 'fra', 'venstre', ')', ',', 'Martine', 'Frant', 'zen', 'Dalsbø', ',', 'Karina', 'Fossum', ',', 'Elise']",30.263686131386862
"['Det', 'var', 'ein', 'gong', 'ein', 'konge', 'som', 'hadde', 'tre', 'søner', '.', 'Så', 'døydde', 'faren', ',', 'og', 'gutane', 'vart', 'kongar', '.', 'Da', 'tok', 'den', 'eldste', 'broren', 'ei', 'vakker', 'prinsesse', 'frå', 'eit', 'land', 'der', 'kongane', 'og', 'prinsessene', 'vart', 'styrte', 'gjennom', 'speglar', 'og', 'trolldom', '.', 'Og', 'slik', 'har', 'det', 'seg', 'at', 'prinsesse', 'Edelheid', 'går', 'rundt', 'og', 'trør', 'dei', 'svarte', 'tøflene', 'sine', 'på', 'slottet', 'i', 'Oslo', 'og', 'ventar', 'på', 'at', 'det', 'skal', 'bli', 'ein', 'spegelkonge', 'der', '.', 'I', 'alle', 'fall', 'trur', 'ho', 'det', 'sjølv', ',', 'for', 'den', 'slags', 'hender', 'jo', 'sjeldnare', 'og', 'sjeldnare', ',', 'no', 'for', 'tida', '.', 'sånn', 'at', 'dette', 'var', 'det', 'einaste', 'som', 'verkeleg', 'var', 'noko', 'tess', '.', 'ikkje', 'hadde', 'funne', 'spegelen', 'att.', 'Og', 'så', 'var', 'det', 'ingen', 'som', 'hadde', 'sett', 'prinsen', 'heller', '.', 'vore', 'ute', 'og', 'reist', ',', 'eller', 'noko', 'sånt', '.', 'Og', 'derfor', 'var', 'det', 'no', 'prinsesse', 'Edelheid', 'som', 'stod', 'der', 'framme', 'og', 'skulle', 'ta', 'det', 'store', 'rommet', 'til', 'seg', 'ein', 'halvtimes', 'tid', 'og', 'vere', 'midtpunktet', 'i', 'slott']",29.160714285714285
"['Det', 'var', 'så', 'vidt', 'jeg', 'klarte', 'å', 'skrive', 'dette', 'innlegget', 'igår', ',', 'men', 'jeg', 'prøvde', ',', 'jeg', 'klarte', 'det', 'bare', 'ikke', '.', 'Idag', 'vil', 'jeg', 'heller', 'ikke', 'gå', 'i', 'depltjs', 'med', 'det', 'som', 'skjer', 'i', 'Egypt', ',', 'jeg', 'vil', 'ikke', 'skrive', 'om', 'det', ',', 'jeg', 'vil', 'ikke', 'tenke', 'på', 'det', ',', 'det', 'gjør', 'for', 'vondt', '.', 'Idag', ',', 'den', '17', '/', '2', ',', 'er', 'det', 'ikke', 'mye', 'å', 'si', 'om', 'dagen', 'annet', 'enn', 'at', 'den', 'går', 'til', 'å', 'ligge', 'i', 'sofaen', 'å', 'høre', 'på', 'musikk', 'og', 'drikke', 'cola', 'light', 'samtidig', 'som', 'jeg', 'skriver', 'til', 'dere', '.', 'De', 'to', 'siste', 'døgnene', 'har', 'jeg', 'virkelig', 'vært', 'i', 'en', '""', 'bloggcoma', '""', '.', 'Jeg', 'har', 'egentlig', 'bare', 'lukket', 'meg', 'inn', 'i', 'meg', 'selv', 'på', 'både', 'godt', 'og', 'vondt', '.', 'Jeg', 'har', 'følt', 'meg', 'innestengt', 'i', 'leiligheten', 'og', 'har', 'hatt', 'virkelig', 'mye', 'tankekjør', '.', 'Jeg', 'hadde', 'håpet', 'på', 'et', 'innlegg', 'igår', ',', 'men', 'klarte', 'ikke', 'å', 'få', 'det', 'frem', '.', 'Jeg', 'ville', 'heller', 'ikke', 'være', 'en', 'sutrekopp', 'som', 'la', 'ut', 'syteinnlegg', 'for', 'å', 'få', 'trøst', ',', 'men', 'det', 'var', 'nettopp', 'det', 'jeg', 'trengte', '.', 'Jeg', 'har', 'virkelig', 'savnet', 'dere', 'i', 'de', 'travleste', 'månedene', 'jeg', 'har', 'hatt', 'her']",30.625
"['Ja', 'det', 'var', 'et', 'stort', 'øyeblikk', 'da', 'vi', 'fikk', 'innrede', 'det', 'gamle', 'bakeriet', 'til', 'et', 'stort', 'verksted', 'til', 'barna', 'som', 'gikk', 'på', 'skole', '.', 'Minner', 'om', 'min', 'egen', 'barndom', 'ble', 'vakt', 'til', 'live', '.', 'Alt', 'kunne', 'vi', 'ta', 'i', 'bruk', 'til', 'leker', 'og', 'til', 'å', 'skape', 'et', 'lite', 'samfunn', '.', 'Vi', 'hadde', 'et', 'flott', 'skoleteam', 'som', 'jobbet', 'for', 'barna', 'og', 'ungdommene', 'i', 'landsbyen', 'og', 'vi', 'så', 'hvilken', 'enorm', 'betydning', 'dette', 'hadde', 'for', 'hele', 'deres', 'miljø', 'og', 'ikke', 'minst', 'for', 'deres', 'tro', 'og', 'overbevisning', '.', 'Da', 'jeg', 'selv', 'bodde', 'her', 'og', 'var', 'barn', ',', 'fikk', 'vi', 'ikke', 'lov', 'til', 'å', 'ta', 'kontakt', 'med', 'hverandre', 'på', 'fritiden', 'fordi', 'vi', 'tilhørte', 'forskjellige', 'etniske', 'grupper', '.', 'Vi', 'hadde', 'en', 'grusom', 'krig', 'som', 'pågikk', 'i', 'hele', '16', 'år', 'der', 'over', '3', 'mill.', 'mennesker', 'døde', '.', 'Alt', 'ble', 'forbudt', '-', 'skoletilbud', 'der', 'lærere', 'ble', 'myrdet', 'var', 'ikke', 'tilgjengelig', '–', 'heller', 'ikke', 'mulighet', 'til', 'utdannelse', '.', 'Ingen', 'kirker', 'og', 'ingen', 'skoler', 'der', 'vi', 'kunne', 'møtes', 'med', 'våre', 'venner', 'på', 'vår', 'fritid', '.', 'Ingen', 'mulighet', 'til', 'å', 'ha', 'kontakt', 'med', 'hverandre', 'og', 'skape', 'bånd', 'med', 'våre', 'naboer', '.', 'Men', 'her', 'i', 'barnehagen', 'kunne', 'de', 'endelig', 'leke', 'og', 'delta', 'i', 'aktiviteter']",35.333333333333336
"['Ja', 'det', 'er', 'sandelig', 'en', 'lidt', 'ulige', 'kamp', 'de', 'to', ',', 'her', 'i', 'dette', 'spørgsmål', '.', 'Jeg', 'er', 'selv', 'af', 'den', 'overbevisning', 'at', 'kvinder', 'bør', 'undgå', 'sex', 'før', 'ægteskabet', ',', 'fordi', 'sex', 'bliver', 'noget', 'der', 'forgår', 'mellem', 'dig', 'og', 'en', 'anden', 'person', ',', 'i', 'stedet', 'for', 'dig', 'selv', ',', 'dine', 'tanker', 'og', 'dine', 'følelser', '.', 'Men', 'på', 'den', 'anden', 'side', 'er', 'det', 'også', 'et', 'helt', 'personligt', 'standpunkt', 'der', 'bunder', 'i', 'min', 'personlige', 'tro', 'og', 'mine', 'personlige', 'overbevisninger', 'om', 'hvordan', 'jeg', 'mener', 'man', 'får', 'det', 'bedste', 'forhold', 'til', 'sig', 'selv', 'som', 'mand', 'og', 'som', 'kvinde', '.', 'Når', 'du', 'skriver', 'at', 'man', 'som', 'kvinde', 'kan', 'tage', 'skade', 'af', 'sex', ',', 'så', 'er', 'det', 'jo', 'et', 'meget', 'diffust', 'begreb', '.', 'Tager', 'man', 'skade', 'af', 'sex', '?', 'Man', 'tager', 'vel', 'også', 'skade', 'af', 'at', 'drikke', '.', 'Eller', 'tage', 'stoffer', 'og', 'gøre', 'dumme', 'ting', '.', 'Men', 'det', 'fraråder', 'vi', 'jo', 'ikke', 'pga.', 'det', 'kan', 'give', 'dig', 'skade', ',', 'men', 'pga.', 'det', 'er', 'dumt', '.', 'Sex', 'er', 'vel', 'også', 'dumt', '.', 'Man', 'burde', 'kunne', 'holde', 'sig', 'til', 'man', 'møder', 'den', 'rette', '.', 'Sex', 'skulle', 'jo', 'gerne', 'være', 'noget', 'man', 'kun', 'kunne', 'holde', 'sig', 'fra', 'i', 'ægteskab']",26.625
"['Så', 'var', 'det', 'dags', 'att', 'sätta', 'ner', 'foten', '...', '-', 'Jennie', 'Forsén', 'Inlägget', 'publicerat', ':', 'april', '26', ',', '2017', 'Tiden', 'flyger', 'och', 'här', 'har', 'det', 'varit', 'tyst', 'i', 'några', 'veckor', '.', 'Jag', 'har', 'saknat', 'bloggen', ',', 'men', 'jag', 'har', 'känt', 'att', 'jag', 'varit', 'tvungen', 'att', 'göra', 'andra', 'saker', 'och', 'att', 'jag', 'sedan', 'dess', 'saknat', 'kraft', ',', 'tid', 'och', 'lust', '(', 'samtidigt', ')', 'att', 'producera', 'innehåll', 'här', 'på', 'sidan', '.', 'Ibland', 'blir', 'det', 'så', '.', 'Ibland', 'springer', 'tiden', 'iväg', '.', 'Ibland', 'måste', 'vi', 'som', 'entreprenörer', 'bara', 'hinna', 'med', 'alla', 'viktiga', 'bitar', 'i', 'vår', 'verksamhet', '.', 'Då', 'hamnar', 'bloggen', 'lite', 'snett', 'och', 'kanske', 'inte', 'lika', 'självklart', 'i', 'fokus', '.', 'För', 'en', 'tid', 'sedan', 'ställde', 'jag', 'så', 'gott', 'som', 'alltid', 'in', 'min', 'blogg', 'eller', '""', 'bara', '""', 'publicerade', 'väldigt', 'kort', ',', 'lite', 'trött', 'på', 'mig', 'själv', 'för', 'att', 'jag', 'ofta', 'känt', 'att', 'jag', 'inte', '""', 'orkat', '""', 'publicera', '.', 'För', 'att', 'jag', 'inte', '""', 'orkat', '""', 'ta', 'fram', '""', 'det', 'där', 'lilla', 'extra', '""', '.', 'Då', 'valde', 'jag', 'att', 'utmana', 'mig', 'själv', 'i', 'att', 'försöka', 'skriva', 'lite']",29.605215827338128
"['Det', 'var', 'som', 'sagt', 'en', 'meget', 'god', 'kamp', 'i', '2.', 'divisjon', ',', 'der', 'Elverum', 'hele', 'tiden', 'hadde', 'det', 'spillemessige', 'overtaket', '.', 'omgang', 'fikk', 'de', 'scoringen', '.', 'Etter', 'en', 'corner', 'datt', 'ballen', 'til', 'Stein', 'Grådahl', ',', 'som', 'fra', 'kort', 'hold', 'satte', 'ballen', 'kon', 'tant', 'i', 'mål', '.', 'Trener', 'i', 'Elverum', ',', 'Dag', 'Opjords', 'moen', ',', 'var', 'godt', 'tilfreds', 'med', 'det', 'han', 'så', 'av', 'sine', 'gutter', ',', 'og', 'spesielt', 'i', 'de', 'to', 'første', 'omgangene', '.', '-', 'Da', 'hadde', 'vi', 'taket', 'på', 'kam', 'pen', ',', 'men', 'i', '2.', 'omgang', 'ble', 'det', 'mer', 'slit', '.', 'Vi', 'slapp', 'oss', 'naturlig', 'nok', 'litt', 'ned', 'da', 'Trysil', 'scoret', 'de', 'to', 'målene', ',', 'og', 'i', 'den', 'omgangen', 'var', 'nok', 'Trysil', 'et', 'hakk', 'foran', 'oss', ',', 'sier', 'Opjordsmoen', '.', '-', 'Vi', 'har', 'slitt', 'litt', 'med', 'å', 'komme', 'i', 'gang', 'i', 'vårsesongen', ',', 'men', 'Trysil', 'kampen', 'viste', 'at', 'vi', 'er', 'i', 'nærheten', 'nå', '.', '-', 'Du', 'har', 'signalisert', 'visse', 'en', 'dringer', 'i', 'troppen', 'før', 'høstse', 'songen', '.', 'Føler', 'du', 'at', 'du', 'har', 'noe', 'å', 'velge', 'i', '?', '-', 'Ja', ',', 'mange', 'ting', 'og', 'flere', 'perso', 'ner', 'skal', 'inn', 'i', 'bildet', 'nå', '.']",27.825316455696203
"['Det', 'er', 'ikkje', 'tvil', 'om', 'at', 'det', 'blir', 'mykje', 'arbeid', 'framover', 'for', 'å', 'få', 'alt', 'på', 'plass', ',', 'men', 'no', 'jobbar', 'gruppa', 'iherdig', 'for', 'å', 'samle', 'trådane', 'og', 'kome', 'i', 'gang', '.', 'Første', 'mål', 'setjing', 'er', 'å', 'starte', 'ei', 'form', 'for', 'produksjon', 'i', 'sommar', '.', 'Sjølv', 'om', 'ikkje', 'alt', 'er', 'avklara', ',', 'er', 'det', 'allereie', 'fleire', 'som', 'er', 'interesserte', 'i', 'å', 'få', 'varene', 'frå', 'Vestlandsbruket', 'AS', '.', '-', 'Det', 'er', 'jo', 'ikkje', 'meininga', 'at', 'eg', 'skal', 'gjere', 'alt', 'sjølv', '.', 'Målet', 'er', 'å', 'setje', 'andre', 'i', 'arbeid', ',', 'eg', 'har', 'meir', 'enn', 'nok', 'å', 'gjere', 'på', 'min', 'eigen', 'gard', '.', 'Men', 'eg', 'må', 'ha', 'eit', 'ansvar', 'og', 'stå', 'på', 'litt', 'sjølv', ',', 'forklarar', 'Bjørdal', 'som', 'sjølv', 'har', 'sett', 'litt', 'på', 'produk', 'tivt', 'potetareal', 'for', 'å', 'teste', 'ut', 'ulike', 'potetsortar', '.', 'I', 'første', 'omgang', 'har', 'gruppa', 'hatt', 'hovudfokus', 'på', 'poteter', ',', 'men', 'etter', 'kvart', 'kan', 'det', 'bli', 'aktuelt', 'å', 'utvide', 'produktutvalet', '.', 'Det', 'avheng', 'av', 'kva', 'produksjonskonsept', 'som', 'skal', 'setjast', 'i', 'gang', '.']",32.013513513513516
"['Kor', 'mange', 'prosent', 'gjekk', 'folketalet', 'i', 'Hordaland', 'fylke', 'opp', 'frå', '1900', 'til', '1910', '?', 'Kven', 'var', 'med', 'på', 'å', 'vinna', 'kapplaupet', 'til', 'Sørpolen', '?', 'Kva', 'for', 'ein', 'krig', 'tok', 'slutt', 'klokka', '11.', 'den', '11.', 'november', '1918', '?', 'Kva', 'heitte', 'den', 'første', 'bilen', 'som', 'rulla', 'frå', 'samlebandet', 'ved', 'Cadillacfabrikken', 'i', 'Flint', ',', 'Michigan', '?', 'Kva', 'heitte', 'mannen', 'som', 'skaut', 'presi', 'dent', 'John', 'F.', 'Kennedy', '?', 'Kva', 'var', 'namnet', 'på', 'det', 'siste', 'skipet', 'som', 'vart', 'sjøsett', 'frå', 'verfta', 'ved', 'Akers', 'Mek', '.', 'Kva', 'for', 'ein', 'by', 'var', 'den', 'første', 'i', 'verda', 'som', 'fekk', 'eit', 'offentleg', 'lysverk', '?', 'Når', 'vart', 'postsparebanken', 'skipa', '?', 'Kva', 'heiter', 'mannen', 'som', 'har', 'fått', 'æra', 'for', 'å', 'ha', 'oppfunne', 'den', 'moderne', 'fall', 'skjerm', '?', 'Kva', 'er', 'verdssøndagsskulens', 'mål', '?', 'Kor', 'stor', 'del', 'av', 'barna', 'mellom', '6', 'og', '15', 'år', 'går', 'regelmessig', 'på', 'søndags', 'skule', '?', 'Kor', 'mange', 'er', 'det', 'som', 'regel', 'på', 'søndagsmøtet', 'i', 'ein', 'vanleg', 'norsk', 'søn', 'dagsskule', '?', 'H']",26.691247002398082
"['Det', 'er', 'veldig', 'populært', 'og', 'enkelt', 'å', 'bruke', 'et', 'kredittkort', '.', 'Man', 'kan', 'nemlig', 'låne', 'penger', 'gratis', ',', 'hvis', 'man', 'kan', 'betale', 'tilbake', 'innen', 'den', 'rentefri', 'perioden', 'er', 'over', '.', 'Du', 'kan', 'bruke', 'flere', 'kredittkort', 'i', 'Norge', 'og', 'man', 'kan', 'velge', 'det', 'kortet', ',', 'som', 'passer', 'best', 'til', 'ens', 'egne', 'ønsker', 'og', 'behov', '.', 'Du', 'kan', 'for', 'eksempel', 'bruke', 'Shell', 'MasterCard', ',', 'hvis', 'du', 'ønsker', 'å', 'samle', 'poeng', 'når', 'du', 'tanker', 'og', 'du', 'kan', 'bruke', 'Norwegian', 'kredittkortet', 'til', 'å', 'spare', 'opp', 'gratis', 'flybilletter', '.', 'Norge', 'er', 'et', 'av', 'de', 'landene', ',', 'som', 'gjør', 'det', 'lettest', 'for', 'nordmenn', 'å', 'ta', 'opp', 'et', 'hurtiglån', '.', 'Det', 'er', 'i', 'hvert', 'fall', 'ingen', 'andre', 'land', 'i', 'verden', ',', 'hvor', 'vi', 'kan', 'bruke', 'mobilen', 'på', 'den', 'måten', 'og', 'låne', 'penger', 'via', 'sms', '.', 'Det', 'eneste', 'det', 'krever', 'at', 'man', 'har', 'smarttelefon', '.', 'I', 'Norge', 'er', 'det', 'også', 'veldig', 'viktig', 'at', 'den', 'enkelte', 'tar', 'ansvaret', 'for', 'egen', 'økonomi', '.', 'Vi', 'har', 'for', 'eksempel', 'ingen', 'tradisjon', 'for', 'at', 'banken', 'passer', 'på', 'våres', 'penger', 'og', 'vi', 'er', 'veldig', 'flinke', 'til', 'å', 'ta', 'hånd', 'om', 'våres', 'egne', 'finanser', '.']",32.29986613119143
