tokenized_text,lix_score
"['Men', 'det', 'var', 'ikke', 'bare', 'i', 'Norge', 'at', 'det', 'var', 'stor', 'interesse', 'for', 'å', 'få', 'tak', 'i', 'den', 'nye', 'telefonen', '.', 'I', 'USA', 'var', 'det', 'også', 'lange', 'køer', 'utenfor', 'butikkene', 'som', 'solgte', 'telefonen', '.', 'I', 'New', 'York', 'var', 'det', 'så', 'mange', 'som', 'ville', 'ha', 'den', 'nye', 'telefonen', 'at', 'det', 'ble', 'satt', 'opp', 'en', 'egen', 'kø', 'for', 'de', 'som', 'ville', 'ha', 'den', 'nye', 'telefonen', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer', 'for', 'å', 'sikre', 'seg', 'en', 'telefon', '.', 'Det', 'var', 'også', 'mange', 'som', 'hadde', 'tatt', 'med', 'seg', 'soveposer']",29.438728323699422
"['Det', 'var', 'ein', 'gong', 'ein', 'mann', 'som', 'hadde', 'ei', 'kjerring', 'som', 'var', 'så', 'tverr', 'og', 'vrang', 'at', 'det', 'var', 'ikkje', 'godt', 'å', 'vera', 'i', 'lag', 'med', 'henne', ';', 'mannen', ',', 'han', 'hadde', 'no', 'slett', 'ingen', 'utkome', 'med', 'henne', ';', 'det', 'han', 'ville', ',', 'ville', 'ho', 'støtt', 'tvert', 'imot', '.', 'Så', 'var', 'det', 'ein', 'sundag', 'utpå', 'sommaren', 'at', 'mannen', 'og', 'kona', 'gjekk', 'ut', 'og', 'skulle', 'sjå', 'korleis', 'åkeren', 'stod', '.', 'Då', 'dei', 'kom', 'til', 'ein', 'åker', 'på', 'den', 'andre', 'sida', 'av', 'elva', ',', 'sa', 'mannen', ':', '«', 'Ja', ',', 'no', 'er', 'den', 'åkeren', 'skjær', ',', 'i', 'morgon', 'får', 'vi', 'til', 'å', 'skjera', 'han', '.', '»', '«', 'Ja', ',', 'den', 'kan', 'vi', 'ta', 'til', 'å', 'klippa', 'i', 'morgon', ',', '»', 'sa', 'kjerringa', '.', '«', 'Kva', 'for', 'noko', ',', 'skal', 'vi', 'klippa', '?', 'Skal', 'vi', 'ikkje', 'få', 'lov', 'til', 'å', 'skjera', 'heller', 'no', '?', '»', 'sa', 'mannen', '.', 'Nei', ',', 'klippa', 'åkeren', 'skulle', 'dei', ',', 'meinte', 'kjerringa', '.', '«', 'Det', 'er', 'aldri', 'verre', 'enn', 'lite', 'å', 'vita', ',', '»', 'sa', 'mannen', ';', '«', 'men', 'du', 'må', 'vel', 'ha', 'gått', 'frå', 'det', 'vesle', 'vitet', 'du', 'har', 'hatt', 'og', 'no.', 'Har', 'du', 'sett', 'at', 'nokon']",20.000968992248062
"['Det', 'var', 'så', 'vidt', 'det', 'holdt', 'for', 'de', 'norske', 'håndballjentene', 'i', 'den', 'første', 'kampen', 'i', 'mellomspillet', 'i', 'EM', '.', 'Etter', 'en', 'jevn', 'første', 'omgang', ',', 'dro', 'Norge', 'fra', 'i', 'andre', 'omgang', 'og', 'vant', 'til', 'slutt', 'med', 'tre', 'mål', 'mot', 'Ungarn', '.', 'Dermed', 'er', 'Norge', 'klare', 'for', 'semifinale', 'i', 'EM', '.', 'Der', 'møter', 'de', 'enten', 'Danmark', 'eller', 'Russland', '.', 'Det', 'blir', 'avgjort', 'i', 'den', 'andre', 'kampen', 'i', 'mellomspillet', 'i', 'kveld', '.', 'Norge', 'har', 'vunnet', 'alle', 'sine', 'kamper', 'i', 'EM', 'så', 'langt', '.', 'Det', 'er', 'første', 'gang', 'siden', '1998', 'at', 'Norge', 'har', 'vunnet', 'alle', 'sine', 'kamper', 'i', 'et', 'mesterskap', '.', 'Det', 'er', 'også', 'første', 'gang', 'siden', '1986', 'at', 'Norge', 'har', 'vunnet', 'alle', 'sine', 'kamper', 'i', 'et', 'mesterskap', 'på', 'hjemmebane', '.', 'Norge', 'har', 'vunnet', 'EM', 'fire', 'ganger', 'tidligere', '.', 'Det', 'var', 'i', '1998', ',', '2004', ',', '2006', 'og', '2008', '.', 'I', 'tillegg', 'har', 'Norge', 'vunnet', 'VM', 'tre', 'ganger', 'og', 'OL', 'to', 'ganger', '.', 'Norge', 'har', 'også', 'vunnet', 'OL', 'i', '1996', '.', 'Det', 'er', 'eneste', 'gang', 'Norge', 'har', 'vunnet', 'OL', '.', 'Norge', 'har', 'også', 'vunnet', 'VM', 'i', '1999.']",19.562404482934284
"['Ja', 'det', 'var', 'en', 'fin', 'dag', 'i', 'går', 'og', 'i', 'dag', 'er', 'det', 'ikke', 'så', 'værst', 'det', 'heller', ',', 'men', 'det', 'er', 'litt', 'kaldere', 'i', 'dag', 'og', 'det', 'er', 'jo', 'bare', 'bra', 'for', 'da', 'smelter', 'snøen', 'fortere', 'og', 'det', 'er', 'jo', 'bra', 'for', 'da', 'blir', 'det', 'vår', 'snart', '.', 'I', 'går', 'var', 'jeg', 'på', 'besøk', 'hos', 'min', 'mor', 'og', 'vi', 'hadde', 'det', 'veldig', 'koselig', 'og', 'vi', 'spiste', 'god', 'mat', 'og', 'drakk', 'kaffe', 'og', 'koste', 'oss', 'med', 'å', 'se', 'på', 'tv', '.', 'I', 'dag', 'skal', 'jeg', 'ikke', 'gjøre', 'så', 'mye', 'for', 'jeg', 'har', 'litt', 'vondt', 'i', 'ryggen', 'og', 'det', 'er', 'ikke', 'så', 'bra', 'for', 'da', 'blir', 'jeg', 'så', 'stiv', 'og', 'støl', 'og', 'det', 'er', 'ikke', 'noe', 'godt', 'så', 'jeg', 'får', 'ta', 'det', 'med', 'ro', 'i', 'dag', 'og', 'så', 'får', 'jeg', 'se', 'hva', 'jeg', 'finner', 'på', 'i', 'morgen', 'for', 'da', 'er', 'det', 'jo', 'helg', 'igjen', 'og', 'da', 'kan', 'jeg', 'jo', 'finne', 'på', 'noe', 'da', 'også', '.', 'I', 'dag', 'har', 'jeg', 'vært', 'på', 'besøk', 'hos', 'min', 'mor', 'og', 'vi', 'hadde', 'det', 'veldig', 'koselig', 'og', 'vi', 'spiste', 'god', 'mat', 'og', 'drakk', 'kaffe', 'og', 'koste', 'oss', 'med', 'å', 'se', 'på', 'tv', '.', 'I', 'dag', 'skal', 'jeg', 'ikke', 'gjøre', 'så', 'mye', 'for', 'jeg']",48.247252747252745
"['Ja', 'det', 'er', 'jo', 'ikke', 'så', 'mye', 'å', 'si', 'om', 'denne', 'dagen', 'egentlig', '.', 'Jeg', 'har', 'vært', 'på', 'jobb', 'og', 'det', 'har', 'vært', 'en', 'helt', 'vanlig', 'dag', 'på', 'jobben', '.', 'Jeg', 'har', 'ikke', 'gjort', 'noe', 'spesielt', 'i', 'dag', 'egentlig', '.', 'Jeg', 'har', 'bare', 'vært', 'på', 'jobb', 'og', 'så', 'har', 'jeg', 'vært', 'hjemme', 'og', 'slappet', 'av', 'og', 'sett', 'på', 'tv', '.', 'Jeg', 'har', 'ikke', 'gjort', 'noe', 'spesielt', 'i', 'dag', 'egentlig', '.', 'Jeg', 'har', 'bare', 'vært', 'på', 'jobb', 'og', 'så', 'har', 'jeg', 'vært', 'hjemme', 'og', 'slappet', 'av', 'og', 'sett', 'på', 'tv', '.', 'Jeg', 'har', 'ikke', 'gjort', 'noe', 'spesielt', 'i', 'dag', 'egentlig', '.', 'Jeg', 'har', 'bare', 'vært', 'på', 'jobb', 'og', 'så', 'har', 'jeg', 'vært', 'hjemme', 'og', 'slappet', 'av', 'og', 'sett', 'på', 'tv', '.', 'Jeg', 'har', 'ikke', 'gjort', 'noe', 'spesielt', 'i', 'dag', 'egentlig', '.', 'Jeg', 'har', 'bare', 'vært', 'på', 'jobb', 'og', 'så', 'har', 'jeg', 'vært', 'hjemme', 'og', 'slappet', 'av', 'og', 'sett', 'på', 'tv', '.', 'Jeg', 'har', 'ikke', 'gjort', 'noe', 'spesielt', 'i', 'dag', 'egentlig', '.', 'Jeg', 'har', 'bare', 'vært', 'på', 'jobb', 'og', 'så', 'har', 'jeg', 'vært', 'hjemme', 'og', 'slappet', 'av', 'og', 'sett', 'på', 'tv', '.', 'Jeg', 'har', 'ikke', 'gjort', 'noe', 'spesielt', 'i', 'dag', 'egentlig', '.', 'Jeg', 'har', 'bare', 'vært', 'på', 'jobb', 'og', 'så']",23.784876140808343
"['Så', 'var', 'det', 'dags', 'för', 'en', 'ny', 'tävling', '!', 'Denna', 'gång', 'är', 'det', 'en', 'tävling', 'i', 'samarbete', 'med', 'Lyko.se', 'där', 'ni', 'kan', 'vinna', 'ett', 'presentkort', 'på', '500', 'kr', 'att', 'handla', 'för', 'hos', 'Lyko.se', '!', 'Lyko', 'är', 'en', 'av', 'mina', 'favoritbutiker', 'på', 'nätet', 'när', 'det', 'kommer', 'till', 'skönhetsprodukter', '.', 'De', 'har', 'ett', 'stort', 'utbud', 'av', 'produkter', 'och', 'det', 'är', 'alltid', 'bra', 'priser', '!', 'Jag', 'har', 'handlat', 'där', 'flera', 'gånger', 'och', 'är', 'alltid', 'lika', 'nöjd', '!', 'För', 'att', 'vara', 'med', 'och', 'tävla', 'ska', 'ni', 'svara', 'på', 'följande', 'fråga', ':', 'Vilken', 'är', 'din', 'favoritprodukt', 'från', 'Lyko', '?', 'Tävlingen', 'avslutas', 'den', '30', ':', 'e', 'september', 'och', 'vinnaren', 'presenteras', 'här', 'på', 'bloggen', 'den', '1', ':', 'a', 'oktober', '!', 'Lycka', 'till', '!', 'För', 'att', 'vara', 'med', 'och', 'tävla', 'ska', 'ni', 'svara', 'på', 'följande', 'fråga', ':', 'Vilken', 'är', 'din', 'favoritprodukt', 'från', 'Lyko', '?', 'Tävlingen', 'avslutas', 'den', '30', ':', 'e', 'september', 'och', 'vinnaren', 'presenteras', 'här', 'på', 'bloggen', 'den', '1', ':', 'a', 'oktober', '!', 'Lycka', 'till', '!']",32.41125541125541
"['Det', 'var', 'som', 'om', 'en', 'bombe', 'hadde', 'slått', 'ned', 'i', 'den', 'lille', 'byen', 'i', 'det', 'sørlige', 'England', '.', 'En', 'mann', 'var', 'blitt', 'drept', ',', 'og', 'det', 'var', 'ikke', 'en', 'hvilken', 'som', 'helst', 'mann', '.', 'Det', 'var', 'en', 'mann', 'som', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'populære', 'og', 'respekterte', 'i', 'hele', 'distriktet', '.', 'Han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'aktive', 'i', 'det', 'lokale', 'menighetsrådet', 'og', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'trofaste', 'kirkegjengerne', '.', 'Han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'aktive', 'i', 'den', 'lokale', 'Rotary-klubben', ',', 'og', 'han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'populære', 'lærerne', 'på', 'den', 'lokale', 'skolen', '.', 'Han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'aktive', 'i', 'den', 'lokale', 'cricketklubben', ',', 'og', 'han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'populære', 'fedrene', 'på', 'den', 'lokale', 'skolen', '.', 'Han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'aktive', 'i', 'den', 'lokale', 'tennisklubben', ',', 'og', 'han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'populære', 'fedrene', 'på', 'den', 'lokale', 'skolen', '.', 'Han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'aktive', 'i', 'den', 'lokale', 'golfklubben', ',', 'og', 'han', 'hadde', 'vært', 'en', 'av', 'de', 'mest', 'populære', 'fedrene', 'på', 'den', 'lokale', 'skolen', '.', 'Han', 'hadde']",33.763728323699425
"['Det', 'er', 'ikkje', 'berre', 'i', 'Noreg', 'at', 'det', 'er', 'stor', 'interesse', 'for', 'å', 'få', 'tak', 'i', 'dei', 'nye', 'passa', '.', 'Ifølgje', 'politiet', 'er', 'det', 'stor', 'pågang', 'frå', 'heile', 'verda', 'for', 'å', 'få', 'tak', 'i', 'dei', 'nye', 'passa', '.', '–', 'Det', 'er', 'stor', 'interesse', 'for', 'dei', 'nye', 'norske', 'passa', '.', 'Vi', 'har', 'fått', 'førespurnader', 'frå', 'heile', 'verda', ',', 'seier', 'seksjonssjef', 'Arne', 'Isak', 'Tveitan', 'i', 'Politidirektoratet', 'til', 'NRK.no', '.', 'Ifølgje', 'Tveitan', 'er', 'det', 'særleg', 'i', 'land', 'som', 'USA', ',', 'Australia', 'og', 'New', 'Zealand', 'at', 'det', 'er', 'stor', 'interesse', 'for', 'dei', 'nye', 'norske', 'passa', '.', '–', 'Det', 'er', 'mange', 'som', 'har', 'lyst', 'på', 'dei', 'nye', 'norske', 'passa', '.', 'Det', 'er', 'eit', 'kvalitetsstempel', 'at', 'dei', 'er', 'så', 'ettertrakta', ',', 'seier', 'Tveitan', '.', 'Ifølgje', 'Tveitan', 'er', 'det', 'ikkje', 'berre', 'privatpersonar', 'som', 'er', 'interesserte', 'i', 'dei', 'nye', 'passa', '.', 'Også', 'styresmakter', 'i', 'andre', 'land', 'har', 'vist', 'interesse', 'for', 'dei', 'nye', 'norske', 'passa', '.', '–', 'Det', 'er', 'mange', 'som', 'har', 'lyst', 'på', 'dei', 'nye', 'norske', 'passa', '.', 'Det', 'er', 'eit', 'kvalitetsstempel', 'at', 'dei', 'er', 'så', 'ettertrakta', ',', 'seier', 'Tveit']",29.677777777777777
"['Kor', 'mange', 'prosent', 'av', 'dei', 'som', 'har', 'røysterett', 'i', 'Noreg', ',', 'røysta', 'ved', 'stortingsvalet', 'i', '2013', '?', 'a', ')', '78,9', '%', 'b', ')', '80,9', '%', 'c', ')', '81,9', '%', 'd', ')', '82,9', '%', 'e', ')', '83,9', '%', 'f', ')', '84,9', '%', 'g', ')', '85,9', '%', 'h', ')', '86,9', '%', 'i', ')', '87,9', '%', 'j', ')', '88,9', '%', 'k', ')', '89,9', '%', 'l', ')', '90,9', '%', 'm', ')', '91,9', '%', 'n', ')', '92,9', '%', 'o', ')', '93,9', '%', 'p', ')', '94,9', '%', 'q', ')', '95,9', '%', 'r', ')', '96,9', '%', 's', ')', '97,9', '%', 't', ')', '98,9', '%', 'u', ')', '99,9', '%', 'v', ')', '100,9', '%', 'w', ')', '101,9', '%', 'x', ')', '102,9', '%', 'y', ')', '103,9', '%', 'z', ')', '104,9', '%', 'æ', ')', '105,9', '%', 'ø', ')', '106,9', '%', 'å', ')', '107,9', '%', 'b', ')', '108,9', '%', 'c', ')', '109,9', '%', 'd', ')']",35.0
"['Det', 'er', 'veldig', 'mange', 'som', 'har', 'spurt', 'meg', 'om', 'jeg', 'kan', 'legge', 'ut', 'oppskriften', 'på', 'denne', 'kaken', 'jeg', 'lagde', 'til', 'bursdagen', 'min.', 'Og', 'det', 'kan', 'jeg', 'selvfølgelig', '!', 'Jeg', 'har', 'fått', 'oppskriften', 'av', 'min', 'kjære', 'mormor', ',', 'og', 'hun', 'har', 'fått', 'den', 'av', 'sin', 'mor', '.', 'Så', 'dette', 'er', 'en', 'gammel', 'oppskrift', 'som', 'har', 'gått', 'i', 'generasjoner', '.', 'Kaken', 'er', 'veldig', 'enkel', 'å', 'lage', ',', 'og', 'den', 'er', 'veldig', 'god', '!', 'Jeg', 'har', 'laget', 'den', 'mange', 'ganger', 'før', ',', 'og', 'den', 'blir', 'alltid', 'like', 'vellykket', '!', 'Jeg', 'har', 'også', 'laget', 'den', 'i', 'en', 'langpanne', ',', 'og', 'det', 'er', 'også', 'veldig', 'godt', '!', 'Da', 'blir', 'den', 'litt', 'mer', 'som', 'en', 'sjokoladekake', ',', 'og', 'den', 'er', 'også', 'veldig', 'god', '!', 'Jeg', 'har', 'også', 'laget', 'den', 'i', 'en', 'rund', 'form', ',', 'og', 'det', 'er', 'også', 'veldig', 'godt', '!', 'Da', 'blir', 'den', 'litt', 'mer', 'som', 'en', 'sjokoladekake', ',', 'og', 'den', 'er', 'også', 'veldig', 'god', '!', 'Jeg', 'har', 'også', 'laget', 'den', 'i', 'en', 'rund', 'form', ',', 'og', 'det', 'er', 'også', 'veldig', 'godt', '!', 'Da', 'blir', 'den', 'litt', 'mer', 'som', 'en', 'sjokoladekake', ',', 'og', 'den', 'er', 'også', 'veldig', 'god', '!', 'Jeg', 'har', 'også', 'laget', 'den', 'i', 'en', 'rund', 'form', ',', 'og', 'det', 'er', 'også']",21.61640798226164
