tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, ikke, bare, på, scenen, det, var, noe, å, få, med, seg, ., For, i, foajeen, var, det, både, utstilling, og, underholdning, ., Utstillingen, tok, for, seg, kunst, som, elever, har, laget, i, løpet, av, de, fem, årene, kunstskolen, har, eksistert, ., En, av, dem, var, Martine, Bjørshol, ., Hun, hadde, to, store, tegninger, hengende, på, veggen, ., Det, var, hennes, avgangseksamener, fra, kunstskolen, vi, fikk, se, ., 
, –, Vi, har, valgt, et, litt, annet, uttrykk, i, de, to, bildene, ,, forteller, Martine, ., 
, Hun, hadde, også, flere, andre, bilder, tilgjengelig, for, publikum, ., 
, Foran, scenen, spilte, også, to, band, ., Det, var, elever, fra, kunstskolen, som, hadde, rigget, seg, til, ., I, bandet, «, Freakshow, », spilte, blant, annet, Kristian, Elias, Hjertvikrem, ., Han, studerer, også, ved, kunstskolen, i, Ålesund, og, han, deltok, på, kunstfestivalen, for, andre, gang, ., Han, spiller, og, synger, i, bandet, ., 
, –, Vi, i, bandet, har, spilt, sammen, i, et, års, tid, ., Vi, spiller, ganske, variert, musikk, ,, men, i, dag, spiller, vi, puddelrock, ,, forteller, Kristian, Elias, ., 
, medelev, ., Han, spiller, git]",CCONJ PRON AUX PART ADV ADP NOUN PRON VERB PRON PART VERB ADP PRON PUNCT CCONJ ADP NOUN AUX PRON CCONJ NOUN CCONJ NOUN PUNCT NOUN VERB ADP PRON NOUN PRON NOUN AUX VERB ADP NOUN ADP DET NUM NOUN NOUN AUX VERB PUNCT DET ADP PRON AUX PROPN PROPN PUNCT PRON VERB NUM ADJ NOUN ADJ ADP NOUN PUNCT PRON AUX PRON NOUN ADP NOUN PRON AUX VERB PUNCT SPACE PUNCT PRON AUX VERB DET ADJ DET NOUN ADP DET NUM NOUN PUNCT VERB PROPN PUNCT SPACE PRON VERB ADV ADJ DET NOUN ADJ ADP NOUN PUNCT SPACE ADP NOUN VERB ADV NUM NOUN PUNCT PRON AUX NOUN ADP NOUN PRON AUX VERB PRON ADP PUNCT ADP NOUN PUNCT PROPN PUNCT VERB ADP DET PROPN PROPN ADV PUNCT PRON VERB ADV ADP NOUN ADP PROPN CCONJ PRON VERB ADP NOUN ADP ADJ NOUN PUNCT PRON VERB CCONJ VERB ADP NOUN PUNCT SPACE PUNCT PRON ADP NOUN AUX VERB ADV ADP DET NOUN NOUN PUNCT PRON VERB ADV ADJ NOUN PUNCT CCONJ ADP NOUN VERB PRON ADJ PUNCT VERB PROPN PROPN PUNCT SPACE NOUN PUNCT PRON VERB ADP,0.04584221748400853,0.3975928008998849,188,938,0.5372340425531915,0.20694032002712118
"[Det, var, ein, tung, dag, for, dei, som, har, vore, tilsette, i, butikken, på, Frette, då, dei, fekk, melding, om, at, butikken, skulle, leggjast, ned, ., 
, –, Det, første, som, kjem, ut, or, meg, er, ein, tanke, om, familie, ,, born, og, venner, ., Eg, veit, kor, lett, det, er, å, gløyma, å, handla, på, veg, heim, frå, arbeid, ,, så, eg, kjem, til, å, sakna, butikken, her, ., Eg, har, sjølv, budd, på, Frette, store, delar, av, livet, i, og, med, at, faren, min, hadde, butikk, her, og, eg, er, odelsjente, på, garden, ,, seier, Laila, ,, som, fortel, at, ho, ikkje, kjem, til, å, vera, utan, arbeid, ., 
, –, Om, nokon, har, ein, jobb, til, meg, tar, eg, gjerne, den, ., Eg, har, vore, i, arbeidslivet, i, ein, mannsalder, ,, seier, Laila, ., ., 
, Eit, anna, moment, som, ho, peikar, på, som, tøft, er, at, ho, no, mistar, jobben, sin, med, kort, varsel, ., Det, same, gjer, ein, annan, tilsett, som, ho, arbeider, saman, med, i, butikken, ., 
, –, Eg, blir, verkeleg, lei, meg, ., Eg, har, sjølv, vore, her, og, handla, for, mine, born, då, dei, var, små, og, no]",PRON AUX X ADJ NOUN ADP NOUN PRON AUX AUX VERB ADP NOUN ADP PROPN X X VERB NOUN SCONJ SCONJ NOUN AUX VERB ADP PUNCT SPACE PUNCT DET ADJ PRON VERB ADP X PRON AUX ADJ NOUN ADP NOUN PUNCT PROPN CCONJ NOUN PUNCT PROPN X ADV ADJ PRON AUX PART NOUN PART VERB ADP NOUN X X NOUN PUNCT CCONJ X X SCONJ PART X NOUN ADV PUNCT PROPN X X X ADP PROPN ADJ NOUN ADP NOUN ADP CCONJ ADP SCONJ NOUN PRON VERB NOUN ADV CCONJ PRON AUX ADJ ADP NOUN PUNCT NOUN PROPN PUNCT SCONJ X SCONJ X X VERB SCONJ PART X PROPN NOUN PUNCT SPACE PUNCT ADP PROPN VERB ADJ NOUN ADP PRON VERB PRON ADV PRON PUNCT PROPN AUX X ADP NOUN ADP PROPN NOUN PUNCT NOUN PROPN PUNCT PUNCT SPACE X X NOUN ADP X X ADP SCONJ ADJ AUX SCONJ X X PROPN NOUN PRON ADP ADJ NOUN PUNCT DET X X X PROPN X PRON NOUN VERB PROPN ADP ADP NOUN PUNCT SPACE PUNCT PROPN VERB NOUN ADJ PRON PUNCT PROPN X PROPN X ADV CCONJ VERB ADP PRON PROPN X X AUX ADJ CCONJ X,0.03873239436619718,0.3865753424657536,197,852,0.649746192893401,0.2453873915802015
"[Det, var, så, som, så, med, forhol, dene, da, Elverum, IL, skulle, avvikle, sitt, internasjonale, fri, idrettsstevne, på, Sentralidretts, plassen, lørdag, kveld, ., Det, var, regn, og, vind, og, tunge, baner, ., Men, tross, dette, ble, det, oppnådd, flere, gode, resultater, ., De, siste, tre, årene, har, Elve, rum, hatt, en, sterk, stigning, i, det, sportslige, nivået, ,, men, nå, har, det, vært, mindre, bredde, i, rek, kene, ., Dette, håper, man, skal, rette, på, seg, etter, hvert, ., ., 
, Men, tross, alt, var, det, flere, lo, kale, utøvere, som, viste, solid, form, foran, stevnet, på, Lilleham, mer, i, helga, ., Odd, Erik, Frantzen, vant, 800, me, ter, for, øvrig, etter, meget, sterk, spurt, ,, og, vant, på, gode, 1.59,4., I, lengde, hoppet, Knut, Høye, 6,71, ,, men, her, var, vinden, noe, for, sterket, ., 
, Vinnerresultatene, var, ellers, jevnt, over, bra, ., 
, meter, hekk, ble, vunnet, av, Ha, mar, ILs, egen, Jan, Ole, Johns, gård, med, tiden, 23.8, ,, men, tid, ligere, i, uka, satte, han, ny, krets, rekord, ., 
, FOR, SNAUE, SEIER]",PRON AUX ADV SCONJ ADV ADP NOUN NOUN SCONJ PROPN NOUN AUX VERB PRON ADJ ADJ NOUN ADP PROPN NOUN NOUN NOUN PUNCT PRON VERB NOUN CCONJ NOUN CCONJ ADJ NOUN PUNCT CCONJ ADP PRON AUX PRON VERB ADJ ADJ NOUN PUNCT DET ADJ NUM NOUN AUX PROPN PROPN VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT CCONJ ADV AUX PRON VERB ADJ NOUN ADP PROPN NOUN PUNCT PRON VERB PRON AUX VERB ADP PRON ADP DET PUNCT PUNCT SPACE CCONJ ADP PRON AUX PRON ADJ VERB ADJ NOUN PRON VERB ADJ NOUN ADP NOUN ADP PROPN ADJ ADP NOUN PUNCT PROPN PROPN PROPN VERB NUM X X ADP ADJ ADP ADV ADJ VERB PUNCT CCONJ VERB ADP ADJ ADJ ADP NOUN VERB PROPN PROPN NUM PUNCT CCONJ ADV AUX NOUN PRON ADP NOUN PUNCT SPACE NOUN AUX ADV ADJ ADP ADJ PUNCT SPACE NOUN NOUN AUX VERB ADP VERB PROPN PROPN DET PROPN PROPN PROPN NOUN ADP NOUN NUM PUNCT CCONJ NOUN ADJ ADP NOUN VERB PRON ADJ NOUN NOUN PUNCT SPACE NOUN NOUN NOUN,0.06417736289381563,0.3890594059405952,177,857,0.4915254237288136,0.1330840882274452
"[Ja, det, var, det, som, var, i, gjære, den, kvelden, ,, en, kveld, der, alt, annet, enn, ei, lita, rogn, var, den, rette, ingrediensen, ., Så, var, ikke, tilfelle, ., Det, er, ikke, første, gangen, de, små, ting, og, de, nære, ting, står, i, sentrum, og, det, i, sin, egen, hage, ., 
, Men, likevel, ,, når, dette, skjer, en, sjelden, gang, ,, da, snakker, vi, med, rette, om, det, store, i, det, små, ., Det, var, nemlig, i, hagen, for, få, dager, siden, det, skjedde, ,, at, et, lite, ekorn, kom, innom, ,, hoppet, fra, et, tre, og, landet, på, ei, grein, hvor, det, ble, sittende, ganske, så, oppgitt, og, medgjørlig, i, noen, timer, før, det, forsvant, ., 
, Det, er, utrolig, hvor, stor, glede, de, små, tingene, i, hverdagen, skaper, ,, iallefall, i, dette, tilfellet, ., Nå, ble, det, ingen, fangst, av, de, små, ekornene, denne, gangen, heller, og, de, sitter, nok, ennå, og, håper, på, at, noen, bedre, blir, funnet, ,, men, uansett, blir, de, ikke, glemt, og, husket, .]",INTJ PRON AUX PRON PRON AUX ADP NOUN DET NOUN PUNCT DET NOUN SCONJ DET DET ADP DET PRON NOUN AUX DET ADJ NOUN PUNCT ADV AUX PART NOUN PUNCT PRON AUX PART ADJ NOUN DET ADJ NOUN CCONJ DET ADJ NOUN VERB ADP NOUN CCONJ PRON ADP PRON DET NOUN PUNCT SPACE CCONJ ADV PUNCT SCONJ PRON VERB DET ADJ NOUN PUNCT ADV VERB PRON ADP ADJ ADP DET ADJ ADP DET ADJ PUNCT PRON AUX ADV ADP NOUN ADP ADJ NOUN SCONJ PRON VERB PUNCT SCONJ DET ADJ NOUN VERB ADP PUNCT VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN ADV PRON VERB ADJ ADV ADV ADJ CCONJ ADJ ADP DET NOUN SCONJ PRON VERB PUNCT SPACE PRON AUX ADJ ADV ADJ NOUN DET ADJ NOUN ADP NOUN VERB PUNCT NOUN ADP DET NOUN PUNCT ADV VERB PRON DET NOUN ADP DET ADJ NOUN DET NOUN ADV CCONJ PRON VERB ADV ADV CCONJ VERB SCONJ SCONJ PRON ADJ AUX VERB PUNCT CCONJ ADP AUX PRON PART VERB CCONJ VERB PUNCT,0.04050632911392405,0.35112010796221416,173,790,0.6705202312138728,0.2068041953335784
"[Ja, det, er, ingen, tvil, !, I, år, er, det, 70, år, siden, krigsutbruddet, i, Norge, og, det, er, 10, år, siden, 2., verdenskrig, sluttet, ., Det, er, vel, ingen, som, helst, tvil, om, at, det, er, de, som, har, vært, barn, under, krigen, som, har, stått, i, mest, sentrum, for, å, få, i, stand, disse, arrange, mentene, som, ble, holdt, 9., april, og, 8., mai, ., 
, Den, 8, mai, er, jo, en, dag, som, står, ganske, høyt, ,, men, vi, syntes, jo, at, 8., mai, var, den, viktigste, ,, for, da, kom, da, de, norske, trop, per, endelig, hjem, !, Det, var, jo, et, veldig, stort, fokus, på, de, tyske, trop, pene, som, lå, i, Norge, og, som, skul, le, kjempe, imot, de, norske, styr, ker, som, etterhvert, kom, hjem, fra, England, ., Så, all, skytingen, med, kanoner, og, også, bomskudd, ., Det, var, vel, det, store, samtaleem, ne, den, dagen, ., De, fleste, hadde, jo, en, bekjent, som, kjempet, eller, hadde, kjempet, for, Norge, og, var, i, krigen, ., Så, ble, det, ropt, tre, gan, ger, tre, hoiiis, og, en, formasjon, av, soldater, mar, sjerte, bort, fra, leir]",INTJ PRON VERB DET NOUN PUNCT ADP NOUN AUX PRON NUM NOUN ADP NOUN ADP PROPN CCONJ PRON AUX NUM NOUN SCONJ ADJ NOUN VERB PUNCT PRON VERB ADV DET ADP ADV NOUN SCONJ SCONJ PRON AUX PRON PRON AUX AUX NOUN ADP NOUN PRON AUX VERB ADP ADJ NOUN SCONJ PART VERB SCONJ NOUN DET ADJ NOUN PRON AUX VERB ADJ NOUN CCONJ ADJ NOUN PUNCT SPACE DET NUM NOUN AUX ADV DET NOUN PRON VERB ADV ADJ PUNCT CCONJ PRON VERB ADV SCONJ ADJ NOUN AUX DET ADJ PUNCT CCONJ ADV VERB SCONJ DET ADJ NOUN ADP ADJ ADP PUNCT PRON AUX ADV DET ADJ ADJ NOUN ADP DET ADJ NOUN ADJ PRON VERB ADP PROPN CCONJ PRON ADJ X VERB ADP DET ADJ NOUN PROPN PRON ADV VERB ADP ADP PROPN PUNCT CCONJ DET NOUN ADP NOUN CCONJ ADV NOUN PUNCT PRON AUX ADV DET ADJ NOUN NOUN DET NOUN PUNCT DET ADJ VERB ADV DET NOUN PRON VERB CCONJ AUX VERB ADP PROPN CCONJ AUX ADP NOUN PUNCT ADV AUX PRON VERB NUM NOUN NOUN NUM NOUN CCONJ DET NOUN ADP NOUN PROPN VERB ADP ADP NOUN,0.047674418604651166,0.3735141800246612,191,860,0.643979057591623,0.23777040257907064
"[Så, var, det, klart, for, å, få, besøk, ., Fire, av, medlemmane, i, gruppa, som, har, ansvar, for, kyrkjetrappa, var, allereie, i, ferd, med, å, hente, fram, stolar, og, eit, lite, "", menighetsrådsbord, "", ., 
, –, Vi, tenkte, at, når, vi, først, skal, ha, besøk, ,, så, må, vi, jammen, få, det, litt, ekstra, koseleg, også, ,, kommenterer, Oddny, ., –, På, borda, ligg, noko, som, er, handlaga, her, ute, ,, mellom, anna, lys, og, serviettar, ., 
, –, Ja, så, då, blir, det, litt, ekstra, stas, å, sette, seg, ned, litt, no, ,, smiler, ho, og, slår, blikket, ned, ., –, Vi, ville, jo, ikkje, at, folk, skulle, tru, at, det, var, noko, særleg, gale, med, oss, ., Vi, har, jo, ikkje, noko, med, oss, som, kan, lage, ein, brann, !, Så, litt, pynt, ute, i, frå, er, på, plass, ,, smiler, ho, og, kikkar, smilande, opp, på, den, vesle, stunda, Kvinnheringen, får, til, intervju, i, det, vi, kjem, inn, i, gangen, og, skal, intervjue, damene, i, dei, forskjellige, komiteane, ., 
, –, Og, her, er, det]",ADV AUX PRON ADJ SCONJ PART VERB NOUN PUNCT NUM ADP NOUN ADP NOUN PRON VERB NOUN ADP NOUN AUX NOUN ADP NOUN SCONJ PART VERB ADP PROPN CCONJ X ADJ PUNCT NOUN PUNCT PUNCT SPACE PUNCT PRON VERB SCONJ SCONJ PRON ADV AUX VERB NOUN PUNCT ADV AUX PRON ADV VERB PRON ADJ ADJ NOUN ADV PUNCT VERB PROPN PUNCT PUNCT ADP NOUN X X PRON AUX ADJ ADV ADP PUNCT ADP PROPN NOUN CCONJ NOUN PUNCT SPACE PUNCT INTJ ADV X VERB PRON ADJ ADJ NOUN PART VERB PRON ADP X X PUNCT VERB NOUN CCONJ VERB NOUN ADP PUNCT PUNCT PRON VERB ADV ADV SCONJ NOUN AUX VERB SCONJ PRON AUX X PROPN ADJ ADP PRON PUNCT PRON VERB ADV X X ADP PRON PRON AUX VERB ADJ NOUN PUNCT ADV ADJ NOUN ADP ADP PROPN AUX ADP NOUN PUNCT VERB NOUN CCONJ ADJ ADJ ADP ADP DET ADJ NOUN PROPN VERB ADP NOUN ADP PRON PRON VERB ADP ADP NOUN CCONJ AUX VERB NOUN ADP PROPN ADJ NOUN PUNCT SPACE PUNCT CCONJ ADV AUX PRON,0.04767879548306148,0.3854010695187166,179,797,0.6256983240223464,0.2699341735037312
"[Det, var, som, kjent, en, finsk, bilfører, som, kom, kjø, rende, på, E6, forbi, Svinesundbrua, i, fjor, vår, som, av, ukjente, grunner, misset, avkjøringsveien, som, føre, rens, GPS, anviste, ., Dette, førte, til, bom, stopp, på, brua, ,, som, ble, stengt, i, flere, timer, ., Den, finske, mannen, hadde, med, seg, tre, passasjerer, samt, sin, hund, ,, og, da, alle, bilene, ble, tauet, bort, av, Viking, ., Utrolig, nok, kom, ingen, alvorlig, til, ska, de, ,, og, som, belønning, for, snarrådig, red, ning, ble, mannen, etter, dette, tatt, inn, som, lærling, på, Viking, stasjonen, ,, som, ligger, ved, siden, av, Svinesundbrua, ,, slik, bil, det, viser, ., ., 
, Ola, Gaute, Askheim, ., ., 
, -, Det, virker, som, du, bare, har, en, be, grenset, evne, til, å, se, nyansene, i, et, bilde, ?, At, du, kun, evner, å, se, ett, fargemessig, ståsted, i, et, bilde, ,, uten, å, vurdere, de, fak, tiske, farer, mot, hverandre, ., Dette, mener, jeg, er, en, mangel, på, forståelse, av, hvordan, et, fargeløst, uttrykk, kan, oppfattes, blant]",PRON AUX ADP ADJ DET ADJ NOUN PRON VERB VERB ADJ ADP PROPN ADP PROPN ADP NOUN PRON PRON ADP ADJ NOUN VERB NOUN PRON ADP NOUN PROPN VERB PUNCT PRON VERB ADP NOUN NOUN ADP NOUN PUNCT PRON AUX VERB ADP ADJ NOUN PUNCT DET ADJ NOUN VERB ADP PRON NUM NOUN CCONJ PRON NOUN PUNCT CCONJ SCONJ DET NOUN AUX VERB ADP ADP PROPN PUNCT ADJ ADV VERB DET ADJ ADP NOUN PRON PUNCT CCONJ ADP NOUN ADP ADJ PROPN NOUN AUX NOUN ADP PRON VERB ADP SCONJ NOUN ADP PROPN NOUN PUNCT PRON VERB ADP NOUN ADP PROPN PUNCT DET NOUN PRON VERB PUNCT PUNCT SPACE PROPN PROPN PROPN PUNCT PUNCT SPACE PUNCT PRON VERB PRON PRON ADV AUX DET VERB ADJ NOUN SCONJ PART VERB NOUN ADP DET NOUN PUNCT SCONJ PRON ADV VERB PART VERB NUM ADJ NOUN ADP DET NOUN PUNCT SCONJ PART VERB DET NOUN ADJ NOUN ADP PRON PUNCT PRON VERB PRON AUX DET NOUN ADP NOUN ADP ADV DET ADJ NOUN AUX VERB ADP,0.04739336492890995,0.3763270440251574,173,844,0.5375722543352601,0.15114973004696308
"[Det, er, ikkje, vanskeleg, å, skjø, ne, at, mange, av, dei, mest, profi, lerte, i, desse, miljøa, mislikar, denne, konklusjonen, ., For, det, er, sjølvsagt, uakseptabelt, at, det, eksisterer, eit, miljø, med, folk, som, ønskjer, å, rekruttere, til, valdeleg, ekstremisme, ., Og, ikkje, minst, er, det, viktig, at, dei, ansvarlege, for, den, offisielle, politik, ken, på, det, området, ,, inklusiv, Arbeidarpartiets, og, regjerings, partia, sine, ungdomsparti, ,, har, ein, aktiv, og, offensiv, strategi, for, å, unngå, slike, destruktive, miljø, ., Det, burde, også, vera, i, tråd, med, den, offisielle, politikken, ., 
, Feil, og, misbruk, ., 
, dårleg, at, det, vert, brukt, feil, infor, masjon, ., Det, vert, rett, nok, ,, i, av, slutninga, ,, sagt, at, dette, ikkje, er, eit, problem, i, dag, ,, men, dette, er, ei, feilslutning, når, det, gjeld, «, Osvald, ,, og, det, er, vanskeleg, å, sjå, at, dette, kan, ha, noko, anna, for, mål, ., », Vi, er, sjølvsagt, klar, over, at, det, vert, arbeidt, i, mange, miljø, med, dette, ,, men, vi, veit, også, at, det, eksisterer, krefter]",PRON AUX X X PART VERB NOUN SCONJ ADJ ADP NOUN ADJ NOUN NOUN ADP PROPN PROPN PROPN DET NOUN PUNCT CCONJ PRON AUX ADV ADJ SCONJ PRON VERB PART NOUN ADP NOUN PRON VERB PART VERB ADP NOUN NOUN PUNCT CCONJ ADV ADJ AUX PRON ADJ SCONJ PROPN VERB ADP DET ADJ NOUN NOUN ADP DET NOUN PUNCT ADP PROPN CCONJ NOUN NOUN PRON NOUN PUNCT VERB ADJ ADJ CCONJ ADJ NOUN SCONJ PART VERB DET ADJ NOUN PUNCT PRON AUX ADV VERB ADP NOUN ADP DET ADJ NOUN PUNCT SPACE NOUN CCONJ NOUN PUNCT SPACE PROPN SCONJ PRON ADJ VERB NOUN ADP NOUN PUNCT PRON ADJ ADJ ADV PUNCT ADP ADP NOUN PUNCT VERB SCONJ PRON X AUX DET NOUN ADP NOUN PUNCT CCONJ PRON AUX DET NOUN SCONJ PRON NOUN PUNCT PROPN PUNCT CCONJ PRON AUX ADV PART VERB SCONJ PRON AUX VERB X X ADP NOUN PUNCT PUNCT PRON AUX ADV ADJ SCONJ SCONJ PRON ADJ ADJ ADP ADJ NOUN ADP PRON PUNCT CCONJ PRON VERB ADV SCONJ PRON VERB NOUN,0.03720405862457723,0.3757995226730307,175,887,0.5771428571428572,0.2916191695162974
"[Kor, mange, prosent, av, alle, dei, som, er, i, arbeid, som, vil, vere, i, arbeid, om, ti, år, ?, For, ein, er, kanskje, i, tvil, om, korleis, stoda, vil, bli, ?, 
, Det, er, likevel, vanskeleg, å, skjøne, at, mange, unge, ikkje, vel, å, ta, ei, utdanning, som, fører, til, dei, vil, få, eit, arbeid, i, heimkommunen, ., For, det, er, nettopp, her, dei, fleste, ynskjer, seg, ei, framtid, og, eit, liv, ., 
, I, Vestnes, er, tilgangen, på, jobbar, for, unge, ganske, bra, ,, det, viser, også, prognosane, til, Statistisk, sentralbyrå, ., 
, Men, det, er, ikkje, sikkert, det, er, nok, ., 
, Det, er, sjølvsagt, dei, unge, som, må, ta, den, vanskelege, jobben, ., Vaksne, som, vel, yrkesfag, og, så, vidare, har, ein, heilt, annan, valfridom, ,, og, kan, velje, å, gå, vidare, ., 
, Kanskje, ein, skulle, starte, så, enkelt, som, at, foreldre, og, alle, vaksne, i, Vestnes, som, sjølve, berre, har, praktisk, utdanning, ,, måtte, tenke, på, at, dei, unge, ikkje, må, flytte, ut, av, kommunen, når, dei, skal, velje, seg, vidaregåande, utdanning, eller, når, dei, skal, til, i, ein, jobb, .]",ADV ADJ NOUN ADP DET NOUN PRON AUX ADP NOUN PRON AUX VERB ADP NOUN ADP NUM NOUN PUNCT ADP PROPN AUX ADV ADP NOUN SCONJ ADV PROPN AUX VERB PUNCT SPACE PRON AUX ADV NOUN PART VERB SCONJ ADJ ADJ ADV ADV PART VERB DET NOUN PRON VERB ADP NOUN AUX VERB DET NOUN ADP NOUN PUNCT CCONJ PRON AUX ADV ADV NOUN ADJ VERB PRON DET NOUN CCONJ DET NOUN PUNCT SPACE ADP PROPN AUX NOUN ADP NOUN ADP ADJ ADV ADJ PUNCT PRON VERB ADV PROPN ADP PROPN NOUN PUNCT SPACE CCONJ PRON AUX ADV ADJ PRON AUX ADV PUNCT SPACE PRON AUX ADV DET ADJ PRON AUX VERB DET NOUN NOUN PUNCT ADJ PRON ADV NOUN CCONJ ADV NOUN X X X X X PUNCT CCONJ AUX VERB PART VERB NOUN PUNCT SPACE ADV PROPN X VERB ADV ADJ SCONJ SCONJ NOUN CCONJ DET NOUN ADP PROPN SCONJ ADJ X VERB ADJ NOUN PUNCT AUX VERB SCONJ SCONJ PROPN ADJ X AUX VERB ADP ADP NOUN SCONJ PROPN AUX VERB PRON ADJ NOUN CCONJ SCONJ PRON VERB ADP ADP ADJ NOUN PUNCT,0.03968253968253968,0.3791596638655451,186,882,0.6666666666666666,0.26662117567852506
"[Det, er, veldig, bra, at, Høyre, i, sitt, alternative, budsjett, foreslår, mer, penger, til, fylkesveiene, i, Akershus, ., Selv, om, Høyre, legger, inn, mer, penger, til, fylkesveier, enn, det, regjerin, gen, gjør, ,, er, det, langt, fra, nok, ., Det, vil, ta, lang, tid, å, ta, igjen, etter, slepet, på, vedlikehold, av, veiene, som, har, fått, lov, til, å, forfalle, mens, Høyres, samferdselsminis, ter, i, mange, år, har, unnlatt, å, gjøre, det, den, forrige, regjeringen, gjorde, i, posisjon, ., 
, Når, man, kommer, opp, på, et, visst, forfallsnivå, ,, med, en, akseptabel, vei, som, har, et, kritisk, nivå, på, opp, mot, 80, ,, som, mange, fylkesveier, i, Akershus, har, ,, er, det, snakk, om, at, det, ikke, er, godt, nok, ., I, Akers, hus, betyr, det, et, behov, på, mellom, fire, og, fem, milliarder, til, å, for, nye, eller, bygge, nye, veier, de, kommende, ti, årene, ., Dagens, nivå, på, cirka, en, milliard, fra, Akershus, er, ikke, nok, for, å, gjøre, det, vi, må, ,, og, kommer, heller, aldri, til, å, bli, det, for, å, ta, igjen, etterslepet, ., 
, MINER, KRYSSORD, I, DAG, !, 
, viktigere, ., På]",PRON AUX ADJ ADJ SCONJ PROPN ADP PRON ADJ NOUN VERB ADJ NOUN ADP NOUN ADP PROPN PUNCT ADV SCONJ PROPN VERB ADP ADJ NOUN ADP NOUN ADP PRON X NOUN VERB PUNCT AUX PRON ADJ ADP ADV PUNCT PRON AUX VERB ADJ NOUN PART VERB ADV ADP NOUN ADP NOUN ADP NOUN PRON AUX VERB NOUN SCONJ PART VERB SCONJ PROPN PROPN NOUN ADP ADJ NOUN AUX VERB PART VERB PRON DET DET NOUN VERB ADP NOUN PUNCT SPACE SCONJ PRON VERB ADP ADP DET ADJ NOUN PUNCT ADP DET ADJ NOUN PRON VERB DET ADJ NOUN ADP ADP ADP NUM PUNCT PRON ADJ NOUN ADP PROPN AUX PUNCT AUX PRON NOUN SCONJ SCONJ PRON PART AUX ADJ ADV PUNCT ADP PROPN NOUN VERB PRON DET NOUN ADP ADP NUM CCONJ NUM NOUN SCONJ PART VERB ADJ CCONJ VERB ADJ NOUN DET ADJ NUM NOUN PUNCT NOUN NOUN ADP ADV DET NOUN ADP PROPN AUX PART ADV SCONJ PART VERB PRON PRON VERB PUNCT CCONJ VERB ADV ADV SCONJ PART VERB PRON SCONJ PART VERB ADV NOUN PUNCT SPACE PROPN PROPN ADP NOUN PUNCT SPACE ADJ PUNCT ADP,0.049723756906077346,0.3839719626168219,189,905,0.6455026455026455,0.252163972637735
