tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, noe, annet, ,, en, dyp, uro, som, ville, opp, i, ham, ., En, anelse, om, at, han, kanskje, hadde, misfor, stått, henne, ., Kanskje, hadde, han, bare, spilt, det, for, at, hun, skulle, komme, ham, nær, og, bli, glad, i, ham, ., Kanskje, burde, han, si, som, så, :, Jeg, vil, vi, skal, glemme, det, ., Han, ble, nødt, til, å, tenke, på, at, hun, allerede, var, forlovet, og, hadde, gjort, det, frivillig, ., Det, fikk, greie, seg, nå, ., Hun, ville, ikke, bli, sint, fordi, han, hadde, gitt, etter, ,, og, han, hadde, ikke, til, hensikt, å, seige, livet, for, en, kvinne, ., Hvis, han, på, en, eller, annen, måte, kunne, overbevise, henne, om, at, det, som, hadde, skjedd, ikke, betydde, noen, ting, ville, det, bli, godt, ., Men, det, ville, ikke, gå, så, lett, ., Han, måtte, legge, godviljen, til, ., Det, var, hans, egen, skyld, at, han, tenkte, slik, ,, men, av, og, til, var, det, så, ., Det, var, igrunnen, så, übehagelig, å, skulle, være, den, som, måtte, fortelle, om, de, gamle, minnene, og, den, gamle, skuffelsen, ., Hun, hadde, jo, ikke, visst, om, det, før, nå, ., Han, tok, det]",CCONJ PRON VERB DET DET PUNCT DET ADJ NOUN PRON VERB ADP ADP PRON PUNCT DET NOUN SCONJ SCONJ PRON ADV AUX NOUN VERB PRON PUNCT ADV AUX PRON ADV VERB PRON SCONJ SCONJ PRON AUX VERB PRON ADJ CCONJ VERB ADJ ADP PRON PUNCT ADV AUX PRON VERB SCONJ ADV PUNCT PRON AUX PRON AUX VERB PRON PUNCT PRON VERB ADJ SCONJ PART VERB SCONJ SCONJ PRON ADV AUX ADJ CCONJ AUX VERB PRON ADJ PUNCT PRON AUX VERB PRON ADV PUNCT PRON AUX PART VERB ADJ SCONJ PRON AUX VERB ADP PUNCT CCONJ PRON VERB PART ADP NOUN PART ADJ NOUN ADP DET NOUN PUNCT SCONJ PRON ADP DET CCONJ DET NOUN AUX VERB PRON SCONJ SCONJ PRON PRON AUX VERB PART VERB DET NOUN AUX PRON VERB ADJ PUNCT CCONJ PRON AUX PART VERB ADV ADJ PUNCT PRON AUX VERB NOUN ADP PUNCT PRON AUX PRON DET NOUN SCONJ PRON VERB ADV PUNCT CCONJ ADP CCONJ ADP AUX PRON ADV PUNCT PRON AUX NOUN ADV ADJ PART AUX AUX PRON PRON AUX VERB ADP DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT PRON AUX ADV PART VERB ADP PRON ADP ADV PUNCT PRON VERB PRON,0.03928170594837262,0.3698574821852733,198,891,0.7474747474747475,0.3232266916895665
"[Det, var, ein, gong, to, ungar, som, budde, oppunder, ein, gammal, sky, ,, og, som, ikkje, åtte, nåla, i, veggen, ., Så, ein, dag, så, fann, dei, ut, at, dei, skulle, gå, ut, og, leita, etter, stein, ., Slik, gjekk, dei, både, langt, og, lenge, ,, men, då, dei, hadde, gått, endå, eit, stykkje, ,, fann, dei, ein, stein, som, dei, fekk, lyst, på, ., Dei, blei, så, gla, ,, trass, i, at, steinen, var, både, tung, og, glatt, ,, at, dei, la, på, sprang, heimatt, ., Det, hadde, gått, berre, bra, å, bera, steinen, ,, og, nå, skulle, dei, finna, seg, ei, gåve, til, dei, som, var, deira, aller, beste, vener, ,, for, det, var, både, søskenbarn, som, var, på, besøk, ., Så, fann, dei, ein, fin, steinbit, som, var, så, blank, i, lèten, ,, så, blankare, blei, ikkje, steinen, nå, ., 
, -Enn, om, me, smurte, deg, inn, med, bronsefarge, ,, var, forslaget, frå, dei, ,, heilt, på, tampen, ., 
, -Nei, ,, det, skulle, eg, vel, ikkje, ,, meinte, bestefar, ., -Held, det, ikkje, for, meg, ,, får]",PRON AUX X X X PROPN PRON VERB ADP X X X PUNCT CCONJ ADP ADV NUM NOUN ADP NOUN PUNCT CCONJ ADJ NOUN VERB PROPN PROPN ADP SCONJ PROPN AUX VERB ADP CCONJ ADJ ADP NOUN PUNCT ADV X X CCONJ ADJ CCONJ ADJ PUNCT CCONJ X X AUX VERB PROPN X X PUNCT X X X NOUN PRON X VERB NOUN ADP PUNCT X VERB ADV ADJ PUNCT NOUN SCONJ SCONJ NOUN AUX CCONJ ADJ CCONJ ADJ PUNCT SCONJ PROPN VERB ADP NOUN NOUN PUNCT PRON AUX VERB ADV ADJ PART VERB NOUN PUNCT CCONJ ADV AUX NOUN VERB PRON DET PROPN ADP PROPN PRON AUX NOUN ADV ADJ NOUN PUNCT CCONJ PRON AUX CCONJ NOUN PRON AUX SCONJ NOUN PUNCT CCONJ X X X ADJ NOUN PRON AUX ADV ADJ ADP NOUN PUNCT ADV PROPN X X NOUN ADV PUNCT SPACE PUNCT ADP X VERB PRON ADP ADP NOUN PUNCT AUX NOUN PROPN X PUNCT VERB ADP NOUN PUNCT SPACE PUNCT PUNCT PRON AUX PRON ADV X PUNCT X NOUN PUNCT PROPN PRON X ADP PRON PUNCT VERB,0.04358974358974359,0.3720656634746939,181,780,0.6519337016574586,0.2362459436974161
"[Det, var, så, mye, å, like, med, dette, spillet, at, jeg, brukte, litt, tid, på, å, finne, glede, i, det, faktum, at, det, var, ganske, gammelt, og, at, den, første, delen, var, ganske, begrenset, ., I, den, grad, at, spillet, ikke, egentlig, er, designet, for, å, appellere, til, nye, spillere, ,, fordi, ,, vel, ,, det, er, det, ., Jeg, likte, spillet, ,, men, det, var, det, ., 
, Jeg, vet, at, spillet, ikke, er, mye, moro, når, du, spiller, det, for, første, gang, ., Det, er, fordi, det, ikke, har, noe, spesifikt, for, den, nye, spilleren, ., Du, spiller, et, ganske, klassisk, kortspill, ., Når, du, spiller, spillet, ,, skjønner, du, hvorfor, det, er, et, klassisk, kortspill, ,, fordi, det, ikke, er, lagt, mye, vekt, på, å, være, morsomt, eller, nyskapende, ., Når, du, spiller, spillet, ,, innser, du, at, noen, viktige, komponenter, i, moderne, kortspill, er, blitt, fullstendig, forlatt, i, spillet, ., Komponenter, som, muligheten, til, å, stjele, fra, hverandre, ,, et, mer, åpent, dekk, og, muligheten, til, en, spiller, å, bruke, flere, kort, enn, de, som, er, i, hånden, ., Hver, av, disse, tre, komponentene, ville, ha, gjort, spillet, morsommere, ,, men, det]",PRON VERB ADV ADJ PART VERB ADP DET NOUN SCONJ PRON VERB ADJ NOUN SCONJ PART VERB NOUN ADP DET NOUN SCONJ PRON AUX ADV ADJ CCONJ SCONJ DET ADJ NOUN AUX ADV ADJ PUNCT ADP DET NOUN SCONJ NOUN PART ADJ AUX VERB SCONJ PART VERB ADP ADJ NOUN PUNCT SCONJ PUNCT ADV PUNCT PRON AUX PRON PUNCT PRON VERB NOUN PUNCT CCONJ PRON AUX PRON PUNCT SPACE PRON VERB SCONJ NOUN PART AUX ADJ NOUN SCONJ PRON VERB PRON ADP ADJ NOUN PUNCT PRON AUX SCONJ PRON PART VERB DET ADJ ADP DET ADJ NOUN PUNCT PRON VERB DET ADV ADJ NOUN PUNCT SCONJ PRON VERB NOUN PUNCT VERB PRON ADV PRON AUX DET ADJ NOUN PUNCT SCONJ PRON PART AUX VERB ADJ NOUN SCONJ PART AUX ADJ CCONJ ADJ PUNCT SCONJ PRON VERB NOUN PUNCT VERB PRON SCONJ DET ADJ NOUN ADP ADJ NOUN AUX AUX ADJ VERB ADP NOUN PUNCT NOUN ADP NOUN SCONJ PART VERB ADP PRON PUNCT DET ADJ ADJ NOUN CCONJ NOUN ADP DET NOUN PART VERB ADJ NOUN ADP PRON PRON AUX SCONJ NOUN PUNCT DET ADP DET NUM NOUN AUX AUX VERB NOUN ADJ PUNCT CCONJ PRON,0.035269709543568464,0.3620983606557384,196,964,0.6479591836734694,0.24035168270654217
"[Ja, det, var, en, nydelig, bok, ., Syns, alltid, det, er, fint, når, man, får, møte, seg, selv, "", bak, fasaden, "", ,, og, når, den, man, egentlig, er, viser, seg, å, ikke, være, så, verst, likevel, ., Jeg, har, tenkt, på, å, gjøre, noe, lignende, en, gang, ,, men, har, ikke, kommet, så, langt, ..., Det, kunne, vært, interessant, å, se, hvordan, du, lagde, "", rammene, "", for, å, sette, igang, boka, og, leseprosessen, ?, Det, har, jeg, veldig, lyst, til, å, gjøre, selv, !, :), Hilsen, Ingrid, 
, Ragnhild, :, Takk, for, det, ., Dette, har, vært, et, spennende, prosjekt, ., Hvis, du, leser, her, igjen, ,, så, skal, jeg, komme, med, flere, historier, om, arbeidet, ,, om, rammene, og, om, de, mer, litterære, utfordringene, som, kom, underveis, ., Det, er, mye, man, skal, forholde, seg, til, når, man, skal, lage, og, skrive, en, bok, ,, og, noe, av, det, morsomste, med, prosessen, er, de, uventede, vendingene, ., Jeg, har, hatt, mange, opplevelser, med, at, "", bak, fasaden, "", kan, man, være, så, god, som, man, bare, vil]",INTJ PRON AUX DET ADJ NOUN PUNCT VERB ADV PRON AUX ADJ SCONJ PRON AUX VERB PRON DET PUNCT ADP NOUN PUNCT PUNCT CCONJ SCONJ PRON PRON ADJ AUX VERB PRON PART PART AUX ADV ADJ ADV PUNCT PRON AUX VERB SCONJ PART VERB DET ADJ DET NOUN PUNCT CCONJ AUX PART VERB ADV ADJ PUNCT PRON AUX AUX ADJ PART VERB ADV PRON VERB PUNCT NOUN PUNCT SCONJ PART VERB ADV NOUN CCONJ NOUN PUNCT PRON VERB PRON ADJ NOUN SCONJ PART VERB ADV PUNCT PUNCT NOUN PROPN SPACE PROPN PUNCT NOUN ADP PRON PUNCT PRON AUX AUX DET ADJ NOUN PUNCT SCONJ PRON VERB ADV ADV PUNCT ADV AUX PRON VERB ADP ADJ NOUN ADP NOUN PUNCT ADP NOUN CCONJ ADP DET ADJ ADJ NOUN PRON VERB ADP PUNCT PRON VERB ADJ PRON AUX VERB PRON SCONJ SCONJ PRON AUX VERB CCONJ VERB DET NOUN PUNCT CCONJ DET ADP DET ADJ ADP NOUN AUX DET ADJ NOUN PUNCT PRON AUX VERB ADJ NOUN SCONJ SCONJ PUNCT ADP NOUN PUNCT AUX PRON AUX ADV ADJ PRON PRON ADV AUX,0.04830917874396135,0.3816944801026953,180,828,0.6555555555555556,0.24090287147426856
"[Ja, det, er, noget, skravl, ,, man, kan, nærmest, se, på, billedet, at, det, er, et, forsøg, på, at, være, lækker, ., Jeg, har, jo, kun, det, ene, og, jeg, vil, nu, gå, i, gang, med, at, finde, ud, af, hvad, der, er, galt, med, det, ., Måske, skal, jeg, skifte, det, og, har, måske, også, fundet, ud, af, hvad, der, er, galt, med, det, ., Men, måske, har, jeg, kun, fundet, en, del, af, problemet, ., 
, Næste, projekt, bliver, at, se, om, man, kan, få, det, til, at, fungere, eller, om, jeg, måske, skal, have, fat, i, nogle, flere, reservedele, ., I, hvert, fald, ved, man, jo, aldrig, ,, hvad, fremtiden, bringer, for, os, ., 
, Jeg, håber, ,, at, jeg, kan, være, i, stand, til, at, opdatere, mere, regelmæssigt, i, fremtiden, ,, nu, hvor, jeg, har, fået, en, del, mere, tid, til, at, fokusere, på, det, på, grund, af, nyt, job, ., Det, er, helt, sikkert, noget, jeg, vil, fortsætte, med, at, gøre, ., 
, Jeg, er, begyndt, at, spille, fodbold, 
, Det, er, faktisk, ved, at, være, et, år, siden, jeg, skrev, sidst, på, denne, blog, og, det, er, der, en, meget, god, grund, til, ., Jeg, er, begyndt, at, spille, fodbold, og]",INTJ PRON VERB PROPN NOUN PUNCT PRON AUX ADJ VERB ADP NOUN SCONJ PRON VERB DET PROPN SCONJ SCONJ AUX VERB PUNCT PRON AUX ADV ADV DET NUM CCONJ PRON AUX ADV VERB ADP NOUN SCONJ SCONJ PROPN PROPN X PROPN ADV AUX ADJ ADP PRON PUNCT ADJ AUX PRON VERB PRON CCONJ VERB ADJ ADV NOUN PROPN X PROPN ADV AUX ADJ ADP PRON PUNCT CCONJ ADJ AUX PRON ADV VERB DET NOUN ADJ NOUN PUNCT SPACE ADJ NOUN VERB SCONJ VERB SCONJ PRON AUX VERB PRON SCONJ SCONJ VERB CCONJ SCONJ PRON ADJ AUX ADV NOUN ADP PROPN ADJ NOUN PUNCT ADP DET NOUN ADP PRON ADV ADJ PUNCT PROPN NOUN VERB ADP PROPN PUNCT SPACE PRON VERB PUNCT SCONJ PRON AUX AUX SCONJ NOUN SCONJ SCONJ NOUN ADJ ADJ ADP NOUN PUNCT ADV ADV PRON VERB NOUN DET NOUN ADJ NOUN SCONJ SCONJ VERB ADP PRON ADP X X X PROPN PUNCT PRON AUX ADJ ADJ PROPN PRON AUX VERB SCONJ SCONJ VERB PUNCT SPACE PRON AUX ADJ SCONJ VERB NOUN SPACE PRON AUX ADJ SCONJ SCONJ AUX DET NOUN SCONJ PRON VERB PROPN ADP DET NOUN CCONJ PRON AUX ADV DET ADV ADJ NOUN ADP PUNCT PRON AUX ADJ SCONJ VERB NOUN CCONJ,0.03678929765886288,0.39094339622641433,207,897,0.5942028985507246,0.23793185256179575
"[Så, var, det, den, tiden, av, året, igjen, ..., Julebordsesong, ., Mange, vil, vel, kanskje, mene, at, det, er, da, det, begynner, å, bli, vanskelig, å, følge, med, i, tiden, ., Ikke, sant, ?, 
, For, det, første, :, Vi, som, jobber, i, media, får, med, oss, dette, ,, og, følger, det, tettere, og, mer, intenst, enn, de, fleste, andre, ., 
, For, det, andre, :, Ikke, alle, har, et, liv, som, passer, til, et, julebord-liv, ., Ikke, alle, har, lyst, til, å, danse, natten, lang, ., Ikke, alle, har, lyst, til, å, se, ut, som, de, har, danset, halve, natten, ., Ikke, alle, har, lyst, til, å, bruke, natten, på, å, taste, på, et, tastatur, ., 
, For, det, tredje, :, Ikke, alle, er, invitert, ., 
, For, det, fjerde, :, Jeg, vet, om, folk, som, foretrekker, å, jobbe, dagen, før, julebordet, ,, for, da, får, man, ro, hele, natten, til, å, hente, seg, inn, ., For, det, femte, :, Folk, jobber, også, på, julebordet, –, folk, som, er, helt, avhengige, av, å, jobbe, for, å, ha, nok, penger, til, mat, ., De, jobber, for, å, få, penger, til, å, betale, for, alkohol, som, de, kan, bruke, på, seg, selv, den, kvelden, ., 
, For]",ADV AUX PRON DET NOUN ADP NOUN ADV PUNCT PROPN PUNCT ADJ AUX ADV ADV VERB SCONJ PRON AUX ADV PRON VERB PART VERB ADJ PART VERB ADP ADP NOUN PUNCT PART ADJ PUNCT SPACE ADP DET ADJ PUNCT PRON PRON VERB ADP NOUN VERB ADP PRON PRON PUNCT CCONJ VERB PRON ADJ CCONJ ADJ ADJ ADP DET ADJ DET PUNCT SPACE ADP DET ADJ PUNCT PART PRON VERB DET NOUN PRON VERB ADP DET NOUN PUNCT PART PRON VERB NOUN SCONJ PART VERB NOUN ADJ PUNCT PART PRON VERB NOUN SCONJ PART VERB ADP PRON PRON AUX VERB ADJ NOUN PUNCT PART PRON VERB NOUN SCONJ PART VERB NOUN SCONJ PART VERB ADP DET NOUN PUNCT SPACE ADP DET ADJ PUNCT PART PRON AUX VERB PUNCT SPACE ADP DET ADJ PUNCT PRON VERB ADP NOUN PRON VERB PART VERB NOUN ADP NOUN PUNCT CCONJ ADV VERB PRON VERB ADJ NOUN SCONJ PART VERB PRON ADP PUNCT ADP DET ADJ PUNCT NOUN VERB ADV ADP NOUN PUNCT NOUN PRON AUX ADJ ADJ SCONJ PART VERB SCONJ PART VERB ADV NOUN ADP NOUN PUNCT PRON VERB SCONJ PART VERB NOUN SCONJ PART VERB ADP NOUN PRON PRON AUX VERB ADP PRON DET DET NOUN PUNCT SPACE ADP,0.04274465691788527,0.3825952380952375,206,889,0.6310679611650486,0.23105731987427383
"[Det, var, som, vanlig, mange, skuelystne, som, tok, turen, til, Vollumfjøset, og, den, gamle, prestegarden, i, Vingelen, for, å, ta, del, i, den, tradisjonsrike, martnan, ., Det, hele, startet, med, gudstjeneste, i, Vingelen, kirke, kl11, der, biskop, Ingeborg, Midttømme, deltok, ., Omvisning, i, Vingelen, kirke, kl12, og, det, var, også, mulig, å, kjøpe, seg, kaffe, og, vaffel, eller, rømmegrøt, med, spekemat, ., 
, I, Vingelen, kirke, ble, det, holdt, konsert, kl15, ,, der, det, først, var, sang, ved, Vingel, Singers, før, duoen, Ingrid, Nyhus, og, Vegar, Dahl, åpnet, med, «, Heim, », ., Duoen, Dahl, og, Nyhus, ga, ut, plata, «, Lengt, », i, 2017, ,, og, består, av, Dahl, ,, nå, folkemusiker, og, musikklærer, ved, Røros, videregående, skole, ,, og, musiker, og, komponist, Nyhus, ., På, denne, plata, har, Dahl, og, Nyhus, tatt, utgangspunkt, i, tradisjonslåter, fra, Røros, som, finnes, bevart, på, noter, ,, og, satt, melodiene, sammen, til, nye]",PRON AUX ADP ADJ ADJ NOUN PRON VERB NOUN ADP PROPN CCONJ DET ADJ NOUN ADP PROPN SCONJ PART VERB NOUN ADP DET ADJ NOUN PUNCT DET ADJ VERB ADP NOUN ADP PROPN NOUN PROPN SCONJ NOUN PROPN PROPN VERB PUNCT NOUN ADP PROPN NOUN NOUN CCONJ PRON AUX ADV ADJ PART VERB PRON NOUN CCONJ NOUN CCONJ NOUN ADP NOUN PUNCT SPACE ADP PROPN NOUN AUX PRON VERB NOUN NOUN PUNCT SCONJ PRON ADV AUX NOUN ADP PROPN PROPN SCONJ NOUN PROPN PROPN CCONJ PROPN PROPN VERB ADP PUNCT PROPN PUNCT PUNCT NOUN PROPN CCONJ PROPN VERB ADP NOUN PUNCT PROPN PUNCT ADP NUM PUNCT CCONJ VERB ADP PROPN PUNCT ADV NOUN CCONJ NOUN ADP PROPN ADJ NOUN PUNCT CCONJ NOUN CCONJ NOUN PROPN PUNCT ADP DET NOUN VERB PROPN CCONJ PROPN VERB NOUN ADP NOUN ADP PROPN PRON VERB ADJ ADP NOUN PUNCT CCONJ VERB NOUN ADV ADP ADJ,0.058007566204287514,0.41018817204301017,151,793,0.48344370860927155,0.16250831325750925
"[Det, er, ikkje, første, gong, dei, to, har, vore, nær, kvarandre, i, løpet, av, dei, siste, vekene, ., Kvifor, skulle, dei, ikkje, det, ?, ,, skriv, Gayatri, Devi, ., 
, For, det, er, ikkje, første, gong, vi, har, vore, nærverande, i, verda, og, andre, ikkje, ., Det, er, eit, samansurium, av, ein, kvardag, som, skjer, på, ein, gong, ., Ein, har, alt, ein, kan, tenkje, seg, og, ikkje, det, ein, forventa, for, å, nemne, noko, ,, for, så, å, finne, ut, at, ein, ikkje, er, ein, del, av, noko, ein, forventa, og, berre, må, tilpasse, seg, ., Vi, snakkar, ikkje, berre, om, det, ytre, ,, vi, snakkar, om, kjensler, og, vi, snakkar, om, den, indre, verda, vi, har, skapt, ,, men, som, blir, viska, sakte, vekk, av, dei, ytre, tinga, som, vi, ikkje, er, her, for, å, forklare, ., Verda, går, sakte, ,, men, har, så, mykje, fart, i, seg, at, vi, ikkje, klarer, å, gripe, alle, dei, små, stundane, som, finn, stad, i, verda, med, vår, påverking, ., Ikkje, alle, er, flinke, til, å, tilpasse]",PRON AUX ADV ADJ X X NUM AUX VERB ADJ NOUN ADP NOUN ADP DET ADJ NOUN PUNCT ADV X X X PRON PUNCT PUNCT VERB PROPN PROPN PUNCT SPACE ADP PRON AUX ADV ADJ NOUN PRON AUX ADJ ADJ ADP PROPN CCONJ DET X PUNCT PRON AUX DET NOUN ADP ADJ NOUN PRON VERB ADP X X PUNCT X VERB PRON X AUX VERB PRON CCONJ X X X X SCONJ PART NOUN NOUN PUNCT SCONJ ADV PART VERB ADP SCONJ X X X X NOUN ADP X X X CCONJ ADV AUX VERB PRON PUNCT PRON VERB X ADV ADP DET ADJ PUNCT PRON VERB ADP NOUN CCONJ PRON VERB ADP DET ADJ NOUN PRON AUX VERB PUNCT CCONJ PRON VERB NOUN ADJ ADP ADP DET ADJ NOUN PRON PRON X AUX ADV SCONJ PART VERB PUNCT NOUN VERB ADJ PUNCT CCONJ VERB ADV ADJ NOUN ADP PRON SCONJ PRON X VERB PART VERB DET DET ADJ NOUN PRON X X ADP PROPN ADP PRON NOUN PUNCT CCONJ PRON AUX ADJ SCONJ PART VERB,0.045283018867924525,0.3670241286863277,176,795,0.6988636363636364,0.3011333267719494
"[Kor, mange, prosent, vert, den, totale, kostnaden, etter, kvart, som, det, kjem, fleire, på, møtet, ?, Er, summen, av, kostnadene, uavhengig, av, kor, mange, som, kjem, ?, 
, Summen, av, kostnadene, vil, i, dette, tilfellet, vere, uavhengig, av, kor, mange, som, kjem, sidan, me, kan, ha, fleire, parallelle, møtelokale, kor, det, vert, teke, ulik, pris, ., Utgiftene, vil, i, utgangspunktet, vere, like, store, per, person, for, dette, alternativet, ., Det, er, difor, mogleg, å, gjere, ei, simultanfordeling, av, utgiftene, mellom, møtelokala, ., Om, fleire, møterom, vert, tekne, i, bruk, ,, er, det, ikkje, råd, å, seie, noko, om, kostnadene, utan, å, kjenne, oppslutninga, ., Det, vil, ofte, vere, ulike, oppslutningar, mellom, ulike, grupper, ., Dersom, oppslutninga, vert, høgare, enn, for, to, lokale, ,, vil, kostnaden, vere, avhengig, av, kor, mange, som, kjem, til, møtet, ., Om, det, ikkje, er, høve, til, å, fordele, utgiftene, etter, kor, mange, som, møter, ,, vil, summen, til, slutt, vere, lik, den, totale, kostnaden, .]",ADV ADJ NOUN VERB DET ADJ NOUN ADP NOUN PRON DET VERB PROPN ADP NOUN PUNCT AUX NOUN ADP NOUN ADJ ADP ADV ADJ PRON VERB PUNCT SPACE NOUN ADP NOUN AUX ADP DET NOUN AUX ADJ ADP ADV ADJ PRON VERB X X AUX VERB ADJ ADJ NOUN ADV PRON ADJ X ADJ NOUN PUNCT NOUN AUX ADP NOUN VERB ADV ADJ ADP NOUN ADP DET NOUN PUNCT PRON AUX ADV PROPN PART VERB DET NOUN ADP NOUN ADP PROPN PUNCT ADP ADJ NOUN AUX ADJ ADP NOUN PUNCT VERB PRON X NOUN PART VERB X ADP NOUN PROPN PART VERB NOUN PUNCT PRON AUX ADJ VERB ADJ PROPN ADP ADJ NOUN PUNCT SCONJ NOUN VERB PROPN ADP ADP NUM ADJ PUNCT AUX NOUN AUX ADJ ADP ADV ADJ PRON VERB ADP NOUN PUNCT SCONJ PRON X AUX NOUN SCONJ PART VERB NOUN ADP ADV ADJ PRON VERB PUNCT AUX NOUN ADP NOUN VERB ADJ DET ADJ NOUN PUNCT,0.038238702201622246,0.3618181818181827,160,863,0.6375,0.1811860322973708
"[Det, er, veldig, sjeldent, at, gutter, får, soppinfeksjon, ,, men, om, du, har, samleie, med, en, kvinne, som, har, eggløsning, ,, kan, det, smitte, ., Hvis, du, har, vært, på, nachspiel, og, du, våkner, opp, med, sårhet, nedentil, ,, kan, det, være, et, tegn, på, at, du, er, smittet, med, herpesvirus, ., Om, du, er, smittet, med, dette, viruset, ,, blir, du, lettere, smittet, av, kjønnssykdommer, ., Smitte, sprer, seg, også, gjennom, fingre, ., Dette, kan, skje, hvis, du, bruker, samme, håndkle, på, badegulvet, og, på, toalettet, og, at, du, låner, tannbørsten, til, andre, ,, eller, at, andre, bruker, dine, sexleketøy, ., Hvis, noen, har, symptomer, på, kjønnssykdommen, og, du, ikke, bruker, kondom, ,, er, det, veldig, risikabelt, å, ha, sex, ., I, Norge, bruker, vi, lite, av, en, type, antibiotika, om, gangen, som, heter, Rimexol, -, Denne, typen, brukes, ved, bakterielle, infeksjoner, og, mot, soppinfeksjoner, som, for, eksempel, i, underlivet, .]",PRON AUX ADJ ADJ SCONJ NOUN VERB NOUN PUNCT CCONJ SCONJ PRON VERB NOUN ADP DET NOUN PRON VERB NOUN PUNCT AUX PRON NOUN PUNCT SCONJ PRON AUX AUX ADP NOUN CCONJ PRON VERB ADP ADP NOUN ADP PUNCT AUX PRON AUX DET NOUN SCONJ SCONJ PRON AUX VERB ADP NOUN PUNCT SCONJ PRON AUX VERB ADP DET NOUN PUNCT AUX PRON ADJ VERB ADP NOUN PUNCT NOUN VERB PRON ADV ADP NOUN PUNCT PRON AUX VERB SCONJ PRON VERB DET NOUN ADP NOUN CCONJ ADP NOUN CCONJ SCONJ PRON VERB NOUN ADP DET PUNCT CCONJ SCONJ DET VERB PRON NOUN PUNCT SCONJ PRON VERB NOUN ADP NOUN CCONJ PRON PART VERB NOUN PUNCT AUX PRON ADJ ADJ PART VERB NOUN PUNCT ADP PROPN VERB PRON ADJ ADP DET NOUN NOUN ADP NOUN PRON VERB PROPN PUNCT DET NOUN VERB ADP ADJ NOUN CCONJ ADP NOUN PRON ADP NOUN ADP NOUN PUNCT,0.04630788485607009,0.3864799999999999,152,799,0.5921052631578947,0.1971956713640625
