tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, var, noe, på, gang, i, Norge, også, ., To, tidligere, Arbeiderpartitopper, ,, Thorbjørn, Jagland, og, Jens, Stoltenberg, ,, hadde, gjort, politisk, comeback, hver, på, sin, kant, ., Nå, ble, de, med, i, et, nytt, parti, ,, kalt, «, De, mørkeblå, », ,, etter, at, en, av, dem, ,, Bjarne, Håkon, Hanssen, ,, mente, at, han, ikke, kunne, få, seg, til, å, stemme, på, partiet, ., «, Det, er, altfor, mange, som, ligner, på, meg, i, partiet, », ,, sa, Hanssen, ., Det, gikk, ikke, så, bra, med, dette, partiet, ,, og, det, gjorde, det, heller, ikke, med, «, De, mørkeblå, », ,, som, fikk, bare, en, eneste, representant, valgt, inn, på, Stortinget, ., 
, Det, viste, seg, at, de, nyinnmeldte, medlemmene, hadde, et, annet, syn, på, politikk, og, makt, enn, de, som, hadde, vært, med, en, stund, :, «, Du, trenger, ikke, å, gå, på, jobb, for, å, tjene, til, livets, opphold, ., Du, kan, sitte, i, en, gyngestol, i, et, u-land, og, gynge, til, livet, hvis, du, ikke, har, noe, annet, å, foreta, deg, ,, », sa, partilederen, på, sin, optimistiske, måte, og, fortsatte, :, «, Vi, er]",CCONJ PRON VERB PRON ADP NOUN ADP PROPN ADV PUNCT NUM ADJ NOUN PUNCT PROPN PROPN CCONJ PROPN PROPN PUNCT AUX VERB ADJ NOUN DET ADP PRON NOUN PUNCT ADV VERB PRON ADP ADP DET ADJ NOUN PUNCT VERB PUNCT PROPN ADJ PUNCT PUNCT SCONJ SCONJ DET ADP PRON PUNCT PROPN PROPN PROPN PUNCT VERB SCONJ PRON PART AUX VERB PRON SCONJ PART VERB ADP NOUN PUNCT PUNCT PRON VERB ADV ADJ PRON VERB ADP PRON ADP NOUN PUNCT PUNCT VERB PROPN PUNCT PRON VERB PART ADV ADJ ADP DET NOUN PUNCT CCONJ PRON VERB PRON ADV PART ADP PUNCT PROPN ADJ PUNCT PUNCT PRON VERB ADV DET NUM NOUN VERB ADP ADP PROPN PUNCT SPACE PRON VERB PRON SCONJ DET ADJ NOUN VERB DET DET NOUN ADP NOUN CCONJ NOUN ADP PRON PRON AUX AUX ADP DET NOUN PUNCT PUNCT PRON VERB PART PART VERB ADP NOUN SCONJ PART VERB ADP NOUN NOUN PUNCT PRON AUX VERB ADP DET NOUN ADP DET NOUN CCONJ NOUN ADP NOUN SCONJ PRON PART VERB DET DET PART VERB PRON PUNCT PUNCT VERB NOUN ADP PRON ADJ NOUN CCONJ VERB PUNCT PUNCT PRON AUX,0.04976851851851852,0.3809815950920241,191,864,0.612565445026178,0.23186243682961555
"[Det, var, ein, gong, ..., :, Forsømte, tal, 
, Ein, gong, vart, det, funne, ein, stor, sølvskatt, under, garden, Hovde, i, Ørsta, ,, som, no, er, gått, tapt, ., I, ettertid, har, det, vore, uvisst, om, det, lå, ein, gullskatt, inne, i, haugen, ,, eller, om, det, berre, var, sølv, ., No, har, arkeologar, påvist, at, det, var, skattar, her, og, ., 
, Fred, over, minnet, til, dei, som, er, ramma, av, Utøya-tragedien, ., På, ein, eller, annan, måte, ,, kanskje, også, på, eit, eller, anna, kulturminne, ,, på, eit, eller, anna, vis, lever, minnet, og, sorga, framleis, etter, dei, vi, mista, ., Det, er, også, ei, gåve, frå, oss, alle, til, oss, ., Nokre, av, dei, som, ikkje, er, blant, oss, lenger, ,, lever, vidare, ein, annan, stad, ., Eller, kanskje, er, det, med, deira, minne, at, vi, finn, det, viktigaste, vi, har, :, At, vi, kvar, for, oss, er, eit, vi, i, fellesskap, –, menneske, ,, som, lever, saman, på, ein, klode, med, uante, mulegheiter, og, med, store, utfordringar, ., 
, Ein, gong, vil, ein, av, dei]",PRON AUX X X PUNCT PUNCT X X SPACE X X VERB DET X X ADJ NOUN ADP NOUN PROPN ADP PROPN PUNCT PRON X AUX AUX VERB PUNCT ADP NOUN AUX PRON X ADJ SCONJ PRON VERB ADJ NOUN ADP ADP NOUN PUNCT CCONJ SCONJ PRON ADV AUX NOUN PUNCT NOUN AUX NOUN VERB SCONJ PRON VERB NOUN ADV CCONJ PUNCT SPACE PROPN ADP NOUN ADP PRON PRON AUX NOUN ADP NOUN PUNCT ADP NOUN CCONJ NOUN NOUN PUNCT ADV ADV ADP X CCONJ X NOUN PUNCT ADP X CCONJ PROPN NOUN VERB NOUN CCONJ NOUN X ADP PRON PRON VERB PUNCT PRON VERB ADV DET NOUN ADV PRON DET ADP PRON PUNCT NOUN ADP PRON PRON X AUX ADP PRON ADJ PUNCT VERB X X PROPN X PUNCT CCONJ ADV AUX PRON ADP NOUN VERB SCONJ PRON VERB DET ADJ PRON VERB PUNCT SCONJ PRON VERB ADP PRON AUX NOUN PRON ADP NOUN PUNCT NOUN PUNCT PRON VERB NOUN ADP ADJ NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN PUNCT SPACE X X AUX X ADP X,0.04878048780487805,0.36098573281452806,179,820,0.6871508379888268,0.28723919712957585
"[Det, var, så, mye, som, bare, måtte, gjøres, i, dag, ., Så, mye, jeg, bare, kunne, gjøre, og, så, mye, jeg, ønsket, å, få, gjort, ., Men, kroppen, kunne, ikke, være, med, på, det, ,, så, det, ble, noen, pauser, og, flere, toalettbesøk, enn, jeg, kunne, ha, forestilt, meg, ., Jeg, som, hadde, store, planer, i, dag, for, å, få, skrevet, om, mye, av, mine, erfaringer, som, jeg, har, hatt, de, siste, månedene, ., Problemet, var, bare, at, det, er, ikke, alltid, så, lett, å, skrive, når, man, er, langt, inne, i, egne, tanker, og, helst, vil, gjøre, noe, fysisk, og, ikke, bruke, opp, tid, på, å, sitte, stille, ., En, blanding, av, store, forventninger, og, lite, energi, gjør, det, også, litt, slitsomt, å, skulle, fullføre, det, også, ., Men, det, gjør, det, ikke, mindre, viktig, å, få, gjort, alt, dette, ,, eller, det, er, i, hvert, fall, ikke, mindre, viktig, for, meg, enn, jeg, ellers, hadde, gjort, ., Det, er, bare, at, noen, dager, blir, det, mer, viktig, å, gjennomføre, det, en, dag, man, er, i, godt, humør, enn, en, dag, man, er, sur, ., 
, Snakk, om, å, bli, skuffet, !, Jeg, er, på, jakt, etter, noen, andre, sko, enn, det, jeg, allerede, har]",PRON VERB ADV ADJ PRON ADV AUX VERB ADP NOUN PUNCT ADV ADJ PRON ADV AUX VERB CCONJ ADV ADJ PRON VERB PART AUX VERB PUNCT CCONJ NOUN AUX PART AUX ADP ADP PRON PUNCT CCONJ PRON VERB DET NOUN CCONJ ADJ NOUN SCONJ PRON AUX AUX VERB PRON PUNCT PRON PRON VERB ADJ NOUN ADP NOUN SCONJ PART AUX VERB ADP ADJ ADP PRON NOUN PRON PRON AUX VERB DET ADJ NOUN PUNCT NOUN AUX ADV SCONJ PRON AUX PART ADV ADV ADJ PART VERB SCONJ PRON AUX ADJ ADP ADP DET NOUN CCONJ ADV AUX VERB DET ADJ CCONJ PART VERB ADP NOUN SCONJ PART VERB ADJ PUNCT DET NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB PRON ADV ADJ ADJ PART AUX VERB PRON ADV PUNCT CCONJ PRON VERB PRON PART ADJ ADJ PART AUX VERB DET PRON PUNCT CCONJ PRON AUX ADP DET NOUN PART ADJ ADJ ADP PRON SCONJ PRON ADV AUX VERB PUNCT PRON AUX ADV SCONJ DET NOUN VERB PRON ADJ ADJ PART VERB PRON DET NOUN PRON AUX ADP ADJ NOUN ADP DET NOUN PRON AUX ADJ PUNCT SPACE VERB SCONJ PART AUX ADJ PUNCT PRON AUX ADP NOUN ADP DET DET NOUN ADP PRON PRON ADV VERB,0.037154989384288746,0.36416573348264314,206,942,0.7864077669902912,0.24205578890650442
"[Ja, det, var, en, riktig, skön, dag, på, Öland, idag, ., Helt, fantastiskt, vackert, väder, med, sol, och, inte, mer, än, 17, grader, dock, blåsigt, ., Har, idag, försökt, njuta, till, fullo, utan, att, tänka, på, något, annat, än, mig, själv, ., Är, så, härligt, att, helt, bara, ta, hand, om, sig, själv, i, lugn, och, ro, ., Älskar, att, få, lite, sol, och, sommarfeeling, !, 
, Var, och, lämnade, in, lite, papper, och, tog, sedan, en, runda, på, stan, för, shopping, .., det, blev, mest, till, mig, ,, två, tröjor, ,, två, par, skor, och, en, parfym, ., Jag, känner, att, jag, vill, hitta, en, ny, parfym, ., Förut, kunde, jag, inte, ha, för, starka, ,, söta, ,, blommiga, dofter, på, mig, men, det, har, jag, helt, förändrats, om, ., Vill, ha, en, fräsch, o, frisk, doft, som, samtidigt, är, inte, för, stark, ..., ska, kika, lite, på, nätet, och, försöka, hitta, något, som, faller, mig, i, smaken, ., Tänk, vad, vi, människor, kan, ändras, från, dag, till, dag, .., det]",INTJ PRON AUX DET ADJ PROPN NOUN ADP PROPN ADV PUNCT ADJ ADJ ADJ PROPN ADP X X X ADJ X NUM NOUN NOUN NOUN PUNCT AUX NOUN PROPN PROPN X X X X PROPN ADP X X X X PROPN PUNCT PROPN ADV ADJ X X X X X ADP X PROPN ADP PROPN X X PUNCT X X VERB ADJ NOUN X X PUNCT SPACE AUX X X X X NOUN X X ADV DET NOUN ADP X X X PUNCT PRON X ADJ X X PUNCT PROPN NOUN PUNCT PROPN X NOUN X DET NOUN PUNCT X X X X X PROPN DET ADJ NOUN PUNCT PROPN NOUN X X X X X PUNCT NOUN PUNCT PROPN VERB ADP PROPN CCONJ PRON VERB VERB ADJ NOUN ADP PUNCT NOUN VERB DET ADJ PUNCT ADJ NOUN SCONJ ADJ X X X X PUNCT X PROPN ADJ ADP PROPN X X X PROPN PRON VERB PROPN ADP NOUN PUNCT ADJ PROPN PRON ADJ AUX X X X X X PUNCT PRON,0.049681528662420385,0.4094565217391286,172,785,0.3081395348837209,0.060334155198298586
"[Ja, det, er, virkelig, en, utfordring, å, måtte, planlegge, innkjøpene, for, å, møte, et, minimumskrav, .., Jeg, jobber, på, sykehjem, i, deltidsstilling, og, spiser, bare, der, noen, ganger, og, det, er, derfor, litt, vanskelig, å, ikke, spise, der, ofte, og, da, faller, man, fort, inn, i, det, jeg, kaller, "", utfordrende, spisemønster, "", som, i, korte, trekk, dreier, seg, om, å, fylle, på, for, å, dekke, sult, og, å, spise, mer, enn, man, trenger, ., Jeg, har, i, lengre, tid, sett, for, meg, at, jeg, må, få, litt, mer, erfaring, med, dette, og, har, nå, bestemt, meg, for, å, starte, med, å, sette, opp, en, ukesplan, over, hva, jeg, skal, spise, den, kommende, uken, og, så, handle, inn, alt, på, samme, dag, ., På, denne, måten, vil, det, bli, lettere, å, ikke, kjøpe, mer, enn, nødvendig, og, det, blir, lettere, å, holde, seg, til, listen, /, planen, jeg, har, satt, opp, ., Men, det, ser, ut, som, at, å, endre, spisevanene, mine, kommer, til, å, bli, veldig, vanskelig, for, det, er, veldig, vanskelig, å, ha, kontroll, på, mengde, inntak, og, hva, en, spiser, når, man, stadig, blir, påvirket, av, mat, på, ulike]",INTJ PRON AUX ADJ DET NOUN PART AUX VERB NOUN SCONJ PART VERB DET NOUN PUNCT PRON VERB ADP NOUN ADP NOUN CCONJ VERB ADV SCONJ DET NOUN CCONJ PRON AUX ADV ADJ ADJ PART PART VERB ADV ADJ CCONJ ADV VERB PRON ADJ ADP ADP PRON PRON VERB PUNCT ADJ NOUN PUNCT PRON ADP ADJ NOUN VERB PRON SCONJ PART VERB ADP SCONJ PART VERB NOUN CCONJ PART VERB ADJ SCONJ PRON VERB PUNCT PRON VERB ADP ADJ NOUN VERB ADP PRON SCONJ PRON AUX VERB ADJ ADJ NOUN ADP PRON CCONJ AUX ADV VERB PRON SCONJ PART VERB SCONJ PART VERB ADP DET NOUN SCONJ PRON PRON AUX VERB DET ADJ NOUN CCONJ ADV VERB ADP PRON ADP DET NOUN PUNCT ADP DET NOUN AUX PRON VERB ADJ PART PART VERB ADJ ADP ADJ CCONJ PRON VERB ADJ PART VERB PRON ADP NOUN PUNCT NOUN PRON AUX VERB ADP PUNCT CCONJ PRON VERB ADP SCONJ SCONJ PART VERB NOUN PRON VERB SCONJ PART VERB ADJ ADJ ADP PRON AUX ADJ ADJ PART VERB NOUN ADP NOUN NOUN CCONJ PRON DET NOUN SCONJ PRON ADJ AUX VERB ADP NOUN ADP ADJ,0.03229278794402583,0.3544772727272742,192,929,0.6979166666666666,0.2446934339946202
"[Så, var, det, nyåret, med, alle, sine, forsetter, for, et, sunnere, og, bedre, liv, ., Nyttårsforsetter, skal, være, et, ønske, om, å, endre, noe, i, eget, liv, ,, så, hvorfor, ikke, med, litt, mer, kjøtt, på, beinet, velge, å, spise, litt, sunnere, ., Noen, vil, kanskje, prøve, å, begrense, inntaket, av, kjøtt, ,, andre, spiser, mindre, rødt, kjøtt, ,, noen, vil, kutte, ned, på, sukkerinntaket, og, andre, igjen, har, ønsker, om, å, bli, friskere, og, bedre, i, både, kropp, og, sinn, ., 
, Helseutfordringer, er, sammensatte, og, vanskelige, å, løse, ., Kostråd, og, tips, kan, gjøre, det, litt, lettere, å, manøvrere, i, jungelen, av, ulike, råd, ,, men, ofte, kan, det, være, mest, hensiktsmessig, å, søke, mer, personlig, veiledning, om, det, er, en, helsemessige, utfordring, som, står, i, fokus, ,, og, å, velge, en, individuell, tilnærming, til, å, løse, det, ., 
, Tarmhelse, og, andre, sykdommer, /, plager, kan, ha, sitt, utspring, i, en, svekket, tarmhelse, ., Hva, som, er, den, optimale, tarmflora, kan, påvirke, hvordan, sykdomsbildet, ser, ut, ,, og, hva, som, er, den, beste, behandling, av, sykdom, kan, endres, i]",ADV VERB PRON NOUN ADP DET PRON VERB ADP DET ADJ CCONJ ADJ NOUN PUNCT NOUN AUX AUX DET NOUN SCONJ PART VERB PRON ADP DET NOUN PUNCT CCONJ ADV PART ADP ADJ ADJ NOUN ADP NOUN VERB PART VERB ADJ ADJ PUNCT PRON AUX ADV VERB PART VERB NOUN ADP NOUN PUNCT DET VERB ADJ ADJ NOUN PUNCT PRON AUX VERB ADP ADP NOUN CCONJ DET ADV AUX VERB SCONJ PART VERB ADJ CCONJ ADJ ADP CCONJ NOUN CCONJ NOUN PUNCT SPACE NOUN AUX ADJ CCONJ ADJ PART VERB PUNCT NOUN CCONJ NOUN AUX VERB PRON ADJ ADJ PART VERB ADP NOUN ADP ADJ NOUN PUNCT CCONJ ADJ AUX PRON AUX ADJ ADJ PART VERB ADJ ADJ NOUN SCONJ PRON AUX DET ADJ NOUN PRON VERB ADP NOUN PUNCT CCONJ PART VERB DET ADJ NOUN SCONJ PART VERB PRON PUNCT SPACE NOUN CCONJ DET NOUN PUNCT NOUN AUX VERB PRON NOUN ADP DET ADJ NOUN PUNCT PRON PRON AUX DET ADJ NOUN AUX VERB ADV NOUN VERB ADP PUNCT CCONJ PRON PRON AUX DET ADJ NOUN ADP NOUN AUX VERB ADP,0.03636363636363636,0.3811286681715571,182,935,0.5769230769230769,0.18360328512819632
"[Det, var, som, att, få, en, smärre, chock, när, jag, i, morse, såg, att, det, låg, en, brun, fläck, på, asfalten, efter, min, bil, ,, som, någon, kört, på, utan, att, märka, den, ., Jag, brukar, ibland, ha, en, sån, där, liten, "", pluppa, "", på, bilens, sida, ,, en, markering, som, ska, vara, synlig, när, man, backar, på, en, grusad, parkering, så, att, man, ser, var, man, kan, backa, utan, att, köra, på, ., Den, lilla, pluppen, brukar, jag, i, regel, ha, lila, eller, lavendelfärgad, ., Det, har, liksom, varit, lag, på, det, i, Göteborg, på, "", min, "", parkering, utanför, mitt, jobb, ., 
, För, några, år, sedan, var, detta, min, egen, hemlighet, ., Det, var, nämligen, så, att, den, lila, pluppen, var, så, pass, synlig, ,, så, jag, visste, exakt, där, jag, skulle, backa, utan, att, köra, rakt, in, i, den, ., Sedan, glömde, jag, till, stora, besvikelse, bort, den, ., Eller, så, har, någon, annan, glömt, den, ., Någon, som, inte, har, den, blekaste, i, världen, om, att, pluppen]",PRON AUX SCONJ X VERB DET NOUN X X X ADP NOUN VERB X X X DET ADJ NOUN ADP NOUN PROPN PRON NOUN PUNCT ADP X X X X X NOUN PRON PUNCT X X PROPN VERB DET ADJ X X PUNCT NOUN PUNCT ADP NOUN NOUN PUNCT DET NOUN PRON X X ADJ X X PROPN ADP DET ADJ NOUN ADV NOUN PRON VERB AUX PRON AUX VERB X X PROPN ADP PUNCT DET ADJ NOUN X X ADP NOUN VERB NOUN CCONJ NOUN PUNCT PRON AUX ADV NOUN NOUN ADP PRON ADP PROPN ADP PUNCT PRON PUNCT NOUN PROPN PRON NOUN PUNCT SPACE X PROPN NOUN ADV AUX X PRON DET NOUN PUNCT PRON AUX NOUN X PRON DET PROPN NOUN AUX ADV NOUN ADJ PUNCT ADV PRON VERB X X X X VERB X X X X PROPN ADP PRON PUNCT X X X X X NOUN ADP PRON PUNCT CCONJ ADV AUX PROPN PROPN X PRON PUNCT PROPN ADP PROPN VERB DET NOUN ADP NOUN ADP X PROPN,0.0475,0.390599201065247,173,800,0.4624277456647399,0.11825213661018702
"[Det, er, ikkje, kvardagskost, at, ein, norsk, skodespelar, får, hovudrolla, i, ein, amerikansk, film, med, Oscar-søknad, ., Men, nå, er, det, klart, at, Kyrre, Haugen, Sydness, får, ei, av, dei, viktigaste, hovudrollene, når, storsatsinga, Ex, Machina, går, på, norske, kinoar, til, neste, år, ., 
, Regissør, Alex, Garland, har, blitt, hylla, som, ein, av, dei, mest, spennande, nye, regissørane, ,, og, debutfilmen, Annihilation, blei, vald, fram, som, ein, av, dei, ti, beste, kinofilmane, av, New, York, Times, ., Denne, veka, kunne, Garland, avsløra, at, Kyrre, Haugen, Sydness, har, rolla, som, roboten, Ava, i, filmen, til, Noregspremiera, 19., april, neste, år, ., 
, -, Det, er, kjempemorosamt, at, Kyrre, Haugen, Sydness, skal, spela, hovudrolla, ,, og, den, store, skodespelaren, ,, seier, Garland, til, filmbloggen, Montages.no, ., 
, Garland, har, gjort, forarbeidet, i, USA, ., Før, han, bestemte, seg, for, Haugen, Sydness, ,, hadde, han, snak]",PRON AUX X NOUN SCONJ PROPN PROPN PROPN VERB ADJ ADP PROPN ADJ NOUN ADP NOUN PUNCT CCONJ ADV AUX PRON ADJ SCONJ PROPN PROPN PROPN VERB DET ADP X ADJ NOUN SCONJ NOUN PROPN PROPN VERB ADP ADJ NOUN ADP DET NOUN PUNCT SPACE NOUN PROPN PROPN AUX VERB NOUN SCONJ X ADP NOUN ADJ ADJ ADJ NOUN PUNCT CCONJ NOUN PROPN X NOUN ADP SCONJ NOUN ADP PRON NUM ADJ NOUN ADP PROPN PROPN PROPN PUNCT DET NOUN AUX PROPN NOUN SCONJ PROPN PROPN PROPN VERB NOUN ADP NOUN PROPN ADP NOUN ADP PROPN ADJ NOUN DET NOUN PUNCT SPACE PUNCT PRON AUX ADJ SCONJ PROPN PROPN PROPN AUX VERB NOUN PUNCT CCONJ DET ADJ NOUN PUNCT NOUN PROPN ADP NOUN PROPN PUNCT SPACE PROPN AUX VERB NOUN ADP PROPN PUNCT SCONJ PRON VERB PRON ADP PROPN PROPN PUNCT AUX PRON VERB,0.060075093867334166,0.4025333333333318,144,799,0.5,0.23149548987888205
"[Kor, mange, prosent, av, røysteføre, norske, statsborgarar, kan, i, røynda, røyste, i, norske, kommunar, ?, I, den, seinare, tida, har, det, i, media, ,, og, frå, politikarar, vore, ymta, om, at, opptil, 25, prosent, av, røysteføre, er, under, attvinningsalderen, –, altså, meir, eller, mindre, umoglege, å, nå, for, demokratiet, ., Me, går, ikkje, inn, på, dette, no., I, staden, ser, me, nærare, på, eit, anna, fenomen, ,, som, er, langt, mindre, diskutert, ,, men, ikkje, mindre, interessant, ., Nemleg, dei, som, står, i, folkeregisteret, som, avlidne, til, tross, for, framleis, folkeregistrert-status, i, Folkeregisteret, ., Her, blir, det, framskaffa, fleire, tilfelle, der, det, frå, SSB, si, side, er, gjort, kontroll, mot, folkeregisteret, ,, medan, det, òg, her, er, ein, overrepresentasjon, som, kan, bli, oversett, av, media, og, politikarar, dersom, det, ikkje, blir, rapportert, om, tilfella, ., Me, tek, utgangspunkt, i, tal, frå, Folkeregisteret, for, Noreg, for, perioden, 2011–2014, ,, og, ser, på, kven, av, innbyggjarane, som, i]",NOUN ADJ NOUN ADP PROPN ADJ PROPN AUX ADP PROPN PROPN ADP ADJ PROPN PUNCT ADP DET ADJ NOUN VERB PRON ADP NOUN PUNCT CCONJ X X X NOUN SCONJ SCONJ ADP NUM NOUN ADP NOUN AUX ADP NOUN PUNCT ADV ADJ CCONJ ADJ VERB PART VERB ADP NOUN PUNCT PROPN VERB ADV ADP ADP PRON NOUN ADP NOUN VERB X X ADP X X NOUN PUNCT PRON AUX ADJ ADJ VERB PUNCT CCONJ ADV ADJ ADJ PUNCT PROPN X PRON VERB ADP NOUN ADP NOUN SCONJ ADP ADP NOUN NOUN ADP PROPN PUNCT ADV VERB PRON NOUN ADJ NOUN SCONJ PRON X PROPN VERB NOUN AUX VERB NOUN ADP NOUN PUNCT ADV PRON ADV ADV AUX ADJ NOUN PRON AUX AUX VERB ADP NOUN CCONJ PROPN SCONJ PRON PART AUX VERB ADP NOUN PUNCT X X NOUN ADP X X PROPN ADP PROPN ADP NOUN NUM PUNCT CCONJ VERB ADP NOUN ADP NOUN PRON ADP,0.049773755656108594,0.35592814371257653,156,884,0.6410256410256411,0.18693842412232525
"[Det, er, veldig, vanskelig, å, vite, hva, du, bør, gjøre, når, du, går, inn, i, et, forhold, ., Noen, ganger, vinner, de, ,, og, noen, ganger, blir, de, dumpet, ., Det, beste, du, kan, gjøre, mens, du, er, i, den, ,, er, å, gjøre, det, så, hyggelig, for, dem, som, mulig, ., Her, er, noen, tips, som, kan, komme, deg, ned, på, rett, vei, igjen, :, 
, 2., Hvis, de, sier, at, de, liker, deg, ,, fortell, dem, hva, de, har, til, felles, :, "", Du, tok, meg, med, til, denne, vakre, stranden, !, "", 
, 3., I, stedet, for, å, si, "", Glad, for, å, se, deg, "", ,, si, noe, som, er, helt, usant, (, "", Du, er, den, tristeste, personen, jeg, noensinne, har, sett, ., "", "", Jeg, har, ikke, sett, den, lykkeligste, personen, i, hele, mitt, liv, de, siste, tre, ukene, ., "", ), 
, 7., Hvis, de, sier, "", Unnskyld, for, å, gå, ut, med, meg, ,, "", si, noe, som, er, helt, sant, ,, "", Jeg, har, ikke, vært, ute, på, grunn, av, deg, ,, selv, om, det, ikke, er, sant, i, det, hele, tatt, !, "", 
, 8., Hvis, de, sier, at, de, ikke, kan, møte, deg, lenger, ,, fortell, dem, at, du, er, glad, for, at, du, ikke, er]",PRON AUX ADJ ADJ PART VERB PRON PRON AUX VERB SCONJ PRON VERB ADP ADP DET NOUN PUNCT DET NOUN VERB PRON PUNCT CCONJ DET NOUN AUX PRON VERB PUNCT DET ADJ PRON AUX VERB SCONJ PRON AUX ADP PRON PUNCT AUX PART VERB PRON ADV ADJ ADP PRON ADP ADJ PUNCT ADV VERB DET NOUN PRON AUX VERB PRON ADP ADP ADJ NOUN ADV PUNCT SPACE ADJ SCONJ PRON VERB SCONJ PRON VERB PRON PUNCT VERB PRON PRON PRON VERB ADP ADJ PUNCT PUNCT PRON VERB PRON ADP ADP DET ADJ NOUN PUNCT PUNCT SPACE NUM ADP NOUN SCONJ PART VERB PUNCT PROPN SCONJ PART VERB PRON PUNCT PUNCT VERB PRON PRON AUX ADJ ADJ PUNCT PUNCT PRON AUX DET ADJ NOUN PRON ADV AUX VERB PUNCT PUNCT PUNCT PRON AUX PART VERB DET ADJ NOUN ADP ADJ PRON NOUN DET ADJ NUM NOUN PUNCT PUNCT PUNCT SPACE NUM SCONJ PRON VERB PUNCT VERB SCONJ PART VERB ADP ADP PRON PUNCT PUNCT VERB PRON PRON AUX ADJ ADJ PUNCT PUNCT PRON AUX PART AUX ADP ADP NOUN ADP PRON PUNCT ADV SCONJ PRON PART AUX ADJ ADP DET ADJ VERB PUNCT PUNCT SPACE NUM SCONJ PRON VERB SCONJ PRON PART AUX VERB PRON ADJ PUNCT VERB PRON SCONJ PRON AUX ADJ SCONJ SCONJ PRON PART AUX,0.05238095238095238,0.3887737041719337,217,840,0.6774193548387096,0.2617893831567878
