tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, varte, ikke, lenge, før, de, tok, overhånd, igjen, ,, og, de, siste, 60, minuttene, ble, som, de, første, 60., Enveiskjøring, ., Det, var, ingen, mulighet, til, at, Hødd, kunne, få, med, seg, poeng, fra, denne, kampen, ., 
, Det, var, to, ulike, lag, som, møtte, hverandre, den, 1., serierunden, ., Hjemmelaget, kom, til, kampen, med, kun, to, poeng, fra, fjorårets, sesong, ,, mens, Florø, har, fem, poeng, fra, de, to, første, kampene, ., Dette, var, kampen, Florø, skulle, vinne, ., 
, Hjemmelaget, tok, føringen, fra, start, av, ,, mens, det, var, gjestene, fra, Florø, som, skapte, mest, sjanser, ., Det, var, derfor, fullt, fortjent, da, Matej, Vydra, sendte, Florø-fansen, til, himmels, etter, 25, minutter, med, en, frisparkperle, ., Vydra, banket, ballen, i, lengste, kryss, fra, drøye, 20, meter, ., 
, Like, etter, var, det, Hødd, sin, tur, ., Et, godt, frispark, fra, kaptein, og, hærfører, i, luftduellene, ,, Fredrik, Aursnes, ,, ble, stusset, videre, i, mål, ., Det, var, bare, ett, mål, som, skilte, lagene, i, første]",CCONJ PRON VERB PART ADJ SCONJ PRON VERB NOUN ADV PUNCT CCONJ DET ADJ NUM NOUN AUX SCONJ DET ADJ ADJ NOUN PUNCT PRON VERB DET NOUN SCONJ SCONJ PROPN AUX VERB ADP PRON NOUN ADP DET NOUN PUNCT SPACE PRON AUX NUM ADJ NOUN PRON VERB PRON DET ADJ NOUN PUNCT NOUN VERB ADP NOUN ADP ADV NUM NOUN ADP NOUN NOUN PUNCT SCONJ PROPN VERB NUM NOUN ADP DET NUM ADJ NOUN PUNCT PRON AUX NOUN PROPN AUX VERB PUNCT SPACE NOUN VERB NOUN ADP NOUN ADP PUNCT SCONJ PRON AUX NOUN ADP PROPN PRON VERB ADJ NOUN PUNCT PRON AUX ADV ADJ ADJ ADV PROPN PROPN VERB NOUN ADP NOUN ADP NUM NOUN ADP DET NOUN PUNCT PROPN VERB NOUN ADP ADJ NOUN ADP ADJ NUM NOUN PUNCT SPACE ADV ADP AUX PRON PROPN PRON NOUN PUNCT DET ADJ NOUN ADP NOUN CCONJ VERB ADP NOUN PUNCT PROPN PROPN PUNCT AUX VERB ADJ ADP NOUN PUNCT PRON VERB ADV NUM NOUN PRON VERB NOUN ADP ADJ,0.04918032786885246,0.4012670807453405,169,854,0.5502958579881657,0.26271518502412
"[Det, var, ein, gong, ...., -, www.treningsfrue.no, 
, Jippiiii, jeg, skal, på, trening, 
, februar, 7, ,, 2019, Legg, igjen, en, kommentar, 
, Av, og, til, blir, man, overrasket, ja, ,, og, akkurat, dette, hadde, jeg, absolutt, ikke, sett, for, meg, ., Men, i, dag, er, jeg, faktisk, på, trening, med, SATS, ELIXIA, for, aller, første, gang, siden, jeg, gikk, gravid, ,, og, det, er, rart, å, sitte, blant, alle, fitnessfolkene, å, vite, at, en, gang, i, tiden, selv, trente, jeg, fast, 5, ganger, i, uken, ., Kanskje, jeg, burde, være, stolt, over, hva, jeg, har, fått, til, de, siste, 5, månedene, ,, trent, med, barnevogna, ,, fått, lillesøster, på, brystet, og, ikke, minst, kost, meg, så, utrolig, mye, med, tiden, sammen, 
, Det, er, noen, år, siden, jeg, har, trent, fast, siden, jeg, nå, har, vært, 8, uker, i, permisjonen, ,, og, jeg, kjenner, at, dette, har, jeg, savnet, ., Selv, om, jeg, har, storkost, meg, med, lillesnuppa, ,, og, hatt, verdens, beste, barseltid, vil, jeg, likevel, ha, mer, ut, av, hverdagen, min, enn, å, bare, være, mamma, ,, og, for, å, gi, meg]",PRON AUX X X PUNCT PUNCT PROPN SPACE PROPN PRON VERB ADP NOUN SPACE NOUN NUM PUNCT NUM VERB ADV DET NOUN SPACE ADP CCONJ ADP AUX PRON VERB NOUN PUNCT CCONJ ADV PRON AUX PRON ADJ PART VERB ADP PRON PUNCT CCONJ ADP NOUN AUX PRON ADJ ADP NOUN ADP PROPN PROPN ADP ADV ADJ NOUN SCONJ PRON VERB ADJ PUNCT CCONJ PRON AUX ADJ PART VERB ADP DET NOUN PART VERB SCONJ DET NOUN ADP NOUN DET VERB PRON ADJ NUM NOUN ADP NOUN PUNCT ADV PRON AUX AUX ADJ SCONJ PRON PRON AUX VERB ADP DET ADJ NUM NOUN PUNCT VERB ADP NOUN PUNCT VERB NOUN ADP NOUN CCONJ PART ADJ ADJ PRON ADV ADJ ADJ ADP NOUN ADV SPACE PRON AUX DET NOUN SCONJ PRON AUX VERB ADJ SCONJ PRON ADV AUX AUX NUM NOUN ADP NOUN PUNCT CCONJ PRON VERB SCONJ PRON AUX PRON VERB PUNCT ADV SCONJ PRON AUX NOUN PRON ADP NOUN PUNCT CCONJ VERB NOUN ADJ NOUN AUX PRON ADV VERB ADJ ADP ADP NOUN PRON SCONJ PART ADV AUX NOUN PUNCT CCONJ ADP PART VERB PRON,0.054857142857142854,0.38569007263922483,185,875,0.6594594594594595,0.34894217330019683
"[Det, var, så, langt, denne, sesongen, at, de, ble, en, realitet, ., 
, -, Det, er, på, tide, at, de, som, har, jobbet, med, disse, sakene, i, over, 20, år, ,, nå, tar, bladet, fra, munnen, ,, sier, hun, ., 
, -, Så, du, for, deg, at, de, kunne, komme, til, å, bli, realiteter, i, forbindelse, med, den, pågående, politireformen, ?, 
, -, Jeg, så, for, meg, at, det, kunne, bli, diskusjoner, i, forbindelse, med, ny, organisering, av, politiet, ., Dette, er, en, mulighet, som, politiet, og, politikerne, bør, vurdere, ., Det, er, mye, som, kan, gjøres, fra, politisk, hold, for, å, sikre, tryggheten, til, innbyggerne, ., Blant, annet, er, det, på, tide, at, de, ansvarlige, sørger, for, at, Norge, får, et, mer, synlig, politi, ., Dette, er, et, skritt, i, riktig, retning, ., Politiet, skal, ikke, være, en, hemmelig, tjeneste, ,, sier, Huitfeldt, ., (, ANB)-NTB, ), 
, Fakta, om, politireformen, :, 
, Hun, er, kritisk, til, den, generelle, ressurssituasjonen, i, politiet, og, vil, ha, et, økt, engasjement, fra, regjeringen, for, å, sikre, økt, politiberedskap, ., Til, sammen, 17, lensmannskontor, og, politistasjoner, står, igjen, etter, reformprosessen, ,, noe, som, bekymrer, Ap-]",PRON AUX ADV ADJ DET NOUN SCONJ PRON VERB DET NOUN PUNCT SPACE PUNCT PRON AUX SCONJ NOUN SCONJ PRON PRON AUX VERB ADP DET NOUN ADP ADP NUM NOUN PUNCT ADV VERB NOUN ADP NOUN PUNCT VERB PRON PUNCT SPACE PUNCT VERB PRON ADP PRON SCONJ PRON AUX VERB SCONJ PART VERB NOUN ADP NOUN ADP DET ADJ NOUN PUNCT SPACE PUNCT PRON VERB ADP PRON SCONJ PRON AUX VERB NOUN ADP NOUN ADP ADJ NOUN ADP NOUN PUNCT PRON AUX DET NOUN PRON NOUN CCONJ NOUN AUX VERB PUNCT PRON VERB ADJ PRON AUX VERB ADP ADJ NOUN SCONJ PART VERB NOUN ADP NOUN PUNCT ADP DET AUX PRON ADP NOUN SCONJ DET ADJ VERB SCONJ SCONJ PROPN VERB DET ADJ ADJ NOUN PUNCT PRON AUX DET NOUN ADP ADJ NOUN PUNCT NOUN AUX PART AUX DET ADJ NOUN PUNCT VERB PROPN PUNCT PUNCT PROPN PUNCT SPACE NOUN ADP NOUN PUNCT SPACE PRON AUX ADJ ADP DET ADJ NOUN ADP NOUN CCONJ AUX VERB DET ADJ NOUN ADP PROPN SCONJ PART VERB ADJ NOUN PUNCT ADP ADV NUM NOUN CCONJ NOUN VERB ADV ADP NOUN PUNCT PRON PRON VERB PROPN,0.04845360824742268,0.38456026058631965,192,970,0.578125,0.41354320545977274
"[Ja, det, var, den, tiden, :, da, de, var, unge, ..., 
, https://no.starsinsider.com/livsstil/359487/ja-det-var-den-tiden-da-de-var-unge, 
, Tiden, flyr, -, eller, gjør, den, ?, I, en, tid, der, du, ofte, ser, tenåringer, som, voksne, og, ser, på, barna, dine, som, tweens, ,, kan, du, huske, da, du, var, så, ung, ?, Og, var, det, en, gang, da, du, ble, eldre, så, fort, ?, 
, Ifølge, den, svenske, psykologen, Marie, Boggs, var, det, en, tid, med, mye, usikkerhet, ., Man, trodde, man, var, uoppnåelig, ,, skjør, og, umoden, ,, og, at, man, rett, og, slett, ikke, skulle, kunne, komme, seg, videre, ., Man, skulle, leve, livet, helt, til, man, oppnådde, en, viss, alder, ., 
, Hva, var, dine, daglige, rutiner, ?, Var, foreldrene, dine, strenge, ?, Var, du, en, god, eller, dårlig, elev, ?, Var, du, på, vei, bort, fra, dine, beste, venner, ?, I, tenårene, har, man, ofte, et, tøft, ansvar, på, seg, ,, og, det, er, ikke, rart, at, tenåringer, noen, ganger, kan, føle, seg, forvirret, ., 
, Det, første, kysset]",INTJ PRON AUX DET NOUN PUNCT SCONJ PRON AUX ADJ PUNCT SPACE VERB SPACE NOUN VERB PUNCT CCONJ VERB PRON PUNCT ADP DET NOUN SCONJ PRON ADJ VERB NOUN SCONJ ADJ CCONJ VERB ADP NOUN PRON SCONJ PROPN PUNCT AUX PRON VERB SCONJ PRON AUX ADV ADJ PUNCT CCONJ AUX PRON DET NOUN SCONJ PRON VERB ADJ ADV ADJ PUNCT SPACE ADP DET ADJ NOUN PROPN PROPN AUX PRON DET NOUN ADP ADJ NOUN PUNCT PRON VERB PRON AUX ADJ PUNCT ADJ CCONJ ADJ PUNCT CCONJ SCONJ PRON ADJ CCONJ ADJ PART AUX AUX VERB PRON ADJ PUNCT PRON AUX VERB NOUN ADJ SCONJ PRON VERB DET ADJ NOUN PUNCT SPACE PRON AUX PRON ADJ NOUN PUNCT AUX NOUN PRON ADJ PUNCT AUX PRON DET ADJ CCONJ ADJ NOUN PUNCT AUX PRON ADP NOUN ADP ADP PRON ADJ NOUN PUNCT ADP NOUN VERB PRON ADJ DET ADJ NOUN ADP PRON PUNCT CCONJ PRON AUX PART ADJ SCONJ NOUN DET NOUN AUX VERB PRON ADJ PUNCT SPACE DET ADJ VERB,0.058823529411764705,0.37859191655801877,169,816,0.5798816568047337,0.2898018515993473
"[Ja, det, er, en, skam, at, så, mange, av, dei, som, skal, gi, råd, til, andre, har, gjort, så, grundig, forarbeid, til, råda, at, dei, var, einige, i, alt, den, andre, sa, ..., Det, er, og, en, skam, og, direkte, vondskap, at, så, mange, trur, dei, er, dei, eneste, med, vit, å, innsikt, ., Det, er, jo, så, lett, -, i, teori, .., 
, ..., det, er, litt, rart, at, det, er, så, få, av, våre, politikarar, som, tar, avstand, fra, sine, vener, ..., og, gir, dei, råd, ..., eller, er, dei, redd, for, å, bli, upopulære, ?, 
, Skit, i, dei, ., Eg, syns, no, helst, dei, ikkje, bryr, seg, om, å, hjelpe, til, med, slikt, ein, er, usamde, om, ,, men, heller, vil, bli, sitjande, att, med, skamma, ved, at, ein, har, vorte, forferdeleg, fornærma, på, kvarandre, sin, vegne, ., 
, Takk, og, lov, at, det, fins, mange, av, oss, som, har, fått, med, seg, kva, som, går, føre, seg, i, dette, landet, ., 
, Det, finnes, mange, grunner, til, fordommer, ,, og, jeg, har, ikke, tenkt, til, å, gå, inn, på, denne, i, denne, tråden, .]",INTJ PRON AUX DET NOUN SCONJ ADV ADJ ADP NOUN PRON AUX VERB NOUN ADP DET AUX VERB ADV ADJ NOUN ADP PROPN SCONJ PROPN AUX ADJ ADP DET DET DET VERB PUNCT PRON AUX CCONJ DET NOUN CCONJ ADJ NOUN SCONJ ADV ADJ ADV X AUX NOUN NUM ADP PROPN PART NOUN PUNCT PRON AUX ADV ADV ADJ PUNCT ADP NOUN PUNCT SPACE PUNCT PRON AUX ADJ ADJ SCONJ PRON AUX ADV ADJ ADP PRON NOUN PRON VERB NOUN ADP PRON NOUN PUNCT CCONJ VERB NOUN NOUN PUNCT CCONJ AUX PRON ADJ SCONJ PART VERB ADJ PUNCT SPACE VERB ADP NOUN PUNCT PROPN X X ADV X X VERB PRON SCONJ PART VERB ADP ADP DET X X NOUN ADP PUNCT CCONJ ADV AUX VERB ADJ X ADP NOUN SCONJ SCONJ PROPN AUX PROPN NOUN NOUN ADP NOUN PRON NOUN PUNCT SPACE NOUN CCONJ NOUN SCONJ PRON VERB ADJ ADP PRON PRON AUX VERB ADP PRON X PRON VERB VERB PRON ADP DET NOUN PUNCT SPACE PRON VERB ADJ NOUN ADP NOUN PUNCT CCONJ PRON AUX PART VERB SCONJ PART VERB ADP ADP PRON ADP DET NOUN PUNCT,0.04337050805452292,0.35377308707124006,189,807,0.6931216931216931,0.3927954433339273
"[Så, var, det, tid, for, sesongens, andre, kamp, for, a-laget, ., Etter, den, gode, kampen, mot, Varegg, forrige, fredag, ble, vi, enige, om, å, fortsette, det, gode, spillet, mot, Smørås, ., Vi, gikk, ut, i, medvinden, og, skulle, fortsette, der, vi, slapp, forrige, fredag, ., 
, Starten, av, en, av, de, mange, angrepene, Smørås, klarte, i, denne, kampen, ., 
, Det, første, kvarteret, ble, det, gjort, mye, bra, ,, men, Smørås, fikk, en, del, store, sjanser, som, ikke, førte, til, mål, før, i, det, 28, minutt, ., Etter, et, godt, press, så, fikk, Smørås, en, corner, og, da, var, det, gjort, ., 1-0, til, Smørås, ., Ikke, helt, etter, det, vi, hadde, ønsket, å, se, av, oss, og, i, resten, av, kampen, ble, det, stort, sett, nesten, ., Det, var, imidlertid, bare, en, halvsjanse, som, gikk, i, stangen, før, i, det, 36, minutt, og, da, vi, har, 3-1, ledelsen, i, pausen, til, 2, omgangen, vet, alle, hva, som, skjer, ., Resten, av, kampen, ble, en, lang, og, tøff, kamp, som, det, ble, omgangen, ble, det, vel, egentlig, bare, kjemping, på]",ADV VERB PRON NOUN ADP NOUN ADJ NOUN ADP NOUN PUNCT ADP DET ADJ NOUN ADP PROPN DET NOUN VERB PRON ADJ SCONJ PART VERB DET ADJ NOUN ADP PROPN PUNCT PRON VERB ADP ADP NOUN CCONJ AUX VERB SCONJ PRON VERB DET NOUN PUNCT SPACE NOUN ADP DET ADP DET ADJ NOUN PROPN VERB ADP DET NOUN PUNCT SPACE DET ADJ NOUN AUX PRON VERB ADJ ADJ PUNCT CCONJ PROPN VERB DET NOUN ADJ NOUN PRON PART VERB ADP NOUN ADP ADP DET NUM NOUN PUNCT ADP DET ADJ NOUN ADV VERB PROPN DET NOUN CCONJ ADV AUX PRON VERB PUNCT NOUN ADP PROPN PUNCT PART ADJ ADP PRON PRON AUX VERB PART VERB ADP PRON CCONJ ADP NOUN ADP NOUN VERB PRON ADJ VERB ADV PUNCT PRON AUX ADV ADV DET NOUN PRON VERB ADP NOUN ADP ADP DET NUM NOUN CCONJ SCONJ PRON VERB PROPN NOUN ADP NOUN ADP NUM NOUN VERB PRON PRON PRON VERB PUNCT NOUN ADP NOUN VERB DET ADJ CCONJ ADJ NOUN PRON PRON VERB NOUN VERB PRON ADV ADJ ADV NOUN ADP,0.0481786133960047,0.3866583541147126,180,851,0.6611111111111111,0.2644618334731852
"[Det, var, som, jeg, ble, litt, kjent, med, deg, ., Du, har, vært, borte, en, god, stund, ,, men, det, at, du, har, skrevet, noe, om, meg, nå, ,, gjør, at, jeg, nesten, tenker, at, du, aldri, forsvant, ., Du, var, bare, ikke, så, tydelig, her, inne, som, du, var, før, ., Du, var, mer, meg, selv, før, ,, en, som, ville, meg, noe, ,, en, jeg, kunne, identifisere, meg, med, ., Men, jeg, forstod, ikke, hvem, du, var, da, ., Det, er, du, ikke, lenger, nå, ., Jeg, vil, alltid, være, din, venn, ,, du, er, en, del, av, meg, -, min, personlighet, ., Håper, jeg, alltid, vil, være, det, ,, selv, om, du, har, vært, en, del, av, det, i, snart, fire, år, ., Jeg, vil, alltid, komme, tilbake, til, deg, ,, og, jeg, takker, deg, av, hele, mitt, hjerte, for, alt, du, har, gjort, for, at, jeg, har, kommet, dit, jeg, er, nå, ., For, hva, det, er, verdt, ., Det, er, det, jeg, vil, si, til, deg, .., Takk, ., Takk, for, at, du, ville, være, vennen, min., Takk, for, at, du, lot, meg, bli, kjent, med, deg, ,, selv, om, jeg, aldri, tok, deg, helt, ,, selv, om, du, aldri, tok, meg, helt, .., Tusen, takk, for, alt, du, har]",PRON AUX PRON PRON VERB ADJ ADJ ADP PRON PUNCT PRON AUX AUX ADP DET ADJ NOUN PUNCT CCONJ PRON SCONJ PRON AUX VERB PRON ADP PRON ADV PUNCT VERB SCONJ PRON ADV VERB SCONJ PRON ADV VERB PUNCT PRON AUX ADV PART ADV ADJ ADV ADP PRON PRON AUX ADP PUNCT PRON AUX ADJ PRON DET ADP PUNCT PRON PRON VERB PRON PRON PUNCT PRON PRON AUX VERB PRON ADP PUNCT CCONJ PRON VERB PART PRON PRON AUX ADV PUNCT PRON AUX PRON PART ADJ ADV PUNCT PRON AUX ADV AUX PRON NOUN PUNCT PRON AUX DET NOUN ADP PRON PUNCT PRON NOUN PUNCT VERB PRON ADV AUX AUX PRON PUNCT ADV SCONJ PRON AUX AUX DET NOUN ADP PRON ADP ADJ NUM NOUN PUNCT PRON AUX ADV VERB ADP ADP PRON PUNCT CCONJ PRON VERB PRON ADP ADJ PRON NOUN ADP PRON PRON AUX VERB SCONJ SCONJ PRON AUX VERB ADV PRON AUX ADV PUNCT CCONJ PRON PRON AUX ADJ PUNCT PRON AUX PRON PRON AUX VERB ADP PRON PUNCT NOUN PUNCT NOUN SCONJ SCONJ PRON AUX AUX NOUN NOUN NOUN SCONJ SCONJ PRON VERB PRON VERB VERB ADP PRON PUNCT ADV SCONJ PRON ADV VERB PRON ADJ PUNCT ADV SCONJ PRON ADV VERB PRON ADJ PUNCT NUM NOUN ADP PRON PRON VERB,0.038901601830663615,0.37440000000000073,215,874,0.7906976744186046,0.41778491665624323
"[Det, er, ikkje, noko, nytt, med, at, folk, må, ha, noko, å, gjere, på, veg, tilbake, etter, lang, tids, fangenskap, ., Likevel, er, det, eit, særskilt, ,, og, ikkje, fullt, så, lukrativt, ,, tidsfordriv, ., Situasjonen, for, dei, som, blir, tatt, til, fange, når, katastrofen, inntreffer, ,, er, at, dei, berre, har, ein, måte, å, livnære, seg, på, ., Dei, kan, tene, pengar, på, å, selge, kroppen, sin, til, høystbydande, ., For, mange, blir, dette, den, einaste, måte, å, skaffe, inntekt, på, over, tid, ,, og, i, nokre, tilfelle, er, det, også, den, einaste, måten, å, få, tak, i, mat, og, andre, ting, ,, slik, som, medisinar, og, mat, ., I, den, samanheng, er, det, eit, paradoks, at, dei, mest, utsette, fangane, ikkje, er, dei, som, er, mest, utsette, for, mishandling, i, fangenskap, ., 
, Når, vi, snakkar, om, dei, mest, utsette, kjem, vi, også, ofte, inn, på, barn, ., Barn, er, ein, svært, utsett, gruppe, ,, og, det, er, ikkje, så, mykje, å, hente, på, å, plassere, dei, i, fengsel, ., I, eit, land, som, Kina, er, det, fleire, generasjonar, tilbake, at, fangar]",PRON AUX X X ADJ SCONJ SCONJ NOUN AUX VERB NOUN PART VERB ADP NOUN ADP ADP ADJ NOUN NOUN PUNCT ADV AUX PRON DET ADJ PUNCT CCONJ ADV ADJ ADV ADJ PUNCT NOUN PUNCT NOUN ADP NOUN PRON AUX VERB ADP NOUN SCONJ NOUN VERB PUNCT AUX SCONJ X ADV VERB ADJ NOUN PART VERB PRON ADP PUNCT NOUN AUX NOUN PROPN SCONJ PART VERB NOUN PRON SCONJ NOUN PUNCT ADP ADJ VERB PRON DET ADJ NOUN PART VERB NOUN ADP ADP NOUN PUNCT CCONJ ADP ADJ NOUN AUX PRON ADV DET ADJ NOUN PART VERB NOUN ADP NOUN CCONJ DET NOUN PUNCT ADV ADP NOUN CCONJ NOUN PUNCT ADP DET NOUN AUX PRON DET NOUN SCONJ DET ADJ VERB PROPN X AUX PRON PRON AUX ADJ VERB ADP NOUN ADP NOUN PUNCT SPACE SCONJ PRON VERB ADP DET ADJ ADJ VERB PRON ADV ADJ ADP ADP NOUN PUNCT NOUN AUX X ADJ ADJ NOUN PUNCT CCONJ PRON AUX X ADV ADJ PART VERB SCONJ PART VERB NOUN ADP NOUN PUNCT ADP DET NOUN PRON PROPN VERB PRON ADJ PROPN ADP SCONJ NOUN,0.04114285714285714,0.36789346246973254,184,875,0.6630434782608695,0.39181366161887443
"[Kor, mange, prosent, er, det, i, dag, ?,  , Kor, mange, prosent, er, det, i, dag, ?, 
, :, Kor, mange, prosent, er, det, i, dag, ?, 
, Procent.dk, anvender, cookies, for, at, huske, dine, indstillinger, ,, statistik, og, målrette, annoncer, ., Cookies, på, procent.dk, sættes, af, www.kortestroemme.dk, og, www.kortestroemme.de, og, kan, læses, af, procent.dk, og, tredjepartstjenester, ., Når, du, bruger, www.kortestroemme.dk, eller, www.kortestroemme.de, ,, accepterer, du, samtidig, brugen, af, cookies, ., De, fleste, hjemmesider, benytter, cookies, for, at, forbedre, brugeroplevelsen, ved, at, gøre, dem, mere, intuitive, og, nemmere, at, bruge, og, eksempelvis, i, forbindelse, med, statistik, ., Hjemmesiden, her, benytter, også, cookies, i, statistikformål, ,, som, vi, ikke, bruger, ,, men, som, kun, bruges, for, at, kunne, lave, statistik, ., Kortestrømpe.dk, og, Kortestrømme.de, kan, bruges, med, alle, moderne, browsers, som, fx, Chrome, ,, Safari, ,, FireFox, ,, Explorer, ,, Edge, ,, Opera, med, flere, ., Den, seneste, version, af, din, browser, bør, altid, være]",ADV ADJ NOUN AUX PRON ADP NOUN PUNCT SPACE NOUN ADJ NOUN AUX PRON ADP NOUN PUNCT SPACE PUNCT ADV ADJ NOUN AUX PRON ADP NOUN PUNCT SPACE PROPN VERB PROPN SCONJ SCONJ VERB PRON NOUN PUNCT NOUN CCONJ VERB PROPN PUNCT NOUN ADP PROPN NOUN ADV PROPN CCONJ PROPN CCONJ AUX VERB ADV PROPN CCONJ NOUN PUNCT SCONJ PRON VERB PROPN CCONJ PROPN PUNCT VERB PRON ADJ NOUN X X PUNCT DET ADJ NOUN VERB NOUN SCONJ SCONJ VERB NOUN SCONJ SCONJ VERB PRON ADJ ADJ CCONJ NOUN SCONJ PROPN CCONJ ADV ADP NOUN ADP NOUN PUNCT NOUN ADV VERB ADV NOUN ADP NOUN PUNCT PRON PRON PART VERB PUNCT CCONJ PRON ADV VERB SCONJ SCONJ AUX ADJ NOUN PUNCT ADJ CCONJ PROPN AUX VERB ADP DET ADJ NOUN PRON X PROPN PUNCT PROPN PUNCT NOUN PUNCT PROPN PUNCT PROPN PUNCT PROPN ADP ADJ PUNCT DET ADJ NOUN X PRON NOUN AUX NOUN AUX,0.04756637168141593,0.3746432748538008,155,904,0.4258064516129032,0.15776898533063652
"[Det, er, veldig, viktig, å, ta, vare, på, helsen, din, på, alle, måter, du, kan, ,, og, som, en, ivrig, løper, ,, er, det, spesielt, viktig, ., I, dag, skal, vi, diskutere, hvordan, du, kan, forhindre, og, bli, kvitt, knær, smerter, under, eller, etter, kjøring, ., 
, 20, minutter, med, vanlig, kardio, er, det, vi, har, i, tankene, ., Hvis, du, ikke, er, i, stand, til, å, bli, med, på, et, løpende, treningsstudio, ,, kan, du, prøve, noen, få, minutter, med, rask, gang, eller, kraftig, elliptisk, trening, ., Du, kan, også, få, litt, mild, styrketrening, etter, svømming, ,, sykling, eller, annen, treningsrutine, ., Hvis, alle, fire, treningsalternativene, ikke, har, fungert, for, deg, ,, eller, du, trenger, en, annen, løsning, for, denne, spesifikke, saken, ,, må, du, ikke, se, lenger, ., Vi, snakker, deg, gjennom, hva, du, skal, gjøre, med, knær, smerte, mens, du, kjører, ., 
, Knærproblemer, på, eller, under, kjøring, ,, uansett, hvor, lenge, ,, kan, være, en, virkelig, smerte, ., Selvfølgelig, kan, du, gå, lett, hvis, du, kan, ,, se, din, terapeut, hvis, du, kan, ,, eller, vurdere, å, ta, en, pause, ,, men, hvis, du, ikke, kan, ,, er, det, noen, få, skritt, å, ta, for]",PRON AUX ADJ ADJ PART VERB NOUN ADP NOUN PRON ADP DET NOUN PRON VERB PUNCT CCONJ PRON DET ADJ NOUN PUNCT AUX PRON ADJ ADJ PUNCT ADP NOUN AUX PRON VERB ADV PRON AUX VERB CCONJ VERB ADJ NOUN NOUN ADP CCONJ ADP NOUN PUNCT SPACE NUM NOUN ADP ADJ NOUN AUX PRON PRON VERB ADP NOUN PUNCT SCONJ PRON PART AUX SCONJ NOUN SCONJ PART VERB ADP ADP DET ADJ NOUN PUNCT AUX PRON VERB DET ADJ NOUN ADP ADJ NOUN CCONJ ADJ ADJ NOUN PUNCT PRON AUX ADV VERB ADJ ADJ NOUN ADP NOUN PUNCT NOUN CCONJ DET NOUN PUNCT SCONJ DET NUM NOUN PART AUX VERB ADP PRON PUNCT CCONJ PRON VERB DET DET NOUN ADP DET ADJ NOUN PUNCT AUX PRON PART VERB ADJ PUNCT PRON VERB PRON SCONJ PRON PRON AUX VERB ADP ADJ NOUN SCONJ PRON VERB PUNCT SPACE NOUN ADP CCONJ ADP NOUN PUNCT ADP ADV ADJ PUNCT AUX AUX DET ADJ NOUN PUNCT ADJ AUX PRON VERB ADJ SCONJ PRON VERB PUNCT VERB PRON NOUN SCONJ PRON VERB PUNCT CCONJ VERB PART VERB DET NOUN PUNCT CCONJ SCONJ PRON PART VERB PUNCT VERB PRON DET ADJ NOUN PART VERB ADP,0.03730569948186528,0.3725109170305683,199,965,0.6432160804020101,0.380810743289849
