tokenized_text,parts_of_speech,simple_ttr,moving_average_ttr,number_of_tokens,text_str_len,stopword_density,self_bleu
"[Men, det, varte, vel, ikke, sa, lenge, ,, han, ga, et, par, korte, støt, med, bilhornet, ,, og, kom, kjorende, ut, til, siden, ., Damen, i, den, store, bilen, som, hadde, holdt, seg, bak, ,, kom, ut, og, bort, til, Asbjørn, ., -, Unnskyld, meg, ., sa, hun, og, så, ham, rett, inn, i, øynene, ., Det, var, en, fin, bil, ,, sa, han, ., Hun, smilte, og, ristet, på, hodet, ., -, Det, er, bare, ei, gammel, vrak, ,, men, jeg, kommer, ikke, lenger, med, den, og, nå, får, jeg, ikke, kjopt, ny, fer, ferien, ,, sa, hun, ., -, Ja, jeg, så, den, stod, parkert, ved, stasjonen, ., Kan, jeg, hjelpe, deg, med, noe, ?, sa, han, ., -, Jeg, skal, til, Elverum, ,, sa, hun, og, så, opp, på, himmelen, ., -, Det, er, et, forferdelig, vær, !, -, Jeg, tror, sannelig, du, har, bruk, for, en, å, prate, med, ,, sa, As, bjørn, og, satte, blikket, på, et, be, stemt, punkt, i, panna, hennes, ., -, Hva, slags, vær, er, det, der, ?, spurte, han, ., Hun, så, på, ham, litt, ,, så, smilte, hun, det, lille, smilet]",CCONJ PRON VERB ADV PART VERB ADJ PUNCT PRON VERB DET NOUN ADJ NOUN ADP NOUN PUNCT CCONJ VERB ADJ ADP ADP NOUN PUNCT NOUN ADP DET ADJ NOUN PRON AUX VERB PRON ADP PUNCT VERB ADP CCONJ ADP ADP PROPN PUNCT PUNCT VERB PRON PUNCT VERB PRON CCONJ VERB PRON ADJ ADP ADP NOUN PUNCT PRON AUX DET ADJ NOUN PUNCT VERB PRON PUNCT PRON VERB CCONJ VERB ADP NOUN PUNCT PUNCT PRON VERB ADV DET ADJ NOUN PUNCT CCONJ PRON VERB PART ADJ ADP PRON CCONJ ADV VERB PRON PART ADJ ADJ NOUN NOUN PUNCT VERB PRON PUNCT PUNCT INTJ PRON VERB PRON VERB ADJ ADP NOUN PUNCT AUX PRON VERB PRON ADP PRON PUNCT VERB PRON PUNCT PUNCT PRON VERB ADP PROPN PUNCT VERB PRON CCONJ ADV ADP ADP NOUN PUNCT PUNCT PRON AUX DET ADJ NOUN PUNCT PUNCT PRON VERB ADV PRON VERB NOUN ADP DET PART VERB ADP PUNCT VERB PROPN PROPN CCONJ VERB NOUN ADP DET NOUN ADJ NOUN ADP NOUN PRON PUNCT PUNCT PRON NOUN NOUN AUX PRON ADV PUNCT VERB PRON PUNCT PRON VERB ADP PRON ADJ PUNCT ADV VERB PRON DET ADJ NOUN,0.04903225806451613,0.404793388429751,192,775,0.6302083333333334,0.38347803058339464
"[Det, var, ein, gong, ein, kar, i, Åmotsdal, som, hadde, nokre, sauer, han, skulla, ha, til, fjells, om, våren, ., Etter, gamal, skikk, vart, «, smalesauene, », -, sauene, med, lam, som, skulle, til, fjells, -, klippa, denne, vårdagen, og, det, var, gjetaren, som, stod, for, det, ., Medan, dei, vaksne, karane, skulle, ha, det, morosamt, med, å, prøve, å, få, sauene, til, å, hoppa, med, klippestuten, etter, seg, for, å, få, dei, til, å, skvetta, på, gjetaren, ,, fekk, dei, yngste, borna, i, bygda, oppgåva, med, å, sjå, etter, «, spælsaudn, », ,, sauene, utan, lam, ., Det, var, som, regel, eit, slit, å, få, dei, til, å, stå, i, ro, ,, og, å, få, dei, klipt, ,, men, det, var, ein, viktig, jobb, for, dei, unge, ungane, ,, for, spælsauulla, var, den, viktigaste, ulla, til, sokkar, og, vottar, i, kalde, haustnetter, ., Ja, ,, til, og, med, til, nattluer, vart, ho, bra, bruka, av, dei]",PRON AUX X X X NOUN ADP PROPN PRON VERB ADJ NOUN PRON PROPN VERB ADP NOUN ADP NOUN PUNCT ADP NOUN NOUN VERB PUNCT NOUN PUNCT PUNCT NOUN ADP NOUN PRON VERB ADP NOUN PUNCT VERB DET NOUN CCONJ PRON AUX NOUN PRON VERB ADP PRON PUNCT ADV X PROPN PROPN AUX VERB PRON ADJ SCONJ PART VERB PART VERB NOUN SCONJ PART VERB ADP NOUN ADP PRON SCONJ PART VERB NOUN SCONJ PART NOUN ADP NOUN PUNCT VERB X ADJ NOUN ADP NOUN X SCONJ PART VERB ADP PUNCT ADV PUNCT PUNCT NOUN X NOUN PUNCT PRON AUX ADP NOUN DET NOUN PART VERB NOUN SCONJ PART VERB ADP NOUN PUNCT CCONJ PART VERB NOUN VERB PUNCT CCONJ PRON AUX ADJ ADJ NOUN ADP PROPN ADJ PROPN PUNCT CCONJ NOUN AUX DET ADJ NOUN ADP PROPN CCONJ NOUN ADP ADJ NOUN PUNCT INTJ PUNCT ADP CCONJ ADP ADP NOUN VERB NOUN ADJ NOUN ADP NOUN,0.048678720445062586,0.37447761194029794,157,719,0.5987261146496815,0.29729366283751657
"[Det, var, så, langt, tilbake, som, i, 2015, at, den, nå, tiltalte, mannen, satte, fyr, på, et, søppelspann, inne, på, kjøkkenet, ., Han, bodde, da, i, et, leilighetsbygg, i, sentrum, ., Hendelsen, resulterte, i, at, fem, leiligheter, og, tilstøtende, fellesarealer, ble, røykskadet, ., Saken, gikk, for, Salten, og, Lofoten, tingrett, den, siste, uken, –, og, tiltale, ble, tatt, ut, 26., august, i, år, ., I, retten, har, tiltalte, forklart, at, han, drakk, alkohol, den, kvelden, det, brant, ., Han, skal, ha, startet, å, drikke, mellom, klokken, 19, og, 19.30, den, kvelden, det, brant, ., Etter, hvert, ble, han, etter, eget, utsagn, ganske, «, påseilet, », ,, og, valgte, derfor, å, legge, ham, seg, å, sove, –, noe, han, også, har, gjort, ved, tidligere, anledninger, ,, ifølge, han, selv, ., Etter, å, ha, sovnet, våknet, han, rundt, klokken, 02:00, ,, at, røykvarsleren, i, leiligheten, hans, ulte, ., Han, sto, dermed, opp, ,, og, oppdaget, at, det, brant, ., Han, skal, da, ha, tatt, med, seg, søppel, og, plassert, det, ut, på, gårdsplassen, ., Han, skal, deretter, ha, åpnet, noen, vinduer, for, å, slippe, ut, røyken, .]",PRON AUX ADV ADJ ADP PRON ADP NUM SCONJ PRON ADV ADJ NOUN VERB NOUN ADP DET NOUN ADP ADP NOUN PUNCT PRON VERB ADV ADP DET NOUN ADP NOUN PUNCT NOUN VERB SCONJ SCONJ NUM NOUN CCONJ ADJ NOUN AUX VERB PUNCT NOUN VERB ADP PROPN CCONJ PROPN NOUN DET ADJ NOUN PUNCT CCONJ NOUN AUX VERB ADP ADJ NOUN ADP NOUN PUNCT ADP NOUN AUX ADJ VERB SCONJ PRON VERB NOUN DET NOUN PRON VERB PUNCT PRON AUX AUX VERB PART VERB ADP NOUN NUM CCONJ NUM DET NOUN PRON VERB PUNCT ADP DET AUX PRON ADP DET NOUN ADV PUNCT NOUN PUNCT PUNCT CCONJ VERB ADV PART VERB PRON PRON PART VERB PUNCT PRON PRON ADV AUX VERB ADP ADJ NOUN PUNCT ADP PRON DET PUNCT SCONJ PART AUX VERB VERB PRON ADP NOUN NUM PUNCT SCONJ NOUN ADP NOUN PRON VERB PUNCT PRON VERB ADV ADP PUNCT CCONJ VERB SCONJ PRON VERB PUNCT PRON AUX ADV AUX VERB ADP PRON NOUN CCONJ VERB PRON ADP ADP NOUN PUNCT PRON AUX ADV AUX VERB DET NOUN SCONJ PART VERB ADP NOUN PUNCT,0.04618689581095596,0.3629705215419496,185,931,0.6,0.1583840779715206
"[Ja, det, var, verkligen, synd, ,, har, jag, haft, en, bättre, trädgård, hade, den, fått, sig, en, dust, av, min, dammsugare, ,, men, jag, känner, inte, att, jag, vill, slösa, på, det, fina, medlen, då, det, är, bra, i, sig, ,, jag, får, nöja, mig, med, att, damma, av, dem, ., Det, blev, faktiskt, lite, som, att, ha, sol, i, vattnet, ,, det, glittrade, väldigt, vackert, på, sina, ställen, ., Är, det, en, pärlemormussla, ?, Trevlig, kväll, ., Ha, det, gott, /, Monne, 
, Jag, tror, jag, har, någonstans, läst, att, perlemorsmussla, är, fridlyst, även, i, Finland, och, att, man, kan, få, ganska, straff, för, att, slå, sönder, dem, ., 
, Nog, stämmer, det, att, de, är, fridlysta, ., Men, de, här, ligger, i, min, skål, då, de, är, döda, och, såna, man, redan, samlat, in, ., Hade, jag, haft, dem, som, levande, skulle, jag, lämnat, bort, dem, i, tryggt, förvar, på, ställen, som, vet, vart, de, hör, hemma, ., Det, var, ingen, tanke, på, att, krossa, dessa]",INTJ PRON AUX NOUN NOUN PUNCT AUX NOUN X DET ADJ NOUN X PRON VERB ADV DET NOUN ADP PRON NOUN PUNCT CCONJ X X X X X X NOUN ADP DET ADJ NOUN X X X ADJ ADP X PUNCT PRON VERB PROPN X X X X ADP PRON PUNCT PRON VERB ADJ ADJ ADP X VERB NOUN ADP NOUN PUNCT PRON ADJ ADJ ADJ ADP PROPN NOUN PUNCT NOUN PRON DET NOUN PUNCT ADJ NOUN PUNCT VERB PRON PROPN PUNCT PROPN SPACE PROPN X X AUX VERB NOUN X X X PROPN NOUN ADP PROPN X X PRON AUX VERB NOUN X X X X NOUN PRON PUNCT SPACE VERB NOUN X X X X X PUNCT CCONJ PRON PROPN VERB ADP PRON NOUN X X X X X X X X X X PUNCT X X X PRON SCONJ X X X ADJ ADP PRON SCONJ PROPN NOUN ADP NOUN PRON VERB VERB PRON X X PUNCT PRON VERB DET NOUN ADP X X NOUN,0.050387596899224806,0.38926896551724155,168,774,0.4166666666666667,0.13024415222638955
"[Ja, det, er, jeg, bestemt, !, Jeg, har, i, mange, år, haft, et, par, af, mine, negle, længere, og, er, altid, en, sucker, for, smukke, negle, !, Man, får, bare, altid, de, der, misundelige, blikke, når, man, sidder, og, nyder, sin, kaffe, og, lækre, morgenmad, ,, og, er, man, i, selskab, med, et, par, veninder, så, er, det, bare, en, ekstra, sjov, faktor, om, man, er, den, der, har, helt, vilde, og, smukke, negle, eller, en, af, de, andre, :, b, Det, kan, faktisk, også, være, lidt, træls, engang, imellem, ,, når, man, står, med, et, halvt, kilo, gryn, mellem, hænderne, og, skal, til, at, måle, ,, og, fingrene, er, klistret, til, ,, så, de, bare, er, ekstra, lange, og, man, må, sidde, med, dem, spredt, ud, på, køkkenbordet, ,, og, så, kan, mine, fingre, jo, ikke, længere, være, i, en, kop, ,, er, du, helt, mis', med, det, ?, 😀, 
, Dit, liv, byder, jo, på, mange, forskellige, ting, ,, nogle, er, træls, ,, andre, kan, man, leve, med, ., Men, jeg, kunne, ikke, se, mig, selv, uden, makeup, og, lækre, sko, ;D, Så]",INTJ PRON AUX PRON ADJ PUNCT PRON AUX ADP ADJ NOUN NOUN DET NOUN ADV PRON NOUN NOUN CCONJ AUX NOUN DET NOUN ADP ADJ PROPN PUNCT PRON VERB ADV NOUN PRON SCONJ ADJ NOUN SCONJ PRON VERB CCONJ VERB PRON NOUN CCONJ ADJ NOUN PUNCT CCONJ AUX PRON ADP NOUN ADP DET NOUN NOUN ADV AUX PRON ADV DET ADJ NOUN NOUN SCONJ PRON AUX PRON ADV VERB ADJ NOUN CCONJ ADJ NOUN CCONJ DET NOUN DET DET PUNCT PROPN PRON AUX ADJ ADV AUX ADJ NOUN ADV NOUN PUNCT SCONJ PRON VERB ADP DET ADJ NOUN PROPN ADJ NOUN CCONJ VERB SCONJ SCONJ VERB PUNCT CCONJ NOUN AUX VERB ADP PUNCT CCONJ PRON ADV AUX ADJ ADJ CCONJ PRON AUX VERB ADP PRON VERB PROPN ADP NOUN PUNCT CCONJ ADV AUX PRON NOUN ADV PART NOUN AUX ADP DET NOUN PUNCT AUX PRON ADJ NOUN ADP PRON PUNCT ADJ SPACE ADV NOUN VERB ADV ADP ADJ ADJ NOUN PUNCT PROPN AUX NOUN PUNCT DET AUX PRON VERB ADP PUNCT CCONJ PRON AUX PART VERB PROPN DET ADJ NOUN CCONJ ADJ NOUN PUNCT ADV,0.04738760631834751,0.37033591731266113,185,823,0.6054054054054054,0.28473575949755997
"[Så, var, det, fredag, igjen, ., Helgen, står, for, døren, ,, og, på, mange, mater, virker, den, nå, mer, avslappet, etter, som, alle, helgens, håndballkamper, er, av, viklet, ., De, er, i, det, hele, tatt, så, tid, krevende, disse, søndagskampene, ., De, starter, så, tidlig, og, er, ikke, fer, dige, før, tidlig, kveldstid, ., Men, de, er, også, meget, populære, ,, både, som, aktive, og, som, tilskuere, ,, og, et, ter, alle, meldinger, å, dømme, var, det, fulle, hus, på, alle, hallene, hvor, det, ble, spilt, håndball, denne, hel, gen, ., På, Bryne, spilte, damene, mot, Nordnes, fra, Bergen, ,, og, det, oppsto, i, grunnen, ingen, overraskelse, ved, at, det, ble, seier, ., Nordnes, var, ik, ke, det, sterke, ,, harde, laget, som, de, fleste, hadd, :, regnet, med, ., Bryne, jentene, viste, langt, bedre, spill, denne, kampen, og, særlig, i, første, omgang, ., De, hadde, ledelsen, med, både, fem, og, seks, poeng, etter, en, halvspilt, kamp, til, tross, for, at, de, stadig, måtte, ha, spillere, sittende, ute, i, to, minutter, ., Men, det, holdt, bra, til, slutt, ,, og, sluttresultatet, ble, 29—20, ,, Bryne, seier, altså, .]",ADV AUX PRON NOUN ADV PUNCT NOUN VERB ADP NOUN PUNCT CCONJ ADP ADJ NOUN VERB PRON ADV ADJ ADJ ADP ADP DET NOUN NOUN AUX ADP VERB PUNCT PRON AUX ADP DET ADJ VERB ADV NOUN ADJ DET NOUN PUNCT PRON VERB ADV ADJ CCONJ AUX PART ADV ADJ ADP ADJ NOUN PUNCT CCONJ PRON AUX ADV ADV ADJ PUNCT CCONJ ADP ADJ CCONJ ADP NOUN PUNCT CCONJ DET VERB DET NOUN PART VERB AUX DET ADJ NOUN ADP DET NOUN ADV PRON AUX VERB NOUN DET ADJ NOUN PUNCT ADP PROPN VERB NOUN ADP PROPN ADP PROPN PUNCT CCONJ PRON VERB ADP NOUN DET NOUN SCONJ SCONJ PRON VERB NOUN PUNCT PROPN AUX X PROPN DET ADJ PUNCT ADJ NOUN PRON DET ADJ NOUN PUNCT NOUN ADP PUNCT PROPN NOUN VERB ADJ ADJ NOUN DET NOUN CCONJ ADJ ADP ADJ NOUN PUNCT PRON VERB NOUN ADP CCONJ NUM CCONJ NUM NOUN ADP DET ADJ NOUN SCONJ SCONJ SCONJ SCONJ PRON ADJ AUX VERB NOUN ADJ ADP ADP NUM NOUN PUNCT CCONJ PRON VERB ADJ ADP NOUN PUNCT CCONJ NOUN VERB NOUN PUNCT PROPN NOUN ADV PUNCT,0.042071197411003236,0.3693849658314336,188,927,0.5797872340425532,0.29800263576722824
"[Det, var, som, for, mange, andre, -, jeg, har, en, datter, født, i, 2002, ,, så, det, er, svært, at, forholde, sig, 100, %, seriøst, til, et, album, som, dette, ., Min, erfaring, er, blot, at, børn, der, selv, bestemmer, deres, musik, er, dem, der, i, sidste, ende, står, med, det, bedste, produkt, ., 
, Jeg, har, flere, elever, som, selv, har, valgt, deres, musik, ., Og, der, er, det, så, min, opgave, at, få, dem, til, at, finde, ud, af, hvad, det, vil, sige, at, være, musikelev, ., Men, deres, eget, musikvalg, har, en, positiv, effekt, på, dem, og, deres, vilje, til, at, forbedre, sig, musikalsk, og, socialt, ., Det, skyldes, først, og, fremmest, at, det, motiverer, dem, at, spille, musik, de, selv, elsker, ., 
, Så, hvis, du, vil, have, dine, elever, til, at, elske, musik, ,, kan, du, bare, spille, deres, favoritmusik, -, så, længe, det, er, musik, de, kan, finde, ud, af, at, spille, og, lære, -, og, så, længe, ,, at, det, de, lærer, om, musikken, ikke, modstrider, med, "", rigtig, god, musik, "", eller, den, kultur, de, lærer, igennem, skolen, ,, og, det, musik, der, bliver, spillet, i, klassen, ,, i, frikvar]",PRON AUX ADP ADP ADJ DET PUNCT PRON VERB DET NOUN VERB ADP NUM PUNCT CCONJ PRON AUX ADJ SCONJ VERB ADV NUM NOUN ADJ ADP DET NOUN ADP PRON PUNCT PRON NOUN AUX ADJ SCONJ ADJ SCONJ ADV VERB PRON NOUN AUX PRON ADV ADP ADJ NOUN VERB ADP DET ADJ NOUN PUNCT SPACE PRON VERB ADJ NOUN PRON ADV AUX VERB PRON NOUN PUNCT CCONJ ADV AUX PRON ADV PRON NOUN SCONJ VERB PRON SCONJ SCONJ PROPN PROPN X X PRON AUX VERB SCONJ AUX ADJ PUNCT CCONJ PRON DET NOUN VERB DET ADJ NOUN ADP PRON CCONJ PRON NOUN SCONJ SCONJ VERB ADV ADJ CCONJ ADV PUNCT PRON VERB ADV CCONJ ADJ SCONJ PRON VERB PRON SCONJ VERB NOUN PRON DET VERB PUNCT SPACE CCONJ SCONJ PRON AUX VERB PRON NOUN SCONJ SCONJ VERB NOUN PUNCT AUX PRON ADV VERB PRON NOUN PUNCT ADV ADJ PRON AUX NOUN PRON AUX X PROPN ADV SCONJ VERB CCONJ VERB PUNCT CCONJ ADV ADJ PUNCT SCONJ PRON PRON VERB ADP NOUN PART NOUN ADP PUNCT NOUN ADJ NOUN PUNCT CCONJ DET NOUN PRON VERB PROPN NOUN PUNCT CCONJ DET NOUN ADV VERB NOUN ADP NOUN PUNCT ADP NOUN,0.043859649122807015,0.36857473928157614,198,912,0.5505050505050505,0.2134148917008289
"[Det, er, ikkje, vanskeleg, å, skjøne, frustrasjonen, til, lokalpolitikarane, i, Strand, ., Det, er, forståeleg, at, dei, ikkje, kjenner, seg, høyrde, i, prosessen, rundt, grensejusteringane, ., Samtidig, må, me, erkjenne, at, når, ei, sak, har, vorte, behandla, i, departementet, etter, dei, råda, kommunane, har, kome, med, samla, ,, så, er, det, eit, samla, kommunevedtak, det, blir, vist, til, ,, og, politikarane, bør, kjenne, seg, forplikta, til, å, stå, på, dette, ., I, det, heile, teke, synest, det, å, ha, vore, ein, lang, og, krevjande, prosess, for, alle, involverte, på, begge, sider, av, brua, i, denne, saka, ., 
, klaRt, at, det, er, lite, gjennomtenkt, med, ein, bomstasjon, på, den, einaste, vegen, gjennom, tunellen, der, ein, del, folk, bur, ., Men, det, er, også, heilt, nødvendig, at, bomstasjonen, er, på, den, sida, med, flest, bompengebetalarar, ,, nemleg, på, fastlandssida, av, tunellen, der, 70, prosent, av, trafikken, skal, gjennom, ., Ikkje, berre, det, ,, utan, ein, bomstasjon, her, ville, det, meste, av, pengane, ,]",PRON AUX X X PART VERB NOUN ADP NOUN ADP PROPN PUNCT PRON AUX NOUN SCONJ X X VERB PRON VERB ADP NOUN ADP NOUN PUNCT ADJ AUX X VERB SCONJ SCONJ DET NOUN AUX PROPN VERB ADP NOUN ADP PROPN PROPN PROPN AUX VERB ADP X PUNCT ADV VERB PRON X X NOUN PRON AUX VERB ADP PUNCT CCONJ NOUN AUX VERB PRON NOUN SCONJ PART VERB ADP PRON PUNCT ADP DET ADJ X VERB PRON PART AUX X X ADJ CCONJ ADJ NOUN ADP DET ADJ ADP DET NOUN ADP NOUN ADP DET NOUN PUNCT SPACE VERB SCONJ PRON AUX ADJ ADJ ADP PROPN NOUN ADP DET ADJ NOUN ADP NOUN SCONJ X NOUN NOUN NOUN PUNCT CCONJ PRON AUX ADV NOUN ADJ SCONJ NOUN AUX ADP DET NOUN ADP ADJ PROPN PUNCT PROPN ADP NOUN ADP NOUN SCONJ NUM NOUN ADP NOUN AUX ADP PUNCT X X X PUNCT X X NOUN ADV AUX DET ADJ ADP PROPN PUNCT,0.038901601830663615,0.3698666666666684,162,874,0.6358024691358025,0.3401809075879745
"[Kor, mange, prosent, av, den, norske, befolkninga, har, tilgang, til, internett, ?, Kor, mange, av, innbyggjarane, i, Noreg, nyttar, internett, kvar, dag, ,, og, kor, mange, nyttar, det, kvar, veke, ?, Kva, er, bruken, blant, den, aldersgruppa, som, bruker, internett, mest, ,, nemleg, 16-24, åringane, ?, Korleis, har, bruken, generelt, vore, ,, kva, er, det, som, gjer, at, så, mange, brukar, det, ,, og, kva, er, konsekvensane, av, denne, enorme, bruken, ?, Dette, er, nokre, av, dei, spørsmåla, eg, vil, ta, opp, i, denne, oppgåva, ., Eg, vil, kort, drøfta, utviklinga, til, internett, på, verdsbasis, den, siste, mannsalderen, ,, og, forklara, bakgrunnen, til, den, enorme, utviklinga, til, internett, ., Eg, vil, òg, undersøkja, korleis, dette, har, slått, ut, for, nordmenn, flest, og, særs, dei, unge, ., Problemstillingar, om, personvern, og, datasikkerheit, er, også, eit, viktig, tema, ., Dette, er, tema, eg, undersøkjer, i, samband, med, om, auka, internettbruk, fører, til, fleire, hackarar, og, datarelaterte, lovbrot, ., Eg, vil, også, undersøkja, kva, lovverket, seier, om, personvern, ,]",ADV ADJ NOUN ADP DET ADJ NOUN VERB NOUN ADP NOUN PUNCT VERB ADJ ADP NOUN ADP PROPN X X X NOUN PUNCT CCONJ ADV ADJ NOUN X X X PUNCT NOUN AUX NOUN ADP DET NOUN PRON VERB NOUN ADJ PUNCT PROPN X NOUN PUNCT ADV VERB NOUN ADJ X PUNCT NOUN AUX PRON PRON VERB SCONJ ADV ADJ PROPN PRON PUNCT CCONJ PROPN AUX NOUN ADP DET ADJ NOUN PUNCT PRON AUX ADJ ADP NOUN NOUN X AUX VERB ADP ADP DET NOUN PUNCT PROPN AUX ADJ VERB NOUN ADP NOUN ADP NOUN DET ADJ NOUN PUNCT CCONJ ADJ NOUN ADP DET ADJ NOUN ADP NOUN PUNCT PROPN AUX X PROPN X PRON AUX VERB ADP ADP NOUN ADJ CCONJ X X ADJ PUNCT NOUN ADP NOUN CCONJ NOUN AUX ADV DET ADJ NOUN PUNCT PRON AUX NOUN X NOUN ADP NOUN ADP ADP NOUN NOUN VERB ADP PROPN PROPN CCONJ ADJ NOUN PUNCT PROPN AUX ADV VERB NOUN NOUN NOUN ADP NOUN PUNCT,0.04329004329004329,0.36875428571428637,166,924,0.572289156626506,0.22469729609161132
"[Det, er, veldig, fint, når, jeg, tar, bilder, som, dette, hvor, jeg, bruker, en, effekt, i, kameraet, ., Jeg, er, veldig, glad, i, denne, effekten, og, den, gjør, seg, veldig, godt, når, solen, skinner, på, motivet, ., Disse, bildene, er, ikke, redigert, ,, men, kun, justert, etter, hvordan, jeg, vil, de, skal, være, i, kameraet, ., Det, er, mye, som, gjør, at, man, kanskje, ikke, er, helt, fornøyd, med, et, bilde, som, er, tatt, med, et, speilreflekskamera, ,, og, da, er, det, som, regel, bare, små, justeringer, som, skal, til, så, blir, bildet, utrolig, mye, bedre, ., Så, det, er, noe, alle, dere, som, ikke, har, skikkelig, utstyr, kan, gjøre, også, ., 
, Håper, du, får, en, fin, uke, ♥, 
, Dritkult, med, den, effekten, !, Kjempefine, bilder, <3, 
, Renate, :, Det, er, veldig, moro, når, den, effekten, er, på, og, solskinn, skinner, på, motivet, ., Tusen, takk, :-), 
, Utrolig, fine, bilder, og, kjempe, fin, blogg, !, Du, må, ha, en, god, uke, !, Har, fulgt, bloggen, din, en, god, stund, nå, ,, og, du, er, virkelig, en, inspirasjon, for, meg, ., Måtte, bare, legge, igjen, en, kommentar, for]",PRON AUX ADJ ADJ SCONJ PRON VERB NOUN ADP PRON ADV PRON VERB DET NOUN ADP NOUN PUNCT PRON AUX ADJ ADJ ADP DET NOUN CCONJ PRON VERB PRON ADJ ADJ SCONJ NOUN VERB ADP NOUN PUNCT DET NOUN AUX PART VERB PUNCT CCONJ ADV VERB SCONJ ADV PRON VERB PRON AUX AUX ADP NOUN PUNCT PRON VERB ADJ PRON VERB SCONJ PRON ADV PART AUX ADJ ADJ ADP DET NOUN PRON AUX VERB ADP DET NOUN PUNCT CCONJ ADV AUX PRON ADP NOUN ADV ADJ NOUN PRON VERB ADP ADV VERB NOUN ADJ ADJ ADJ PUNCT CCONJ PRON AUX PRON DET PRON PRON PART VERB ADJ NOUN AUX VERB ADV PUNCT SPACE VERB PRON VERB DET ADJ NOUN NOUN SPACE NOUN ADP DET NOUN PUNCT ADJ NOUN ADV SPACE PROPN PUNCT PRON AUX ADJ NOUN SCONJ DET NOUN AUX ADP CCONJ NOUN VERB ADP NOUN PUNCT NUM NOUN PUNCT SPACE ADJ ADJ NOUN CCONJ VERB ADJ NOUN PUNCT PRON AUX VERB DET ADJ NOUN PUNCT AUX VERB NOUN PRON DET ADJ NOUN ADV PUNCT CCONJ PRON AUX ADJ DET NOUN ADP PRON PUNCT AUX ADV VERB ADV DET NOUN ADP,0.04905239687848383,0.38997641509434006,191,897,0.6335078534031413,0.36065850154626605
